teryt;gmina;urzad;kto;typk;bb;center;tura;nrk;wiek;edu;glosy;glosyp;glosyn;wynik;areaH;areaKm;popThs;popKm;type
020301;m. Głogów;Prezydent Miasta Głogowa;BOŻEK Przemysław Maciej;PiS;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715;R1;1;41;wyższe;8570;31.64;-1;Nie;3511;35;68179;1942;gm
020301;m. Głogów;Prezydent Miasta Głogowa;MAJEWSKI Sławomir;PO;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715;R1;2;54;wyższe;1949;7.20;-1;Nie;3511;35;68179;1942;gm
020301;m. Głogów;Prezydent Miasta Głogowa;ROKASZEWICZ Rafael Ryszard;Komitet wyborczy wyborców;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715;R1;3;44;wyższe;16568;61.17;-1;Tak;3511;35;68179;1942;gm
020302;gm. Głogów;Wójt Gminy Głogów;GNIEWOSZ Joanna;Komitet wyborczy wyborców;51.607547,16.031523 51.724086,16.227821;51.6658165,16.129672;R1;1;40;wyższe ekonomiczne;1200;38.38;-1;Nie;8479;85;6663;79;gw
020302;gm. Głogów;Wójt Gminy Głogów;ZIMNY Bartłomiej Antoni;Komitet wyborczy wyborców;51.607547,16.031523 51.724086,16.227821;51.6658165,16.129672;R1;2;42;wyższe techniczne;1927;61.62;-1;Tak;8479;85;6663;79;gw
020303;gm. Jerzmanowa;Wójt Gminy Jerzmanowa;GOLBA Lesław Julian;Komitet wyborczy wyborców;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256;R1;1;59;wyższe magisterskie;1240;48.23;-1;Druga tura;6332;63;4925;78;gw
020303;gm. Jerzmanowa;Wójt Gminy Jerzmanowa;STEFANIAK Monika Maria;Komitet wyborczy wyborców;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256;R1;2;38;wyższe;505;19.64;-1;Nie;6332;63;4925;78;gw
020303;gm. Jerzmanowa;Wójt Gminy Jerzmanowa;ZWOLIŃSKI Paweł Tadeusz;Komitet wyborczy wyborców;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256;R1;3;43;wyższe;826;32.13;-1;Druga tura;6332;63;4925;78;gw
020304;gm. Kotla;Wójt Gminy Kotla;HORBATOWSKI Łukasz;Komitet wyborczy wyborców;51.677254,15.912931 51.804754,16.177830;51.741004,16.0453805;R1;1;38;wyższe;1431;89.38%;170;Tak;12752;128;4415;35;gw
020305;gm. Pęcław;Wójt Gminy Pęcław;JURKOWSKI Artur Andrzej;Komitet wyborczy wyborców;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515;R1;1;51;wyższe;568;74.05%;199;Tak;6427;64;2284;36;gw
