teryt;gmina;urzad;kto;typk;bb;center;tura;nrk;wiek;edu;glosy;glosyp;glosyn;wynik;areaH;areaKm;popThs;popKm;type
100501;m. Łowicz;Burmistrz Miasta Łowicza;SOBCZAK Michał Jerzy;Komitet wyborczy organizacji i stowarzyszeń;52.064871,19.901059 52.137384,19.988349;52.1011275,19.944704;R1;4;37;wyższe;1381;10.56;-1;Nie;2342;23;28704;1226;gm
100501;m. Łowicz;Burmistrz Miasta Łowicza;WOLSKI Jakub;PiS;52.064871,19.901059 52.137384,19.988349;52.1011275,19.944704;R1;5;37;średnie;2623;20.06;-1;Druga tura;2342;23;28704;1226;gm
100502;gm. Bielawy;Wójt Gminy Bielawy;JANIKOWSKI Paweł;PiS;52.019216,19.512742 52.144939,19.769984;52.0820775,19.641363;R1;1;56;średnie;1083;45.75;-1;Nie;16390;164;5454;33;gw
100502;gm. Bielawy;Wójt Gminy Bielawy;KUBIŃSKI Sylwester Dariusz;PSL;52.019216,19.512742 52.144939,19.769984;52.0820775,19.641363;R1;2;57;wyższe;1284;54.25;-1;Tak;16390;164;5454;33;gw
100503;gm. Chąśno;Wójt Gminy Chąśno;RECZULSKI Dariusz;PSL;52.136455,19.835697 52.235321,19.986956;52.185888,19.9113265;R1;1;41;wyższe;1028;89.24%;124;Tak;7183;72;2924;41;gw
100504;gm. Domaniewice;Wójt Gminy Domaniewice;KWIATKOWSKI Paweł;PSL;51.974455,19.719545 52.085322,19.889867;52.0298885,19.804706;R1;1;53;wyższe;1298;63.01;-1;Tak;8617;86;4659;54;gw
100504;gm. Domaniewice;Wójt Gminy Domaniewice;SZAFRANIEC Michał;PiS;51.974455,19.719545 52.085322,19.889867;52.0298885,19.804706;R1;2;40;wyższe;762;36.99;-1;Nie;8617;86;4659;54;gw
100505;gm. Kiernozia;Wójt Gminy Kiernozia;MIAZEK Beata;Komitet wyborczy wyborców;52.226505,19.736057 52.311263,19.965135;52.268884,19.850596;R1;1;43;wyższe;1174;80.36;-1;Tak;7623;76;3420;45;gw
100505;gm. Kiernozia;Wójt Gminy Kiernozia;ŻUREK Kordian Stefan;PSL;52.226505,19.736057 52.311263,19.965135;52.268884,19.850596;R1;2;41;średnie;287;19.64;-1;Nie;7623;76;3420;45;gw
100506;gm. Kocierzew Południowy;Wójt Gminy Kocierzew Południowy;KANIA Maciej Włodzimierz;PiS;52.141751,19.939216 52.268308,20.090903;52.2050295,20.0150595;R1;1;42;wyższe;707;39.08;-1;Nie;9370;94;4285;46;gw
100506;gm. Kocierzew Południowy;Wójt Gminy Kocierzew Południowy;WOJDA Agnieszka Danuta;Komitet wyborczy wyborców;52.141751,19.939216 52.268308,20.090903;52.2050295,20.0150595;R1;2;45;wyższe;1102;60.92;-1;Tak;9370;94;4285;46;gw
100507;gm. Łowicz;Wójt Gminy Łowicz;BARYLSKI Andrzej;PSL;52.033115,19.758474 52.175694,20.045796;52.1044045,19.902135;R1;1;59;wyższe;1829;55.04;-1;Tak;13315;133;7706;58;gw
100507;gm. Łowicz;Wójt Gminy Łowicz;KACZOR Adrianna;PiS;52.033115,19.758474 52.175694,20.045796;52.1044045,19.902135;R1;2;38;wyższe;1494;44.96;-1;Nie;13315;133;7706;58;gw
100508;gm. Łyszkowice;Wójt Gminy Łyszkowice;KOSIOREK Agata Beata;Komitet wyborczy wyborców;51.909455,19.831073 52.052061,20.061662;51.980758,19.9463675;R1;2;52;wyższe;275;9.12;-1;Nie;10730;107;6690;62;gw
100508;gm. Łyszkowice;Wójt Gminy Łyszkowice;MARKUS Tadeusz Adam;Komitet wyborczy wyborców;51.909455,19.831073 52.052061,20.061662;51.980758,19.9463675;R1;3;66;wyższe zawodowe;160;5.30;-1;Nie;10730;107;6690;62;gw
100508;gm. Łyszkowice;Wójt Gminy Łyszkowice;PANAK Piotr Paweł;Komitet wyborczy wyborców;51.909455,19.831073 52.052061,20.061662;51.980758,19.9463675;R1;4;40;wyższe;123;4.08;-1;Nie;10730;107;6690;62;gw
100508;gm. Łyszkowice;Wójt Gminy Łyszkowice;RUTA Adam;Komitet wyborczy wyborców;51.909455,19.831073 52.052061,20.061662;51.980758,19.9463675;R1;5;56;wyższe;1373;45.51;-1;Druga tura;10730;107;6690;62;gw
100508;gm. Łyszkowice;Wójt Gminy Łyszkowice;ZIELIŃSKA Małgorzata Ewa;PiS;51.909455,19.831073 52.052061,20.061662;51.980758,19.9463675;R1;6;56;wyższe;473;15.68;-1;Nie;10730;107;6690;62;gw
100509;gm. Nieborów;Wójt Gminy Nieborów;KOSMATKA Dariusz;PiS;52.003803,19.977580 52.152632,20.128707;52.0782175,20.0531435;R1;1;58;wyższe;2066;49.06;-1;Nie;10390;104;9390;90;gw
100509;gm. Nieborów;Wójt Gminy Nieborów;PAPUGA Jarosław Stefan;Komitet wyborczy wyborców;52.003803,19.977580 52.152632,20.128707;52.0782175,20.0531435;R1;2;40;wyższe;2145;50.94;-1;Tak;10390;104;9390;90;gw
100510;gm. Zduny;Wójt Gminy Zduny;KWIATKOWSKI Jarosław;PSL;52.091233,19.688963 52.241474,19.887900;52.1663535,19.7884315;R1;1;58;wyższe;1193;45.88;-1;Nie;12857;129;5762;45;gw
100510;gm. Zduny;Wójt Gminy Zduny;SKOWROŃSKI Krzysztof;PiS;52.091233,19.688963 52.241474,19.887900;52.1663535,19.7884315;R1;2;42;wyższe;1407;54.12;-1;Tak;12857;129;5762;45;gw
100602;gm. Andrespol;Wójt Gminy Andrespol;KUBUS Dariusz;Komitet wyborczy wyborców;51.685882,19.597664 51.757084,19.691161;51.721483,19.6444125;R1;1;54;wyższe;5369;89.92%;602;Tak;2334;23;13661;585;gw
100603;gm. Brójce;Wójt Gminy Brójce;AGACIAK Radosław Wiktor;Komitet wyborczy wyborców;51.621434,19.554865 51.712399,19.729826;51.6669165,19.6423455;R1;1;43;wyższe;2444;77.39;-1;Tak;6902;70;6517;94;gw
100603;gm. Brójce;Wójt Gminy Brójce;SABELA Grzegorz Józef;Komitet wyborczy wyborców;51.621434,19.554865 51.712399,19.729826;51.6669165,19.6423455;R1;2;51;wyższe;714;22.61;-1;Nie;6902;70;6517;94;gw
100607;gm. Koluszki;Burmistrz Koluszek;CHAŁAT Waldemar Ludwik;Komitet wyborczy organizacji i stowarzyszeń;51.660336,19.669950 51.783146,19.983019;51.721741,19.8264845;R1;1;47;wyższe;8227;75.66;-1;Tak;15720;157;23639;150;gmw
100607;gm. Koluszki;Burmistrz Koluszek;JANECZEK Dariusz Sylwester;PiS;51.660336,19.669950 51.783146,19.983019;51.721741,19.8264845;R1;2;41;wyższe;2646;24.34;-1;Nie;15720;157;23639;150;gmw
100608;gm. Nowosolna;Wójt Gminy Nowosolna;LESIAK Małgorzata Anna;Komitet wyborczy wyborców;51.754665,19.547179 51.864591,19.680894;51.809628,19.6140365;R1;1;48;wyższe;547;20.68;-1;Nie;5398;54;4850;90;gw
100608;gm. Nowosolna;Wójt Gminy Nowosolna;RAJSKA-KUCZEWSKA AGNIESZKA MAŁGORZATA;PiS;51.754665,19.547179 51.864591,19.680894;51.809628,19.6140365;R1;2;42;WYŻSZE;244;9.22;-1;Nie;5398;54;4850;90;gw
100608;gm. Nowosolna;Wójt Gminy Nowosolna;SZCZEŚNIAK Piotr;Komitet wyborczy wyborców;51.754665,19.547179 51.864591,19.680894;51.809628,19.6140365;R1;3;42;wyższe;1854;70.09;-1;Tak;5398;54;4850;90;gw
100610;gm. Rzgów;Burmistrz Rzgowa;KAMIŃSKI Mateusz Witold;Komitet wyborczy wyborców;51.617425,19.418932 51.698442,19.600143;51.6579335,19.5095375;R1;1;43;wyższe;2829;55.75;-1;Tak;6632;66;10183;154;gmw
100610;gm. Rzgów;Burmistrz Rzgowa;ŁUCZYŃSKA Justyna Aleksandra;PiS;51.617425,19.418932 51.698442,19.600143;51.6579335,19.5095375;R1;2;38;wyższe;1212;23.89;-1;Nie;6632;66;10183;154;gmw
100610;gm. Rzgów;Burmistrz Rzgowa;ŚWIERCZYŃSKI Jarosław Sławomir;Komitet wyborczy wyborców;51.617425,19.418932 51.698442,19.600143;51.6579335,19.5095375;R1;3;54;średnie;1033;20.36;-1;Nie;6632;66;10183;154;gmw
100611;gm. Tuszyn;Burmistrz Miasta Tuszyna;MAŁECKI Witold Mariusz;Komitet wyborczy wyborców;51.507711,19.442878 51.645399,19.634155;51.576555,19.5385165;R1;1;46;wyższe;3363;68.56%;1542;Tak;12990;130;12332;95;gmw
100701;gm. Białaczów;Wójt Gminy Białaczów;FRANASZCZYK Maciej Marcin;PSL;51.236632,20.185538 51.350812,20.414380;51.293722,20.299959;R1;1;41;średnie;336;11.35;-1;Nie;11463;115;5820;51;gw
100701;gm. Białaczów;Wójt Gminy Białaczów;GOŁĄB Krystyna;Komitet wyborczy wyborców;51.236632,20.185538 51.350812,20.414380;51.293722,20.299959;R1;2;63;wyższe rolnicze;204;6.89;-1;Nie;11463;115;5820;51;gw
100701;gm. Białaczów;Wójt Gminy Białaczów;GOWOREK Barbara;Komitet wyborczy wyborców;51.236632,20.185538 51.350812,20.414380;51.293722,20.299959;R1;3;45;wyższe;1412;47.69;-1;Druga tura;11463;115;5820;51;gw
100701;gm. Białaczów;Wójt Gminy Białaczów;RESZELEWSKI Jacek;PiS;51.236632,20.185538 51.350812,20.414380;51.293722,20.299959;R1;4;43;wyższe;1009;34.08;-1;Druga tura;11463;115;5820;51;gw
100702;gm. Drzewica;Burmistrz Gminy i Miasta w Drzewicy;JACIUBEK Ziemowit Maciej;Komitet wyborczy wyborców;51.396691,20.318049 51.509786,20.534005;51.4532385,20.426027;R1;1;43;średnie;179;3.18;-1;Nie;11819;118;10559;89;gmw
100702;gm. Drzewica;Burmistrz Gminy i Miasta w Drzewicy;RESZELEWSKI Janusz Bernard;Komitet wyborczy wyborców;51.396691,20.318049 51.509786,20.534005;51.4532385,20.426027;R1;2;52;wyższe;3137;55.70;-1;Tak;11819;118;10559;89;gmw
100702;gm. Drzewica;Burmistrz Gminy i Miasta w Drzewicy;SARWA Marek;PiS;51.396691,20.318049 51.509786,20.534005;51.4532385,20.426027;R1;3;43;wyższe;1201;21.32;-1;Nie;11819;118;10559;89;gmw
100702;gm. Drzewica;Burmistrz Gminy i Miasta w Drzewicy;WIKTOROWICZ Krystyna Anna;Komitet wyborczy wyborców;51.396691,20.318049 51.509786,20.534005;51.4532385,20.426027;R1;4;45;wyższe;1115;19.80;-1;Nie;11819;118;10559;89;gmw
100703;gm. Mniszków;Wójt Gminy Mniszków;WERŁOS Paweł Waldemar;Komitet wyborczy wyborców;51.335780,19.854626 51.441481,20.096289;51.3886305,19.9754575;R1;1;52;wyższe;1666;61.84;-1;Tak;12416;124;4760;38;gw
100703;gm. Mniszków;Wójt Gminy Mniszków;WÓJCIKOWSKI Marcin Wojciech;PiS;51.335780,19.854626 51.441481,20.096289;51.3886305,19.9754575;R1;2;42;wyższe;1028;38.16;-1;Nie;12416;124;4760;38;gw
100704;gm. Opoczno;Burmistrz Opoczna;KOSNO Dariusz Wojciech;Komitet wyborczy wyborców;51.325630,20.171751 51.505558,20.444377;51.415594,20.308064;R1;1;55;wyższe;4522;26.59;-1;Druga tura;19064;191;34607;182;gmw
100704;gm. Opoczno;Burmistrz Opoczna;ŁUCZKOWSKI Tomasz;Komitet wyborczy wyborców;51.325630,20.171751 51.505558,20.444377;51.415594,20.308064;R1;2;38;wyższe;4303;25.31;-1;Nie;19064;191;34607;182;gmw
100704;gm. Opoczno;Burmistrz Opoczna;WIERUSZEWSKI Jan;Komitet wyborczy wyborców;51.325630,20.171751 51.505558,20.444377;51.415594,20.308064;R1;3;59;wyższe;2477;14.57;-1;Nie;19064;191;34607;182;gmw
100704;gm. Opoczno;Burmistrz Opoczna;WOŁKIEWICZ Wiesław Ryszard;Komitet wyborczy wyborców;51.325630,20.171751 51.505558,20.444377;51.415594,20.308064;R1;4;54;średnie;1299;7.64;-1;Nie;19064;191;34607;182;gmw
100704;gm. Opoczno;Burmistrz Opoczna;ZIĘBA Anna Agnieszka;PiS;51.325630,20.171751 51.505558,20.444377;51.415594,20.308064;R1;5;46;wyższe;4403;25.89;-1;Druga tura;19064;191;34607;182;gmw
100705;gm. Paradyż;Wójt Gminy Paradyż;IGNEROWICZ Andrzej Piotr;PSL;51.261665,19.982361 51.351020,20.202145;51.3063425,20.092253;R1;1;47;wyższe;260;10.40;-1;Nie;8139;81;4423;54;gw
100705;gm. Paradyż;Wójt Gminy Paradyż;MILCZAREK Damian Przemysław;Komitet wyborczy wyborców;51.261665,19.982361 51.351020,20.202145;51.3063425,20.092253;R1;2;35;wyższe;947;37.86;-1;Nie;8139;81;4423;54;gw
100705;gm. Paradyż;Wójt Gminy Paradyż;RUDALSKI Wojciech Bogdan;PiS;51.261665,19.982361 51.351020,20.202145;51.3063425,20.092253;R1;3;50;wyższe;1294;51.74;-1;Tak;8139;81;4423;54;gw
100706;gm. Poświętne;Wójt Gminy Poświętne;FRANAS Michał Jan;Komitet wyborczy wyborców;51.451016,20.245281 51.601230,20.468390;51.526123,20.3568355;R1;1;38;wyższe;1097;61.56;-1;Tak;14081;141;3197;23;gw
100706;gm. Poświętne;Wójt Gminy Poświętne;WORACH Mieczysław;PiS;51.451016,20.245281 51.601230,20.468390;51.526123,20.3568355;R1;2;51;średnie;685;38.44;-1;Nie;14081;141;3197;23;gw
100707;gm. Sławno;Wójt Gminy Sławno;KOPERA Katarzyna Ewa;PiS;51.327887,20.055240 51.470910,20.227439;51.3993985,20.1413395;R1;1;39;wyższe;722;20.60;-1;Nie;12931;129;7640;59;gw
100707;gm. Sławno;Wójt Gminy Sławno;WOJCIECHOWSKI Tadeusz;Komitet wyborczy wyborców;51.327887,20.055240 51.470910,20.227439;51.3993985,20.1413395;R1;2;63;wyższe;2783;79.40;-1;Tak;12931;129;7640;59;gw
100708;gm. Żarnów;Wójt Gminy Żarnów;KUBISZEWSKI Bogdan Jan;PiS;51.183949,19.992060 51.309703,20.264127;51.246826,20.1280935;R1;1;50;wyższe;1303;39.24;-1;Nie;14106;141;5978;42;gw
100708;gm. Żarnów;Wójt Gminy Żarnów;NAWROCKI Krzysztof Błażej;Komitet wyborczy wyborców;51.183949,19.992060 51.309703,20.264127;51.246826,20.1280935;R1;2;54;wyższe;2018;60.76;-1;Tak;14106;141;5978;42;gw
100801;m. Konstantynów Łódzki;Burmistrz Konstantynowa Łódzkiego;JAKUBOWSKI Robert Zbigniew;Komitet wyborczy wyborców;51.730287,19.245747 51.784073,19.374621;51.75718,19.310184;R1;1;40;wyższe magisterskie;5213;60.55;-1;Tak;2725;27;18013;661;gm
100801;m. Konstantynów Łódzki;Burmistrz Konstantynowa Łódzkiego;MŁYNARCZYK Marcin;Komitet wyborczy organizacji i stowarzyszeń;51.730287,19.245747 51.784073,19.374621;51.75718,19.310184;R1;2;42;wyższe magisterskie;3397;39.45;-1;Nie;2725;27;18013;661;gm
100802;m. Pabianice;Prezydent Miasta Pabianic;MACKIEWICZ Grzegorz Bernard;Komitet wyborczy wyborców;51.632281,19.274193 51.699201,19.435475;51.665741,19.354834;R1;1;43;wyższe administracyjne;19990;71.83;-1;Tak;3299;33;65823;1995;gm
100802;m. Pabianice;Prezydent Miasta Pabianic;STANEK Włodzimierz Adam;PiS;51.632281,19.274193 51.699201,19.435475;51.665741,19.354834;R1;2;43;wyższe;7840;28.17;-1;Nie;3299;33;65823;1995;gm
100803;gm. Dłutów;Wójt Gminy Dłutów;DZIERŻAWSKI Czesław Józef;Komitet wyborczy wyborców;51.522271,19.275098 51.613136,19.476161;51.5677035,19.3756295;R1;1;67;średnie rolnicze;359;16.17;-1;Nie;10123;101;4567;45;gw
100803;gm. Dłutów;Wójt Gminy Dłutów;KOWALCZYK Michał Marcin;Komitet wyborczy wyborców;51.522271,19.275098 51.613136,19.476161;51.5677035,19.3756295;R1;2;38;średnie techniczne;866;39.01;-1;Druga tura;10123;101;4567;45;gw
100803;gm. Dłutów;Wójt Gminy Dłutów;MAŚLANKA-OLCZYK Grażyna Teresa;Komitet wyborczy wyborców;51.522271,19.275098 51.613136,19.476161;51.5677035,19.3756295;R1;3;50;wyższe rolnicze;995;44.82;-1;Druga tura;10123;101;4567;45;gw
100804;gm. Dobroń;Wójt Gminy Dobroń;JARZĘBAK Robert Wojciech;Komitet wyborczy wyborców;51.553419,19.147946 51.684073,19.326754;51.618746,19.23735;R1;1;50;wyższe;2931;81.62;-1;Tak;9546;95;7653;80;gw
100804;gm. Dobroń;Wójt Gminy Dobroń;KANIEWSKI Zdzisław Leszek;PiS;51.553419,19.147946 51.684073,19.326754;51.618746,19.23735;R1;2;52;wyższe;660;18.38;-1;Nie;9546;95;7653;80;gw
100805;gm. Ksawerów;Wójt Gminy Ksawerów;KOPCZEWSKA Maria Jolanta;Komitet wyborczy wyborców;51.652384,19.372075 51.697409,19.437921;51.6748965,19.404998;R1;1;57;wyższe;1115;29.17;-1;Nie;1364;14;7684;563;gw
100805;gm. Ksawerów;Wójt Gminy Ksawerów;TOPOLSKI Adam Jan;Komitet wyborczy wyborców;51.652384,19.372075 51.697409,19.437921;51.6748965,19.404998;R1;2;61;wyższe;2707;70.83;-1;Tak;1364;14;7684;563;gw
100806;gm. Lutomiersk;Wójt Gminy Lutomiersk;BIAŁEK Bogusława Dorota;Komitet wyborczy wyborców;51.707804,18.998891 51.832794,19.310219;51.770299,19.154555;R1;1;42;wyższe;1454;36.58;-1;Nie;13392;134;8307;62;gw
100806;gm. Lutomiersk;Wójt Gminy Lutomiersk;BORKOWSKI Tadeusz Zygmunt;Komitet wyborczy wyborców;51.707804,18.998891 51.832794,19.310219;51.770299,19.154555;R1;2;61;wyższe;2521;63.42;-1;Tak;13392;134;8307;62;gw
100807;gm. Pabianice;Wójt Gminy Pabianice;KRYSIAK Jerzy Arkadiusz;PiS;51.587652,19.186043 51.736966,19.456343;51.662309,19.321193;R1;1;54;wyższe;660;18.22;-1;Nie;8769;88;7238;83;gw
100807;gm. Pabianice;Wójt Gminy Pabianice;SKAWIŃSKI Adam Kamil;Komitet wyborczy wyborców;51.587652,19.186043 51.736966,19.456343;51.662309,19.321193;R1;2;38;wyższe;1355;37.41;-1;Druga tura;8769;88;7238;83;gw
100807;gm. Pabianice;Wójt Gminy Pabianice;WIECZOREK Marcin Artur;Komitet wyborczy wyborców;51.587652,19.186043 51.736966,19.456343;51.662309,19.321193;R1;3;40;wyższe;1607;44.37;-1;Druga tura;8769;88;7238;83;gw
100901;gm. Działoszyn;Burmistrz Miasta i Gminy Działoszyn;PAŚNIK Mariola;PiS;51.058980,18.740633 51.169831,18.961493;51.1144055,18.851063;R1;1;57;wyższe;1948;29.44%;4668;Nie;12092;121;12665;105;gmw
100902;gm. Kiełczygłów;Wójt Gminy Kiełczygłów;JĘDRZEJSKI Kazimierz Józef;Komitet wyborczy wyborców;51.179546,18.858209 51.289436,19.045639;51.234491,18.951924;R1;1;60;Wyższe;927;37.53;-1;Druga tura;8720;87;4074;47;gw
100902;gm. Kiełczygłów;Wójt Gminy Kiełczygłów;MIELCZAREK Mariusz Grzegorz;Komitet wyborczy wyborców;51.179546,18.858209 51.289436,19.045639;51.234491,18.951924;R1;2;45;Wyższe;905;36.64;-1;Druga tura;8720;87;4074;47;gw
100902;gm. Kiełczygłów;Wójt Gminy Kiełczygłów;ZAJĄC Stanisław Sławomir;PiS;51.179546,18.858209 51.289436,19.045639;51.234491,18.951924;R1;3;53;Wyższe;638;25.83;-1;Nie;8720;87;4074;47;gw
100903;gm. Nowa Brzeźnica;Wójt Gminy Nowa Brzeźnica;JARZĄBEK Jacek Stefan;Komitet wyborczy wyborców;50.982418,19.016776 51.120526,19.257010;51.051472,19.136893;R1;1;49;wyższe;1204;57.44;-1;Tak;13521;135;4609;34;gw
100903;gm. Nowa Brzeźnica;Wójt Gminy Nowa Brzeźnica;TOMASZEWSKI Tomasz Mariusz;PiS;50.982418,19.016776 51.120526,19.257010;51.051472,19.136893;R1;2;41;średnie;892;42.56;-1;Nie;13521;135;4609;34;gw
100904;gm. Pajęczno;Burmistrz Gminy i Miasta Pajęczno;MIELCZAREK Piotr Michał;Komitet wyborczy organizacji i stowarzyszeń;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675;R1;1;42;wyższe;2443;43.42;-1;Druga tura;11363;114;11696;103;gmw
100904;gm. Pajęczno;Burmistrz Gminy i Miasta Pajęczno;STAWIAK Beata Maria;Komitet wyborczy wyborców;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675;R1;2;44;wyższe;242;4.30;-1;Nie;11363;114;11696;103;gmw
100904;gm. Pajęczno;Burmistrz Gminy i Miasta Pajęczno;TOKARSKI Dariusz;Komitet wyborczy wyborców;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675;R1;3;45;wyższe;2397;42.60;-1;Druga tura;11363;114;11696;103;gmw
100904;gm. Pajęczno;Burmistrz Gminy i Miasta Pajęczno;WIŁA Karol Tadeusz;PiS;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675;R1;4;45;wyższe;545;9.69;-1;Nie;11363;114;11696;103;gmw
100905;gm. Rząśnia;Wójt Gminy Rząśnia;STOLARCZYK Tomasz Jerzy;Komitet wyborczy wyborców;51.157531,18.990279 51.300006,19.145643;51.2287685,19.067961;R1;1;52;wyższe;2014;69.04;-1;Tak;8614;86;4892;57;gw
100905;gm. Rząśnia;Wójt Gminy Rząśnia;SZATAN Michał;PiS;51.157531,18.990279 51.300006,19.145643;51.2287685,19.067961;R1;2;40;wyższe;903;30.96;-1;Nie;8614;86;4892;57;gw
100906;gm. Siemkowice;Wójt Gminy Siemkowice;KOTYNIA Zofia Elżbieta;PSL;51.150970,18.787582 51.270345,18.956045;51.2106575,18.8718135;R1;1;56;Średnie;1498;61.54;-1;Tak;9998;100;4814;48;gw
100906;gm. Siemkowice;Wójt Gminy Siemkowice;NOWAK Henryk;Komitet wyborczy wyborców;51.150970,18.787582 51.270345,18.956045;51.2106575,18.8718135;R1;2;58;Wyższe;936;38.46;-1;Nie;9998;100;4814;48;gw
100907;gm. Strzelce Wielkie;Wójt Gminy Strzelce Wielkie;JEDNAK Marek Józef;PiS;51.092257,19.074284 51.172637,19.280657;51.132447,19.1774705;R1;1;58;Wyższe;1188;50.19;-1;Tak;7800;78;4651;60;gw
100907;gm. Strzelce Wielkie;Wójt Gminy Strzelce Wielkie;KOMAR Janusz Leszek;Komitet wyborczy wyborców;51.092257,19.074284 51.172637,19.280657;51.132447,19.1774705;R1;2;41;Wyższe;441;18.63;-1;Nie;7800;78;4651;60;gw
100907;gm. Strzelce Wielkie;Wójt Gminy Strzelce Wielkie;RABENDA Bartosz Adam;Komitet wyborczy wyborców;51.092257,19.074284 51.172637,19.280657;51.132447,19.1774705;R1;3;25;wyższe;738;31.18;-1;Nie;7800;78;4651;60;gw
100908;gm. Sulmierzyce;Wójt Gminy Sulmierzyce;ORZESZEK Gabriel Krzysztof;Komitet wyborczy wyborców;51.154388,19.065338 51.260449,19.312515;51.2074185,19.1889265;R1;1;40;wyższe;2154;87.45;-1;Tak;8274;83;4450;54;gw
100908;gm. Sulmierzyce;Wójt Gminy Sulmierzyce;WYCHOWAŁEK Dariusz Rafał;PiS;51.154388,19.065338 51.260449,19.312515;51.2074185,19.1889265;R1;2;34;wyższe;309;12.55;-1;Nie;8274;83;4450;54;gw
101001;gm. Aleksandrów;Wójt Gminy Aleksandrów;MAŁECKI Michał Stanisław;Komitet wyborczy wyborców;51.180163,19.892270 51.358062,20.067431;51.2691125,19.9798505;R1;1;39;wyższe;1223;42.76;-1;Nie;14409;144;4352;30;gw
101001;gm. Aleksandrów;Wójt Gminy Aleksandrów;MAMROT Paweł Artur;Komitet wyborczy wyborców;51.180163,19.892270 51.358062,20.067431;51.2691125,19.9798505;R1;2;42;wyższe administracyjne i humanistyczne;1637;57.24;-1;Tak;14409;144;4352;30;gw
101002;gm. Czarnocin;Wójt Gminy Czarnocin;MIKSA Roman Marcin;Komitet wyborczy wyborców;51.540111,19.594590 51.649544,19.734051;51.5948275,19.6643205;R1;1;45;wyższe;1491;79.78;-1;Tak;7179;72;4111;57;gw
101002;gm. Czarnocin;Wójt Gminy Czarnocin;STOLAREK Krzysztof;PO;51.540111,19.594590 51.649544,19.734051;51.5948275,19.6643205;R1;2;63;wyższe;378;20.22;-1;Nie;7179;72;4111;57;gw
101003;gm. Gorzkowice;Wójt Gminy Gorzkowice;KABZIŃSKI Marcin;PiS;51.148304,19.520998 51.263847,19.700716;51.2060755,19.610857;R1;1;42;wyższe ekonomiczne;302;6.56;-1;Nie;10217;102;8541;84;gw
101003;gm. Gorzkowice;Wójt Gminy Gorzkowice;KUKULSKI Robert Krzysztof;Komitet wyborczy wyborców;51.148304,19.520998 51.263847,19.700716;51.2060755,19.610857;R1;2;49;wyższe;1097;23.82;-1;Nie;10217;102;8541;84;gw
101003;gm. Gorzkowice;Wójt Gminy Gorzkowice;WŁODARCZYK Alojzy;Komitet wyborczy wyborców;51.148304,19.520998 51.263847,19.700716;51.2060755,19.610857;R1;3;54;wyższe techniczne;3206;69.62;-1;Tak;10217;102;8541;84;gw
101004;gm. Grabica;Wójt Gminy Grabica;GAWRON Dariusz Włodzimierz;Komitet wyborczy wyborców;51.413014,19.411758 51.543852,19.668674;51.478433,19.540216;R1;1;48;wyższe;386;15.38;-1;Nie;12762;128;6087;48;gw
101004;gm. Grabica;Wójt Gminy Grabica;KULIŃSKI Krzysztof Grzegorz;Komitet wyborczy wyborców;51.413014,19.411758 51.543852,19.668674;51.478433,19.540216;R1;2;47;wyższe;2124;84.62;-1;Tak;12762;128;6087;48;gw
101005;gm. Łęki Szlacheckie;Wójt Gminy Łęki Szlacheckie;ŁĄCZNY Piotr;Komitet wyborczy wyborców;51.137003,19.667364 51.265273,19.852454;51.201138,19.759909;R1;1;45;wyższe;1391;73.17;-1;Tak;10896;109;3514;32;gw
101005;gm. Łęki Szlacheckie;Wójt Gminy Łęki Szlacheckie;SMOLAREK Marcin Wojciech;Komitet wyborczy wyborców;51.137003,19.667364 51.265273,19.852454;51.201138,19.759909;R1;2;37;wyższe;289;15.20;-1;Nie;10896;109;3514;32;gw
101005;gm. Łęki Szlacheckie;Wójt Gminy Łęki Szlacheckie;STROJECKI Karol;PiS;51.137003,19.667364 51.265273,19.852454;51.201138,19.759909;R1;3;61;wyższe;221;11.63;-1;Nie;10896;109;3514;32;gw
101006;gm. Moszczenica;Wójt Gminy Moszczenica;PIEKAREK Marceli Leonard;Komitet wyborczy wyborców;51.442266,19.570581 51.564883,19.776404;51.5035745,19.6734925;R1;1;62;średnie;3525;62.85;-1;Tak;11149;111;12857;115;gw
101006;gm. Moszczenica;Wójt Gminy Moszczenica;PIETRZKOWSKA Iwona Katarzyna;PiS;51.442266,19.570581 51.564883,19.776404;51.5035745,19.6734925;R1;2;49;wyższe;1667;29.72;-1;Nie;11149;111;12857;115;gw
101006;gm. Moszczenica;Wójt Gminy Moszczenica;WYCHOWAŁEK Paweł;Komitet wyborczy wyborców;51.442266,19.570581 51.564883,19.776404;51.5035745,19.6734925;R1;3;43;wyższe;417;7.43;-1;Nie;11149;111;12857;115;gw
101007;gm. Ręczno;Wójt Gminy Ręczno;ŁYSOŃ Piotr;Komitet wyborczy wyborców;51.107001,19.815918 51.266280,19.923937;51.1866405,19.8699275;R1;1;50;wyższe;1235;76.80%;373;Tak;8890;89;3554;40;gw
101008;gm. Rozprza;Wójt Gminy Rozprza;JĘDRZEJCZYK Janusz Stanisław;Komitet wyborczy wyborców;51.234408,19.527039 51.375137,19.838179;51.3047725,19.682609;R1;1;53;wyższe;2575;50.54;-1;Tak;16308;163;12306;75;gw
