teryt;name;center;wdistKm
020401;Góra;51.6775665,16.546938;71
020403;Niechlów;51.6953375,16.373028;79
020404;Wąsosz;51.566987,16.7073715;55
020608;Podgórzyn;50.8139915,15.7088145;99
020604;Szklarska Poręba;50.814401,15.466423;115
020602;Kowary;50.778723,15.842766;91
020601;Karpacz;50.763867,15.7442985;98
022503;Bogatynia;50.94787,14.919586;149
020603;Piechowice;50.8277385,15.5876555;106
022501;Zawidów;51.0245045,15.045272;139
022502;Zgorzelec;51.1517745,15.017122;141
022505;Sulików;51.061735,15.0758815;137
022504;Pieńsk;51.275459,15.0930385;136
022506;Węgliniec;51.34213,15.1652095;132
022507;Zgorzelec;51.112729,15.080307;136
022406;Ziębice;50.5820985,17.037862;59
022404;Stoszowice;50.597569,16.676565;63
022403;Kamieniec Ząbkowicki;50.52115,16.910301;67
022405;Ząbkowice Śląskie;50.5983195,16.834261;59
020102;Bolesławiec;51.320913,15.551468;106
020101;Bolesławiec;51.262169,15.55163;105
020103;Gromadka;51.4006135,15.7375655;96
020106;Warta Bolesławiecka;51.2369895,15.7000045;94
020104;Nowogrodziec;51.1973115,15.351311;118
020105;Osiecznica;51.3946915,15.4228505;116
022005;Zawonia;51.332364,17.21947;27
021802;Malczyce;51.1711575,16.5008305;38
022004;Wisznia Mała;51.225371,17.030435;12
021801;Kostomłoty;51.056694,16.64465;28
022006;Żmigród;51.4913675,16.934801;42
021803;Miękinia;51.177027,16.7900085;18
022106;Mieroszów;50.6776995,16.209173;76
021804;Środa Śląska;51.1660305,16.587297;32
022102;Jedlina-Zdrój;50.7241855,16.3395575;65
021805;Udanin;51.058041,16.4434925;42
022101;Boguszów-Gorce;50.755032,16.2055045;71
021303;Milicz;51.5066955,17.2811095;47
022104;Czarny Bór;50.7651535,16.137354;74
021301;Cieszków;51.60639,17.343351;59
022103;Szczawno-Zdrój;50.795233,16.235313;66
021601;Chocianów;51.421964,15.9622825;82
021302;Krośnice;51.444633,17.397656;44
022105;Głuszyca;50.6761965,16.364084;68
021603;Grębocice;51.578185,16.2047615;77
021401;Oleśnica;51.210509,17.3860435;27
022108;Walim;50.7267515,16.410063;62
021602;Gaworzyce;51.62305,15.8939505;97
021403;Dobroszyce;51.2983855,17.3421555;30
022107;Stare Bogaczowice;50.8292535,16.1752455;68
021605;Przemków;51.5091155,15.818135;95
021402;Bierutów;51.141544,17.5018485;33
021404;Dziadowa Kłoda;51.2160685,17.6919215;47
026501;Wałbrzych;50.7851055,16.2913995;64
021604;Polkowice;51.498251,16.080965;79
021405;Międzybórz;51.381945,17.648953;52
022202;Wińsko;51.4453885,16.6182725;47
021606;Radwanice;51.5610305,15.934817;91
022201;Brzeg Dolny;51.2974245,16.6940315;31
021702;Kondratowice;50.7669925,16.9349775;39
021701;Borów;50.85737,17.0065935;29
021704;Strzelin;50.7697595,17.075162;39
021703;Przeworno;50.6827055,17.1619855;49
021705;Wiązów;50.7950475,17.2390685;39
020814;Szczytna;50.399237,16.430405;90
021902;Świebodzice;50.872466,16.338554;56
020904;Kunice;51.236336,16.2742825;55
020902;Chojnów;51.2938565,15.9079155;81
020901;Chojnów;51.272214,15.935727;78
020903;Krotoszyce;51.154173,16.0927925;66
020906;Miłkowice;51.251769,16.103223;67
020905;Legnickie Pole;51.1475985,16.240183;55
020908;Ruja;51.170011,16.387332;45
020907;Prochowice;51.270047,16.388257;48
021005;Olszyna;51.0595585,15.359148;117
021001;Lubań;51.114691,15.2808625;122
021003;Leśna;51.0000015,15.282006;123
021002;Świeradów-Zdrój;50.916952,15.323252;122
021004;Lubań;51.1323355,15.3086855;120
020606;Jeżów Sudecki;50.9613265,15.7349305;92
020605;Janowice Wielkie;50.892468,15.8978705;83
020607;Mysłakowice;50.847639,15.835941;89
020609;Stara Kamienica;50.8990185,15.5525475;106
020501;Jawor;51.067685,16.185091;59
020503;Męcinka;51.0637555,16.065068;68
020502;Bolków;50.922557,16.0670365;71
020505;Paszowice;50.998143,16.1309375;64
022605;Zagrodno;51.204376,15.849682;83
020504;Mściwojów;51.0585695,16.262184;54
022603;Pielgrzymka;51.10516,15.789521;87
020506;Wądroże Wielkie;51.103717,16.3676885;46
022601;Wojcieszów;50.955933,15.9282985;79
020704;Marciszów;50.8577415,16.031973;76
022602;Złotoryja;51.122384,15.918558;78
020702;Kamienna Góra;50.7542435,16.019381;82
022604;Świerzawa;51.0153275,15.8612555;83
020701;Kamienna Góra;50.784689,16.0337155;79
022606;Złotoryja;51.146528,15.9496655;76
020703;Lubawka;50.67986,15.969753;89
026201;Legnica;51.2047315,16.1583115;62
026101;Jelenia Góra (a);50.8501645,15.7275145;96
026401;Wrocław (a);51.1261165,16.991816;3
020203;Pieszyce;50.7036455,16.5537845;57
020201;Bielawa;50.6754715,16.602826;58
020202;Dzierżoniów;50.7291785,16.6473105;51
020205;Dzierżoniów;50.7258675,16.6606305;51
020204;Piława Górna;50.6828765,16.755003;52
020206;Łagiewniki;50.7929445,16.78312;40
020207;Niemcza;50.715427,16.8104835;47
040108;Waganiec;52.80406,18.8574615;67
040201;Brodnica;53.2579615,19.406477;95
040203;Brodnica;53.2408095,19.4033625;95
040202;Bobrowo;53.265958,19.245741;85
040204;Brzozie;53.303862,19.600685;109
040209;Świedziebnia;53.1306,19.579063;105
040205;Górzno;53.186109,19.6505175;110
040206;Bartniczka;53.2290485,19.578716;106
040207;Jabłonowo Pomorskie;53.3891185,19.2020155;86
040208;Osiek;53.157496,19.4021675;94
041808;Izbica Kujawska;52.398555,18.803558;96
041809;Kowal;52.532291,19.166043;102
041812;Lubraniec;52.518166,18.850065;88
041811;Lubień Kujawski;52.41031,19.1826615;112
041813;Włocławek;52.597171,19.1771525;98
041904;Łabiszyn;52.9636405,17.897469;18
041902;Gąsawa;52.7606245,17.798423;42
041901;Barcin;52.857315,17.9468075;29
041903;Janowiec Wielkopolski;52.7673005,17.5129405;51
041906;Żnin;52.855233,17.7169025;35
041905;Rogowo;52.7048105,17.6805795;51
041410;Świekatowo;53.4184535,18.1059065;34
041409;Świecie;53.39653,18.452697;43
041411;Warlubie;53.6135095,18.5571995;66
041504;Lubicz;53.0405415,18.771044;52
041502;Chełmża;53.1917975,18.637767;43
041501;Chełmża;53.192386,18.608813;41
041503;Czernikowo;52.9181535,18.9627605;68
041508;Wielka Nieszawka;52.948822,18.541957;41
041506;Łysomice;53.0995895,18.635024;42
041505;Łubianka;53.1410065,18.485351;32
041507;Obrowo;52.977173,18.8355385;58
041509;Zławieś Wielka;53.099382,18.334662;22
041602;Gostycyn;53.4948835,17.8099555;44
041601;Cekcyn;53.568385,18.051032;50
041604;Lubiewo;53.461492,17.991222;38
041603;Kęsowo;53.578681,17.707244;55
041605;Śliwice;53.7003765,18.150789;66
041105;Piotrków Kujawski;52.53062,18.5090945;74
041107;Topólka;52.5008825,18.675527;82
041005;Szubin;53.012301,17.720851;22
041002;Mrocza;53.237717,17.559759;32
041001;Kcynia;53.002642,17.457661;38
041004;Sadki;53.1597095,17.42752;38
041003;Nakło nad Notecią;53.141937,17.648624;24
041206;Wąpielsk;53.146103,19.2772595;85
041202;Brzuze;53.054551,19.259646;84
041201;Rypin;53.0630685,19.420709;95
041204;Rypin;53.049091,19.4386695;96
041203;Rogowo;52.980947,19.416387;96
041205;Skrwilno;53.0369245,19.594011;107
040506;Zbójno;53.009926,19.123342;76
040604;Radzyń Chełmiński;53.3813905,18.9363325;69
040602;Gruta;53.4519995,18.949504;73
040603;Łasin;53.5275405,19.0973455;86
040606;Świecie nad Osą;53.439918,19.126246;83
040605;Rogóźno;53.5509455,18.9309055;78
040703;Gniewkowo;52.884398,18.4261085;38
040701;Inowrocław;52.781695,18.250197;41
040702;Dąbrowa Biskupia;52.7757535,18.490546;50
040705;Janikowo;52.7250715,18.101573;44
040704;Inowrocław;52.795304,18.276766;40
040210;Zbiczno;53.349884,19.387185;96
040304;Koronowo;53.322755,17.885567;24
040302;Dąbrowa Chełmińska;53.174691,18.244385;18
040301;Białe Błota;53.0865635,17.9028495;7
040303;Dobrcz;53.270262,18.163243;20
040306;Osielsko;53.216458,18.055312;12
040305;Nowa Wieś Wielka;53.0154465,18.1084205;13
040307;Sicienko;53.2176935,17.813696;17
040308;Solec Kujawski;53.0345745,18.253317;19
040501;Golub-Dobrzyń;53.1122315,19.054137;70
040107;Raciążek;52.850802,18.8200575;62
040503;Golub-Dobrzyń;53.1347305,19.101348;74
040103;Nieszawa;52.8396245,18.886434;67
040502;Ciechocin;53.0448485,18.9211435;62
040101;Aleksandrów Kujawski;52.876452,18.7004405;54
040505;Radomin;53.094716,19.173875;78
040504;Kowalewo Pomorskie;53.1457995,18.8707205;58
041606;Tuchola;53.6530205,17.8947395;60
041701;Wąbrzeźno;53.2783555,18.9523935;66
041705;Ryńsk;53.2657475,18.912922;63
041703;Książki;53.3293415,19.0642765;75
041702;Dębowa Łąka;53.229916,19.063063;72
041704;Płużnica;53.3164245,18.794441;57
046101;Bydgoszcz (a);53.129727,18.038169;3
046201;Grudziądz;53.4724245,18.7785915;65
041803;Boniewo;52.458425,18.8819655;94
046301;Toruń;53.014486,18.6014485;42
041801;Kowal;52.532396,19.145065;101
046401;Włocławek;52.6653805,19.060831;87
041802;Baruchowo;52.506713,19.297539;110
040401;Chełmno;53.352401,18.4254615;39
041805;Choceń;52.4974645,19.029039;98
040405;Papowo Biskupie;53.256721,18.573747;41
041804;Brześć Kujawski;52.628065,18.8940735;81
040403;Kijewo Królewskie;53.2637295,18.440212;34
041806;Chodecz;52.3938385,19.0247415;106
040404;Lisewo;53.29605,18.6488535;48
040407;Unisław;53.226433,18.3675985;27
040406;Stolno;53.3396045,18.589288;46
041303;Sośno;53.3621375,17.659399;35
041301;Kamień Krajeński;53.5474285,17.529046;57
041302;Sępólno Krajeńskie;53.44934,17.513002;49
041304;Więcbork;53.35109,17.4345105;46
041402;Dragacz;53.4951835,18.674063;61
041401;Bukowiec;53.4224895,18.24774;38
041403;Drzycim;53.5116405,18.3250125;49
041406;Nowe;53.630423,18.674751;73
041405;Lniano;53.515172,18.201608;46
041408;Pruszcz;53.3190545,18.182911;26
041407;Osie;53.6139185,18.2984055;59
040804;Dobrzyń nad Wisłą;52.6774435,19.3102235;101
040806;Lipno;52.813486,19.135007;83
040809;Wielgie;52.7509085,19.256779;94
040808;Tłuchowo;52.748517,19.4362405;105
040901;Dąbrowa;52.7707075,17.943301;39
040902;Jeziora Wielkie;52.5371685,18.226247;66
040903;Mogilno;52.631121,17.950286;54
040904;Strzelno;52.630618,18.1748355;55
041106;Radziejów;52.632744,18.5645105;66
041104;Osięciny;52.647409,18.7316705;72
040706;Kruszwica;52.6364415,18.369577;59
041102;Bytoń;52.557825,18.620774;75
040709;Złotniki Kujawskie;52.9025615,18.093318;25
041101;Radziejów;52.6191175,18.530996;66
040707;Pakość;52.8121105,18.1015965;35
041103;Dobre;52.684662,18.5836935;62
040708;Rojewo;52.921569,18.307204;30
040807;Skępe;52.868263,19.380522;96
040803;Chrostkowo;52.94551,19.227089;84
040801;Lipno;52.8424845,19.175531;84
040802;Bobrowniki;52.771488,18.999499;77
040805;Kikół;52.9226135,19.112445;77
040102;Ciechocinek;52.884346,18.7949615;59
040105;Bądkowo;52.704424,18.792197;70
040104;Aleksandrów Kujawski;52.8656105,18.6652385;53
040106;Koneck;52.7879995,18.7090245;60
040109;Zakrzewo;52.7488745,18.624421;59
061107;Stanin;51.891302,22.188815;78
061109;Trzebieszów;51.9979775,22.534685;85
061111;Wola Mysłowska;51.8503285,21.981658;80
061202;Józefów nad Wisłą;51.022395,21.91623;51
061201;Chodel;51.100421,22.144146;33
061206;Poniatowa;51.2158855,22.0929135;33
061204;Łaziska;51.1524575,21.8558065;50
061203;Karczmiska;51.244613,21.9983515;40
061205;Opole Lubelskie;51.122102,21.989043;42
061207;Wilków;51.2471345,21.894145;47
061304;Parczew;51.600647,22.9155965;47
060813;Uścimów;51.479026,22.94975;38
061302;Jabłoń;51.707579,23.0566835;63
060902;Borzechów;51.080673,22.254929;28
061301;Dębowa Kłoda;51.5919325,23.042537;52
060901;Bełżyce;51.159145,22.245141;24
061303;Milanów;51.7293545,22.911237;60
060908;Konopnica;51.2162555,22.4276795;10
060904;Garbów;51.372322,22.343987;22
060903;Bychawa;51.0012205,22.5379485;26
060906;Jabłonna;51.082206,22.6379445;18
060907;Jastków;51.294832,22.408424;13
060912;Strzyżewice;51.0596515,22.470107;20
060910;Niedrzwica Duża;51.1112755,22.393237;18
060909;Krzczonów;51.008602,22.706873;27
060911;Niemce;51.3455235,22.559587;12
060913;Wojciechów;51.2320355,22.2359305;23
060916;Zakrzew;50.8953255,22.54674;38
060309;Ruda-Huta;51.2225115,23.6187835;73
060610;Siennica Różana;51.008476,23.3346675;59
060305;Dubienka;51.036288,23.8493785;92
060701;Kraśnik;50.943372,22.2134935;41
060303;Chełm;51.1510705,23.4470965;62
060709;Wilkołaz;50.9968785,22.3156475;32
060302;Białopole;50.969927,23.778419;90
060304;Dorohusk (c);51.1586295,23.7250305;81
060703;Dzierzkowice;50.9583355,22.078299;46
060104;Drelów;51.9167295,22.8984465;79
060307;Leśniowice;51.001569,23.500717;70
060702;Annopol;50.8781825,21.894114;61
060103;Biała Podlaska;52.0303885,23.0976565;96
060306;Kamień;51.091236,23.618503;75
060704;Gościeradów;50.864935,22.007115;57
060105;Janów Podlaski;52.1980315,23.252721;117
060308;Rejowiec Fabryczny;51.129191,23.171856;44
060707;Trzydnik Duży;50.857974,22.1624435;50
060108;Leśna Podlaska;52.127276,23.043124;105
060313;Wojsławice;50.9265705,23.564297;78
060706;Szastarka;50.842039,22.3346245;46
060107;Konstantynów;52.209598,23.105798;115
060311;Siedliszcze;51.2062305,23.1780325;43
060604;Izbica;50.892484,23.1538005;56
060109;Łomazy;51.898354,23.166082;85
060310;Sawin;51.27911,23.465063;63
060603;Gorzków;50.9550585,22.979196;42
060118;Wisznice;51.780728,23.1606685;73
060312;Wierzbica;51.2771605,23.3052045;52
060114;Sławatycze (c);51.786098,23.553311;92
060315;Rejowiec;51.104649,23.2728905;51
060611;Żółkiewka;50.895208,22.8441115;42
060112;Rokitno;52.1351065,23.3174525;113
060314;Żmudź;51.03617,23.681721;81
060609;Rudnik;50.8612905,22.9541165;49
060111;Piszczac;51.9596145,23.383153;99
060401;Hrubieszów (c);50.806795,23.890625;104
060607;Łopiennik Górny;51.0445525,23.0887175;42
060113;Rossosz;51.8489395,23.1201025;78
060405;Mircze;50.6347455,23.918021;116
060116;Terespol (c);52.0883805,23.552016;117
060403;Horodło (c);50.9184715,24.0105425;107
060115;Sosnówka;51.7395305,23.3512135;78
060117;Tuczna;51.857376,23.4349195;92
060119;Zalesie;52.064411,23.399815;109
060202;Aleksandrów;50.4675995,22.885218;88
062011;Stary Zamość;50.8292865,23.214689;64
061705;Trawniki;51.1427155,22.984153;31
061704;Rybczewice;51.0263475,22.862977;31
062013;Szczebrzeszyn;50.708238,23.0041945;66
062015;Zwierzyniec;50.5944805,22.991851;77
061813;Ulhówek;50.441739,23.8369445;125
062004;Krasnobród;50.529189,23.178396;89
061801;Tomaszów Lubelski;50.4478745,23.426498;106
062002;Grabowiec;50.8359635,23.5457345;81
061807;Rachanie;50.5498825,23.557815;103
062001;Adamów;50.5998535,23.188058;83
061805;Lubycza Królewska;50.3339335,23.5707365;122
062003;Komarów-Osada;50.636786,23.498386;93
061803;Jarczów;50.4464055,23.5862;113
066301;Lublin;51.218389,22.563923;2
061802;Bełżec;50.375088,23.431343;113
066201;Chełm;51.1355835,23.489705;65
061804;Krynice;50.5784975,23.4106655;94
066401;Zamość;50.721398,23.248517;74
061806;Łaszczów;50.534152,23.7211195;112
061811;Tomaszów Lubelski;50.4481585,23.4313845;106
061809;Tarnawatka;50.524426,23.391542;98
061808;Susiec;50.4323735,23.203086;100
061810;Telatyn;50.5311735,23.8799535;121
061307;Sosnowica;51.4970995,23.0942475;47
061305;Podedwórze;51.6612835,23.2269095;66
061306;Siemień;51.623911,22.7584945;45
061403;Janowiec;51.329632,21.8839575;49
061401;Puławy;51.4265835,21.977061;46
061402;Baranów;51.5412125,22.16774;44
061405;Końskowola;51.4064755,22.0822545;39
061404;Kazimierz Dolny;51.3258535,21.987757;42
061407;Markuszów;51.381781,22.2601145;27
061406;Kurów;51.407883,22.174151;33
061411;Żyrzyn;51.5089065,22.070192;46
061409;Puławy;51.4592885,21.8969085;53
061408;Nałęczów;51.308736,22.239298;24
061410;Wąwolnica;51.300749,22.117744;32
061503;Czemierniki;51.669442,22.6313825;49
060914;Wólka;51.2807185,22.6843595;10
060915;Wysokie;50.90746,22.694812;37
061005;Puchaczów;51.301679,23.0036695;31
061001;Cyców;51.3097605,23.152448;42
061002;Ludwin;51.3810745,22.9446745;31
061003;Łęczna;51.3003235,22.862409;22
061004;Milejów;51.226158,22.9571365;27
061006;Spiczyn;51.355717,22.7528065;19
061106;Serokomla;51.687444,22.3130775;53
061102;Stoczek Łukowski;51.9571145,21.9579575;91
061101;Łuków;51.9252495,22.385424;78
061104;Krzywda;51.7835825,22.124871;68
061103;Adamów;51.707917,22.213774;58
061105;Łuków;51.9399335,22.3471675;80
061110;Wojcieszków;51.787023,22.327403;64
061108;Stoczek Łukowski;51.95468,22.016411;89
060708;Urzędów;51.0110935,22.1383005;39
060201;Biłgoraj;50.5390295,22.7116945;78
060710;Zakrzówek;50.9397245,22.400995;35
060204;Biszcza;50.414446,22.619104;91
060802;Abramów;51.471569,22.289754;33
060203;Biłgoraj;50.5543465,22.6728855;76
060801;Lubartów;51.4584075,22.6058695;25
060210;Obsza;50.3337205,22.997721;105
060804;Jeziorzany;51.624554,22.2684545;48
060206;Goraj;50.732364,22.7005545;56
060803;Firlej;51.5673725,22.487678;38
060205;Frampol;50.667861,22.7418415;64
060805;Kamionka;51.44499,22.448136;25
060208;Księżpol;50.4173955,22.776044;92
060810;Ostrów Lubelski;51.4565435,22.818532;30
060207;Józefów;50.4937935,23.0681425;89
060209;Łukowa;50.402214,22.9738235;97
060806;Kock;51.651847,22.4321935;47
060212;Tarnogród;50.338511,22.743007;100
060211;Potok Górny;50.4046555,22.5130725;92
060809;Niedźwiada;51.526308,22.703745;34
060214;Turobin;50.8198125,22.738138;48
060812;Serniki;51.4354115,22.718686;25
060213;Tereszpol;50.5661165,22.8944035;78
060811;Ostrówek;51.595902,22.6072845;40
060301;Rejowiec Fabryczny;51.119208,23.249844;49
060402;Dołhobyczów (c);50.5317375,23.9871835;127
060404;Hrubieszów;50.8151225,23.9274595;106
060407;Uchanie;50.899516,23.6946135;87
060406;Trzeszczany;50.822068,23.725965;93
060408;Werbkowice;50.7204005,23.7406165;100
060506;Modliborzyce;50.746182,22.3374205;57
060504;Godziszów;50.777747,22.473843;51
060502;Chrzanów;50.7764905,22.607023;51
060110;Międzyrzec Podlaski;52.0181845,22.7731195;88
060501;Batorz;50.8637435,22.4724585;42
060102;Terespol (c);52.0768485,23.618978;119
060503;Dzwola;50.6737145,22.544296;62
060101;Międzyrzec Podlaski;51.9810115,22.7768895;84
060505;Janów Lubelski;50.6617305,22.392082;65
060106;Kodeń;51.915651,23.5928565;104
060507;Potok Wielki;50.7523225,22.216768;59
060606;Kraśniczyn;50.925123,23.3545105;65
060602;Fajsławice;51.0719445,22.9570565;33
060601;Krasnystaw;50.991917,23.169909;50
061812;Tyszowce;50.6350195,23.674855;102
066101;Biała Podlaska;52.0290345,23.1383055;97
061907;Wola Uhruska;51.347804,23.579022;72
061903;Hańsk;51.4231425,23.423541;63
061501;Radzyń Podlaski;51.7768375,22.6263695;61
061901;Włodawa;51.541286,23.533696;75
061502;Borki;51.728606,22.4984395;55
061507;Ulan-Majorat;51.8391575,22.4655885;68
061905;Urszulin;51.39725,23.173954;46
061505;Komarówka Podlaska;51.8296115,22.9474865;71
061904;Stary Brus;51.4939415,23.2647755;56
061504;Kąkolewnica;51.8992065,22.6648435;74
061506;Radzyń Podlaski;51.7906125,22.6093335;62
061908;Wyryki;51.567044,23.334237;65
061508;Wohyń;51.761783,22.799733;61
062012;Sułów;50.7603335,22.975768;60
061602;Kłoczew;51.7388015,21.965414;70
062008;Radecznica;50.6933115,22.8296945;63
061601;Dęblin;51.5672835,21.8743385;61
062006;Miączyn;50.7393895,23.552408;88
061604;Ryki;51.6169185,21.9569845;60
062005;Łabunie;50.65903,23.3569085;85
061603;Nowodwór;51.6660575,22.1029305;58
062007;Nielisz;50.81054,23.0572105;58
061606;Ułęż;51.6138185,22.1109185;53
062010;Skierbieszów;50.844888,23.361244;70
061605;Stężyca;51.61035,21.7412665;71
062009;Sitno;50.7435025,23.3885155;79
061701;Świdnik (a);51.2167125,22.6849365;8
061703;Piaski;51.130473,22.805302;20
061702;Mełgiew;51.2269905,22.776375;15
081003;Brzeźnica;51.7122055,15.403878;25
081002;Żagań;51.6149845,15.3156675;38
081004;Iłowa;51.522234,15.181249;51
081006;Niegosławice;51.6121615,15.734545;39
080904;Kargowa;52.0650565,15.8701725;29
080903;Czerwieńsk;52.040437,15.396963;14
080905;Nowogród Bobrzański;51.8182485,15.273026;20
080908;Trzebiechów;52.020099,15.716691;18
080906;Sulechów;52.0944715,15.5755185;19
080907;Świdnica;51.909799,15.354381;10
080909;Zabór;51.9494895,15.699358;14
081009;Żagań;51.584673,15.3762015;40
081007;Szprotawa;51.5700065,15.595512;41
081008;Wymiarki;51.5216945,15.078589;54
080702;Lubniewice;52.518612,15.222675;24
080102;Bogdaniec;52.687637,15.0977145;10
081001;Gozdnica;51.453676,15.0856965;61
080105;Lubiszyn;52.808763,14.9797135;19
081005;Małomice;51.5589375,15.4948725;42
080704;Sulęcin;52.4368815,15.2099715;33
080104;Kłodawa;52.832065,15.256759;11
080705;Torzym;52.308189,15.055646;49
080106;Santok;52.7557585,15.440737;14
080801;Lubrza;52.2947545,15.403266;41
080107;Witnica;52.689338,14.8599835;26
080803;Skąpe;52.159657,15.4370005;26
080205;Gubin;51.9330535,14.776431;50
080802;Łagów;52.28664,15.2485395;43
080201;Gubin;51.9572605,14.74905;52
080804;Szczaniec;52.2422295,15.6936585;37
080302;Międzyrzecz;52.4394855,15.5822225;40
080203;Bytnica;52.1635045,15.16168;35
080805;Świebodzin;52.2428495,15.528422;34
080304;Pszczew;52.484552,15.7718715;46
080202;Bobrowice;51.9358295,15.058865;30
080806;Zbąszynek;52.256145,15.796287;41
080305;Skwierzyna;52.63506,15.5888955;26
080204;Dąbie;51.9787835,15.173017;23
080902;Bojadła;51.958328,15.83533;23
080901;Babimost;52.153774,15.801631;32
080306;Trzciel;52.360494,15.7595635;51
080207;Maszewo;52.1237015,14.9246585;45
080402;Bytom Odrzański;51.7175095,15.8066925;32
080206;Krosno Odrzańskie;52.0542585,15.098567;31
080501;Cybinka;52.1886235,14.7981425;56
080403;Kolsko;51.971033,15.92759;30
080301;Bledzew;52.518571,15.4129995;27
080502;Górzyca;52.4990655,14.710817;44
080408;Siedlisko;51.7654295,15.8886455;33
080303;Przytoczna;52.5810995,15.6866095;35
080504;Rzepin;52.370654,14.7933785;50
080404;Kożuchów;51.764818,15.581407;20
080505;Słubice;52.3601675,14.6377905;58
080405;Nowa Sól;51.82736,15.7854455;23
080601;Dobiegniew;53.008283,15.802743;49
080406;Nowe Miasteczko;51.689834,15.7038285;30
081203;Wschowa;51.816705,16.2896475;56
080603;Stare Kurowo;52.841893,15.6913145;33
080407;Otyń;51.8569295,15.6777485;15
086201;Zielona Góra (a);51.9277125,15.5215805;2
080602;Drezdenko;52.82876,15.7788645;38
080401;Nowa Sól;51.803404,15.7118515;21
086101;Gorzów Wielkopolski;52.730556,15.217156;1
081107;Przewóz;51.4690985,14.936434;65
080605;Zwierzyn;52.802562,15.569931;24
080503;Ośno Lubuskie;52.4501815,14.895518;39
080103;Deszczno;52.659679,15.2895535;9
081105;Lipinki Łużyckie;51.631897,14.991309;48
080604;Strzelce Krajeńskie;52.904419,15.485977;26
080101;Kostrzyn nad Odrą;52.6162795,14.6401525;42
081104;Jasień;51.7633535,15.0423885;37
080703;Słońsk;52.5647145,14.806357;34
081106;Lubsko;51.81694,14.9790225;38
080701;Krzeszyce;52.5807735,15.0723145;20
081109;Tuplice;51.6943215,14.8920175;50
081108;Trzebiel;51.6005785,14.8367925;59
081110;Żary;51.66475,15.1091685;40
081201;Sława;51.877581,16.013443;36
081202;Szlichtyngowa;51.731194,16.2546345;57
081103;Brody;51.768107,14.7835805;53
081101;Łęknica;51.547282,14.756274;67
081102;Żary;51.6245895,15.1454695;42
102004;Aleksandrów Łódzki;51.827673,19.247915;16
102006;Ozorków;51.9854725,19.294864;25
102009;Zgierz;51.9356265,19.386266;18
102008;Stryków;51.9091065,19.609305;17
102103;Dmosin;51.8926615,19.774787;24
102101;Brzeziny;51.800661,19.7494345;20
102102;Brzeziny;51.817688,19.7397555;19
102105;Rogów;51.832859,19.8688755;28
102104;Jeżów;51.7902245,19.9458555;33
