teryt;name;center;wdistKm
022203;Wołów;51.332311,16.6074315;38
021406;Oleśnica;51.2098585,17.4515835;31
022302;Długołęka;51.187834,17.211194;15
021407;Syców;51.298589,17.650431;48
022301;Czernica;51.066266,17.2622525;17
021408;Twardogóra;51.376858,17.4550385;41
022303;Jordanów Śląski;50.860558,16.848088;31
022306;Mietków;50.9683425,16.657202;31
022304;Kąty Wrocławskie;51.0333645,16.8230165;17
022305;Kobierzyce;50.960799,16.9368675;19
022307;Sobótka;50.9065575,16.766155;30
022308;Siechnice;51.032178,17.145507;12
022309;Żórawina;50.96741,17.0494505;17
021504;Oława;50.9239445,17.3158105;29
022407;Złoty Stok;50.443138,16.8515255;76
021502;Domaniów;50.913639,17.1502055;24
022402;Ciepłowody;50.671645,16.9157805;50
021501;Oława;50.9574515,17.294215;25
022401;Bardo;50.5138345,16.750986;70
021503;Jelcz-Laskowice;51.0331665,17.406749;28
021901;Świdnica;50.840617,16.492523;49
021903;Dobromierz;50.9450035,16.233216;59
021007;Siekierczyn;51.123902,15.1898565;129
021904;Jaworzyna Śląska;50.907179,16.436971;48
021006;Platerówka;51.0601895,15.193186;129
021905;Marcinowice;50.8781635,16.6153985;39
021101;Lubin (a);51.399417,16.1939415;66
021906;Strzegom;50.9536955,16.366786;50
021103;Rudna;51.5224735,16.3300445;67
021907;Świdnica;50.80824,16.4689875;52
021102;Lubin;51.3711455,16.179661;66
021908;Żarów;50.9476885,16.5267365;40
021104;Ścinawa;51.391995,16.392715;54
021202;Lubomierz;51.0055595,15.5473325;105
022003;Trzebnica;51.354735,17.1021455;27
021201;Gryfów Śląski;51.044249,15.4398685;112
022001;Oborniki Śląskie;51.2791445,16.890133;21
021203;Lwówek Śląski;51.121997,15.602352;100
022002;Prusice;51.390187,16.913966;32
021204;Mirsk;50.918972,15.4017945;116
021205;Wleń;51.0072375,15.672338;96
020803;Kudowa-Zdrój;50.445798,16.268813;92
020801;Duszniki-Zdrój;50.370361,16.381848;95
020802;Kłodzko;50.433701,16.6490345;81
020805;Polanica-Zdrój;50.3988995,16.4994725;88
020804;Nowa Ruda;50.5735,16.519743;70
020807;Kłodzko;50.447015,16.668529;79
020806;Bystrzyca Kłodzka;50.2872735,16.637027;96
020809;Lewin Kłodzki;50.414928,16.3031135;93
020808;Lądek-Zdrój;50.3492305,16.8419125;86
020813;Stronie Śląskie;50.26067,16.9156545;96
020301;Głogów;51.670178,16.0435715;92
020811;Nowa Ruda;50.5890215,16.5072725;69
020305;Pęcław;51.6458325,16.261515;80
020810;Międzylesie;50.171058,16.6952385;108
020303;Jerzmanowa;51.595815,16.036256;87
020812;Radków;50.513108,16.4309145;79
020304;Kotla;51.741004,16.0453805;98
020306;Żukowice;51.670003,15.935772;98
020402;Jemielno;51.5634465,16.5150235;61
