020101;m. Bolesławiec;Prezydent Miasta Bolesławiec;ROMAN Piotr;Komitet wyborczy wyborców;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163;R1;3;56;wyższe;9647;60.37;-1;Tak;2357;24;39084;1658;gm
020102;gm. Bolesławiec;Wójt Gminy Bolesławiec;DUTKOWSKI Andrzej Zbigniew;Komitet wyborczy wyborców;51.175601,15.435787 51.466225,15.667149;51.320913,15.551468;R1;1;63;wyższe;2883;52.50;-1;Tak;28849;288;14391;50;gw
020103;gm. Gromadka;Wójt Gminy Gromadka;PAWLISZCZY Dariusz Oleś;Komitet wyborczy wyborców;51.283835,15.616778 51.517392,15.858353;51.4006135,15.7375655;R1;2;56;wyższe;1355;50.33;-1;Tak;26768;268;5345;20;gw
020104;gm. Nowogrodziec;Burmistrz Nowogrodźca;RELICH Robert Marek;Komitet wyborczy wyborców;51.112362,15.205959 51.282261,15.496663;51.1973115,15.351311;R1;1;48;wyższe;2839;50.35;-1;Tak;17629;176;15290;87;gmw
020105;gm. Osiecznica;Wójt Gminy Osiecznica;NALAZEK Waldemar Jerzy;Komitet wyborczy wyborców;51.258337,15.249757 51.531046,15.595944;51.3946915,15.4228505;R1;1;63;wyższe;1974;85.79%;327;Tak;43704;438;7398;17;gw
020106;gm. Warta Bolesławiecka;Wójt Gminy Warta Bolesławiecka;HANISZEWSKI Mirosław Kazimierz;Komitet wyborczy wyborców;51.159265,15.622624 51.314714,15.777385;51.2369895,15.7000045;R1;1;62;wyższe;2421;68.54;-1;Tak;11044;110;8665;78;gw
020202;m. Dzierżoniów;Burmistrz Dzierżoniowa;KUCHARSKI Dariusz;Komitet wyborczy organizacji i stowarzyszeń;50.700225,16.604455 50.758132,16.690166;50.7291785,16.6473105;R1;3;49;wyższe;8851;68.82;-1;Tak;2007;20;33653;1677;gm
020203;m. Pieszyce;Burmistrz Miasta i Gminy Pieszyce;KONIECZNA-ENÖZEL Dorota;Komitet wyborczy wyborców;50.648606,16.479584 50.758685,16.627985;50.7036455,16.5537845;R1;1;42;wyższe;2634;68.52;-1;Tak;6361;64;9550;150;gmw
020205;gm. Dzierżoniów;Wójt Gminy Dzierżoniów;CHMIELEWSKI Marek Jan;Komitet wyborczy wyborców;50.624973,16.547988 50.826762,16.773273;50.7258675,16.6606305;R1;1;56;wyższe;2633;71.14;-1;Tak;14106;141;9185;65;gw
020301;m. Głogów;Prezydent Miasta Głogowa;ROKASZEWICZ Rafael Ryszard;Komitet wyborczy wyborców;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715;R1;3;44;wyższe;16568;61.17;-1;Tak;3511;35;68179;1942;gm
020302;gm. Głogów;Wójt Gminy Głogów;ZIMNY Bartłomiej Antoni;Komitet wyborczy wyborców;51.607547,16.031523 51.724086,16.227821;51.6658165,16.129672;R1;2;42;wyższe techniczne;1927;61.62;-1;Tak;8479;85;6663;79;gw
020304;gm. Kotla;Wójt Gminy Kotla;HORBATOWSKI Łukasz;Komitet wyborczy wyborców;51.677254,15.912931 51.804754,16.177830;51.741004,16.0453805;R1;1;38;wyższe;1431;89.38%;170;Tak;12752;128;4415;35;gw
020305;gm. Pęcław;Wójt Gminy Pęcław;JURKOWSKI Artur Andrzej;Komitet wyborczy wyborców;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515;R1;1;51;wyższe;568;74.05%;199;Tak;6427;64;2284;36;gw
020306;gm. Żukowice;Wójt Gminy Żukowice;WOŁOSZYN Krzysztof Piotr;Komitet wyborczy wyborców;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772;R1;2;41;wyższe;1211;79.51;-1;Tak;6826;68;3467;51;gw
020401;gm. Góra;Burmistrz Góry;KRZYSZKIEWICZ Irena Teresa;Komitet wyborczy wyborców;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938;R1;3;57;Wyższe;4242;59.22;-1;Tak;26611;266;20177;76;gmw
020402;gm. Jemielno;Wójt Gminy Jemielno;SIERPOWSKA Anita Agnieszka;Komitet wyborczy wyborców;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235;R1;1;31;wyższe;709;57.32;-1;Tak;12402;124;3051;25;gw
020403;gm. Niechlów;Wójt Gminy Niechlów;PONA Beata Barbara;Komitet wyborczy wyborców;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;R1;3;52;Wyższe;1249;58.72;-1;Tak;15103;151;4985;33;gw
020501;m. Jawor;Burmistrz Miasta Jawora;BERA Emilian Stanisław;Komitet wyborczy wyborców;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091;R1;1;33;wyższe;5535;55.63;-1;Tak;1880;19;23266;1238;gm
020502;gm. Bolków;Burmistrz Bolkowa;KUCAB Grzegorz Michał;Komitet wyborczy wyborców;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365;R1;3;39;wyższe;2565;56.31;-1;Tak;15260;153;10611;70;gmw
020503;gm. Męcinka;Wójt Gminy Męcinka;BRZOZOWSKI Mirosław Kazimierz;Komitet wyborczy wyborców;50.990843,15.932950 51.136668,16.197186;51.0637555,16.065068;R1;1;51;średnie;1980;84.47%;364;Tak;14778;148;5001;34;gw
020504;gm. Mściwojów;Wójt Gminy Mściwojów;FORYŚ Mariusz Damian;Komitet wyborczy wyborców;51.002166,16.177775 51.114973,16.346593;51.0585695,16.262184;R1;1;41;wyższe;1285;65.26;-1;Tak;7194;72;4113;57;gw
020505;gm. Paszowice;Wójt Gminy Paszowice;OSZCZĘDA Sebastian Paweł;Komitet wyborczy wyborców;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375;R1;1;40;wyższe;1059;59.20;-1;Tak;10128;101;3976;39;gw
020506;gm. Wądroże Wielkie;Wójt Gminy Wądroże Wielkie;JEDLECKA Elżbieta Barbara;Komitet wyborczy wyborców;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;R1;1;45;wyższe;1239;63.34;-1;Tak;8915;89;3980;45;gw
020601;m. Karpacz;Burmistrz Karpacza;JĘCEK Radosław Adrian;Komitet wyborczy wyborców;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;R1;2;43;wyższe;1115;51.62;-1;Tak;3799;39;4711;124;gm
020605;gm. Janowice Wielkie;Wójt Gminy Janowice Wielkie;KOWALSKI Kamil Daniel;Komitet wyborczy wyborców;50.834695,15.833763 50.950241,15.961978;50.892468,15.8978705;R1;1;44;wyższe;984;55.10;-1;Tak;5783;57;4320;75;gw
020606;gm. Jeżów Sudecki;Wójt Gminy Jeżów Sudecki;DUDEK Edward Jan;Komitet wyborczy wyborców;50.909469,15.633367 51.013184,15.836494;50.9613265,15.7349305;R1;1;53;wyższe;1702;59.26;-1;Tak;9428;94;7283;77;gw
020607;gm. Mysłakowice;Wójt Gminy Mysłakowice;ORMAN Michał;Komitet wyborczy wyborców;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;R1;3;44;wyższe;2151;53.37;-1;Tak;8798;88;10218;116;gw
020608;gm. Podgórzyn;Wójt Gminy Podgórzyn;KALATA Mirosław;Komitet wyborczy wyborców;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145;R1;3;39;wyższe;2272;63.66;-1;Tak;8251;83;8294;101;gw
020609;gm. Stara Kamienica;Wójt Gminy Stara Kamienica;MAREK Mariusz Krzysztof;Komitet wyborczy wyborców;50.845130,15.439173 50.952907,15.665922;50.8990185,15.5525475;R1;1;41;wyższe;1533;84.42%;283;Tak;11050;111;5267;48;gw
020702;gm. Kamienna Góra;Wójt Gminy Kamienna Góra;STRAUS Patryk Piotr;Komitet wyborczy wyborców;50.669526,15.859248 50.838961,16.179514;50.7542435,16.019381;R1;1;38;wyższe;2916;83.39%;581;Tak;15803;158;9046;57;gw
020704;gm. Marciszów;Wójt Gminy Marciszów;CEPIELIK Wiesław Waldemar;PO;50.802023,15.941398 50.913460,16.122548;50.8577415,16.031973;R1;1;44;wyższe;1243;57.89;-1;Tak;8157;82;4553;56;gw
020801;m. Duszniki-Zdrój;Burmistrz Miasta Duszniki-Zdrój;LEWANDOWSKI Piotr Andrzej;Komitet wyborczy wyborców;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848;R1;1;34;średnie;1055;52.23;-1;Tak;2228;22;4728;212;gm
020802;m. Kłodzko;Burmistrz Miasta Kłodzka;PISZKO Michał Jan;Komitet wyborczy wyborców;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345;R1;4;37;wyższe;7577;67.56;-1;Tak;2484;25;27193;1095;gm
020803;m. Kudowa-Zdrój;Burmistrz Miasta Kudowa-Zdrój;POTOCZNA Aneta Ewa;Komitet wyborczy organizacji i stowarzyszeń;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813;R1;3;45;wyższe;2195;50.44;-1;Tak;3390;34;10018;296;gm
020804;m. Nowa Ruda;Burmistrz Miasta Nowa Ruda;KILIŃSKI Tomasz Jacek;Komitet wyborczy wyborców;50.523802,16.460259 50.623198,16.579227;50.5735,16.519743;R1;1;47;wyższe;5468;68.43;-1;Tak;3705;37;22455;606;gm
020806;gm. Bystrzyca Kłodzka;Burmistrz Bystrzycy Kłodzkiej;SURMA Renata Lucyna;Komitet wyborczy wyborców;50.194995,16.436487 50.379552,16.837567;50.2872735,16.637027;R1;3;52;wyższe;4251;52.25;-1;Tak;33853;339;19077;56;gmw
020807;gm. Kłodzko;Wójt Gminy Kłodzko;TUR Zbigniew Józef;Komitet wyborczy wyborców;50.332201,16.521965 50.561829,16.815093;50.447015,16.668529;R1;3;54;wyższe;3818;61.77;-1;Tak;25325;252;17285;68;gw
020809;gm. Lewin Kłodzki;Wójt Gminy Lewin Kłodzki;KLIMEK-SZYMANOWICZ Joanna Barbara;Komitet wyborczy wyborców;50.367444,16.237095 50.462412,16.369132;50.414928,16.3031135;R1;1;32;wyższe;524;61.07;-1;Tak;5214;52;1940;37;gw
020810;gm. Międzylesie;Burmistrz Miasta i Gminy Międzylesie;KORCZAK Tomasz;Komitet wyborczy wyborców;50.096583,16.554391 50.245533,16.836086;50.171058,16.6952385;R1;3;56;wyższe;1629;51.65;-1;Tak;18875;189;7241;38;gmw
020812;gm. Radków;Burmistrz Miasta i Gminy Radków;BEDNARCZYK Jan Karol;Komitet wyborczy wyborców;50.446646,16.294716 50.579570,16.567113;50.513108,16.4309145;R1;1;68;średnie;2606;83.50%;515;Tak;13995;140;9089;65;gmw
020813;gm. Stronie Śląskie;Burmistrz Stronia Śląskiego;CHROMIEC Dariusz Janusz;Komitet wyborczy wyborców;50.196963,16.802995 50.324377,17.028314;50.26067,16.9156545;R1;1;50;wyższe;1765;54.97;-1;Tak;14608;146;7568;52;gmw
020814;gm. Szczytna;Burmistrz Szczytnej;KRÓL Jerzy Mieczysław;Komitet wyborczy wyborców;50.317940,16.320121 50.480534,16.540689;50.399237,16.430405;R1;1;55;wyższe;1939;76.25%;604;Tak;13237;132;7370;56;gmw
020901;m. Chojnów;Burmistrz Miasta Chojnowa;SERKIES Jan;Komitet wyborczy wyborców;51.260537,15.910960 51.283891,15.960494;51.272214,15.935727;R1;1;59;wyższe;3517;79.21%;923;Tak;532;5;13573;2551;gm
020902;gm. Chojnów;Wójt Gminy Chojnów;PYRZ Andrzej;Komitet wyborczy wyborców;51.204087,15.742374 51.383626,16.073457;51.2938565,15.9079155;R1;1;42;wyższe;2981;79.03%;791;Tak;23092;230;9565;41;gw
020906;gm. Miłkowice;Wójt Gminy Miłkowice;STACHURA Dawid Artur;Komitet wyborczy wyborców;51.200911,16.009197 51.302627,16.197249;51.251769,16.103223;R1;3;35;wyższe;2174;70.98;-1;Tak;8663;87;6629;77;gw
020907;gm. Prochowice;Burmistrz Miasta i Gminy Prochowice;SIELICKA Alicja Elżbieta;Komitet wyborczy wyborców;51.207658,16.303543 51.332436,16.472971;51.270047,16.388257;R1;1;58;wyższe;2142;76.12%;672;Tak;10251;103;7507;73;gmw
020908;gm. Ruja;Wójt Gminy Ruja;GREGORCZUK Paweł Czesław;Komitet wyborczy wyborców;51.125068,16.307258 51.214954,16.467406;51.170011,16.387332;R1;2;34;wyższe;603;52.57;-1;Tak;7330;73;2638;36;gw
021001;m. Lubań;Burmistrz Miasta Lubań;SŁOWIŃSKI Arkadiusz Andrzej;Komitet wyborczy wyborców;51.091800,15.245471 51.137582,15.316254;51.114691,15.2808625;R1;2;49;wyższe;4743;57.59;-1;Tak;1612;16;21318;1322;gm
021002;m. Świeradów-Zdrój;Burmistrz Miasta Świeradów-Zdrój;MARCINIAK Roland Wojciech;Komitet wyborczy wyborców;50.890612,15.266937 50.943292,15.379567;50.916952,15.323252;R1;1;44;wyższe;1217;76.25%;379;Tak;2072;21;4209;203;gm
021005;gm. Olszyna;Burmistrz Olszyny;LEŚKO Leszek Włodzimierz;Komitet wyborczy wyborców;51.017904,15.300778 51.101213,15.417518;51.0595585,15.359148;R1;1;67;wyższe;1676;77.99%;473;Tak;4712;47;6524;138;gmw
021006;gm. Platerówka;Wójt Gminy Platerówka;HALICKI Krzysztof Adam;Komitet wyborczy wyborców;51.018519,15.121106 51.101860,15.265266;51.0601895,15.193186;R1;1;53;wyższe;417;51.23;-1;Tak;4790;48;1631;34;gw
021007;gm. Siekierczyn;Wójt Gminy Siekierczyn;FURDYKOŃ Dariusz Grzegorz;Komitet wyborczy wyborców;51.080913,15.118636 51.166891,15.261077;51.123902,15.1898565;R1;1;41;wyższe;1546;79.20;-1;Tak;4950;50;4540;92;gw
021101;m. Lubin;Prezydent Miasta Lubina;RACZYŃSKI Robert;Komitet wyborczy wyborców;51.358967,16.129634 51.439867,16.258249;51.399417,16.1939415;R1;4;56;wyższe;17483;58.61;-1;Tak;4077;41;72892;1788;gm
021102;gm. Lubin;Wójt Gminy Lubin;KIELAN Tadeusz Zbigniew;Komitet wyborczy wyborców;51.270587,16.004143 51.471704,16.355179;51.3711455,16.179661;R1;2;61;wyższe techniczne;4081;58.34;-1;Tak;28978;290;15605;54;gw
021103;gm. Rudna;Wójt Gminy Rudna;BIGUS Władysław;Komitet wyborczy wyborców;51.432553,16.177917 51.612394,16.482172;51.5224735,16.3300445;R1;1;61;średnie techniczne;2634;60.47;-1;Tak;21664;217;7742;36;gw
021104;gm. Ścinawa;Burmistrz Ścinawy;KOSZTYŁA Krystian Stanisław;Komitet wyborczy wyborców;51.293699,16.308570 51.490291,16.476860;51.391995,16.392715;R1;2;38;wyższe;3119;72.43;-1;Tak;16443;164;10081;61;gmw
