teryt;exteryt;bb;center;razem;rok
120303;3;50.078752,19.270483 50.199915,19.499409;50.1393335,19.384946;4;2018
080202;2;51.860865,14.917668 52.010794,15.200062;51.9358295,15.058865;3;2018
300807;2;51.121856,17.927652 51.226808,18.081784;51.174332,18.004718;1;2018
321506;2;53.561510,16.500678 53.909271,16.892248;53.7353905,16.696463;4;2018
121602;2;49.806559,20.848335 49.883918,21.043941;49.8452385,20.946138;1;2018
121206;2;50.249372,19.671738 50.345693,19.920947;50.2975325,19.7963425;2;2018
061703;3;51.069435,22.681100 51.191511,22.929504;51.130473,22.805302;2;2018
061905;2;51.326983,23.056401 51.467517,23.291507;51.39725,23.173954;2;2018
300901;1;52.167339,18.591960 52.229418,18.679530;52.1983785,18.635745;6;2018
221312;2;53.893275,18.389251 54.093023,18.679838;53.993149,18.5345445;4;2018
121502;1;49.698150,19.533586 49.766939,19.621812;49.7325445,19.577699;2;2018
041506;2;53.043037,18.474929 53.156142,18.795119;53.0995895,18.635024;3;2018
040605;2;53.497208,18.800591 53.604683,19.061220;53.5509455,18.9309055;4;2018
141003;2;52.090861,22.561808 52.199471,22.766604;52.145166,22.664206;5;2018
301003;2;52.246610,18.021218 52.365511,18.252547;52.3060605,18.1368825;4;2018
140202;2;52.806570,20.390131 52.929439,20.703621;52.8680045,20.546876;4;2018
221605;3;53.845102,18.858348 54.005691,19.139099;53.9253965,18.9987235;4;2018
321406;2;53.298601,14.732052 53.436463,14.988957;53.367532,14.8605045;4;2018
180604;2;50.176014,21.529724 50.302126,21.731004;50.23907,21.630364;1;2018
021503;3;50.962630,17.269838 51.103703,17.543660;51.0331665,17.406749;4;2018
041904;3;52.884293,17.779195 53.042988,18.015743;52.9636405,17.897469;1;2018
280905;3;54.052197,19.943682 54.202310,20.332704;54.1272535,20.138193;4;2018
321104;3;53.491148,14.294746 53.711763,14.635973;53.6014555,14.4653595;4;2018
060706;2;50.787565,22.249243 50.896513,22.420006;50.842039,22.3346245;2;2018
280605;2;54.001243,21.887388 54.181549,22.214158;54.091396,22.050773;2;2018
300703;2;51.800280,18.194648 51.930001,18.416375;51.8651405,18.3055115;1;2018
141706;2;51.901881,21.341365 52.008788,21.514425;51.9553345,21.427895;2;2018
141914;2;52.588574,19.891573 52.696781,20.166823;52.6426775,20.029198;2;2018
121609;2;49.929913,20.873996 50.074977,21.169396;50.002445,21.021696;2;2018
247801;1;50.245987,18.730736 50.382195,18.862340;50.314091,18.796538;8;2018
301014;2;52.408481,18.071544 52.509508,18.272102;52.4589945,18.171823;2;2018
022502;1;51.119706,14.990525 51.183843,15.043719;51.1517745,15.017122;3;2018
200705;2;53.120025,21.999477 53.311574,22.301084;53.2157995,22.1502805;4;2018
121204;2;50.310566,19.456476 50.420304,19.684597;50.365435,19.5705365;1;2018
040809;2;52.687169,19.156029 52.814648,19.357529;52.7509085,19.256779;4;2018
200805;2;53.213889,22.730759 53.331070,22.955159;53.2724795,22.842959;2;2018
240406;3;50.713209,19.587353 50.865970,19.832163;50.7895895,19.709758;4;2018
141102;2;52.844655,21.074861 52.950548,21.314445;52.8976015,21.194653;2;2018
080408;2;51.718946,15.768720 51.811913,16.008571;51.7654295,15.8886455;3;2018
301501;2;52.312538,16.209066 52.427771,16.442620;52.3701545,16.325843;3;2018
181905;2;49.816313,21.541482 49.932289,21.730761;49.874301,21.6361215;2;2018
240402;2;50.793011,19.416101 50.908217,19.661569;50.850614,19.538835;2;2018
142106;2;52.087638,20.837752 52.171424,20.989044;52.129531,20.913398;2;2018
260904;3;50.549345,21.466632 50.639128,21.667067;50.5942365,21.5668495;4;2018
302706;2;51.941157,18.542017 52.049986,18.741744;51.9955715,18.6418805;1;2018
301904;3;53.209650,17.141975 53.363828,17.438793;53.286739,17.290384;5;2018
041402;2;53.426049,18.583610 53.564318,18.764516;53.4951835,18.674063;1;2018
040101;1;52.854916,18.677276 52.897988,18.723605;52.876452,18.7004405;3;2018
181611;3;50.169100,22.016210 50.300892,22.252256;50.234996,22.134233;2;2018
061409;2;51.370213,21.760986 51.548364,22.032831;51.4592885,21.8969085;2;2018
180508;2;49.564389,21.382602 49.672164,21.520258;49.6182765,21.45143;3;2018
080405;2;51.733015,15.578151 51.921705,15.992740;51.82736,15.7854455;2;2018
200107;2;53.570064,22.869788 53.856149,23.352403;53.7131065,23.1110955;4;2018
180105;2;49.002387,22.473308 49.300829,22.894086;49.151608,22.683697;3;2018
302115;2;52.465235,16.780104 52.599779,16.970470;52.532507,16.875287;2;2018
061402;2;51.497534,22.068737 51.584891,22.266743;51.5412125,22.16774;2;2018
060502;2;50.713070,22.537567 50.839911,22.676479;50.7764905,22.607023;2;2018
301305;2;51.765854,16.372675 51.909117,16.606682;51.8374855,16.4896785;2;2018
041906;3;52.785802,17.512544 52.924664,17.921261;52.855233,17.7169025;5;2018
200205;2;52.900734,23.065713 53.104964,23.244378;53.002849,23.1550455;4;2018
300404;2;51.699104,17.040949 51.821505,17.183574;51.7603045,17.1122615;2;2018
320902;2;54.065529,15.909535 54.202627,16.137457;54.134078,16.023496;3;2018
040305;2;52.940198,17.959354 53.090695,18.257487;53.0154465,18.1084205;5;2018
260507;2;51.020259,20.339640 51.117536,20.477918;51.0688975,20.408779;3;2018
141704;3;51.976265,21.204999 52.092842,21.353218;52.0345535,21.2791085;4;2018
061206;3;51.153562,22.011034 51.278209,22.174793;51.2158855,22.0929135;3;2018
040208;2;53.106168,19.318541 53.208824,19.485794;53.157496,19.4021675;4;2018
220907;3;54.083414,18.913809 54.183082,19.221444;54.133248,19.0676265;1;2018
061203;2;51.188405,21.899143 51.300821,22.097560;51.244613,21.9983515;3;2018
321704;3;53.140805,15.986194 53.298503,16.284072;53.219654,16.135133;2;2018
120109;2;49.780060,20.381359 49.848836,20.476981;49.814448,20.42917;3;2018
143402;1;52.303247,21.077782 52.370761,21.162152;52.337004,21.119967;3;2018
260403;3;50.706294,20.305251 50.851198,20.561285;50.778746,20.433268;4;2018
046201;1;53.420766,18.686274 53.524083,18.870909;53.4724245,18.7785915;5;2018
060705;2;50.840981,22.129663 50.973009,22.339948;50.906995,22.2348055;2;2018
060605;2;50.927255,23.006407 51.072683,23.314551;50.999969,23.160479;5;2018
022401;3;50.455572,16.673713 50.572097,16.828259;50.5138345,16.750986;2;2018
143403;1;52.273994,21.083569 52.310976,21.141469;52.292485,21.112519;3;2018
221305;2;53.830168,18.071730 53.961998,18.286271;53.896083,18.1790005;2;2018
281708;2;53.292661,20.748922 53.480453,21.181223;53.386557,20.9650725;3;2018
303004;3;52.063050,17.643329 52.222832,17.833598;52.142941,17.7384635;2;2018
180503;2;49.570466,21.326662 49.707062,21.523272;49.638764,21.424967;4;2018
200605;3;53.284127,22.026009 53.444060,22.267000;53.3640935,22.1465045;3;2018
060301;1;51.101081,23.203562 51.137335,23.296126;51.119208,23.249844;3;2018
126301;1;49.985543,20.893647 50.066448,21.062343;50.0259955,20.977995;5;2018
040709;2;52.831691,17.967744 52.973432,18.218892;52.9025615,18.093318;2;2018
301004;3;52.339345,18.025616 52.473345,18.244440;52.406345,18.135028;3;2018
061108;2;51.887624,21.866380 52.021736,22.166442;51.95468,22.016411;2;2018
020608;2;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145;4;2018
022602;1;51.102694,15.886620 51.142074,15.950496;51.122384,15.918558;4;2018
181107;3;50.159351,21.355823 50.271057,21.611306;50.215204,21.4835645;2;2018
041404;2;53.460609,18.381949 53.612460,18.621801;53.5365345,18.501875;1;2018
101102;2;51.734737,18.651433 51.898962,18.854022;51.8168495,18.7527275;2;2018
301010;3;52.294991,18.403632 52.419584,18.629458;52.3572875,18.516545;3;2018
302404;2;52.629347,16.434884 52.759570,16.650729;52.6944585,16.5428065;2;2018
240606;2;50.834055,18.689750 50.937890,18.817919;50.8859725,18.7538345;3;2018
060114;2;51.743089,23.465239 51.829107,23.641383;51.786098,23.553311;2;2018
260503;3;51.081604,20.232123 51.258811,20.565992;51.1702075,20.3990575;5;2018
061806;3;50.459335,23.629693 50.608969,23.812546;50.534152,23.7211195;4;2018
160705;3;50.381150,17.214431 50.533530,17.484824;50.45734,17.3496275;5;2018
021303;3;51.391781,16.989485 51.621610,17.572734;51.5066955,17.2811095;5;2018
181303;2;49.573073,22.579604 49.728605,22.813370;49.650839,22.696487;3;2018
080203;2;52.092273,15.008965 52.234736,15.314395;52.1635045,15.16168;2;2018
221004;2;54.225527,18.933481 54.360789,19.212470;54.293158,19.0729755;3;2018
221002;3;54.116121,18.950661 54.276630,19.326268;54.1963755,19.1384645;2;2018
143504;2;52.509370,21.117752 52.638739,21.388942;52.5740545,21.253347;2;2018
121307;2;49.959473,19.257202 50.003075,19.354617;49.981274,19.3059095;2;2018
280904;2;53.982913,20.116641 54.137419,20.375709;54.060166,20.246175;2;2018
161107;3;50.540038,18.392560 50.634566,18.616259;50.587302,18.5044095;3;2018
181704;2;49.173894,21.926033 49.463046,22.250118;49.31847,22.0880755;5;2018
302301;1;52.272167,17.833616 52.309388,17.903677;52.2907775,17.8686465;2;2018
060813;2;51.395589,22.875145 51.562463,23.024355;51.479026,22.94975;3;2018
141001;2;52.063526,22.698293 52.185769,22.968244;52.1246475,22.8332685;2;2018
141906;3;52.336971,19.662587 52.493169,19.868304;52.41507,19.7654455;2;2018
281407;2;53.760291,20.122161 53.889881,20.410772;53.825086,20.2664665;4;2018
240205;2;49.772453,18.826857 49.889932,19.014033;49.8311925,18.920445;1;2018
246101;1;49.736796,18.945434 49.887440,19.132134;49.812118,19.038784;6;2018
302502;2;52.087591,17.229920 52.176782,17.470446;52.1321865,17.350183;1;2018
241502;1;50.019599,18.427186 50.062740,18.504911;50.0411695,18.4660485;2;2018
221401;1;54.060772,18.742642 54.120661,18.820579;54.0907165,18.7816105;6;2018
060408;2;50.636130,23.614806 50.804671,23.866427;50.7204005,23.7406165;4;2018
200210;3;52.901397,22.896177 52.988527,23.115291;52.944962,23.005734;4;2018
120503;3;49.666754,20.882442 49.747444,21.010022;49.707099,20.946232;1;2018
022004;2;51.162788,16.937513 51.287954,17.123357;51.225371,17.030435;4;2018
121203;2;50.270377,19.398424 50.331883,19.546561;50.30113,19.4724925;3;2018
300401;3;51.848159,17.109431 51.968922,17.336786;51.9085405,17.2231085;1;2018
180204;2;49.617859,21.850541 49.719955,22.029055;49.668907,21.939798;2;2018
140314;3;51.759534,21.764189 51.846076,21.956505;51.802805,21.860347;2;2018
260703;2;50.862258,21.263997 51.032160,21.522967;50.947209,21.393482;1;2018
281412;2;53.862632,20.106628 54.006611,20.357584;53.9346215,20.232106;3;2018
281402;3;53.751124,20.812550 53.968277,21.122931;53.8597005,20.9677405;5;2018
241305;2;50.535099,18.590842 50.604453,18.714762;50.569776,18.652802;3;2018
221206;2;54.291205,16.807789 54.458960,17.122152;54.3750825,16.9649705;3;2018
101006;2;51.442266,19.570581 51.564883,19.776404;51.5035745,19.6734925;3;2018
080605;2;52.751268,15.445945 52.853856,15.693917;52.802562,15.569931;3;2018
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;9;2018
040803;2;52.886950,19.149031 53.004070,19.305147;52.94551,19.227089;3;2018
281410;2;53.543794,20.484457 53.785672,20.863800;53.664733,20.6741285;3;2018
041704;2;53.245345,18.694741 53.387504,18.894141;53.3164245,18.794441;1;2018
021002;1;50.890612,15.266937 50.943292,15.379567;50.916952,15.323252;1;2018
180801;1;50.235499,22.371619 50.295678,22.465613;50.2655885,22.418616;3;2018
180401;1;49.993282,22.616875 50.086808,22.724213;50.040045,22.670544;3;2018
020801;1;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848;3;2018
200508;2;52.825859,23.330155 52.990209,23.665522;52.908034,23.4978385;2;2018
100510;2;52.091233,19.688963 52.241474,19.887900;52.1663535,19.7884315;2;2018
221204;2;54.533340,17.131582 54.715181,17.618157;54.6242605,17.3748695;3;2018
320404;3;53.586971,14.932881 53.796538,15.326968;53.6917545,15.1299245;5;2018
120607;2;49.978788,19.661106 50.093425,19.828687;50.0361065,19.7448965;4;2018
200215;2;53.094095,22.469074 53.220569,22.675205;53.157332,22.5721395;2;2018
221208;2;54.391851,16.791935 54.588291,17.217789;54.490071,17.004862;2;2018
041807;2;52.661324,19.000910 52.779447,19.189185;52.7203855,19.0950475;1;2018
022003;3;51.239580,16.982979 51.469890,17.221312;51.354735,17.1021455;3;2018
021606;2;51.503655,15.850615 51.618406,16.019019;51.5610305,15.934817;1;2018
241303;1;50.371859,18.877878 50.431128,18.923557;50.4014935,18.9007175;3;2018
041805;2;52.441144,18.945992 52.553785,19.112086;52.4974645,19.029039;2;2018
021701;2;50.794308,16.901518 50.920432,17.111669;50.85737,17.0065935;2;2018
240508;2;50.435600,18.429906 50.552713,18.665249;50.4941565,18.5475775;1;2018
101704;2;51.090712,18.422152 51.216352,18.548250;51.153532,18.485201;2;2018
040103;1;52.819011,18.863682 52.860238,18.909186;52.8396245,18.886434;3;2018
100803;2;51.522271,19.275098 51.613136,19.476161;51.5677035,19.3756295;3;2018
040105;2;52.635554,18.715608 52.773294,18.868786;52.704424,18.792197;3;2018
281409;3;53.453730,20.111772 53.694107,20.604706;53.5739185,20.358239;5;2018
040109;2;52.708178,18.499955 52.789571,18.748887;52.7488745,18.624421;2;2018
280203;3;54.259314,19.619138 54.453267,19.783724;54.3562905,19.701431;4;2018
062004;3;50.474168,23.029994 50.584210,23.326798;50.529189,23.178396;4;2018
180504;2;49.671857,21.347172 49.797944,21.650976;49.7349005,21.499074;2;2018
321602;2;53.646054,15.672076 53.752709,15.936528;53.6993815,15.804302;1;2018
181409;2;49.944845,22.467705 50.038001,22.580673;49.991423,22.524189;4;2018
142502;2;51.330871,21.232397 51.402184,21.448314;51.3665275,21.3403555;3;2018
260805;2;50.328727,20.488143 50.449867,20.651518;50.389297,20.5698305;3;2018
300601;3;51.873507,17.186391 52.021985,17.443771;51.947746,17.315081;3;2018
120205;2;49.852893,20.553970 49.929926,20.697983;49.8914095,20.6259765;3;2018
241507;2;49.989309,18.238637 50.058058,18.362171;50.0236835,18.300404;1;2018
221003;2;54.152232,18.836580 54.252746,19.048510;54.202489,18.942545;1;2018
200404;3;53.597182,22.472510 53.761589,22.844098;53.6793855,22.658304;1;2018
142301;2;51.251542,20.606960 51.357230,20.783969;51.304386,20.6954645;2;2018
240405;2;50.838210,19.260588 50.975165,19.510432;50.9066875,19.38551;3;2018
240702;2;50.640536,18.855253 50.719679,18.987687;50.6801075,18.92147;4;2018
200211;2;52.942535,22.896507 53.102230,23.121421;53.0223825,23.008964;2;2018
240203;2;49.703606,19.045218 49.745873,19.129058;49.7247395,19.087138;2;2018
062002;2;50.773329,23.432987 50.898598,23.658482;50.8359635,23.5457345;4;2018
301204;3;51.627006,17.318536 51.803397,17.714464;51.7152015,17.5165;3;2018
303102;3;53.281884,16.436241 53.488475,16.892600;53.3851795,16.6644205;1;2018
022501;1;51.011642,15.019880 51.037367,15.070664;51.0245045,15.045272;2;2018
321504;3;53.470304,16.262907 53.733090,16.729954;53.601697,16.4964305;4;2018
101206;2;50.974419,19.492389 51.081940,19.723648;51.0281795,19.6080185;2;2018
101402;3;51.541561,18.349145 51.741505,18.551363;51.641533,18.450254;6;2018
281703;2;53.414020,20.589414 53.620228,20.917051;53.517124,20.7532325;2;2018
100303;2;51.439931,18.940276 51.582812,19.135035;51.5113715,19.0376555;2;2018
240306;2;49.744789,18.668648 49.850424,18.773138;49.7976065,18.720893;2;2018
020805;1;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725;5;2018
062011;2;50.778900,23.116229 50.879673,23.313149;50.8292865,23.214689;2;2018
143410;2;52.339656,21.511817 52.463658,21.720472;52.401657,21.6161445;1;2018
021501;1;50.919127,17.245969 50.995776,17.342461;50.9574515,17.294215;4;2018
180805;3;50.252475,22.188716 50.396776,22.402655;50.3246255,22.2956855;2;2018
061810;2;50.474786,23.771933 50.587561,23.987974;50.5311735,23.8799535;4;2018
041004;2;53.087205,17.320543 53.232214,17.534497;53.1597095,17.42752;3;2018
120806;2;50.297886,20.133913 50.368704,20.305327;50.333295,20.21962;4;2018
240904;2;50.602850,19.162835 50.704415,19.306279;50.6536325,19.234557;2;2018
101201;1;51.032226,19.364047 51.110162,19.521521;51.071194,19.442784;5;2018
101410;2;51.533932,18.500704 51.666269,18.677740;51.6001005,18.589222;2;2018
161001;3;50.341344,17.551787 50.554603,17.813818;50.4479735,17.6828025;2;2018
121111;2;49.511565,19.756660 49.637494,19.970382;49.5745295,19.863521;3;2018
260401;2;50.777381,20.874789 50.886290,21.032391;50.8318355,20.95359;1;2018
281507;3;53.674561,19.700191 53.847562,19.936040;53.7610615,19.8181155;2;2018
260608;2;50.765230,21.504811 50.900152,21.668075;50.832691,21.586443;3;2018
040707;3;52.754630,17.994964 52.869591,18.208229;52.8121105,18.1015965;5;2018
181310;2;49.791889,22.594219 49.903950,22.922128;49.8479195,22.7581735;3;2018
061104;2;51.708257,21.982854 51.858908,22.266888;51.7835825,22.124871;3;2018
280406;3;54.126289,19.571514 54.277525,19.814299;54.201907,19.6929065;3;2018
181109;2;50.325788,21.400177 50.415722,21.640607;50.370755,21.520392;3;2018
142510;3;51.229239,21.124826 51.386329,21.366259;51.307784,21.2455425;3;2018
221005;2;54.265778,19.138226 54.366706,19.414998;54.316242,19.276612;3;2018
