M;R1;021101;RACZYŃSKI Robert;Komitet Wyborczy Wyborców ROBERT RACZYŃSKI LUBIN 2006;16434;70.76;;Tak
M;R1;021201;PONIŹNIK Olgierd;Komitet Wyborczy Wyborców Olgierda Poniźnika;1983;53.96;;Tak
M;R1;021204;JASIŃSKI Andrzej;Komitet Wyborczy Wyborców Niezależna Inicjatywa Samorządowa;1957;57.19;;Tak
M;R1;021301;MIECZNIKOWSKI Ignacy Mieczysław;Komitet Wyborczy Polskie Stronnictwo Ludowe;1379;60.86;;Tak
M;R1;021404;FRYT Robert;Komitet Wyborczy Wyborców Roberta Fryt;1008;52.26;;Tak
S;R1;021405;GŁOWACKI Jarosław Piotr;Komitet Wyborczy Wyborców Wspólnie dla Miasta i Gminy Międzybórz;1754;100.00;;Tak
S;R1;021406;KASINA Marcin Stanisław;Komitet Wyborczy Wyborców Marcin Kasina;3449;100.00;;Tak
M;R1;021408;POTYRAŁA Zbigniew;Komitet Wyborczy Wyborców Zbigniew Potyrała;3240;57.95;;Tak
M;R1;021504;KOWNACKI Jan Franciszek;Komitet Wyborczy Miejsko-Gminne Zrzeszenie Ludowych Zespołów Sportowych w Oławie;2767;51.24;;Tak
M;R1;021602;SZWAGRZYK Jacek Marek;Komitet Wyborczy Wyborców GMINA GAWORZYCE NASZYM DOMEM;1165;60.02;;Tak
S;R1;021603;JABŁOŃSKI Roman Jan;Komitet Wyborczy Wyborców GRĘBOCICE GMINA Z PRZYSZŁOŚCIĄ;2048;100.00;;Tak
M;R1;021604;WABIK Wiesław Władysław;Komitet Wyborczy Stowarzyszenie „Porozumienie dla Mieszkańców Polkowic”;5080;50.14;;Tak
M;R1;021701;GROCHOWSKI Waldemar Ryszard;Komitet Wyborczy Wyborców Ziemia Borowska;1422;61.27;;Tak
M;R1;021702;BOCHNAK Wojciech Piotr;Komitet Wyborczy Wyborców Nasza Gmina Kondratowice 2014;1687;70.62;;Tak
M;R1;021704;PAWNUK Dorota Jadwiga;Komitet Wyborczy Wyborców Porozumienie Samorządowe dla Regionu;4689;55.27;;Tak
M;R1;021705;KROCHMALNY Jerzy Marek;Komitet Wyborczy Wyborców Gmina Wiązów Ponad Podziałami;1958;59.66;;Tak
M;R1;021801;WICHA Stanisław;Koalicyjny Komitet Wyborczy SLD Lewica Razem;1459;50.77;;Tak
M;R1;021803;GRZEGORCZYN Jan Marian;Komitet Wyborczy Wyborców Jana Grzegorczyna;2836;54.60;;Tak
M;R1;021805;OLKIEWICZ Teresa Stanisława;Komitet Wyborczy Wyborców - Powiat Średzki;1345;54.41;;Tak
M;R1;021902;KOŻUCHOWICZ Bogdan;Komitet Wyborczy Wyborców Bogdana Kożuchowicza;4511;52.52;;Tak
M;R1;021903;ULBIN JERZY TADEUSZ;Komitet Wyborczy Wyborców Jerzego Ulbina;1381;54.74;;Tak
S;R1;021904;GRZEGORZEWICZ Grzegorz Sławomir;Komitet Wyborczy Wyborców Nasza Gmina Jaworzyna Śląska;2654;100.00;;Tak
M;R1;021906;SUCHYTA Zbigniew Tadeusz;Komitet Wyborczy Wyborców Razem dla Gminy Strzegom;5742;51.55;;Tak
M;R1;021907;MAZUREK Teresa Stefania;Komitet Wyborczy Wyborców Teresy Mazurek Wspólna Gmina 58-100 Świdnica Panków 18A;4359;76.21;;Tak
M;R1;021908;MICHALAK Leszek Kazimierz;Komitet Wyborczy Wyborców Leszka Michalaka;3625;75.24;;Tak
M;R1;022002;BANDROWICZ Igor Krystian;Komitet Wyborczy Wyborców Igora Bandrowicza;3399;82.46;;Tak
M;R1;022003;DŁUGOZIMA Marek Aureli;Komitet Wyborczy Wyborców Marka Długozimy - Skuteczni dla Rozwoju;6326;71.63;;Tak
M;R1;022004;BRONOWICKI Jakub Jan;Komitet Wyborczy Wyborców Jakuba Bronowickiego;2009;57.04;;Tak
M;R1;022006;LEWANDOWSKI Robert Grzegorz;Komitet Wyborczy Wyborców Wspólnota Samorządowo-Ludowa;3874;66.15;;Tak
M;R1;022102;ORPEL Leszek Wojciech;Komitet Wyborczy Wyborców Leszka Orpla "Nasze Miasto";1057;58.72;;Tak
M;R1;022104;GÓRECKI Adam Roman;Komitet Wyborczy Wyborców Adama Góreckiego;1737;85.11;;Tak
M;R1;022107;LECH Mirosław Jan;Komitet Wyborczy Wyborców Współpraca Dla Rozwoju;1053;55.80;;Tak
M;R1;022108;HAUSMAN Adam Ludwik;Komitet Wyborczy Wyborców Adama Hausmana;1807;79.36;;Tak
M;R1;022203;CHMURA Dariusz;Komitet Wyborczy Wyborców Wołowska Koalicja Obywatelska;4622;54.78;;Tak
M;R1;022302;ŁEBEK Iwona Agnieszka;Komitet Wyborczy Wyborców Iwony Agnieszki Łebek;6018;51.90;;Tak
M;R1;022305;PACHOLIK Ryszard Michał;Komitet Wyborczy Wyborców Ryszarda Pacholika Moja Gmina Moja Wieś;4826;74.95;;Tak
M;R1;022306;KOZAROWICZ Adam Piotr;Komitet Wyborczy Wyborców Adama Kozarowicza;1183;57.07;;Tak
M;R1;022401;ŻEGAŃSKI Krzysztof;Komitet Wyborczy Wyborców Szansa dla Gminy;1315;54.52;;Tak
M;R1;022402;BIAŁKOWSKI Łukasz Tomasz;Komitet Wyborczy Wyborców Łukasz Białkowski;963;64.41;;Tak
M;R1;022403;CZERNIEC Marcin Bartłomiej;Komitet Wyborczy Wyborców Praworządni dla gminy Kamieniec Ząbkowicki;1944;50.70;;Tak
M;R1;022404;GANCARZ Paweł Jarosław;Komitet Wyborczy Wyborców Pawła Gancarza;1236;54.81;;Tak
M;R1;022405;ORZESZEK Marcin;Komitet Wyborczy Wyborców Marcina Orzeszka;7612;83.61;;Tak
M;R1;022407;ORCZYK Grażyna;Komitet Wyborczy Wyborców Grażyny Orczyk;1531;70.59;;Tak
M;R1;022501;ŁĘŻNY Robert;Komitet Wyborczy Wyborców Roberta Łężnego;1198;76.26;;Tak
