urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Burmistrz Kałuszyna;141209;2;0;39.50;1;1;0;0;0;0;141209;3;Kałuszyn;9439;94;5897;62;1485;1514;gmw;52.168853,21.739466 52.292737,21.941795;52.230795,21.8406305;141209;4771;2181;721;2087;872;738;56;270;24.84000;39.98;33.84;2.57;12.38
Wójt Gminy Borzechów;060902;2;0;54.50;0;1;0;0;0;1;060902;2;Borzechów;6746;67;3775;56;1878;2042;gw;51.031591,22.167539 51.129755,22.342319;51.080673,22.254929;060902;3202;1805;290;1790;1232;392;17;91;13.84000;68.25;21.72;0.94;5.04
Burmistrz Barlinka;321001;5;1;47.40;0;1;0;0;0;4;321001;3;Barlinek;25872;259;19449;75;159;359;gmw;52.862844,15.018971 53.085123,15.332635;52.9739835,15.175803;321001;15594;5516;1360;5268;751;1037;483;2535;19.78000;13.61;18.80;8.76;45.96
Burmistrz Głogówka;161002;3;0;41.67;0;0;0;0;0;3;161002;3;Głogówek;16993;170;13351;79;520;598;gmw;50.265089,17.718175 50.426341,18.032261;50.345715,17.875218;161002;11084;3721;997;2011;504;394;216;758;21.13000;13.54;10.59;5.80;20.37
Prezydent Miasta Knurów;240501;3;0;52.67;0;1;0;0;0;2;240501;1;Knurów;3395;34;38594;1137;2137;135;gm;50.173926,18.612316 50.240525,18.713598;50.2072255,18.662957;240501;30696;9895;2700;8133;1176;2227;810;3124;21.44000;11.88;22.51;8.19;31.57
Wójt Gminy Włodowice;241609;3;1;53.33;0;0;0;0;0;3;241609;2;Włodowice;7679;77;5237;68;1747;1672;gw;50.509947,19.370613 50.625912,19.558421;50.5679295,19.464517;241609;4415;2264;414;2129;1328;273;98;317;15.46000;58.66;12.06;4.33;14.00
Wójt Gminy Stare Juchy;280505;3;1;51.00;0;0;0;0;1;2;280505;2;Stare Juchy;19702;197;3840;19;363;2026;gw;53.821589,22.023853 54.006704,22.320758;53.9141465,22.1723055;280505;3155;1335;486;1287;785;184;61;173;26.69000;58.80;13.78;4.57;12.96
Burmistrz Miasta i Gminy Kępno;300803;2;0;48.00;0;0;0;0;0;2;300803;3;Kępno;12387;124;24520;198;999;254;gmw;51.267928,17.887775 51.393382,18.120214;51.330655,18.0039945;300803;19786;8225;2509;7710;3983;1374;447;1587;23.37000;48.43;16.71;5.43;19.29
Wójt Gminy Zawoja;121508;4;1;45.25;0;1;0;0;0;3;121508;2;Zawoja;12878;128;9106;71;931;959;gw;49.572154,19.467784 49.698733,19.676014;49.6354435,19.571899;121508;7193;2999;1080;2867;699;948;73;967;26.48000;23.31;31.61;2.43;32.24
Wójt Gminy Jabłonka;121105;2;0;59.00;0;0;0;0;0;2;121105;2;Jabłonka;21273;212;18570;87;280;382;gw;49.386458,19.565178 49.623699,19.779237;49.5050785,19.6722075;121105;13823;4934;1261;4711;653;3461;43;340;20.36000;13.23;70.15;0.87;6.89
Wójt Gminy Lipnica Wielka;121107;2;0;37.50;0;0;0;0;0;2;121107;2;Lipnica Wielka;6736;67;5989;89;1880;1493;gw;49.446875,19.527413 49.587789,19.651935;49.517332,19.589674;121107;4496;2120;625;2048;979;859;19;119;22.77000;46.18;40.52;0.90;5.61
Burmistrz Reszla;280805;3;1;45.67;0;0;0;0;0;3;280805;3;Reszel;17920;179;7600;42;455;1180;gmw;53.938188,21.070560 54.101659,21.311193;54.0199235,21.1908765;280805;6651;2318;677;2273;1222;234;446;309;22.60000;52.72;10.09;19.24;13.33
Wójt Gminy Sicienko;040307;2;0;55.50;0;0;0;0;0;2;040307;2;Sicienko;17999;180;10054;56;448;856;gw;53.139705,17.668997 53.295682,17.958395;53.2176935,17.813696;040307;7774;2872;1012;2703;999;543;226;720;26.06000;34.78;18.91;7.87;25.07
Wójt Gminy Krzęcin;320204;2;1;46.50;0;0;0;0;0;2;320204;2;Krzęcin;14026;140;3775;27;783;2042;gw;52.987286,15.387340 53.133295,15.594852;53.0602905,15.491096;320204;3078;1237;703;1136;481;109;257;215;36.24000;38.88;8.81;20.78;17.38
Wójt Gminy Tomaszów Lubelski;061811;4;1;44.25;0;1;0;0;0;3;061811;2;Tomaszów Lubelski;17089;171;11373;67;508;753;gw;50.386006,23.261446 50.510311,23.601323;50.4481585,23.4313845;061811;9173;3666;807;3531;1045;1574;264;426;18.04000;28.51;42.94;7.20;11.62
Wójt Gminy Warlubie;041411;4;1;50.75;0;0;0;0;0;4;041411;2;Warlubie;20111;201;6534;32;338;1374;gw;53.522986,18.396804 53.704033,18.717595;53.6135095,18.5571995;041411;5063;1839;726;1728;510;270;82;787;28.30000;27.73;14.68;4.46;42.79
Wójt Gminy Korycin;201103;1;0;58.00;0;0;0;0;0;1;201103;2;Korycin;11735;117;3256;28;1094;2146;gw;53.339224,23.058219 53.518806,23.203857;53.429015,23.131038;201103;2718;853;93;835;280;273;9;231;9.83000;32.83;32.00;1.06;27.08
Wójt Gminy Sawin;060310;4;1;48.25;1;1;0;0;0;2;060310;2;Sawin;19022;190;5554;29;391;1589;gw;51.184114,23.336673 51.374106,23.593453;51.27911,23.465063;060310;4698;2124;411;2073;540;498;113;850;16.21000;25.42;23.45;5.32;40.02
Burmistrz Miasta i Gminy Skalbmierz;260305;2;0;60.00;1;1;0;0;0;0;260305;3;Skalbmierz;8594;86;6529;76;1599;1375;gmw;50.261208,20.291963 50.359311,20.485870;50.3102595,20.3889165;260305;5488;2277;364;2236;1835;251;53;36;13.78000;80.59;11.02;2.33;1.58
Wójt Gminy Rakszawa;181006;3;1;44.67;0;0;0;0;0;3;181006;2;Rakszawa;6646;66;7286;110;1887;1232;gw;50.120671,22.161277 50.246768,22.284757;50.1837195,22.223017;181006;5777;2339;606;2225;636;1208;66;198;20.58000;27.19;51.65;2.82;8.47
Wójt Gminy Łyse;141507;2;0;56.00;0;0;0;0;0;2;141507;2;Łyse;24678;246;8469;34;187;1042;gw;53.260495,21.431079 53.480948,21.735427;53.3707215,21.583253;141507;6592;2722;880;2494;1371;626;74;187;24.43000;50.37;23.00;2.72;6.87
Wójt Gminy Milanów;061303;1;0;36.00;0;0;0;0;0;1;061303;2;Milanów;11672;117;3874;33;1103;2015;gw;51.668008,22.782778 51.790701,23.039696;51.7293545,22.911237;061303;3255;1418;318;1380;690;461;101;58;18.32000;48.66;32.51;7.12;4.09
Burmistrz Płotów;320504;6;0;46.50;1;0;0;0;0;5;320504;3;Płoty;23919;239;8963;37;206;981;gmw;53.726792,15.083317 53.938800,15.484674;53.832796,15.2839955;320504;7470;3095;830;2947;1564;344;141;770;21.15000;50.53;11.11;4.56;24.88
