urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Wójt Gminy Chrostkowo;040803;3;0;41.67;1;0;0;0;0;2;040803;2;Chrostkowo;7406;74;2937;40;1791;2194;gw;52.886950,19.149031 53.004070,19.305147;52.94551,19.227089;040803;2427;1026;441;966;605;189;46;84;30.06000;58.97;18.42;4.48;8.19
Wójt Gminy Purda;281410;3;1;42.00;0;0;0;0;0;3;281410;2;Purda;31812;317;8658;27;82;1018;gw;53.543794,20.484457 53.785672,20.863800;53.664733,20.6741285;281410;6703;2445;826;2299;731;446;296;645;25.25000;29.90;18.24;12.11;26.38
Wójt Gminy Płużnica;041704;1;0;39.00;0;0;0;0;0;1;041704;2;Płużnica;12038;120;4838;40;1049;1774;gw;53.245345,18.694741 53.387504,18.894141;53.3164245,18.794441;041704;3936;1540;548;1462;555;143;54;683;26.25000;36.04;9.29;3.51;44.35
Burmistrz Miasta Świeradów-Zdrój;021002;1;0;44.00;0;0;0;0;0;1;021002;1;Świeradów-Zdrój;2072;21;4209;203;2229;1931;gm;50.890612,15.266937 50.943292,15.379567;50.916952,15.323252;021002;3588;1464;399;1322;303;318;171;382;21.42000;20.70;21.72;11.68;26.09
Burmistrz Leżajska;180801;3;0;49.00;0;1;0;0;0;2;180801;1;Leżajsk;2058;21;13990;680;2231;563;gm;50.235499,22.371619 50.295678,22.465613;50.2655885,22.418616;180801;12011;4810;700;4668;466;2075;201;1659;12.70000;9.69;43.14;4.18;34.49
Burmistrz Miasta Jarosławia;180401;3;0;45.67;0;1;0;0;0;2;180401;1;Jarosław;3461;35;37892;1095;2133;140;gm;49.993282,22.616875 50.086808,22.724213;50.040045,22.670544;180401;32138;13029;1688;12694;2064;6180;1470;2136;11.47000;15.84;47.43;11.28;16.39
Burmistrz Miasta Duszniki-Zdrój;020801;3;0;40.00;0;0;0;0;0;3;020801;1;Duszniki-Zdrój;2228;22;4728;212;2212;1800;gm;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848;020801;4049;1528;705;1365;260;265;103;659;31.57000;17.02;17.34;6.74;43.13
Wójt Gminy Narew;200508;2;1;59.00;0;0;0;0;0;2;200508;2;Narew;24151;242;3567;15;199;2089;gw;52.825859,23.330155 52.990209,23.665522;52.908034,23.4978385;200508;3245;1200;527;1173;851;86;105;74;30.52000;70.92;7.17;8.75;6.17
Wójt Gminy Zduny;100510;2;0;50.00;1;1;0;0;0;0;100510;2;Zduny;12857;129;5762;45;935;1537;gw;52.091233,19.688963 52.241474,19.887900;52.1663535,19.7884315;100510;4901;1981;338;1939;1459;276;76;75;14.58000;73.65;13.93;3.84;3.79
Wójt Gminy Główczyce;221204;3;3;53.00;0;0;0;0;0;3;221204;2;Główczyce;32197;322;9148;28;75;952;gw;54.533340,17.131582 54.715181,17.618157;54.6242605,17.3748695;221204;7315;1997;722;1915;766;319;170;388;26.55000;38.36;15.97;8.51;19.43
Burmistrz Gminy Nowogard;320404;5;1;43.80;1;1;0;1;0;2;320404;3;Nowogard;33867;339;24845;73;60;247;gmw;53.586971,14.932881 53.796538,15.326968;53.6917545,15.1299245;320404;20108;7848;2080;7619;4204;823;1011;1227;20.95000;53.57;10.49;12.88;15.63
Wójt Gminy Liszki;120607;4;0;47.25;1;0;0;0;0;3;120607;2;Liszki;7207;72;17110;237;1817;430;gw;49.978788,19.661106 50.093425,19.828687;50.0361065,19.7448965;120607;13010;5167;1394;4984;1449;2032;116;1056;21.25000;28.04;39.33;2.25;20.44
Wójt Gminy Zawady;200215;2;0;52.50;0;0;0;0;0;2;200215;2;Zawady;11214;112;2764;25;1176;2216;gw;53.094095,22.469074 53.220569,22.675205;53.157332,22.5721395;200215;2401;1022;331;1009;580;326;14;32;24.46000;56.75;31.90;1.37;3.13
Wójt Gminy Słupsk;221208;2;2;56.00;0;0;0;0;0;2;221208;2;Słupsk;26173;262;17724;68;151;411;gw;54.391851,16.791935 54.588291,17.217789;54.490071,17.004862;221208;12416;3335;981;3226;1040;581;303;1029;22.73000;31.18;17.42;9.09;30.85
Wójt Gminy Fabianki;041807;1;0;52.00;0;0;0;0;0;1;041807;2;Fabianki;7584;76;10002;132;1761;862;gw;52.661324,19.000910 52.779447,19.189185;52.7203855,19.0950475;041807;7663;2663;1113;2460;918;399;364;666;29.48000;34.47;14.98;13.67;25.01
Burmistrz Gminy Trzebnica;022003;3;1;59.00;0;1;1;0;0;1;022003;3;Trzebnica;19996;200;24179;121;345;260;gmw;51.239580,16.982979 51.469890,17.221312;51.354735,17.1021455;022003;18357;7501;1597;6842;1039;1845;478;3042;17.55000;13.85;24.60;6.37;40.55
Wójt Gminy Radwanice;021606;1;0;39.00;0;0;0;0;0;1;021606;2;Radwanice;8424;84;4755;56;1635;1795;gw;51.503655,15.850615 51.618406,16.019019;51.5610305,15.934817;021606;3743;1884;445;1621;809;379;100;247;19.11000;42.94;20.12;5.31;13.11
Burmistrz Miasta Radzionków;241303;3;0;48.33;0;1;0;0;0;2;241303;1;Radzionków;1320;13;16798;1273;2296;442;gm;50.371859,18.877878 50.431128,18.923557;50.4014935,18.9007175;241303;13673;5319;1054;3098;447;1093;182;1097;16.54000;8.40;20.55;3.42;20.62
Wójt Gminy Choceń;041805;2;0;53.00;0;0;0;0;0;2;041805;2;Choceń;9985;100;8022;80;1395;1109;gw;52.441144,18.945992 52.553785,19.112086;52.4974645,19.029039;041805;6604;2406;1160;2177;613;345;389;709;32.53000;25.48;14.34;16.17;29.47
Wójt Gminy Borów;021701;2;0;47.00;0;1;0;0;0;1;021701;2;Borów;9865;99;5324;54;1415;1649;gw;50.794308,16.901518 50.920432,17.111669;50.85737,17.0065935;021701;4355;1888;469;1813;920;393;79;351;19.90000;48.73;20.82;4.18;18.59
Wójt Gminy Wielowieś;240508;1;0;60.00;0;0;0;0;0;1;240508;2;Wielowieś;11618;116;5887;51;1113;1518;gw;50.435600,18.429906 50.552713,18.665249;50.4941565,18.5475775;240508;4831;1437;440;914;447;180;37;180;23.44000;31.11;12.53;2.57;12.53
Wójt Gminy Mokrsko;101704;2;0;49.00;1;0;0;0;0;1;101704;2;Mokrsko;7768;78;5399;70;1738;1628;gw;51.090712,18.422152 51.216352,18.548250;51.153532,18.485201;101704;4378;1989;604;1898;1108;369;85;142;23.29000;55.71;18.55;4.27;7.14
Burmistrz Miasta Nieszawa;040103;3;0;32.33;0;0;0;0;0;3;040103;1;Nieszawa;979;10;1914;196;2321;2277;gm;52.819011,18.863682 52.860238,18.909186;52.8396245,18.886434;040103;1658;818;354;775;345;115;75;198;30.20000;42.18;14.06;9.17;24.21
Wójt Gminy Dłutów;100803;3;1;51.67;0;0;0;0;0;3;100803;2;Dłutów;10123;101;4567;45;1368;1839;gw;51.522271,19.275098 51.613136,19.476161;51.5677035,19.3756295;100803;3550;1422;448;1353;484;471;59;240;23.96000;34.04;33.12;4.15;16.88
Wójt Gminy Bądkowo;040105;3;0;49.67;1;0;0;0;0;2;040105;2;Bądkowo;7970;80;4311;54;1706;1905;gw;52.635554,18.715608 52.773294,18.868786;52.704424,18.792197;040105;3573;1662;696;1545;837;281;177;173;29.52000;50.36;16.91;10.65;10.41
Burmistrz Olsztynka;281409;5;1;59.60;0;1;0;0;0;4;281409;3;Olsztynek;37151;372;13884;37;37;567;gmw;53.453730,20.111772 53.694107,20.604706;53.5739185,20.358239;281409;10935;3889;1172;3734;754;853;424;1395;23.16000;19.39;21.93;10.90;35.87
Wójt Gminy Zakrzewo;040109;2;0;49.00;0;0;0;0;0;2;040109;2;Zakrzewo;7596;76;3541;47;1760;2094;gw;52.708178,18.499955 52.789571,18.748887;52.7488745,18.624421;040109;2943;1339;440;1278;841;208;77;104;24.73000;62.81;15.53;5.75;7.77
Burmistrz Miasta i Gminy Frombork;280203;4;2;38.75;0;1;0;0;0;3;280203;3;Frombork;12410;124;3646;29;994;2078;gmw;54.259314,19.619138 54.453267,19.783724;54.3562905,19.701431;280203;3284;1474;351;1441;630;184;128;448;19.23000;42.74;12.48;8.68;30.39
Burmistrz Krasnobrodu;062004;4;0;49.50;0;0;0;0;0;4;062004;3;Krasnobród;12689;127;7187;57;961;1253;gmw;50.474168,23.029994 50.584210,23.326798;50.529189,23.178396;062004;5915;2700;669;2385;877;849;81;471;19.86000;32.48;31.44;3.00;17.44
Wójt Gminy Jasło;180504;2;0;58.50;0;1;0;0;0;1;180504;2;Jasło;9307;93;16331;175;1502;454;gw;49.671857,21.347172 49.797944,21.650976;49.7349005,21.499074;180504;13476;5747;1145;5639;1484;2994;184;650;16.61000;25.82;52.10;3.20;11.31
Wójt Gminy Brzeżno;321602;1;0;52.00;0;0;0;0;0;1;321602;2;Brzeżno;11081;111;2792;25;1208;2213;gw;53.646054,15.672076 53.752709,15.936528;53.6993815,15.804302;321602;2309;813;347;766;300;127;82;187;29.91000;36.90;15.62;10.09;23.00
Wójt Gminy Zarzecze;181409;4;1;44.25;1;1;0;0;0;2;181409;2;Zarzecze;4918;49;7223;147;2027;1248;gw;49.944845,22.467705 50.038001,22.580673;49.991423,22.524189;181409;5803;2650;573;2627;1870;564;56;58;17.78000;70.57;21.28;2.11;2.19
Wójt Gminy Gózd;142502;3;0;48.33;1;1;0;0;0;1;142502;2;Gózd;7795;78;8796;113;1730;998;gw;51.330871,21.232397 51.402184,21.448314;51.3665275,21.3403555;142502;6709;3330;927;3076;1347;1271;57;227;21.78000;40.45;38.17;1.71;6.82
Wójt Gminy Złota;260805;3;0;63.00;0;0;0;1;0;2;260805;2;Złota;8201;82;4461;54;1672;1865;gw;50.328727,20.488143 50.449867,20.651518;50.389297,20.5698305;260805;3937;2208;356;2190;1048;190;760;149;13.88000;47.46;8.61;34.42;6.75
Burmistrz Miasta i Gminy Jaraczewo;300601;3;0;53.33;1;0;0;1;0;1;300601;3;Jaraczewo;13309;133;8289;62;871;1066;gmw;51.873507,17.186391 52.021985,17.443771;51.947746,17.315081;300601;6597;2888;933;2621;1924;330;134;151;24.42000;66.62;11.43;4.64;5.23
Wójt Gminy Gnojnik;120205;3;1;39.33;0;1;0;0;0;2;120205;2;Gnojnik;5499;55;7965;145;1986;1118;gw;49.852893,20.553970 49.929926,20.697983;49.8914095,20.6259765;120205;5982;2672;853;2617;499;1659;52;267;24.20000;18.68;62.09;1.95;9.99
Wójt Gminy Lubomia;241507;1;0;57.00;0;0;0;0;0;1;241507;2;Lubomia;4178;42;7900;189;2078;1129;gw;49.989309,18.238637 50.058058,18.362171;50.0236835,18.300404;241507;6429;2204;511;1775;270;866;51;475;18.82000;12.25;39.29;2.31;21.55
Wójt Gminy Ostaszewo;221003;1;0;40.00;0;0;0;0;0;1;221003;2;Ostaszewo;6070;61;3234;53;1943;2148;gw;54.152232,18.836580 54.252746,19.048510;54.202489,18.942545;221003;2536;926;376;884;358;177;96;182;28.88000;38.66;19.11;10.37;19.65
Burmistrz Rajgrodu;200404;1;0;54.00;0;0;0;0;0;1;200404;3;Rajgród;20726;207;5272;25;304;1660;gmw;53.597182,22.472510 53.761589,22.844098;53.6793855,22.658304;200404;4467;1784;607;1702;1048;220;17;337;25.39000;58.74;12.33;0.95;18.89
Wójt Gminy Borkowice;142301;2;0;51.00;1;0;0;0;0;1;142301;2;Borkowice;8580;86;4302;50;1604;1909;gw;51.251542,20.606960 51.357230,20.783969;51.304386,20.6954645;142301;3761;2013;519;1929;1198;430;154;90;20.50000;59.51;21.36;7.65;4.47
Wójt Gminy Kłomnice;240405;3;0;48.33;0;1;0;0;0;2;240405;2;Kłomnice;14773;147;13602;92;699;588;gw;50.838210,19.260588 50.975165,19.510432;50.9066875,19.38551;240405;11330;4936;1083;4603;1004;1782;1054;418;17.99000;20.34;36.10;21.35;8.47
Wójt Gminy Boronów;240702;4;1;44.25;0;0;0;0;0;4;240702;2;Boronów;5728;57;3395;59;1968;2120;gw;50.640536,18.855253 50.719679,18.987687;50.6801075,18.92147;240702;2779;1093;370;991;325;256;24;337;25.29000;29.73;23.42;2.20;30.83
Wójt Gminy Turośń Kościelna;200211;2;0;56.50;0;0;0;0;0;2;200211;2;Turośń Kościelna;13990;140;6196;44;787;1446;gw;52.942535,22.896507 53.102230,23.121421;53.0223825,23.008964;200211;4800;2291;533;2202;435;1087;67;453;18.87000;18.99;47.45;2.92;19.77
Wójt Gminy Buczkowice;240203;2;1;60.00;0;0;0;0;0;2;240203;2;Buczkowice;1946;19;11250;578;2241;758;gw;49.703606,19.045218 49.745873,19.129058;49.7247395,19.087138;240203;8771;3304;548;3037;1486;849;120;447;14.23000;44.98;25.70;3.63;13.53
Wójt Gminy Grabowiec;062002;4;1;52.50;0;0;0;0;0;4;062002;2;Grabowiec;12847;128;4082;32;938;1959;gw;50.773329,23.432987 50.898598,23.658482;50.8359635,23.5457345;062002;3657;1371;350;1314;776;290;67;80;20.34000;56.60;21.15;4.89;5.84
Burmistrz Krotoszyna;301204;3;1;47.67;1;1;0;0;0;1;301204;3;Krotoszyn;25580;256;40593;159;166;123;gmw;51.627006,17.318536 51.803397,17.714464;51.7152015,17.5165;301204;32228;12205;2405;11895;8515;1347;607;1028;16.46000;69.77;11.04;4.97;8.42
Burmistrz Gminy i Miasta Jastrowie;303102;1;0;49.00;0;0;0;0;0;1;303102;3;Jastrowie;35312;353;11592;33;46;732;gmw;53.281884,16.436241 53.488475,16.892600;53.3851795,16.6644205;303102;9252;2655;1393;2499;1217;469;223;449;34.41000;45.84;17.66;8.40;16.91
Burmistrz Miasta Zawidowa;022501;2;0;55.00;0;0;0;0;0;2;022501;1;Zawidów;607;6;4232;697;2331;1928;gm;51.011642,15.019880 51.037367,15.070664;51.0245045,15.045272;022501;3500;1191;416;1118;150;267;156;383;25.89000;12.59;22.42;13.10;32.16
Burmistrz Bornego Sulinowa;321504;4;2;54.00;0;1;0;1;0;2;321504;3;Borne Sulinowo;48450;484;9935;21;5;869;gmw;53.470304,16.262907 53.733090,16.729954;53.601697,16.4964305;321504;7697;2731;728;2534;493;521;237;1050;21.05000;18.05;19.08;8.68;38.45
Wójt Gminy Kobiele Wielkie;101206;2;0;64.00;1;0;0;0;0;1;101206;2;Kobiele Wielkie;10172;102;4449;44;1361;1871;gw;50.974419,19.492389 51.081940,19.723648;51.0281795,19.6080185;101206;3637;1629;555;1524;766;306;183;189;25.41000;47.02;18.78;11.23;11.60
Burmistrz Błaszek;101402;6;1;40.33;1;1;0;0;0;4;101402;3;Błaszki;20138;201;14658;73;336;527;gmw;51.541561,18.349145 51.741505,18.551363;51.641533,18.450254;101402;12114;4854;1803;4707;2150;1659;260;333;27.08000;44.29;34.18;5.36;6.86
Wójt Gminy Jedwabno;281703;2;0;41.50;0;0;0;0;0;2;281703;2;Jedwabno;31190;312;3669;12;86;2069;gw;53.414020,20.589414 53.620228,20.917051;53.517124,20.7532325;281703;2992;1302;447;1284;488;538;61;139;25.56000;37.48;41.32;4.69;10.68
Wójt Gminy Sędziejowice;100303;2;0;46.00;1;1;0;0;0;0;100303;2;Sędziejowice;12004;120;6419;53;1057;1401;gw;51.439931,18.940276 51.582812,19.135035;51.5113715,19.0376555;100303;5235;2198;610;2081;726;775;113;326;21.72000;33.03;35.26;5.14;14.83
Wójt Gminy Dębowiec;240306;2;0;38.00;0;0;0;0;0;2;240306;2;Dębowiec;4264;43;5810;136;2073;1534;gw;49.744789,18.668648 49.850424,18.773138;49.7976065,18.720893;240306;4544;1854;481;1685;231;419;354;439;20.60000;12.46;22.60;19.09;23.68
Burmistrz Miasta Polanica-Zdrój;020805;5;0;49.00;0;1;0;0;0;4;020805;1;Polanica-Zdrój;1722;17;6381;371;2258;1408;gm;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725;020805;5581;2102;535;1970;208;832;148;642;20.29000;9.90;39.58;7.04;30.54
Wójt Gminy Stary Zamość;062011;2;0;53.00;1;0;0;0;0;1;062011;2;Stary Zamość;9751;98;5218;54;1430;1681;gw;50.778900,23.116229 50.879673,23.313149;50.8292865,23.214689;062011;4476;2278;611;2243;888;852;164;181;21.15000;38.98;37.40;7.20;7.95
Wójt Gminy Strachówka;143410;1;0;37.00;0;0;0;0;0;1;143410;2;Strachówka;10773;108;2751;26;1263;2219;gw;52.339656,21.511817 52.463658,21.720472;52.401657,21.6161445;143410;2410;1087;521;1018;468;353;22;106;32.40000;43.05;32.47;2.02;9.75
Burmistrz Miasta Oława;021501;4;1;37.75;0;1;1;0;0;2;021501;1;Oława;2736;27;32883;1202;2179;165;gm;50.919127,17.245969 50.995776,17.342461;50.9574515,17.294215;021501;25847;9264;1960;8775;1143;2607;549;3986;17.46000;12.34;28.14;5.93;43.03
Burmistrz Miasta i Gminy Nowa Sarzyna;180805;2;1;45.00;0;1;0;0;0;1;180805;3;Nowa Sarzyna;14373;144;21629;150;747;308;gmw;50.252475,22.188716 50.396776,22.402655;50.3246255,22.2956855;180805;17256;7828;1021;7602;652;5614;229;846;11.54000;8.33;71.72;2.93;10.81
Wójt Gminy Telatyn;061810;4;1;53.75;1;1;0;0;0;2;061810;2;Telatyn;11180;112;4037;36;1185;1971;gw;50.474786,23.771933 50.587561,23.987974;50.5311735,23.8799535;061810;3549;1745;438;1714;1098;445;42;75;20.06000;62.92;25.50;2.41;4.30
Wójt Gminy Sadki;041004;3;0;49.00;1;0;0;0;0;2;041004;2;Sadki;15375;154;7287;47;642;1231;gw;53.087205,17.320543 53.232214,17.534497;53.1597095,17.42752;041004;5722;1903;634;1814;691;419;135;493;24.99000;36.31;22.02;7.09;25.91
Wójt Gminy Racławice;120806;4;2;43.00;1;1;0;0;0;2;120806;2;Racławice;5911;59;2496;42;1952;2247;gw;50.297886,20.133913 50.368704,20.305327;50.333295,20.21962;120806;2130;1132;229;1112;829;131;56;51;16.83000;73.23;11.57;4.95;4.51
Wójt Gminy Poraj;240904;2;2;52.00;0;0;0;0;0;2;240904;2;Poraj;5706;57;10925;191;1973;782;gw;50.602850,19.162835 50.704415,19.306279;50.6536325,19.234557;240904;9008;3796;842;3538;982;833;421;1032;18.15000;25.87;21.94;11.09;27.19
Prezydent Miasta Radomsko;101201;5;1;45.80;0;0;1;0;0;4;101201;1;Radomsko;5143;51;46409;902;2006;106;gm;51.032226,19.364047 51.110162,19.521521;51.071194,19.442784;101201;39221;15703;2427;15307;5057;4023;1215;4191;13.39000;32.20;25.62;7.74;26.69
Wójt Gminy Wróblew;101410;2;1;46.50;1;1;0;0;0;0;101410;2;Wróblew;11290;113;6113;54;1164;1464;gw;51.533932,18.500704 51.666269,18.677740;51.6001005,18.589222;101410;4964;1992;687;1878;903;501;151;231;25.64000;45.33;25.15;7.58;11.60
Burmistrz Białej;161001;2;0;51.00;0;0;0;0;0;2;161001;3;Biała;19625;196;10647;54;367;806;gmw;50.341344,17.551787 50.554603,17.813818;50.4479735,17.6828025;161001;8967;2873;711;1421;574;333;113;354;19.84000;19.98;11.59;3.93;12.32
Wójt Gminy Raba Wyżna;121111;3;0;51.33;0;1;0;0;0;2;121111;2;Raba Wyżna;8902;89;14695;165;1545;524;gw;49.511565,19.756660 49.637494,19.970382;49.5745295,19.863521;121111;11245;3346;911;3230;321;1860;78;842;21.40000;9.59;55.59;2.33;25.16
Wójt Gminy Bieliny;260401;1;0;48.00;0;0;0;0;0;1;260401;2;Bieliny;8822;88;10268;116;1560;839;gw;50.777381,20.874789 50.886290,21.032391;50.8318355,20.95359;260401;7943;2959;663;2946;1561;897;135;218;18.30000;52.75;30.31;4.56;7.37
Burmistrz Miasta i Gminy Miłomłyn;281507;2;0;70.00;0;0;0;0;0;2;281507;3;Miłomłyn;16060;161;4998;31;591;1731;gmw;53.674561,19.700191 53.847562,19.936040;53.7610615,19.8181155;281507;4106;1684;522;1668;1248;93;161;124;23.66000;74.11;5.52;9.56;7.36
Wójt Gminy Wojciechowice;260608;3;2;44.00;0;0;0;0;0;3;260608;2;Wojciechowice;8646;86;4064;47;1588;1964;gw;50.765230,21.504811 50.900152,21.668075;50.832691,21.586443;260608;3535;1941;421;1927;1343;284;68;166;17.82000;69.19;14.63;3.50;8.55
Burmistrz Pakości;040707;5;1;52.80;0;0;0;0;0;5;040707;3;Pakość;8646;86;9811;113;1588;884;gmw;52.754630,17.994964 52.869591,18.208229;52.8121105,18.1015965;040707;7990;2934;997;2324;674;372;299;901;25.36000;22.97;12.68;10.19;30.71
Wójt Gminy Żurawica;181310;3;0;41.67;0;1;0;0;0;2;181310;2;Żurawica;9579;96;12964;135;1458;629;gw;49.791889,22.594219 49.903950,22.922128;49.8479195,22.7581735;181310;10623;4590;1302;4268;683;1519;186;1375;22.10000;14.88;33.09;4.05;29.96
Wójt Gminy Krzywda;061104;3;1;48.67;0;1;0;0;0;2;061104;2;Krzywda;16096;161;10520;65;588;820;gw;51.708257,21.982854 51.858908,22.266888;51.7835825,22.124871;061104;8260;3658;1092;3562;2168;781;136;260;22.99000;59.27;21.35;3.72;7.11
Burmistrz Miasta i Gminy Młynary;280406;3;1;48.33;0;0;0;0;0;3;280406;3;Młynary;15841;158;4484;28;613;1859;gmw;54.126289,19.571514 54.277525,19.814299;54.201907,19.6929065;280406;3706;1576;615;1540;751;189;68;478;28.07000;47.65;11.99;4.31;30.33
Wójt Gminy Tuszów Narodowy;181109;3;0;47.33;0;1;0;0;0;2;181109;2;Tuszów Narodowy;8924;89;8157;91;1542;1089;gw;50.325788,21.400177 50.415722,21.640607;50.370755,21.520392;181109;6329;3364;518;3326;1596;1512;30;111;13.34000;47.44;44.95;0.89;3.30
Burmistrz Miasta i Gminy Skaryszew;142510;3;0;49.33;1;1;0;0;0;1;142510;3;Skaryszew;17127;171;14634;85;506;530;gmw;51.229239,21.124826 51.386329,21.366259;51.307784,21.2455425;142510;11031;5453;1025;5271;3246;1400;79;345;15.82000;59.53;25.67;1.45;6.33
Wójt Gminy Sztutowo;221005;3;0;52.33;1;0;0;0;0;2;221005;2;Sztutowo;11153;112;3655;33;1193;2075;gw;54.265778,19.138226 54.366706,19.414998;54.316242,19.276612;221005;2965;1119;328;1001;389;147;133;274;22.67000;34.76;13.14;11.89;24.49
Burmistrz Miasta i Gminy Wronki;302408;3;0;52.67;0;0;0;0;0;3;302408;3;Wronki;30172;302;19108;63;94;367;gmw;52.639900,16.013770 52.794057,16.455369;52.7169785,16.2345695;302408;15895;5327;1753;4205;1035;614;219;1893;24.76000;19.43;11.53;4.11;35.54
Wójt Gminy Kroczyce;241604;1;0;63.00;0;0;0;0;0;1;241604;2;Kroczyce;11005;110;6344;58;1228;1419;gw;50.503244,19.510661 50.624715,19.736306;50.5639795,19.6234835;241604;5177;2491;591;2325;809;813;109;448;19.18000;32.48;32.64;4.38;17.98
Wójt Gminy Płoniawy-Bramura;141106;5;0;47.00;1;1;0;0;1;2;141106;2;Płoniawy-Bramura;13485;135;5464;41;843;1613;gw;52.892901,20.972607 53.070288,21.186949;52.9815945,21.079778;141106;4673;2076;484;1985;1249;485;86;77;18.91000;60.16;23.36;4.14;3.71
Burmistrz Warki;140611;1;0;51.00;0;0;0;0;0;1;140611;3;Warka;20227;202;19269;95;332;364;gmw;51.680511,20.974645 51.901234,21.288226;51.7908725,21.1314355;140611;15434;6411;1912;6038;2214;1577;261;1508;22.97000;34.53;24.60;4.07;23.52
Wójt Gminy Osięciny;041104;2;0;60.00;0;0;0;0;0;2;041104;2;Osięciny;12312;122;7710;63;1010;1157;gw;52.573278,18.634784 52.721540,18.828557;52.647409,18.7316705;041104;6567;2948;1215;2743;1004;896;324;377;29.19000;34.06;30.39;10.99;12.79
Wójt Gminy Łukowa;060209;3;0;46.00;0;1;0;0;0;2;060209;2;Łukowa;14872;149;4279;29;689;1917;gw;50.343396,22.829664 50.461032,23.117983;50.402214,22.9738235;060209;3548;1579;313;1542;553;763;32;123;16.54000;35.02;48.32;2.03;7.79
Burmistrz Brodnicy;040201;3;1;50.67;0;1;0;0;0;2;040201;1;Brodnica;2315;23;28717;1240;2209;196;gm;53.222122,19.356845 53.293801,19.456109;53.2579615,19.406477;040201;21734;7692;1227;7417;1530;3107;386;2219;13.76000;19.89;40.39;5.02;28.85
Wójt Gminy Wysokie;060915;3;2;46.00;1;0;0;0;0;2;060915;2;Wysokie;11390;114;4532;40;1145;1849;gw;50.838888,22.588873 50.976032,22.800751;50.90746,22.694812;060915;3975;1739;526;1703;810;713;51;53;23.22000;46.58;41.00;2.93;3.05
Wójt Gminy Piekoszów;260414;6;1;46.00;0;1;0;0;0;5;260414;2;Piekoszów;10297;103;16449;160;1342;448;gw;50.827043,20.296779 50.921037,20.547588;50.87404,20.4221835;260414;12846;5528;1427;5455;2122;1775;498;721;20.52000;38.39;32.11;9.01;13.04
Burmistrz Miasta Kudowa-Zdrój;020803;4;2;52.75;0;0;0;0;0;4;020803;1;Kudowa-Zdrój;3390;34;10018;296;2138;861;gm;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813;020803;8415;3401;660;2910;249;422;134;1957;16.25000;7.32;12.41;3.94;57.54
Burmistrz Miasta i Gminy Staszów;261207;2;0;43.50;0;1;0;0;0;1;261207;3;Staszów;22752;228;25897;114;235;233;gmw;50.494090,21.047853 50.648228,21.411321;50.571159,21.229587;261207;21922;10933;1819;10842;5826;2900;596;1065;14.26000;53.29;26.53;5.45;9.74
Wójt Gminy Grzegorzew;300905;2;1;41.50;0;0;0;0;0;2;300905;2;Grzegorzew;7333;73;5702;78;1802;1548;gw;52.146890,18.678491 52.278914,18.844142;52.212902,18.7613165;300905;4567;2041;672;1952;1267;359;128;122;24.77000;62.08;17.59;6.27;5.98
Burmistrz Miasta i Gminy Mrocza;041002;2;0;50.00;0;0;0;0;0;2;041002;3;Mrocza;15051;150;9296;62;675;933;gmw;53.180533,17.412663 53.294901,17.706855;53.237717,17.559759;041002;7204;2331;729;2209;651;557;221;696;23.82000;27.93;23.90;9.48;29.86
Wójt Gminy Nowosolna;100608;3;2;44.00;0;1;0;0;0;2;100608;2;Nowosolna;5398;54;4850;90;1996;1769;gw;51.754665,19.547179 51.864591,19.680894;51.809628,19.6140365;100608;3608;1938;446;1850;453;477;115;641;18.71000;23.37;24.61;5.93;33.08
Burmistrz Miasta Garwolina;140301;3;3;50.00;0;1;0;0;0;2;140301;1;Garwolin;2208;22;17381;787;2215;418;gm;51.868216,21.571658 51.923752,21.674733;51.895984,21.6231955;140301;13449;6250;1029;6025;1117;2871;328;1334;14.14000;17.87;45.94;5.25;21.34
Burmistrz Miasta i Gminy Niemcza;020207;4;2;47.50;1;1;0;0;0;2;020207;3;Niemcza;7186;72;5545;77;1821;1591;gmw;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;020207;4807;1648;617;1430;303;415;239;376;27.24000;18.39;25.18;14.50;22.82
Wójt Gminy Pruszcz Gdański;220404;3;1;49.00;0;1;0;0;0;2;220404;2;Pruszcz Gdański;14380;144;29186;203;746;195;gw;54.191881,18.469835 54.346535,18.868651;54.269208,18.669243;220404;18573;6398;1113;6196;640;1317;334;3340;14.82000;10.00;20.58;5.22;52.20
Wójt Gminy Gołuchów;302005;3;0;53.67;1;1;0;0;0;1;302005;2;Gołuchów;13588;136;10618;78;828;808;gw;51.759661,17.826906 51.908448,18.042968;51.8340545,17.934937;302005;8242;2995;1071;2831;1132;738;179;647;26.34000;37.80;24.64;5.98;21.60
Wójt Gminy Jeżów Sudecki;020606;2;0;46.00;0;0;1;0;0;1;020606;2;Jeżów Sudecki;9428;94;7283;77;1487;1233;gw;50.909469,15.633367 51.013184,15.836494;50.9613265,15.7349305;020606;5665;2196;536;2006;511;358;309;736;19.62000;23.27;16.30;14.07;33.52
