razem;teryt;rok
11;146501;2010
11;106101;2010
10;160705;2010
9;046201;2010
9;060401;2010
9;026401;2010
9;260414;2010
9;241608;2010
9;061409;2010
9;101902;2010
9;260903;2010
9;200707;2010
8;226301;2010
8;101008;2010
8;260705;2010
8;040302;2010
8;101601;2010
8;160301;2010
8;121207;2010
8;021405;2010
8;141804;2010
8;140201;2010
8;221004;2010
8;022502;2010
8;060911;2010
8;066301;2010
8;020101;2010
8;320701;2010
7;246201;2010
7;100902;2010
7;186201;2010
7;240415;2010
7;241205;2010
7;286201;2010
7;141702;2010
7;321603;2010
7;246701;2010
7;326201;2010
7;020206;2010
7;221401;2010
7;046401;2010
7;266101;2010
7;142501;2010
7;120103;2010
7;141802;2010
7;102003;2010
7;140302;2010
7;180301;2010
7;201006;2010
7;206201;2010
7;101201;2010
7;060801;2010
7;121007;2010
7;020602;2010
7;120610;2010
7;280501;2010
7;100209;2010
7;281702;2010
7;060906;2010
7;221002;2010
7;241304;2010
7;022109;2010
7;181001;2010
7;060210;2010
7;226101;2010
7;241403;2010
7;021906;2010
7;146301;2010
7;041105;2010
7;101709;2010
7;260701;2010
7;100404;2010
7;141903;2010
7;220407;2010
7;080302;2010
7;146401;2010
7;160103;2010
7;121301;2010
7;141908;2010
7;247601;2010
7;246501;2010
7;142801;2010
7;041201;2010
7;241710;2010
7;101405;2010
7;106301;2010
6;160804;2010
6;247901;2010
6;240102;2010
6;166101;2010
6;321802;2010
6;240901;2010
6;321004;2010
6;141805;2010
6;260503;2010
6;300901;2010
6;061408;2010
6;081007;2010
6;140308;2010
6;320502;2010
6;280301;2010
6;040706;2010
6;180401;2010
6;181505;2010
6;143003;2010
6;062002;2010
6;240301;2010
6;021104;2010
6;141201;2010
6;320706;2010
6;141404;2010
6;220904;2010
6;180501;2010
6;120305;2010
6;321306;2010
6;101605;2010
6;020501;2010
6;020606;2010
6;081110;2010
6;041106;2010
6;100302;2010
6;201002;2010
6;302202;2010
6;143605;2010
6;302701;2010
6;040602;2010
6;200802;2010
6;041406;2010
6;261001;2010
6;101901;2010
6;101403;2010
6;081102;2010
6;022407;2010
6;200210;2010
6;241301;2010
6;040804;2010
6;020801;2010
6;261105;2010
6;020603;2010
6;022505;2010
6;260508;2010
6;320703;2010
6;143412;2010
6;160101;2010
6;100201;2010
6;102002;2010
6;121801;2010
6;302601;2010
6;146101;2010
6;060603;2010
6;081002;2010
6;280106;2010
6;126101;2010
6;080305;2010
6;160402;2010
6;200705;2010
6;241704;2010
6;020201;2010
6;100405;2010
6;120804;2010
6;247201;2010
6;241602;2010
6;200209;2010
6;160604;2010
6;140309;2010
6;061402;2010
6;246301;2010
6;180801;2010
6;260101;2010
6;300602;2010
6;140705;2010
6;040101;2010
6;306401;2010
6;221207;2010
6;320604;2010
6;246401;2010
6;221508;2010
6;280504;2010
6;081108;2010
6;061101;2010
6;046101;2010
6;101006;2010
6;021503;2010
6;280101;2010
6;300603;2010
6;260103;2010
6;326301;2010
6;247701;2010
6;022405;2010
6;101903;2010
6;061202;2010
6;220103;2010
6;160602;2010
6;026101;2010
6;280601;2010
6;021303;2010
6;280205;2010
6;260804;2010
6;061304;2010
6;247001;2010
6;281701;2010
6;321701;2010
6;021101;2010
5;121204;2010
5;221310;2010
5;321102;2010
5;142011;2010
5;100401;2010
5;142908;2010
5;320402;2010
5;180409;2010
5;181701;2010
5;060406;2010
5;321104;2010
5;281104;2010
5;041509;2010
5;141601;2010
5;022001;2010
5;301101;2010
5;302504;2010
5;040506;2010
5;101401;2010
5;320905;2010
5;321702;2010
5;301803;2010
5;143402;2010
5;020403;2010
5;220508;2010
5;302102;2010
5;160502;2010
5;200203;2010
5;200206;2010
5;041005;2010
5;141403;2010
5;302301;2010
5;160605;2010
5;260901;2010
5;121008;2010
5;320605;2010
5;141205;2010
5;020907;2010
5;200702;2010
5;321405;2010
5;100107;2010
5;080306;2010
5;142509;2010
5;020805;2010
5;300208;2010
5;143410;2010
5;141307;2010
5;120706;2010
5;040504;2010
5;141504;2010
5;160703;2010
5;281501;2010
5;320202;2010
5;220702;2010
5;061805;2010
5;240606;2010
5;080602;2010
5;300301;2010
5;120805;2010
5;260605;2010
5;181101;2010
5;320903;2010
5;280402;2010
5;041403;2010
5;141902;2010
5;020203;2010
5;301804;2010
5;060812;2010
5;300803;2010
5;281103;2010
5;066201;2010
5;240409;2010
5;080905;2010
5;200701;2010
5;180901;2010
5;061801;2010
5;302708;2010
5;020607;2010
5;101205;2010
5;040208;2010
5;160106;2010
5;060907;2010
5;142001;2010
5;041807;2010
5;240603;2010
5;020902;2010
5;200706;2010
5;240310;2010
5;143201;2010
5;181106;2010
5;280202;2010
5;321003;2010
5;060811;2010
5;140801;2010
5;141106;2010
5;160105;2010
5;301011;2010
5;041003;2010
5;120402;2010
5;100704;2010
5;062007;2010
5;061107;2010
5;280604;2010
5;143801;2010
5;221103;2010
5;060702;2010
5;160701;2010
5;201310;2010
5;061811;2010
5;141101;2010
5;061301;2010
5;022307;2010
5;120102;2010
5;141510;2010
5;300710;2010
5;247501;2010
5;022501;2010
5;101609;2010
5;142301;2010
5;101302;2010
5;021601;2010
5;142901;2010
5;080505;2010
5;246601;2010
5;121601;2010
5;206101;2010
5;106201;2010
5;201306;2010
5;142507;2010
5;306201;2010
5;146201;2010
5;181401;2010
5;200302;2010
5;306101;2010
5;140701;2010
5;022006;2010
5;300906;2010
5;080202;2010
5;060213;2010
5;142106;2010
5;100101;2010
5;022104;2010
5;303103;2010
5;201108;2010
5;200501;2010
5;281603;2010
5;020303;2010
5;180411;2010
5;021901;2010
5;143404;2010
5;040803;2010
5;201001;2010
5;300204;2010
5;247301;2010
5;020204;2010
5;062004;2010
5;141801;2010
5;060904;2010
5;121701;2010
5;100804;2010
5;141708;2010
5;120407;2010
5;142605;2010
5;301506;2010
5;060201;2010
5;121101;2010
5;020703;2010
5;241504;2010
5;020701;2010
