Teryt;Gmina;Urząd;Nazwisko Imiona;Typ;Komitet
280407;gm. Pasłęk;Burmistrz Pasłęka;KOPAŃSKI Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PASŁĘK RAZEM
302110;gm. Mosina;Burmistrz Gminy Mosina;MIELOCH Przemysław Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA GMINY
260402;gm. Bodzentyn;Burmistrz Miasta i Gminy Bodzentyn;ŚWIETLIK Dariusz Józef;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
281705;gm. Rozogi;Wójt Gminy Rozogi;KUDRZYCKI Zbigniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA GMINY ROZOGI
080205;gm. Gubin;Wójt Gminy Gubin;BARSKI Zbigniew Waldemar;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZBIGNIEWA BARSKIEGO
302407;gm. Szamotuły;Burmistrz Miasta i Gminy Szamotuły;KACZMAREK Włodzimierz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WŁODZIMIERZA KACZMARKA RAZEM !
041505;gm. Łubianka;Wójt Gminy Łubianka;ZALEWSKA Barbara Agata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRZYMIERZE SAMORZĄDOWE
041505;gm. Łubianka;Wójt Gminy Łubianka;ZAJĄKAŁA Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JERZEGO ZAJĄKAŁA - ZGODA I ROZWÓJ GMINY
080801;gm. Lubrza;Wójt Gminy Lubrza;SKONIECZEK Ryszard;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY FORUM SAMORZĄDOWE
181704;gm. Komańcza;Wójt Gminy Komańcza;SZATKOWSKA-MACKO Iwona Jadwiga;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRZYJAZNA GMINA
181205;gm. Nisko;Burmistrz Gminy i Miasta Nisko;KUZIORA Zbigniew Edward;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MŁODOŚĆ ORAZ DOŚWIADCZENIE W NISKU
301909;gm. Wysoka;Burmistrz Miasta i Gminy Wysoka;MADEJ Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MARKA MADEJA
181704;gm. Komańcza;Wójt Gminy Komańcza;RÓŻYCKI Ryszard Janusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KOMAŃCZA XXI
181704;gm. Komańcza;Wójt Gminy Komańcza;BZDYK Roman Mariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ROMANA BZDYKA
181704;gm. Komańcza;Wójt Gminy Komańcza;KAROLCZUK Bogdan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BOGDANA KAROLCZUKA
041001;gm. Kcynia;Burmistrz Kcyni;HEMMERLING Piotr Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PIOTRA HEMMERLINGA „KCYNIA RAZEM”
181205;gm. Nisko;Burmistrz Gminy i Miasta Nisko;SROKA Józef;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
181704;gm. Komańcza;Wójt Gminy Komańcza;BIELAWKA Stanisław Dobrogniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „ZGODĄ BUDUJMY”
041001;gm. Kcynia;Burmistrz Kcyni;SZARUGA Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „MARKA SZARUGI”
026201;m. Legnica;Prezydent Miasta Legnicy;GIZICKI Adam Sławomir;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
041001;gm. Kcynia;Burmistrz Kcyni;SZCZEPANIAK Tomasz Antoni;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TOMASZ SZCZEPANIAK
181204;gm. Krzeszów;Wójt Gminy Krzeszów;NOWAKOWSKI Stanisław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
220110;gm. Tuchomie;Wójt Gminy Tuchomie;WNUK LIPIŃSKI Franciszek Sylwester;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA PRZYSZŁOŚĆ
086101;m. Gorzów Wielkopolski;Prezydent Miasta Gorzowa Wielkopolskiego;BEJNAR-BEJNAROWICZ Marta Teresa;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KOCHAM GORZÓW
101209;gm. Ładzice;Wójt Gminy Ładzice;ŚLISKOWSKI VEL ŚLISKI Maciej Michał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NA RZECZ GMINY ŁADZICE
181802;gm. Bojanów;Wójt Gminy Bojanów;SULICH Edward Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA CIEBIE
140906;gm. Solec nad Wisłą;Wójt Gminy Solec nad Wisłą;ŚMIESZEK Lucja Stanisława;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
321803;gm. Radowo Małe;Wójt Gminy Radowo Małe;WYPIJEWSKI Józef Jarosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RUCH INICJATYW OBYWATELSKICH 2018
140906;gm. Solec nad Wisłą;Wójt Gminy Solec nad Wisłą;SZYMCZYK Marek Tomasz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI RAZEM DLA GMINY I POWIATU
281104;gm. Nidzica;Burmistrz Nidzicy;KOSMALA Jacek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POPARCIA JACKA KOSMALI
160802;gm. Gorzów Śląski;Burmistrz Gorzowa Śląskiego;TOMALA Artur Joachim;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
221201;m. Ustka;Burmistrz Miasta Ustka;KOSKI Grzegorz Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GRZEGORZ KOSKI
302401;m. Obrzycko;Burmistrz Miasta Obrzycko;BIENIEK Maciej Jarosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DECYDUJMY WSPÓLNIE. DLA OBRZYCKA
200214;gm. Zabłudów;Burmistrz Zabłudowa;TOMANEK Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JESTEŚMY Z GMINĄ ZABŁUDÓW
180103;gm. Czarna;Wójt Gminy w Czarnej;KOCHANOWICZ Bogusław Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DLA GMINY CZARNA
040801;m. Lipno;Burmistrz Miasta Lipna;BANASIK Paweł Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PAWŁA BANASIKA
321502;gm. Barwice;Burmistrz Barwic;OSUCH Wojciech;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
101407;gm. Klonowa;Wójt Gminy Klonowa;PERDEK Dariusz;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
102003;m. Zgierz;Prezydent Miasta Zgierza;WITCZAK Mieczysław Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MIECZYSŁAWA WITCZAKA
061805;gm. Lubycza Królewska;Burmistrz Lubyczy Królewskiej;BOROWIEC Paweł Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNA GMINA
041805;gm. Choceń;Wójt Gminy Choceń;OLACH Tomasz Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA GMINY CHOCEŃ
100402;gm. Daszyna;Wójt Gminy Daszyna;DYMNY Tadeusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRZYJAZNA I NOWOCZESNA GMINA
302103;gm. Buk;Burmistrz Miasta i Gminy Buk;ADAM Paweł;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PAWŁA ADAMA
326301;m. Świnoujście;Prezydent Miasta Świnoujście;ŻMURKIEWICZ Janusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JANUSZA ŻMURKIEWICZA
326301;m. Świnoujście;Prezydent Miasta Świnoujście;AGATOWSKA Joanna Monika;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
060803;gm. Firlej;Wójt Gminy Firlej;CIESZKO Sławomir Marian;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „GMINA FIRLEJ NASZ WSPÓLNY DOM”
142301;gm. Borkowice;Wójt Gminy Borkowice;FIDOS Robert Sylwester;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
221204;gm. Główczyce;Wójt Gminy Główczyce;LIPCZYŃSKA Joanna Barbara;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JOANNY LIPCZYŃSKIEJ
081007;gm. Szprotawa;Burmistrz Szprotawy;SKIBA Krzysztof Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA - NASZA PRZYSZŁOŚĆ
141308;gm. Szydłowo;Wójt Gminy Szydłowo;SUMICKI Stanisław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
140611;gm. Warka;Burmistrz Warki;GIZKA Dariusz Witold;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „WSPÓLNIE DLA MIASTA I GMINY WARKA”
040802;gm. Bobrowniki;Wójt Gminy Bobrowniki;POLIWKO Jarosław Jacek;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
102001;m. Głowno;Burmistrz Głowna;WAWRZYN Krzysztof Antoni;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
141308;gm. Szydłowo;Wójt Gminy Szydłowo;BOCZKOWSKI Wiesław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA PRZYSZŁOŚĆ
141308;gm. Szydłowo;Wójt Gminy Szydłowo;ROCHNA Grzegorz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW - GRZEGORZ ROCHNA
081007;gm. Szprotawa;Burmistrz Szprotawy;RUBACHA Józef Marcin;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JÓZEFA RUBACHY
041102;gm. Bytoń;Wójt Gminy Bytoń;ZIELIŃSKI Marian Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „RUCH SAMORZĄDOWY DLA GMINY BYTOŃ”
041102;gm. Bytoń;Wójt Gminy Bytoń;KOSTECKI Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA PRZYSZŁOŚĆ
321702;gm. Człopa;Burmistrz Miasta i Gminy Człopa;BEKKER Jerzy Maciej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW - RAZEM DLA WAS
080906;gm. Sulechów;Burmistrz Sulechowa;ODWAŻNY Ignacy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW IGNACEGO ODWAŻNEGO
301908;gm. Wyrzysk;Burmistrz Wyrzyska;JAGODZIŃSKA Bogusława;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BOGUSŁAWY JAGODZIŃSKIEJ
142701;m. Sierpc;Burmistrz Miasta Sierpc;CZACHOROWSKA Anna Wioletta;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
220406;gm. Pszczółki;Wójt Gminy Pszczółki;ŻYNDA Zenon Henryk;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „WSPÓLNIE DLA GMINY”
220803;gm. Cewice;Wójt Gminy Cewice;BAŃKA Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW INICJATYWA SAMORZĄDOWA GMINY CEWICE
281701;m. Szczytno;Burmistrz Miasta Szczytno;GONTARZEWSKI Zbigniew Jacek;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
220406;gm. Pszczółki;Wójt Gminy Pszczółki;CZARNECKI Lech;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
080804;gm. Szczaniec;Wójt Gminy Szczaniec;BĄCELA IWONA IZABELA;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
142610;gm. Suchożebry;Wójt Gminy Suchożebry;DZIEWULSKI Zbigniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW UCZCIWA GMINA SUCHOŻEBRY
142206;gm. Krzynowłoga Mała;Wójt Gminy Krzynowłoga Mała;BACŁAWSKI Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ADAMA BACŁAWSKIEGO
142306;gm. Przysucha;Burmistrz Gminy i Miasta w Przysusze;MATLAKIEWICZ Tomasz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWO-LUDOWE
041304;gm. Więcbork;Burmistrz Więcborka;PAWLINA Henryk;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
142206;gm. Krzynowłoga Mała;Wójt Gminy Krzynowłoga Mała;HUMIĘCKI Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JERZEGO HUMIĘCKIEGO
101302;gm. Biała Rawska;Burmistrz Białej Rawskiej;PIETRZAK Bogdan Jan;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY STOWARZYSZENIA „NASZA MAŁA OJCZYZNA”
321402;gm. Chociwel;Burmistrz Gminy Chociwel;GRUSZCZYŃSKI Zbigniew Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA TO WSZYSCY JEJ MIESZKAŃCY
321402;gm. Chociwel;Burmistrz Gminy Chociwel;BUCZEK Kamila;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
060705;gm. Kraśnik;Wójt Gminy Kraśnik;PIĘTAL Wojciech Krzysztof;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
326101;m. Koszalin;Prezydent Miasta Koszalin;KAMIENIARZ Wiktor;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WIKTORA KAMIENIARZA
060705;gm. Kraśnik;Wójt Gminy Kraśnik;CHAPSKI Mirosław Stanisław;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
022306;gm. Mietków;Wójt Gminy Mietków;KOZAROWICZ Adam Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ADAMA KOZAROWICZA
160505;gm. Zdzieszowice;Burmistrz Zdzieszowic;ZIMERMAN Sybila Antonina;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZGODA TO PRZYSZŁOŚĆ
140903;gm. Lipsko;Burmistrz Miasta i Gminy Lipsko;SZYMCZYK Mariola Izabela;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
101801;gm. Bolesławiec;Wójt Gminy Bolesławiec;GÓRAL Ilona Agata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „NASZA WIEŚ”
320403;gm. Maszewo;Burmistrz Gminy Maszewo;STORMA-PIOTROWSKA Małgorzata Krystyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MAŁGORZATY STORMA-PIOTROWSKIEJ
260403;gm. Chęciny;Burmistrz Gminy i Miasta Chęciny;JAWORSKI Robert Zbigniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ROBERTA JAWORSKIEGO
320403;gm. Maszewo;Burmistrz Gminy Maszewo;ŻABICKA Izabela Małgorzata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW IZABELI ŻABICKIEJ
101705;gm. Osjaków;Wójt Gminy Osjaków;TROJAN Jarosław;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
247801;m. Zabrze;Prezydent Miasta Zabrze;DYNAK Mirosław Stanisław;PP;KOMITET WYBORCZY WOLNI I SOLIDARNI
041002;gm. Mrocza;Burmistrz Miasta i Gminy Mrocza;KLESIŃSKI Leszek Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LESZKA KLESIŃSKIEGO
321206;gm. Warnice;Wójt Gminy Warnice;WUDARCZYK Stanisław Leszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW STANISŁAWA WUDARCZYKA
180902;gm. Cieszanów;Burmistrz Miasta i Gminy Cieszanów;KUDYBA Wiesław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
261001;m. Skarżysko-Kamienna;Prezydent Miasta Skarżyska-Kamiennej;CIEPIŃSKI Jacek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
040804;gm. Dobrzyń nad Wisłą;Burmistrz Miasta i Gminy Dobrzyń nad Wisłą;WAŚKO Jacek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JACKA WAŚKO
066201;m. Chełm;Prezydent Miasta Chełm;FISZ Agata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW AGATY FISZ „POSTAW NA CHEŁM”
040804;gm. Dobrzyń nad Wisłą;Burmistrz Miasta i Gminy Dobrzyń nad Wisłą;SZYJKOWSKI Andrzej Aleksander;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANDRZEJA SZYJKOWSKIEGO
040804;gm. Dobrzyń nad Wisłą;Burmistrz Miasta i Gminy Dobrzyń nad Wisłą;KŁOBUKOWSKI Dariusz Janusz;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
180201;gm. Brzozów;Burmistrz Brzozowa;SZAŁAJKO Stanisław Michał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA RÓWNYCH SZANS-WSPÓLNA NIE PRYWATNA
143401;m. Kobyłka;Burmistrz Miasta Kobyłka;ZBIEĆ Edyta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW EDYTY ZBIEĆ
101604;gm. Czerniewice;Wójt Gminy Czerniewice;SITEK Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WOJCIECHA SITKA
100802;m. Pabianice;Prezydent Miasta Pabianic;STANEK Włodzimierz Adam;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
201402;gm. Kołaki Kościelne;Wójt Gminy Kołaki Kościelne;DŁUGOBORSKI Tadeusz Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW UCZCIWA GMINA
300705;gm. Koźminek;Wójt Gminy Koźminek;TRZEBIŃSKI Henryk Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRZYSZŁOŚĆ GMINY KOŹMINEK
220307;gm. Rzeczenica;Wójt Gminy Rzeczenica;GUZA Maria Anna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZWIASTUN JEDNOŚCI
061811;gm. Tomaszów Lubelski;Wójt Gminy Tomaszów Lubelski;CZUBAJ-GANCARZ Marzena Dorota;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MARZENY CZUBAJ-GANCARZ
220305;gm. Koczała;Wójt Gminy Koczała;BAJOWSKI Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW INICJATYWA DLA GMINY KOCZAŁA
180406;gm. Pawłosiów;Wójt Gminy Pawłosiów;REŃ Mariusz Władysław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
100804;gm. Dobroń;Wójt Gminy Dobroń;KANIEWSKI Zdzisław Leszek;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
221209;gm. Smołdzino;Wójt Gminy Smołdzino;LAHUTTA Jacek Władysław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM DLA GMINY SMOŁDZINO
041101;m. Radziejów;Burmistrz Miasta Radziejów;JAŁOSZYŃSKA Iwona;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA PRZYSZŁOŚĆ
080206;gm. Krosno Odrzańskie;Burmistrz Krosna Odrzańskiego;WRÓBEL Ireneusz Kazimierz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
321506;gm. Szczecinek;Wójt Gminy Szczecinek;BABIŃSKI Janusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW OTWARTY SAMORZĄD
181006;gm. Rakszawa;Wójt Gminy Rakszawa;WRÓBEL Stanisław Jakub;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA PRZYSZŁOŚĆ
061906;gm. Włodawa;Wójt Gminy Włodawa;SEMENIUK Dariusz Józef;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
080803;gm. Skąpe;Wójt Gminy Skąpe;WOCH ZBIGNIEW;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY FORUM SAMORZĄDOWE
060309;gm. Ruda-Huta;Wójt Gminy Ruda-Huta;SMAL Kazimierz;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
180403;gm. Chłopice;Wójt Gminy Chłopice;STRAWA Tomasz Paweł;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TOMASZ STRAWA
060908;gm. Konopnica;Wójt Gminy Konopnica;ŻYDEK Mirosław;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
320306;gm. Złocieniec;Burmistrz Złocieńca;WŁODARCZYK Waldemar Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POJEZIERZE DRAWSKIE
142201;m. Przasnysz;Burmistrz Przasnysza;WASIAK Adam;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
143604;gm. Tczów;Wójt Gminy Tczów;WOLSZCZAK Andrzej;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
066201;m. Chełm;Prezydent Miasta Chełm;GRABCZUK Dariusz;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
143309;gm. Wierzbno;Wójt Gminy Wierzbno;KELLEHER Hanna Bożenna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW HANNY KELLEHER
060203;gm. Biłgoraj;Wójt Gminy Biłgoraj;RÓŻYŃSKI Wiesław Marian;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
041903;gm. Janowiec Wielkopolski;Burmistrz Janowca Wielkopolskiego;SOBCZAK Maciej Franciszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZE MIASTO I GMINA
101601;m. Tomaszów Mazowiecki;Prezydent Miasta Tomaszowa Mazowieckiego;WITKO Marcin;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MARCINA WITKO
060312;gm. Wierzbica;Wójt Gminy Wierzbica;ŻELECHOWSKI Bogusław Zenon;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BOGUSŁAWA ZENONA ŻELECHOWSKIEGO
182101;gm. Baligród;Wójt Gminy Baligród;STĘPIEŃ Robert;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
100704;gm. Opoczno;Burmistrz Opoczna;WOŁKIEWICZ Wiesław Ryszard;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW OPOCZYŃSKA WSPÓLNOTA SAMORZĄDOWA OWS
100704;gm. Opoczno;Burmistrz Opoczna;KOSNO Dariusz Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NIEZALEŻNY BLOK SAMORZĄDOWY - POROZUMIENIE 2018
100704;gm. Opoczno;Burmistrz Opoczna;WIERUSZEWSKI Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JANA WIERUSZEWSKIEGO
080406;gm. Nowe Miasteczko;Burmistrz Gminy i Miasta Nowe Miasteczko;SZKONDZIAK Wiesław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WIESŁAW SZKONDZIAK
102001;m. Głowno;Burmistrz Głowna;WAŚKIEWICZ Iwona;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW IWONA WAŚKIEWICZ
240904;gm. Poraj;Wójt Gminy Poraj;SŁUŻAŁEK-JAWORSKA Danuta Elżbieta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „GMINA DLA WSZYSTKICH”
102101;m. Brzeziny;Burmistrz Miasta Brzeziny;SASIN Roman;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
321205;gm. Pyrzyce;Burmistrz Pyrzyc;ODACHOWSKA Agnieszka Maria;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
181614;gm. Tyczyn;Burmistrz Tyczyna;SKOTNICKI Janusz Wiktor;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
160502;gm. Krapkowice;Burmistrz Krapkowic;KASIURA Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „DLA KRAPKOWIC”
260901;m. Sandomierz;Burmistrz Miasta Sandomierza;SZATAN Krzysztof Zdzisław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
142501;m. Pionki;Burmistrz Miasta Pionki;KLICH Joanna Ewa;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
280402;gm. Godkowo;Wójt Gminy Godkowo;ŁESYK Sławomir;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SŁAWOMIRA ŁESYK
301801;gm. Czajków;Wójt Gminy Czajków;WYSOTA Bożena Mariola;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
301801;gm. Czajków;Wójt Gminy Czajków;PLICHTA Henryk Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „GOSPODARNI RAZEM”
143003;gm. Mirów;Wójt Gminy Mirów;SIWIOREK Artur Wawrzyniec;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ARTURA SIWIORKA
080304;gm. Pszczew;Wójt Gminy Pszczew;GAJEWSKI Zbigniew Bernard;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZBIGNIEWA GAJEWSKIEGO
060813;gm. Uścimów;Wójt Gminy Uścimów;WOŁOSZKIEWICZ Stanisław Marian;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
321402;gm. Chociwel;Burmistrz Gminy Chociwel;SZYMCZAK Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SAMORZĄDOWE FORUM CHOCIWELSKIE
141915;gm. Wyszogród;Burmistrz Gminy i Miasta Wyszogród;JANCZAK Jacek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JACEK JANCZAK - NAJLEPSZY WYBÓR
180205;gm. Jasienica Rosielna;Wójt Gminy Jasienica Rosielna;BRZUSZEK Urszula Teresa;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
142508;gm. Pionki;Wójt Gminy Pionki;WRÓBEL Tomasz Wojciech;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
