Teryt;Gmina;Urząd;Nazwisko Imiona;Typ;Komitet
022503;gm. Bogatynia;Burmistrz Miasta i Gminy Bogatynia;BOJAKOWSKA Dorota;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
240207;gm. Kozy;Wójt Gminy Kozy;WOJTUSIAK Piotr Sławomir;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „POSTĘP I WSPÓLNOTA DLA MIESZKAŃCÓW”
220801;m. Lębork;Burmistrz Miasta Lęborka;POBŁOCKA Bożena Małgorzata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LĘBORCZANIE
060803;gm. Firlej;Wójt Gminy Firlej;TURMOWICZ Waldemar Jan;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
301503;gm. Miedzichowo;Wójt Gminy Miedzichowo;PIECHOTA Stanisław Bernard;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNA GMINA MIEDZICHOWO
143605;gm. Zwoleń;Burmistrz Zwolenia;STĘPIEŃ Dorota;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MIESZKAŃCY GMINY ZWOLEŃ
120904;gm. Pcim;Wójt Gminy Pcim;BYLICA Zbigniew Waldemar;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZBIGNIEWA BYLICY „DLA MIESZKAŃCÓW GMINY PCIM”
181606;gm. Głogów Małopolski;Burmistrz Głogowa Małopolskiego;MIKOŁAJCZYK Władysław;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY STOWARZYSZENIA „NASZA GMINA GŁOGÓW MAŁOPOLSKI”
306101;m. Kalisz;Prezydent Miasta Kalisza;KINASTOWSKI Krystian Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSZYSTKO I SAMORZĄDNY ZGODNIE DLA KALISZA
143805;gm. Wiskitki;Wójt Gminy Wiskitki;STĘPNIEWSKA Beata Lucyna;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
201306;gm. Kulesze Kościelne;Wójt Gminy Kulesze Kościelne;GROCHOWSKI Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JEDNOŚĆ W GMINIE
100103;gm. Drużbice;Wójt Gminy Drużbice;ZIELIŃSKA Bożena Henryka;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BOŻENY ZIELIŃSKIEJ
247201;m. Ruda Śląska;Prezydent Miasta Ruda Śląska;DZIEDZIC Grażyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GRAŻYNY DZIEDZIC
280801;m. Kętrzyn;Burmistrz Miasta Kętrzyn;HEĆMAN Krzysztof Wiesław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KĘTRZYŃSKA WSPÓLNOTA SAMORZĄDOWA
143504;gm. Somianka;Wójt Gminy Somianka;ŻOŁYŃSKI Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „NASZA GMINA SOMIANKA”
101101;gm. Dalików;Wójt Gminy Dalików;SZYMCZAK Paweł;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
040404;gm. Lisewo;Wójt Gminy Lisewo;KOCHOWICZ Jakub;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA GMINY LISEWO
247901;m. Żory;Prezydent Miasta Żory;GASZKA Anna Małgorzata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ŻORSKA SAMORZĄDNOŚĆ
061907;gm. Wola Uhruska;Wójt Gminy Wola Uhruska;ŁUKASIK Jan Władysław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINY WOLA UHRUSKA
261105;gm. Wąchock;Burmistrz Miasta i Gminy Wąchock;JANUS Robert Mariusz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
022606;gm. Złotoryja;Wójt Gminy Złotoryja;KARDASZ Leszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LESZEK KARDASZ DOBRY GOSPODARZ
240503;gm. Gierałtowice;Wójt Gminy Gierałtowice;ŻOGAŁA Leszek Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „RAZEM DLA GMINY GIERAŁTOWICE”
141505;gm. Kadzidło;Wójt Gminy Kadzidło;ŚNIADACH Anna Agnieszka;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANNY ŚNIADACH
160701;gm. Głuchołazy;Burmistrz Głuchołaz;CHABASIŃSKA Ewa;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
142001;m. Płońsk;Burmistrz Miasta Płońsk;TUCHOLSKI Krzysztof;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY MAZOWIECKA WSPÓLNOTA SAMORZĄDOWA
041301;gm. Kamień Krajeński;Burmistrz Kamienia Krajeńskiego;ATAMAŃSKI Aleksander Krzysztof;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
100404;gm. Grabów;Wójt Gminy Grabów;SOBCZYŃSKI Zbigniew Bogumił;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZBIGNIEWA SOBCZYŃSKIEGO
060314;gm. Żmudź;Wójt Gminy Żmudź;NIEZGODA EDYTA;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW EDYTY NIEZGODY
306401;m. Poznań;Prezydent Miasta Poznania;BRATKOWSKI Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA
241401;m. Bieruń;Burmistrz Miasta Bierunia;GRZESICA Krystian Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KRYSTIANA GRZESICY
020607;gm. Mysłakowice;Wójt Gminy Mysłakowice;NYC Piotr;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW - GŁOS MIESZKAŃCÓW
143402;m. Marki;Burmistrz Miasta Marki;PACIOREK Tomasz Sławomir;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY MAZOWIECKA WSPÓLNOTA SAMORZĄDOWA
041105;gm. Piotrków Kujawski;Burmistrz Miasta i Gminy Piotrków Kujawski;BOGUCKI Sławomir Henryk;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA PRZYSZŁOŚĆ
320803;gm. Gościno;Burmistrz  Gościna;SŁOMCZEWSKI Ryszard;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RYSZARDA SŁOMCZEWSKIEGO
021503;gm. Jelcz-Laskowice;Burmistrz Jelcza-Laskowic;DEKRET Walentyna Krystyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WALENTYNY KRYSTYNY DEKRET
061401;m. Puławy;Prezydent Miasta Puławy;CYTRYŃSKI Mariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KOALICJA SAMORZĄDOWA
321408;gm. Marianowo;Wójt Gminy Marianowo;ANKUTOWICZ Danuta Maria;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM DLA ROZWOJU GMINY MARIANOWO
320302;gm. Drawsko Pomorskie;Burmistrz Drawska Pomorskiego;BUDZYŃSKI Tomasz Jan;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
026401;m. Wrocław;Prezydent Wrocławia;ZBOROWSKI Artur Robert;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY JESTEŚMY STĄD
040308;gm. Solec Kujawski;Burmistrz Miasta i Gminy Solec Kujawski;SUBSTYK Teresa Maria;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SOLECKIE FORUM SAMORZĄDOWE
061908;gm. Wyryki;Wójt Gminy Wyryki;TORBICZ Mirosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MIROSŁAWA TORBICZA
321408;gm. Marianowo;Wójt Gminy Marianowo;RĘBISZ Jolanta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNA PRZYSZŁOŚĆ
320906;gm. Polanów;Burmistrz Polanowa;LIPSKI Grzegorz Paweł;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MIESZKAŃCY GMINY POLANÓW
040707;gm. Pakość;Burmistrz Pakości;GROŃ Zygmunt;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „W SŁUŻBIE MIESZKAŃCOM PAKOŚCI”
040707;gm. Pakość;Burmistrz Pakości;KOŃCZAL Wiesław Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SAMORZĄDNOŚĆ W PAKOŚCI
120803;gm. Kozłów;Wójt Gminy Kozłów;PLUTA Stanisław Marcin;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KOZŁÓW 2018
141310;gm. Wiśniewo;Wójt Gminy Wiśniewo;CIESIELSKI Artur;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ARTURA CIESIELSKIEGO
300204;gm. Krzyż Wielkopolski;Burmistrz Krzyża Wielkopolskiego;KOZŁOWSKI Robert Stanisław;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
140101;gm. Białobrzegi;Burmistrz Miasta i Gminy Białobrzegi;MICHALSKI Paweł Robert;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DLA SPOŁECZEŃSTWA
142405;gm. Świercze;Wójt Gminy Świercze;MISIEWICZ Adam;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
160701;gm. Głuchołazy;Burmistrz Głuchołaz;WOJNAROWSKI Jerzy Stanisław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
100104;gm. Kleszczów;Wójt Gminy Kleszczów;CHOJNOWSKI Sławomir;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SŁAWOMIR CHOJNOWSKI
221303;m. Starogard Gdański;Prezydent Miasta Starogard Gdański;KILIAN Jan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
160906;gm. Murów;Wójt Gminy Murów;PUŁAWSKI Andrzej Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA MURÓW
022301;gm. Czernica;Wójt Gminy Czernica;JAGIELSKI Jarosław Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LUDZIE DOBREJ GMINY
140201;m. Ciechanów;Prezydent Miasta Ciechanów;ADAMIAK Robert;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRAWI I SOLIDARNI
060201;m. Biłgoraj;Burmistrz Miasta Biłgoraj;ROSŁAN Janusz Zbigniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JANUSZA ROSŁANA
020805;m. Polanica-Zdrój;Burmistrz Miasta Polanica-Zdrój;LIPIŃSKI Tomasz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POLANICA NASZ DOM
100501;m. Łowicz;Burmistrz Miasta Łowicza;KOLAS Paweł Aleksander;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PAWŁA KOLASA NA BURMISTRZA MIASTA ŁOWICZA
121201;m. Bukowno;Burmistrz Miasta Bukowno;WADAS JOLANTA;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ODNOWA - KONTYNUACJA
181401;m. Przeworsk;Burmistrz Miasta Przeworska;KOJDER Tomasz Józef;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
182102;gm. Cisna;Wójt Gminy Cisna;WIERZBICKI Jakub Marcin;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „GMINA CISNA WSPÓLNA SPRAWA”
321801;gm. Dobra;Burmistrz Gminy Dobra;HEBDA Piotr Remigiusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PIOTRA HEBDY
280504;gm. Prostki;Wójt Gminy Prostki;WILCZEWSKI Rafał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAFAŁ WILCZEWSKI - NOWA GENERACJA
121304;gm. Kęty;Burmistrz Gminy Kęty;KLĘCZAR Krzysztof Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE PONAD PODZIAŁAMI
302101;m. Luboń;Burmistrz Miasta Luboń;NAWROT Monika Izabela;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KOALICJA MIESZKAŃCÓW LUBONIA
121807;gm. Stryszów;Wójt Gminy Stryszów;ŻMIJA Paweł;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TWÓJ SAMORZĄD POROZUMIENIE DLA PRZYSZŁOŚCI
326101;m. Koszalin;Prezydent Miasta Koszalin;KRAJCZYŃSKI Mariusz Jan;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY LEPSZY KOSZALIN
200301;m. Bielsk Podlaski;Burmistrz Miasta Bielsk Podlaski;HRYNIEWICKI Tomasz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA BIELSKA
020814;gm. Szczytna;Burmistrz Szczytnej;KRÓL Jerzy Mieczysław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE ZIEMI KŁODZKIEJ
301101;m. Kościan;Burmistrz Miasta Kościana;RUSZKIEWICZ Piotr Andrzej;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY POROZUMIENIE ZIEMIA KOŚCIAŃSKA
140702;gm. Głowaczów;Wójt Gminy w Głowaczowie;KWAŚNIEWSKI Aleksander;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA GŁOWACZÓW 2018-23
060406;gm. Trzeszczany;Wójt Gminy Trzeszczany;SZEWC Elżbieta Bożena;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE I ROZWÓJ 2018
201108;gm. Sokółka;Burmistrz Sokółki;BUJWICKI Piotr Karol;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
060301;m. Rejowiec Fabryczny;Burmistrz Miasta Rejowiec Fabryczny;BODYS Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA MIASTA
247101;m. Piekary Śląskie;Prezydent Miasta Piekary Śląskie;UMIŃSKA-DURAJ Sława Matylda;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SŁAWY UMIŃSKIEJ-DURAJ
