Teryt;Gmina;Powiat;Urząd;Imiona;Nazwisko;Komitet;Sygnatura;Typ;Wykształcenie;Wiek;Płeć;"Teryt m. z.";"Gmina zamieszkania";Miejscowość;Członek;Poparcie
181205;"gm. Nisko";niżański;"Burmistrz Gminy i Miasta Nisko";"Zbigniew Edward";KUZIORA;"KOMITET WYBORCZY WYBORCÓW MŁODOŚĆ ORAZ DOŚWIADCZENIE W NISKU";DTG-6043-67/18;"Komitet wyborczy wyborców";wyższe;63;M;181801;"m. Stalowa Wola";"Stalowa Wola";;
301909;"gm. Wysoka";pilski;"Burmistrz Miasta i Gminy Wysoka";Marek;MADEJ;"KOMITET WYBORCZY WYBORCÓW MARKA MADEJA";DPL-6043-7/18;"Komitet wyborczy wyborców";wyższe;58;M;301909;"gm. Wysoka";Wysoka;;
181704;"gm. Komańcza";sanocki;"Wójt Gminy Komańcza";"Ryszard Janusz";RÓŻYCKI;"KOMITET WYBORCZY WYBORCÓW KOMAŃCZA XXI";DKO-6043-112/18;"Komitet wyborczy wyborców";wyższe;58;M;181704;"gm. Komańcza";Dołżyca;;
181704;"gm. Komańcza";sanocki;"Wójt Gminy Komańcza";"Roman Mariusz";BZDYK;"KOMITET WYBORCZY WYBORCÓW ROMANA BZDYKA";DKO-6043-18/18;"Komitet wyborczy wyborców";wyższe;33;M;181704;"gm. Komańcza";Komańcza;;
181704;"gm. Komańcza";sanocki;"Wójt Gminy Komańcza";Bogdan;KAROLCZUK;"KOMITET WYBORCZY WYBORCÓW BOGDANA KAROLCZUKA";DKO-6043-56/18;"Komitet wyborczy wyborców";"wyższe ekonomiczne";56;M;181704;"gm. Komańcza";Szczawne;;
041001;"gm. Kcynia";nakielski;"Burmistrz Kcyni";"Piotr Andrzej";HEMMERLING;"KOMITET WYBORCZY WYBORCÓW PIOTRA HEMMERLINGA „KCYNIA RAZEM”";DBD-6043-173/18;"Komitet wyborczy wyborców";Wyższe;53;M;041001;"gm. Kcynia";Gromadno;"Sojusz Lewicy Demokratycznej";
181205;"gm. Nisko";niżański;"Burmistrz Gminy i Miasta Nisko";Józef;SROKA;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;57;M;181205;"gm. Nisko";Racławice;"Prawo i Sprawiedliwość";
181704;"gm. Komańcza";sanocki;"Wójt Gminy Komańcza";"Stanisław Dobrogniew";BIELAWKA;"KOMITET WYBORCZY WYBORCÓW „ZGODĄ BUDUJMY”";DKO-6043-87/18;"Komitet wyborczy wyborców";wyższe;63;M;181704;"gm. Komańcza";Komańcza;;
041001;"gm. Kcynia";nakielski;"Burmistrz Kcyni";Marek;SZARUGA;"KOMITET WYBORCZY WYBORCÓW „MARKA SZARUGI”";DBD-6043-36/18;"Komitet wyborczy wyborców";Wyższe;55;M;041001;"gm. Kcynia";Kcynia;;
026201;"m. Legnica";"m. Legnica";"Prezydent Miasta Legnicy";"Adam Sławomir";GIZICKI;"KOMITET WYBORCZY WYBORCÓW KUKIZ'15";ZPOW-6043-4/18;"Komitet wyborczy wyborców";"wyższe ekonomiczne";46;M;026201;"m. Legnica";Legnica;;
041001;"gm. Kcynia";nakielski;"Burmistrz Kcyni";"Tomasz Antoni";SZCZEPANIAK;"KOMITET WYBORCZY WYBORCÓW TOMASZ SZCZEPANIAK";DBD-6043-111/18;"Komitet wyborczy wyborców";Wyższe;54;M;041001;"gm. Kcynia";Turzyn;;
181204;"gm. Krzeszów";niżański;"Wójt Gminy Krzeszów";Stanisław;NOWAKOWSKI;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;55;M;181204;"gm. Krzeszów";"Krzeszów Dolny";;
220110;"gm. Tuchomie";bytowski;"Wójt Gminy Tuchomie";"Franciszek Sylwester";"WNUK LIPIŃSKI";"KOMITET WYBORCZY WYBORCÓW NASZA PRZYSZŁOŚĆ";DSŁ-6043-142/18;"Komitet wyborczy wyborców";Wyższe;54;M;220110;"gm. Tuchomie";Tuchomie;;
086101;"m. Gorzów Wielkopolski";"m. Gorzów Wielkopolski";"Prezydent Miasta Gorzowa Wielkopolskiego";"Marta Teresa";BEJNAR-BEJNAROWICZ;"KOMITET WYBORCZY WYBORCÓW KOCHAM GORZÓW";DGW-6043-34/18;"Komitet wyborczy wyborców";wyższe;39;K;086101;"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";;
101209;"gm. Ładzice";radomszczański;"Wójt Gminy Ładzice";"Maciej Michał";"ŚLISKOWSKI VEL ŚLISKI";"KOMITET WYBORCZY WYBORCÓW NA RZECZ GMINY ŁADZICE";DPT-6043-107/18;"Komitet wyborczy wyborców";wyższe;46;M;101209;"gm. Ładzice";Wierzbica;;
181802;"gm. Bojanów";stalowowolski;"Wójt Gminy Bojanów";"Edward Józef";SULICH;"KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA CIEBIE";DTG-6043-17/18;"Komitet wyborczy wyborców";wyższe;53;M;181802;"gm. Bojanów";Bojanów;"Prawo i Sprawiedliwość";
140906;"gm. Solec nad Wisłą";lipski;"Wójt Gminy Solec nad Wisłą";"Lucja Stanisława";ŚMIESZEK;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";średnie;58;K;140906;"gm. Solec nad Wisłą";Raj;PSL;
321803;"gm. Radowo Małe";łobeski;"Wójt Gminy Radowo Małe";"Józef Jarosław";WYPIJEWSKI;"KOMITET WYBORCZY WYBORCÓW RUCH INICJATYW OBYWATELSKICH 2018";DSZ-6043-71/18;"Komitet wyborczy wyborców";Wyźsze;64;M;321803;"gm. Radowo Małe";"Radowo Małe";;
140906;"gm. Solec nad Wisłą";lipski;"Wójt Gminy Solec nad Wisłą";"Marek Tomasz";SZYMCZYK;"KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI RAZEM DLA GMINY I POWIATU";DRD-6043-110/18;"Komitet wyborczy wyborców";wyższe;49;M;140906;"gm. Solec nad Wisłą";"Wola Pawłowska";;
281104;"gm. Nidzica";nidzicki;"Burmistrz Nidzicy";Jacek;KOSMALA;"KOMITET WYBORCZY WYBORCÓW POPARCIA JACKA KOSMALI";DOL-6043-127/18;"Komitet wyborczy wyborców";wyższe;48;M;281104;"gm. Nidzica";Kanigowo;;
160802;"gm. Gorzów Śląski";oleski;"Burmistrz Gorzowa Śląskiego";"Artur Joachim";TOMALA;"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA";DOP-6043-36/18;"Komitet wyborczy wyborców";wyższe;49;M;160802;"gm. Gorzów Śląski";"Gorzów Śląski";;
221201;"m. Ustka";słupski;"Burmistrz Miasta Ustka";"Grzegorz Jerzy";KOSKI;"KOMITET WYBORCZY WYBORCÓW GRZEGORZ KOSKI";DSŁ-6043-83/18;"Komitet wyborczy wyborców";średnie;67;M;221201;"m. Ustka";Ustka;;
302401;"m. Obrzycko";szamotulski;"Burmistrz Miasta Obrzycko";"Maciej Jarosław";BIENIEK;"KOMITET WYBORCZY WYBORCÓW DECYDUJMY WSPÓLNIE. DLA OBRZYCKA";DPZ-6043-5/18;"Komitet wyborczy wyborców";wyższe;37;M;302401;"m. Obrzycko";Obrzycko;;
200214;"gm. Zabłudów";białostocki;"Burmistrz Zabłudowa";Adam;TOMANEK;"KOMITET WYBORCZY WYBORCÓW JESTEŚMY Z GMINĄ ZABŁUDÓW";DBŁ-6043-96/18;"Komitet wyborczy wyborców";wyższe;53;M;200214;"gm. Zabłudów";Zabłudów;;
180103;"gm. Czarna";bieszczadzki;"Wójt Gminy w Czarnej";"Bogusław Wojciech";KOCHANOWICZ;"KOMITET WYBORCZY WYBORCÓW DLA GMINY CZARNA";DKO-6043-82/18;"Komitet wyborczy wyborców";wyższe;56;M;180103;"gm. Czarna";Rabe;;
040801;"m. Lipno";lipnowski;"Burmistrz Miasta Lipna";"Paweł Piotr";BANASIK;"KOMITET WYBORCZY WYBORCÓW PAWŁA BANASIKA";DWŁ-6043-101/18;"Komitet wyborczy wyborców";wyższe;57;M;040801;"m. Lipno";Lipno;"Prawo i Sprawiedliwość";
321502;"gm. Barwice";szczecinecki;"Burmistrz Barwic";Wojciech;OSUCH;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;46;M;321502;"gm. Barwice";"Stary Chwalim";;
101407;"gm. Klonowa";sieradzki;"Wójt Gminy Klonowa";Dariusz;PERDEK;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;51;M;101407;"gm. Klonowa";"Górka Klonowska-Kolonia";PSL;
102003;"m. Zgierz";zgierski;"Prezydent Miasta Zgierza";"Mieczysław Piotr";WITCZAK;"KOMITET WYBORCZY WYBORCÓW MIECZYSŁAWA WITCZAKA";DŁD-6043-74/18;"Komitet wyborczy wyborców";wyższe;61;M;102003;"m. Zgierz";Zgierz;;
061805;"gm. Lubycza Królewska";tomaszowski;"Burmistrz Lubyczy Królewskiej";"Paweł Krzysztof";BOROWIEC;"KOMITET WYBORCZY WYBORCÓW WSPÓLNA GMINA";DZM-6043-45/18;"Komitet wyborczy wyborców";średnie;46;M;061805;"gm. Lubycza Królewska";"Lubycza Królewska";;
041805;"gm. Choceń";włocławski;"Wójt Gminy Choceń";"Tomasz Piotr";OLACH;"KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA GMINY CHOCEŃ";DWŁ-6043-1/18;"Komitet wyborczy wyborców";wyższe;47;M;041805;"gm. Choceń";Bodzanówek;"Prawo i Sprawiedliwość";
100402;"gm. Daszyna";łęczycki;"Wójt Gminy Daszyna";Tadeusz;DYMNY;"KOMITET WYBORCZY WYBORCÓW PRZYJAZNA I NOWOCZESNA GMINA";DŁD-6043-99/18;"Komitet wyborczy wyborców";wyższe;64;M;100402;"gm. Daszyna";Daszyna;;
302103;"gm. Buk";poznański;"Burmistrz Miasta i Gminy Buk";Paweł;ADAM;"KOMITET WYBORCZY WYBORCÓW PAWŁA ADAMA";DPZ-6043-1/18;"Komitet wyborczy wyborców";wyższe;30;M;302103;"gm. Buk";Buk;;
326301;"m. Świnoujście";"m. Świnoujście";"Prezydent Miasta Świnoujście";Janusz;ŻMURKIEWICZ;"KOMITET WYBORCZY WYBORCÓW JANUSZA ŻMURKIEWICZA";DSZ-6043-23/18;"Komitet wyborczy wyborców";wyższe;70;M;326301;"m. Świnoujście";Świnoujście;;
326301;"m. Świnoujście";"m. Świnoujście";"Prezydent Miasta Świnoujście";"Joanna Monika";AGATOWSKA;"KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM";ZPOW-6041-2/18;"Koalicyjny komitet wyborczy";"wyższe ekonomiczne";46;K;326301;"m. Świnoujście";Świnoujście;"Sojusz Lewicy Demokratycznej";
060803;"gm. Firlej";lubartowski;"Wójt Gminy Firlej";"Sławomir Marian";CIESZKO;"KOMITET WYBORCZY WYBORCÓW „GMINA FIRLEJ NASZ WSPÓLNY DOM”";DLB-6043-16/18;"Komitet wyborczy wyborców";Wyższe;60;M;060803;"gm. Firlej";Firlej;;
142301;"gm. Borkowice";przysuski;"Wójt Gminy Borkowice";"Robert Sylwester";FIDOS;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";Wyższe;54;M;142306;"gm. Przysucha";Skrzyńsko;PSL;
221204;"gm. Główczyce";słupski;"Wójt Gminy Główczyce";"Joanna Barbara";LIPCZYŃSKA;"KOMITET WYBORCZY WYBORCÓW JOANNY LIPCZYŃSKIEJ";DSŁ-6043-29/18;"Komitet wyborczy wyborców";Wyższe;46;K;221204;"gm. Główczyce";Żelkowo;;
081007;"gm. Szprotawa";żagański;"Burmistrz Szprotawy";"Krzysztof Andrzej";SKIBA;"KOMITET WYBORCZY WYBORCÓW NASZA GMINA - NASZA PRZYSZŁOŚĆ";DZG-6043-126/18;"Komitet wyborczy wyborców";"zasadnicze zawodowe";48;M;081007;"gm. Szprotawa";Szprotawa;;
141308;"gm. Szydłowo";mławski;"Wójt Gminy Szydłowo";Stanisław;SUMICKI;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;59;M;141308;"gm. Szydłowo";Szydłowo;"Prawo i Sprawiedliwość";
140611;"gm. Warka";grójecki;"Burmistrz Warki";"Dariusz Witold";GIZKA;"KOMITET WYBORCZY WYBORCÓW „WSPÓLNIE DLA MIASTA I GMINY WARKA”";DRD-6043-69/18;"Komitet wyborczy wyborców";wyższe;51;M;140611;"gm. Warka";Warka;;
040802;"gm. Bobrowniki";lipnowski;"Wójt Gminy Bobrowniki";"Jarosław Jacek";POLIWKO;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;47;M;040802;"gm. Bobrowniki";Bobrowniki;"Polskie Stronnictwo Ludowe";
102001;"m. Głowno";zgierski;"Burmistrz Głowna";"Krzysztof Antoni";WAWRZYN;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;55;M;102001;"m. Głowno";Głowno;;
141308;"gm. Szydłowo";mławski;"Wójt Gminy Szydłowo";Wiesław;BOCZKOWSKI;"KOMITET WYBORCZY WYBORCÓW NASZA PRZYSZŁOŚĆ";DCI-6043-14/18;"Komitet wyborczy wyborców";średnie;61;M;141308;"gm. Szydłowo";Szydłowo;"Polskie Stronnictwo Ludowe";
141308;"gm. Szydłowo";mławski;"Wójt Gminy Szydłowo";Grzegorz;ROCHNA;"KOMITET WYBORCZY WYBORCÓW - GRZEGORZ ROCHNA";DCI-6043-60/18;"Komitet wyborczy wyborców";średnie;49;M;141308;"gm. Szydłowo";Trzcianka;;
081007;"gm. Szprotawa";żagański;"Burmistrz Szprotawy";"Józef Marcin";RUBACHA;"KOMITET WYBORCZY WYBORCÓW JÓZEFA RUBACHY";DZG-6043-57/18;"Komitet wyborczy wyborców";wyższe;60;M;081007;"gm. Szprotawa";Szprotawa;"Polskie Stronnictwo Ludowe";
041102;"gm. Bytoń";radziejowski;"Wójt Gminy Bytoń";"Marian Jan";ZIELIŃSKI;"KOMITET WYBORCZY WYBORCÓW „RUCH SAMORZĄDOWY DLA GMINY BYTOŃ”";DWŁ-6043-68/18;"Komitet wyborczy wyborców";"wyższe ekonomiczne";54;M;041104;"gm. Osięciny";"Osięciny Probostwo";"Polskie Stronnictwo Ludowe";
041102;"gm. Bytoń";radziejowski;"Wójt Gminy Bytoń";Piotr;KOSTECKI;"KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA PRZYSZŁOŚĆ";DWŁ-6043-25/18;"Komitet wyborczy wyborców";wyższe;52;M;041102;"gm. Bytoń";Bytoń;;
321702;"gm. Człopa";wałecki;"Burmistrz Miasta i Gminy Człopa";"Jerzy Maciej";BEKKER;"KOMITET WYBORCZY WYBORCÓW - RAZEM DLA WAS";DKS-6043-14/18;"Komitet wyborczy wyborców";wyższe;54;M;321702;"gm. Człopa";Człopa;;
080906;"gm. Sulechów";zielonogórski;"Burmistrz Sulechowa";Ignacy;ODWAŻNY;"KOMITET WYBORCZY WYBORCÓW IGNACEGO ODWAŻNEGO";DZG-6043-21/18;"Komitet wyborczy wyborców";wyższe;68;M;080906;"gm. Sulechów";Sulechów;;
301908;"gm. Wyrzysk";pilski;"Burmistrz Wyrzyska";Bogusława;JAGODZIŃSKA;"KOMITET WYBORCZY WYBORCÓW BOGUSŁAWY JAGODZIŃSKIEJ";DPL-6043-14/18;"Komitet wyborczy wyborców";wyższe;49;K;301908;"gm. Wyrzysk";Falmierowo;"Platforma Obywatelska Rzeczypospolitej Polskiej";
142701;"m. Sierpc";sierpecki;"Burmistrz Miasta Sierpc";"Anna Wioletta";CZACHOROWSKA;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;47;K;142701;"m. Sierpc";Sierpc;PiS;
220406;"gm. Pszczółki";gdański;"Wójt Gminy Pszczółki";"Zenon Henryk";ŻYNDA;"KOMITET WYBORCZY WYBORCÓW „WSPÓLNIE DLA GMINY”";DGD-6043-104/18;"Komitet wyborczy wyborców";wyższe;54;M;220406;"gm. Pszczółki";Kolnik;"Prawo i Sprawiedliwość";
220803;"gm. Cewice";lęborski;"Wójt Gminy Cewice";Jerzy;BAŃKA;"KOMITET WYBORCZY WYBORCÓW INICJATYWA SAMORZĄDOWA GMINY CEWICE";DSŁ-6043-37/18;"Komitet wyborczy wyborców";średnie;53;M;220803;"gm. Cewice";Siemirowice;;
281701;"m. Szczytno";szczycieński;"Burmistrz Miasta Szczytno";"Zbigniew Jacek";GONTARZEWSKI;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;48;M;281701;"m. Szczytno";Szczytno;"Prawo i Sprawiedliwość";
220406;"gm. Pszczółki";gdański;"Wójt Gminy Pszczółki";Lech;CZARNECKI;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";Wyższe;63;M;220406;"gm. Pszczółki";Pszczółki;"Polskie Stronnictwo Ludowe";
080804;"gm. Szczaniec";świebodziński;"Wójt Gminy Szczaniec";"IWONA IZABELA";BĄCELA;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";WYŻSZE;55;K;080805;"gm. Świebodzin";ŚWIEBODZIN;;
142610;"gm. Suchożebry";siedlecki;"Wójt Gminy Suchożebry";Zbigniew;DZIEWULSKI;"KOMITET WYBORCZY WYBORCÓW ""UCZCIWA GMINA SUCHOŻEBRY""";DSD-6043-46/18;"Komitet wyborczy wyborców";"średnie ekonomiczne";61;M;142610;"gm. Suchożebry";Kopcie;;
142206;"gm. Krzynowłoga Mała";przasnyski;"Wójt Gminy Krzynowłoga Mała";Adam;BACŁAWSKI;"KOMITET WYBORCZY WYBORCÓW ADAMA BACŁAWSKIEGO";DCI-6043-16/18;"Komitet wyborczy wyborców";wyższe;49;M;142206;"gm. Krzynowłoga Mała";Plewnik;"Polskie Stronnictwo Ludowe";
142306;"gm. Przysucha";przysuski;"Burmistrz Gminy i Miasta w Przysusze";Tomasz;MATLAKIEWICZ;"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWO-LUDOWE";DRD-6043-9/18;"Komitet wyborczy wyborców";wyższe;47;M;142306;"gm. Przysucha";Skrzyńsko;;
041304;"gm. Więcbork";sępoleński;"Burmistrz Więcborka";Henryk;PAWLINA;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;60;M;041304;"gm. Więcbork";Sypniewo;PSL;
142206;"gm. Krzynowłoga Mała";przasnyski;"Wójt Gminy Krzynowłoga Mała";Jerzy;HUMIĘCKI;"KOMITET WYBORCZY WYBORCÓW JERZEGO HUMIĘCKIEGO";DCI-6043-77/18;"Komitet wyborczy wyborców";wyższe;59;M;142206;"gm. Krzynowłoga Mała";"Krzynowłoga Mała";"Prawo i Sprawiedliwość";
101302;"gm. Biała Rawska";rawski;"Burmistrz Białej Rawskiej";"Bogdan Jan";PIETRZAK;"KOMITET WYBORCZY STOWARZYSZENIA „NASZA MAŁA OJCZYZNA”";DSK-6042-2/18;"Komitet wyborczy organizacji i stowarzyszeń";"Średnie techniczne";56;M;101302;"gm. Biała Rawska";"Biała Rawska";"Prawo i Sprawiedliwość";
321402;"gm. Chociwel";stargardzki;"Burmistrz Gminy Chociwel";"Zbigniew Stanisław";GRUSZCZYŃSKI;"KOMITET WYBORCZY WYBORCÓW GMINA TO WSZYSCY JEJ MIESZKAŃCY";DSZ-6043-101/18;"Komitet wyborczy wyborców";wyższe;60;M;321402;"gm. Chociwel";Chociwel;;
321402;"gm. Chociwel";stargardzki;"Burmistrz Gminy Chociwel";Kamila;BUCZEK;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;41;K;326201;"m. Szczecin";Szczecin;"Prawo i Sprawiedliwość";
060705;"gm. Kraśnik";kraśnicki;"Wójt Gminy Kraśnik";"Wojciech Krzysztof";PIĘTAL;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";średnie;55;M;060705;"gm. Kraśnik";"Słodków Pierwszy";;
326101;"m. Koszalin";"m. Koszalin";"Prezydent Miasta Koszalin";Wiktor;KAMIENIARZ;"KOMITET WYBORCZY WYBORCÓW WIKTORA KAMIENIARZA";DKS-6043-168/18;"Komitet wyborczy wyborców";"Wyższe magisterskie";65;M;326101;"m. Koszalin";Koszalin;;
060705;"gm. Kraśnik";kraśnicki;"Wójt Gminy Kraśnik";"Mirosław Stanisław";CHAPSKI;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";Wyższe;62;M;060705;"gm. Kraśnik";Stróża-Kolonia;PSL;
022306;"gm. Mietków";wrocławski;"Wójt Gminy Mietków";"Adam Piotr";KOZAROWICZ;"KOMITET WYBORCZY WYBORCÓW ADAMA KOZAROWICZA";DWR-6043-9/18;"Komitet wyborczy wyborców";wyższe;59;M;022306;"gm. Mietków";Wawrzeńczyce;"Platforma Obywatelska RP";
160505;"gm. Zdzieszowice";krapkowicki;"Burmistrz Zdzieszowic";"Sybila Antonina";ZIMERMAN;"KOMITET WYBORCZY WYBORCÓW ZGODA TO PRZYSZŁOŚĆ";DOP-6043-60/18;"Komitet wyborczy wyborców";"wyższe ekonomiczne";59;K;160505;"gm. Zdzieszowice";Zdzieszowice;;
140903;"gm. Lipsko";lipski;"Burmistrz Miasta i Gminy Lipsko";"Mariola Izabela";SZYMCZYK;"KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA";ZPOW-6041-1/18;"Koalicyjny komitet wyborczy";wyższe;55;K;140903;"gm. Lipsko";Lipsko;"Platforma Obywatelska Rzeczypospolitej Polskiej";
101801;"gm. Bolesławiec";wieruszowski;"Wójt Gminy Bolesławiec";"Ilona Agata";GÓRAL;"KOMITET WYBORCZY WYBORCÓW „NASZA WIEŚ”";DSR-6043-19/18;"Komitet wyborczy wyborców";wyższe;52;K;101801;"gm. Bolesławiec";Chotynin;;
320403;"gm. Maszewo";goleniowski;"Burmistrz Gminy Maszewo";"Małgorzata Krystyna";STORMA-PIOTROWSKA;"KOMITET WYBORCZY WYBORCÓW MAŁGORZATY STORMA-PIOTROWSKIEJ";DSZ-6043-204/18;"Komitet wyborczy wyborców";wyższe;37;K;320403;"gm. Maszewo";Nastazin;"Prawo i Sprawiedliwość";
260403;"gm. Chęciny";kielecki;"Burmistrz Gminy i Miasta Chęciny";"Robert Zbigniew";JAWORSKI;"KOMITET WYBORCZY WYBORCÓW ROBERTA JAWORSKIEGO";DKC-6043-157/18;"Komitet wyborczy wyborców";Wyższe;48;M;260403;"gm. Chęciny";Chęciny;;
320403;"gm. Maszewo";goleniowski;"Burmistrz Gminy Maszewo";"Izabela Małgorzata";ŻABICKA;"KOMITET WYBORCZY WYBORCÓW IZABELI ŻABICKIEJ";DSZ-6043-16/18;"Komitet wyborczy wyborców";wyższe;44;K;320403;"gm. Maszewo";MASZEWO;;
101705;"gm. Osjaków";wieluński;"Wójt Gminy Osjaków";Jarosław;TROJAN;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";ZPOW-6040-2/18;"Komitet wyborczy partii politycznej";wyższe;53;M;101705;"gm. Osjaków";Osjaków;PSL;
247801;"m. Zabrze";"m. Zabrze";"Prezydent Miasta Zabrze";"Mirosław Stanisław";DYNAK;"KOMITET WYBORCZY WOLNI I SOLIDARNI";ZPOW-6040-16/18;"Komitet wyborczy partii politycznej";Wyższe;58;M;247801;"m. Zabrze";Zabrze;;
