Teryt;Gmina;Powiat;Urząd;Imiona;Nazwisko;Komitet;Sygnatura;Typ;Wykształcenie;Wiek;Płeć;"Teryt m. z.";"Gmina zamieszkania";Miejscowość;Członek;Poparcie
280407;"gm. Pasłęk";elbląski;"Burmistrz Pasłęka";Krzysztof;KOPAŃSKI;"KOMITET WYBORCZY WYBORCÓW ""PASŁĘK RAZEM""";DEL-6043-31/18;"Komitet wyborczy wyborców";wyższe;56;M;280407;"gm. Pasłęk";Pasłęk;;
302110;"gm. Mosina";poznański;"Burmistrz Gminy Mosina";"Przemysław Stanisław";MIELOCH;"KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA GMINY";DPZ-6043-11/18;"Komitet wyborczy wyborców";wyższe;48;M;302110;"gm. Mosina";Mosina;;
260402;"gm. Bodzentyn";kielecki;"Burmistrz Miasta i Gminy Bodzentyn";"Dariusz Józef";ŚWIETLIK;"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";ZPOW-6040-6/18;"Komitet wyborczy partii politycznej";wyższe;53;M;260402;"gm. Bodzentyn";Bodzentyn;;
281705;"gm. Rozogi";szczycieński;"Wójt Gminy Rozogi";Zbigniew;KUDRZYCKI;"KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA GMINY ROZOGI";DOL-6043-13/18;"Komitet wyborczy wyborców";wyższe;55;M;281705;"gm. Rozogi";Rozogi;"Platforma Obywatelska RP";
080205;"gm. Gubin";krośnieński;"Wójt Gminy Gubin";"Zbigniew Waldemar";BARSKI;"KOMITET WYBORCZY WYBORCÓW ZBIGNIEWA BARSKIEGO";DZG-6043-25/18;"Komitet wyborczy wyborców";wyższe;57;M;080205;"gm. Gubin";"Stargard Gubiński";;
302407;"gm. Szamotuły";szamotulski;"Burmistrz Miasta i Gminy Szamotuły";Włodzimierz;KACZMAREK;"KOMITET WYBORCZY WYBORCÓW WŁODZIMIERZA KACZMARKA RAZEM !";DPZ-6043-87/18;"Komitet wyborczy wyborców";wyższe;57;M;302407;"gm. Szamotuły";Szczuczyn;;
041505;"gm. Łubianka";toruński;"Wójt Gminy Łubianka";"Barbara Agata";ZALEWSKA;"KOMITET WYBORCZY WYBORCÓW ""PRZYMIERZE SAMORZĄDOWE""";DTR-6043-81/18;"Komitet wyborczy wyborców";wyższe;48;K;041505;"gm. Łubianka";"Zamek Bierzgłowski";;
041505;"gm. Łubianka";toruński;"Wójt Gminy Łubianka";Jerzy;ZAJĄKAŁA;"KOMITET WYBORCZY WYBORCÓW JERZEGO ZAJĄKAŁA - ZGODA I ROZWÓJ GMINY";DTR-6043-131/18;"Komitet wyborczy wyborców";wyższe;65;M;041505;"gm. Łubianka";Brąchnowo;PiS;
080801;"gm. Lubrza";świebodziński;"Wójt Gminy Lubrza";Ryszard;SKONIECZEK;"KOMITET WYBORCZY FORUM SAMORZĄDOWE";DZG-6042-7/18;"Komitet wyborczy organizacji i stowarzyszeń";średnie;55;M;080801;"gm. Lubrza";Lubrza;;
181704;"gm. Komańcza";sanocki;"Wójt Gminy Komańcza";"Iwona Jadwiga";SZATKOWSKA-MACKO;"KOMITET WYBORCZY WYBORCÓW PRZYJAZNA GMINA";DKO-6043-28/18;"Komitet wyborczy wyborców";wyższe;44;K;181704;"gm. Komańcza";Szczawne;;
