teryt;gmina;urzad;kto;typk;bb;cc;tura;nrk;wiek;edu;glosy;glosyp;glosyn;wynik;areaH;areaKm;popThs;popKm;type;retention;typg14;tura14;teryt14;kto14;komitet14;glosy14;glosyp14;dochody2017;wdistkm
022401;gm. Bardo;BMiG Bardo;ŻEGAŃSKI Krzysztof;KWW;50.455572,16.673713 50.572097,16.828259;50.5138345,16.750986;R1;2;59;wyższe;1367;61.44;-1;Tak;7303;73;5362;73;gmw;1;M;R1;022401;ŻEGAŃSKI Krzysztof;KWW Szansa dla Gminy;1315;54.52;3720.70;70
021503;gm. Jelcz-Laskowice;Burmistrz Jelcza-Laskowic;SZCZĘŚNIAK Bogdan Dariusz;KWW;50.962630,17.269838 51.103703,17.543660;51.0331665,17.406749;R2;2;59;wyższe;5827;67.72;-1;Tak;16763;168;23269;139;gmw;1;D;R2;021503;SZCZĘŚNIAK Bogdan Dariusz;KWW Koalicja 2014;3676;51.48;4043.05;28
021901;m. Świdnica;PrezM Świdnicy;MOSKAL-SŁANIEWSKA Beata Małgorzata;KWW;50.808023,16.455370 50.873211,16.529676;50.840617,16.492523;R1;3;52;wyższe;16275;69.86;-1;Tak;2176;22;57671;2650;gm;1;D;R2;021901;MOSKAL-SŁANIEWSKA Beata Małgorzata;Koalicyjny Komitet Wyborczy SLD Lewica Razem;9608;56.41;4161.73;49
021903;gm. Dobromierz;Wójt Gminy Dobromierz;ULBIN Jerzy Tadeusz;KWW;50.871606,16.159403 51.018401,16.307029;50.9450035,16.233216;R1;2;54;wyższe;1360;59.73;-1;Tak;8593;86;5301;62;gw;1;M;R1;021903;ULBIN JERZY TADEUSZ;KWW Jerzego Ulbina;1381;54.74;4270.90;59
021007;gm. Siekierczyn;Wójt Gminy Siekierczyn;FURDYKOŃ Dariusz Grzegorz;KWW;51.080913,15.118636 51.166891,15.261077;51.123902,15.1898565;R1;1;41;wyższe;1546;79.20;-1;Tak;4950;50;4540;92;gw;0;M;R1;021007;NIEKRASZ Janusz Marek;KWW Kontynuacja przemian;1025;58.11;3845.93;129
021904;gm. Jaworzyna Śląska;Burmistrz Jaworzyny Śląskiej;GRZEGORZEWICZ Grzegorz Sławomir;KWW;50.856581,16.376061 50.957777,16.497881;50.907179,16.436971;R1;3;41;wyższe;2616;64.99;-1;Tak;6745;67;10344;153;gmw;1;S;R1;021904;GRZEGORZEWICZ Grzegorz Sławomir;KWW Nasza Gmina Jaworzyna Śląska;2654;100.00;3862.95;48
021006;gm. Platerówka;Wójt Gminy Platerówka;HALICKI Krzysztof Adam;KWW;51.018519,15.121106 51.101860,15.265266;51.0601895,15.193186;R1;1;53;wyższe;417;51.23;-1;Tak;4790;48;1631;34;gw;1;M;R1;021006;HALICKI Krzysztof Adam;KWW Pozytywne Przemiany;552;70.59;4259.14;129
021905;gm. Marcinowice;Wójt Gminy Marcinowice;LEŃ Stanisław;KWW;50.816950,16.529100 50.939377,16.701697;50.8781635,16.6153985;R2;2;48;wyższe;1337;50.61;-1;Tak;9524;95;6497;68;gw;0;D;R2;021905;GOŁĘBIOWSKI Władysław;KWW Władysława Gołębiowskiego;1456;55.32;4110.78;39
021101;m. Lubin;PrezM Lubina;RACZYŃSKI Robert;KWW;51.358967,16.129634 51.439867,16.258249;51.399417,16.1939415;R1;4;56;wyższe;17483;58.61;-1;Tak;4077;41;72892;1788;gm;1;M;R1;021101;RACZYŃSKI Robert;KWW ROBERT RACZYŃSKI LUBIN 2006;16434;70.76;4734.66;66
021906;gm. Strzegom;Burmistrz Strzegomia;SUCHYTA Zbigniew Tadeusz;KWW;50.877668,16.249156 51.029723,16.484416;50.9536955,16.366786;R1;2;58;wyższe;8501;74.21;-1;Tak;14465;145;26102;180;gmw;1;M;R1;021906;SUCHYTA Zbigniew Tadeusz;KWW Razem dla Gminy Strzegom;5742;51.55;4151.39;50
021103;gm. Rudna;Wójt Gminy Rudna;BIGUS Władysław;KWW;51.432553,16.177917 51.612394,16.482172;51.5224735,16.3300445;R1;1;61;średnie techniczne;2634;60.47;-1;Tak;21664;217;7742;36;gw;1;D;R2;021103;BIGUS Władysław;KWW „NASZA GMINA” RUDNA;2286;54.42;6833.41;67
021907;gm. Świdnica;Wójt Gminy Świdnica;MAZUREK Teresa Stefania;KWW;50.711235,16.332294 50.905245,16.605681;50.80824,16.4689875;R2;1;62;wyższe;3021;51.23;-1;Tak;20784;208;17131;82;gw;1;M;R1;021907;MAZUREK Teresa Stefania;KWW Teresy Mazurek Wspólna Gmina 58-100 Świdnica Panków 18A;4359;76.21;4309.39;52
021102;gm. Lubin;Wójt Gminy Lubin;KIELAN Tadeusz Zbigniew;KWW;51.270587,16.004143 51.471704,16.355179;51.3711455,16.179661;R1;2;61;wyższe techniczne;4081;58.34;-1;Tak;28978;290;15605;54;gw;1;D;R2;021102;KIELAN Tadeusz Zbigniew;KWW Tadeusz Kielan;3203;55.55;5374.60;66
021908;gm. Żarów;Burmistrz Miasta Żarów;MICHALAK Leszek Kazimierz;KWW;50.892129,16.423223 51.003248,16.630250;50.9476885,16.5267365;R1;2;54;wyższe;4003;81.03;-1;Tak;8784;88;12506;142;gmw;1;M;R1;021908;MICHALAK Leszek Kazimierz;KWW Leszka Michalaka;3625;75.24;4173.53;40
021104;gm. Ścinawa;Burmistrz Ścinawy;KOSZTYŁA Krystian Stanisław;KWW;51.293699,16.308570 51.490291,16.476860;51.391995,16.392715;R1;2;38;wyższe;3119;72.43;-1;Tak;16443;164;10081;61;gmw;1;D;R2;021104;KOSZTYŁA Krystian Stanisław;KWW KRYSTIAN KOSZTYŁA;2642;56.50;4315.32;54
021202;gm. Lubomierz;Burmistrz Gminy i Miasta Lubomierz;CHRABĄSZCZ Marek;KWW;50.937634,15.444598 51.073485,15.650067;51.0055595,15.5473325;R1;2;40;wyższe;1499;64.42;-1;Tak;13053;131;6235;48;gmw;0;D;R2;021202;ZIóŁKOWSKI Wiesław Antoni;KWW Przyjazna Gmina;1138;56.79;4254.12;105
022003;gm. Trzebnica;Burmistrz Gminy Trzebnica;DŁUGOZIMA Marek Aureli;KWW;51.239580,16.982979 51.469890,17.221312;51.354735,17.1021455;R1;2;54;wyższe prawnicze;6485;65.69;-1;Tak;19996;200;24179;121;gmw;1;M;R1;022003;DŁUGOZIMA Marek Aureli;KWW Marka Długozimy - Skuteczni dla Rozwoju;6326;71.63;4966.81;27
021201;gm. Gryfów Śląski;Burmistrz Gminy i Miasta Gryfów Śląski;PONIŹNIK Olgierd;KWW;50.967841,15.375691 51.120657,15.504046;51.044249,15.4398685;R1;2;64;wyższe;2751;71.44;-1;Tak;6667;67;9779;147;gmw;1;M;R1;021201;PONIŹNIK Olgierd;KWW Olgierda Poniźnika;1983;53.96;3527.59;112
022001;gm. Oborniki Śląskie;Burmistrz Obornik Śląskich;POPRAWA Arkadiusz Marcin;KWW;51.196890,16.777447 51.361399,17.002819;51.2791445,16.890133;R1;2;48;Wyższe;6615;69.27;-1;Tak;15426;154;20105;130;gmw;1;D;R2;022001;POPRAWA Arkadiusz Marcin;KWW Porozumienie Obywatelskie Arkadiusza Poprawy;3916;55.31;4108.58;21
021203;gm. Lwówek Śląski;Burmistrz Gminy i Miasta Lwówek Śląski;SZCZĘSNA Mariola;PSL;51.044693,15.443262 51.199301,15.761442;51.121997,15.602352;R2;2;55;wyższe;3489;60.23;-1;Tak;23993;240;17346;72;gmw;1;D;R2;021203;SZCZĘSNA Mariola;KW-PSL;2520;54.44;3621.83;100
022002;gm. Prusice;BMiG Prusice;BANDROWICZ Igor Krystian;KWW;51.322335,16.768008 51.458039,17.059924;51.390187,16.913966;R1;1;40;Wyższe;3011;62.19;-1;Tak;15798;158;9363;59;gmw;1;M;R1;022002;BANDROWICZ Igor Krystian;KWW Igora Bandrowicza;3399;82.46;4568.66;32
021204;gm. Mirsk;BMiG Mirsk;JASIŃSKI Andrzej;KWW;50.831886,15.277195 51.006058,15.526394;50.918972,15.4017945;R1;1;53;średnie;1859;53.08;-1;Tak;18650;186;8692;47;gmw;1;M;R1;021204;JASIŃSKI Andrzej;KWW Niezależna Inicjatywa Samorządowa;1957;57.19;4598.81;116
021205;gm. Wleń;BMiG Wleń;ZYCH Artur Adam;KWW;50.949319,15.579186 51.065156,15.765490;51.0072375,15.672338;R1;2;53;wyższe;1186;64.88;-1;Tak;8606;86;4308;50;gmw;1;D;R2;021205;ZYCH Artur Adam;KWW „Sprzeciw Stagnacji”;892;51.68;3849.62;96
020803;m. Kudowa-Zdrój;Burmistrz Miasta Kudowa-Zdrój;POTOCZNA Aneta Ewa;Komitet wyborczy organizacji i stowarzyszeń;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813;R1;3;45;wyższe;2195;50.44;-1;Tak;3390;34;10018;296;gm;0;D;R2;020803;MAZIARZ Piotr;KWW My dla Kudowy;2236;54.00;3983.47;92
020801;m. Duszniki-Zdrój;Burmistrz Miasta Duszniki-Zdrój;LEWANDOWSKI Piotr Andrzej;KWW;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848;R1;1;34;średnie;1055;52.23;-1;Tak;2228;22;4728;212;gm;1;D;R2;020801;LEWANDOWSKI Piotr Andrzej;KWW Piotra Lewandowskiego;1084;55.73;5152.55;95
020802;m. Kłodzko;Burmistrz Miasta Kłodzka;PISZKO Michał Jan;KWW;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345;R1;4;37;wyższe;7577;67.56;-1;Tak;2484;25;27193;1095;gm;1;D;R2;020802;PISZKO Michał Jan;KWW Lubię Kłodzko;5337;58.54;3686.28;81
020805;m. Polanica-Zdrój;Burmistrz Miasta Polanica-Zdrój;JELLIN Mateusz Krzysztof;KWW;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725;R2;1;36;wyższe;1451;62.25;-1;Tak;1722;17;6381;371;gm;0;D;R2;020805;TERLECKI Jerzy Kazimierz;KWW Razem Dla Polanicy - P. Samorządowe;1243;53.42;4584.85;88
020804;m. Nowa Ruda;Burmistrz Miasta Nowa Ruda;KILIŃSKI Tomasz Jacek;KWW;50.523802,16.460259 50.623198,16.579227;50.5735,16.519743;R1;1;47;wyższe;5468;68.43;-1;Tak;3705;37;22455;606;gm;1;M;R1;020804;KILIŃSKI Tomasz Jacek;KWW Tomasz Kiliński;4466;62.66;3769.56;70
020807;gm. Kłodzko;Wójt Gminy Kłodzko;TUR Zbigniew Józef;KWW;50.332201,16.521965 50.561829,16.815093;50.447015,16.668529;R1;3;54;wyższe;3818;61.77;-1;Tak;25325;252;17285;68;gw;0;D;R2;020807;LONGAWA Stanisław Tadeusz;KW-PSL;3290;64.16;3993.30;79
020806;gm. Bystrzyca Kłodzka;Burmistrz Bystrzycy Kłodzkiej;SURMA Renata Lucyna;KWW;50.194995,16.436487 50.379552,16.837567;50.2872735,16.637027;R1;3;52;wyższe;4251;52.25;-1;Tak;33853;339;19077;56;gmw;1;M;R1;020806;SURMA Renata Lucyna;KWW Renaty Surmy;4438;56.70;3867.54;96
020809;gm. Lewin Kłodzki;Wójt Gminy Lewin Kłodzki;KLIMEK-SZYMANOWICZ Joanna Barbara;KWW;50.367444,16.237095 50.462412,16.369132;50.414928,16.3031135;R1;1;32;wyższe;524;61.07;-1;Tak;5214;52;1940;37;gw;1;D;R2;020809;KLIMEK-SZYMANOWICZ Joanna Barbara;KWW stawiamy na Młodość i Doświadczenie;371;52.11;4718.81;93
020808;gm. Lądek-Zdrój;Burmistrz Lądka-Zdroju;KACZMARCZYK Roman;KWW;50.289286,16.744505 50.409175,16.939320;50.3492305,16.8419125;R2;1;53;wyższe ekonomiczne;1612;51.93;-1;Tak;11727;117;8365;71;gmw;1;D;R2;020808;KACZMARCZYK Roman;KWW Romana Kaczmarczyka;1671;58.61;3995.53;86
020813;gm. Stronie Śląskie;Burmistrz Stronia Śląskiego;CHROMIEC Dariusz Janusz;KWW;50.196963,16.802995 50.324377,17.028314;50.26067,16.9156545;R1;1;50;wyższe;1765;54.97;-1;Tak;14608;146;7568;52;gmw;0;S;R1;020813;ŁOPUSIEWICZ Zbigniew;KWW Gospodarna Gmina;1365;100.00;3808.88;96
020301;m. Głogów;PrezM Głogowa;ROKASZEWICZ Rafael Ryszard;KWW;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715;R1;3;44;wyższe;16568;61.17;-1;Tak;3511;35;68179;1942;gm;1;D;R2;020301;ROKASZEWICZ Rafael Ryszard;KWW Rafaela Rokaszewicza;12429;53.38;4338.89;92
020811;gm. Nowa Ruda;Wójt Gminy Nowa Ruda;MIERZEJEWSKA Adrianna;KWW;50.496941,16.377820 50.681102,16.636725;50.5890215,16.5072725;R2;2;47;Wyższe;2369;51.65;-1;Tak;13967;140;11755;84;gw;1;M;R1;020811;MIERZEJEWSKA Adrianna;KWW Przełom 2014;2451;57.56;4487.01;69
020305;gm. Pęcław;Wójt Gminy Pęcław;JURKOWSKI Artur Andrzej;KWW;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515;R1;1;51;wyższe;568;74.05%;199;Tak;6427;64;2284;36;gw;1;S;R1;020305;JURKOWSKI Artur Andrzej;KWW Artura Jurkowskiego;598;100.00;4906.38;80
020810;gm. Międzylesie;BMiG Międzylesie;KORCZAK Tomasz;KWW;50.096583,16.554391 50.245533,16.836086;50.171058,16.6952385;R1;3;56;wyższe;1629;51.65;-1;Tak;18875;189;7241;38;gmw;1;D;R2;020810;KORCZAK Tomasz;KWW Forum Tomasza Korczaka;1433;54.76;3844.21;108
020303;gm. Jerzmanowa;Wójt Gminy Jerzmanowa;GOLBA Lesław Julian;KWW;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256;R2;1;59;wyższe magisterskie;1397;56.74;-1;Tak;6332;63;4925;78;gw;1;M;R1;020303;GOLBA Lesław Julian;KWW LESŁAWA GOLBY;1173;51.22;9220.37;87
020812;gm. Radków;BMiG Radków;BEDNARCZYK Jan Karol;KWW;50.446646,16.294716 50.579570,16.567113;50.513108,16.4309145;R1;1;68;średnie;2606;83.50%;515;Tak;13995;140;9089;65;gmw;1;M;R1;020812;BEDNARCZYK Jan Karol;KWW Odnowa dla Radkowa;2655;75.81;4637.19;79
020304;gm. Kotla;Wójt Gminy Kotla;HORBATOWSKI Łukasz;KWW;51.677254,15.912931 51.804754,16.177830;51.741004,16.0453805;R1;1;38;wyższe;1431;89.38%;170;Tak;12752;128;4415;35;gw;1;S;R1;020304;HORBATOWSKI Łukasz;KWW RAZEM DLA GMINY KOTLA;1321;100.00;4910.24;98
020306;gm. Żukowice;Wójt Gminy Żukowice;WOŁOSZYN Krzysztof Piotr;KWW;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772;R1;2;41;wyższe;1211;79.51;-1;Tak;6826;68;3467;51;gw;1;M;R1;020306;WOŁOSZYN Krzysztof Piotr;KWW Krzysztofa Wołoszyna;1339;82.86;5062.12;98
020402;gm. Jemielno;Wójt Gminy Jemielno;SIERPOWSKA Anita Agnieszka;KWW;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235;R1;1;31;wyższe;709;57.32;-1;Tak;12402;124;3051;25;gw;0;D;R2;020402;UCINEK Jan;KWW Jana Ucinka;852;74.80;4527.96;61
020401;gm. Góra;Burmistrz Góry;KRZYSZKIEWICZ Irena Teresa;KWW;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938;R1;3;57;Wyższe;4242;59.22;-1;Tak;26611;266;20177;76;gmw;1;D;R2;020401;KRZYSZKIEWICZ Irena Teresa;KWW Ireny Krzyszkiewicz;3492;64.09;4553.53;71
020403;gm. Niechlów;Wójt Gminy Niechlów;PONA Beata Barbara;KWW;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;R1;3;52;Wyższe;1249;58.72;-1;Tak;15103;151;4985;33;gw;1;D;R2;020403;PONA Beata Barbara;KWW-REGIONALNE CENTRUM NIEZALEŻNE BEATY PONY;1237;61.06;5080.80;79
020404;gm. Wąsosz;Burmistrz Wąsosza;NIEDŹWIEDŹ Paweł;KWW;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715;R2;1;45;wyższe;1982;55.53;-1;Tak;19711;197;7260;37;gmw;0;M;R1;020404;STUCZYK Zbigniew Stanisław;KWW FORUM 2014 WĄSOSZ;1799;56.39;4326.89;55
020608;gm. Podgórzyn;Wójt Gminy Podgórzyn;KALATA Mirosław;KWW;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145;R1;3;39;wyższe;2272;63.66;-1;Tak;8251;83;8294;101;gw;1;D;R2;020608;KALATA Mirosław;KWW Mirosława Kalaty;1900;64.52;4206.76;99
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;GRAF Mirosław;KWW;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;R2;1;59;wyższe;1528;64.20;-1;Tak;7544;75;6681;89;gm;1;D;R2;020604;GRAF Mirosław;KWW Gospodarni dla Miasta;1307;51.54;6185.94;115
020602;m. Kowary;Burmistrz Miasta Kowary;ZAKRZEWSKA Elżbieta;KWW;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;R2;2;55;wyższe;2085;55.17;-1;Tak;3739;37;11090;297;gm;0;D;R2;020602;WIŚNIEWSKA Bożena Maria;KWW Nasze Kowary Bożena Wiśniewska;2157;66.15;3612.81;91
020601;m. Karpacz;Burmistrz Karpacza;JĘCEK Radosław Adrian;KWW;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;R1;2;43;wyższe;1115;51.62;-1;Tak;3799;39;4711;124;gm;1;D;R2;020601;JĘCEK Radosław Adrian;KWW Aktywny Karpacz;1392;62.34;7553.17;98
022503;gm. Bogatynia;BMiG Bogatynia;BŁASIAK Wojciech Marcin;KWW;50.862082,14.817458 51.033658,15.021714;50.94787,14.919586;R2;1;51;wyższe;5721;52.98;-1;Tak;13612;136;23462;172;gmw;0;M;R1;022503;GRZMIELEWICZ Andrzej;KW-PiS;7265;66.45;6635.71;149
020603;m. Piechowice;Burmistrz Miasta Piechowice;KUBIELSKI Jacek;KWW;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;R2;1;55;wyższe;1395;63.84;-1;Tak;4322;43;6314;146;gm;0;D;R2;020603;RUDOLF Witold;KW-PSL;1419;61.11;3996.32;106
022501;m. Zawidów;Burmistrz Miasta Zawidowa;ŁĘŻNY Robert;KWW;51.011642,15.019880 51.037367,15.070664;51.0245045,15.045272;R1;2;51;wyższe;877;51.47;-1;Tak;607;6;4232;697;gm;1;M;R1;022501;ŁĘŻNY Robert;KWW Roberta Łężnego;1198;76.26;3475.93;139
022502;m. Zgorzelec;Burmistrz Miasta Zgorzelec;GRONICZ Rafał Wojciech;KWW;51.119706,14.990525 51.183843,15.043719;51.1517745,15.017122;R1;1;45;wyższe;7552;58.67;-1;Tak;1588;16;30738;1936;gm;1;D;R2;022502;GRONICZ Rafał Wojciech;KWW Rafała Gronicza;5577;66.48;3427.94;141
022505;gm. Sulików;Wójt Gminy Sulików;STARZYŃSKI Robert Marek;KWW;50.990142,14.983514 51.133328,15.168249;51.061735,15.0758815;R1;2;52;wyższe;1776;63.82;-1;Tak;9451;95;6082;64;gw;1;M;R1;022505;STARZYŃSKI Robert Marek;KWW Roberta Starzyńskiego;1783;64.16;4141.22;137
022504;gm. Pieńsk;BMiG Pieńsk;MAGDA Jan;KWW;51.187013,14.965036 51.363905,15.221041;51.275459,15.0930385;R1;1;49;wyższe;2251;63.48;-1;Tak;11053;111;9179;83;gmw;1;M;R1;022504;MAGDA Jan;KWW Nasze Wspólne Dobro;1945;55.84;4005.06;136
022506;gm. Węgliniec;Burmistrz Gminy i Miasta Węgliniec;WIECZOREK Mariusz;KWW;51.220227,14.990542 51.464033,15.339877;51.34213,15.1652095;R2;2;56;średnie;1725;57.75;-1;Tak;33834;338;8402;25;gmw;0;D;R2;022506;MIKOŁAJCZYK Stanisław;KWW Inicjatywa Samorządowo-Obywatelska 2014;1770;64.81;3873.94;132
022507;gm. Zgorzelec;Wójt Gminy Zgorzelec;MACHAJ Piotr Zygmunt;KWW;51.009214,14.948113 51.216244,15.212501;51.112729,15.080307;R1;2;57;wyższe;2034;54.63;-1;Tak;13715;137;8489;62;gw;1;D;R2;022507;MACHAJ Piotr Zygmunt;KWW Ponad Podziałami;1695;59.25;4920.81;136
022406;gm. Ziębice;Burmistrz Ziębic;SZPILAREWICZ Mariusz;KWW;50.463291,16.910828 50.700906,17.164896;50.5820985,17.037862;R1;3;43;wyższe;4417;68.58;-1;Tak;22228;222;17242;78;gmw;0;D;R2;022406;BIRA Alicja;KWW Szansa Dla Gminy Ziębice;3122;61.51;3654.79;59
022404;gm. Stoszowice;Wójt Gminy Stoszowice;GANCARZ Paweł Jarosław;KWW;50.527475,16.579423 50.667663,16.773707;50.597569,16.676565;R1;1;33;wyższe;1484;63.66;-1;Tak;11072;112;5473;49;gw;1;M;R1;022404;GANCARZ Paweł Jarosław;KWW Pawła Gancarza;1236;54.81;3508.30;63
