teryt;gmina;urzad;kto;typk;bb;cc;tura;nrk;wiek;edu;glosy;glosyp;glosyn;wynik;areaH;areaKm;popThs;popKm;type;retention;typg14;tura14;teryt14;kto14;komitet14;glosy14;glosyp14;dochody2017;wdistkm
022203;gm. Wołów;Burmistrz Gminy Wołów;CHMURA Dariusz;KWW;51.226260,16.415662 51.438362,16.799201;51.332311,16.6074315;R2;1;49;wyższe;4817;55.91;-1;Tak;33110;331;22629;68;gmw;1;M;R1;022203;CHMURA Dariusz;KWW Wołowska Koalicja Obywatelska;4622;54.78;3966.88;38
021406;gm. Oleśnica;Wójt Gminy Oleśnica;KASINA Marcin Stanisław;KWW;51.102419,17.289101 51.317298,17.614066;51.2098585,17.4515835;R1;1;43;wyższe;3365;62.74;-1;Tak;24285;242;13299;55;gw;1;S;R1;021406;KASINA Marcin Stanisław;KWW Marcin Kasina;3449;100.00;3997.66;31
022302;gm. Długołęka;Wójt Gminy Długołęka;BŁOŃSKI Wojciech Stanisław;KWW;51.100089,17.073811 51.275579,17.348577;51.187834,17.211194;R2;1;46;Wyższe;8184;59.29;-1;Tak;21284;213;30706;144;gw;0;M;R1;022302;ŁEBEK Iwona Agnieszka;KWW Iwony Agnieszki Łebek;6018;51.90;4957.80;15
021407;gm. Syców;BMiG Syców;MANIAK Dariusz Dominik;KWW;51.239512,17.534377 51.357666,17.766485;51.298589,17.650431;R2;2;30;wyższe;3810;67.42;-1;Tak;14511;145;16834;116;gmw;0;D;R2;021407;KAPICA Sławomir Piotr;KWW Razem Dla Gminy Syców;2620;51.37;3654.92;48
022301;gm. Czernica;Wójt Gminy Czernica;CHLEBOSZ Włodzimierz Stanisław;KWW;51.014887,17.148522 51.117645,17.375983;51.066266,17.2622525;R1;1;51;wyższe;3785;54.84;-1;Tak;8363;84;14743;176;gw;1;D;R2;022301;CHLEBOSZ Włodzimierz Stanisław;KWW Aktywna Gmina Czernica;2243;56.19;4775.97;17
021408;gm. Twardogóra;BMiG Twardogóra;CZULIŃSKI Paweł;KWW;51.296061,17.342512 51.457655,17.567565;51.376858,17.4550385;R1;1;27;wyższe;3313;58.87;-1;Tak;16786;168;13081;78;gmw;0;M;R1;021408;POTYRAŁA Zbigniew;KWW Zbigniew Potyrała;3240;57.95;4600.47;41
022303;gm. Jordanów Śląski;Wójt Gminy Jordanów Śląski;FILIPCZAK Paweł;KWW;50.809662,16.773601 50.911454,16.922575;50.860558,16.848088;R1;1;43;wyższe magisterskie;1029;61.69;-1;Tak;5669;57;3154;56;gw;0;D;R2;022303;KURIATA Henryk Andrzej;KWW Nasz Czas Plus;776;54.27;3738.16;31
022306;gm. Mietków;Wójt Gminy Mietków;KOZAROWICZ Adam Piotr;KWW;50.915179,16.566093 51.021506,16.748311;50.9683425,16.657202;R1;1;59;wyższe;1184;71.89%;463;Tak;8338;83;3821;46;gw;1;M;R1;022306;KOZAROWICZ Adam Piotr;KWW Adama Kozarowicza;1183;57.07;4227.92;31
022304;gm. Kąty Wrocławskie;BMiG Kąty Wrocławskie;ZBROSZCZYK Łukasz Sebastian;KWW;50.954185,16.682618 51.112544,16.963415;51.0333645,16.8230165;R2;2;38;wyższe;5021;58.76;-1;Tak;17666;177;24021;136;gmw;0;D;R2;022304;KOPEĆ Antoni;KWW Antoniego Kopcia Nasza Gmina-Wspólne Dobro;3392;54.64;5364.09;17
022305;gm. Kobierzyce;Wójt Gminy Kobierzyce;PACHOLIK Ryszard Michał;KWW;50.863868,16.838846 51.057730,17.034889;50.960799,16.9368675;R1;1;66;wyższe;6928;87.73%;969;Tak;14926;149;20437;137;gw;1;M;R1;022305;PACHOLIK Ryszard Michał;KWW Ryszarda Pacholika Moja Gmina Moja Wieś;4826;74.95;9762.95;19
022307;gm. Sobótka;BMiG Sobótka;JAROSZ Mirosław Janusz;KWW;50.837109,16.671825 50.976006,16.860485;50.9065575,16.766155;R1;2;58;wyższe;3604;63.39;-1;Tak;13626;136;12835;94;gmw;0;D;R2;022307;DOBROWOLSKI Stanisław;KWW Stanisława Dobrowolskiego;2346;58.23;4006.61;30
022308;gm. Siechnice;Burmistrz Siechnic;UŠÁK Milan;KWW;50.981099,17.028716 51.083257,17.262298;51.032178,17.145507;R1;3;46;Wyższe;4899;50.67;-1;Tak;9871;99;21037;213;gmw;0;D;R2;022308;UŠáK Milan;KWW Porozumienie Gmina Siechnice 2030 Plus;3202;57.24;5045.49;12
022309;gm. Żórawina;Wójt Gminy Żórawina;ŻUKOWSKI Jan;KWW;50.899999,16.936004 51.034821,17.162897;50.96741,17.0494505;R1;4;72;Średnie;2511;53.12;-1;Tak;12027;120;10583;88;gw;1;D;R2;022309;ŻUKOWSKI Jan;KWW Przyjazna Gmina Żórawina;2036;56.60;4193.06;17
021504;gm. Oława;Wójt Gminy Oława;KOWNACKI Jan Franciszek;Komitet wyborczy organizacji i stowarzyszeń;50.817489,17.167614 51.030400,17.464007;50.9239445,17.3158105;R1;1;61;średnie;3254;50.45;-1;Tak;23465;235;15138;65;gw;1;M;R1;021504;KOWNACKI Jan Franciszek;Komitet Wyborczy Miejsko-Gminne Zrzeszenie Ludowych Zespołów Sportowych w Oławie;2767;51.24;4727.27;29
022407;gm. Złoty Stok;Burmistrz Złotego Stoku;ORCZYK Grażyna;KWW;50.397464,16.755252 50.488812,16.947799;50.443138,16.8515255;R1;2;48;wyższe;1316;65.90;-1;Tak;7527;75;4568;61;gmw;1;M;R1;022407;ORCZYK Grażyna;KWW Grażyny Orczyk;1531;70.59;3832.95;76
021502;gm. Domaniów;Wójt Gminy Domaniów;GŁOGULSKI Wojciech Tomasz;KWW;50.840471,17.068245 50.986807,17.232166;50.913639,17.1502055;R1;1;45;wyższe;1755;75.45;-1;Tak;9446;94;5215;55;gw;1;D;R2;021502;GŁOGULSKI Wojciech Tomasz;KWW Obywatelska Gmina Domaniów;1247;54.50;4140.82;24
022402;gm. Ciepłowody;Wójt Gminy Ciepłowody;BIAŁKOWSKI Łukasz Tomasz;KWW;50.627409,16.821629 50.715881,17.009932;50.671645,16.9157805;R1;2;36;wyższe;1033;70.70;-1;Tak;7741;77;3059;40;gw;1;M;R1;022402;BIAŁKOWSKI Łukasz Tomasz;KWW Łukasz Białkowski;963;64.41;3729.20;50
021501;m. Oława;Burmistrz Miasta Oława;FRISCHMANN Tomasz;KWW;50.919127,17.245969 50.995776,17.342461;50.9574515,17.294215;R1;1;45;wyższe;7713;58.19;-1;Tak;2736;27;32883;1202;gm;1;D;R2;021501;FRISCHMANN Tomasz;KWW Bezpartyjny Blok Samorządowy w Oławie;4738;53.55;3820.71;25
