tryb;runda;teryt;kto;komitet;glosy;prc;glosyN;wynik
M;R1;140105;STYKOWSKI Krzysztof Robert;Komitet Wyborczy Wyborców Razem dla Gminy Stromiec;1043;43.30;;DR
M;R1;140105;MATYSIAK Marek Stanisław;Komitet Wyborczy Wyborców "Nasza Mała Ojczyzna";651;27.02;;DR
M;R1;140105;KUCHARSKI Karol Piotr;Komitet Wyborczy Prawo i Sprawiedliwość;453;18.80;;Nie
M;R1;140105;KRÓL Hanna;Komitet Wyborczy Polskie Stronnictwo Ludowe;158;6.56;;Nie
M;R1;140105;WOŹNIAK Grzegorz;Komitet Wyborczy Wyborców Wspólna Polska;104;4.32;;Nie
M;R1;140106;BIELEWSKI Marek;Komitet Wyborczy Wyborców Wspólnota Gminy Wyśmierzyce;809;50.37;;Tak
M;R1;140106;PASTUSZKA Artur Adam;Komitet Wyborczy Wyborców Wspólna Polska;363;22.60;;DR
M;R1;140106;SOKOŁOWSKI Marek Andrzej;Komitet Wyborczy Wyborców Forum Samorządowe Pilica;276;17.19;;Nie
M;R1;140106;NAPIÓRKOWSKI Jarosław;Komitet Wyborczy Wyborców 100% Rozwoju Dla Całej Gminy Wyśmierzyce;158;9.84;;Nie
M;R1;140201;KOSIŃSKI Krzysztof;Komitet Wyborczy Polskie Stronnictwo Ludowe;5480;31.90;;DR
M;R1;140201;WARDZIŃSKI Waldemar;Komitet Wyborczy Wyborców Waldemara Wardzińskiego;5145;29.95;;DR
M;R1;140201;PAWŁOWSKI Andrzej;Komitet Wyborczy Prawo i Sprawiedliwość;4441;25.85;;Nie
M;R1;140201;STRYCZYŃSKI Marcin Piotr;Koalicyjny Komitet Wyborczy SLD Lewica Razem;2114;12.31;;Nie
M;R1;140202;KIWIT Marek;Komitet Wyborczy Wyborców  Gmina Wspólnym Domem;1455;51.61;;Tak
M;R1;140202;KALMAN Klemens Henryk;Komitet Wyborczy Polskie Stronnictwo Ludowe;488;17.31;;DR
M;R1;140202;GŁUŚNIEWSKI Janusz;Komitet Wyborczy Prawo i Sprawiedliwość;460;16.32;;Nie
M;R1;140202;FRĄCZKOWSKI Artur;Komitet Wyborczy Wyborców Nowa Wspólna Gmina;416;14.76;;Nie
M;R1;140203;GODLEWSKI Waldemar Jerzy;Komitet Wyborczy Polskie Stronnictwo Ludowe;2003;58.01;;Tak
M;R1;140203;BABICZ Zenona Ewa;Komitet Wyborczy Wyborców Razem z Ludźmi;1085;31.42;;DR
M;R1;140203;GOSZCZYŃSKI Grzegorz;Komitet Wyborczy Wyborców Porozumienie 2014;365;10.57;;Nie
M;R1;140204;CHRZANOWSKI Andrzej;Komitet Wyborczy Polskie Stronnictwo Ludowe;1104;56.97;;Tak
M;R1;140204;KOWALSKI Krzysztof;Komitet Wyborczy Prawo i Sprawiedliwość;374;19.30;;DR
M;R1;140204;KACPRZAK Monika;Komitet Wyborczy Wyborców Moniki Kacprzak;267;13.78;;Nie
M;R1;140204;NIESIOBĘDZKI Roman Tadeusz;Komitet Wyborczy Wyborców Gołymińska Wspólnota Samorządowa;193;9.96;;Nie
S;R1;140205;OGLĘCKI Jacek Bogdan;Komitet Wyborczy Wyborców "Jedność" Grudusk;1031;100.00;;Tak
M;R1;140206;MIERZEJEWSKI Zdzisław;Komitet Wyborczy Wyborców Zdzisława Mierzejewskiego;1087;44.37;;DR
M;R1;140206;BILIŃSKI Jacek;Komitet Wyborczy Polskie Stronnictwo Ludowe;874;35.67;;DR
M;R1;140206;MAŁECKI Janusz Sławomir;Komitet Wyborczy Wyborców Małecki Janusz;489;19.96;;Nie
M;R1;140207;WIETESKA Stanisław Sławomir;Komitet Wyborczy Polskie Stronnictwo Ludowe;1301;48.78;;DR
M;R1;140207;MILEWSKI Marek;Komitet Wyborczy Prawo i Sprawiedliwość;761;28.53;;DR
M;R1;140207;KORAL Anna Katarzyna;Komitet Wyborczy Wyborców Koralik;605;22.68;;Nie
M;R1;140208;ZDUŃCZYK Lech Marek;Komitet Wyborczy Wyborców "Uczciwość i praca dla Regimina";1539;59.22;;Tak
M;R1;140208;MYSIAKOWSKI Józef Michał;Komitet Wyborczy Wyborców Józefa Mysiakowskiego "Czas Na Zmiany!";630;24.24;;DR
M;R1;140208;DOBRZENIECKI Leszek;Komitet Wyborczy Polskie Stronnictwo Ludowe;430;16.54;;Nie
M;R1;140209;ŚLUBOWSKA Marzena Józefa;Komitet Wyborczy Wyborców Marzeny Józefy Ślubowskiej;1732;47.13;;DR
M;R1;140209;LEWANDOWSKI Łukasz;Komitet Wyborczy Polskie Stronnictwo Ludowe;883;24.03;;DR
M;R1;140209;GEBERT Waldemar Stanisław;Komitet Wyborczy Prawo i Sprawiedliwość;622;16.93;;Nie
M;R1;140209;NIESŁUCHOWSKI Krzysztof;Komitet Wyborczy Wyborców Krzysztofa Niesłuchowskiego;239;6.50;;Nie
M;R1;140209;SZMALEC Wiesław;Komitet Wyborczy Wyborców Wiesława Szmalca;199;5.41;;Nie
M;R1;140301;MIKULSKI Tadeusz;Komitet Wyborczy Wyborców Tadeusz Mikulski;4516;63.86;;Tak
M;R1;140301;JANIEC Marek;Komitet Wyborczy Stowarzyszenie Dla Garwolina;2556;36.14;;DR
M;R1;140302;SOPEL-SEREJA Lidia;Komitet Wyborczy Stowarzyszenie "Serbianki" Łaskarzew;1493;61.39;;Tak
M;R1;140302;LASKOWSKA Anna;Komitet Wyborczy Prawo i Sprawiedliwość;939;38.61;;DR
S;R1;140303;GĄSKA Wiesław;Komitet Wyborczy Wyborców Wiesława Gąski;1805;100.00;;Tak
M;R1;140304;KOŁODZIEJCZYK Marcin;Komitet Wyborczy Prawo i Sprawiedliwość;3340;66.47;;Tak
M;R1;140304;GORA Stefan Marian;Komitet Wyborczy Wyborców Stefana Gory;1685;33.53;;DR
S;R1;140305;SABAK Waldemar;Komitet Wyborczy Wyborców "Nasza Gmina Górzno";1906;100.00;;Tak
M;R1;140306;JANISIEWICZ Marian Stanisław;Komitet Wyborczy Wyborców Nasza Gmina Łaskarzew;1262;47.60;;DR
M;R1;140306;OROWIECKA Teresa;Komitet Wyborczy Polskie Stronnictwo Ludowe;775;29.23;;DR
M;R1;140306;KUSAK Marek;Komitet Wyborczy Wyborców Razem Dla Gminy Łaskarzew;614;23.16;;Nie
M;R1;140307;DYMIŃSKI Sylwester Marek;Komitet Wyborczy Wyborców Gmina Maciejowice-Wspólna Sprawa;1578;43.45;;DR
M;R1;140307;ŁOSKOT Jacek;Komitet Wyborczy Wyborców Alternatywa;817;22.49;;DR
M;R1;140307;RĄCZKA Renata Wiesława;Komitet Wyborczy Polskie Stronnictwo Ludowe;546;15.03;;Nie
M;R1;140307;KUREK Andrzej;Komitet Wyborczy Wyborców Andrzeja Kurka;518;14.26;;Nie
M;R1;140307;DYMIŃSKI Andrzej;Komitet Wyborczy Wyborców Polityka z Kulturą;173;4.76;;Nie
M;R1;140308;JAROŃ Jerzy;Komitet Wyborczy Wyborców Razem dla Gminy;1443;63.93;;Tak
M;R1;140308;KOWALSKI Paweł;Komitet Wyborczy Wyborców Marcina Zająca;814;36.07;;DR
M;R1;140309;KWIATKOWSKA Bożena;Komitet Wyborczy Wyborców Bożeny Kwiatkowskiej;1470;66.13;;Tak
M;R1;140309;SIONEK Kazimierz Feliks;Komitet Wyborczy Prawo i Sprawiedliwość;753;33.87;;DR
M;R1;140310;ŁUBIAN Albina Marianna;Komitet Wyborczy Wyborców Albiny Łubian;2769;58.81;;Tak
M;R1;140310;PIĘTKA Czesław;Komitet Wyborczy Wyborców Czesława Piętki;1633;34.69;;DR
M;R1;140310;SOBOLEWSKI Mirosław Czesław;Komitet Wyborczy Wyborców Mirosława Sobolewskiego;306;6.50;;Nie
M;R1;140311;GARNEK-OWCZARCZYK Monika;Komitet Wyborczy Wyborców "Lepsze Jutro";1640;46.59;;DR
M;R1;140311;KOSZUTSKI Andrzej Jacek;Komitet Wyborczy Wyborców Wspólna Gmina Sobolew;1353;38.44;;DR
M;R1;140311;SZCZĘCH Piotr Henryk;Komitet Wyborczy Wyborców z Pasją dla Jakości;527;14.97;;Nie
M;R1;140312;KOSTYRA Stanisław;Komitet Wyborczy Wyborców Spokojna Wieś;1789;49.18;;DR
M;R1;140312;TOMASZEK Krzysztof Piotr;Komitet Wyborczy Wyborców Krzysztofa Tomaszka;1152;31.67;;DR
M;R1;140312;CYRTA Jacek Stanisław;Komitet Wyborczy Wyborców Trojanów Przyjazna Gmina;304;8.36;;Nie
M;R1;140312;DYBCIO Janusz;Komitet Wyborczy Wyborców "Młodzi w Samorządzie";268;7.37;;Nie
M;R1;140312;KIELISZEK Marcin Wojciech;Komitet Wyborczy Wyborców "Inwestycje i Rozwój Gminy Trojanów";125;3.44;;Nie
M;R1;140313;SZYCHOWSKI Łukasz Mieczysław;Komitet Wyborczy Wyborców "Dla Rozwoju Gminy Wilga";1194;48.99;;DR
M;R1;140313;WOŹNIAK Szymon Adam;Komitet Wyborczy Polskie Stronnictwo Ludowe;1078;44.23;;DR
M;R1;140313;KUCHARSKI Adam;Komitet Wyborczy Wyborców Nasza Gmina;165;6.77;;Nie
M;R1;140314;MISZKURKA Mirosława Jadwiga;Komitet Wyborczy Wyborców Mirosławy Miszkurka;1373;33.93;;DR
M;R1;140314;OŚKA Krzysztof;Komitet Wyborczy Prawo i Sprawiedliwość;927;22.91;;DR
M;R1;140314;ANTOLAK Małgorzata Anna;Komitet Wyborczy Polskie Stronnictwo Ludowe;897;22.17;;Nie
M;R1;140314;ROSŁANIEC Marcin;Komitet Wyborczy Wyborców Wspólnota Młodych;662;16.36;;Nie
M;R1;140314;FRYDEL Danuta;Komitet Wyborczy Wyborców Danuty Frydel;187;4.62;;Nie
M;R1;140401;KORAJCZYK-SZYPERSKA Agnieszka;Komitet Wyborczy Wyborców Inicjatywa dla Gostynina;3321;40.33;;DR
M;R1;140401;KALINOWSKI Paweł Witold;Komitet Wyborczy Prawo i Sprawiedliwość;3180;38.62;;DR
M;R1;140401;KACZOR Jadwiga Teresa;Komitet Wyborczy Wyborców Śniecikowski Włodzimierz;1275;15.48;;Nie
M;R1;140401;ZAREMBA Arkadiusz Piotr;Komitet Wyborczy Polskie Stronnictwo Ludowe;458;5.56;;Nie
M;R1;140402;ZIELIŃSKI Edmund;Komitet Wyborczy Wyborców "Edmund Zieliński";2439;46.56;;DR
M;R1;140402;BINIEWICZ Wojciech Paweł;Komitet Wyborczy Polskie Stronnictwo Ludowe;1824;34.82;;DR
M;R1;140402;BALCERZAK Marek;Komitet Wyborczy Wyborców Porozumienie Samorządowe Gminy Gostynin;975;18.61;;Nie
M;R1;140403;WOŹNIAK Krzysztof;Komitet Wyborczy Wyborców Wspólna Gmina - Wspólna Sprawa;1040;52.98;;Tak
M;R1;140403;DURKA Magdalena;Komitet Wyborczy Wyborców Rozwój Naszej Gminy;923;47.02;;DR
S;R1;140404;WIECZOREK Gabriel Paweł;Komitet Wyborczy Polskie Stronnictwo Ludowe;2113;100.00;;Tak
M;R1;140405;SOCHACKI Jerzy Kazimierz;Komitet Wyborczy Polskie Stronnictwo Ludowe;1488;57.88;;Tak
M;R1;140405;PAWLAK Teresa;Komitet Wyborczy Prawo i Sprawiedliwość;854;33.22;;DR
M;R1;140405;CIESIELSKI Paweł Tadeusz;Komitet Wyborczy Wyborców Pawła Ciesielskiego;229;8.91;;Nie
M;R1;140501;WYSOCKI Jerzy Józef;Komitet Wyborczy Stowarzyszenia Porozumienie Samorządowe "Milanówek - Dziś i Jutro";2781;39.20;;DR
M;R1;140501;KWIATKOWSKA Wiesława Celina;Komitet Wyborczy Wyborców Wiesławy Kwiatkowskiej - Decydujmy RAZEM;1810;25.51;;DR
M;R1;140501;KOMŻA Jarosław Piotr;Komitet Wyborczy Wyborców Milanówek - Obywatelski i Gospodarny;1003;14.14;;Nie
M;R1;140501;KLIMOWICZ Maciej Jakub;Komitet Wyborczy Wyborców "Razem dla Milanówka";833;11.74;;Nie
M;R1;140501;PODGóRSKA-PACIOREK Małgorzata;Komitet Wyborczy Wyborców Czas na Zmiany;667;9.40;;Nie
M;R1;140502;TUSIŃSKI Artur Michał;Komitet Wyborczy Wyborców Mieszkańcy dla Podkowy;1174;60.73;;Tak
M;R1;140502;STĘPIEŃ-PRZYGODA Małgorzata Maria;Komitet Wyborczy Wyborców Miasta Ogrodu;759;39.27;;DR
S;R1;140503;KOLEK Andrzej;Komitet Wyborczy Wyborców "Razem dla Gminy Baranów";990;100.00;;Tak
M;R1;140504;BENEDYKCIŃSKI Grzegorz Józef;Komitet Wyborczy Wyborców Ziemia Grodziska;11542;75.96;;Tak
M;R1;140504;ŻYŁA Edyta Julia;Komitet Wyborczy Prawo i Sprawiedliwość;2131;14.02;;DR
M;R1;140504;TUSZYŃSKI Henryk Eugeniusz;Komitet Wyborczy Stowarzyszenie Samorządowe "Grodziszczanie";1087;7.15;;Nie
M;R1;140504;SZYMAŃCZYK Lech;Komitet Wyborczy Wyborców Ruchu Ludzi Pracy;435;2.86;;Nie
M;R1;140505;ŚLIWERSKI Maciej;Komitet Wyborczy Wyborców Wydmy Międzyborowskie;3221;70.74;;Tak
M;R1;140505;POŁUTRENKO Grzegorz;Komitet Wyborczy Wyborców - Nowa Perspektywa Gminy Jaktorów;1332;29.26;;DR
M;R1;140506;WAWRUCH Halina;Komitet Wyborczy Wyborców Nasza Gmina Wspólna Sprawa;1325;42.14;;DR
M;R1;140506;NIEDŹWIECKA Elena;Komitet Wyborczy Wyborców Żabia Wola - Nasza Wola;1228;39.06;;DR
M;R1;140506;KAJAK Zbigniew Stanisław;Komitet Wyborczy Prawo i Sprawiedliwość;591;18.80;;Nie
M;R1;140601;PIĄTKOWSKI Władysław Wojciech;Komitet Wyborczy Wyborców Gmina Sprawna i Przyjazna Belsk Duży;1831;65.44;;Tak
M;R1;140601;MACIAK Adolf Franciszek;Komitet Wyborczy Wyborców Gmina Równych Szans;967;34.56;;DR
M;R1;140602;MIKOŁAJEWSKI Marek Sławomir;Komitet Wyborczy Wyborców Prawa Gmina;1634;48.85;;DR
M;R1;140602;KAZIMIERCZAK Andrzej Wiesław;Komitet Wyborczy Wyborców Nasza Gmina Błędów;864;25.83;;DR
M;R1;140602;WOJTCZAK Wojciech Jan;Komitet Wyborczy Wyborców Gmina Nowa dla Błędowa;847;25.32;;Nie
M;R1;140603;ZAKRZEWSKI Tadeusz;Komitet Wyborczy Wyborców Gmina Sprawna i Przyjazna Chynów;2586;64.25;;Tak
M;R1;140603;WOŹNIAK Małgorzata Anna;Komitet Wyborczy Wyborców Odmładzamy Gminę;1439;35.75;;DR
M;R1;140604;SŁABUSZEWSKI Sławomir Roman;Komitet Wyborczy Wyborców Nasza Gmina Goszczyn;607;38.39;;DR
M;R1;140604;ZGUTCZYŃSKA Agata Magdalena;Komitet Wyborczy Wyborców Lepsza Przyszłość Gminy Goszczyn;342;21.63;;DR
M;R1;140604;KOPCZYŃSKI Waldemar;Komitet Wyborczy Wyborców Gmina Nowoczesna i Sprawiedliwa;323;20.43;;Nie
M;R1;140604;PRUŚ Michał Jan;Komitet Wyborczy Prawo i Sprawiedliwość;242;15.31;;Nie
M;R1;140604;BEDNARSKI Henryk Roman;Komitet Wyborczy Oburzeni;67;4.24;;Nie
M;R1;140605;STOLARSKI Jacek Bronisław;Komitet Wyborczy Wyborców Rozwój i Gospodarność;5747;60.59;;Tak
M;R1;140605;BANASIEWICZ Artur;Komitet Wyborczy Wyborców Aktywni dla Gminy;2604;27.45;;DR
M;R1;140605;BEDNARSKA Teresa Krystyna;Komitet Wyborczy Prawo i Sprawiedliwość;815;8.59;;Nie
M;R1;140605;RACZYŃSKI Zdzisław;Komitet Wyborczy Wyborców Prawy Grójec;319;3.36;;Nie
M;R1;140606;PIETRZAK Marek;Komitet Wyborczy Wyborców Nasza Gmina-Nasz Dom;1190;52.03;;Tak
M;R1;140606;KUMOREK Władysław Leszek;Komitet Wyborczy Wyborców Przymierze Rozwoju Gminy Jasieniec;1097;47.97;;DR
M;R1;140607;CHMIELEWSKI Sławomir;Komitet Wyborczy Wyborców Razem dla Przyszłości;1937;47.29;;DR
M;R1;140607;ŚCISŁOWSKI Marek Konstanty;Komitet Wyborczy Prawo i Sprawiedliwość;954;23.29;;DR
M;R1;140607;WANGRYN Mariusz Szczepan;Komitet Wyborczy Wyborców Samorząd dla Mieszkańców;680;16.60;;Nie
M;R1;140607;STĘPNIAK Adam;Komitet Wyborczy Wyborców Przyjazna Gmina;525;12.82;;Nie
M;R1;140608;DZIUBA Mariusz Jakub;Komitet Wyborczy Prawo i Sprawiedliwość;2274;53.22;;Tak
M;R1;140608;GĄSIOROWSKA Barbara Elżbieta;Komitet Wyborczy Polskie Stronnictwo Ludowe;1999;46.78;;DR
M;R1;140609;NASIŁOWSKI Wiesław Franciszek;Komitet Wyborczy Polskie Stronnictwo Ludowe;1330;51.39;;Tak
M;R1;140609;SZYMCZAK Ireneusz;Komitet Wyborczy Wyborców Nasza Ziemia - Gmina Pniewy;982;37.94;;DR
M;R1;140609;WILSKI Marek Piotr;Komitet Wyborczy Wyborców - Dobro Gminy Pniewy Naszym Celem;276;10.66;;Nie
M;R1;140611;GIZKA Dariusz Witold;Komitet Wyborczy Wyborców "Wspólnie dla Miasta i Gminy Warka";3561;43.53;;DR
M;R1;140611;KRECZMAŃSKI Radosław;Komitet Wyborczy Wyborców Mądre Decyzje - Skuteczny Samorząd;2096;25.62;;DR
M;R1;140611;PAŁCZYŃSKI Zygmunt;Komitet Wyborczy Wyborców Warka-Gmina Sprawna i Przyjazna;1735;21.21;;Nie
M;R1;140611;BĄCZEK Piotr Ryszard;Komitet Wyborczy Prawo i Sprawiedliwość;578;7.07;;Nie
M;R1;140611;SOBIERAJ Łukasz;Komitet Wyborczy Wyborców Młodzi dla Warki;210;2.57;;Nie
M;R1;140701;KOWALCZYK Robert Tomasz;Komitet Wyborczy Samorządowe Stowarzyszenie "Nasz Region Kozienicki";1723;68.02;;Tak
M;R1;140701;STALMACH Krzysztof;Komitet Wyborczy "Praworządny Powiat Miasto i Gmina";430;16.98;;DR
M;R1;140701;MOLENDA Tadeusz;Komitet Wyborczy Prawo i Sprawiedliwość;380;15.00;;Nie
M;R1;140702;BOJARSKI Stanisław;Komitet Wyborczy Wyborców Nasza Gmina Rozwojowa;1757;42.33;;DR
M;R1;140702;MAŁAŚNICKI Józef Grzegorz;Komitet Wyborczy "Praworządny Powiat Miasto i Gmina";1417;34.14;;DR
M;R1;140702;POSTEK Krzysztof;Komitet Wyborczy Wyborców Żyjemy nad Radomką;977;23.54;;Nie
M;R1;140703;BANAŚ Stefan Marek;Komitet Wyborczy Wyborców Stefana Marka Banasia Wsi Oleksów;773;35.85;;DR
M;R1;140703;PAWLONKA Wiesław Andrzej;Komitet Wyborczy Wyborców Wiesława Andrzeja Pawlonki;738;34.23;;DR
M;R1;140703;MYTYCH Paweł;Komitet Wyborczy Wyborców Pawła Mytycha - Szansa dla Gminy;360;16.70;;Nie
M;R1;140703;FRĄDCZYK Marian Tadeusz;Komitet Wyborczy Polska Patriotyczna;175;8.12;;Nie
M;R1;140703;WOŹNIAK Dariusz;Komitet Wyborczy Nowa Prawica — Janusza Korwin-Mikke;110;5.10;;Nie
S;R1;140704;STRZELCZYK Euzebiusz;Komitet Wyborczy Polskie Stronnictwo Ludowe;1427;100.00;;Tak
M;R1;140705;ŚMIETANKA Tomasz Józef;Komitet Wyborczy Samorządowe Forum Ziemi Kozienickiej;7809;61.30;;Tak
M;R1;140705;KORDAS Edmund Ryszard;Komitet Wyborczy Samorządowe Stowarzyszenie "Nasz Region Kozienicki";2864;22.48;;DR
M;R1;140705;PIWOŃSKI Dariusz Tomasz;Komitet Wyborczy Prawo i Sprawiedliwość;2065;16.21;;Nie
M;R1;140706;DRAPAŁA Marek;Komitet Wyborczy Wyborców Wspólnota Samorządowa Gminy Magnuszew;1456;38.25;;DR
M;R1;140706;PLAK Henryk;Komitet Wyborczy Wyborców Gminy Magnuszew;1451;38.11;;DR
M;R1;140706;ZIELIŃSKI Piotr;Komitet Wyborczy Polskie Stronnictwo Ludowe;900;23.64;;Nie
M;R1;140707;CZERSKI Marian Zbigniew;Komitet Wyborczy Samorządowe Stowarzyszenie "Nasz Region Kozienicki";595;32.46;;DR
M;R1;140707;BOGUCKI Jacek Krzysztof;Komitet Wyborczy Wyborców Jacka Boguckiego;512;27.93;;DR
M;R1;140707;GUBA Arkadiusz Paweł;Komitet Wyborczy Wyborców Wspólna Sprawa Gminy Sieciechów;408;22.26;;Nie
M;R1;140707;SUJKOWSKA Teresa;Komitet Wyborczy Prawo i Sprawiedliwość;318;17.35;;Nie
M;R1;140801;SMOGORZEWSKI Roman;Komitet Wyborczy Wyborców Prezydenta Romana Smogorzewskiego;13043;73.08;;Tak
M;R1;140801;MICHALSKI Konrad;Komitet Wyborczy Prawo i Sprawiedliwość;4805;26.92;;DR
M;R1;140802;MUNIAK Olga;Komitet Wyborczy Wyborców Olgi Muniak;2272;33.23;;DR
M;R1;140802;CHODORSKI Jarosław Mirosław;Komitet Wyborczy Wyborców Chodorskiego Jarosława;1544;22.58;;DR
M;R1;140802;GARBACZEWSKI Zbigniew;Komitet Wyborczy Wyborców Zbigniewa Garbaczewskiego;1468;21.47;;Nie
M;R1;140802;KUREK-MOSAKOWSKI Waldemar;Komitet Wyborczy Wyborców JEDNA JABŁONNA;881;12.89;;Nie
M;R1;140802;CZAUDERNA Radomir Jerzy;Komitet Wyborczy Prawo i Sprawiedliwość;672;9.83;;Nie
M;R1;140803;MAZUR Sławomir Maciej;Komitet Wyborczy Wyborców "Macieja Mazura";3815;61.68;;Tak
M;R1;140803;KOPAŃSKA-ARASZKIEWICZ Irena Bogumiła;Komitet Wyborczy Wyborców Nieporęt INFO;1406;22.73;;DR
M;R1;140803;URBANIAK Stanisław;Komitet Wyborczy Wyborców Nasz Nieporęt;964;15.59;;Nie
M;R1;140804;SOKOLNICKI Sylwester Edwin;Komitet Wyborczy Wyborców Sylwestra Sokolnickiego;3657;59.75;;Tak
M;R1;140804;WOŹNICKA Grażyna Irena;Komitet Wyborczy Wyborców Grażyny Woźnickiej Porozumienie i Dialog;1816;29.67;;DR
M;R1;140804;MATUSZEWSKA Justyna Ewa;Komitet Wyborczy Wyborców Serock Łączy;648;10.59;;Nie
M;R1;140805;KOWNACKI Paweł Andrzej;Komitet Wyborczy Wyborców Pawła Kownackiego;3334;59.73;;Tak
M;R1;140805;KOWNACKI Waldemar;Komitet Wyborczy Wyborców Wspólnota Lokalna;1072;19.20;;DR
M;R1;140805;ZEZOŃ Edwin Eugeniusz;Komitet Wyborczy ETYKA I PRAWO;950;17.02;;Nie
M;R1;140805;KWIATKOWSKA Agata Dorota;Komitet Wyborczy Prawo i Sprawiedliwość;226;4.05;;Nie
S;R1;140901;WITCZAK Janusz;Komitet Wyborczy Polskie Stronnictwo Ludowe;950;100.00;;Tak
M;R1;140902;SZEWCZYK Artur Grzegorz;Komitet Wyborczy Wyborców Nasza Gmina Nasz Powiat;1442;54.13;;Tak
M;R1;140902;KORCZAK Dorota;Komitet Wyborczy Wyborców Aktywny Samorząd;1222;45.87;;DR
M;R1;140903;WIELORAŃSKI Jacek Lucjan;Komitet Wyborczy Wyborców Niezależni Razem;1755;33.80;;DR
M;R1;140903;PASEK Jerzy;Komitet Wyborczy Wyborców Aktywny Samorząd;1513;29.14;;DR
M;R1;140903;SZYMCZYK Mariola Izabela;Komitet Wyborczy Wyborców Samorząd Obywatelski;1013;19.51;;Nie
M;R1;140903;ŚMIECIUCH Sławomir Robert;Komitet Wyborczy Prawo i Sprawiedliwość;912;17.56;;Nie
M;R1;140904;BUREK Karol;Komitet Wyborczy Polskie Stronnictwo Ludowe;1122;51.68;;Tak
M;R1;140904;BOREK Roman Edward;Komitet Wyborczy Wyborców Nasza Gmina Nasz Powiat;1049;48.32;;DR
M;R1;140905;PORA Stanisław;Komitet Wyborczy Polskie Stronnictwo Ludowe;1073;37.05;;DR
M;R1;140905;STRĄK Mariusz;Komitet Wyborczy Wyborców Przyjazna i Nowoczesna Gmina;916;31.63;;DR
M;R1;140905;TUZINEK Zbigniew Wojciech;Komitet Wyborczy Wyborców Dla Gminy Sienno;907;31.32;;Nie
M;R1;140906;SZYMCZYK Marek Tomasz;Komitet Wyborczy Wyborców Nasza Gmina Nasz Powiat;1308;49.58;;DR
M;R1;140906;CZAJKOWSKI Andrzej;Komitet Wyborczy Polskie Stronnictwo Ludowe;976;37.00;;DR
M;R1;140906;PISAREK Elżbieta;Komitet Wyborczy Wyborców Elżbiety Pisarek;354;13.42;;Nie
M;R1;141001;STEFANIUK Stanisław;Komitet Wyborczy Prawo i Sprawiedliwość;704;55.96;;Tak
M;R1;141001;ANDRZEJCZUK Piotr Józef;Komitet Wyborczy Wyborców Nasza Gmina Huszlew;305;24.24;;DR
M;R1;141001;HORNOWSKI Rafał Kazimierz;Komitet Wyborczy Polskie Stronnictwo Ludowe;249;19.79;;Nie
M;R1;141002;KUCEWICZ Mariusz;Komitet Wyborczy Wyborców Mariusza Kucewicza;2196;46.15;;DR
M;R1;141002;KOBYLIŃSKI Janusz Stanisław;Komitet Wyborczy Wyborców Nasza Gmina Łosice;1398;29.38;;DR
M;R1;141002;OSIPIUK Sylwia Halina;Komitet Wyborczy Wyborców Łosicka Alternatywa;657;13.81;;Nie
M;R1;141002;JASZCZUK Zbigniew Jan;Komitet Wyborczy Wyborców Porozumienie Samorządowe Powiatu Łosickiego;272;5.72;;Nie
M;R1;141002;CZMOCH Paweł;Komitet Wyborczy Wyborców Inicjatywa Młodych Łosic;150;3.15;;Nie
M;R1;141002;OBZEJTA Błażej Jan;Komitet Wyborczy Polskie Stronnictwo Ludowe;85;1.79;;Nie
M;R1;141003;PAROL Jan;Komitet Wyborczy Wyborców Nasza Gmina Olszanka;868;57.29;;Tak
M;R1;141003;MIECHOWIECKI Mirosław Ryszard;Komitet Wyborczy Wyborców Gmina Olszanka;223;14.72;;DR
M;R1;141003;PAJNOWSKI Grzegorz;Komitet Wyborczy Wyborców Florian-Olszanka;215;14.19;;Nie
M;R1;141003;KALIŃSKI Andrzej Czesław;Komitet Wyborczy Polskie Stronnictwo Ludowe;209;13.80;;Nie
M;R1;141004;GARUCKI Jerzy;Komitet Wyborczy Polskie Stronnictwo Ludowe;1411;69.00;;Tak
M;R1;141004;KITA Waldemar;Komitet Wyborczy Prawo i Sprawiedliwość;634;31.00;;DR
M;R1;141005;LIPKA Andrzej;Komitet Wyborczy Wyborców Ziemia Sarnacka;869;37.38;;DR
M;R1;141005;WASZCZUK Marian Jan;Komitet Wyborczy Wyborców Porozumienie Samorządowe Powiatu Łosickiego;735;31.61;;DR
M;R1;141005;ARASYMOWICZ Grzegorz Marek;Komitet Wyborczy Wyborców Gmina Sarnaki Potrzebuje Zmian;721;31.01;;Nie
M;R1;141006;HAWRYLUK Kazimierz;Komitet Wyborczy Wyborców Strażak;1488;68.70;;Tak
M;R1;141006;FLIS Jacek;Komitet Wyborczy Wyborców Dla Dobra Gminy;453;20.91;;DR
M;R1;141006;BIAŁEK Bogdan Adam;Komitet Wyborczy Wyborców Porozumienie Samorządowe Powiatu Łosickiego;225;10.39;;Nie
M;R1;141101;CIAK Tadeusz;Komitet  Wyborczy Wyborców Nasze Miasto Maków;2032;50.83;;Tak
M;R1;141101;JANKOWSKI Janusz;Komitet Wyborczy Wyborców Ziemia Makowska;998;24.96;;DR
M;R1;141101;BARAŃSKI Rafał Paweł;Komitet Wyborczy Prawo i Sprawiedliwość;968;24.21;;Nie
M;R1;141102;KACPRZYKOWSKI Paweł;Komitet Wyborczy Wyborców Pawła Kacprzykowskiego;1077;68.77;;Tak
