tryb;runda;teryt;kto;komitet;glosy;prc;glosyN;wynik
M;R1;020302;KRZEMIEŃ Andrzej Łucjan;Komitet Wyborczy Wyborców Andrzeja Krzemienia Nasza Gmina;1247;41.33;;DR
M;R1;020302;MIŚKO Jan Zbigniew;Komitet Wyborczy Wyborców JANA MIŚKO-AKTYWNI I NIEZALEŻNI;393;13.03;;Nie
M;R1;020303;GOLBA Lesław Julian;Komitet Wyborczy Wyborców LESŁAWA GOLBY;1173;51.22;;Tak
M;R1;020303;STANO Radosław;Komitet Wyborczy Wyborców „NASZA GMINA JERZMANOWA”;373;16.29;;DR
M;R1;020303;URBANOWICZ-PRZYSIĘŻNA Elżbieta;Komitet Wyborczy Wyborców ELŻBIETY URBANOWICZ-PRZYSIĘŻNEJ;334;14.59;;Nie
M;R1;020303;KALINOWSKI Tomasz Robert;Komitet Wyborczy Wyborców Razem dla Gminy Jerzmanowa;256;11.18;;Nie
M;R1;020303;WÓJCIK Bożena Mirosława;Komitet Wyborczy Wyborców Bożeny Wójcik;154;6.72;;Nie
S;R1;020304;HORBATOWSKI Łukasz;Komitet Wyborczy Wyborców RAZEM DLA GMINY KOTLA;1321;100.00;;Tak
S;R1;020305;JURKOWSKI Artur Andrzej;Komitet Wyborczy Wyborców Artura Jurkowskiego;598;100.00;;Tak
M;R1;020306;WOŁOSZYN Krzysztof Piotr;Komitet Wyborczy Wyborców Krzysztofa Wołoszyna;1339;82.86;;Tak
M;R1;020306;KUCHARCZYK Leszek Andrzej;Komitet Wyborczy Wyborców LESZKA KUCHARCZYKA;277;17.14;;DR
M;R1;020401;KRZYSZKIEWICZ Irena Teresa;Komitet Wyborczy Wyborców Ireny Krzyszkiewicz;3426;49.79;;DR
M;R1;020401;FRĄCZKIEWICZ Teresa;Komitet Wyborczy Wyborców - REGIONALNE CENTRUM NIEZALEŻNE TERESY FRĄCZKIEWICZ;1956;28.43;;DR
M;R1;020401;JóZEFIAK Zbigniew Leon;Komitet Wyborczy Stowarzyszenia Unia Górowian;1061;15.42;;Nie
M;R1;020401;BOGUCKI Kazimierz;Komitet Wyborczy Prawo i Sprawiedliwość;438;6.37;;Nie
M;R1;020402;UCINEK Jan;Komitet Wyborczy Wyborców Jana Ucinka;524;35.99;;DR
M;R1;020402;POŁCZYK Czesław Jan;Komitet Wyborczy Wyborców Porozumienie Samorządowo-Ludowe w Górze;290;19.92;;DR
