pbw_1002_wbp1_1;021904;1;Gimnazjum nr 1, Jaworzyna Śląska ul. Jana Pawła II 16, 58-140 Jaworzyna Śląska;1665;1330;657;673;2;0;673;0;0;673;655;18
pbw_10030_wbp1_1;126101;208;Gimnazjum Nr 21, Krakówi ul. Komandosów 29, 30-334;1359;1298;710;588;0;3;590;3;0;590;584;6
pbw_10031_wbp1_1;126101;209;Gimnazjum Nr 21, Kraków ul. Komandosów 29, 30-334;1558;1491;783;708;0;0;708;0;0;708;701;7
pbw_10032_wbp1_1;126101;21;Zespół Szkół Energetycznych, Kraków-Śródmieście, Stare Miasto ul. Loretańska 16, 31-114;1033;982;546;436;0;0;436;0;0;436;427;9
pbw_10033_wbp1_1;126101;210;Szkoła Podstawowa Nr 25, Kraków ul. Komandosów 29, 30-334;1430;1371;680;691;0;0;691;0;0;691;675;16
pbw_10034_wbp1_1;126101;211;Szkoła Podstawowa Nr 25, Kraków ul. Komandosów 29, 30-334;970;928;492;436;0;0;436;0;0;436;431;5
pbw_10035_wbp1_1;126101;212;Szkoła Podstawowa Nr 25, Kraków ul. Komandosów 29, 30-334;1193;1125;523;602;1;0;602;0;0;602;602;0
pbw_10036_wbp1_1;126101;213;Gimnazjum Nr 24, Kraków ul. Montwiłła-Mireckiego 29, 30-426;1511;1430;745;685;0;0;684;0;0;684;677;7
pbw_10037_wbp1_1;126101;214;Gimnazjum Nr 24, Kraków ul. Montwiłła-Mireckiego 29, 30-426;1379;1358;730;628;1;0;628;0;1;627;621;6
pbw_10038_wbp1_1;126101;215;Specjalny Ośrodek Szkolno-Wychowawczy Nr 6, Kraków ul. Niecała 8, 30-425;538;513;256;257;0;0;256;0;0;256;253;3
pbw_10039_wbp1_1;126101;216;Specjalny Ośrodek Szkolno-Wychowawczy Nr 6, Kraków ul. Niecała 8, 30-425;1349;1293;790;503;0;0;502;0;0;502;494;8
pbw_1003_wbp1_1;021904;2;Gimnazjum nr 1, Jaworzyna Śląska ul. Jana Pawła II 16, 58-140 Jaworzyna Śląska;1043;840;422;418;1;0;418;0;0;418;413;5
pbw_10040_wbp1_1;126101;217;Centrum Sztuki Współczesnej "Solvay", Kraków ul. Zakopiańska 62, 30-418;709;679;380;297;0;0;299;0;0;299;295;4
pbw_10041_wbp1_1;126101;218;Zespół Szkół Ogólnokształcących Nr 17, Kraków ul. Fredry 65, 30-605;1308;1234;716;518;0;0;518;0;0;518;512;6
pbw_10042_wbp1_1;126101;219;Zespół Szkół Ogólnokształcących Nr 17, Kraków ul. Fredry 65, 30-605;1224;1152;496;656;0;0;656;0;0;656;652;4
pbw_10043_wbp1_1;126101;22;Specjalny Ośrodek Szkolno-Wychowawczy Nr 1, Kraków-Śródmieście, Stare Miasto ul. Szujskiego 2, 31-123;758;715;386;329;0;0;329;0;0;329;323;6
pbw_10044_wbp1_1;126101;220;Miejskie Przedsiębiorstwo Komunikacyjne, Kraków ul. Brożka 3, 30-347;1323;1262;686;576;0;0;575;0;0;575;571;4
pbw_10045_wbp1_1;126101;221;Instytut Przemysłu Skórzanego, Kraków ul. Zakopiańska 9, 30-418;1282;1216;619;597;0;0;597;0;0;597;589;8
pbw_10046_wbp1_1;126101;222;Zespół Szkół Ogólnokształcących Integracyjnych Nr 3, Kraków ul. Strąkowa 3A, 30-410;1516;1451;797;654;0;0;654;0;0;654;649;5
pbw_10047_wbp1_1;126101;223;Stowarzyszenie RAJSKA SZKOŁA Rajski Publiczny Punkt Przedszkolny, Kraków ul. Sztaudyngera 5, 30-694;676;643;290;353;0;0;353;0;0;353;350;3
pbw_10048_wbp1_1;126101;224;Klub Osiedlowy "SOBONIOWICE", Kraków ul. Kuryłowicza 115, 30-699;712;678;389;289;0;0;289;0;0;289;280;9
pbw_10049_wbp1_1;126101;225;Stowarzyszenie Rajska-Szkoła, Kraków ul. Tuchowska 113, 30-699;815;772;378;393;0;0;393;0;0;393;388;5
pbw_1004_wbp1_1;021904;3;Szkoła Podstawowa /stary budynek główny/, Jaworzyna Śląska ul Mickiewicza 41893, 58-140 Jaworzyna Śląska;1073;863;339;524;0;0;524;0;0;524;510;14
pbw_10050_wbp1_1;126101;226;Ochotnicza Straż Pożarna Zbydniowice, Kraków ul. Matematyków Krakowskich 102, 30-698;629;594;423;171;0;0;171;0;0;171;166;5
pbw_10051_wbp1_1;126101;227;Zespół Szkół Ogólnokształcących Nr 35, Kraków ul. Mirtowa 2, 30-698;1319;1271;717;554;0;0;554;0;0;554;548;6
pbw_10052_wbp1_1;126101;228;Osiedlowy Klub Kultury "WRÓBLOWICE", Kraków ul. Niewodniczańskiego 74, 30-698;1139;1088;636;452;0;0;452;0;0;452;441;11
