teryt;nr;kto;glosy;prc;totalG;urzad;mode
040809;3;KOSZYTKOWSKI Janusz;421;14.58;2887;WG Wielgie;M
040809;4;CZEKALSKI Paweł;90;3.12;2887;WG Wielgie;M
040901;1;BARCZYKOWSKI Marcin Janusz;1386;76.41;1814;WG Dąbrowa;M
040901;2;KOZIOŁKIEWICZ - FIUTA Danuta;428;23.59;1814;WG Dąbrowa;M
040902;1;CIESIELCZYK Dariusz;1267;58.74;2157;WG Jeziora Wielkie;M
040902;2;MARCINIAK Arleta Maria;545;25.27;2157;WG Jeziora Wielkie;M
040902;3;CZAPLICKI Marcin Tomasz;228;10.57;2157;WG Jeziora Wielkie;M
040902;4;WOŹNIAK Krzysztof Marek;117;5.42;2157;WG Jeziora Wielkie;M
040903;1;DUSZYŃSKI Leszek Marek;5346;50.18;10653;B Mogilna;M
040903;2;NAWROT Karol;3110;29.19;10653;B Mogilna;M
040903;3;SZARZYŃSKA Ewa;1178;11.06;10653;B Mogilna;M
040903;4;KRAŚNY Paweł Stanisław;1019;9.57;10653;B Mogilna;M
040904;1;CHUDZIŃSKI Dariusz;2948;55.15;5345;B Strzelna;M
040904;2;MATCZAK Ewaryst Zdzisław;1627;30.44;5345;B Strzelna;M
040904;3;SZYDZIK Roman Jan;770;14.41;5345;B Strzelna;M
041001;1;SZARUGA Marek;3167;54.76;5783;B Kcyni;M
041001;2;HEMMERLING Piotr Andrzej;1295;22.39;5783;B Kcyni;M
041001;3;NAPIERALSKI Krzysztof;690;11.93;5783;B Kcyni;M
041001;4;SZCZEPANIAK Tomasz Antoni;631;10.91;5783;B Kcyni;M
041002;1;KLESIŃSKI Leszek Jan;2062;58.71;3512;BMG Mrocza;M
041002;2;MRUGOWSKI Radosław Czesław;1450;41.29;3512;BMG Mrocza;M
041003;1;NAPIERAŁA Sławomir;2322;50.00;4644;BMG Nakło nad Notecią;S
041004;1;GRYNIEWICZ Dariusz;1804;59.11;3052;WG Sadki;M
041004;2;KOMINIAK Paweł;954;31.26;3052;WG Sadki;M
041004;3;PAWLUS Henryk Jan;294;9.63;3052;WG Sadki;M
041005;1;PIOTRKOWSKI Mariusz;4128;42.36;9744;B Szubina;M
041005;2;MICHALAK Artur Jan;3144;32.27;9744;B Szubina;M
041005;3;DOMŻAŁA-KACZMAREK Karolina Anna;1240;12.73;9744;B Szubina;M
041005;4;BORYS-STACHOWIAK Wioletta Katarzyna;863;8.86;9744;B Szubina;M
041005;5;SICHEL Krystyna Elżbieta;369;3.79;9744;B Szubina;M
