teryt;nr;kto;glosy;prc;totalG;urzad;mode
080102;1;PŁAWSKA Krystyna Irena;1881;66.54;2827;WG Bogdaniec;M
080102;2;CYGANIAK Marcin;946;33.46;2827;WG Bogdaniec;M
080103;1;TYMSZAN Paweł Witold;602;50.00;1204;WG Deszczno;S
080104;1;MOŁODCIAK Anna Genowefa;317;50.00;634;WG Kłodawa;S
080105;1;TERLECKI Artur Rafał;1636;58.70;2787;WG Lubiszyn;M
080105;2;SKRODZKA Joanna Agnieszka;830;29.78;2787;WG Lubiszyn;M
080105;3;SIPIATOWSKI Andrzej;321;11.52;2787;WG Lubiszyn;M
080106;1;PISAREK Paweł Piotr;1496;41.03;3646;WG Santok;M
080106;2;CIBORSKI Bogumił Grzegorz;944;25.89;3646;WG Santok;M
080106;3;LUDNIEWSKI Paweł Filip;896;24.57;3646;WG Santok;M
080106;4;WINNICKA Mirosława Weronika;310;8.50;3646;WG Santok;M
080107;1;JAWORSKI Dariusz Edward;3306;61.18;5404;BMG Witnica;M
080107;2;CHUDZIAK Agnieszka;1495;27.66;5404;BMG Witnica;M
080107;3;ŁAWNICZAK-KARBOWIAK Sylwia;603;11.16;5404;BMG Witnica;M
080201;1;BARTCZAK Bartłomiej Lesław;4551;75.10;6060;BM Gubina;M
080201;2;ROGIŃSKI Mirosław;1509;24.90;6060;BM Gubina;M
080202;1;BABUL Marek;643;42.19;1524;WG Bobrowice`;M
080202;2;WĄCHAŁA Wojciech;625;41.01;1524;WG Bobrowice`;M
080202;3;KOZYRA Mirosław;256;16.80;1524;WG Bobrowice`;M
080203;1;BARTCZAK Sebastian Mariusz;587;58.06;1011;WG Bytnica;M
080203;2;WOLANICKI Krzysztof Piotr;424;41.94;1011;WG Bytnica;M
080204;1;RECZUCH MARCIN ADAM;1413;60.46;2337;WG Dąbie;M
080204;2;ANIOŁ DANUTA ANNA;924;39.54;2337;WG Dąbie;M
080205;1;BARSKI Zbigniew Waldemar;1247;41.10;3034;WG Gubin;M
080205;2;NAGLIK Szymon Witold;810;26.70;3034;WG Gubin;M
080205;3;PRUGAR - WASIELEWSKA Dorota Marzanna;515;16.97;3034;WG Gubin;M
080205;4;PRZYGALIŃSKA Teresa;462;15.23;3034;WG Gubin;M
080206;1;CEBULA Marek Jerzy;6278;85.93;7306;B Krosna Odrzańskiego;M
080206;2;WRÓBEL Ireneusz Kazimierz;1028;14.07;7306;B Krosna Odrzańskiego;M
080207;1;JAROCIŃSKI Dariusz Wojciech;739;55.15;1340;WG Maszewo;M
080207;2;SZYMAŃSKI Waldemar Jan;601;44.85;1340;WG Maszewo;M
080301;1;MUSIAŁOWSKA Małgorzata;839;42.89;1956;WG Bledzew;M
080301;2;ANDRZEJEWSKI Wojciech;788;40.29;1956;WG Bledzew;M
080301;3;KULICKI Zbigniew Stanisław;329;16.82;1956;WG Bledzew;M
080302;1;LORENZ Remigiusz Roch;3861;38.45;10041;B Międzyrzecza;M
080302;2;SMEJLIS Zbigniew;2338;23.28;10041;B Międzyrzecza;M
080302;3;CZOP Bogusław Kazimierz;2047;20.39;10041;B Międzyrzecza;M
080302;4;BUZAREWICZ-KOWAL Irena;1218;12.13;10041;B Międzyrzecza;M
080302;5;CIELOCH Marek;577;5.75;10041;B Międzyrzecza;M
080303;1;KUCHARYK Bartłomiej Jerzy;422;50.00;844;WG Przytoczna;S
080304;1;PIOTROWSKI Józef;1122;54.26;2068;WG Pszczew;M
080304;2;GÓRCZYŃSKI Waldemar Gerard;546;26.40;2068;WG Pszczew;M
080304;3;GAJEWSKI Zbigniew Bernard;388;18.76;2068;WG Pszczew;M
080304;4;SZAJKOWSKA Jolanta Anna;12;0.58;2068;WG Pszczew;M
080305;1;HOŁOWNIA Lesław;673;50.00;1346;B Skwierzyny;S
080306;1;KACZMAREK Jarosław Józef;1401;52.18;2685;B Trzciela;M
080306;2;JĘCZ Józef;677;25.21;2685;B Trzciela;M
080306;3;KACZMAREK Robert Krzysztof;607;22.61;2685;B Trzciela;M
080401;1;TYSZKIEWICZ Wadim;11827;78.76;15016;PM Nowa Sól;M
080401;2;WIECZOREK Andrzej Leszek;2404;16.01;15016;PM Nowa Sól;M
080401;3;CHCIUK Marcin Mieczysław;473;3.15;15016;PM Nowa Sól;M
080401;4;GARWOLIŃSKI Krzysztof;312;2.08;15016;PM Nowa Sól;M
080402;1;SAUTER Jacek;252;50.00;504;B Bytomia Odrzańskiego;S
080403;1;MATYSIK Henryk Szczepan;725;46.33;1565;WG Kolsko;M
080403;2;BĄCZKOWSKI Tomasz;504;32.20;1565;WG Kolsko;M
080403;3;DULKO Paweł;282;18.02;1565;WG Kolsko;M
080403;4;DOMINIAK Rafał Błażej;36;2.30;1565;WG Kolsko;M
080403;5;KOTLARSKI Edmund;18;1.15;1565;WG Kolsko;M
080404;1;JAGASEK Paweł Piotr;4528;72.70;6228;B Kożuchowa;M
080404;2;NIEZGODZKI Jacek Mariusz;705;11.32;6228;B Kożuchowa;M
080404;3;JELINEK Marcin Daniel;697;11.19;6228;B Kożuchowa;M
080404;4;MROWIEC Paweł;298;4.78;6228;B Kożuchowa;M
080405;1;BOJKO Izabela Małgorzata;1640;55.18;2972;WG Nowa Sól;M
080405;2;OSTROWSKA Monika Jadwiga;1332;44.82;2972;WG Nowa Sól;M
080406;1;WOJTASIK Danuta;1398;57.44;2434;BGM Nowe Miasteczko;M
080406;2;SZKONDZIAK Wiesław;763;31.35;2434;BGM Nowe Miasteczko;M
080406;3;KRAUSE Bartosz Łukasz;273;11.22;2434;BGM Nowe Miasteczko;M
080407;1;WRÓBLEWSKA Barbara Zofia;2081;67.19;3097;B Otynia;M
080407;2;LITYŃSKA Renata;1016;32.81;3097;B Otynia;M
080408;1;STRAUS Dariusz;729;45.68;1596;WG Siedlisko;M
080408;2;ADAMÓW-CZAYKOWSKA Agnieszka Barbara;509;31.89;1596;WG Siedlisko;M
080408;3;DYSIEWICZ Izabela;358;22.43;1596;WG Siedlisko;M
080501;1;KOŁODZIEJCZYK Marek;2065;72.51;2848;B Cybinki;M
080501;2;SIEMIŃSKI Roman Jerzy;636;22.33;2848;B Cybinki;M
080501;3;BYCKA Andrzej;147;5.16;2848;B Cybinki;M
080502;1;STOLARSKI Robert;157;50.00;314;WG Górzyca;S
080503;1;KOZŁOWSKI Stanisław;1754;54.68;3208;B Ośna Lubuskiego;M
080503;2;ROMANOWSKI Piotr;909;28.34;3208;B Ośna Lubuskiego;M
080503;3;PILIMON Edmund;545;16.99;3208;B Ośna Lubuskiego;M
080504;1;DUDZIS Sławomir Franciszek;3239;74.14;4369;B Rzepina;M
080504;2;UDZIELA Barbara;1130;25.86;4369;B Rzepina;M
080505;1;OLEJNICZAK Mariusz Piotr;4526;57.92;7814;B Słubic;M
080505;2;PISAREK Tomasz Janusz;1417;18.13;7814;B Słubic;M
080505;3;DUBACKI Mariusz;1166;14.92;7814;B Słubic;M
080505;4;PSZCZOŁOWSKA-MIZERSKA Maja Sylwia;705;9.02;7814;B Słubic;M
080601;1;ŁAŹNIEWSKA Sylwia Leokadia;1579;55.97;2821;B Dobiegniewa;M
080601;2;PAWLAK Grzegorz;788;27.93;2821;B Dobiegniewa;M
080601;3;GACKI Zbigniew Roman;454;16.09;2821;B Dobiegniewa;M
080602;1;PIOTROWSKA Karolina;4216;61.83;6819;B Drezdenka;M
080602;2;PIETRUSZAK Maciej;1688;24.75;6819;B Drezdenka;M
080602;3;GŁOGOWIEC Bartłomiej;480;7.04;6819;B Drezdenka;M
080602;4;PAWLACZYK Jarosław Paweł;435;6.38;6819;B Drezdenka;M
080603;1;SZYDEŁKO Magdalena Justyna;1124;64.05;1755;WG Stare Kurowo;M
080603;2;BIENIEK Artur Sebastian;631;35.95;1755;WG Stare Kurowo;M
080604;1;FEDER Mateusz Maciej;462;50.00;924;B Strzelec Krajeńskich;S
080605;1;MARĆ Tomasz Ferdynand;687;39.19;1753;WG Zwierzyn;M
080605;2;NEUMANN Karol Bronisław;543;30.98;1753;WG Zwierzyn;M
080605;3;KUCHCIŃSKI Grzegorz Andrzej;523;29.83;1753;WG Zwierzyn;M
080701;1;PECZKAJTIS Stanisław;1087;54.03;2012;WG Krzeszyce;M
080701;2;ŻMIJAK Andrzej;774;38.47;2012;WG Krzeszyce;M
080701;3;BIRECKI Marcin Grzegorz;151;7.50;2012;WG Krzeszyce;M
080702;1;SOSNOWSKI Radosław;619;41.88;1478;B Lubniewic;M
080702;2;JAŚNIKOWSKA Grażyna Henryka;423;28.62;1478;B Lubniewic;M
080702;3;PLUTA Mirosław;291;19.69;1478;B Lubniewic;M
080702;4;SEMBRATOWICZ Eugeniusz Roman;145;9.81;1478;B Lubniewic;M
080703;1;KRZYŚKÓW Janusz;1356;60.24;2251;WG Słońsk;M
080703;2;JANKOWSKI Marek;628;27.90;2251;WG Słońsk;M
080703;3;MUSIAŁ Tomasz;169;7.51;2251;WG Słońsk;M
080703;4;JARMUSZKA Urszula;98;4.35;2251;WG Słońsk;M
080704;1;EJCHART Dariusz Krystian;3468;56.65;6122;B Sulęcina;M
080704;2;BUKSZTYNOWICZ Karol Jacek;2088;34.11;6122;B Sulęcina;M
080704;3;TRZPIS Bogdan Michał;566;9.25;6122;B Sulęcina;M
080705;1;STANULEWICZ Ryszard;1457;55.21;2639;B Torzymia;M
080705;2;NIWALD Ewelina;988;37.44;2639;B Torzymia;M
080705;3;ORCHOWSKI Krzysztof Mariusz;194;7.35;2639;B Torzymia;M
080801;1;SKONIECZEK Ryszard;1021;58.68;1740;WG Lubrza;M
080801;2;STEFANIAK Robert Grzegorz;719;41.32;1740;WG Lubrza;M
080802;1;KALBARCZYK Czesław Jan;1043;47.15;2212;WG Łagów;M
080802;2;KLEBIEKO Mariusz Stanisław;956;43.22;2212;WG Łagów;M
080802;3;KREŃ Romuald Stanisław;213;9.63;2212;WG Łagów;M
080803;1;WOCH ZBIGNIEW;1692;81.03;2088;WG Skąpe;M
080803;2;STACHOWIAK MICHAŁ;396;18.97;2088;WG Skąpe;M
080804;1;NERYNG KRZYSZTOF JÓZEF;945;50.51;1871;WG Szczaniec;M
080804;2;BĄCELA IWONA IZABELA;719;38.43;1871;WG Szczaniec;M
080804;3;CZAPLIŃSKI EDWARD STANISŁAW;207;11.06;1871;WG Szczaniec;M
080805;1;SIELICKI Tomasz;5783;48.63;11893;B Świebodzina;M
080805;2;BEKISZ Dariusz Cezary;4245;35.69;11893;B Świebodzina;M
080805;3;JANOWICZ Tadeusz;1152;9.69;11893;B Świebodzina;M
080805;4;DZIUBA-KLEBIEKO Elżbieta Ewa;713;6.00;11893;B Świebodzina;M
080806;1;CZYCZERSKI Wiesław Kazimierz;569;50.00;1138;B Zbąszynka;S
080901;1;RADNY Bernard Mieczysław;1485;54.56;2722;B Babimostu;M
080901;2;JĄGOWSKA Alina Wanda;1237;45.44;2722;B Babimostu;M
080902;1;GOLA Krzysztof;830;58.16;1427;WG Bojadła;M
080902;2;URBAŃSKA Krystyna;360;25.23;1427;WG Bojadła;M
080902;3;LATAROWSKA Mirosława Jolanta;237;16.61;1427;WG Bojadła;M
080903;1;IWANUS Piotr;1174;50.00;2348;B Czerwieńska;S
080904;1;FABIŚ Jerzy Antoni;1573;63.30;2485;B Kargowej;M
080904;2;KURZAK Piotr;912;36.70;2485;B Kargowej;M
080905;1;MIERZWIAK Paweł Jan;2835;71.39;3971;B Nowogrodu Bobrzańskiego;M
080905;2;KUCZAK Henryk Adam;826;20.80;3971;B Nowogrodu Bobrzańskiego;M
080905;3;SUWAŁA Bernard Bronisław;166;4.18;3971;B Nowogrodu Bobrzańskiego;M
080905;4;JURSZA Stanisław;144;3.63;3971;B Nowogrodu Bobrzańskiego;M
080906;1;SOŁTYS Wojciech Kajetan;4418;41.96;10530;B Sulechowa;M
080906;2;RAKOWSKI Roman;1867;17.73;10530;B Sulechowa;M
080906;3;RÓŻYCKI Sebastian Tomasz;1462;13.88;10530;B Sulechowa;M
080906;4;ODWAŻNY Ignacy;1335;12.68;10530;B Sulechowa;M
080906;5;KACZMAR Stanisław;1120;10.64;10530;B Sulechowa;M
080906;6;ŁUSIAK Ewa Izabela;328;3.11;10530;B Sulechowa;M
080907;1;STEFAŃSKI Krzysztof;1739;58.28;2984;WG Świdnica;M
080907;2;KOTLARSKI Waldemar Arkadiusz;1245;41.72;2984;WG Świdnica;M
080908;1;STASZAK Izabella Ewa;1080;77.81;1388;WG Trzebiechów;M
080908;2;SOWIŃSKI Arkadiusz Stanisław;308;22.19;1388;WG Trzebiechów;M
080909;1;SIDORUK Robert;1147;58.67;1955;WG Zabór;M
080909;2;TARNAS Dariusz;808;41.33;1955;WG Zabór;M
081001;1;JAROSZ Krzysztof;103;50.00;206;BM Gozdnica;S
081002;1;KATARZYNIEC Andrzej Mirosław;3968;38.75;10240;BM Żagań;M
081002;2;MARCHEWKA Daniel;3176;31.02;10240;BM Żagań;M
081002;3;KULESZA Sebastian;1886;18.42;10240;BM Żagań;M
081002;4;GIZA Paweł Andrzej;725;7.08;10240;BM Żagań;M
081002;5;NOWAK Tomasz Cezary;485;4.74;10240;BM Żagań;M
081003;1;ADAMOWICZ Jerzy;829;52.80;1570;WG Brzeźnica;M
081003;2;WYGNANIEC Krzysztof;741;47.20;1570;WG Brzeźnica;M
081004;1;LICHTAŃSKI Paweł Tomasz;166;50.00;332;B Iłowej;S
081005;1;SENDECKA Małgorzata Janina;1257;56.65;2219;B Małomic;M
081005;2;GORZKÓW Paweł Stanisław;962;43.35;2219;B Małomic;M
081006;1;KOSIŃSKI Jan Władysław;1035;52.59;1968;WG Niegosławice;M
081006;2;KASOWSKA Adelina Małgorzata;653;33.18;1968;WG Niegosławice;M
081006;3;BRZEŹNIAK Marek Andrzej;280;14.23;1968;WG Niegosławice;M
081007;1;RUBACHA Józef Marcin;2882;35.94;8019;B Szprotawy;M
081007;2;GĄSIK Mirosław;2396;29.88;8019;B Szprotawy;M
081007;3;GRONO Bartłomiej Kazimierz;1580;19.70;8019;B Szprotawy;M
081007;4;CZERNIAWSKA Elżbieta Helena;776;9.68;8019;B Szprotawy;M
081007;5;SKIBA Krzysztof Andrzej;385;4.80;8019;B Szprotawy;M
081008;1;MISZEWSKI Lech;249;23.36;1066;WG Wymiarki;M
081008;2;OLSZEWSKI Wojciech Juliusz;184;17.26;1066;WG Wymiarki;M
081008;3;LUBAS Zdzisław;183;17.17;1066;WG Wymiarki;M
081008;4;PIETRZAK Franciszek;161;15.10;1066;WG Wymiarki;M
081008;5;ŻABIŃSKI Zbigniew Adam;155;14.54;1066;WG Wymiarki;M
081008;6;STASZKOWIAN Anita Agnieszka;82;7.69;1066;WG Wymiarki;M
081008;7;KLEJSZTA Ireneusz Jan;52;4.88;1066;WG Wymiarki;M
081009;1;JANOWICZ Henryk Andrzej;921;32.27;2854;WG Żagań;M
081009;2;OCHRYMCZUK Leszek Grzegorz;822;28.80;2854;WG Żagań;M
081009;3;DZIEWIATNIK Agnieszka Monika;585;20.50;2854;WG Żagań;M
081009;4;KOWALSKI Piotr Stanisław;526;18.43;2854;WG Żagań;M
081101;1;KULINIAK Piotr;672;60.60;1109;B Łęknicy;M
081101;2;JAMZA Jan Tomasz;402;36.25;1109;B Łęknicy;M
081101;3;BIEŃ Beniamin;35;3.16;1109;B Łęknicy;M
081102;1;MADEJ Danuta;8646;61.93;13962;BM Żary;M
081102;2;GRUBIZNA Marcin Marian;2067;14.80;13962;BM Żary;M
081102;3;WROCZYŃSKI Leszek;1668;11.95;13962;BM Żary;M
081102;4;PŁÓCIENNIK Tadeusz;1581;11.32;13962;BM Żary;M
081103;1;KOWALCZUK Ryszard Stanisław;783;56.21;1393;WG Brody;M
081103;2;JANCZEWSKI Roman;610;43.79;1393;WG Brody;M
081104;1;KAMYSZEK Andrzej Roman;1249;44.56;2803;B Jasienia;M
081104;2;SAGASZ Helena;880;31.39;2803;B Jasienia;M
081104;3;GOTFRYD Jadwiga;386;13.77;2803;B Jasienia;M
081104;4;WALCZAK Zbigniew Andrzej;288;10.27;2803;B Jasienia;M
081105;1;MORŻAK MICHAŁ;872;59.56;1464;WG Lipinki Łużyckie;M
081105;2;NOWAKOWSKI DAWID;592;40.44;1464;WG Lipinki Łużyckie;M
081106;1;DUDOJĆ Janusz;4902;67.99;7210;B Lubska;M
081106;2;JURKOWSKI Lech Jan;2308;32.01;7210;B Lubska;M
081107;1;STROJNY Mariusz Franciszek;1083;67.81;1597;WG Przewóz;M
081107;2;KLISOWSKI Ryszard;514;32.19;1597;WG Przewóz;M
081108;1;SOKOŁOWSKI Tomasz Adam;1397;58.09;2405;WG Trzebiel;M
081108;2;IWLEW Marek;1008;41.91;2405;WG Trzebiel;M
081109;1;KROMP Katarzyna;137;50.00;274;WG Tuplice;S
081110;1;MROŻEK Leszek Piotr;3343;79.18;4222;WG Żary;M
081110;2;PROKOP Iwona Małgorzata;879;20.82;4222;WG Żary;M
081201;1;SADRAKUŁA Cezary Roman;2935;57.65;5091;B Sławy;M
081201;2;ŻYGADŁO Paweł;2156;42.35;5091;B Sławy;M
081202;1;WIELGUS Jolanta;1174;50.60;2320;BMG Szlichtyngowa;M
081202;2;RAHNEFELD Elżbieta;1146;49.40;2320;BMG Szlichtyngowa;M
081203;1;ANTKOWIAK Konrad Piotr;2524;30.62;8242;BMG Wschowa;M
081203;2;CZOPEK Miłosz;2220;26.94;8242;BMG Wschowa;M
081203;3;GLIŃSKI Przemysław Grzegorz;2143;26.00;8242;BMG Wschowa;M
081203;4;URBANIAK Justyna Małgorzata;887;10.76;8242;BMG Wschowa;M
081203;5;GIEZEK Paweł;468;5.68;8242;BMG Wschowa;M
086101;1;WÓJCICKI Jacek Piotr;31425;65.21;48193;PM Gorzowa Wielkopolskiego;M
086101;2;PIEŃKOWSKI Sebastian;7342;15.23;48193;PM Gorzowa Wielkopolskiego;M
086101;3;BEJNAR-BEJNAROWICZ Marta Teresa;4891;10.15;48193;PM Gorzowa Wielkopolskiego;M
086101;4;SUROWIEC Robert Edward;4089;8.48;48193;PM Gorzowa Wielkopolskiego;M
086101;5;KNEĆ Ryszard Jan;446;0.93;48193;PM Gorzowa Wielkopolskiego;M
086201;1;KUBICKI Janusz Krzysztof;34579;58.20;59415;PM Zielona Góra;M
086201;2;BARCZAK Piotr;10645;17.92;59415;PM Zielona Góra;M
086201;3;KUCHARSKA-DZIEDZIC Anita Agnieszka;6235;10.49;59415;PM Zielona Góra;M
086201;4;NESTEROWICZ Tomasz Krzysztof;4620;7.78;59415;PM Zielona Góra;M
086201;5;KOTYLAK Sławomir Rafał;3336;5.61;59415;PM Zielona Góra;M
100101;1;MATYŚKIEWICZ Dariusz;5444;21.72;25063;PM Bełchatowa;M
100101;2;CZECHOWSKA Mariola Małgorzata;4747;18.94;25063;PM Bełchatowa;M
100101;3;WYSOCKI Piotr;4429;17.67;25063;PM Bełchatowa;M
100101;4;GRYCZKA Grzegorz;3911;15.60;25063;PM Bełchatowa;M
100101;5;MARJAN Patryk Piotr;2924;11.67;25063;PM Bełchatowa;M
100101;6;KUDAJ Elżbieta Maria;1880;7.50;25063;PM Bełchatowa;M
100101;7;KULIŃSKI Włodzimierz Andrzej;1728;6.89;25063;PM Bełchatowa;M
100102;1;ŁADZIAK Kamil Jerzy;2066;35.55;5811;WG Bełchatów;M
100102;2;KOC Konrad Patrycjusz;1718;29.56;5811;WG Bełchatów;M
100102;3;POLAK Marzena Dagmara;892;15.35;5811;WG Bełchatów;M
100102;4;MAGNUCKI Krzysztof;711;12.24;5811;WG Bełchatów;M
100102;5;TATARUDA Mirosław Wojciech;424;7.30;5811;WG Bełchatów;M
100103;1;ZIELIŃSKA Bożena Henryka;1318;49.57;2659;WG Drużbice;M
100103;2;GŁOWACKI Tomasz;961;36.14;2659;WG Drużbice;M
100103;3;BARTOSIK Łukasz Jan;380;14.29;2659;WG Drużbice;M
100104;1;CHOJNOWSKI Sławomir;1349;38.89;3469;WG Kleszczów;M
100104;2;MICHAŁEK Henryk Andrzej;685;19.75;3469;WG Kleszczów;M
100104;3;MICHAŁEK Michał Paweł;554;15.97;3469;WG Kleszczów;M
100104;4;ŚLUGA Małgorzata Katarzyna;461;13.29;3469;WG Kleszczów;M
100104;5;RZEŹNIK Jarosław Stefan;420;12.11;3469;WG Kleszczów;M
100105;1;SIKORA Karol;950;43.08;2205;WG Kluki;M
100105;2;KACZMARKIEWICZ Renata Janina;925;41.95;2205;WG Kluki;M
100105;3;CIOTUCHA Paweł Marek;330;14.97;2205;WG Kluki;M
100106;1;WOŹNIAK Dariusz Paweł;1546;48.89;3162;WG Rusiec;M
100106;2;SZCZYTOWSKI Damian Piotr;954;30.17;3162;WG Rusiec;M
100106;3;NITECKI Marcin Krzysztof;662;20.94;3162;WG Rusiec;M
100107;1;KAMIENIAK Krzysztof Paweł;2364;53.21;4443;WG Szczerców;M
100107;2;KMITA Grzegorz;819;18.43;4443;WG Szczerców;M
100107;3;PLUSKOTA Krzysztof;663;14.92;4443;WG Szczerców;M
100107;4;GRZELAK Jacek Stefan;597;13.44;4443;WG Szczerców;M
100108;1;JACHYMEK Tomasz Krzysztof;2528;37.23;6790;B Zelowa;M
100108;2;FIRST Agnieszka Teresa;1632;24.04;6790;B Zelowa;M
100108;3;NOWAK Damian;1164;17.14;6790;B Zelowa;M
100108;4;GAPIK Witold;865;12.74;6790;B Zelowa;M
100108;5;STAŃKA Michał;378;5.57;6790;B Zelowa;M
100108;6;SZAJBLER Dominik;223;3.28;6790;B Zelowa;M
100201;1;BURZYŃSKI Zbigniew Paweł;12108;65.58;18464;PM Kutno;M
100201;2;RZYMKOWSKA Ewa;4707;25.49;18464;PM Kutno;M
100201;3;PAWLAK Janusz Bogdan;833;4.51;18464;PM Kutno;M
100201;4;MAŁYSZEK Rafał;816;4.42;18464;PM Kutno;M
100202;1;IGNACZEWSKI Józef;1554;60.05;2588;WG Bedlno;M
100202;2;KOŁACH Krzysztof;695;26.85;2588;WG Bedlno;M
100202;3;WODZYŃSKA Jolanta Teresa;339;13.10;2588;WG Bedlno;M
100203;1;DĄBROWSKA Dorota Maria;720;59.55;1209;WG Dąbrowice;M
100203;2;ŚCIŚLEWSKA Ewa;247;20.43;1209;WG Dąbrowice;M
100203;3;STOKFISZ Małgorzata;242;20.02;1209;WG Dąbrowice;M
100204;1;HERMAN Julianna Barbara;1719;49.68;3460;B Krośniewic;M
100204;2;ERDMAN Katarzyna;1418;40.98;3460;B Krośniewic;M
100204;3;GRZĄDZIELA Grzegorz;323;9.34;3460;B Krośniewic;M
100205;1;JAKUBOWSKI Tomasz;285;50.00;570;WG Krzyżanów;S
100206;1;JASIŃSKA Justyna Magdalena;1766;50.88;3471;WG Kutno;M
100206;2;BRYŁA Jerzy Tadeusz;1705;49.12;3471;WG Kutno;M
100207;1;SZCZĘSNY Tomasz;512;44.95;1139;WG Łanięta;M
100207;2;JĘDRZEJCZAK Stanisław;337;29.59;1139;WG Łanięta;M
100207;3;ANGLARD Jakub;258;22.65;1139;WG Łanięta;M
100207;4;DYONIZIAK Dariusz;32;2.81;1139;WG Łanięta;M
100208;1;KOSTRZEWA Zdzisław;284;50.00;568;WG Nowe Ostrowy;S
100209;1;PAWLIKOWSKI Robert Zbigniew;976;68.83;1418;WG Oporów;M
100209;2;WROCZYŃSKA-SOBCZYK Anna;353;24.89;1418;WG Oporów;M
100209;3;KURAS Józef;89;6.28;1418;WG Oporów;M
100210;1;GRABOWSKI Tomasz Jan;997;52.95;1883;WG Strzelce;M
100210;2;KACZMAREK Tadeusz Jan;886;47.05;1883;WG Strzelce;M
100211;1;AMBROZIAK Grzegorz;2820;63.41;4447;B Gminy Żychlin;M
100211;2;SIKORSKI Krzysztof;1627;36.59;4447;B Gminy Żychlin;M
100301;1;WĘGLEWSKI Bronisław;2019;84.58;2387;WG Buczek;M
100301;2;WAWRZKOWICZ Grzegorz Eugeniusz;368;15.42;2387;WG Buczek;M
100302;1;WOŁOSZ Piotr Paweł;3979;33.18;11992;B Łasku;M
100302;2;SZKUDLAREK Gabriel;3696;30.82;11992;B Łasku;M
100302;3;FLORCZAK Sylwester;2144;17.88;11992;B Łasku;M
100302;4;TADYCH Leszek;1105;9.21;11992;B Łasku;M
100302;5;ROSIAK Grzegorz;1068;8.91;11992;B Łasku;M
100303;1;CIEŚLAK Dariusz;1758;57.39;3063;WG Sędziejowice;M
100303;2;POTASIAK Mirosław Tadeusz;1305;42.61;3063;WG Sędziejowice;M
100304;1;WŁODARCZYK Michał;2280;57.60;3958;WG Widawa;M
100304;2;WOŹNIAK Jerzy Sylwester;945;23.88;3958;WG Widawa;M
100304;3;TOKARCZYK Tomasz;733;18.52;3958;WG Widawa;M
100305;1;SZAFRAŃSKA Renata Mirosława;892;52.32;1705;WG Wodzierady;M
100305;2;ZIENTALA Wiktor Rafał;813;47.68;1705;WG Wodzierady;M
100401;1;KILAR-BŁASZCZYK Monika Anna;2232;36.18;6169;BM Łęczyca;M
100401;2;KULESZA Paweł Maciej;1578;25.58;6169;BM Łęczyca;M
100401;3;LIPIŃSKI Krzysztof;1195;19.37;6169;BM Łęczyca;M
100401;4;URBAŃSKI Krzysztof Edmund;1164;18.87;6169;BM Łęczyca;M
100402;1;WOJTERA Zbigniew Stanisław;856;48.47;1766;WG Daszyna;M
100402;2;DYMNY Tadeusz;481;27.24;1766;WG Daszyna;M
100402;3;CYWIŃSKI Zbigniew Bogumił;429;24.29;1766;WG Daszyna;M
100403;1;FRANKOWSKI Włodzimierz;309;50.00;618;WG Góra Świętej Małgorzaty;S
100404;1;JAGODZIŃSKI Janusz Wojciech;1226;42.55;2881;WG Grabów;M
100404;2;SOBCZYŃSKI Zbigniew Bogumił;543;18.85;2881;WG Grabów;M
100404;3;KOSTRZEWSKI Ryszard Władysław;429;14.89;2881;WG Grabów;M
100404;4;OGÓREK Krzysztof;336;11.66;2881;WG Grabów;M
100404;5;KUPIS-URBANIAK Mirosława;297;10.31;2881;WG Grabów;M
100404;6;ANDZEL Florian Kazimierz;50;1.74;2881;WG Grabów;M
100405;1;ROGOZIŃSKI Jacek Mariusz;2203;64.87;3396;WG Łęczyca;M
100405;2;SZCZEPANIAK Magdalena Anna;1193;35.13;3396;WG Łęczyca;M
100406;1;LISIECKI Krzysztof Marian;1489;55.25;2695;WG Piątek;M
100406;2;WÓJCIK Agnieszka Klaudyna;1206;44.75;2695;WG Piątek;M
100407;1;PRAŻNOWSKA Sylwia;1037;53.98;1921;WG Świnice Warckie;M
100407;2;KRAWCZYK Ewa Anna;677;35.24;1921;WG Świnice Warckie;M
100407;3;OLCZYK Agnieszka Bogumiła;207;10.78;1921;WG Świnice Warckie;M
100408;1;WŁODARCZYK Mirosław;842;52.23;1612;WG Witonia;M
100408;2;TOMCZAK Marek Sylwester;770;47.77;1612;WG Witonia;M
100501;1;KALIŃSKI Krzysztof Jan;5209;39.84;13075;BM Łowicza;M
100501;2;WOLSKI Jakub;2623;20.06;13075;BM Łowicza;M
100501;3;SIEWIERA Mariusz;2366;18.10;13075;BM Łowicza;M
100501;4;KOLAS Paweł Aleksander;1496;11.44;13075;BM Łowicza;M
100501;5;SOBCZAK Michał Jerzy;1381;10.56;13075;BM Łowicza;M
100502;1;KUBIŃSKI Sylwester Dariusz;1284;54.25;2367;WG Bielawy;M
100502;2;JANIKOWSKI Paweł;1083;45.75;2367;WG Bielawy;M
100503;1;RECZULSKI Dariusz;124;50.00;248;WG Chąśno;S
100504;1;KWIATKOWSKI Paweł;1298;63.01;2060;WG Domaniewice;M
100504;2;SZAFRANIEC Michał;762;36.99;2060;WG Domaniewice;M
100505;1;MIAZEK Beata;1174;80.36;1461;WG Kiernozia;M
100505;2;ŻUREK Kordian Stefan;287;19.64;1461;WG Kiernozia;M
