teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
101502;2;51.738631,19.987138 51.863011,20.189206;51.800821,20.088172;===;R1;101502;3;SŁODKI Jan Piotr;36;wyższe;Wysokienice,;1206;38.36;-1;Druga tura
101503;2;51.850022,19.982373 51.942224,20.106386;51.896123,20.0443795;===;R1;101503;1;MOZGA Andrzej Adam;52;wyższe;Godzianów,;1070;86.01;-1;Tak
101503;2;51.850022,19.982373 51.942224,20.106386;51.896123,20.0443795;===;R1;101503;2;URBANEK Sławomir Dariusz;40;wyższe;Zapady,;174;13.99;-1;Nie
101504;2;51.848276,20.318577 51.947933,20.518831;51.8981045,20.418704;===;R1;101504;1;PEPKA Jarosław;40;wyższe;Wola Pękoszewska,;1097;80.25;-1;Tak
101504;2;51.848276,20.318577 51.947933,20.518831;51.8981045,20.418704;===;R1;101504;2;TOMCZYŃSKA Wioleta;31;wyższe;Jeruzal,;270;19.75;-1;Nie
101505;2;51.873331,19.868532 51.944490,20.005781;51.9089105,19.9371565;===;R1;101505;1;CZERWIŃSKI Jerzy Wojciech;58;wyższe;Mszadla,;744;44.39;-1;Druga tura
101505;2;51.873331,19.868532 51.944490,20.005781;51.9089105,19.9371565;===;R1;101505;2;PRYK Mirosław;57;wyższe;Lipce Reymontowskie,;382;22.79;-1;Nie
101505;2;51.873331,19.868532 51.944490,20.005781;51.9089105,19.9371565;===;R1;101505;3;SAŁEK Marek;37;wyższe;Lipce Reymontowskie,;550;32.82;-1;Druga tura
101506;2;51.906557,19.905949 51.995947,20.119856;51.951252,20.0129025;===;R1;101506;1;KORBEŃ Robert;39;wyższe;Maków-Kolonia,;684;22.54;-1;Nie
101506;2;51.906557,19.905949 51.995947,20.119856;51.951252,20.0129025;===;R1;101506;2;KULETA Dariusz;49;wyższe;Maków,;662;21.81;-1;Nie
101506;2;51.906557,19.905949 51.995947,20.119856;51.951252,20.0129025;===;R1;101506;3;STANKIEWICZ Jerzy;66;wyższe techniczne;Maków,;1689;55.65;-1;Tak
101507;2;51.834394,20.151162 51.939739,20.346008;51.8870665,20.248585;===;R1;101507;1;CIOK Włodzimierz;59;wyższe;Kaczorów,;1078;67.93;-1;Tak
101507;2;51.834394,20.151162 51.939739,20.346008;51.8870665,20.248585;===;R1;101507;2;GRABOWSKI Wiesław Jakub;53;wyższe;Strzyboga,;509;32.07;-1;Nie
101508;2;51.839950,20.051516 52.028193,20.294028;51.9340715,20.172772;===;R1;101508;1;MOSKWA Dominik Tomasz;59;wyższe;Skierniewice,;1180;39.31;-1;Druga tura
101508;2;51.839950,20.051516 52.028193,20.294028;51.9340715,20.172772;===;R1;101508;2;PYTLEWSKI Czesław Antoni;64;wyższe;Ruda,;1125;37.48;-1;Druga tura
101508;2;51.839950,20.051516 52.028193,20.294028;51.9340715,20.172772;===;R1;101508;3;SKARZYŃSKA Lucja Beata;54;wyższe;Ruda,;697;23.22;-1;Nie
101509;2;51.826764,19.875823 51.893485,20.045714;51.8601245,19.9607685;===;R1;101509;1;MATULSKI Mirosław;42;wyższe;Skierniewice,;856;69.20;-1;Tak
101509;2;51.826764,19.875823 51.893485,20.045714;51.8601245,19.9607685;===;R1;101509;2;SKONECZNA Bożena Jolanta;44;wyższe;Krosnowa,;381;30.80;-1;Nie
101601;1;51.480162,19.965203 51.561034,20.086696;51.520598,20.0259495;===;R1;101601;1;KLATKA Barbara Ewa;53;wyższe;Tomaszów Mazowiecki,;5630;22.18;-1;Nie
101601;1;51.480162,19.965203 51.561034,20.086696;51.520598,20.0259495;===;R1;101601;2;KUCHARSKI Sylwester Wojciech;45;wyższe;Tomaszów Mazowiecki,;3122;12.30;-1;Nie
101601;1;51.480162,19.965203 51.561034,20.086696;51.520598,20.0259495;===;R1;101601;3;WITKO Marcin;47;wyższe;Tomaszów Mazowiecki,;16626;65.51;-1;Tak
101602;2;51.530511,19.708049 51.634959,19.841657;51.582735,19.774853;===;R1;101602;1;KOŁODZIEJCZYK Lesław;54;wyższe;Będków-Kolonia,;625;34.97;-1;Nie
101602;2;51.530511,19.708049 51.634959,19.841657;51.582735,19.774853;===;R1;101602;2;MISZTAL Dariusz;45;wyższe;Rosocha,;1162;65.03;-1;Tak
101603;2;51.654536,19.912923 51.728151,20.068038;51.6913435,19.9904805;===;R1;101603;1;HOLAK Marian;52;wyższe;Adamów,;755;77.60%;218;Tak
101604;2;51.579101,20.068055 51.724381,20.287645;51.651741,20.17785;===;R1;101604;1;BEDNAREK Andrzej;58;wyższe;Czerniewice,;1574;53.81;-1;Tak
101604;2;51.579101,20.068055 51.724381,20.287645;51.651741,20.17785;===;R1;101604;2;SITEK Wojciech;64;wyższe humanistyczne;Czerniewice,;453;15.49;-1;Nie
101604;2;51.579101,20.068055 51.724381,20.287645;51.651741,20.17785;===;R1;101604;3;SPUTOWSKI Paweł;59;średnie techniczne;Paulinów,;358;12.24;-1;Nie
101604;2;51.579101,20.068055 51.724381,20.287645;51.651741,20.17785;===;R1;101604;4;WOJCIECHOWSKI Cezary Paweł;45;średnie;Nowa Strzemeszna,;75;2.56;-1;Nie
101604;2;51.579101,20.068055 51.724381,20.287645;51.651741,20.17785;===;R1;101604;5;ZWOLIŃSKA Danuta Agnieszka;47;wyższe;Podkonice Miejskie,;465;15.90;-1;Nie
101605;2;51.462369,20.115265 51.589826,20.310442;51.5260975,20.2128535;===;R1;101605;1;KĄCKI Bogdan;53;wyższe;Rzeczyca,;1442;86.61%;223;Tak
101606;2;51.532370,19.942232 51.662680,20.155724;51.597525,20.048978;===;R1;101606;1;BERNACIAK Marcin;43;wyższe;Lubochnia - Górki,;398;10.97;-1;Nie
101606;2;51.532370,19.942232 51.662680,20.155724;51.597525,20.048978;===;R1;101606;2;JÓZWIK Tadeusz Adam;65;wyższe techniczne i ekonomiczne;Olszowiec,;1585;43.70;-1;Druga tura
101606;2;51.532370,19.942232 51.662680,20.155724;51.597525,20.048978;===;R1;101606;3;MAJCHROWSKI Piotr Karol;41;wyższe;Emilianów,;1644;45.33;-1;Druga tura
101607;2;51.591544,19.720808 51.710237,19.882663;51.6508905,19.8017355;===;R1;101607;1;GRZELCZAK Marcin Przemysław;43;wyższe - Organizacja i Zarządzanie;Maksymilianów,;732;24.09;-1;Nie
101607;2;51.591544,19.720808 51.710237,19.882663;51.6508905,19.8017355;===;R1;101607;2;REBZDA Jerzy;41;wyższe;Łaznów,;2055;67.64;-1;Tak
101607;2;51.591544,19.720808 51.710237,19.882663;51.6508905,19.8017355;===;R1;101607;3;WERNER Benon Sławomir;67;wyższe;Łódź,;251;8.26;-1;Nie
101608;2;51.552748,20.197378 51.660047,20.424890;51.6063975,20.311134;===;R1;101608;1;KARKOCHA Marcin Mieczysław;42;wyższe;Glina,;919;34.63;-1;Nie
101608;2;51.552748,20.197378 51.660047,20.424890;51.6063975,20.311134;===;R1;101608;2;KAŹMIERCZYK Marek;39;wyższe;Tomaszów Mazowiecki,;1735;65.37;-1;Tak
101609;2;51.419876,19.856217 51.591424,20.165263;51.50565,20.01074;===;R1;101609;1;ROBAK Barbara Danuta;56;wyższe administracyjne;Kwiatkówka,;930;19.89;-1;Nie
101609;2;51.419876,19.856217 51.591424,20.165263;51.50565,20.01074;===;R1;101609;2;SZMIGIEL Franciszek Józef;67;wyższe;Smardzewice,;2586;55.32;-1;Tak
101609;2;51.419876,19.856217 51.591424,20.165263;51.50565,20.01074;===;R1;101609;3;ŚWIDERSKI Dariusz Zbigniew;54;wyższe;Tomaszów Mazowiecki,;1159;24.79;-1;Nie
101610;2;51.544468,19.822107 51.664441,19.994696;51.6044545,19.9084015;===;R1;101610;1;PAWLAK Artur Marek;44;wyższe;Osiedle Niewiadów,;2542;84.12%;480;Tak
101611;2;51.656535,19.963758 51.773468,20.152717;51.7150015,20.0582375;===;R1;101611;1;KACZMAREK Bogdan;61;wyższe;Bukowiec,;1242;65.47;-1;Tak
101611;2;51.656535,19.963758 51.773468,20.152717;51.7150015,20.0582375;===;R1;101611;2;KRUŚ Sławomir;40;wyższe;Łochów Nowy,;655;34.53;-1;Nie
101701;2;51.198777,18.356214 51.325475,18.514584;51.262126,18.435399;===;R1;101701;1;OWCZAREK Aleksander Ireneusz;60;wyższe;Biała Rządowa,;1750;86.25%;279;Tak
101702;2;51.242736,18.479790 51.336640,18.643856;51.289688,18.561823;===;R1;101702;1;MODRZEJEWSKI Andrzej;64;średnie;Wydrzyn,;1506;85.23%;261;Tak
101703;2;51.301853,18.705897 51.410696,18.913181;51.3562745,18.809539;===;R1;101703;1;HERNAS Sylwester Zenon;50;średnie;Wrońsko,;203;11.06;-1;Nie
101703;2;51.301853,18.705897 51.410696,18.913181;51.3562745,18.809539;===;R1;101703;2;MITKA Jolanta;56;średnie;Rychłocice,;371;20.22;-1;Nie
101703;2;51.301853,18.705897 51.410696,18.913181;51.3562745,18.809539;===;R1;101703;3;TURALCZYK Grzegorz Mariusz;47;średnie;Konopnica,;1261;68.72;-1;Tak
101704;2;51.090712,18.422152 51.216352,18.548250;51.153532,18.485201;===;R1;101704;1;DĄBROWSKI Zbigniew Adam;53;wyższe;Komorniki,;1726;70.36;-1;Tak
101704;2;51.090712,18.422152 51.216352,18.548250;51.153532,18.485201;===;R1;101704;2;SZEWCZYK Adam;45;wyższe techniczne;Słupsko,;727;29.64;-1;Nie
101705;2;51.201087,18.677866 51.325252,18.888492;51.2631695,18.783179;===;R1;101705;1;KOPEĆ Alicja;59;Średnie;Osjaków,;239;9.68;-1;Nie
101705;2;51.201087,18.677866 51.325252,18.888492;51.2631695,18.783179;===;R1;101705;2;MARCZAK Beata Ewa;40;Wyższe;Osjaków,;936;37.93;-1;Nie
101705;2;51.201087,18.677866 51.325252,18.888492;51.2631695,18.783179;===;R1;101705;3;TROJAN Jarosław;53;wyższe;Osjaków,;1293;52.39;-1;Tak
101706;2;51.284574,18.513348 51.383625,18.757828;51.3340995,18.635588;===;R1;101706;1;TUREK Ryszard;58;wyższe;Ostrówek,;1484;77.37%;434;Tak
101707;2;51.054481,18.537747 51.185235,18.785540;51.119858,18.6616435;===;R1;101707;1;KACAŁA Krzysztof;52;wyższe;Załęcze Małe,;236;6.80;-1;Nie
101707;2;51.054481,18.537747 51.185235,18.785540;51.119858,18.6616435;===;R1;101707;2;KLIMAS Jarosław;50;wyższe;Pątnów,;529;15.25;-1;Nie
101707;2;51.054481,18.537747 51.185235,18.785540;51.119858,18.6616435;===;R1;101707;3;NOWAK Maciej;33;średnie;Pątnów,;642;18.51;-1;Nie
101707;2;51.054481,18.537747 51.185235,18.785540;51.119858,18.6616435;===;R1;101707;4;OLCZYK Jacek;39;wyższe;Grębień,;2062;59.44;-1;Tak
101708;2;51.114233,18.347486 51.224501,18.450462;51.169367,18.398974;===;R1;101708;1;MARAS Grzegorz Leszek;51;Wyższe;Skomlin,;1128;79.16%;297;Tak
101709;3;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102;===;R1;101709;1;BRZĄKAŁA Waldemar;55;wyższe;Wieluń,;1156;8.14;-1;Nie
101709;3;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102;===;R1;101709;2;DUDA Robert Eugeniusz;53;wyższe;Wieluń,;1095;7.71;-1;Nie
101709;3;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102;===;R1;101709;3;KAFTAN Sławomir Marek;51;wyższe;Turów,;866;6.10;-1;Nie
101709;3;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102;===;R1;101709;4;KLUSKA Waldemar Kazimierz;56;wyższe;Wieluń,;950;6.69;-1;Nie
101709;3;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102;===;R1;101709;5;KOWALCZYK Dariusz Piotr;55;wyższe;Wieluń,;657;4.63;-1;Nie
101709;3;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102;===;R1;101709;6;OKRASA Paweł Piotr;46;wyższe;Kurów,;6946;48.92;-1;Druga tura
101709;3;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102;===;R1;101709;7;RYCHLIK Paweł Piotr;31;wyższe;Wieluń,;2529;17.81;-1;Druga tura
101710;2;51.101454,18.631932 51.231206,18.833873;51.16633,18.7329025;===;R1;101710;1;BEDNAREK Krzysztof Wojciech;64;wyższe;Wierzchlas,;1926;72.71;-1;Tak
101710;2;51.101454,18.631932 51.231206,18.833873;51.16633,18.7329025;===;R1;101710;2;WRZAŁA Sylwia Marianna;40;wyższe;Wierzchlas,;723;27.29;-1;Nie
101801;2;51.154531,18.162029 51.268287,18.293410;51.211409,18.2277195;===;R1;101801;1;DOMINAS Leszek;53;wyższe;Bolesławiec,;781;42.42;-1;Druga tura
101801;2;51.154531,18.162029 51.268287,18.293410;51.211409,18.2277195;===;R1;101801;2;GÓRAL Ilona Agata;52;wyższe;Chotynin,;517;28.08;-1;Nie
101801;2;51.154531,18.162029 51.268287,18.293410;51.211409,18.2277195;===;R1;101801;3;MAKÓWKA Dorota Władysława;45;średnie;Żdżary,;543;29.49;-1;Druga tura
101802;2;51.205520,18.233269 51.297876,18.380848;51.251698,18.3070585;===;R1;101802;1;GŁADKI Patrycjusz Jan;40;wyższe;Czastary,;404;26.88;-1;Nie
101802;2;51.205520,18.233269 51.297876,18.380848;51.251698,18.3070585;===;R1;101802;2;REJMAN Dariusz;51;średnie;Kąty Walichnowskie,;1099;73.12;-1;Tak
101803;2;51.313702,18.171313 51.454342,18.387583;51.384022,18.279448;===;R1;101803;1;FRYSIAK Krzysztof Tadeusz;60;wyższe;Węglewice,;405;14.54;-1;Nie
101803;2;51.313702,18.171313 51.454342,18.387583;51.384022,18.279448;===;R1;101803;2;KOŁODZIEJ Piotr;36;wyższe;Galewice,;1335;47.92;-1;Druga tura
101803;2;51.313702,18.171313 51.454342,18.387583;51.384022,18.279448;===;R1;101803;3;WOJCIESZAK Marian Jan;63;średnie;Rybka,;1046;37.54;-1;Druga tura
101804;2;51.296655,18.363533 51.399444,18.562551;51.3480495,18.463042;===;R1;101804;1;PICHLAK Ryszard Teofil;61;wyższe;Lututów,;177;7.22;-1;Nie
101804;2;51.296655,18.363533 51.399444,18.562551;51.3480495,18.463042;===;R1;101804;2;PIETRZYK Jerzy;62;średnie;Knapy,;102;4.16;-1;Nie
101804;2;51.296655,18.363533 51.399444,18.562551;51.3480495,18.463042;===;R1;101804;3;PIKUŁA Marek;58;średnie;Łęki Małe,;1730;70.58;-1;Tak
101804;2;51.296655,18.363533 51.399444,18.562551;51.3480495,18.463042;===;R1;101804;4;SUWARA Józef Kazimierz;63;wyższe;Lututów,;332;13.55;-1;Nie
101804;2;51.296655,18.363533 51.399444,18.562551;51.3480495,18.463042;===;R1;101804;5;TERELAK Tomasz Paweł;44;średnie;Kolonia Dobrosław,;30;1.22;-1;Nie
101804;2;51.296655,18.363533 51.399444,18.562551;51.3480495,18.463042;===;R1;101804;6;WRZOSEK Bernarda Stanisława;37;średnie;Lututów,;80;3.26;-1;Nie
101805;2;51.133954,18.202966 51.214643,18.361714;51.1742985,18.28234;===;R1;101805;1;CIOSEK Henryk Stanisław;60;Wyższe;Łubnice,;703;35.06;-1;Nie
101805;2;51.133954,18.202966 51.214643,18.361714;51.1742985,18.28234;===;R1;101805;2;PAZEK Michał Maciej;47;wyższe;Łubnice,;1302;64.94;-1;Tak
101806;2;51.266350,18.228732 51.369470,18.452134;51.31791,18.340433;===;R1;101806;1;MALIK Gabriela Katarzyna;46;zawodowe;Prusak,;565;26.11;-1;Nie
101806;2;51.266350,18.228732 51.369470,18.452134;51.31791,18.340433;===;R1;101806;2;SKRZYPEK Sylwester Paweł;47;wyższe;Sokolniki,;1599;73.89;-1;Tak
101807;3;51.255459,18.074521 51.391401,18.252555;51.32343,18.163538;===;R1;101807;1;KRAWCZYK-SODOMSKA Agnieszka;45;wyższe;Wieruszów,;864;12.82;-1;Nie
101807;3;51.255459,18.074521 51.391401,18.252555;51.32343,18.163538;===;R1;101807;2;NAWROCKI Bogdan Leszek;54;wyższe;Wieruszów,;604;8.96;-1;Nie
101807;3;51.255459,18.074521 51.391401,18.252555;51.32343,18.163538;===;R1;101807;3;PRZYBYŁ Rafał Mariusz;45;średnie;Wyszanów,;5270;78.21;-1;Tak
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;===;R1;101901;1;BRODZKI Andrzej Władysław;53;wyższe;Zduńska Wola,;1490;8.21;-1;Nie
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;===;R1;101901;2;JARUGA Marzena Jolanta;46;wyższe;Zduńska Wola,;2092;11.52;-1;Nie
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;===;R1;101901;3;KOSIŃSKI Paweł Artur;43;średnie;Zduńska Wola,;653;3.60;-1;Nie
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;===;R1;101901;4;KUNERT Damian Stanisław;35;wyższe;Zduńska Wola,;5243;28.88;-1;Druga tura
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;===;R1;101901;5;NIEDŹWIECKI Piotr Wincenty;62;wyższe;Zduńska Wola,;1585;8.73;-1;Nie
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;===;R1;101901;6;POKORA Konrad Marek;52;wyższe;Zduńska Wola,;6870;37.84;-1;Druga tura
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825;===;R1;101901;7;ZEMLAK Dawid;33;wyższe;Zduńska Wola,;224;1.23;-1;Nie
101902;3;51.652446,18.801564 51.773401,19.107897;51.7129235,18.9547305;===;R1;101902;1;ŁAWNICZAK Artur Jerzy;46;wyższe;Wojsławice,;2107;62.36;-1;Tak
101902;3;51.652446,18.801564 51.773401,19.107897;51.7129235,18.9547305;===;R1;101902;2;MIELCZAREK Tomasz;53;wyższe;Szadkowice-Ogrodzim,;854;25.27;-1;Nie
101902;3;51.652446,18.801564 51.773401,19.107897;51.7129235,18.9547305;===;R1;101902;3;STULCZEWSKI Jarosław;25;wyższe;Zduńska Wola,;418;12.37;-1;Nie
101903;2;51.467342,18.816714 51.582536,19.013987;51.524939,18.9153505;===;R1;101903;1;LEPOROWSKI Sebastian;34;wyższe;Zapolice,;525;21.93;-1;Nie
101903;2;51.467342,18.816714 51.582536,19.013987;51.524939,18.9153505;===;R1;101903;2;OLESZCZYK Witold Jakub;55;wyższe;Zduńska Wola,;993;41.48;-1;Druga tura
101903;2;51.467342,18.816714 51.582536,19.013987;51.524939,18.9153505;===;R1;101903;3;STRZELCZYK Przemysław;52;średnie;Zapolice,;876;36.59;-1;Druga tura
101904;2;51.557876,18.793893 51.686762,19.041649;51.622319,18.917771;===;R1;101904;1;KOPYTEK Wiesław;47;wyższe;Wojsławice,;1636;31.49;-1;Nie
101904;2;51.557876,18.793893 51.686762,19.041649;51.622319,18.917771;===;R1;101904;2;STANIUCHA Henryk;57;wyższe;Polków,;3560;68.51;-1;Tak
102001;1;51.936634,19.666679 51.987382,19.761669;51.962008,19.714174;===;R1;102001;1;BALEJA Wojciech;42;wyższe;Głowno,;1405;22.46;-1;Nie
102001;1;51.936634,19.666679 51.987382,19.761669;51.962008,19.714174;===;R1;102001;2;JANECZEK Grzegorz Witold;54;wyższe;Głowno, Platforma Obywatelska RP;3336;53.33;-1;Tak
102001;1;51.936634,19.666679 51.987382,19.761669;51.962008,19.714174;===;R1;102001;3;SZAJDER Magdalena Maria;60;wyższe;Głowno,;444;7.10;-1;Nie
102001;1;51.936634,19.666679 51.987382,19.761669;51.962008,19.714174;===;R1;102001;4;WAŚKIEWICZ Iwona;49;wyższe;Głowno,;410;6.55;-1;Nie
102001;1;51.936634,19.666679 51.987382,19.761669;51.962008,19.714174;===;R1;102001;5;WAWRZYN Krzysztof Antoni;55;wyższe;Głowno,;660;10.55;-1;Nie
102002;1;51.932341,19.252448 51.985049,19.341010;51.958695,19.296729;===;R1;102002;1;REMBAK Adam Andrzej;36;wyższe;Ozorków,;1924;26.26;-1;Nie
102002;1;51.932341,19.252448 51.985049,19.341010;51.958695,19.296729;===;R1;102002;2;SOCHA Jacek;48;wyższe;Ozorków,;5403;73.74;-1;Tak
102003;1;51.821485,19.331378 51.889710,19.456697;51.8555975,19.3940375;===;R1;102003;1;GRZELAK-MAKOWCZYŃSKA Agata Teresa;37;wyższe;Zgierz,;3742;15.37;-1;Nie
102003;1;51.821485,19.331378 51.889710,19.456697;51.8555975,19.3940375;===;R1;102003;2;HANAJCZYK Agnieszka Małgorzata;55;wyższe;Bełdów,;5524;22.68;-1;Druga tura
102003;1;51.821485,19.331378 51.889710,19.456697;51.8555975,19.3940375;===;R1;102003;3;KAŹMIERCZAK Marek Zbigniew;72;wyższe;Łódź,;572;2.35;-1;Nie
102003;1;51.821485,19.331378 51.889710,19.456697;51.8555975,19.3940375;===;R1;102003;4;STANISZEWSKI Przemysław Konrad;36;wyższe;Zgierz,;11602;47.64;-1;Druga tura
102003;1;51.821485,19.331378 51.889710,19.456697;51.8555975,19.3940375;===;R1;102003;5;WITCZAK Mieczysław Piotr;61;wyższe;Zgierz,;2912;11.96;-1;Nie
102004;3;51.771218,19.138557 51.884128,19.357273;51.827673,19.247915;===;R1;102004;1;LIPIŃSKI Jacek Zbigniew;52;wyższe prawnicze;Aleksandrów Łódzki, Platforma Obywatelska RP;9765;65.21;-1;Tak
102004;3;51.771218,19.138557 51.884128,19.357273;51.827673,19.247915;===;R1;102004;2;SZEWCZYK Piotr Marek;53;średnie;Aleksandrów Łódzki,;3063;20.45;-1;Nie
102004;3;51.771218,19.138557 51.884128,19.357273;51.827673,19.247915;===;R1;102004;3;ŚWIĘCIAK-RUDA Renata Krystyna;51;wyższe;Aleksandrów Łódzki,;2147;14.34;-1;Nie
102005;2;51.942259,19.524070 52.036976,19.840028;51.9896175,19.682049;===;R1;102005;1;JÓŹWIAK Marek;62;wyższe;Popów Głowieński,;1258;57.79;-1;Tak
102005;2;51.942259,19.524070 52.036976,19.840028;51.9896175,19.682049;===;R1;102005;2;KAPKA Przemysław Łukasz;36;wyższe;Popówek Włościański,;919;42.21;-1;Nie
102006;2;51.934543,19.172733 52.036402,19.416995;51.9854725,19.294864;===;R1;102006;1;KOMOROWSKI Tomasz Grzegorz;46;wyższe;Modlna,;2148;64.04;-1;Tak
102006;2;51.934543,19.172733 52.036402,19.416995;51.9854725,19.294864;===;R1;102006;2;MACIAK Mirosława Ewa;46;wyższe;Cedrowice-Parcela,;1206;35.96;-1;Nie
102007;2;51.877376,19.120454 52.012487,19.311274;51.9449315,19.215864;===;R1;102007;1;NOWAKOWSKI Ryszard Tomasz;52;wyższe;Parzęczew,;1858;79.23%;487;Tak
102008;3;51.835802,19.505645 51.982411,19.712965;51.9091065,19.609305;===;R1;102008;1;BANDUROWICZ Krzysztof Piotr;61;średnie;Tymianka,;522;8.72;-1;Nie
102008;3;51.835802,19.505645 51.982411,19.712965;51.9091065,19.609305;===;R1;102008;2;JANKOWSKI Andrzej Janusz;62;średnie;Tymianka,;2747;45.91;-1;Druga tura
102008;3;51.835802,19.505645 51.982411,19.712965;51.9091065,19.609305;===;R1;102008;3;KOSMOWSKI Witold Bronisław;40;wyższe;Stryków,;2067;34.54;-1;Druga tura
102008;3;51.835802,19.505645 51.982411,19.712965;51.9091065,19.609305;===;R1;102008;4;KURCZEWSKA Aneta Jolanta;38;wyższe;Stryków,;648;10.83;-1;Nie
102009;2;51.848681,19.234724 52.022572,19.537808;51.9356265,19.386266;===;R1;102009;1;KACZMAREK Barbara Małgorzata;56;wyższe;Dąbrówka Wielka,;3465;53.01;-1;Tak
102009;2;51.848681,19.234724 52.022572,19.537808;51.9356265,19.386266;===;R1;102009;2;KAŹMIERCZAK Wojciech Stanisław;66;średnie;Jedlicze A,;3071;46.99;-1;Nie
102101;1;51.776938,19.708107 51.824384,19.790762;51.800661,19.7494345;===;R1;102101;1;BARUCKI Tadeusz Michał;67;średnie;Brzeziny,;587;10.70;-1;Nie
102101;1;51.776938,19.708107 51.824384,19.790762;51.800661,19.7494345;===;R1;102101;2;MIAZEK Tomasz;41;wyższe prawnicze;Brzeziny,;654;11.92;-1;Nie
102101;1;51.776938,19.708107 51.824384,19.790762;51.800661,19.7494345;===;R1;102101;3;NOWAŃSKI Janusz;46;wyższe;Brzeziny,;918;16.73;-1;Nie
102101;1;51.776938,19.708107 51.824384,19.790762;51.800661,19.7494345;===;R1;102101;4;PLUTA Marcin Seweryn;42;wyższe;Brzeziny,;1123;20.47;-1;Druga tura
102101;1;51.776938,19.708107 51.824384,19.790762;51.800661,19.7494345;===;R1;102101;5;SASIN Roman;63;wyższe ekonomiczne;Brzeziny,;533;9.71;-1;Nie
102101;1;51.776938,19.708107 51.824384,19.790762;51.800661,19.7494345;===;R1;102101;6;SKIPOR Ilona Anna;53;wyższe;Brzeziny,;1672;30.47;-1;Druga tura
102102;2;51.738004,19.644609 51.897372,19.834902;51.817688,19.7397555;===;R1;102102;1;HOJNACKA Barbara;59;wyższe;Bielanki,;1993;82.19%;432;Tak
102103;2;51.833342,19.675740 51.951981,19.873834;51.8926615,19.774787;===;R1;102103;1;SUPERA Danuta;62;wyższe;Teresin,;1404;76.72%;426;Tak
102104;2;51.729479,19.875471 51.850970,20.016240;51.7902245,19.9458555;===;R1;102104;1;GUZICKI Mariusz Czesław;37;wyższe;Jeżów,;754;39.19;-1;Druga tura
102104;2;51.729479,19.875471 51.850970,20.016240;51.7902245,19.9458555;===;R1;102104;2;PIECHOTA Tomasz;53;wyższe;Popień-Parcela,;696;36.17;-1;Druga tura
102104;2;51.729479,19.875471 51.850970,20.016240;51.7902245,19.9458555;===;R1;102104;3;SZELIGOWSKA Anna;50;wyższe;Jasienin Duży,;474;24.64;-1;Nie
102105;2;51.770489,19.787952 51.895229,19.949799;51.832859,19.8688755;===;R1;102105;1;KOŁADA Daniel Grzegorz;39;Wyższe;Rogów,;1394;77.92%;395;Tak
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;1;BUDA Waldemar Grzegorz;36;wyższe;Łódź,;72509;23.65;-1;Nie
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;2;GÓRSKI Rafał Witold;44;wyższe;Łódź,;6019;1.96;-1;Nie
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;3;LIPCZYK Krzysztof Gniewomir;33;wyższe;Łódź,;2866;0.93;-1;Nie
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;4;MAURER Zbigniew Sławomir;69;średnie;Łódź,;713;0.23;-1;Nie
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;5;MISZTAL Piotr Wiktor;53;zawodowe;Łódź,;1449;0.47;-1;Nie
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;6;NIZIOŁEK-JANIAK Urszula Edyta;51;wyższe;Łódź, Stowarzyszenie Koalicja „TAK!”;3398;1.11;-1;Nie
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;7;RUTKOWSKI Janusz Antoni;66;średnie ekonomiczne i techniczne;Łódź, RUCH OBYWATELSKI PRAWO I MOC POLSKICH ORŁÓW;332;0.11;-1;Nie
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;8;WOJCIECHOWSKA-VAN HEUKELOM Agnieszka Krystyna;54;wyższe;Łódź,;4039;1.32;-1;Nie
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095;===;R1;106101;9;ZDANOWSKA Hanna Elżbieta;59;wyższe;Łódź, Platforma Obywatelska RP;215323;70.22;-1;Tak
