teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;===;R1;020207;1;MIELNIK Edyta Marta;36;wyższe;Podlesie,;595;26.40;-1;Nie
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;===;R1;020207;2;SITNIK Andrzej Romuald;59;wyższe;Niemcza,;129;5.72;-1;Nie
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;===;R1;020207;3;SZYMAŃSKA-ŚLEDŹ Monika Magdalena;40;wyższe;Niemcza,;671;29.77;-1;Druga tura
020207;3;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835;===;R1;020207;4;WĘGŁOWSKI Jarosław;55;średnie;Kietlin,;859;38.11;-1;Druga tura
020301;1;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715;===;R1;020301;1;BOŻEK Przemysław Maciej;41;wyższe;Jaczów,;8570;31.64;-1;Nie
020301;1;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715;===;R1;020301;2;MAJEWSKI Sławomir;54;wyższe;Głogów,;1949;7.20;-1;Nie
020301;1;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715;===;R1;020301;3;ROKASZEWICZ Rafael Ryszard;44;wyższe;Głogów,;16568;61.17;-1;Tak
020302;2;51.607547,16.031523 51.724086,16.227821;51.6658165,16.129672;===;R1;020302;1;GNIEWOSZ Joanna;40;wyższe ekonomiczne;Grodziec Mały,;1200;38.38;-1;Nie
020302;2;51.607547,16.031523 51.724086,16.227821;51.6658165,16.129672;===;R1;020302;2;ZIMNY Bartłomiej Antoni;42;wyższe techniczne;Borek,;1927;61.62;-1;Tak
020303;2;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256;===;R1;020303;1;GOLBA Lesław Julian;59;wyższe magisterskie;Maniów,;1240;48.23;-1;Druga tura
020303;2;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256;===;R1;020303;2;STEFANIAK Monika Maria;38;wyższe;Jerzmanowa,;505;19.64;-1;Nie
020303;2;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256;===;R1;020303;3;ZWOLIŃSKI Paweł Tadeusz;43;wyższe;Jaczów,;826;32.13;-1;Druga tura
020304;2;51.677254,15.912931 51.804754,16.177830;51.741004,16.0453805;===;R1;020304;1;HORBATOWSKI Łukasz;38;wyższe;Głogów,;1431;89.38%;170;Tak
020305;2;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515;===;R1;020305;1;JURKOWSKI Artur Andrzej;51;wyższe;Ruszowice,;568;74.05%;199;Tak
020306;2;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772;===;R1;020306;1;GRABOWSKA Barbara;45;wyższe;Domaniowice,;312;20.49;-1;Nie
020306;2;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772;===;R1;020306;2;WOŁOSZYN Krzysztof Piotr;41;wyższe;Modła,;1211;79.51;-1;Tak
020401;3;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938;===;R1;020401;1;CHMIEL Adam Adolf;43;Średnie;Góra,;1021;14.25;-1;Nie
020401;3;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938;===;R1;020401;2;FRĄCZKIEWICZ Teresa;60;Wyższe;Góra,;1900;26.53;-1;Nie
020401;3;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938;===;R1;020401;3;KRZYSZKIEWICZ Irena Teresa;57;Wyższe;Czernina Dolna,;4242;59.22;-1;Tak
020402;2;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235;===;R1;020402;1;SIERPOWSKA Anita Agnieszka;31;wyższe;Łęczyca,;709;57.32;-1;Tak
020402;2;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235;===;R1;020402;2;UCINEK Jan;62;wyższe;Jemielno,;528;42.68;-1;Nie
020403;2;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;===;R1;020403;1;KOŹMIŃSKI Przemysław Mieczysław;41;średnie;Gola Górowska,;361;16.97;-1;Nie
020403;2;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;===;R1;020403;2;PIETROWIAK Ewa Barbara;58;podstawowe;Żuchlów,;517;24.31;-1;Nie
020403;2;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028;===;R1;020403;3;PONA Beata Barbara;52;Wyższe;Szaszorowice,;1249;58.72;-1;Tak
020404;3;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715;===;R1;020404;1;MAZUR Andrzej;43;zawodowe;Chocieborowice,;457;13.63;-1;Nie
