razem;teryt
11;146501
11;102003
10;247201
10;026401
9;142501
9;300711
9;240102
9;060401
9;020801
9;101901
9;220502
9;321004
9;247001
9;260508
9;106101
9;026101
9;120101
8;240407
8;326201
8;081102
8;321205
8;020301
8;046101
8;121205
8;146301
8;041509
8;247401
8;160907
8;186201
8;160602
8;200210
8;306401
8;126101
8;142509
8;261207
8;160101
8;160705
8;020802
8;143801
8;226301
8;040601
8;246901
7;143003
7;246401
7;281501
7;286201
7;040708
7;021303
7;302407
7;060201
7;022406
7;120107
7;080805
7;200202
7;021901
7;280701
7;081002
7;200203
7;020402
7;240901
7;181613
7;146201
7;247901
7;143505
7;201005
7;320604
7;100802
7;321404
7;146401
7;041408
7;143412
7;286101
7;160301
7;086101
7;240601
7;246301
7;306201
7;080302
7;106201
7;200201
7;061101
7;260503
7;143404
7;200101
7;046201
7;206201
7;200703
7;141912
7;141804
7;206101
7;220508
7;143205
7;100302
7;060801
7;200213
6;021501
6;301102
6;326101
6;121013
6;161004
6;181101
6;247301
6;100101
6;041001
6;281801
6;020808
6;220908
6;022106
6;142801
6;200401
6;180301
6;221203
6;100501
6;240307
6;181401
6;180401
6;200107
6;040703
6;143402
6;101209
6;102002
6;246101
6;121101
6;200705
6;046401
6;020806
6;062008
6;180501
6;280504
6;141801
6;221004
6;141504
6;022202
6;041404
6;160105
6;080505
6;241005
6;140101
6;121405
6;281602
6;020603
6;301403
6;143409
6;280101
6;142306
6;101203
6;247501
6;181304
6;022301
6;061410
6;261101
6;246601
6;100201
6;022605
6;201402
6;121603
6;081109
6;166101
6;141002
6;041906
6;142104
6;321701
6;280303
6;061801
6;141406
6;281202
6;301010
6;186401
6;040301
6;106301
6;241602
6;280502
6;246201
6;121301
6;141507
6;301701
6;301001
6;066201
6;121203
6;266101
6;221406
6;102001
6;320508
6;281001
6;246501
6;160204
6;126301
6;061503
6;302110
6;142101
6;320403
6;061604
6;101709
6;020602
6;020701
6;260701
6;101601
6;200301
6;080504
6;226101
6;142701
6;080704
6;301504
6;247801
6;121302
6;201009
6;020810
6;260209
6;143601
6;280304
6;061806
6;066101
6;160605
6;040803
6;260303
6;020702
6;141702
6;121204
5;141108
5;240803
5;142106
5;200209
5;062002
5;180903
5;160701
5;021001
5;200206
5;201201
5;100608
5;061103
5;021202
5;061807
5;300602
5;161107
5;081104
5;100211
5;120712
5;080206
5;021703
5;021401
5;061107
5;041602
5;300101
5;060111
5;021604
5;020604
5;140312
5;141601
5;081106
5;061808
5;022103
5;320103
5;300705
5;080305
5;022006
5;060114
5;061901
5;121114
5;061301
5;041402
5;143204
5;120805
5;261103
5;026201
5;060407
5;220702
5;321304
5;121606
5;320804
5;300904
5;240308
5;020103
5;302709
5;301901
5;143005
5;321401
5;040401
5;261104
5;021201
5;061804
5;101801
5;221002
5;281305
5;146101
5;020805
5;140501
5;140314
5;200602
5;060601
5;160804
5;301005
5;240310
5;260904
5;221209
5;060314
5;181803
5;302707
5;182101
5;201404
5;301906
5;200404
5;121803
5;260208
5;141908
5;101205
5;140105
5;142001
5;241003
5;281703
5;142608
5;181614
5;040603
5;302903
5;100108
5;140611
5;021704
5;201007
5;040501
5;160505
5;080605
5;100508
5;143004
5;066301
5;143303
5;101903
5;040706
5;061906
5;180505
5;100901
5;180507
5;120303
5;143309
5;180201
5;140209
5;143605
5;022001
5;021403
5;281411
5;281903
5;260607
5;100904
5;060813
5;022309
5;240101
5;160103
5;201108
5;101508
5;120106
5;241506
5;160305
5;020101
5;280905
5;142506
5;020501
5;320404
5;022302
5;021605
5;161105
5;121607
5;021606
5;241605
5;143002
5;142102
5;181606
5;240301
5;022005
5;200506
5;320801
5;021803
5;141106
5;121508
5;160806
5;240406
5;303001
5;161002
5;241002
5;321603
5;240410
5;321206
5;140802
5;280501
5;240107
5;241501
5;120102
5;260504
5;041202
5;281704
5;302603
5;300309
5;240304
5;321802
5;240403
5;261001
5;060903
5;060910
5;301603
5;060911
5;321702
5;121001
5;141703
5;200104
5;102009
5;100105
5;141706
5;281604
5;160707
5;062006
5;181605
5;020303
5;101409
5;301908
5;060208
5;061702
5;040705
5;120607
5;142605
5;120502
5;320303
5;301105
5;022307
5;280201
5;120709
5;261102
5;120402
5;301904
5;140604
5;320402
5;280804
5;302604
5;140307
5;180901
5;026501
5;143702
5;320608
5;101201
5;061207
5;300305
5;040103
5;041812
5;246801
5;060702
5;260507
5;260406
5;142610
5;081203
5;121701
5;060213
5;206301
5;180704
5;221207
5;060807
5;022602
5;240405
5;240415
5;302701
5;126201
5;021102
5;300803
5;022502
5;260803
5;260502
5;141802
5;021601
5;321406
5;181504
5;140703
5;180702
5;240309
5;321303
5;260106
5;220704
4;160709
4;143405
4;301909
4;280104
4;080105
4;120611
4;180707
4;302101
4;120603
4;300901
4;247601
4;101303
4;121306
4;061411
4;040604
4;142903
4;181502
4;281104
4;040304
4;320807
4;301002
4;140605
4;321705
4;220601
4;060710
4;321505
4;101411
4;060106
4;100506
4;080104
4;302108
4;141701
4;241701
4;281405
4;220407
4;281103
4;300801
4;180108
4;260101
4;121003
4;306301
4;100509
4;120702
4;240103
4;240502
4;021104
4;240201
4;060805
4;040701
4;041810
4;201403
4;121808
4;180202
4;120706
4;060907
4;021504
4;260202
4;200105
4;320101
4;240503
4;121106
4;081007
4;281402
4;201401
4;260908
4;140106
4;221503
4;142011
4;300907
4;260203
4;160102
4;280404
4;101009
4;200707
4;022308
4;281601
4;120616
4;020807
4;301012
4;221504
4;260903
4;101304
4;301505
4;022003
4;100107
4;061111
4;300604
4;142502
4;041807
4;141205
4;061102
4;061201
4;160306
4;021502
4;101401
4;281410
4;141806
4;321104
4;140202
4;240206
4;281306
4;321001
4;020902
4;021205
4;221201
4;121303
4;200903
4;040109
4;101005
4;040203
4;141206
4;080404
4;141302
4;260804
4;301204
4;320703
4;080909
4;060701
4;141401
4;320507
4;200215
4;221311
4;121804
4;120907
4;181701
4;060812
4;321410
4;140204
4;241004
4;141214
4;220703
4;020608
4;140201
4;061109
4;321405
4;321402
4;220901
4;060206
4;300205
4;221604
4;021902
4;201301
4;220907
4;140401
4;181806
4;160601
4;303103
4;261303
4;320501
4;241710
4;020204
4;101008
4;180307
4;302403
4;280604
4;180406
4;181602
4;142706
4;306101
4;320405
4;101011
4;062015
4;021906
4;020803
4;022506
4;180409
4;246701
4;041403
4;021402
4;201109
4;040105
4;261204
4;081001
4;080501
4;120806
4;100104
4;021302
4;281205
4;302116
4;300906
4;281503
4;066401
4;041005
4;141303
4;120803
4;301807
4;060406
4;140805
4;100207
4;141503
4;200605
4;100202
4;060901
4;102102
4;241704
4;046301
4;041409
4;241606
4;062004
4;321003
4;260104
4;080604
4;142005
4;301703
4;260103
4;142202
4;241201
4;320908
4;142012
4;101807
4;281407
4;080407
4;180503
4;302105
4;143703
4;100603
4;080301
4;240608
4;281701
4;200106
4;261005
4;221303
4;120305
4;280301
4;142703
4;260418
4;260805
4;121007
4;200701
4;320302
4;121207
4;061304
4;220701
