100045;181501;Dom Strażaka w Olimpowie|Olimpów| 57 |39-124 Iwierzyce;50.0058653 21.7549096
100046;181501;Szkoła Podstawowa w Wiercanach|Wiercany| 73 |39-124 Iwierzyce;50.012324 21.751316
100047;181502;Dom Strażaka w Ostrowie|Ostrów| 224 |39-103 Ostrów;50.098489 21.591834
100048;181502;Szkoła Podstawowa w Skrzyszowie|Skrzyszów| 190 |39-103 Ostrów;50.096843 21.553176
100049;181502;Szkoła Podstawowa w Woli Ocieckiej|Wola Ociecka| 114 |39-104 Ocieka;50.160114 21.540855
100050;181502;Szkoła Podstawowa w Ociece|Ocieka| 352 |39-104 Ocieka;50.0999177 21.6564133
100051;181502;Wiejski Ośrodek Kultury w Bliźnie|Blizna| 68 |39-104 Ocieka;50.0999177 21.6564133
100052;181502;Szkoła Podstawowa w Kamionce|Kamionka| 206 |39-122 Kamionka;50.15526 21.6705799
100053;181502;Szkoła Podstawowa w Zdżarach|Zdżary| 59 |39-104 Ocieka;50.1286269 21.636215
100054;181502;Dom Ludowy w Borku Małym|Borek Mały| 41 |39-120 Sędziszów Małopolski;50.096103 21.639377
100055;181502;Szkoła Podstawowa w Kozodrzy|Kozodrza| 175 |39-103 Ostrów;50.0981699 21.617867
100056;181503;Dom Strażaka w Brzezówce|Brzezówka| 160 |39-102 Lubzina;50.070972 21.548709
100057;181503;Zespół Szkół w Lubzinie|Lubzina| 188 |39-102 Lubzina;50.061822 21.5274219
100058;181503;Dom Strażaka w Łączkach Kucharskich|Łączki Kucharskie| 160 |39-106 Łączki Kucharskie;50.00839 21.554354
100059;181503;Dom Strażaka w Okoninie|Okonin| 29 |39-100 Ropczyce;50.0303509 21.55385
100060;181503;Zespół Szkół w Niedźwiadzie Dolnej|Niedźwiada| 40 |39-107 Niedźwiada;49.988777 21.5495859
100061;181503;Zespół Szkół w Niedźwiadzie Górnej|Niedźwiada| 261 |39-107 Niedźwiada;49.9874639 21.5073209
100062;181503;Zespół Szkół w Małej|Mała| 35 |39-107 Niedźwiada;49.966017 21.5153119
100063;181503;Zespół Szkół w Gnojnicy Dolnej|Gnojnica| 268 |39-105 Gnojnica;50.0435079 21.6566659
100064;181503;Zespół Szkół w Gnojnicy Woli|Gnojnica| 504 |39-105 Gnojnica;50.0999177 21.6564133
100065;181503;Dom Strażaka w Ropczycach - Brzyźnie|Ropczyce|ul. Ogrodnicza 36f |39-100 Ropczyce;50.048231 21.638084
100066;181503;Szkoła Podstawowa w Ropczycach - Granicach|Ropczyce|ul. Leśna 88 |39-100 Ropczyce;50.034101 21.6183449
100067;181503;Przedsiębiorstwo Energetyki Cieplnej w Ropczycach|Ropczyce|ul. Piłsudskiego 22 |39-100 Ropczyce;50.070361 21.71181
100068;181503;Zespół Szkół Nr 3 w Ropczycach|Ropczyce|ul. Robotnicza 48 |39-100 Ropczyce;50.0775233 21.5863232
100069;181503;Zespół Szkół Nr 4 w Ropczycach|Ropczyce|ul. 3 Maja 424 |39-100 Ropczyce;50.038832 21.5829549
100070;181503;Publiczne Przedszkole Nr 3 w Ropczycach|Ropczyce|ul. Szkolna 33A |39-100 Ropczyce;50.0718369 21.6299289
100071;181503;Dom Strażaka w Ropczycach - Witkowicach|Ropczyce|ul. Sucharskiego 101A |39-100 Ropczyce;50.07163 21.634352
100072;181503;Zespół Szkół Nr 2 w Ropczycach|Ropczyce|ul. Konarskiego 4 |39-100 Ropczyce;50.059805 21.604322
100073;181503;Zespół Szkół Nr 2 w Ropczycach|Ropczyce|ul. Konarskiego 4 |39-100 Ropczyce;50.059805 21.604322
100074;181503;Przedszkole Publiczne Nr 2 w Ropczycach|Ropczyce|ul. Armii Krajowej 6 |39-100 Ropczyce;50.058765 21.601719
100075;181503;Zespół Szkół im. ks. dr. J. Zwierza w Ropczycach|Ropczyce|ul. Mickiewicza 14 |39-100 Ropczyce;50.0613214 21.6423154
100076;181503;Centrum Kultury im. Józefa Mehoffera w Ropczycach|Ropczyce|ul. Bursztyna 1 |39-100 Ropczyce;50.0527591 21.6126493
100077;181503;Miejska i Powiatowa Biblioteka Publiczna w Ropczycach|Ropczyce|ul. Grunwaldzka 19 |39-100 Ropczyce;50.0523559 21.6079269
100078;181504;Liceum Ogólnokształcące Sędziszów Młp.|Sędziszów Małopolski|Fabryczna 5 |39-120 Sędziszów Młp.;50.070847 21.6891149
100079;181504;Szkoła Podstawowa Nr 3 Sędziszów Młp.|Sędziszów Małopolski|Osiedle Młodych 20 |39-120 Sędziszów Młp.;50.071411 21.68667
100080;181504;Szkoła Podstawowa Nr 3 Sędziszów Młp.|Sędziszów Małopolski|Osiedle Młodych 20 |39-120 Sędziszów Młp.;50.071411 21.68667
100081;181504;Szkoła Podstawowa Nr 2 Sędziszów Młp.|Sędziszów Małopolski|Rynek 9 |39-120 Sędziszów Młp.;50.0697997 21.6995842
100082;181504;Gimnazjum w Sędziszowie Młp.|Sędziszów Małopolski|ks. Maciąga 3 |39-120 Sędziszów Młp.;50.070105 21.703311
100083;181504;Gimnazjum w Sędziszowie Młp.|Sędziszów Małopolski|Ks. Maciąga 3 |39-120 Sędziszów Małopolski;50.070105 21.703311
100084;181504;Dom Ludowy w Będziemyślu|Będziemyśl| 35 |39-127 Będziemyśl;50.055422 21.782145
100085;181504;Szkoła Podstawowa w Boreczku|Boreczek| 46 |39-120 Sędziszów Młp.;50.1123399 21.688395
100086;181504;Szkoła Podstawowa w Borku Wielkim|Borek Wielki| 254 |39-120 Sędziszów Młp.;50.0913009 21.6595559
100087;181504;Budynek byłej szkoły w Cierpiszu|Cierpisz| 33 |39-123 Czarna Sędziszowska;50.150113 21.715336
100088;181504;Gimnazjum w Czarnej Sędziszowskiej|Czarna Sędziszowska| 145 |39-123 Czarna Sędziszowska;50.0999177 21.6564133
100089;181504;Szkoła Podstawowa w Górze Ropczyckiej|Góra Ropczycka| 2 |39-120 Sędziszów Młp.;50.0540789 21.6863934
100090;181504;Szkoła Podstawowa w Kawęczynie Sędziszowskim|Kawęczyn Sędziszowski| 73 |39-120 Sędziszów Młp.;50.0796502 21.7319723
100091;181504;Dom Ludowy w Klęczanach|Klęczany| 112 |39-127 Będziemyśl;50.0751659 21.797908
100092;181504;Szkoła Podstawowa w Krzywej|Krzywa| 121 |39-120 Sędziszów Młp.;50.0785724 21.7402183
100093;181504;Dom Strażaka w Rudzie|Ruda| 65 |39-122 Kamionka;50.136975 21.693385
100094;181504;Szkoła Podstawowa w Szkodnej|Szkodna| 121 |39-126 Zagorzyce;49.9840159 21.6469959
100095;181504;Przedszkole w Wolicy Ługowej|Wolica Ługowa| 70 |39-120 Sędziszów Młp.;50.0823649 21.719084
100096;181504;Szkoła Podstawowa w Wolicy Piaskowej|Wolica Piaskowa| 76 |39-120 Sędziszów Młp.;50.0881479 21.7045369
100097;181504;Szkoła Podstawowa w Zagorzycach Dolnych|Zagorzyce| 78 |39-126 Zagorzyce;50.033698 21.688675
100098;181504;Szkoła Podstawowa w Zagorzycach Górnych|Zagorzyce| 175 |39-126 Zagorzyce;50.01922 21.6763559
100099;181504;Dom Pomocy Społecznej w Rudzie|Ruda| 102 |39-122 Kamionka;50.0999177 21.6564133
100100;181504;Szpital Powiatowy w Sędziszowie Małopolskim. Zakład Pielęgnacyjno-Opiekuńczy w Sędziszowie Małopolskim|Sędziszów Małopolski|Wyspiańskiego 14 |39-120 Sędziszów Małopolski;50.0693119 21.699959
100101;181505;Filia GOKiW w Broniszowie|Broniszów| 79 |39-106 Łączki Kucharskie;49.9872589 21.598031
100102;181505;Budynek wielofunkcyjny w Gliniku|Glinik| 133 |39-106 Łączki Kucharskie;50.0999177 21.6564133
100103;181505;Gminny Ośrodek Kultury i Wypoczynku w Wielopolu Skrzyńskim|Wielopole Skrzyńskie| 202 |39-110 Wielopole Skrzyńskie;49.9454349 21.614452
100104;181505;Filia GOKiW w Brzezinach|Brzeziny| 168 |39-111 Brzeziny;50.0999177 21.6564133
100105;181505;Szkoła Podstawowa w Brzezinach-Berdechowie|Brzeziny| 382a |39-111 Brzeziny;50.0999177 21.6564133
100106;181505;Filia GOKiW w Nawsiu|Nawsie| 304 |39-110 Wielopole Skrzyńskie;50.0999177 21.6564133
