pgnw_psl;pgnw_pis;pgn_po;pgnw;psl;pis;po;teryt;powiat;powiatsrodek;bbpowiat
0.5611635893;-0.336848423;-0.426746083;18.527561;18.126766;23.616099;37.158292;0223;wrocławski;51.1407764 16.9831788;51.2114736 17.1763478 51.0426822 16.8073801
0.5562913291;-0.437541819;-0.339033229;18.555857;21.794620;42.031325;18.555694;1817;sanocki;49.497926 22.0947319;49.6860721 22.4287694 49.173873 21.8467582
0.5514073704;-0.371148805;-0.454130972;8.221106;6.819663;27.197810;33.448706;0461;m.Bydgoszcz;53.1234804 18.0084378;53.2094777 18.1985436 53.0418966 17.8738706
0.5480206566;-0.568776635;-0.552633586;20.612973;14.185461;17.816282;25.189032;0219;świdnicki(śląskie);50.9003799 16.4280157;51.029543 16.7016041 50.7112159 16.1594871
0.5399467857;-0.178494982;-0.243037493;11.985224;8.081985;20.630363;22.802243;2465;m.Dąbrowa Górnicza;50.3216897 19.1949126;50.4477806 19.4942862 50.2915548 19.1552295
0.5394785488;-0.364375251;-0.523002444;17.589107;28.503487;26.051570;29.744154;2610;skarżyski;51.0687982 20.7823845;51.195228 20.9836597 50.9346407 20.6010093
0.5392670476;-0.350649311;-0.479684819;22.524359;36.304738;25.398041;24.638748;0413;sępoleński;53.4496488 17.5130857;53.6179219 17.7702672 53.2678378 17.2472674
0.5381002262;-0.159542159;-0.109609138;25.653750;21.825918;27.712026;22.923132;2407;lubliniecki;50.6981811 18.8295757;50.8540339 19.11002 50.4929035 18.4792863
0.5357061225;-0.460528679;-0.488315147;9.908276;7.767856;20.744142;25.941596;2475;m.Sosnowiec;50.2862638 19.1040791;50.3171831 19.3179559 50.225614 19.0717961
0.5322567694;-0.443144743;-0.523147444;18.984400;22.232355;28.107599;21.516291;1601;brzeski(opolskie);50.8245005 17.5095994;50.9998859 17.7635629 50.5786778 17.2065028
0.5311309229;-0.440303367;-0.497233518;29.453519;29.004276;15.728086;37.109641;2203;człuchowski;53.7680573 17.1749252;54.011309 17.52072 53.4906718 16.8576631
0.5302778400;-0.483396465;-0.473076490;6.789080;5.536625;39.669456;35.177380;2061;m.Białystok;53.1324886 23.1688403;53.1885513 23.2471711 53.0666992 23.0649605
0.5247012466;-0.077563056;-0.184577524;17.728594;15.712347;48.581817;9.864155;1812;niżański;50.4776809 22.3713567;50.6253419 22.5883143 50.303142 21.9664392
0.5219447524;-0.553462826;-0.537704290;23.806034;36.836543;26.222356;15.596923;1438;żyrardowski;52.0129718 20.4227517;52.1557549 20.6653531 51.8434211 20.1984258
0.5216702675;-0.610961400;-0.642007728;15.958788;13.288663;21.981733;32.540700;0464;m.Włocławek;52.6483303 19.0677357;52.7360355 19.1806421 52.594676 18.937535
0.5214032673;-0.403997080;-0.414934039;16.156951;22.461972;44.411704;14.851468;1818;stalowowolski;50.6225178 22.0833907;50.8181161 22.2640843 50.3613651 21.8405406
0.5200214294;-0.352522840;-0.637928463;21.336552;16.787717;27.884249;38.739737;2215;wejherowski;54.6303285 18.0306344;54.8258449 18.4309318 54.408439 17.6668507
