pgnw_psl;pgnw_pis;pgn_po;pgnw;psl;pis;po;teryt
0.8536293081;-0.538541547;-0.578951943;13.145897;10.252708;22.147607;28.045797;2472
0.7847814686;-0.446722711;-0.655613781;18.415166;22.244376;37.182745;16.855166;1434
0.7841635427;-0.460951734;-0.722738205;6.165926;4.574093;27.292453;41.154940;1465
0.7704812002;-0.211005583;-0.504664741;19.868947;13.068631;20.213237;49.873599;2204
0.7480695513;-0.237761673;-0.406746453;20.487260;19.553065;32.349660;21.766138;1006
0.7307431325;-0.798523557;-0.809258034;16.894000;10.041033;19.383677;28.252197;2476
0.7212358754;-0.406716927;-0.522150510;23.750000;20.201806;18.300231;40.874134;0214
0.7206845680;-0.453078468;-0.529953887;9.539423;14.728551;39.506617;30.635434;1262
0.6943695019;-0.348529296;-0.662133997;22.098750;16.595987;17.250040;47.683966;0222
0.6896911757;-0.298084917;-0.487571175;9.843583;12.134707;22.076822;47.332275;2262
0.6890760812;-0.425640185;-0.336199573;29.048571;38.877898;19.458389;25.972053;3218
0.6869410867;-0.358619048;-0.583076455;23.137800;22.744415;19.039304;37.773070;3215
0.6806495753;-0.267498060;-0.692622971;24.598727;33.464994;20.707654;31.675429;3020
0.6730518845;-0.133072382;-0.263247420;16.061803;17.300657;26.240829;33.073378;1408
0.6610123021;-0.185532277;-0.299911190;21.642667;21.879583;15.277454;32.247720;0213
0.6553822098;-0.400040276;-0.637529608;23.934490;26.213241;18.913380;32.112997;3210
0.6534174103;-0.468989768;-0.624146644;25.425435;17.858730;16.823562;34.934329;2208
0.6504793645;-0.323030102;-0.671198769;23.676909;28.564249;26.511250;16.063664;1407
0.6489673085;-0.520120619;-0.630345666;23.935862;32.974748;33.697704;12.777805;1430
0.6489517716;-0.334637655;-0.371865201;19.668333;23.085174;14.273649;20.463302;0804
0.6383391280;-0.049822216;-0.580557317;16.891415;24.905403;24.883902;28.796069;1418
0.6338835447;-0.050004005;-0.335517115;13.126747;16.380060;29.682069;29.209141;1421
0.6172980939;-0.153868189;-0.524472769;24.688523;23.075946;19.716945;26.824952;3019
0.6168175012;-0.468771731;-0.474870367;11.082069;17.997539;30.392476;14.848683;0661
0.6162506821;-0.321774717;-0.410309418;25.006786;29.942149;18.935491;16.083412;0803
0.6149769038;-0.452571896;-0.449308292;27.923056;33.115924;17.118659;26.713100;3216
0.6134572505;-0.493927153;-0.635655384;15.618209;6.327840;15.306530;58.073860;0265
0.5996329824;-0.554504378;-0.610407700;24.002344;27.326330;18.718836;30.950731;2207
0.5891037771;-0.352011560;-0.583213234;23.030625;16.791882;20.071291;17.783419;0811
0.5878462723;-0.387207463;-0.598094873;20.873173;24.643847;35.606359;21.585424;1412
0.5837683501;-0.532006564;-0.560858475;21.685600;17.871167;31.539229;35.515965;0215
0.5739709731;-0.317096875;-0.392394393;13.455517;12.132851;18.143648;39.911840;2478
0.5707088012;-0.320354359;-0.442744101;21.884000;62.083441;21.461023;4.849769;1422
0.5644382351;-0.200565269;-0.511346385;19.477821;14.036963;24.095648;29.169110;0202
0.5638855503;-0.441944457;-0.472908323;7.009696;6.684223;26.725909;34.274566;0264
0.5626412331;-0.283391149;-0.294425465;16.596914;23.884383;35.368203;29.435607;1219
0.5611635893;-0.336848423;-0.426746083;18.527561;18.126766;23.616099;37.158292;0223
0.5562913291;-0.437541819;-0.339033229;18.555857;21.794620;42.031325;18.555694;1817
0.5514073704;-0.371148805;-0.454130972;8.221106;6.819663;27.197810;33.448706;0461
0.5480206566;-0.568776635;-0.552633586;20.612973;14.185461;17.816282;25.189032;0219
0.5399467857;-0.178494982;-0.243037493;11.985224;8.081985;20.630363;22.802243;2465
0.5394785488;-0.364375251;-0.523002444;17.589107;28.503487;26.051570;29.744154;2610
0.5392670476;-0.350649311;-0.479684819;22.524359;36.304738;25.398041;24.638748;0413
0.5381002262;-0.159542159;-0.109609138;25.653750;21.825918;27.712026;22.923132;2407
0.5357061225;-0.460528679;-0.488315147;9.908276;7.767856;20.744142;25.941596;2475
0.5322567694;-0.443144743;-0.523147444;18.984400;22.232355;28.107599;21.516291;1601
0.5311309229;-0.440303367;-0.497233518;29.453519;29.004276;15.728086;37.109641;2203
0.5302778400;-0.483396465;-0.473076490;6.789080;5.536625;39.669456;35.177380;2061
0.5247012466;-0.077563056;-0.184577524;17.728594;15.712347;48.581817;9.864155;1812
0.5219447524;-0.553462826;-0.537704290;23.806034;36.836543;26.222356;15.596923;1438
0.5216702675;-0.610961400;-0.642007728;15.958788;13.288663;21.981733;32.540700;0464
0.5214032673;-0.403997080;-0.414934039;16.156951;22.461972;44.411704;14.851468;1818
0.5200214294;-0.352522840;-0.637928463;21.336552;16.787717;27.884249;38.739737;2215
0.5133233327;-0.292435511;-0.417045797;21.694906;26.877019;22.313034;33.906197;2211
0.5097841431;-0.482356008;-0.530212077;27.272791;34.785056;16.290176;17.050554;3022
0.5092046190;-0.148600429;-0.417543753;20.473636;26.001439;27.129085;16.152633;2409
0.5026069876;-0.540596352;-0.640352266;26.734103;30.977160;17.286464;25.278733;3026
0.5017449840;-0.486902261;-0.624992239;12.810370;24.786276;32.749401;24.887667;1461
0.5011581064;-0.475380611;-0.540996735;25.204200;37.867179;14.570143;26.811977;2806
0.4994261674;-0.570439160;-0.659706435;30.460714;37.204718;21.293804;14.504668;3023
0.4987989934;-0.345029463;-0.379643707;23.546514;28.923398;20.690477;26.480290;3017
0.4960504807;-0.581662993;-0.552228482;9.158295;23.009600;33.431697;20.089401;2661
0.4954023516;-0.290955690;-0.591488391;22.949667;15.283429;17.822295;34.361944;0201
0.4953441023;-0.160454574;-0.417135232;15.337419;8.342355;40.373034;24.131611;2479
0.4942295867;-0.380458373;-0.311542534;24.631566;17.824352;19.964269;23.155358;0225
0.4887584564;-0.352151281;-0.436834350;13.382105;13.972397;19.393077;29.178774;2462
0.4867253767;-0.335363976;-0.348078208;14.461111;13.553007;26.550955;37.313599;2263
0.4854837934;-0.705998156;-0.520700047;20.018679;26.107214;29.164450;31.233466;0610
0.4852719218;-0.238644502;-0.336457061;22.255532;13.049540;28.294718;24.719891;2412
