pack;id;name;position;age;height;weight;caps
usa;39462;Greg Peterson;Lock;24;204;123;10
usa;41859;Samu Manoa;Lock;30;198;122;13
usa;41862;Shalom Suniula;FlyHalf;27;180;86;14
usa;44123;Blaine Scully;Wing;27;192;92;28
usa;44196;Folau Niua;FullBack;30;180;92;15
usa;47101;John Quill;BackRow;25;187;102;14
usa;48916;Seamus Kelly;Centre;24;178;91;22
usa;49434;Titi Lamositele;Prop;20;183;113;15
usa;49529;Danny Barrett;BackRow;25;193;97;10
usa;49572;Oli Kilifi;Prop;28;180;118;13
usa;54388;Matthew Trouville;BackRow;29;190;100;4
usa;55459;Al McFarland;BackRow;26;193;114;7
usa;55460;Chris Baumann;Prop;28;183;118;5
usa;55461;Niku Kruger;ScrumHalf;23;175;84;1
usa;55462;AJ MacGinty;FlyHalf;25;183;87;7
usa;56281;Joe Taufetee;Prop;NA;NA;NA;0
wales;11520;Gethin Jenkins;Prop;34;188;117;122
wales;21352;Mike Phillips;ScrumHalf;33;191;102;99
wales;23227;Paul James;Prop;33;186;116;63
wales;24722;Luke Charteris;Lock;32;206;125;59
wales;26359;Dominic Day;Lock;30;196;116;3
wales;26376;Alun Wyn Jones;Lock;30;196;125;97
wales;26386;Jamie Roberts;Centre;28;193;110;74
wales;29369;Bradley Davies;Lock;28;198;122;47
wales;29385;Ken Owens;Hooker;28;184;108;31
wales;29386;Rhys Priestland;FlyHalf;28;182;90;37
wales;32443;Sam Warburton;BackRow;26;188;103;59
wales;33997;Dan Biggar;FlyHalf;25;185;94;36
wales;34001;Justin Tipuric;BackRow;26;186;101;36
wales;36341;Dan Lydiate;BackRow;27;193;115;52
wales;36749;Scott Williams;Centre;24;185;100;34
wales;36759;James King;BackRow;25;193;108;7
wales;38914;Gareth Davies;ScrumHalf;25;178;90;6
wales;38923;Taulupe Faletau;BackRow;24;189;113;50
wales;42052;George North;Wing;23;192;107;55
wales;43417;Matthew Morgan;FullBack;23;173;77;4
wales;43423;Liam Williams;FullBack;24;188;87;25
wales;44416;Lloyd Williams;ScrumHalf;25;183;89;21
wales;44908;Alex Cuthbert;Wing;25;198;103;38
wales;45613;Samson Lee;Prop;22;192;107;14
wales;46458;Cory Allen;Centre;22;193;99;4
wales;47364;Aaron Jarvis;Prop;29;183;116;14
wales;48700;Ross Moriarty;BackRow;21;188;103;3
wales;48729;Hallam Amos;Wing;21;180;98;5
wales;48991;Scott Baldwin;Hooker;27;190;115;12
wales;49835;Jake Ball;Lock;24;200;122;15
wales;50473;Tyler Morgan;Centre;20;186;103;1
wales;56108;Tom Francis;Prop;23;189;130;4
