8;2;PiS;RAFALSKA Elżbieta;16922;4.29;T
8;3;PiS;MATERNA Jerzy;14597;3.70;T
8;1;PO;NIESIOŁOWSKI Stefan;69385;17.60;T
8;2;PO;BUKIEWICZ Bożenna;28420;7.21;T
8;3;PO;PAHL Witold;14135;3.59;T
8;4;PO;BOJKO Bogdan;12205;3.10;T
8;7;PO;SŁAWIAK Bożena Maria;8942;2.27;T
8;13;PO;CEBULA Marek;5734;1.45;T
8;1;PSL;ZYCH Józef;18631;4.73;T
8;1;SLD;KOCHANOWSKI Jan;17824;4.52;T
8;3;SLD;WONTOR Bogusław Tadeusz;11658;2.96;T
9;1;PiS;KLUZIK-ROSTKOWSKA Joanna;41171;9.74;T
9;2;PiS;KRZYWICKI Piotr;14064;3.33;T
9;3;PiS;JAGIEŁŁO Jarosław;24428;5.78;T
9;1;PO;DRZEWIECKI Mirosław Michał;44404;10.50;T
9;2;PO;ŚLEDZIŃSKA-KATARASIŃSKA Iwona Elżbieta;28516;6.75;T
9;3;PO;GRABARCZYK Cezary Stanisław;44610;10.55;T
9;4;PO;SKRZYDLEWSKA Joanna Katarzyna;33835;8.00;T
9;5;PO;ZDANOWSKA Hanna Elżbieta;11506;2.72;T
9;1;SLD;OLEJNICZAK Wojciech Michał;51865;12.27;T
9;5;SLD;JANOWSKA Zdzisława;5430;1.28;T
10;1;PiS;MACIEREWICZ Antoni;40055;13.72;T
10;2;PiS;SELIGA Dariusz Michał;14393;4.93;T
10;3;PiS;MACIEJEWSKI Krzysztof;10837;3.71;T
10;14;PiS;TELUS Robert;8748;3.00;T
10;1;PO;RADZISZEWSKA Elżbieta;33480;11.47;T
10;2;PO;KULA Włodzimierz Stanisław;9858;3.38;T
10;4;PO;ZACHAREWICZ Jacek Paweł;9579;3.28;T
10;1;PSL;WITASZCZYK Stanisław;8570;2.94;T
10;1;SLD;OSTROWSKI Artur;13112;4.49;T
11;1;PiS;ZALEWSKI Paweł Ksawery;35524;9.29;T
11;2;PiS;MATUSZEWSKI Marek;12777;3.34;T
11;3;PiS;WOŹNIAK Tadeusz Jacek;13904;3.64;T
11;6;PiS;GRABICKA Krystyna;9988;2.61;T
11;7;PiS;POLAK Piotr Stanisław;6747;1.76;T
11;1;PO;BIERNAT Andrzej;36278;9.49;T
11;2;PO;HANAJCZYK Agnieszka;15050;3.94;T
11;3;PO;TOMCZYK Cezary;8169;2.14;T
11;24;PO;DUNIN Artur Jerzy;7868;2.06;T
11;1;PSL;OLAS Stanisław;8314;2.17;T
11;2;PSL;ŁUCZAK Mieczysław Marcin;9176;2.40;T
11;1;SLD;BŁOCHOWIAK Anita;22698;5.94;T
12;1;PiS;KOWAL Paweł Robert;26184;9.78;T
12;2;PiS;SZYDŁO Beata;20486;7.65;T
12;3;PiS;ŁATAS Marek;16169;6.04;T
12;4;PiS;POLAK Marek Władysław;12549;4.69;T
12;1;PO;GRAŚ Paweł;35779;13.37;T
12;2;PO;CHWIERUT Janusz;10542;3.94;T
12;6;PO;ARKIT Tadeusz;9836;3.67;T
12;1;SLD;RYDZOŃ Stanisław;11110;4.15;T
13;1;PiS;ZIOBRO Zbigniew;164681;29.33;T
13;2;PiS;WASSERMANN Zbigniew Franciszek;6478;1.15;T
13;3;PiS;TERLECKI Ryszard;4246;0.76;T
13;4;PiS;ADAMCZYK Andrzej;3421;0.61;T
