1;02;PPP;REGUŁA Grażyna Janina;449;0.11;11.45;xxx;K
1;03;PPP;ALEKSANDRÓW Anna Maria;254;0.06;6.48;xxx;K
1;04;PPP;PAWLUK Krystyna;243;0.06;6.20;xxx;K
1;05;PPP;FUDALI Teresa;250;0.06;6.38;xxx;K
1;06;PPP;TUŁACZKO Bartosz;195;0.05;4.97;xxx;M
1;07;PPP;CYMERMAN Maria;179;0.04;4.57;xxx;K
1;08;PPP;HAŁADYN Barbara Krystyna;162;0.04;4.13;xxx;K
1;09;PPP;MOMOT Bogusław;77;0.02;1.96;xxx;M
1;10;PPP;PAWLUK Ewa Wiesława;196;0.05;5.00;xxx;K
1;11;PPP;KARAWAN Jerzy;146;0.04;3.72;xxx;M
1;12;PPP;PAWLUK Zdzisław;152;0.04;3.88;xxx;M
1;13;PPP;SZULC Magdalena;311;0.08;7.93;xxx;K
1;14;PPP;PIETRUSZYŃSKI Roman;198;0.05;5.05;xxx;M
1;15;PPP;ALEKSANDRÓW Paweł Łukasz;198;0.05;5.05;xxx;M
1;01;PSL;RAK Zofia;4259;1.05;15.95;xxx;K
1;02;PSL;GRALA Leszek;4988;1.23;18.67;xxx;M
1;03;PSL;STAŃCZAK Anna;1420;0.35;5.32;xxx;K
1;04;PSL;GRABOWIECKI Adam;1056;0.26;3.95;xxx;M
1;05;PSL;TOKARCZUK Stanisław;1250;0.31;4.68;xxx;M
1;06;PSL;KEMPIŃSKI Bogusław;1098;0.27;4.11;xxx;M
1;07;PSL;KUTY Roman Andrzej;713;0.18;2.67;xxx;M
1;08;PSL;SMOLIŃSKI Wojciech;754;0.19;2.82;xxx;M
1;09;PSL;SKOWRON Zbigniew;514;0.13;1.92;xxx;M
1;10;PSL;SAMBORSKI Tadeusz;4473;1.11;16.75;xxx;M
1;11;PSL;PAŹDZIOR Adam Roman;364;0.09;1.36;xxx;M
1;12;PSL;PTASZYŃSKI Jerzy;661;0.16;2.47;xxx;M
1;13;PSL;WĘGRZANOWSKI Tadeusz;492;0.12;1.84;xxx;M
1;14;PSL;RUDOLF Witold;347;0.09;1.30;xxx;M
1;15;PSL;KĄDZIOŁKA Zbigniew;600;0.15;2.25;xxx;M
1;16;PSL;SOWIŃSKI Krzysztof Jan;687;0.17;2.57;xxx;M
1;17;PSL;GWIŻDŻ Jerzy;321;0.08;1.20;xxx;M
1;18;PSL;JANKOWSKA Izabella Maria;663;0.16;2.48;xxx;K
1;19;PSL;DROBNIK Wojciech;96;0.02;0.36;xxx;M
1;20;PSL;ZYSNARSKI Radosław;206;0.05;0.77;xxx;M
1;21;PSL;DOWGIAŁOWICZ Bronisław;144;0.04;0.54;xxx;M
1;22;PSL;DZIEDZIC Elżbieta Maria;647;0.16;2.42;xxx;K
1;23;PSL;CICHURA Jacek Henryk;178;0.04;0.67;xxx;M
1;24;PSL;BURTNY Kazimierz;779;0.19;2.92;xxx;M
1;01;PiS;LIPIŃSKI Adam;32303;7.98;27.57;xxx;M
1;02;PiS;WITEK Elżbieta Barbara;9666;2.39;8.25;xxx;K
1;03;PiS;MACHAŁEK Marzena Anna;11109;2.75;9.48;xxx;K
1;04;PiS;MADZIARCZYK Tadeusz Józef;7699;1.90;6.57;xxx;M
1;05;PiS;CYBULSKI Piotr;11835;2.93;10.10;xxx;M
1;06;PiS;KULCZYCKI Roman Marian;6300;1.56;5.38;xxx;M
1;07;PiS;SZYMAŃSKA Ewa Zofia;6817;1.69;5.82;xxx;K
1;08;PiS;STRUŚ Mieczysław Stanisław;1523;0.38;1.30;xxx;M
1;09;PiS;POBOL Radosław Wojciech;6262;1.55;5.34;xxx;M
1;10;PiS;TOMALA Marek;3684;0.91;3.14;xxx;M
1;11;PiS;CHODYRA Andrzej Piotr;2102;0.52;1.79;xxx;M
1;12;PiS;ZABRZAŃSKI Józef Wojciech;1629;0.40;1.39;xxx;M
1;13;PiS;MACIEJEWSKA Elżbieta;2648;0.65;2.26;xxx;K
1;14;PiS;SKOWRON Julian;813;0.20;0.69;xxx;M
1;15;PiS;OSENDOWSKI Zenon Jerzy;839;0.21;0.72;xxx;M
1;16;PiS;LICA Wojciech;602;0.15;0.51;xxx;M
1;17;PiS;ZEMBIK Wojciech Bolesław;1156;0.29;0.99;xxx;M
1;18;PiS;LENCZUK Michał;1239;0.31;1.06;xxx;M
1;19;PiS;SADOWSKI Krzysztof Piotr;1362;0.34;1.16;xxx;M
1;20;PiS;GUTEK Ewa Danuta;1958;0.48;1.67;xxx;K
1;21;PiS;MELSKA Anna Agnieszka;1005;0.25;0.86;xxx;K
1;22;PiS;KOSOWSKI Kordian Ryszard;911;0.23;0.78;xxx;M
1;23;PiS;ZARZYCKI Jan;2462;0.61;2.10;xxx;M
1;24;PiS;WÓLTAŃSKI Edward;1241;0.31;1.06;xxx;M
1;01;Samoobrona;LITWIN Czesław;2043;0.50;33.89;xxx;M
1;02;Samoobrona;KOWALSKA Marianna Stefania;728;0.18;12.07;xxx;K
1;03;Samoobrona;SAS Dariusz Krzysztof;353;0.09;5.86;xxx;M
1;04;Samoobrona;WOJTKUN Czesław;220;0.05;3.65;xxx;M
1;05;Samoobrona;JĘDRASZKO Janusz;230;0.06;3.81;xxx;M
1;06;Samoobrona;KAWECKA Marzanna;277;0.07;4.59;xxx;K
1;07;Samoobrona;NOWAK Patrycja Anna;220;0.05;3.65;xxx;K
1;08;Samoobrona;MICHALSKI Henryk Zbigniew;221;0.05;3.67;xxx;M
1;09;Samoobrona;WITKOWSKI Bolesław;194;0.05;3.22;xxx;M
1;10;Samoobrona;STACHÓW Marian;170;0.04;2.82;xxx;M
1;11;Samoobrona;SZYMOREK Elżbieta;116;0.03;1.92;xxx;K
1;12;Samoobrona;SAWICKI Jan;242;0.06;4.01;xxx;M
1;13;Samoobrona;CHUDY Dagmara Angelika;129;0.03;2.14;xxx;K
1;14;Samoobrona;TOKARCZYK Ryszard;127;0.03;2.11;xxx;M
1;15;Samoobrona;CIEŚLAK Mariola;177;0.04;2.94;xxx;K
1;17;Samoobrona;MATUSIAK Dagmara;130;0.03;2.16;xxx;K
1;18;Samoobrona;LADZIŃSKA Adela;40;0.01;0.66;xxx;K
1;19;Samoobrona;NOWAK Ryszard;172;0.04;2.85;xxx;M
1;20;Samoobrona;CIOSEK-ZADROGA Anna Małgorzata;240;0.06;3.98;xxx;K
10;01;LPR;MASIN Arnold Wiktor;750;0.26;20.35;xxx;M
10;02;LPR;MALINOWSKI Piotr;512;0.18;13.89;xxx;M
10;03;LPR;KOT Marian;388;0.13;10.53;xxx;M
10;04;LPR;WĘGRZYNOWSKI Mariusz Tomasz;489;0.17;13.27;xxx;M
10;05;LPR;RAK Krzysztof;100;0.03;2.71;xxx;M
10;06;LPR;MANZEL Edyta;205;0.07;5.56;xxx;K
10;07;LPR;LUBICKI Jacek Marek;82;0.03;2.23;xxx;M
10;08;LPR;DEPOWSKI Damian;67;0.02;1.82;xxx;M
10;09;LPR;GŁOWACKI Piotr Paweł;155;0.05;4.21;xxx;M
10;10;LPR;LESIAK Paweł;226;0.08;6.13;xxx;M
10;11;LPR;BANASZCZYK Mateusz;83;0.03;2.25;xxx;M
10;12;LPR;LECHOWSKI Wiesław;76;0.03;2.06;xxx;M
10;13;LPR;KORZENIOWSKI Piotr Bronisław;99;0.03;2.69;xxx;M
10;14;LPR;MIKSA Tomasz Piotr;72;0.02;1.95;xxx;M
10;15;LPR;MATYSZEWSKI Mariusz;58;0.02;1.57;xxx;M
10;16;LPR;WALAS Zbigniew;105;0.04;2.85;xxx;M
10;17;LPR;BAJEROWSKI Grzegorz;50;0.02;1.36;xxx;M
10;18;LPR;KRYNKE Leszek;168;0.06;4.56;xxx;M
10;01;LiD;OSTROWSKI Artur;13112;4.49;36.37;xxx;M
