Lp;Posel;Klub;KlacznieT;KtranspT;DistT
52;Beata Bublewicz;PO;73.87523;50.94172;22.6100
53;Beata Kempa;SP;26.36993;18.50293;10.1842
54;Beata Małecka-Libera;PO;18.57851;11.16662;7.8235
55;Beata Mazurek;PiS;83.70835;54.76278;25.9217
56;Beata Szydło;PiS;8.86346;7.02849;2.5012
57;Bogdan Rzońca;PiS;5.46638;2.52742;0.6880
58;Bogusław Wontor;SLD;68.39920;42.26113;20.6279
59;Bożena Kamińska;PO;2.39383;2.01570;2.5351
60;Bożena Sławiak;PO;20.75584;15.22918;4.7221
61;Bożena Szydłowska;PO;50.97120;35.47854;19.0769
62;Bożenna Bukiewicz;PO;96.92927;68.91795;40.9204
63;Brygida Kolenda-Łabuś;PO;6.99360;2.64259;2.1330
64;Cezary Grabarczyk;PO;24.04890;22.21945;6.7900
65;Cezary Kucharski;PO;5.13261;3.91278;2.3002
66;Cezary Olejniczak;SLD;10.12020;3.74557;3.5007
67;Cezary Tomczyk;PO;70.94407;41.48112;16.5468
68;Damian Raczkowski;PO;50.86188;33.28998;17.8361
69;Danuta Pietraszewska;PO;20.91818;17.39027;10.2703
70;Dariusz Piontkowski;PiS;1.71861;1.33100;1.1501
71;Dariusz Rosati;PO;23.05491;17.77927;9.6559
72;Dariusz Seliga;PiS;88.31937;54.83822;25.6468
73;Dorota Arciszewska-Mielewczyk;PiS;8.35111;7.04565;2.3161
74;Dorota Niedziela;PO;14.41434;6.22457;4.6280
75;Dorota Rutkowska;PO;3.28605;2.93069;1.1610
76;Edward Czesak;PiS;3.16866;2.04027;1.0642
77;Elżbieta Apolonia Pierzchała;PO;21.95574;18.42783;17.2116
78;Elżbieta Gelert;PO;7.52503;4.61023;1.6040
79;Elżbieta Radziszewska;PO;74.20204;33.23236;16.3796
80;Elżbieta Rafalska;PiS;25.71142;13.05369;9.2200
81;Eugeniusz Czykwin;SLD;11.50386;8.08517;3.4915
82;Eugeniusz Tomasz Grzeszczak;PSL;25.47696;21.73711;5.4574
83;Ewa Kołodziej;PO;14.25913;7.34044;1.9206
84;Ewa Kopacz;PO;38.16785;24.39831;15.9239
85;Ewa Wolak;PO;22.19308;12.08241;6.4619
86;Ewa Żmuda-Trzebiatowska;PO;8.92136;3.77400;1.3760
87;Franciszek Jerzy Stefaniuk;PSL;69.73010;41.28226;23.3739
88;Grzegorz Janik;PiS;1.71861;1.33100;1.1501
89;Grzegorz Napieralski;SLD;31.68208;24.70603;12.6162
90;Grzegorz Raniewicz;PO;1.71861;1.33100;1.1501
91;Grzegorz Schetyna;PO;74.22239;62.43226;28.8125
92;Grzegorz Schreiber;PiS;15.89550;6.54155;2.6889
93;Grzegorz Sztolcman;PO;2.56170;2.26269;0.9160
94;Grzegorz Tobiszowski;PiS;4.21680;3.06134;1.2153
95;Halina Rozpondek;PO;1.12184;0.41848;0.5184
96;Henryk Smolarz;PSL;167.71323;79.97257;38.1825
97;Ireneusz Raś;PO;28.79569;19.58062;6.3555
98;Iwona Ewa Arent;PiS;2.39383;2.01570;2.5351
99;Iwona Guzowska;PO;58.98713;26.77512;13.1978
100;Iwona Kozłowska;PO;16.14318;6.57266;3.0808
101;Iwona Śledzińska-Katarasińska;PO;6.20135;4.74059;1.4371
102;Izabela Katarzyna Mrzygłocka;PO;3.88098;2.94871;1.4498
103;Izabela Kloc;PiS;27.87077;16.48141;7.1666
104;Jacek Bogucki;SP;5.02127;2.44854;0.6880
105;Jacek Czerniak;SLD;8.46231;4.77851;1.0806
106;Jacek Falfus;PiS;7.91439;3.57279;1.5693
