"Lp";"Data";"Gdzie";"PanstwoMiasto";"Posel";"Klub";"NrWnioski";"Ktransp";"Kdiet";"Khoteli";"Kdojazdow";"Ubezp";"WydatkFundusz";"RozniceKurs";"Zaliczki";"Klacznie";"PoCo";"Coords";"Dist";"Kmlline"
113;"25-28.05.2012";"ESTONIA Tallin";"ESTONIA, Tallin";"Zbyszek Zaborowski";"SLD";"99/12";2430,65;681,35;1954,33;0;0;0;-0,49;0;5066,82;"ZP NATO  Wiosenna sesja";"59.4369608 24.7535746 0";834.7;"<LineString><coordinates>24.7535746,59.4369608 21.028075,52.225208</coordinates></LineString>"
113;"25-28.05.2012";"ESTONIA Tallin";"ESTONIA, Tallin";"Jadwiga Zakrzewska";"PO";"99/12";2430,65;427,72;1302,89;0;0;0;-0,34;0;4161,6;"ZP NATO  Wiosenna sesja";"59.4369608 24.7535746 0";834.7;"<LineString><coordinates>24.7535746,59.4369608 21.028075,52.225208</coordinates></LineString>"
113;"25-28.05.2012";"ESTONIA Tallin";"ESTONIA, Tallin";"Dariusz Seliga";"PiS";"99/12";2906,54;581,88;1954,33;0;0;0;-1,13;0;5443,88;"ZP NATO  Wiosenna sesja";"59.4369608 24.7535746 0";834.7;"<LineString><coordinates>24.7535746,59.4369608 21.028075,52.225208</coordinates></LineString>"
114;"25-28.05.2012";"USA: Chicago";"USA, Chicago";"Joanna Fabisiak";"PO";"123/12";4916,65;380,03;1573,43;0;0;0;-23,87;0;6893,98;"LPG XII Zjazd Nauczycieli Polonijnych i Rad Rodziców";"41.8781136 -87.6297982 0";7512.9;"<LineString><coordinates>-87.6297982,41.8781136 21.028075,52.225208</coordinates></LineString>"
115;"25-29.05.2012";"USA: Chicago";"USA, Chicago";"Ligia Krajewska";"PO";"124/12";4916,65;281,54;0;0;0;2010,49;0;0;7208,68;"XII Zjazd Nauczycieli Polonijnych i Rad Rodziców";"41.8781136 -87.6297982 0";7512.9;"<LineString><coordinates>-87.6297982,41.8781136 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Andrzej Biernat";"PO";"117/12";0;188,56;606,84;0;0;0;-2,05;0;797,45;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Andrzej Buła";"PO";"117/12";0;188,56;540,88;0;0;0;-2,05;0;731,49;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Andrzej Czerwiński";"PO";"117/12";0;188,56;606,84;0;0;0;-8,26;0;803,66;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Tomasz Garbowski";"SLD";"117/12";0;188,56;606,84;0;0;0;-2,04;0;797,44;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Artur Górczyński";"TR";"117/12";0;188,56;540,88;0;0;0;-9,78;0;739,22;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Roman Jacek Kosecki";"PO";"117/12";0;188,56;606,84;0;0;0;-2,04;0;797,44;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Antoni Mężydło";"PO";"117/12";0;188,56;540,88;0;0;0;-2,05;0;731,49;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Sławomir Neumann";"PO";"117/12";0;188,56;540,88;0;0;0;-2,05;0;731,49;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Janusz Piechociński";"PSL";"117/12";0;188,56;606,84;0;0;0;-10,88;0;806,28;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Grzegorz Raniewicz";"PO";"117/12";0;188,56;540,88;0;0;0;-2,05;0;731,49;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Ireneusz Raś";"PO";"117/12";0;188,56;606,84;0;0;0;-2,04;0;797,44;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Jakub Rutnicki";"PO";"117/12";0;188,56;540,88;0;0;0;-2,05;0;731,49;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Marek Rząsa";"PO";"117/12";0;188,56;540,88;0;0;0;-8,21;0;737,65;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Grzegorz Schetyna";"PO";"117/12";0;188,56;606,84;0;0;0;-2,04;0;797,44;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Marek Matuszewski";"PiS";"117/12";0;188,56;540,88;0;0;0;-8,21;0;737,65;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Piotr Tomański";"PO";"117/12";0;188,56;540,88;0;0;0;-2,05;0;731,49;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Wojciech Ziemniak";"PO";"117/12";0;188,56;540,88;0;0;0;-8,27;0;737,71;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
116;"28-29.05.2012";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Cezary Kucharski";"PO";"117/12";0;188,68;545,91;0;0;0;-45,53;0;780,12;"Promocja Piłkarskich Mistrzostw Europy w Piłce Nożnej UEFA EURO 2012 i Turniej Piłkarski- wyjazd w składzie Delegacji Prezesa Rady Ministrów";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
117;"28-31.05.2012";"FRANCJA Paryż";"FRANCJA, Paryż";"Arkadiusz Mularczyk";"SP";"114/12";2490;1041,18;740,39;0;0;0;-5,47;0;4277,04;"ZPRE  Komisja ds. Politycznych i Demokracji";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
118;"30-31.05.2012";"BELGIA Bruksela";"BELGIA, Bruksela";"Andrzej Gałażewski";"PO";"115/12";2900,07;306,55;705,14;0;0;0;0;0;3911,76;"SUE  Udział w pracach Komisji do Spraw Politycznych, Bezpieczeństwa i Praw Człowieka oraz Komisji ds. Gospodarczych, Finansowych, Społecznych i Edukacji Zgromadzenia Parlamentarnego Unii dla Śródziemnomorza";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
119;"30-31.05.2012";"ŁOTWA Ryga";"ŁOTWA, Ryga";"Marek Balt";"SLD";"129/12";0;138,24;0;0;0;0;0;0;138,24;"Oficjalna wizyta Marszałka Sejmu";"56.9496487 24.1051864 0";561.4;"<LineString><coordinates>24.1051864,56.9496487 21.028075,52.225208</coordinates></LineString>"
119;"30-31.05.2012";"ŁOTWA Ryga";"ŁOTWA, Ryga";"Piotr Paweł Bauć";"TR";"129/12";0;138,24;0;0;0;0;0;0;138,24;"Oficjalna wizyta Marszałka Sejmu";"56.9496487 24.1051864 0";561.4;"<LineString><coordinates>24.1051864,56.9496487 21.028075,52.225208</coordinates></LineString>"
119;"30-31.05.2012";"ŁOTWA Ryga";"ŁOTWA, Ryga";"Artur Górski";"PiS";"129/12";0;138,24;0;0;0;0;0;0;138,24;"Oficjalna wizyta Marszałka Sejmu";"56.9496487 24.1051864 0";561.4;"<LineString><coordinates>24.1051864,56.9496487 21.028075,52.225208</coordinates></LineString>"
119;"30-31.05.2012";"ŁOTWA Ryga";"ŁOTWA, Ryga";"Ewa Kopacz";"PO";"129/12";0;138,24;0;0;0;0;0;0;138,24;"Oficjalna wizyta Marszałka Sejmu";"56.9496487 24.1051864 0";561.4;"<LineString><coordinates>24.1051864,56.9496487 21.028075,52.225208</coordinates></LineString>"
119;"30-31.05.2012";"ŁOTWA Ryga";"ŁOTWA, Ryga";"Józef Racki";"PSL";"129/12";0;138,24;0;0;0;0;0;0;138,24;"Oficjalna wizyta Marszałka Sejmu";"56.9496487 24.1051864 0";561.4;"<LineString><coordinates>24.1051864,56.9496487 21.028075,52.225208</coordinates></LineString>"
119;"30-31.05.2012";"ŁOTWA Ryga";"ŁOTWA, Ryga";"Andrzej Romanek";"SP";"129/12";0;138,24;0;0;0;0;0;0;138,24;"Oficjalna wizyta Marszałka Sejmu";"56.9496487 24.1051864 0";561.4;"<LineString><coordinates>24.1051864,56.9496487 21.028075,52.225208</coordinates></LineString>"
119;"30-31.05.2012";"ŁOTWA Ryga";"ŁOTWA, Ryga";"Krystyna Skowrońska";"PO";"129/12";0;138,24;0;0;0;0;0;0;138,24;"Oficjalna wizyta Marszałka Sejmu";"56.9496487 24.1051864 0";561.4;"<LineString><coordinates>24.1051864,56.9496487 21.028075,52.225208</coordinates></LineString>"
120;"30.05- 1.06.2012";"FRANCJA Paryż";"FRANCJA, Paryż";"Tadeusz Iwiński";"SLD";"116/12";2335,4;1041,18;1057,7;0;0;0;0;0;4434,28;"ZPRE  Komisja ds. Politycznych i Demokracji, Monitoringowej i Komisji Migracji, Uchodźców i Osób Przesiedlonych";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
121;"31.05- 2.06.2012";"FRANCJA Paryż";"FRANCJA, Paryż";"Stanisław Huskowski";"PO";"120/12";3252,1;809,81;1057,7;0;0;0;0;0;5119,61;"ZPRE  Komisja ds. Migracji, Uchodźców i Osób Przesiedlonych";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
121;"31.05- 2.06.2012";"FRANCJA Paryż";"FRANCJA, Paryż";"Łukasz Zbonikowski";"PiS";"120/12";2425;694,12;264,43;0;0;0;-29,67;0;3413,22;"ZPRE  Komisja ds. Migracji, Uchodźców i Osób Przesiedlonych";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
122;"3-5.06.2012";"FRANCJA Paryż";"FRANCJA, Paryż";"Robert Biedroń";"TR";"130/12";2336,14;710,7;940,92;0;0;0;-4,72;0;3992,48;"ZPRE  Komisja ds. Równości i Niedyskryminacji";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
123;"4-6.06.2012";"BELGIA Bruksela";"BELGIA, Bruksela";"Beata Kempa";"SP";"132/12";0;175,18;0;0;0;0;-87,3;0;262,48;"Udział w wysłuchaniu publicznym w Parlamencie Europejskim na temat cyfryzacji i dostępu mediów w Polsce";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
124;"5-7.06.2012";"AUSTRIA Wiedeń";"AUSTRIA, Wiedeń";"Maciej Mroczek";"TR";"135/12";2680,49;542,98;489,34;0;0;0;-3,57;0;3716,38;"55 sesja Komitetu na rzecz Pokojowego Wykorzystania Kosmosu, wygłoszenie wystąpienia przez Wicemarszałka Sejmu J. Wenderlicha w imieniu polskiej delegacji na forum Komitetu w dniu otwarcia sesji";"48.2081743 16.3738189 0";555.9;"<LineString><coordinates>16.3738189,48.2081743 21.028075,52.225208</coordinates></LineString>"
124;"5-7.06.2012";"AUSTRIA Wiedeń";"AUSTRIA, Wiedeń";"Jerzy Wenderlich";"SLD";"135/12";3115,6;542,98;489,34;0;0;0;-2,12;0;4150,04;"55 sesja Komitetu na rzecz Pokojowego Wykorzystania Kosmosu, wygłoszenie wystąpienia przez Wicemarszałka Sejmu J. Wenderlicha w imieniu polskiej delegacji na forum Komitetu w dniu otwarcia sesji";"48.2081743 16.3738189 0";555.9;"<LineString><coordinates>16.3738189,48.2081743 21.028075,52.225208</coordinates></LineString>"
124;"5-7.06.2012";"AUSTRIA Wiedeń";"AUSTRIA, Wiedeń";"Bogusław Wontor";"SLD";"135/12";1557,1;607,22;1156,61;0;0;0;0;0;3320,93;"55 sesja Komitetu na rzecz Pokojowego Wykorzystania Kosmosu, wygłoszenie wystąpienia przez Wicemarszałka Sejmu J. Wenderlicha w imieniu polskiej delegacji na forum Komitetu w dniu otwarcia sesji";"48.2081743 16.3738189 0";555.9;"<LineString><coordinates>16.3738189,48.2081743 21.028075,52.225208</coordinates></LineString>"
125;"6-8.06.2012";"WŁOCHY: Cadenabbia";"WŁOCHY, Cadenabbia";"Michał Szczerba";"PO";"137/12";0;0;0;0;0;0;-7,19;0;7,19;"SZA Spotkanie pt. '3Dialog Unia Europejska-Rosja' organizowane przez Europejskie Centrum Konferencyjne Fundacji Konrada Adenauera";"45.9890638 9.2360734 0";1101.3;"<LineString><coordinates>9.2360734,45.9890638 21.028075,52.225208</coordinates></LineString>"
126;"7-8.06.2012";"DANIA: Kopenhaga";"DANIA, Kopenhaga";"Mariusz Grad";"PO";"131/12";2733,35;424,48;575,35;0;0;0;-0,84;0;3734,02;"RRW, SUE Spotkanie przedstawicieli Komisji do Spraw Środowiska oraz Komisji Rolnictwa z przedstawicielami parlamentów - państw członkowskich UE";"55.6760968 12.5683371 0";672.9;"<LineString><coordinates>12.5683371,55.6760968 21.028075,52.225208</coordinates></LineString>"
127;"7-8.06.2012";"ŁOTWA Ryga";"ŁOTWA, Ryga";"Mariusz Orion Jędrysek";"SP";"138/12";3285,56;327,25;348,42;0;0;0;-3,19;0;3964,42;"KPMB  Grupa robocza Konferencji Parlamentarnej Morza Bałtyckiego ds. zielonego wzrostu efektywności energetycznej";"56.9496487 24.1051864 0";561.4;"<LineString><coordinates>24.1051864,56.9496487 21.028075,52.225208</coordinates></LineString>"
128;"8-11.06.2012";"UKRAINA: Berdyczów, Winnica";"UKRAINA, Berdyczów";"Jan Dziedziczak";"PiS";"139/12";0;639,11;392,56;0;0;0;-24,88;0;1056,55;"LPG XIII Dni Kultury Polskiej";"49.9 28.566667 0";586.5;"<LineString><coordinates>28.566667,49.9 21.028075,52.225208</coordinates></LineString>"
128;"8-11.06.2012";"UKRAINA: Berdyczów, Winnica";"UKRAINA, Berdyczów";"Franciszek Jerzy Stefaniuk";"PSL";"139/12";0;639,11;392,67;0;0;0;-28,3;0;1060,08;"LPG XIII Dni Kultury Polskiej";"49.9 28.566667 0";586.5;"<LineString><coordinates>28.566667,49.9 21.028075,52.225208</coordinates></LineString>"
129;"10-14.06.2012";"BELGIA Bruksela";"BELGIA, Bruksela";"Łukasz Krupa";"TR";"136/12";2911,93;873,63;2662,56;0;0;0;-6,25;0;6454,37;"ZP NATO  Program Orientacyjny";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
130;"14.06.2012";"NIEMCY: Berlin";"NIEMCY, Berlin";"Marek Krząkała";"PO";"144/12";0;0;0;0;0;0;0;0;0;"Uroczystości wręczenia nagrody Niemiecko-Polskiej Szkole Europejskiej i Niemiecko-Polskiemu Gimnazjum Locknitz oraz miastu Wrocław";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
131;"16-20.06.2012";"BRAZYLIA Rio de Janeiro";"BRAZYLIA, Rio de Janeiro";"Dorota Niedziela";"PO";"133/12";0;1351;0;0;0;0;0;0;1351;"OSZ Spotkanie przygotowujące Konferencję NZ nt. Zrównoważonego Rozwoju (Rio+20)";"-22.9116324 -43.1882863 0";10405.7;"<LineString><coordinates>-43.1882863,-22.9116324 21.028075,52.225208</coordinates></LineString>"
132;"17-20.06.2012";"LITWA: Wilno";"LITWA, Wilno";"Jan Dziedziczak";"PiS";"146/12";2687,19;501,5;1957,14;0;0;0;-2,31;0;5148,14;"ZP NATO 80 Seminarium Rose-Rotha";"54.6871555 25.2796514 0";392.6;"<LineString><coordinates>25.2796514,54.6871555 21.028075,52.225208</coordinates></LineString>"
132;"17-20.06.2012";"LITWA: Wilno";"LITWA, Wilno";"Konstanty Miodowicz";"PO";"146/12";2687,19;501,5;1957,14;0;0;0;-3,02;0;5148,85;"ZP NATO 80 Seminarium Rose-Rotha";"54.6871555 25.2796514 0";392.6;"<LineString><coordinates>25.2796514,54.6871555 21.028075,52.225208</coordinates></LineString>"
132;"17-20.06.2012";"LITWA: Wilno";"LITWA, Wilno";"Marek Opioła";"PiS";"146/12";2687,19;362,44;1304,76;0;0;0;-2,28;0;4356,67;"ZP NATO 80 Seminarium Rose-Rotha";"54.6871555 25.2796514 0";392.6;"<LineString><coordinates>25.2796514,54.6871555 21.028075,52.225208</coordinates></LineString>"
132;"17-20.06.2012";"LITWA: Wilno";"LITWA, Wilno";"Paweł Suski";"PO";"146/12";2687,19;362,44;1304,76;0;0;0;-32;0;4386,39;"ZP NATO 80 Seminarium Rose-Rotha";"54.6871555 25.2796514 0";392.6;"<LineString><coordinates>25.2796514,54.6871555 21.028075,52.225208</coordinates></LineString>"
133;"18-20.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Jan Kaźmierczak";"PO";"152/12";0;0;0;0;0;0;0;0;0;"ZPRE  Sympozjum nt. biobanków i kolekcji biomedycznych - jako przedstawiciel Komisji ds. Kultury, Nauki, Edukacji i Mediów";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
134;"20-21.06.2012";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Robert Biedroń";"TR";"148/12";0;384,27;0;0;0;0;0;0;384,27;"SPC  Wizyta studyjna w ramach programu 'Parlamentarzyści przeciwko handlowi ludźmi'";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
135;"20-23.06.2012";"KOREA POŁUDNIOWA Seul";"KOREA POŁUDNIOWA, Seul";"Ryszard Kalisz";"SLD";"142/12";10647,72;238,6;0;0;0;0;0;0;10886,32;"SPC  Konferencja Międzynarodowej Koalicji Parlamentarzystów ds. Uchodźców Północnokoreańskich";"37.566535 126.9779692 0";7740.6;"<LineString><coordinates>126.9779692,37.566535 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Andrzej Halicki";"PO";"149/12";3067,13;1046,38;1385,3;0;0;0;-7,59;0;5506,4;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Robert Biedroń";"TR";"149/12";3076,46;1046,38;1385,3;0;0;0;-7,59;0;5515,73;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Jagna Marczułajtis-Walczak";"PO";"149/12";3072,21;1046,38;1385,3;0;0;0;-7,59;0;5511,48;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Mirosława Nykiel";"PO";"149/12";3072,21;1046,38;1385,3;0;0;0;-4,47;0;5508,36;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Elżbieta Radziszewska";"PO";"149/12";3072,21;1046,38;1385,3;0;0;0;-9,12;0;5513,01;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Tadeusz Iwiński";"SLD";"149/12";3072,21;989,19;1385,3;0;0;0;-7,59;0;5454,29;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Zbigniew Girzyński";"PiS";"149/12";3108;857,67;506,2;0;0;0;-22,37;0;4494,24;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Adam Hofman";"PiS";"149/12";3115;1886,84;2021,33;0;0;0;-12,91;0;7036,08;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Stanisław Huskowski";"PO";"149/12";2231,34;1372,23;1546,49;0;0;0;-0,9;0;5150,96;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Mariusz Antoni Kamiński";"PiS";"149/12";3115;1046,38;1568,27;0;0;0;0;0;5729,65;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Arkadiusz Mularczyk";"SP";"149/12";2765,41;1629,6;1847,07;0;0;0;-32,91;0;6274,99;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Maciej Orzechowski";"PO";"149/12";3072,21;989,19;1254,61;0;0;0;-24,69;0;5340,7;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Adam Rogacki";"PiS";"149/12";3115;1372,23;1759,95;0;0;0;-58,63;0;6305,81;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
136;"24-29.06.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Łukasz Zbonikowski";"PiS";"149/12";3115;1886,84;1679,36;0;0;0;-49,16;0;6730,36;"ZPRE  3 część sesji 2012 r.";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
