"Lp";"Data";"Gdzie";"PanstwoMiasto";"Posel";"Klub";"NrWnioski";"Ktransp";"Kdiet";"Khoteli";"Kdojazdow";"Ubezp";"WydatkFundusz";"RozniceKurs";"Zaliczki";"Klacznie";"PoCo";"Coords";"Dist";"Kmlline"
9;"30.11- 6.12.2011";"ROSJA: Moskwa, Jekaterynburg";"ROSJA, Moskwa";"Tadeusz Iwiński";"SLD";"13/11";7132,93;1518,96;4366,82;0;0;0;-0,18;0;13018,89;"ZPRE  Obserwacja wyborów parlamentarnych";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
10;"4-7.12.2011";"USA: Waszyngton";"USA, Waszyngton";"Marek Opioła";"PiS";"16/11";14386,83;822,37;1611,94;0;0;404,15;2,16;0;17223,13;"ZP NATO  11. Doroczne Transatlantyckie Forum";"38.9071923 -77.0368707 0";7179.5;"<LineString><coordinates>-77.0368707,38.9071923 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Andrzej Czerwiński";"PO";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Andrzej Gałażewski";"PO";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Ewa Kopacz";"PO";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Beata Mazurek";"PiS";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Krzysztof Michałkiewicz";"PiS";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Arkadiusz Mularczyk";"SP";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Agnieszka Pomaska";"PO";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Henryk Smolarz";"PSL";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Tadeusz Tomaszewski";"SLD";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
11;"5-6.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Maciej Wydrzyński";"TR";"17/11";0;315,8;953,4;0;0;0;0;0;1269,2;"Wspólne Spotkanie Parlamentarne Sejmu RP, Senatu RP i Parlamentu Europejskiego w ramach parlamentarnego wymiaru polskiej Prezydencji";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
12;"5-7.12.2011";"FRANCJA Paryż";"FRANCJA, Paryż";"Jan Kaźmierczak";"PO";"14/11";3349,89;965,45;1089,72;0;0;0;0;0;5405,06;"ZPRE  Komisja Kultury, Nauki i Edukacji";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
13;"8-10.12.2011";"FRANCJA Paryż";"FRANCJA, Paryż";"Mirosława Nykiel";"PO";"18/11";2704,24;828,07;1077,59;0;0;0;0,01;0;4609,89;"ZPRE  Komisja ds. Gospodarki i Rozwoju";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
14;"8-10.12.2011";"FRANCJA Paryż";"FRANCJA, Paryż";"Stanisław Huskowski";"PO";"20/11";2590;606,2;588,63;0;0;0;-8,77;0;3793,6;"ZPRE  Komisja ds. Gospodarki i Rozwoju";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
15;"13-14.12.2011";"NIEMCY: Berlin";"NIEMCY, Berlin";"Joanna Fabisiak";"PO";"25/11";2792,69;382,9;382,99;0;0;0;0;0;3558,58;"LPG Inauguracja konkursu 'Być Polakiem'";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
16;"14-15.12.2011";"BELGIA Bruksela";"BELGIA, Bruksela";"Jan Dziedziczak";"PiS";"23/11";2861,53;318,63;687,11;0;0;0;-1,33;0;3868,6;"ZP NATO  Międzyparlamentarna Rada UKRAINA: - NATO (UNIC)";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
17;"17-19.12.2011";"UKRAINA: Winnica";"UKRAINA, Winnica";"Franciszek Jerzy Stefaniuk";"PSL";"26/11";0;417,61;404,83;0;0;0;-15,06;0;837,5;"LPG Na zaproszenie polskich środowisk Winnickiego Okręgu Konsularnego";"49.233083 28.468217 0";620.0;"<LineString><coordinates>28.468217,49.233083 21.028075,52.225208</coordinates></LineString>"
18;"20-22.12.2011";"AZERBEJDŻAN Baku";"AZERBEJDŻAN, Baku";"Anna Fotyga";"PiS";"24/11";4536,87;209,76;0;0;0;0;0;0;4746,63;"Konferencja 'Strategia modernizacji: współczesne wyzwania polityki i gospodarki globalnej'";"40.4092617 49.8670924 0";2550.2;"<LineString><coordinates>49.8670924,40.4092617 21.028075,52.225208</coordinates></LineString>"
