daytime;ele;speed;dist;stagedist
NA;84.7;0.0;41621.9;626.5
NA;91.7;0.0;42211.1;589.2
NA;96.8;0.0;43323.9;1112.8
NA;104.2;0.0;43712.8;388.8
NA;107.7;0.0;44083.4;370.7
NA;105.9;0.0;44359.3;275.9
NA;106.0;0.0;44481.0;121.7
NA;103.5;0.0;44657.6;176.5
NA;104.1;0.0;45479.4;821.9
NA;103.8;0.0;45762.7;283.2
NA;102.0;0.0;46469.3;706.6
NA;99.5;0.0;47062.7;593.4
NA;96.9;0.0;47756.2;693.5
NA;96.1;0.0;48349.6;593.5
NA;97.8;0.0;48585.7;236.0
NA;100.8;0.0;48970.0;384.4
NA;103.2;0.0;49466.0;495.9
NA;104.2;0.0;49911.4;445.4
NA;102.9;0.0;50419.6;508.2
NA;104.2;0.0;51134.7;715.1
NA;104.0;0.0;51410.8;276.1
NA;103.0;0.0;51990.5;579.7
NA;102.7;0.0;52699.0;708.5
NA;102.0;0.0;53448.0;749.0
NA;101.1;0.0;53906.2;458.1
NA;100.9;0.0;54235.6;329.5
NA;101.1;0.0;54328.9;93.3
NA;97.5;0.0;54572.7;243.7
NA;96.3;0.0;55048.5;475.8
NA;96.0;0.0;55453.3;404.9
NA;96.4;0.0;55792.9;339.5
NA;98.7;0.0;56045.9;253.1
NA;100.5;0.0;56136.5;90.6
NA;101.5;0.0;56301.3;164.8
NA;101.3;0.0;56394.6;93.3
NA;101.2;0.0;56631.0;236.4
NA;100.2;0.0;57061.7;430.7
NA;100.0;0.0;57220.2;158.5
NA;101.7;0.0;57470.3;250.1
NA;102.7;0.0;57821.8;351.5
NA;103.5;0.0;58516.5;694.7
NA;104.1;0.0;58939.6;423.1
NA;103.6;0.0;59033.0;93.4
NA;103.0;0.0;59599.2;566.2
NA;102.8;0.0;60301.7;702.5
NA;101.6;0.0;60566.9;265.1
NA;99.8;0.0;61402.2;835.3
NA;100.0;0.0;61882.2;480.0
NA;99.0;0.0;62541.8;659.6
NA;99.0;0.0;63075.0;533.2
NA;100.1;0.0;63377.2;302.2
NA;96.1;0.0;63865.2;488.0
NA;94.5;0.0;64392.1;526.9
NA;96.2;0.0;64485.5;93.4
NA;96.2;0.0;64828.3;342.8
NA;98.9;0.0;66026.3;1198.0
NA;99.7;0.0;67004.4;978.1
NA;96.9;0.0;67907.2;902.8
NA;94.5;0.0;68330.4;423.3
NA;92.9;0.0;68503.0;172.5
NA;92.0;0.0;68584.7;81.7
NA;91.7;0.0;68767.3;182.7
NA;92.0;0.0;68954.2;186.8
NA;92.0;0.0;69163.0;208.9
NA;91.2;0.0;69598.3;435.2
NA;91.7;0.0;70314.7;716.4
NA;92.2;0.0;70541.2;226.5
NA;95.2;0.0;70927.0;385.8
NA;98.2;0.0;71528.9;601.9
NA;100.0;0.0;72145.1;616.2
NA;102.9;0.0;72834.0;688.9
NA;103.7;0.0;73364.2;530.2
NA;102.9;0.0;73622.4;258.2
NA;97.7;0.0;73902.6;280.1
NA;90.1;0.0;74038.5;135.9
NA;80.8;0.0;74415.4;376.9
NA;77.3;0.0;74506.0;90.6
NA;77.2;0.0;75153.8;647.8
NA;78.4;0.0;75443.8;290.1
NA;89.4;0.0;75982.2;538.4
NA;95.6;0.0;76662.1;679.9
NA;102.1;0.0;77543.0;880.9
NA;109.7;0.0;77927.3;384.3
NA;111.8;0.0;78332.6;405.3
NA;116.6;0.0;78774.7;442.2
NA;122.0;0.0;79396.5;621.8
NA;125.5;0.0;79948.6;552.1
NA;126.5;0.0;80417.8;469.1
NA;126.3;0.0;81106.4;688.7
NA;122.7;0.0;81480.2;373.8
NA;119.6;0.0;81794.7;314.5
NA;116.5;0.0;82217.7;423.0
NA;113.8;0.0;82706.5;488.9
NA;116.7;0.0;83114.2;407.7
NA;118.2;0.0;83623.0;508.8
NA;121.8;0.0;86504.5;2881.6
NA;122.6;0.0;88011.4;1506.9
NA;121.2;0.0;90389.9;2378.4
NA;121.9;0.0;91348.5;958.6
NA;119.2;0.0;91929.1;580.7
NA;119.4;0.0;92440.1;510.9
NA;118.8;0.0;92858.5;418.4
NA;117.5;0.0;93137.7;279.2
NA;117.0;0.0;94147.0;1009.3
NA;116.0;0.0;95545.3;1398.2
NA;113.4;0.0;96458.9;913.6
NA;111.5;0.0;96611.5;152.6
NA;112.3;0.0;97054.5;443.0
NA;113.5;0.0;97421.1;366.6
NA;117.2;0.0;97766.9;345.8
NA;121.4;0.0;98135.7;368.8
NA;126.2;0.0;98565.1;429.4
NA;130.4;0.0;98966.2;401.1
NA;132.9;0.0;99148.4;182.1
NA;135.6;0.0;99377.1;228.7
NA;136.6;0.0;99966.1;589.0
NA;136.2;0.0;100279.8;313.8
NA;135.1;0.0;100650.2;370.4
NA;132.1;0.0;100867.4;217.2
NA;127.7;0.0;101014.6;147.2
NA;127.5;0.0;101865.8;851.2
NA;127.4;0.0;102280.0;414.2
NA;128.3;0.0;102891.9;611.9
NA;129.6;0.0;103261.6;369.7
NA;128.2;0.0;103828.4;566.8
NA;127.0;0.0;104020.3;191.9
NA;125.8;0.0;104439.0;418.8
NA;124.6;0.0;104742.7;303.6
NA;123.6;0.0;105265.4;522.7
NA;124.2;0.0;105531.0;265.6
NA;127.0;0.0;105824.5;293.6
NA;129.6;0.0;106602.6;778.1
NA;132.8;0.0;107295.3;692.7
NA;132.3;0.0;107820.3;525.0
NA;128.7;0.0;108216.7;396.4
NA;123.2;0.0;108713.7;497.0
NA;117.7;0.0;109263.3;549.6
NA;115.3;0.0;109682.1;418.9
NA;113.2;0.0;111030.6;1348.4
NA;112.8;0.0;111470.7;440.2
NA;111.0;0.0;111699.2;228.4
NA;110.0;0.0;111933.9;234.8
NA;112.6;0.0;112244.3;310.4
NA;114.5;0.0;112797.1;552.8
NA;116.9;0.0;113065.3;268.2
NA;120.2;0.0;113540.3;475.0
NA;120.2;0.0;113844.0;303.7
NA;122.8;0.0;114116.8;272.8
NA;123.0;0.0;114691.5;574.7
NA;123.8;0.0;115340.7;649.2
NA;124.3;0.0;115799.8;459.1
NA;123.4;0.0;116268.8;468.9
NA;125.3;0.0;116497.0;228.3
NA;124.9;0.0;116752.6;255.6
NA;124.7;0.0;117040.0;287.4
NA;124.8;0.0;117206.5;166.4
NA;125.1;0.0;117423.0;216.5
NA;125.0;0.0;117434.3;11.3
NA;125.4;0.0;117747.7;313.4
NA;125.5;0.0;117863.7;116.0
NA;124.5;0.0;118277.5;413.8
NA;124.4;0.0;118548.5;271.0
NA;123.5;0.0;118720.5;172.0
NA;123.1;0.0;118977.5;257.0
NA;124.3;0.0;119103.5;126.0
NA;125.2;0.0;119535.0;431.5
NA;124.0;0.0;120281.2;746.2
NA;122.1;0.0;120559.5;278.3
NA;119.6;0.0;120734.4;174.9
NA;117.7;0.0;120878.7;144.3
NA;117.3;0.0;120991.4;112.7
NA;117.2;0.0;121234.6;243.2
NA;116.8;0.0;121505.2;270.6
NA;115.0;0.0;121629.7;124.4
NA;116.0;0.0;121826.4;196.7
NA;118.5;0.0;122026.0;199.6
NA;119.7;0.0;122209.4;183.4
NA;122.1;0.0;122622.5;413.1
NA;122.1;0.0;122929.9;307.4
NA;121.4;0.0;123363.3;433.4
NA;122.5;0.0;123541.4;178.1
NA;122.8;0.0;123659.0;117.6
NA;119.2;0.0;123812.1;153.2
NA;115.2;0.0;124183.9;371.8
NA;112.5;0.0;124487.1;303.2
NA;108.7;0.0;125023.4;536.3
NA;107.9;0.0;125410.8;387.4
NA;105.9;0.0;125652.5;241.7
NA;106.6;0.0;125869.0;216.5
NA;107.4;0.0;126386.9;517.9
NA;110.2;0.0;126432.0;45.0
NA;111.4;0.0;126710.0;278.0
NA;107.1;0.0;126909.1;199.1
NA;105.4;0.0;127001.9;92.8
NA;105.8;0.0;127407.6;405.8
NA;108.6;0.0;127639.6;232.0
NA;112.2;0.0;127780.6;141.0
NA;113.7;0.0;128506.5;725.9
NA;113.2;0.0;128803.6;297.1
NA;113.0;0.0;129312.4;508.8
NA;112.7;0.0;129449.7;137.3
NA;112.2;0.0;129564.5;114.7
NA;115.8;0.0;129823.5;259.0
NA;114.5;0.0;131581.6;1758.1
NA;113.7;0.0;132635.1;1053.5
NA;112.1;0.0;133501.6;866.5
NA;106.6;0.0;134953.1;1451.5
NA;105.5;0.0;135508.6;555.5
NA;106.1;0.0;136107.2;598.6
NA;107.2;0.0;137154.7;1047.5
NA;107.4;0.0;137817.4;662.7
NA;109.3;0.0;138647.2;829.8
NA;108.8;0.0;140059.8;1412.7
NA;111.9;0.0;141727.3;1667.5
NA;113.2;0.0;143141.0;1413.6
NA;111.3;0.0;144070.5;929.5
NA;113.8;0.0;144856.1;785.7
NA;111.4;0.0;145806.7;950.6
NA;110.8;0.0;146924.3;1117.6
NA;113.2;0.0;147261.1;336.8
NA;106.4;0.0;147481.5;220.4
NA;101.4;0.0;149269.0;1787.5
NA;93.9;0.0;150494.2;1225.2
NA;84.6;0.0;151554.1;1059.9
NA;82.3;0.0;151814.7;260.6
NA;80.2;0.0;152043.0;228.3
NA;80.8;0.0;152230.9;188.0
NA;83.2;0.0;152507.6;276.6
NA;84.5;0.0;152876.2;368.7
NA;85.1;0.0;152965.7;89.5
NA;85.5;0.0;153067.3;101.6
NA;85.0;0.0;153249.4;182.0
NA;84.4;0.0;153371.6;122.2
NA;83.9;0.0;153509.1;137.6
NA;83.5;0.0;153743.2;234.1
NA;82.8;0.0;153877.0;133.8
NA;82.2;0.0;153933.8;56.9
NA;82.4;0.0;154030.8;96.9
NA;83.3;0.0;154193.2;162.4
NA;83.6;0.0;154342.1;148.9
