daytime;ele;speed;dist;stagedist
NA;84.0;0.0;0.0
NA;83.3;0.0;197.4;197.4
NA;83.1;0.0;385.3;187.9
NA;83.3;0.0;727.5;342.2
NA;83.4;0.0;1025.7;298.2
NA;84.2;0.0;1119.9;94.3
NA;85.0;0.0;1221.2;101.3
NA;85.4;0.0;1396.1;174.9
NA;84.7;0.0;1506.2;110.1
NA;83.7;0.0;2007.2;500.9
NA;82.1;0.0;2319.4;312.2
NA;79.2;0.0;2443.5;124.2
NA;79.1;0.0;2619.3;175.7
NA;78.4;0.0;2854.9;235.7
NA;77.9;0.0;3026.4;171.5
NA;79.0;0.0;3271.5;245.1
NA;79.6;0.0;3817.2;545.6
NA;78.9;0.0;4248.2;431.1
NA;76.0;0.0;6371.5;2123.3
NA;73.3;0.0;8940.6;2569.1
NA;70.2;0.0;9130.5;189.9
NA;71.1;0.0;9837.9;707.4
NA;74.8;0.0;10852.0;1014.1
NA;77.7;0.0;11801.4;949.4
NA;81.8;0.0;12757.5;956.1
NA;86.2;0.0;13047.0;289.4
NA;91.5;0.0;13445.1;398.2
NA;97.5;0.0;15225.4;1780.3
NA;101.0;0.0;15672.6;447.2
NA;99.8;0.0;16216.3;543.8
NA;96.8;0.0;16619.0;402.6
NA;94.3;0.0;16922.3;303.4
NA;93.1;0.0;17294.3;372.0
NA;94.6;0.0;17493.6;199.3
NA;96.9;0.0;17605.2;111.5
NA;99.2;0.0;17786.9;181.7
NA;101.5;0.0;18245.5;458.6
NA;103.4;0.0;18495.7;250.2
NA;105.5;0.0;18663.2;167.5
NA;106.2;0.0;18814.8;151.6
NA;106.7;0.0;19089.9;275.1
NA;108.5;0.0;19442.0;352.1
NA;110.0;0.0;19667.5;225.4
NA;113.9;0.0;19922.5;255.0
NA;117.4;0.0;19954.4;31.9
NA;118.3;0.0;20436.3;481.9
NA;117.7;0.0;20699.3;262.9
NA;116.4;0.0;21257.5;558.3
NA;111.4;0.0;21641.5;384.0
NA;107.0;0.0;21934.7;293.1
NA;105.0;0.0;22209.0;274.3
NA;102.1;0.0;22550.3;341.3
NA;103.8;0.0;22956.8;406.5
NA;106.0;0.0;23564.1;607.2
NA;105.7;0.0;23970.6;406.6
NA;103.2;0.0;24370.3;399.6
NA;100.5;0.0;24641.9;271.6
NA;96.9;0.0;25065.6;423.7
NA;92.5;0.0;25443.7;378.1
NA;89.8;0.0;25647.9;204.2
NA;87.7;0.0;25849.6;201.7
NA;86.6;0.0;25930.9;81.3
NA;86.8;0.0;26090.4;159.5
NA;87.1;0.0;26254.6;164.2
NA;85.8;0.0;26568.7;314.1
NA;84.2;0.0;27960.0;1391.3
NA;85.6;0.0;28366.6;406.7
NA;88.0;0.0;29136.6;770.0
NA;91.1;0.0;29843.0;706.3
NA;92.9;0.0;30199.7;356.8
NA;92.6;0.0;30425.4;225.7
NA;91.3;0.0;30647.7;222.3
NA;88.8;0.0;30950.4;302.8
NA;87.8;0.0;31357.3;406.9
NA;85.7;0.0;31788.5;431.2
NA;82.3;0.0;32210.2;421.7
NA;80.0;0.0;32785.7;575.5
NA;78.5;0.0;33371.4;585.7
NA;78.1;0.0;34102.7;731.3
NA;79.4;0.0;35699.4;1596.6
NA;80.7;0.0;36215.3;515.9
NA;81.2;0.0;36352.6;137.4
NA;81.1;0.0;36488.1;135.5
NA;81.1;0.0;36845.2;357.0
NA;81.7;0.0;37072.1;226.9
NA;81.9;0.0;37252.7;180.6
NA;83.1;0.0;37343.1;90.3
NA;84.5;0.0;37536.0;192.9
NA;85.4;0.0;37708.0;172.0
NA;88.1;0.0;37739.9;31.9
NA;88.5;0.0;38113.7;373.8
NA;88.7;0.0;38674.8;561.0
NA;89.1;0.0;39252.0;577.2
NA;85.9;0.0;39619.7;367.7
NA;85.4;0.0;40297.4;677.7
NA;84.5;0.0;40425.2;127.8
NA;82.7;0.0;40995.4;570.2
