cat;sex;fid;cntry1;name1;winner;name2;cntry2;score1;score2;time;round;comment;ippon;idr
48;F;2;MAW;BONFACE=Harriet;R;GILIAZOVA=Sabina; RUS;0= █;1 1 0=;02:13;Round 1;;1;r1
52;F;67;RUS;KUZIUTINA=Natalia;R;ABE=Uta; JPN;0=;1 0 0=;00:29;Final;;1;r8
52;F;66;JPN;SHISHIME=Ai;L;BUCHARD=Amandine; FRA;1 1 0= █;0= █;03:41;Bronze;;1;r8
52;F;65;POR;RAMOS=Joana;R;KELMENDI=Majlinda; KOS;0= █ █;0= █;02:29;Bronze;;0;r8
52;F;64;JPN;ABE=Uta;L;KELMENDI=Majlinda; KOS;1 0 0= █ █;0= █ █;07:15;Semi-Final;;1;r7
52;F;63;FRA;BUCHARD=Amandine;R;KUZIUTINA=Natalia; RUS;0= █;1 0= █;05:16;Semi-Final;;0;r7
52;F;62;GBR;GILES=Chelsie;R;SHISHIME=Ai; JPN;0= █ █;1 0= █;08:37;Repechage;;0;r5
52;F;61;POR;RAMOS=Joana;L;VAN SNICK=Charline; BEL;0= █ █;0= █ █;09:38;Repechage;;0;r5
52;F;60;JPN;SHISHIME=Ai;R;KELMENDI=Majlinda; KOS;0= █ █;0= █;03:49;Quarter-Final;;0;r6
52;F;59;JPN;ABE=Uta;L;GILES=Chelsie; GBR;1 0=;0= █;04:00;Quarter-Final;;0;r6
52;F;58;BEL;VAN SNICK=Charline;R;KUZIUTINA=Natalia; RUS;0= █ █;0= █;04:34;Quarter-Final;;0;r6
52;F;57;FRA;BUCHARD=Amandine;L;RAMOS=Joana; POR;1 0 0=;0= █;01:14;Quarter-Final;;1;r6
52;F;56;KOS;KELMENDI=Majlinda;L;PERENC=Agata; POL;1 0= █;0=;04:00;Round 3;;0;r3
52;F;55;JPN;SHISHIME=Ai;L;PUPP=Reka; HUN;1 0=;0= █;04:00;Round 3;;0;r3
52;F;54;SUI;TSCHOPP=Evelyne;R;GILES=Chelsie; GBR;0=;1 1 0=;00:22;Round 3;;1;r3
52;F;53;JPN;ABE=Uta;L;KELDIYOROVA=Diyora; UZB;1 0 0=;0= █ █;02:56;Round 3;;1;r3
52;F;52;RUS;KUZIUTINA=Natalia;L;GIUFFRIDA=Odette; ITA;1 0=;0= █;05:01;Round 3;;0;r3
52;F;51;BEL;VAN SNICK=Charline;L;LIU=Liping; CHN;1 1 0= █;0= █;03:49;Round 3;;1;r3
52;F;50;ESP;PEREZ BOX=Ana;R;RAMOS=Joana; POR;0= █;1 0= █ █;04:00;Round 3;;0;r3
52;F;49;FRA;BUCHARD=Amandine;L;NGUYEN=Thuy; VIE;1 1 0=;0=;02:05;Round 3;;1;r3
52;F;48;AUS;EASTON=Tinka;R;PERENC=Agata; POL;0=;1 0=;04:00;Round 2;;0;r2
52;F;47;KOS;KELMENDI=Majlinda;L;OLVERA=Luz; MEX;1 0 0=;0=;02:29;Round 2;;1;r2
52;F;46;KOR;PARK=Da Sol;R;PUPP=Reka; HUN;0=;1 0= █ █;04:00;Round 2;;0;r2
52;F;45;JPN;SHISHIME=Ai;L;RYHEUL=Amber; BEL;1 1 0=;0=;02:24;Round 2;;1;r2
52;F;44;GBR;GILES=Chelsie;L;BISHRELT=Khorloodoi; MGL;1 1 0=;0=;02:11;Round 2;;1;r2
52;F;43;SUI;TSCHOPP=Evelyne;L;LOPEZ SHERIFF=Estrella; ESP;1 0=;0=;04:00;Round 2;;0;r2
52;F;42;AZE;MAMMADALIYEVA=Gultaj;R;KELDIYOROVA=Diyora; UZB;0= █;1 1 0=;01:02;Round 2;;1;r2
52;F;41;JPN;ABE=Uta;L;PIMENTA=Larissa; BRA;1 1 0= █;0= █;01:35;Round 2;;1;r2
52;F;40;MGL;LKHAGVASUREN=Sosorbaram;R;GIUFFRIDA=Odette; ITA;0= █ █;1 0 0=;05:19;Round 2;;1;r2
52;F;39;RUS;KUZIUTINA=Natalia;L;FLORIAN=Alexandra-Larisa; AZE;1 0 0= █;0= █;03:31;Round 2;;1;r2
