TABLE 23;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;1999;;2000;;2001;;2002;2003e;
New Caledonia ;;--;e;100;e;93; ;100;100;
New Zealand;;1,030;r;1,070;r;1,080;r;1,090;1,100;
Nicaragua;;350; ;360;e;514;r;513;513;
Nigere ;;30; ;40; ;40;;55;55;
Nigeriae;;2,500; ;2,500; ;2,400;r;2,100;2,100;
Norway;;1,827; ;1,851; ;1,870;e;1,850;1,860;
Oman;;1,217; ;1,238; ;1,370; ;1,400;1,400;
Pakistane ;;9,600; ;9,900; ;9,900; ;9,900;10,000;
Panamae;;760;4;760; ;760; ;760;770;
Paraguay;;730; ;650; ;650; ;650;650;
Peru ;;3,799;;3,906; ;3,950; ;5,654;5,998;
Philippines ;;12,556;;11,959; ;8,653; ;12,614;10,000;
Poland;;15,555; ;15,046; ;11,918; ;11,700;12,000;
Portugal  ;;10,147; ;10,343; ;10,300;e;10,000;10,000;
Qatare;;1,025;4;1,210;r;1,300;r;1,350;1,400;
Réunione;;380;4;380;r;380;r;380;380;
Romania;;6,252; ;6,058; ;5,668; ;5,680;5,700;
Russia ;;28,400; ;32,400; ;35,300; ;37,700;41,000;
Rwanda  ;;66; ;71; ;91;r;101;115;
Saudi Arabia;;16,313; ;18,107; ;20,608; ;22,000;23,000;
Senegale ;;1,000; ;1,000; ;1,000;;2,150;2,150;
Serbia and Montenegro ;;1,575; ;2,117; ;2,418; ;2,396;200;
See footnotes at end of table.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TABLE 23--Continued;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;; ;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;1999;;2000;;2001;;2002;2003e;
Sierra Leone;;45;r;73;r;113;r;144;170;
Singapore;;1,660; ;1,150; ;600;e;200;150;
Slovakia  ;;4,718; ;3,045; ;3,123; ;3,100;3,100;
Sloveniae  ;;1,224;4;1,300; ;1,300; ;1,250;1,250;
South Africa, sales6;;8,068; ;7,971; ;8,036; ;8,525;8,883;
Spain, including Canary Islands;;35,782; ;38,115; ;40,512; ;42,500;42,000;
