nrk;teryt;nro;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw;lwug15;lkw15;lkwzu15;lgnw15;lgw15;freq15;pgnw15;dup.addr
4426;87121;300404;4;Dom Strażaka 63-830 Siedlec 9;1094;212;212;16;196;19.38;7.55;1085;497;497;32;465;45.81;6.44;Dom Strażaka|Siedlec| 9 |63-830 Pępowo
4429;87124;300405;3;Budynek Starej Szkoły w Piaskach 63-820 Piaski ul. Dworcowa 3;1341;181;181;14;167;13.5;7.73;1348;530;530;37;493;39.32;6.98;Zespół Szkół w Piaskach|Piaski|ul. Drzęczewska 9 |63-820 Piaski
4438;87132;300407;1;Szkoła Podstawowa w Poniecu 64-125 Poniec ul. Szkolna 8;2372;369;369;27;342;15.56;7.32;2327;1036;1036;72;964;44.52;6.95;Szkoła Podstawowa w Poniecu|Poniec|ul. Szkolna 8 |64-125 Poniec
4439;87133;300407;2;Gminne Centrum Kultury Sportu Turystyki i Rekreacji w Poniecu 64-125 Poniec ul. Szkolna 3;1694;162;162;12;150;9.56;7.41;1668;509;509;36;473;30.52;7.07;Gminne Centrum Kultury Sportu Turystyki i Rekreacji w Poniecu|Poniec|ul. Szkolna 3 |64-125 Poniec
4442;87136;300407;5;Wiejski Dom Kultury w Łęce Wielkiej 63-805 Łęka Wielka 59;685;75;75;7;68;10.95;9.33;667;180;180;16;164;26.99;8.89;Wiejski Dom Kultury w Łęce Wielkiej|Łęka Wielka| 59 |63-805 Łęka Mała
4445;87139;300501;3;Szkoła Podstawowa 62-066 Bielawy;456;98;98;10;88;21.49;10.2;457;167;167;11;156;36.54;6.59;Szkoła Podstawowa|Bielawy| |62-066 Granowo
4456;91633;300502;10;Samodzielny Publiczny Zakład Opieki Zdrowotnej Oddział Chirurgiczny 62-065 Grodzisk Wielkopolski ul. Mossego 3;77;24;24;7;17;31.17;29.17;54;24;24;3;21;44.44;12.5;Samodzielny Publiczny Zakład Opieki Zdrowotnej|Grodzisk Wielkopolski|ul. Mossego 3 |62-065 Grodzisk Wielkopolski
4461;87154;300503;5;Szkoła Podstawowa 64-061 Parzęczewo 25;1009;171;171;16;155;16.95;9.36;1037;457;457;34;423;44.07;7.44;Szkoła Podstawowa|Parzęczewo| 25 |64-061 Kamieniec
4475;87168;300601;3;Urząd Gminy 63-233 Jaraczewo ul.Jarocińska 1;1608;226;226;20;206;14.05;8.85;1591;690;690;65;625;43.37;9.42;Urząd Gminy|Jaraczewo|ul.Jarocińska 1 |63-233 Jaraczewo
4477;87170;300601;5;Zespół Szkół 63-233 Rusko ul.Szkolna 29;1149;154;154;15;139;13.4;9.74;1127;465;465;29;436;41.26;6.24;Zespół Szkół|Rusko|ul.Szkolna 29 |63-233 Jaraczewo
