nrk;teryt;nro;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw;lwug15;lkw15;lkwzu15;lgnw15;lgw15;freq15;pgnw15;dup.addr
4986;87657;301506;7;Szkoła Podstawowa im. Powstańców Wlkp. 64-360 Łomnica 40;621;103;103;13;90;16.59;12.62;623;291;291;24;267;46.71;8.25;Szkoła Podstawowa im. Powstańców Wlkp. w Łomnicy|Łomnica| 40 |64-360 Zbąszyń
5020;87689;301602;7;DOM KATECHETYCZNY im. Św. JANA BOSKO 64-610 Pruśce ul. Kościelna 10;1337;224;224;21;203;16.75;9.38;1352;506;506;38;468;37.43;7.51;DOM KATECHETYCZNY im. Św. JANA BOSKO|Rogoźno|ul. Kościelna 10 |64-610 Rogoźno
5026;87695;301602;13;ZESPÓŁ SZKÓŁ 64-610 Gościejewo 14;779;105;105;11;94;13.48;10.48;795;277;277;19;258;34.84;6.86;ZESPÓŁ SZKÓŁ|Gościejewo| 14 |64-610 Rogoźno
5032;87701;301603;6;Świetlica wiejska 64-603 Lipa;704;76;76;11;65;10.8;14.47;724;214;214;13;201;29.56;6.07;Świetlica wiejska|Lipa| |64-603 Ludomy
5093;87759;301703;9;Szkoła Podstawowa 63-430 Garki 4;1069;171;171;14;157;16;8.19;1090;423;423;35;388;38.81;8.27;Szkoła Podstawowa|Garki| 4 |63-430 Odolanów
5098;87764;301703;14;Szkoła Podstawowa 63-430 Nabyszyce 12;513;115;115;10;105;22.42;8.7;518;250;250;22;228;48.26;8.8;Szkoła Podstawowa|Nabyszyce| 12 |63-430 Odolanów
5111;87777;301704;11;Zespół Szkół w Sobótce 63-450 Sobótka 72;1274;160;160;10;150;12.56;6.25;1256;497;497;42;455;39.57;8.45;Zespół Szkół w Sobótce|Sobótka| 72 |63-450 Ostrów Wielkopolski
5124;87790;301706;3;Świetlica Wiejska 63-440 Ligota ul.Krotoszyńska 2;1604;142;142;13;129;8.85;9.15;1575;546;546;45;501;34.67;8.24;Świetlica Wiejska|Ligota|ul. Krotoszyńska 2 |63-440 Raszków
5138;87803;301708;2;Szkoła Podstawowa 63-435 Bogdaj 15;496;83;83;5;78;16.73;6.02;496;200;200;13;187;40.32;6.5;Szkoła Podstawowa|Bogdaj| 15 |63-435 Sośnie
5139;87804;301708;3;Zespół Szkół w Cieszynie 63-435 Cieszyn ul. Kościelna 17;857;122;122;11;111;14.24;9.02;860;325;325;22;303;37.79;6.77;Zespół Szkół w Cieszynie|Cieszyn|ul. Kościelna 17 |63-435 Sośnie
5140;87805;301708;4;Zespół Szkół w Pawłowie 63-435 Pawłów 3;407;48;48;6;42;11.79;12.5;410;128;128;10;118;31.22;7.81;Zespół Szkół w Pawłowie|Pawłów| 3 |63-435 Sośnie
5162;87827;301804;4;budynek komunalny 63-507 Rybin 11;133;27;27;4;23;20.3;14.81;127;37;37;4;33;29.13;10.81;budynek komunalny|Rybin| 11 |63-507 Kobyla Góra
5165;87830;301804;7;budynek komunalny 63-507 Bierzów 52;277;54;54;4;50;19.49;7.41;281;115;115;7;108;40.93;6.09;budynek komunalny|Bierzów| 52 |63-507 Kobyla Góra
5169;87834;301804;11;budynek komunalny 63-507 Marcinki 54;184;47;47;4;43;25.54;8.51;176;89;89;10;79;50.57;11.24;budynek komunalny|Marcinki| 54 |63-507 Kobyla Góra
5191;87855;301807;11;Przedszkole Publiczne 63-500 Rogaszyce 22;670;120;120;11;109;17.91;9.17;662;261;261;19;242;39.43;7.28;Przedszkole Publiczne|Rogaszyce| 22 |63-500 Ostrzeszów
5243;87903;301902;4;Szkoła Podstawowa 89-340 Nieżychowo 16;582;80;80;11;69;13.75;13.75;576;227;227;14;213;39.41;6.17;Szkoła Podstawowa|Nieżychowo| 16 |89-340 Białośliwie
5250;87910;301904;1;Gimnazjum Publiczne 89-310 Łobżenica ul.Adama Mickiewicza 20A;1535;273;273;27;246;17.79;9.89;1547;634;634;47;587;40.98;7.41;Gimnazjum Publiczne|Łobżenica|ul.Adama Mickiewicza 20a |89-310 Łobżenica
5253;87913;301904;4;Szkoła Podstawowa 89-310 Fanianowo 29;1115;154;154;18;136;13.81;11.69;1093;364;364;37;327;33.3;10.16;Szkoła Podstawowa|Fanianowo| 29 |89-310 Łobżenica
5254;87914;301904;5;Szkoła Podstawowa 89-310 Dźwierszno Małe 8;1425;201;201;13;188;14.11;6.47;1410;510;510;36;474;36.17;7.06;Szkoła Podstawowa|Dźwierszno Małe| 8 |89-310 Łobżenica
5268;87928;301907;3;Szkoła Podstawowa w Nowej Wsi Ujskiej - budynek w Mirosławiu 64-850 Mirosław 22;461;85;85;7;78;18.44;8.24;457;205;205;17;188;44.86;8.29;Szkoła Podstawowa w Nowej Wsi Ujskiej - budynek w Mirosławiu|Mirosław| 22 |64-850 Ujście
5269;87929;301907;4;Świetlica wiejska w Jabłonowie 64-850 Jabłonowo 50;412;46;46;4;42;11.17;8.7;414;136;136;10;126;32.85;7.35;Świetlica wiejska w Jabłonowie|Jabłonowo| 50 |64-850 Ujście
5270;87930;301907;5;Wiejski Dom Kultury w Kruszewie 64-850 Kruszewo Parkowa 2;823;166;166;13;153;20.17;7.83;820;367;367;27;340;44.76;7.36;Wiejski Dom Kultury w Kruszewie|Kruszewo|Parkowa 2 |64-850 Ujście
5273;87933;301907;8;Świetlica środowiskowa w Ługach Ujskich 64-850 Ługi Ujskie 69;449;94;94;9;85;20.94;9.57;460;196;196;13;183;42.61;6.63;Świetlica środowiskowa w Ługach Ujskich|Ługi Ujskie| 69 |64-850 Ujście
5279;87939;301908;6;Szkoła Podstawowa 89-311 Falmierowo 29;657;94;94;10;84;14.31;10.64;668;227;227;15;212;33.98;6.61;Szkoła Podstawowa|Falmierowo| 29 |89-311 Falmierowo
5300;87959;302003;5;Sala wiejska 63-330 Fabianów ul.Przemysłowa 4 a;733;135;135;13;122;18.42;9.63;722;353;353;29;324;48.89;8.22;Sala wiejska|Fabianów|ul.Przemysłowa 4a |63-330 Dobrzyca
5314;87972;302005;6;Szkoła Podstawowa w Kucharkach 63-322 Kucharki 39;1349;189;189;13;176;14.01;6.88;1365;514;515;32;482;37.66;6.23;Szkoła Podstawowa w Kucharkach|Kucharki| 39 |63-322 Gołuchów
5315;87973;302005;7;Dom Strażaka w Krzywosądowie 63-322 Krzywosądów 43B;465;56;56;5;51;12.04;8.93;456;174;174;16;158;38.16;9.2;Dom Strażaka w Krzywosądowie|Krzywosądów| 43B |63-322 Gołuchów
5327;87985;302006;12;Przedszkole w Brzeziu 63-300 Brzezie ul. Stawiszyńska 3;538;84;84;7;77;15.61;8.33;533;234;234;18;216;43.9;7.69;Wiejski Dom Kultury w Brzeziu|Brzezie|ul. Stawiszyńska 1 |63-300 Pleszew
5342;91669;302006;27;Pleszewskie Centrum Medyczne Sp. z o.o. w Pleszewie 63-300 Pleszew ul. Poznańska 125A;167;28;28;3;25;16.77;10.71;151;46;46;5;41;30.46;10.87;Pleszewskie Centrum Medyczne Sp. z o. o. w Pleszewie|Pleszew|ul. Poznańska 125A |63-300 Pleszew
5376;88031;302103;5;Szkoła Podstawowa 64-320 Szewce ul. Bukowska 151;1064;167;167;21;146;15.7;12.57;1069;446;446;33;413;41.72;7.4;Szkoła Podstawowa|Szewce|ul. Bukowska 151 |64-320 Buk
5433;88084;302108;2;Zespół Szkół 62-025 Iwno ul. Szkolna 11;919;154;154;15;139;16.76;9.74;919;375;375;25;350;40.81;6.67;Zespół Szkół|Iwno|ul. Szkolna 11 |62-025 Kostrzyn
5478;91675;302110;22;Szpital 62-050 Ludwikowo ul. Leśna 6;148;38;38;4;34;25.68;10.53;144;85;85;8;77;59.03;9.41;Szpital w Ludwikowie|Ludwikowo|Leśna 1 |62-050 Mosina
5514;88163;302114;6;Szkoła Podstawowa 62-060 Modrze ul. Kościuszki 14;1107;161;161;21;140;14.54;13.04;1091;436;436;31;405;39.96;7.11;Szkoła Podstawowa|Modrze|ul. Kościuszki 14 |62-060 Stęszew
5562;88211;302201;4;Szkoła Podstawowa 63-940 Golina Wielka 65A;1297;145;145;10;135;11.18;6.9;1272;455;455;34;421;35.77;7.47;Szkoła Podstawowa|Golina Wielka| 65A |63-940 Bojanowo
5571;88219;302203;2;Ośrodek Kultury, Sportu i Aktywności Lokalnej 63-910 Miejska Górka ul. Jana Pawła II 6;1344;276;276;29;247;20.54;10.51;1326;657;657;40;617;49.55;6.09;Ośrodek Kultury, Sportu i Aktywności Lokalnej|Miejska Górka|ul. Jana Pawła II 6 |63-910 Miejska Górka
5573;88221;302203;4;Szkoła Podstawowa 63-910 Sobiałkowo 95;866;140;140;16;124;16.17;11.43;851;321;321;27;294;37.72;8.41;Szkoła Podstawowa|Sobiałkowo| 95 |63-910 Miejska Górka
5574;88222;302203;5;Zespół Szkół 63-910 Dłoń 53;1026;108;108;7;101;10.53;6.48;1012;333;333;22;311;32.91;6.61;Zespół Szkół|Dłoń| 53 |63-910 Miejska Górka
5575;88223;302203;6;Ośrodek Kultury, Sportu i Aktywności Lokalnej 63-910 Miejska Górka ul. Jana Pawła II 6;1916;264;264;20;244;13.78;7.58;1907;744;744;52;692;39.01;6.99;Ośrodek Kultury, Sportu i Aktywności Lokalnej|Miejska Górka|ul. Jana Pawła II 6 |63-910 Miejska Górka
5617;88261;302303;3;Świetlica Wiejska 62-436 Osówiec 10A;313;58;58;13;45;18.53;22.41;315;111;111;11;100;35.24;9.91;Świetlica Wiejska w Osówcu|Osówiec| 10A |62-436 Orchowo
5644;88287;302308;5;Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu 62-410 Łukom 2;1262;132;132;15;117;10.46;11.36;1262;416;416;29;387;32.96;6.97;Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu|Łukom| 2 |62-410 Zagórów
5649;88291;302402;3;Świetlica Wiejska 64-541 Podrzewie ul.Stawna 3;1689;274;274;18;256;16.22;6.57;1679;727;727;74;653;43.3;10.18;Świetlica Wiejska w Podrzewiu|Podrzewie|ul.Stawna 3 |64-541 Podrzewie
5654;88296;302403;3;Szkoła Podstawowa 64-530 Sokolniki Wielkie 8;711;99;99;6;93;13.92;6.06;704;274;274;18;256;38.92;6.57;Szkoła Podstawowa|Sokolniki Wielkie| 8 |64-530 Kaźmierz
5664;88306;302406;3;Szkoła Podstawowa 62-045 Chełmno 26;525;61;61;6;55;11.62;9.84;528;186;186;14;172;35.23;7.53;Szkoła Podstawowa|Chełmno| 26 |62-045 Pniewy
5665;88307;302406;4;Szkoła Podstawowa 62-045 Nojewo 41;1263;177;177;17;160;14.01;9.6;1251;535;535;48;487;42.77;8.97;Szkoła Podstawowa|Nojewo| 41 |62-045 Pniewy
5666;88308;302406;5;Świetlica wiejska 62-045 Dębina 12;621;67;67;10;57;10.79;14.93;618;194;194;15;179;31.39;7.73;Świetlica wiejska|Dębina| 12 |62-045 Pniewy
5688;88328;302408;2;Szkoła Podstawowa Nr 1 64-510 Wronki ul. Mickiewicza 5;1062;188;188;14;174;17.7;7.45;1052;469;469;29;440;44.58;6.18;Szkoła Podstawowa Nr 1|Wronki|ul. Mickiewicza 5 |64-510 Wronki
5700;88339;302501;1;Szkoła Podstawowa 63-012 Dominowo ul.Centralna 3;1045;230;230;20;210;22.01;8.7;1057;478;478;36;442;45.22;7.53;Szkoła Podstawowa|Dominowo|ul.Centralna 3 |63-012 Dominowo
5706;88345;302502;4;Szkoła Podstawowa w Murzynowie Leśnym 63-023 Murzynowo Leśne ul. Poznańska 74;1038;127;127;10;117;12.24;7.87;1048;363;363;28;335;34.64;7.71;Szkoła Podstawowa w Murzynowie Leśnym|Murzynowo Leśne|ul. Poznańska 74 |63-023 Murzynowo Leśne
5739;88376;302601;1;Szkoła Podstawowa 63-112 Brodnica 66;1261;157;157;11;146;12.45;7.01;1249;472;472;42;430;37.79;8.9;Szkoła Podstawowa|Brodnica| 66 |63-112 Brodnica
5749;88386;302603;2;Szkoła Podstawowa 63-130 Książ Wielkopolski;1595;171;171;22;149;10.72;12.87;1587;563;563;40;523;35.48;7.1;Szkoła Podstawowa|Książ Wielkopolski|Stacha Wichury 27 |63-130 Książ Wielkopolski
5751;88388;302603;4;Szkoła Podstawowa 63-130 Konarzyce;1047;125;125;12;113;11.94;9.6;1053;375;375;27;348;35.61;7.2;Szkoła Podstawowa|Konarzyce|Szkolna 6 |63-130 Książ Wielkopolski
5796;91694;302701;18;Szpital-SP ZOZ 62-700 Turek Poduchowne 1;105;13;13;1;12;12.38;7.69;69;34;34;3;31;49.28;8.82;SP ZOZ Turek|Turek|Poduchowne 1 |62-700 Turek
5801;88432;302702;5;Szkoła Podstawowa w Koźminie filia w Krwonach 62-720 Krwony 32;385;46;46;4;42;11.95;8.7;385;169;169;14;155;43.9;8.28;Szkoła Podstawowa w Koźminie filia w Krwonach|Krwony| 32 |62-720 Brudzew
5809;88440;302704;1;Zespół Szkół 62-704 Kawęczyn 49a;945;155;155;13;142;16.4;8.39;953;421;421;32;389;44.18;7.6;Zespół Szkół|Kawęczyn| 49 a|62-704 Kawęczyn
5838;88469;302709;5;Szkoła Podstawowa w Kunach 62-710 Kuny 137;780;129;129;8;121;16.54;6.2;791;346;346;23;323;43.74;6.65;Szkoła Podstawowa w Kunach|Kuny| 137 |62-710 Władysławów
5854;88484;302802;2;Remiza Ochotniczej Straży Pożarnej 62-110 Międzylesie .;533;73;73;9;64;13.7;12.33;532;186;186;14;172;34.96;7.53;Świetlica wiejska|Międzylesie| . |62-110 Damasławek
5855;88485;302802;3;Świetlica wiejska 62-110 Niemczyn .;1558;253;253;19;234;16.24;7.51;1537;579;579;50;529;37.67;8.64;Świetlica wiejska|Niemczyn| . |62-110 Damasławek
5859;88489;302803;3;Zespół Szkół Ponadgimnazjalnych 62-130 Gołańcz ul. Walki Młodych 35;840;124;124;9;115;14.76;7.26;841;316;316;20;296;37.57;6.33;Zespół Szkół Ponadgimnazjalnych|Gołańcz|ul. Walki Młodych 35 |62-130 Gołańcz
5860;88490;302803;4;Świetlica Wiejska w Chojnie 62-130 Chojna 55;720;99;99;9;90;13.75;9.09;710;235;235;17;218;33.1;7.23;Świetlica wiejska w Chojnie|Chojna| 55 |62-130 Gołańcz
5861;88491;302803;5;Świetlica Wiejska 62-130 Czesławice 20;468;59;59;6;53;12.61;10.17;462;162;162;16;146;35.06;9.88;Świetlica wiejska w Czesławicach|Czesławice| 20 |62-130 Gołańcz
5862;88492;302803;6;Szkoła Podstawowa 62-130 Panigródz 24;496;119;119;8;111;23.99;6.72;493;203;203;27;176;41.18;13.3;Zespół Szkół w Panigrodzu|Panigródz| 24 |62-130 Gołańcz
5876;88506;302805;8;Szkoła Podstawowa 62-085 Lechlin 9;1068;150;150;14;136;14.04;9.33;1068;391;391;25;366;36.61;6.39;Szkoła Podstawowa|Lechlin| 9 |62-085 Lechlin
5885;88515;302807;7;Gimnazjum nr 3 62-106 Rąbczyn 61;552;75;75;11;64;13.59;14.67;562;183;183;20;163;32.56;10.93;Gimnazjum nr 3|Rąbczyn| 61 |62-106 Rąbczyn
5886;88516;302901;1;Zespół Szkół Gimnazjum i Szkoła Podstawowa 64-234 Bucz ul. Kasztanowa 8;1547;226;226;21;205;14.61;9.29;1541;676;676;51;625;43.87;7.54;Zespół Szkół Gimnazjum i Szkoła Podstawowa w Buczu|Bucz|ul. Kasztanowa 8 |64-234 Przemęt
5895;88525;302902;2;Świetlica Wiejska 64-225 Jaromierz;805;93;93;9;84;11.55;9.68;804;293;293;25;268;36.44;8.53;Świetlica Wiejska|Jaromierz| |64-225 Kopanica
5901;88531;302902;8;Świetlica Wiejska 64-231 Belęcin;1038;174;174;19;155;16.76;10.92;1047;441;441;42;399;42.12;9.52;Świetlica Wiejska|Belęcin| |64-231 Belęcin
5921;88551;302903;19;Szkoła Podstawowa Nr 1 w Wolsztynie, Szkoła Filialna w Tłokach 64-200 Tłoki 43;575;98;98;7;91;17.04;7.14;577;248;248;18;230;42.98;7.26;Szkoła Podstawowa Nr 1 w Wolsztynie, Szkoła Filialna w Tłokach|Tłoki| 43 |64-200 Wolsztyn
5930;88558;303001;5;Szkoła Podstawowa w Grabowie Król. 62-306 Grabowo Królewskie 1;712;101;101;7;94;14.19;6.93;701;273;273;17;256;38.94;6.23;Szkoła Podstawowa w Grabowie Król.|Grabowo Królewskie| 1 |62-306 Kołaczkowo
5987;88611;303102;2;Miejska Biblioteka Publiczna 64-915 Jastrowie ul. Wojska Polskiego 11;1819;274;274;19;255;15.06;6.93;1772;607;607;39;568;34.26;6.43;Miejska Biblioteka Publiczna|Jastrowie|ul. Wojska Polskiego 11 |64-915 Jastrowie
5991;88615;303102;6;Dom Kultury 64-915 Sypniewo Mickiewicza 43;1292;158;158;10;148;12.23;6.33;1271;429;429;36;393;33.75;8.39;Dom Kultury|Sypniewo|Mickiewicza 43 |64-915 Jastrowie
6009;88633;303105;6;Świetlica Wiejska 64-965 Pniewo 52;1001;73;73;5;68;7.29;6.85;987;248;248;17;231;25.13;6.85;Świetlica Wiejska|Pniewo| 52 |64-965 Okonek
6010;88634;303105;7;Świetlica Wiejska 64-965 Podgaje ul. Gdańska 3;418;49;49;4;45;11.72;8.16;409;138;138;9;129;33.74;6.52;Świetlica Wiejska|Podgaje|ul. Gdańska 3 |64-965 Okonek
6011;88635;303105;8;Świetlica Wiejska 64-965 Lędyczek ul. Moniuszki 5;398;75;75;6;69;18.84;8;398;163;163;12;151;40.95;7.36;Świetlica Wiejska|Lędyczek|ul. Moniuszki 5 |64-965 Okonek
6014;88638;303106;3;Świetlica wiejska 77-416 Węgierce b.nr;500;41;41;3;38;8.2;7.32;491;138;138;15;123;28.11;10.87;Świetlica wiejska|Węgierce| 4a |77-416 Tarnówka
6021;88645;303108;3;Szkoła Podstawowa 77-400 Kleszczyna 27;1002;122;122;9;113;12.18;7.38;989;315;315;27;288;31.85;8.57;Szkoła Podstawowa|Kleszczyna| 28 |77-400 Złotów
6124;91706;306201;46;Wojewódzki Szpital Zespolony 62-510 Konin Kardynała Wyszyńskiego 1;18;18;18;2;16;100;11.11;169;66;66;4;62;39.05;6.06;Wojewódzki Szpital Zespolony|Konin|Kardynała Stefana Wyszyńskiego 1 |62-510 Konin
6403;91730;306401;244;Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych w Poznaniu im. prof. Ludwika Bierkowskiego 60-631 Poznań ul. Dojazd 34;101;47;47;6;41;46.53;12.77;99;56;56;4;52;56.57;7.14;Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych w Poznaniu im. prof. Ludwika Bierkowskiego|Poznań|ul. Dojazd 34 |60-631 Poznań
6435;89015;320102;1;Świetlica wiejska 78-200 Redlino 7;742;105;105;10;95;14.15;9.52;760;262;262;18;244;34.47;6.87;Świetlica Wiejska w Redlinie|Redlino| 7 |78-200 Białogard
6439;89019;320102;5;Szkoła Podstawowa im. ppor. Ryszarda Kuleszy 78-200 Kościernica 28;943;96;96;6;90;10.18;6.25;945;308;308;25;283;32.59;8.12;Szkoła Podstawowa w Kościernicy|Kościernica| 28 |78-200 Białogard
6444;89024;320103;5;Szkoła Podstawowa 78-230 Karścino 18;1125;67;67;10;57;5.96;14.93;1136;220;220;14;206;19.37;6.36;Szkoła Podstawowa|Karścino| 18 |78-230 Karlino
6446;89026;320104;1;Świetlica wiejska 78-220 Sadkowo 55;872;118;118;11;107;13.53;9.32;857;244;244;15;229;28.47;6.15;Świetlica wiejska|Sadkowo| 55 |78-220 Tychowo
6479;89055;320203;4;Świetlica wiejska 73-220 Brzeziny 61A;411;64;64;7;57;15.57;10.94;411;155;155;18;137;37.71;11.61;Świetlica wiejska|Brzeziny| 61A |73-220 Drawno
6491;89066;320206;4;Świetlica wiejska Sokoliniec 73-210 Sokoliniec 32;879;76;76;6;70;8.65;7.89;873;202;202;17;185;23.14;8.42;Świetlica wiejska Sokoliniec|Sokoliniec| 32 |73-210 Recz
6497;89072;320301;6;Sala wiejska 78-551 Siemczyno 63;597;67;67;5;62;11.22;7.46;605;199;199;14;185;32.89;7.04;Sala wiejska|Siemczyno| 63 |78-551 Siemczyno
6514;89089;320302;15;Świetlica Wiejska w Suliszewie 78-500 Suliszewo nr 70A;1209;111;111;10;101;9.18;9.01;1207;359;359;22;337;29.74;6.13;Świetlica Wiejska w Suliszewie|Suliszewo| nr 70A |78-500 Drawsko Pomorskie
6583;89153;320404;9;Szkoła Podstawowa 72-200 Długołęka 16A;869;117;117;12;105;13.46;10.26;856;259;259;18;241;30.26;6.95;Szkoła Podstawowa|Długołęka| 16A |72-200 Nowogard
6601;89167;320407;3;Świetlica wiejska w Gąsierzynie 72-112 Gąsierzyno ul. Wojska Polskiego 21;530;55;55;5;50;10.38;9.09;506;131;131;11;120;25.89;8.4;Świetlica wiejska w Kopicach|Kopice| 6B |72-112 Stepnica
6603;89169;320501;2;Szkoła Podstawowa w Dargosławiu 72-304 Dargosław 32;880;63;63;8;55;7.16;12.7;864;182;182;26;156;21.06;14.29;Szkoła Podstawowa w Dargosławiu|Dargosław| 32 |72-304 Brojce
6604;89170;320501;3;Sala Wiejska 72-304 Przybiernowo Wiejska 6a;600;87;87;7;80;14.5;8.05;610;197;197;14;183;32.3;7.11;Świetlica Wiejska w Przybiernowie|Przybiernowo|Wiejska 6a |72-304 Brojce
6606;89172;320502;2;Szkoła Podstawowa, Budynek B 72-300 Trzygłów 24;1246;135;135;13;122;10.83;9.63;1241;365;365;24;341;29.41;6.58;Szkoła Podstawowa, Budynek B|Trzygłów| 24 |72-300 Gryfice
6628;89192;320504;6;Świetlica Wiejska 72-310 Mechowo 22A;641;74;74;7;67;11.54;9.46;636;185;185;13;172;29.09;7.03;Świetlica Wiejska|Mechowo| 22A |72-310 Płoty
6631;89195;320504;9;Świetlica Wiejska 72-310 Wicimice 30A;306;20;20;3;17;6.54;15;310;65;65;4;61;20.97;6.15;Świetlica Wiejska|Wicimice| 30A |72-310 Płoty
6643;89206;320508;7;Świetlica Wiejska 72-320 Mirosławice 26;584;96;96;6;90;16.44;6.25;576;209;209;27;182;36.28;12.92;Świetlica Wiejska|Mirosławice| 26 |72-320 Trzebiatów
6650;89212;320601;3;Szkoła Podstawowa 74-111 Lubanowo 53;1313;108;108;8;100;8.23;7.41;1281;340;340;23;317;26.54;6.76;Szkoła Podstawowa|Lubanowo| 53 |74-111 Lubanowo
6651;89213;320601;4;Szkoła Podstawowa 74-110 Swobnica 12;1212;108;108;9;99;8.91;8.33;1215;351;351;26;325;28.89;7.41;Szkoła Podstawowa|Swobnica| 12 |74-110 Banie
6688;89247;320605;3;Szkoła Podstawowa 74-505 Troszyn 3;982;93;93;9;84;9.47;9.68;958;274;274;21;253;28.6;7.66;Szkoła Podstawowa w Troszynie|Troszyn| 3 |74-505 Mieszkowice
6689;89248;320605;4;Szkoła Podstawowa 74-505 Zielin 3;689;96;96;10;86;13.93;10.42;692;257;257;23;234;37.14;8.95;Szkoła Podstawowa w Zielinie|Zielin|ul.Wincentego Witosa 48 |74-505 Mieszkowice
6706;89263;320609;4;Świetlica Wiejska 74-120 Lubicz 56;546;51;51;6;45;9.34;11.76;541;139;139;16;123;25.69;11.51;Świetlica Wiejska|Lubicz| 56 |74-120 Widuchowa
6800;89348;320805;4;Społeczna Szkoła Podstawowa 78-124 Gorawino 44;950;93;93;9;84;9.79;9.68;946;304;304;27;277;32.14;8.88;Społeczna Szkoła Podstawowa|Gorawino| 44 |78-124 Gorawino
6809;89357;320901;5;Dom Kultury 76-038 Dobrzyca 60;1468;213;213;28;185;14.51;13.15;1464;504;504;33;471;34.43;6.55;Dom Kultury, Dobrzyca 60, 76-038 Dobrzyca|Dobrzyca| 60 |76-038 Dobrzyca
6821;89369;320903;8;Szkoła Podstawowa im. Jana Brzechwy 76-020 Kłanino 7;429;44;44;5;39;10.26;11.36;431;136;136;12;124;31.55;8.82;Szkoła Podstawowa im. Jana Brzechwy|Kłanino| 7 |76-020 Bobolice
6829;89376;320904;6;Klub Wiejski 76-015 Grzybnica 17a;216;42;42;4;38;19.44;9.52;229;91;91;7;84;39.74;7.69;Klub Wiejski|Grzybnica| 17a |76-015 Manowo
6830;89377;320904;7;Klub Wiejski 76-015 Wyszebórz 28a;299;53;53;4;49;17.73;7.55;303;88;88;9;79;29.04;10.23;Klub Wiejski|Wyszebórz| 28a |76-015 Manowo
6852;89396;320907;6;Szkoła Podstawowa 76-003 Sucha Koszalińska ul. Morska 6;909;146;146;10;136;16.06;6.85;918;372;372;23;349;40.52;6.18;Szkoła Podstawowa|Sucha Koszalińska|ul. Morska 6 |76-003 Sianów
6855;89399;320907;9;Świetlica Wiejska 76-003 Skibno 24 a;633;75;75;5;70;11.85;6.67;633;224;224;21;203;35.39;9.38;Świetlica Wiejska|Skibno| 24 a |76-003 Sianów
6883;89426;321002;2;Budynek po byłej szkole podstawowej 74-406 Namyślin 21;505;60;60;4;56;11.88;6.67;513;188;188;13;175;36.65;6.91;Świetlica wiejska w Namyślinie|Namyślin| 70 |74-406 Namyślin
6891;89434;321003;7;Świetlica Wiejska 74-311 Różańsko 22;885;103;103;8;95;11.64;7.77;870;305;305;31;274;35.06;10.16;Świetlica Wiejska|Różańsko| 22 |74-311 Różańsko
6909;89451;321004;11;Szkoła Podstawowa im. Janusza Korczaka 74-300 Kierzków 69 lokal: 69;739;80;80;5;75;10.83;6.25;741;231;231;17;214;31.17;7.36;Szkoła Podstawowa im. Janusza Korczaka|Kierzków| 69 |74-300 Myślibórz
6913;89454;321005;1;Sala Wiejska 74-304 Nowogródek Pomorski Pl.Św. Floriana 8;1079;135;135;9;126;12.51;6.67;1092;367;367;24;343;33.61;6.54;Sala Wiejska|Nowogródek Pomorski|ul. Pl.Św. Floriana 8 |74-304 Nowogródek Pomorski
6962;89501;321202;2;Wiejski Dom Kultury 74-205 Tetyń 64;753;99;99;9;90;13.15;9.09;765;282;282;21;261;36.86;7.45;Wiejski Dom Kultury|Tetyń| 64 |74-205 Tetyń
6964;89503;321203;2;Miejsko-Gminna Biblioteka Publiczna 74-240 Lipiany ul. Szkolna 17;1288;210;210;13;197;16.3;6.19;1266;518;518;40;478;40.92;7.72;Miejsko-Gminna Biblioteka Publiczna|Lipiany|ul. Szkolna 17 |74-240 Lipiany
6982;89521;321205;12;Świetlica Wiejska Krzemlin 74-230 Krzemlin 28;613;126;126;12;114;20.55;9.52;621;247;247;20;227;39.77;8.1;Świetlica Wiejska Krzemlin|Krzemlin| 28 |74-230 Mielęcin
6999;91790;321302;6;Szpital Powiatowy w Sławnie 76-100 Sławno ul. I Pułku Ułanów 9;33;12;12;1;11;36.36;8.33;42;31;31;3;28;73.81;9.68;Szpital Powiatowy w Sławnie|Sławno|ul. 1-go Pułku Ułanów 9 |76-100 Sławno
7017;89554;321304;3;Szkoła Podstawowa w Lejkowie 76-142 Lejkowo 11;1068;114;114;8;106;10.67;7.02;1101;342;342;31;311;31.06;9.06;Szkoła Podstawowa w Lejkowie|Lejkowo| 11 |76-142 Malechowo
7022;89559;321305;4;Zespół Szkół w Pieszczu 76-113 Pieszcz 46;689;63;63;4;59;9.14;6.35;682;209;209;16;193;30.65;7.66;Zespół Szkół w Pieszczu|Pieszcz| 46 |76-113 Postomino
7024;89561;321306;1;Świetlica Wiejska w Boleszewie 76-100 Boleszewo 16c;396;65;65;6;59;16.41;9.23;392;132;132;8;124;33.67;6.06;Świetlica Wiejska w Boleszewie|Boleszewo| 16c |76-100 Sławno
7029;89566;321306;6;Szkoła Podstawowa we Wrześnicy 76-122 Wrześnica 19A;1043;109;109;7;102;10.45;6.42;1036;315;315;25;290;30.41;7.94;Szkoła Podstawowa we Wrześnicy|Wrześnica| 19A |76-122 Wrześnica
