Year;Sex;Category;Name;Birthdate;Age;BirthPlace;County;BirthPlaceNow;Coords
1905;M;physics;Philipp Eduard Anton von Lenard;[1862];1905;Pressburg;Hungary;Bratislava, Slovakia;48.1485965,17.1077478
1906;M;chemistry;Henri Moissan;[1852];1906;Paris;France;Paris, France;48.1485965,17.1077478
1906;M;literature;Giosuč Carducci;[1835];1906;Val di Castello;Tuscany;Val di Castello, Italy;43.2423636,10.9678668
1906;M;medicine;Camillo Golgi;[1843];1906;Corteno;Italy;Corteno, Italy;46.1652608,10.2365387
1906;M;medicine;Santiago Ramón y Cajal;[1852];1906;Petilla de Aragó;Spain;Petilla de Aragó, Spain;42.4614395,-1.0924468
1906;M;peace;Theodore Roosevelt;[1858];1906;New York NY;USA;New York NY, USA;40.7127753,-74.0059728
1906;M;physics;Joseph John Thomson;[1856];1906;Cheetham Hill near Manchester;United Kingdom;Cheetham Hill near Manchester, United Kingdom;53.5021101,-2.2368975
1907;M;chemistry;Eduard Buchner;[1860];1907;Munich;Bavaria;Munich, Germany;48.1351253,11.5819805
1907;M;literature;Rudyard Kipling;[1865];1907;Bombay;British India;Bombay, British India;19.0759837,72.8776559
1907;M;medicine;Charles Louis Alphonse Laveran;[1845];1907;Paris;France;Paris, France;19.0759837,72.8776559
1907;M;peace;Ernesto Teodoro Moneta;[1833];1907;Milan;Austrian Empire;Milan, Italy;45.4642035,9.189982
1907;M;peace;Louis Renault;[1843];1907;Autun;France;Autun, France;46.950914,4.301565
1907;M;physics;Albert Abraham Michelson;[1852];1907;Strelno;Prussia;Strzelno, Poland;52.62772,18.1726601
1908;M;chemistry;Ernest Rutherford;[1871];1908;Nelson;New Zealand;Nelson, New Zealand;-41.2706319,173.2839653
1908;M;literature;Rudolf Christoph Eucken;[1846];1908;Aurich;East Friesland;Aurich, Germany;53.4708393,7.4848308
1908;M;medicine;Ilya Ilyich Mechnikov;[1845];1908;Kharkov;Russian Empire;Kharkiv, Ukraine;49.9935,36.230383
1908;M;medicine;Paul Ehrlich;[1854];1908;Strehlen;Prussia;Strzelin, Poland;50.7812167,17.0646124
1908;M;peace;Fredrik Bajer;[1837];1908;Næstved;Denmark;Næsstved, Denmark;NOK[ZERO_RESULTS]
1908;M;peace;Klas Pontus Arnoldson;[1844];1908;Gothenburg;Sweden;Gothenburg, Sweden;57.70887,11.97456
1908;M;physics;Gabriel Lippmann;[1845];1908;Hollerich;Luxembourg;Hollerich, Luxembourg;49.6040705,6.1121429
1909;M;chemistry;Wilhelm Ostwald;[1853];1909;Riga Latvia;Russian Empire;Riga Latvia, Russian Empire;56.9496487,24.1051865
1909;F;literature;Selma Ottilia Lovisa Lagerlöf;[1858];1909;Mĺrbacka;Sweden;Mĺrbacka, Sweden;NOK[ZERO_RESULTS]
1909;M;medicine;Emil Theodor Kocher;[1841];1909;Berne;Switzerland;Berne, Switzerland;46.9479739,7.4474468
1909;M;peace;Auguste Marie François Beernaert;[1829];1909;Ostend;Belgium;Ostend, Belgium;51.21543,2.928656
1909;M;physics;Guglielmo Marconi;[1874];1909;Bologna;Italy;Bologna, Italy;44.494887,11.3426162
1909;M;physics;Karl Ferdinand Braun;[1850];1909;Fulda;Hesse-Kassel;Fulda, Germany;50.5558095,9.6808449
1910;M;chemistry;Otto Wallach;[1847];1910;Koenigsberg;Germany;Kaliningrad, Russia;54.7104264,20.4522144
1910;M;literature;Paul Johann Ludwig Heyse;[1830];1910;Berlin;Prussia;Berlin, Germany;54.7104264,20.4522144
1910;M;medicine;Albrecht Kossel;[1853];1910;Rostock;Mecklenburg;Rostock, Germany;54.0924406,12.0991466
1910;NA;peace;Bureau international permanent de la Paix (Permanent International Peace Bureau);[1891];1910;;Switzerland;, Switzerland;46.818188,8.227512
1910;M;physics;Johannes Diderik van der Waals;[1837];1910;Leiden;the Netherlands;Leiden, the Netherlands;52.1601144,4.4970097
1911;F;chemistry;Marie Curie, née Sklodowska;[1867];1911;Warsaw;Russian Empire;Warsaw, Poland;52.1601144,4.4970097
1911;M;literature;Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck;[1862];1911;Ghent;Belgium;Ghent, Belgium;51.0543422,3.7174243
1911;M;medicine;Allvar Gullstrand;[1862];1911;Landskrona;Sweden;Landskrona, Sweden;55.8703477,12.8300802
1911;M;peace;Alfred Hermann Fried;[1864];1911;Vienna;Austria;Vienna, Austria;48.2081743,16.3738189
1911;M;peace;Tobias Michael Carel Asser;[1838];1911;Amsterdam;the Netherlands;Amsterdam, the Netherlands;52.3702157,4.8951679
1911;M;physics;Wilhelm Wien;[1864];1911;Gaffken;Prussia;Parusnoye, Russia;48.325695,142.147781
1912;M;chemistry;Paul Sabatier;[1854];1912;Carcassonne;France;Carcassonne, France;43.212161,2.353663
1912;M;chemistry;Victor Grignard;[1871];1912;Cherbourg;France;Cherbourg, France;49.6337308,-1.622137
1912;M;literature;Gerhart Johann Robert Hauptmann;[1862];1912;Bad Salzbrunn;Prussia;Bad Salzbrunn, Germany;NOK[ZERO_RESULTS]
1912;M;medicine;Alexis Carrel;[1873];1912;Sainte-Foy-lčs-Lyon;France;Sainte-Foy-lčs-Lyon, France;45.7310652,4.8058909
1912;M;peace;Elihu Root;[1845];1912;Clinton NY;USA;Clinton NY, USA;43.0484029,-75.3785034
1912;M;physics;Nils Gustaf Dalén;[1869];1912;Stenstorp;Sweden;Stenstorp, Sweden;58.2740016,13.7142087
1913;M;chemistry;Alfred Werner;[1866];1913;Mulhouse;France;Mulhouse, France;47.750839,7.335888
1913;M;literature;Rabindranath Tagore;[1861];1913;Calcutta;India;Calcutta, India;22.572646,88.363895
1913;M;medicine;Charles Robert Richet;[1850];1913;Paris;France;Paris, France;22.572646,88.363895
1913;M;peace;Henri La Fontaine;[1854];1913;Brussels;Belgium;Brussels, Belgium;50.8503463,4.3517211
1913;M;physics;Heike Kamerlingh Onnes;[1853];1913;Groningen;the Netherlands;Groningen, the Netherlands;53.2193835,6.5665017
1914;M;chemistry;Theodore William Richards;[1868];1914;Germantown PA;USA;Germantown PA, USA;40.028521,-75.1749671
1914;M;medicine;Robert Bárány;[1876];1914;Vienna;Austria;Vienna, Austria;40.028521,-75.1749671
1914;M;physics;Max von Laue;[1879];1914;Pfaffendorf;Germany;Pfaffendorf, Germany;50.911275,14.0748638
1915;M;chemistry;Richard Martin Willstätter;[1872];1915;Karlsruhe;Germany;Karlsruhe, Germany;49.0068901,8.4036527
1915;M;literature;Romain Rolland;[1866];1915;Clamecy;France;Clamecy, France;47.459605,3.518769
1915;M;physics;Sir William Henry Bragg;[1862];1915;Wigton;United Kingdom;Wigton, United Kingdom;54.825544,-3.161231
1915;M;physics;William Lawrence Bragg;[1890];1915;Adelaide;Australia;Adelaide, Australia;-34.9284989,138.6007456
1916;M;literature;Carl Gustaf Verner von Heidenstam;[1859];1916;Olshammar;Sweden;Olshammar, Sweden;58.7536282,14.7980293
1917;M;literature;Henrik Pontoppidan;[1857];1917;Fredericia;Denmark;Fredericia, Denmark;55.5689298,9.749517
1917;M;literature;Karl Adolph Gjellerup;[1857];1917;Roholte;Denmark;Roholte, Denmark;55.194519,12.089752
1917;NA;peace;Comité international de la Croix Rouge (International Committee of the Red Cross);[1863];1917;;Switzerland;, Switzerland;55.194519,12.089752
1917;M;physics;Charles Glover Barkla;[1877];1917;Widnes;United Kingdom;Widnes, United Kingdom;53.361024,-2.733637
1918;M;chemistry;Fritz Haber;[1868];1918;Breslau;Prussia;Wroclaw, Poland;51.1078852,17.0385376
1918;M;physics;Max Karl Ernst Ludwig Planck;[1858];1918;Kiel;Schleswig;Kiel, Germany;54.3232927,10.1227651
1919;M;literature;Carl Friedrich Georg Spitteler;[1845];1919;Liestal;Switzerland;Liestal, Switzerland;47.4866143,7.7334272
1919;M;medicine;Jules Bordet;[1870];1919;Soignies;Belgium;Soignies, Belgium;50.5764245,4.0706869
1919;M;peace;Thomas Woodrow Wilson;[1856];1919;Staunton VA;USA;Staunton VA, USA;38.149576,-79.0716958
1919;M;physics;Johannes Stark;[1874];1919;Schickenhof;Germany;Schickenhof, Germany;49.4558488,11.0874083
1920;M;chemistry;Walther Hermann Nernst;[1864];1920;Briesen;Prussia;Briesen, Germany;52.3401613,14.2767893
1920;M;literature;Knut Pedersen Hamsun;[1895];1920;Lom;Norway;Lom, Norway;61.6750129,8.4359014
1920;M;medicine;Schack August Steenberg Krogh;[1874];1920;Grenĺ;Denmark;Grenĺ, Denmark;NOK[ZERO_RESULTS]
1920;M;peace;Léon Victor Auguste Bourgeois;[1851];1920;Paris;France;Paris, France;NOK[ZERO_RESULTS]
1920;M;physics;Charles Edouard Guillaume;[1861];1920;Fleurier;Switzerland;Fleurier, Switzerland;46.9023107,6.5808426
1921;M;chemistry;Frederick Soddy;[1877];1921;Eastbourne;United Kingdom;Eastbourne, United Kingdom;50.768035,0.290472
1921;M;literature;Anatole France;[1844];1921;Paris;France;Paris, France;50.768035,0.290472
1921;M;peace;Christian Lous Lange;[1869];1921;Stavanger;Norway;Stavanger, Norway;58.9699756,5.7331074
1921;M;peace;Karl Hjalmar Branting;[1860];1921;Stockholm;Sweden;Stockholm, Sweden;59.3293235,18.0685808
1921;M;physics;Albert Einstein;[1879];1921;Ulm;Germany;Ulm, Germany;48.4010822,9.9876076
1922;M;chemistry;Francis William Aston;[1877];1922;Harborne;United Kingdom;Harborne, United Kingdom;52.4597094,-1.961668
1922;M;literature;Jacinto Benavente;[1866];1922;Madrid;Spain;Madrid, Spain;52.4597094,-1.961668
1922;M;medicine;Archibald Vivian Hill;[1886];1922;Bristol;United Kingdom;Bristol, United Kingdom;51.454513,-2.58791
1922;M;medicine;Otto Fritz Meyerhof;[1884];1922;Hanover;Germany;Hanover, Germany;52.3758916,9.7320104
1922;M;peace;Fridtjof Nansen;[1861];1922;Kristiania;Norway;Oslo, Norway;59.9138688,10.7522454
1922;M;physics;Niels Henrik David Bohr;[1885];1922;Copenhagen;Denmark;Copenhagen, Denmark;55.6760968,12.5683372
1923;M;chemistry;Fritz Pregl;[1869];1923;Laibach;Austria-Hungary;Ljubljana, Slovenia;46.0569465,14.5057515
1923;M;literature;William Butler Yeats;[1865];1923;Dublin;Ireland;Dublin, Ireland;53.3498053,-6.2603097
1923;M;medicine;Frederick Grant Banting;[1891];1923;Alliston;Canada;Alliston, Canada;44.1539514,-79.8691544
1923;M;medicine;John James Rickard Macleod;[1876];1923;Cluny;Scotland;Cluny, Scotland;57.204922,-2.5173009
1923;M;physics;Robert Andrews Millikan;[1868];1923;Morrison IL;USA;Morrison IL, USA;41.809751,-89.9651186
1924;M;literature;Wladyslaw Stanislaw Reymont;[1867];1924;Kobiele Wielkie;Russian Empire;Kobiele Wielkie, Poland;51.0183369,19.6116419
1924;M;medicine;Willem Einthoven;[1860];1924;Semarang Java;Dutch East Indies;Semarang Java, Indonesia;-7.0051453,110.4381254
1924;M;physics;Karl Manne Georg Siegbahn;[1886];1924;Lund;Sweden;Lund, Sweden;55.7046601,13.1910073
1925;M;chemistry;Richard Adolf Zsigmondy;[1865];1925;Vienna;Austrian Empire;Vienna, Austria;55.7046601,13.1910073
1925;M;literature;George Bernard Shaw;[1856];1925;Dublin;Ireland;Dublin, Ireland;55.7046601,13.1910073
1925;M;peace;Charles Gates Dawes;[1865];1925;Marietta OH;USA;Marietta OH, USA;39.415352,-81.4548436
1925;M;peace;Sir Austen Chamberlain;[1863];1925;Birmingham;United Kingdom;Birmingham, United Kingdom;52.486243,-1.890401
1925;M;physics;Gustav Ludwig Hertz;[1887];1925;Hamburg;Germany;Hamburg, Germany;53.5510846,9.9936819
1925;M;physics;James Franck;[1882];1925;Hamburg;Germany;Hamburg, Germany;53.5510846,9.9936819
1926;M;chemistry;The (Theodor) Svedberg;[1884];1926;Fleräng;Sweden;Fleräng, Sweden;NOK[ZERO_RESULTS]
1926;F;literature;Grazia Deledda;[1871];1926;Nuoro Sardinia;Italy;Nuoro Sardinia, Italy;40.3202421,9.3264377
1926;M;medicine;Johannes Andreas Grib Fibiger;[1867];1926;Silkeborg;Denmark;Silkeborg, Denmark;56.176362,9.5549217
1926;M;peace;Aristide Briand;[1862];1926;Nantes;France;Nantes, France;47.218371,-1.553621
1926;M;peace;Gustav Stresemann;[1878];1926;Berlin;Germany;Berlin, Germany;47.218371,-1.553621
1926;M;physics;Jean Baptiste Perrin;[1870];1926;Lille;France;Lille, France;50.62925,3.057256
1927;M;chemistry;Heinrich Otto Wieland;[1877];1927;Pforzheim;Germany;Pforzheim, Germany;48.8921862,8.6946286
1927;M;literature;Henri Bergson;[1859];1927;Paris;France;Paris, France;48.8921862,8.6946286
1927;M;medicine;Julius Wagner-Jauregg;[1857];1927;Wels;Austria;Wels, Austria;48.16542,14.03664
1927;M;peace;Ferdinand Buisson;[1841];1927;Paris;France;Paris, France;48.16542,14.03664
1927;M;peace;Ludwig Quidde;[1858];1927;Bremen;Germany;Bremen, Germany;53.0792962,8.8016936
1927;M;physics;Arthur Holly Compton;[1892];1927;Wooster OH;USA;Wooster OH, USA;40.8050565,-81.935143
1927;M;physics;Charles Thomson Rees Wilson;[1869];1927;Glencorse;Scotland;Glencorse, Scotland;55.8619946,-3.2526271
1928;M;chemistry;Adolf Otto Reinhold Windaus;[1876];1928;Berlin;Germany;Berlin, Germany;55.8619946,-3.2526271
1928;M;literature;Sigrid Undset;[1882];1928;Kalundborg;Denmark;Kalundborg, Denmark;55.686429,11.089188
1928;M;medicine;Charles Jules Henri Nicolle;[1866];1928;Rouen;France;Rouen, France;49.443232,1.099971
1928;M;physics;Owen Willans Richardson;[1879];1928;Dewsbury;United Kingdom;Dewsbury, United Kingdom;53.689833,-1.6296949
1929;M;chemistry;Arthur Harden;[1865];1929;Manchester;United Kingdom;Manchester, United Kingdom;53.4807593,-2.2426305
1929;M;chemistry;Hans Karl August Simon von Euler-Chelpin;[1873];1929;Augsburg;Germany;Augsburg, Germany;48.3705449,10.89779
1929;M;literature;Thomas Mann;[1875];1929;Lübeck;Germany;Lübeck, Germany;53.8654673,10.6865593
1929;M;medicine;Christiaan Eijkman;[1858];1929;Nijkerk;the Netherlands;Nijkerk, the Netherlands;52.2224835,5.4835625
1929;M;medicine;Sir Frederick Gowland Hopkins;[1861];1929;Eastbourne;United Kingdom;Eastbourne, United Kingdom;52.2224835,5.4835625
1929;M;peace;Frank Billings Kellogg;[1856];1929;Potsdam NY;USA;Potsdam NY, USA;44.6697805,-74.9813084
