medicine;53;1976;D. Carleton Gajdusek;M
peace;56;1961;Dag Hammarskjöld;M
economics;71;2010;Dale T. Mortensen;M
chemistry;70;2011;Dan Shechtman;M
medicine;50;1957;Daniel Bovet;M
physics;59;1998;Daniel C. Tsui;M
economics;68;2002;Daniel Kahneman;M
economics;63;2000;Daniel L. McFadden;M
medicine;50;1978;Daniel Nathans;M
literature;71;1997;Dario Fo;M
medicine;37;1975;David Baltimore;M
medicine;55;1981;David H. Hubel;M
physics;63;2004;David J. Gross;M
physics;68;2012;David J. Wineland;M
physics;65;1996;David M. Lee;M
peace;54;1998;David Trimble;M
physics;71;1971;Dennis Gabor;M
chemistry;51;1969;Derek Barton;M
literature;62;1992;Derek Walcott;M
peace;53;1984;Desmond Tutu;M
medicine;61;1956;Dickinson W. Richards;M
physics;34;1960;Donald A. Glaser;M
chemistry;68;1987;Donald J. Cram;M
literature;88;2007;Doris Lessing;F
chemistry;54;1964;Dorothy Crowfoot Hodgkin;F
physics;51;1996;Douglas D. Osheroff;M
economics;73;1993;Douglass C. North;M
chemistry;54;1986;Dudley R. Herschbach;M
medicine;70;1990;E. Donnall Thomas;M
physics;40;1952;E. M. Purcell;M
medicine;56;1971;Earl W. Sutherland, Jr.;M
medicine;43;1932;Edgar Adrian;M
medicine;72;1992;Edmond H. Fischer;M
economics;73;2006;Edmund S. Phelps;M
chemistry;47;1907;Eduard Buchner;M
medicine;50;1943;Edward A. Doisy;M
medicine;77;1995;Edward B. Lewis;M
medicine;64;1950;Edward C. Kendall;M
economics;64;2004;Edward C. Prescott;M
medicine;49;1958;Edward Tatum;M
physics;55;1947;Edward V. Appleton;M
medicine;74;1992;Edwin G. Krebs;M
chemistry;44;1951;Edwin M. McMillan;M
medicine;75;1949;Egas Moniz;M
chemistry;75;2010;Ei-ichi Negishi;M
peace;73;1974;Eisaku Sato;M
literature;58;2004;Elfriede Jelinek;F
literature;76;1981;Elias Canetti;M
chemistry;62;1990;Elias James Corey;M
peace;69;1902;Élie Ducommun;M
peace;58;1986;Elie Wiesel;M
peace;67;1912;Elihu Root;M
economics;76;2009;Elinor Ostrom;F
medicine;61;2009;Elizabeth H. Blackburn;F
peace;73;2011;Ellen Johnson Sirleaf;F
chemistry;50;1902;Emil Fischer;M
medicine;47;1901;Emil von Behring;M
physics;54;1959;Emilio Segrè;M
peace;79;1946;Emily Greene Balch;F
physics;37;1938;Enrico Fermi;M
physics;40;2001;Eric A. Cornell;M
medicine;48;1995;Eric F. Wieschaus;M
medicine;71;2000;Eric R. Kandel;M
economics;57;2007;Eric S. Maskin;M
literature;67;1931;Erik Axel Karlfeldt;M
literature;55;1954;Ernest Hemingway;M
physics;38;1939;Ernest Lawrence;M
chemistry;37;1908;Ernest Rutherford;M
physics;48;1951;Ernest T.S. Walton;M
peace;74;1907;Ernesto Teodoro Moneta;M
medicine;39;1945;Ernst B. Chain;M
chemistry;55;1973;Ernst Otto Fischer;M
physics;80;1986;Ernst Ruska;M
medicine;47;1991;Erwin Neher;M
physics;46;1933;Erwin Schrödinger;M
economics;74;2013;Eugene F. Fama;M
literature;48;1936;Eugene O'Neill;M
physics;61;1963;Eugene Wigner;M
literature;79;1975;Eugenio Montale;M
literature;74;1974;Eyvind Johnson;M
chemistry;68;1995;F. Sherwood Rowland;M
physics;47;1952;Felix Bloch;M
medicine;53;1964;Feodor Lynen;M
physics;59;1909;Ferdinand Braun;M
peace;86;1927;Ferdinand Buisson;M
medicine;62;1998;Ferid Murad;M
economics;61;2004;Finn E. Kydland;M
medicine;46;1962;Francis Crick;M
chemistry;45;1922;Francis W. Aston;M
economics;67;1985;Franco Modigliani;M
physics;81;2013;François Englert;M
medicine;45;1965;François Jacob;M
literature;67;1952;François Mauriac;M
medicine;61;2008;Françoise Barré-Sinoussi;F
peace;73;1929;Frank B. Kellogg;M
physics;53;2004;Frank Wilczek;M
literature;51;1939;Frans Eemil Sillanpää;M
chemistry;35;1935;Frédéric Joliot;M
literature;74;1904;Frédéric Mistral;M
peace;79;1901;Frédéric Passy;M
medicine;38;1954;Frederick C. Robbins;M
medicine;32;1923;Frederick G. Banting;M
physics;77;1995;Frederick Reines;M
chemistry;40;1958;Frederick Sanger;M
chemistry;62;1980;Frederick Sanger;M
chemistry;44;1921;Frederick Soddy;M
peace;71;1908;Fredrik Bajer;M
peace;61;1922;Fridtjof Nansen;M
economics;75;1974;Friedrich August von Hayek;M
chemistry;47;1931;Friedrich Bergius;M
physics;65;1953;Frits Zernike;M
chemistry;50;1918;Fritz Haber;M
medicine;54;1953;Fritz Lipmann;M
chemistry;54;1923;Fritz Pregl;M
peace;57;1993;F.W. de Klerk;M
literature;54;1982;Gabriel García Márquez;M
physics;63;1908;Gabriel Lippmann;M
literature;56;1945;Gabriela Mistral;F
literature;60;2000;Gao Xingjian;M
economics;62;1992;Gary S. Becker;M
chemistry;52;1973;Geoffrey Wilkinson;M
medicine;62;1961;Georg von Békésy;M
chemistry;82;1979;Georg Wittig;M
economics;61;2001;George A. Akerlof;M
chemistry;67;1994;George A. Olah;M
medicine;55;1958;George Beadle;M
literature;69;1925;George Bernard Shaw;M
peace;73;1953;George C. Marshall;M
medicine;77;1980;George D. Snell;M
chemistry;58;1943;George de Hevesy;M
medicine;62;1974;George E. Palade;M
physics;79;2009;George E. Smith;M
physics;61;2006;George F. Smoot;M
medicine;83;1988;George H. Hitchings;M
medicine;56;1934;George H. Whipple;M
economics;71;1982;George J. Stigler;M
physics;45;1937;George Paget Thomson;M
chemistry;47;1967;George Porter;M
medicine;49;1934;George R. Minot;M
medicine;61;1967;George Wald;M
physics;68;1992;Georges Charpak;M
medicine;38;1984;Georges J.F. Köhler;M
peace;48;1958;Georges Pire;M
medicine;43;1972;Gerald M. Edelman;M
economics;62;1983;Gerard Debreu;M
physics;53;1999;Gerardus 't Hooft;M
physics;39;1986;Gerd Binnig;M
medicine;44;1939;Gerhard Domagk;M
chemistry;71;2007;Gerhard Ertl;M
chemistry;67;1971;Gerhard Herzberg;M
literature;50;1912;Gerhart Hauptmann;M
medicine;70;1988;Gertrude B. Elion;F
medicine;51;1947;Gerty Cori;F
literature;63;1963;Giorgos Seferis;M
literature;71;1906;Giosuè Carducci;M
chemistry;60;1963;Giulio Natta;M
chemistry;39;1951;Glenn T. Seaborg;M
medicine;60;1979;Godfrey N. Hounsfield;M
literature;55;1926;Grazia Deledda;F
physics;35;1909;Guglielmo Marconi;M
economics;76;1974;Gunnar Myrdal;M
medicine;63;1999;Günter Blobel;M
literature;72;1999;Günter Grass;M
physics;43;1912;Gustaf Dalén;M
physics;38;1925;Gustav Hertz;M
peace;48;1926;Gustav Stresemann;M
physics;55;2004;H. David Politzer;M
medicine;46;1968;H. Gobind Khorana;M
medicine;55;2002;H. Robert Horvitz;M
medicine;64;1967;Haldan K. Hartline;M
