packid;id;name;date;town;cntry;weight;height;played;lbs;pens;conv
39;30247;Pierre Spies;1985;Pretoria;South Africa;103;194;338;;0;0
39;30369;JP Pietersen;1986;Stellenbosch;South Africa;85;191;320;;0;0
39;30867;Johan Muller;1980;Cape Town;South Africa;106;200;36;;0;0
39;32042;Francois Hougaard;1988;Paarl;South Africa;86;179;158;;0;0
39;33049;Odwa Ndungane;1981;Umtata;South Africa;85;183;53;;0;0
39;33280;Jannie Du Plessis;1982;Bethlehem;South Africa;113;187;320;;0;0
39;34362;Tendai Mtawarira;1985;Harare;Zimbabwe;112;188;149;;0;0
39;35399;Heinrich Brüssow;1986;Bloemfontein;South Africa;101;181;260;;0;0
39;37026;Willem Alberts;1984;Pretoria;South Africa;115;191;178;;0;0
39;37145;Gio Aplon;1982;Hermanus;South Africa;70;175;80;;0;0
39;37230;Zane Kirchner;1984;George;South Africa;92;184;0;;0;0
39;37931;Juan De Jongh;1988;Paarl;South Africa;84;177;28;;0;0
39;39665;Pat Lambie;1990;Durban;South Africa;86;177;320;;0;0
39;39965;Francois Louw;1985;Cape Town;South Africa;110;190;103;;0;0
40;15696;Patricio Albacete;1981;Buenos Aires;Argentina;123;200;396;;0;0
40;16241;Rodrigo Roncero;1977;Buenos Aires;Argentina;113;177;206;;0;0
40;18047;Lucas Borges;1980;Buenos Aires;Argentina;82;175;0;;0;0
40;24767;Gonzalo Tiesi;1985;Buenos Aires;Argentina;92;184;36;;0;0
40;25284;Marcos Ayerza;1983;Buenos Aires;Argentina;113;186;120;;0;0
40;2544;Felipe Contepomi;1977;Buenos Aires;Argentina;95;180;257;;42;75
40;2555;Mario Ledesma Arocena;1973;Buenos Aires;Argentina;110;183;298;;0;0
40;2569;Martín Scelzo;1976;Buenos Aires;Argentina;126;190;126;;0;0
40;25972;Juan Martín Fernandez Lobbe;1981;Buenos Aires;Argentina;105;193;190;;0;0
40;26184;Juan Manuel Leguizamón;1983;Santiago del Estero;Argentina;105;190;372;;0;0
40;26186;Agustín Creevy;1985;Buenos Aires;Argentina;106;181;98;;0;0
40;26382;Horacio Agulla;1984;Buenos Aires;Argentina;90;181;354;;0;0
40;26389;Marcelo Bosch;1984;Buenos Aires;Argentina;95;186;373;;50;100
40;26401;Santiago Fernández;1985;Buenos Aires;Argentina;90;183;394;;0;0
40;26779;Manuel Carizza;1984;Santa Fe;Argentina;120;202;301;;0;0
40;28346;Nicolás Vergallo;1983;Rosario;Argentina;77;169;359;;0;0
40;29244;Juan Figallo;1988;Salta;Argentina;115;187;341;;0;0
40;30433;Agustín Gosio;1983;Buenos Aires;Argentina;85;177;8;;0;0
40;30437;Alfredo Lalanne;1983;Buenos Aires;Argentina;79;172;32;;0;0
40;30912;Genaro Fessia;1981;Córdoba;Argentina;103;188;64;;0;0
40;32114;Nicolás Sanchez;1988;San Miguel de Tucumán;Argentina;85;178;5;;0;0
40;33096;Gonzalo Camacho;1984;Buenos Aires;Argentina;82;173;289;;0;0
40;33383;Alejandro Campos;1983;Buenos Aires;Argentina;106;190;105;;0;0
40;33385;Lucas Gonzalez Amorosino;1985;Buenos Aires;Argentina;88;185;187;;0;0
40;36898;Juan Jose Imhoff;1988;Rosario;Argentina;84;184;183;;0;0
40;37040;Mariano Galarza;1986;Buenos Aires;Argentina;115;203;78;;0;0
40;37041;Leonardo Senatore;1984;Rosario;Argentina;106;191;144;;0;0
40;37944;Martín Rodríguez;1985;Rosario;Argentina;93;185;305;;27;83
40;41863;Maximiliano Bustos;1986;Santa Fe;Argentina;124;183;0;;0;0
40;41864;Julio Farias Cabello;1978;San Miguel de Tucumán;Argentina;109;193;388;;0;0
40;44189;Tomas Vallejos;1984;Rosario;Argentina;110;196;9;;0;0
41;10549;Mirco Bergamasco;1983;Padova;Italy;86;180;229;;71;50
41;10552;Marco Bortolami;1980;Padova;Italy;113;197;85;;0;0
41;11570;Sergio Parisse;1983;Mar del Plata;Argentina;104;196;292;;0;0
41;11667;Fabio Ongaro;1977;Venezia;Italy;104;183;52;;0;0
41;11668;Martin Castrogiovanni;1981;Paraná;Argentina;122;188;212;;0;0
41;13154;Andrea Masi;1981;L'Aquila;Italy;92;186;219;;0;0
41;21122;Gonzalo Canale;1982;Córdoba;Argentina;93;182;247;;0;0
41;23915;Carlo Del Fava;1981;Umtata;South Africa;115;197;60;;0;0
41;2454;Mauro Bergamasco;1979;Padova;Italy;98;185;197;;0;0
41;2460;Andrea Lo Cicero;1976;Catania;Italy;110;185;78;;0;0
41;2462;Salvatore Perugini;1978;Benevento;Italy;108;182;185;;0;0
41;24729;Luciano Orquera;1981;Córdoba;Argentina;78;171;186;;0;0
41;24759;Matteo Pratichetti;1985;Rome;Italy;100;190;80;;0;0
41;26620;Robert Barbieri;1984;Toronto;Canada;108;185;51;;0;0
41;26628;Leonardo Ghiraldini;1984;Padova;Italy;99;184;218;;0;0
41;26639;Fabio Semenzato;1986;Treviso;Italy;89;179;202;;0;0
41;26640;Alberto Sgarbi;1986;Montebelluna;Italy;99;191;20;;0;0
41;26642;Giulio Toniolatti;1984;Rome;Italy;85;183;106;;0;0
41;26645;Alessandro Zanni;1984;Udine;Italy;100;193;263;;0;0
41;27053;Pablo Canavosio;1981;Córdoba;Argentina;83;175;23;;0;0
41;29279;Luke McLean;1987;Townsville;Australia;95;190;181;;0;0
41;29583;Paul Derbyshire;1986;Cecina;Italy;100;192;149;;0;0
41;30923;Lorenzo Cittadini;1982;Bergamo;Italy;127;191;80;;0;0
41;31955;Tommaso D'Apice;1988;Benevento;Italy;105;180;44;;0;0
41;31966;Riccardo Bocchino;1988;Viterbo;Italy;82;180;124;;0;67
41;34228;Gonzalo Garcia;1984;Mendoza;Argentina;96;185;221;;0;0
41;34230;Franco Sbaraglini;1982;Mar del Plata;Argentina;103;180;0;;0;0
41;36948;Tommaso Benvenuti;1990;Vittorio Veneto;Italy;95;187;293;;0;0
41;36958;Edoardo Gori;1990;Prato;Italy;82;178;92;;0;0
41;37066;Quintin Geldenhuys;1981;Klerksdorp;South Africa;116;203;240;;0;0
