packid;id;name;date;town;cntry;weight;height;played;lbs;pens;conv
33;11520;Gethin Jenkins;1980;Cardiff;Wales;118;188;255;1;0;0
33;11521;Sonny Parker;1977;Thames;New Zealand;102;188;99;0;0;0
33;12510;Ceri Sweeney;1980;Pontypridd;Wales;87;181;23;0;0;50
33;15594;Jonathan Thomas;1982;Carmarthen;Wales;110;195;160;0;0;0
33;21352;Michael Phillips;1982;Carmarthen;Wales;103;190;102;2;0;0
33;21358;Adam Jones;1981;Morriston;Wales;127;183;135;0;0;0
33;21359;Huw Bennett;1983;Abergavenny;Wales;109;180;21;0;0;0
33;24093;Thomas Rhys Thomas;1982;Aberdare;Wales;105;186;121;0;0;0
33;26376;Alun-Wyn Jones;1985;Swansea;Wales;119;199;292;0;0;0
33;27128;Matthew Rees;1980;Church Village;Wales;108;182;178;0;0;0
33;28215;Chris Horsman;1977;Newport Pagnell;England;118;190;130;0;0;0
33;28270;Ian Evans;1984;Johannesburg;South Africa;116;203;93;0;0;0
33;30417;James Hook;1985;Neath;Wales;90;185;267;2;57.1;100
33;33102;Will James;1976;Plymouth;England;120;198;80;0;0;0
33;4113;Jamie Robinson;1980;Cardiff;Wales;98;187;73;0;0;0
33;4494;Dwayne Peel;1981;Carmarthen;Wales;87;182;195;0;0;0
33;4496;Tom Shanklin;1979;Harrow;England;100;188;247;1;0;0
33;7904;Michael Owen;1980;Pontypridd;Wales;115;197;66;0;0;0
33;7906;Duncan Jones;1978;Neath;Wales;110;182;120;0;0;0
33;924;Gareth Thomas;1974;Bridgend;Wales;101;190;133;0;0;0
33;943;Dafydd James;1975;Mufulira;Zambia;101;194;80;0;0;0
33;945;Martyn Williams;1975;Pontypridd;Wales;99;183;298;2;0;0
33;947;Colin Charvis;1972;Sutton Coldfield;England;112;194;248;1;0;0
33;951;Kevin Morgan;1977;Pontypridd;Wales;83;178;190;0;0;0
33;965;Ian Gough;1976;Panteg;Wales;119;196;146;0;0;0
33;967;Stephen Jones;1977;Aberystwyth;Wales;95;183;248;3;50;68.8
33;977;Shane Williams;1977;Swansea;Wales;80;170;320;2;0;0
33;985;Mark Jones;1979;Builth Wells;Wales;92;186;240;0;0;0
33;986;Alix Popham;1979;Newport;Wales;108;191;217;0;0;0
33;988;Gareth Cooper;1979;Bridgend;Wales;84;171;23;0;0;0
34;10555;Lewis Moody;1978;Ascot;England;103;195;311;0;0;0
34;10556;Ben Kay;1975;Liverpool;England;118;198;560;1;0;0
34;10763;Jason Robinson;1974;Leeds;England;85;172;332;2;0;0
34;10930;Steve Borthwick;1979;Carlisle;England;114;198;103;0;0;0
34;1185;Mike Catt;1971;Port Elizabeth;South Africa;91;181;327;0;0;0
34;1230;Martin Corry;1973;Birmingham;England;115;196;481;0;0;0
34;1253;Lawrence Dallaglio;1972;Shepherd's Bush;England;110;193;133;0;0;0
34;12545;Jamie Noon;1979;Goole;England;90;180;159;1;0;0
34;12548;Olly Barkley;1981;Hammersmith;England;92;180;212;2;100;66.7
34;1391;Andy Gomarsall;1974;Durham;England;86;176;425;0;0;0
34;1628;Josh Lewsey;1976;Bromley;England;88;179;439;0;0;0
34;18128;Mark Cueto;1979;Workington;England;96;183;312;1;0;0
34;18130;Andrew Sheridan;1979;Bromley;England;122;193;542;0;0;0
34;18150;Paul Sackey;1979;London;England;82;181;467;1;0;0
34;18170;Peter Richards;1978;Portsmouth;England;89;176;53;0;0;0
34;18176;George Chuter;1976;Greenwich;England;102;180;250;0;0;0
34;1862;Mark Regan;1972;Bristol;England;101;180;300;0;0;0
34;1956;Simon Shaw;1973;Nairobi;Kenya;124;203;440;0;0;0
