pgnw;freq;lgw;lgnw;idk;teryt;addr;coords;idk2;PiSp;POp
26.42;46.49;39;14;100259;181701;Areszt Śledczy|Sanok|Zaułek Dobrego Wojaka Szwejka 4 |38-500 ;100259;49.5550187 22.2060658;10.26;20.51
17.39;41.07;57;12;100504;182004;Oddział Zewnętrzny w Chmielowie Aresztu Śledczego w Nisku|Chmielów| |39-442 Chmielów;100504;50.5026517 21.6847642;12.28;8.77
11.90;41.28;148;20;100526;182104;Zakład Karny|Uherce Mineralne| 153|38-623 Uherce mineralne;100526;49.4641635 22.3983157;20.95;36.49
11.70;60.26;83;11;100595;186201;Świetlica Zakładu Karnego|Przemyśl|ul. Rokitniańska 1 |37-700 Przemyśl;100595;49.7838623 22.7677908;13.25;26.51
18.21;42.03;274;61;100694;186301;Zakład Karny w Rzeszowie|Rzeszów|Załęska 76 |35-322 Rzeszów;100694;50.0930175 22.0830335;15.33;46.35
14.05;57.08;104;17;101004;200501;Areszt Śledczy|Hajnówka|ul. Warszawska 67 |17-200 Hajnówka;101004;52.74514 23.58165;7.69;37.50
18.18;48.89;72;16;101416;201403;Zakład Karny w Grądach-Woniecko|Grądy-Woniecko| 34 |18-312 Rutki-Kossaki;101416;53.0914694 22.435237;20.83;31.94
10.05;33.39;170;19;101438;201405;Zakład Karny w Czerwonym Borze|Czerwony Bór| 2 |18-400 Łomża;101438;53.1781197 22.0590321;13.53;51.18
14.56;37.45;88;15;101619;206101;Zakład Karny|Białystok|Hetmańska 89 |15-727 Białystok;101619;53.1276741 23.1167364;6.82;59.09
19.01;42.98;196;46;101620;206101;Areszt Śledczy|Białystok|Kopernika 21 |15-377 Białystok;101620;53.1243515 23.123866;12.24;49.49
18.33;40.89;196;44;101687;206301;Areszt Śledczy|Suwałki|Wojska Polskiego 29 |16-400 Suwałki;101687;54.1115218 22.9307881;13.27;41.33
6.00;36.50;47;3;101783;220201;Świetlica Aresztu Śledczego|Chojnice|Pietruszkowa 4 |89-600 Chojnice;101783;53.6944002 17.5569252;10.64;42.55
37.50;56.14;20;12;101826;220204;Oddział Zewnętrzny Aresztu Śledczego w Chojnicach|Czersk|Dworcowa 29 |89-650 Czersk;101826;53.7950936 17.9763977;5.00;40.00
13.76;35.61;395;63;101845;220302;Zakład Karny|Czarne|Pomorska 1 |77-330 Czarne;101845;53.6840759 16.9383968;7.09;61.27
10.11;28.62;160;18;102088;220701;Zakład Karny|Kwidzyn|ul. Lotnicza 1 |82-500 Kwidzyn;102088;53.7235681 18.9398024;8.12;71.25
14.42;45.41;89;15;102199;220901;Zakład Karny|Malbork|Poczty Gdańskiej 19a |82-200 Malbork;102199;54.0361319 19.0379763;12.36;53.93
14.97;55.85;142;25;102310;221201;Areszt Śledczy w Słupsku Oddział Zewnętrzny w Ustce|Ustka|Darłowska 1b |76-270 Ustka;102310;54.5805607 16.861891;12.68;59.86
13.97;55.51;117;19;102419;221303;Areszt Śledczy|Starogard Gdański|Kościuszki 30 a |83-200 Starogard Gdański;102419;53.965614 18.5162736;11.97;62.39
15.47;51.13;153;28;102615;221503;Areszt Śledczy|Wejherowo|Sobieskiego 302 |84-200 Wejherowo;102615;54.6003216 18.2330487;6.54;64.71
12.84;47.26;353;52;102721;221605;Zakład Karny w Sztumie|Sztum|Nowowiejskiego 14 |82-400 Sztum;102721;53.9208518 19.0295929;8.22;71.10
12.25;42.10;222;31;102930;226101;Zakład Karny|Gdańsk, Przeróbka|ul. Siennicka 23 |80-705 Gdańsk 50;102930;51.8553704 4.5102702;17.57;47.75
15.37;58.21;402;73;102931;226101;Areszt Śledczy|Gdańsk, Śródmieście|ul. Kurkowa 12 |80-803 Gdańsk 50;102931;51.8553704 4.5102702;6.47;67.16
8.54;55.41;75;7;103113;226301;Areszt Śledczy|Słupsk|ul. Sądowa 1 |76-200 Słupsk;103113;54.464148 17.0284824;12.00;53.33
