okreg;nrlisty;komitet;numer;kto;glosy;procent;NX
10;1;PiS;1;Antoni MACIEREWICZ;33960;11.89;PX
10;1;PiS;2;Anna Maria MILCZANOWSKA;11562;4.05;PX
10;1;PiS;3;Robert TELUS;18670;6.53;PX
10;1;PiS;4;Bartłomiej Sebastian MISIEWICZ;1992;0.70;NX
10;1;PiS;5;Grzegorz Michał WOJCIECHOWSKI;21163;7.41;PX
10;1;PiS;6;Krzysztof MACIEJEWSKI;6818;2.39;PX
10;1;PiS;7;Mariusz Tomasz WĘGRZYNOWSKI;5266;1.84;NX
10;1;PiS;8;Mirosław KUKLIŃSKI;3735;1.31;NX
10;1;PiS;9;Grzegorz Andrzej LOREK;6344;2.22;NX
10;1;PiS;10;Leszek TRĘBSKI;4558;1.60;NX
10;1;PiS;11;Anna Irena PIETRASZKO;1444;0.51;NX
10;1;PiS;12;Zofia Aleksandra SZYMAŃSKA;1878;0.66;NX
10;1;PiS;13;Agnieszka Katarzyna WYSOCKA;3598;1.26;NX
10;1;PiS;14;Ewa Beata WENDROWSKA;1938;0.68;NX
10;1;PiS;15;Magdalena Małgorzata LASOTA;1141;0.40;NX
10;1;PiS;16;Bożena MESZKA-STEFANOWSKA;328;0.11;NX
10;1;PiS;17;Dariusz Jan KUBIAK;8004;2.80;PX
10;1;PiS;18;Jan PAWLIKOWSKI;1735;0.61;NX
10;2;PO;1;Dorota RUTKOWSKA;10157;3.55;PX
10;2;PO;2;Elżbieta RADZISZEWSKA;12741;4.46;PX
10;2;PO;3;Arkadiusz Paweł ROŻNIATOWSKI;1371;0.48;NX
10;2;PO;4;Magdalena Sylwia SPÓLNICKA;4048;1.42;NX
10;2;PO;5;Sylwester Wojciech KUCHARSKI;2457;0.86;NX
10;2;PO;6;Andrzej Wiesław CZAPLA;2750;0.96;NX
10;2;PO;7;Jacek Marian SOKALSKI;1195;0.42;NX
10;2;PO;8;Ewa GRONOSTAJ-URBAŃSKA;391;0.14;NX
10;2;PO;9;Teresa Wiesława PIETRZAK;814;0.28;NX
10;2;PO;10;Agnieszka Beata DRZEWOSKA-ŁUCZAK;1716;0.60;NX
10;2;PO;11;Hanna Marianna MOSCARDO-MALINOWSKI;120;0.04;NX
10;2;PO;12;Grzegorz Józef SIEDLECKI;1133;0.40;NX
10;2;PO;13;Konrad Andrzej CZYŻYŃSKI;234;0.08;NX
10;2;PO;14;Beata WIKTOROWICZ;1329;0.47;NX
10;2;PO;15;Tadeusz Ryszard BUJNOWSKI;1731;0.61;NX
10;2;PO;16;Jacek Stefan GRZELAK;324;0.11;NX
10;2;PO;17;Bartosz Mariusz URBAŃCZYK;315;0.11;NX
10;2;PO;18;Jan TOMASZEWSKI;1347;0.47;NX
10;3;RAZEM;1;Wioleta Magdalena KRYSIAK;4049;1.42;NX
10;3;RAZEM;2;Mariusz Łukasz PODPORA;1196;0.42;NX
10;3;RAZEM;3;Agata Maria GROCHULSKA-BUCEWKA;481;0.17;NX
10;3;RAZEM;4;Artur RÓŻALSKI;519;0.18;NX
10;3;RAZEM;5;Natalia Krystyna WAŁKUSKA;330;0.12;NX
10;3;RAZEM;6;Rafał BARTOSIEWICZ;652;0.23;NX
10;3;RAZEM;7;Aleksandra RAŁ;353;0.12;NX
10;3;RAZEM;8;Jacek Edward OSIŃSKI;391;0.14;NX
10;3;RAZEM;9;Jolanta Kazimiera JELONKIEWICZ;120;0.04;NX
10;3;RAZEM;10;Kasper Cezary ŁUGOWSKI;225;0.08;NX
10;3;RAZEM;11;Barbara Ewa WINNICKA-SZMIELEW;431;0.15;NX
10;4;KORWiN;1;Lech Tomasz KĘDZIERSKI;5316;1.86;NX
10;4;KORWiN;2;Dariusz Paweł WOŹNIAK;1897;0.66;NX
10;4;KORWiN;3;Wojciech Zdzisław PŁACHETA;471;0.16;NX
10;4;KORWiN;4;Anna OLAK;654;0.23;NX
10;4;KORWiN;5;Dawid Paweł KASPRZYCA;390;0.14;NX
10;4;KORWiN;6;Marta Magdalena ADAMCZYK;271;0.09;NX
10;4;KORWiN;7;Mateusz Sebastian KOPIŃSKI;246;0.09;NX
10;4;KORWiN;8;Katarzyna WÓJCIK;334;0.12;NX
10;4;KORWiN;9;Mateusz Adam KURCZYNA;149;0.05;NX
10;4;KORWiN;10;Jagoda Katarzyna OLEJNIK;282;0.10;NX
10;4;KORWiN;11;Bartosz Adrian TRĘBSKI;180;0.06;NX
10;4;KORWiN;12;Jakub Radosław BRZEZIŃSKI;216;0.08;NX
10;4;KORWiN;13;Bożena Teresa UTECHT;79;0.03;NX
10;4;KORWiN;14;Alicja Maria DOBIESZ;122;0.04;NX
10;4;KORWiN;15;Sebastian Krystian MIELCZAREK;553;0.19;NX
10;5;PSL;1;Dariusz KLIMCZAK;6081;2.13;NX
10;5;PSL;2;Krystyna Ewa OZGA;3383;1.18;NX
10;5;PSL;3;Artur Jan BAGIEŃSKI;2808;0.98;NX
10;5;PSL;4;Barbara Danuta ROBAK;737;0.26;NX
10;5;PSL;5;Wojciech ŚLUSARCZYK;690;0.24;NX
10;5;PSL;6;Szczepan Józef CHRZĘST;607;0.21;NX
10;5;PSL;7;Alojzy WŁODARCZYK;1681;0.59;NX
10;5;PSL;8;Anna Małgorzata KRÓL-POSPIESZNY;747;0.26;NX
10;5;PSL;9;Jan WIERUSZEWSKI;667;0.23;NX
10;5;PSL;10;Stanisław WITASZCZYK;1708;0.60;NX
10;5;PSL;11;Małgorzata Agnieszka KUBIK;323;0.11;NX
10;5;PSL;12;Piotr Henryk SKIERKOWSKI;114;0.04;NX
10;5;PSL;13;Ewa Marzena MILCZAREK;394;0.14;NX
10;5;PSL;14;Ewa Elżbieta ZAWADZKA;205;0.07;NX
10;5;PSL;15;Leszek STACHOWIAK;159;0.06;NX
10;5;PSL;16;Jerzy Jacek KOWALCZYK;227;0.08;NX
10;5;PSL;17;Monika Agnieszka MATUSIEWICZ;150;0.05;NX
10;5;PSL;18;Paulina Agnieszka DZIADCZYK;683;0.24;NX
10;6;ZLEW;1;Artur Zygmunt OSTROWSKI;9824;3.44;NX
10;6;ZLEW;2;Marek Robert DOMARACKI;1142;0.40;NX
10;6;ZLEW;3;Barbara Ewa PIREK;1008;0.35;NX
10;6;ZLEW;4;Arkadiusz Stanisław CIACH;2080;0.73;NX
10;6;ZLEW;5;Agnieszka Dorota WIKTOROWICZ;847;0.30;NX
10;6;ZLEW;6;Dorota Jadwiga BOGATKO;1046;0.37;NX
10;6;ZLEW;7;Dominik SZAJBLER;757;0.26;NX
10;6;ZLEW;8;Marta Elżbieta MARKUN;300;0.10;NX
10;6;ZLEW;9;Agata WOJTANIA;535;0.19;NX
10;6;ZLEW;10;Jolanta Ewa DWORZYŃSKA;307;0.11;NX
10;6;ZLEW;11;Piotr Mariusz PIERKOŚ;262;0.09;NX
10;6;ZLEW;12;Stanisław Paweł BARYŁA;457;0.16;NX
10;6;ZLEW;13;Paweł ROCHMIŃSKI;164;0.06;NX
10;6;ZLEW;14;Agnieszka BIENIAS;423;0.15;NX
10;6;ZLEW;15;Ewa Justyna JĘDRZEJCZYK;329;0.12;NX
10;6;ZLEW;16;Katarzyna Genowefa KRZEMIŃSKA;150;0.05;NX
10;6;ZLEW;17;Maria Bronisława MORAWSKA;389;0.14;NX
