okreg;nrlisty;komitet;numer;kto;glosy;procent;NX
10;6;ZLEW;18;Marek KRAWCZYK;1332;0.47;NX
10;7;KUKIZ;1;Rafał Piotr WÓJCIKOWSKI;9135;3.20;PX
10;7;KUKIZ;2;Małgorzata Monika JANOWSKA;2877;1.01;NX
10;7;KUKIZ;3;Karol Roman KOSTRZEWA;2214;0.77;NX
10;7;KUKIZ;4;Jacek Krzysztof RAK;1408;0.49;NX
10;7;KUKIZ;5;Hubert Stanisław CZERNIAK;2038;0.71;NX
10;7;KUKIZ;6;Jan MADEJ;948;0.33;NX
10;7;KUKIZ;7;Piotr Roland RADZISZEWSKI;823;0.29;NX
10;7;KUKIZ;8;Paweł Piotr KOBYŁCZAK;361;0.13;NX
10;7;KUKIZ;9;Ewa Anita OLCZAK-SCHLODIŃSKA;423;0.15;NX
10;7;KUKIZ;10;Dariusz Włodzimierz GAWRON;760;0.27;NX
10;7;KUKIZ;11;Magdalena STAŃCZYK;830;0.29;NX
10;7;KUKIZ;12;Joanna Elżbieta MIŚKIEWICZ;469;0.16;NX
10;7;KUKIZ;13;Elżbieta Urszula PIETRZAK;378;0.13;NX
10;7;KUKIZ;14;Tomasz Emil CIĘŻKI;1170;0.41;NX
10;7;KUKIZ;15;Grzegorz Marek NICIA;783;0.27;NX
10;7;KUKIZ;16;Paulina Patrycja ŁASKA;759;0.27;NX
10;7;KUKIZ;17;Agnieszka Katarzyna STĘPIEŃ;792;0.28;NX
10;7;KUKIZ;18;Zbigniew Antoni WŁODARCZYK;2640;0.92;NX
10;8;PETRU;1;Agnieszka Maria ŁUCZAK;8482;2.97;NX
10;8;PETRU;2;Dariusz Norbert WATA;1953;0.68;NX
10;8;PETRU;3;Przemysław Piotr KOSOWSKI;778;0.27;NX
10;8;PETRU;4;Tomasz Henryk ZAJĄCZKOWSKI;379;0.13;NX
10;8;PETRU;5;Marzena Wioletta ŻEMEJDA-ZYBURA;353;0.12;NX
10;8;PETRU;6;Agnieszka ALKSNIN;580;0.20;NX
10;8;PETRU;7;Kamil Kazimierz CHMIELEWSKI;373;0.13;NX
10;8;PETRU;8;Marcin Przemysław GRZELCZAK;331;0.12;NX
10;8;PETRU;9;Anna Maria FULTZ;160;0.06;NX
10;8;PETRU;10;Karol KUCHARSKI;318;0.11;NX
10;8;PETRU;11;Sylwia Anna KOSZARNA;212;0.07;NX
10;8;PETRU;12;Kamil Paweł BUGDAL;349;0.12;NX
10;8;PETRU;13;Sławomir KAŹMIERCZAK;278;0.10;NX
10;8;PETRU;14;Anna Renata LISTWOŃ;181;0.06;NX
10;8;PETRU;15;Andrzej NOWAKOWSKI;228;0.08;NX
10;8;PETRU;16;Marta Ewa KRASZKIEWICZ;144;0.05;NX
10;8;PETRU;17;Aleksandra Jolanta LANGE;301;0.11;NX
10;8;PETRU;18;Andrzej Jerzy SENEJKO;583;0.20;NX
11;1;PiS;1;Witold Jan WASZCZYKOWSKI;32909;8.90;PX
11;1;PiS;2;Grzegorz Zenon SCHREIBER;15948;4.31;PX
11;1;PiS;3;Beata Anna MATEUSIAK-PIELUCHA;12059;3.26;PX
11;1;PiS;4;Tadeusz Jacek WOŹNIAK;11011;2.98;PX
11;1;PiS;5;Marek MATUSZEWSKI;13880;3.75;PX
11;1;PiS;6;Piotr Stanisław POLAK;16637;4.50;PX
11;1;PiS;7;Krzysztof CIEBIADA;6381;1.73;NX
11;1;PiS;8;Łukasz Adrian RZEPECKI;9229;2.50;PX
11;1;PiS;9;Jolanta Krystyna ŚMIAŁEK;2088;0.56;NX
11;1;PiS;10;Wieńczysław Jerzy KAŹMIERCZAK;1578;0.43;NX
11;1;PiS;11;Paweł Piotr RYCHLIK;8499;2.30;NX
11;1;PiS;12;Katarzyna PAPROTA;3112;0.84;NX
11;1;PiS;13;Andrzej Henryk ŚNIEGULA;1280;0.35;NX
11;1;PiS;14;Anna Elżbieta DYRGOŃ-BIAŁOWĄS;430;0.12;NX
11;1;PiS;15;Konrad KŁOPOTOWSKI;1357;0.37;NX
11;1;PiS;16;Sylwia PRAŻNOWSKA;781;0.21;NX
11;1;PiS;17;Marek Paweł ZNYK;1493;0.40;NX
11;1;PiS;18;Sylwia Marianna WRZAŁA;470;0.13;NX
11;1;PiS;19;Marek DRABIK;800;0.22;NX
11;1;PiS;20;Piotr Andrzej ZALEWSKI;1213;0.33;NX
11;1;PiS;21;Elżbieta HENKE;1071;0.29;NX
11;1;PiS;22;Joanna Aneta KOCHAŃSKA;1332;0.36;NX
11;1;PiS;23;Ewa Eugenia SZCZEPAŃCZYK;1104;0.30;NX
11;1;PiS;24;Michał Bazyli KRZAK;2961;0.80;NX
11;2;PO;1;Cezary Józef TOMCZYK;26781;7.24;PX
11;2;PO;2;Agnieszka Małgorzata HANAJCZYK;12128;3.28;PX
11;2;PO;3;Witold Heronim STĘPIEŃ;5686;1.54;NX
11;2;PO;4;Jacek SIKORA;6498;1.76;NX
11;2;PO;5;Iwona Barbara SZKOPIŃSKA;2511;0.68;NX
11;2;PO;6;Kamil SOBOL;1778;0.48;NX
11;2;PO;7;Marcel Jakub JAROSŁAWSKI;1078;0.29;NX
11;2;PO;8;Piotr Lucjan MAJER;1230;0.33;NX
11;2;PO;9;Bartłomiej BARTOS;1630;0.44;NX
11;2;PO;10;Marek KRAWCZYK;1753;0.47;NX
11;2;PO;11;Tomasz Piotr BORGUL;633;0.17;NX
11;2;PO;12;Paweł Maciej KULESZA;1355;0.37;NX
11;2;PO;13;Arkadiusz JAKSA;1902;0.51;NX
11;2;PO;14;Edyta Grażyna STRUMIAN;690;0.19;NX
11;2;PO;15;Paweł URBANIAK;496;0.13;NX
11;2;PO;16;Ada HEICHMAN;372;0.10;NX
11;2;PO;17;Sławomira MARCZAK;328;0.09;NX
11;2;PO;18;Ewa Antonina BAUMANN;348;0.09;NX
11;2;PO;19;Bogusława KOŁODZIEJCZAK;418;0.11;NX
11;2;PO;20;Bogusława BEREŻEWSKA;297;0.08;NX
11;2;PO;21;Robert Jan MAJCZYK;588;0.16;NX
11;2;PO;22;Monika Katarzyna PAWLAK-SZPOTAN;615;0.17;NX
11;2;PO;23;Justyna Krystyna PAŁKA;1117;0.30;NX
11;2;PO;24;Artur Jerzy DUNIN;8082;2.19;PX
11;3;RAZEM;1;Mateusz Piotr MIRYS;5138;1.39;NX
11;3;RAZEM;2;Marta Magdalena KROMKOWSKA;1545;0.42;NX
11;3;RAZEM;3;Jakub Przemysław KLIMCZAK;1037;0.28;NX
11;3;RAZEM;4;Justyna GOLISZEWSKA;759;0.21;NX
11;3;RAZEM;5;Przemysław Sebastian DOBROWOLSKI;563;0.15;NX
11;3;RAZEM;6;Zuzanna WOYDA;515;0.14;NX
11;3;RAZEM;7;Sylwester GŁOWACKI;482;0.13;NX
11;3;RAZEM;8;Aleksandra Magdalena SONTOWSKA;204;0.06;NX
11;3;RAZEM;9;Krzysztof Adam LITWINOWICZ;220;0.06;NX
11;3;RAZEM;10;Olga Edyta ŻUKOWICZ;306;0.08;NX
11;3;RAZEM;11;Karol MAŚLANKA;498;0.13;NX
11;3;RAZEM;12;Katarzyna Anna WIECZOREK;630;0.17;NX
11;3;RAZEM;13;Hubert KORCZYC;313;0.08;NX
11;3;RAZEM;14;Ewelina Małgorzata WÓJCIKOWSKA;867;0.23;NX
11;4;KORWiN;1;Waldemar Arkadiusz UTECHT;6326;1.71;NX
11;4;KORWiN;2;Magdalena GAPIŃSKA;1215;0.33;NX
11;4;KORWiN;3;Bolesław EJSMONT;831;0.22;NX
11;4;KORWiN;4;Krystian WANDACHOWICZ;543;0.15;NX
11;4;KORWiN;5;Mariusz KACPEROWSKI;837;0.23;NX
11;4;KORWiN;6;Łukasz Artur OŻADOWICZ;303;0.08;NX
11;4;KORWiN;7;Katarzyna Krystyna WŁODARCZYK;458;0.12;NX
11;4;KORWiN;8;Marta Daria BOCZKOWSKA-LESIAK;186;0.05;NX
11;4;KORWiN;9;Adam Jan WOLNIEWICZ;468;0.13;NX
11;4;KORWiN;10;Piotr SZOSZKIEWICZ;259;0.07;NX
11;4;KORWiN;11;Łukasz Stanisław RUSZKOWSKI;188;0.05;NX
11;4;KORWiN;12;Robert Tomasz JABŁOŃSKI;374;0.10;NX
11;4;KORWiN;13;Bartłomiej Krzysztof PIASKOWSKI;250;0.07;NX
11;4;KORWiN;14;Żaneta Anna NOCHOWICZ;144;0.04;NX
11;4;KORWiN;15;Magdalena STEFAŃSKA;177;0.05;NX
11;4;KORWiN;16;Michał Jan JABŁOŃSKI;267;0.07;NX
11;4;KORWiN;17;Mateusz Rafał BOROWSKI;452;0.12;NX
11;4;KORWiN;18;Aleksandra Ewa STOS;175;0.05;NX
11;4;KORWiN;19;Julia GAMALCZYK;135;0.04;NX
11;4;KORWiN;20;Wojciech NOWOJEWSKI;201;0.05;NX
11;4;KORWiN;21;Angelika Anna JURCZAK;296;0.08;NX
11;4;KORWiN;22;Magdalena Dorota BEDNAREK;356;0.10;NX
11;4;KORWiN;23;Artur Piotr MARCZAK;314;0.08;NX
11;4;KORWiN;24;Zbigniew Zenon OSIEWAŁA;416;0.11;NX
11;5;PSL;1;Paweł Jan BEJDA;6283;1.70;PX
11;5;PSL;2;Elżbieta Renata NAWROCKA;3620;0.98;NX
11;5;PSL;3;Cezary Zbigniew GABRYJĄCZYK;1416;0.38;NX
11;5;PSL;4;Michał Tomasz PACHOLSKI;779;0.21;NX
11;5;PSL;5;Andrzej Robert GÓRCZYŃSKI;1886;0.51;NX
11;5;PSL;6;Marek KAPICA;835;0.23;NX
11;5;PSL;7;Andrzej Franciszek CHOWIS;1733;0.47;NX
11;5;PSL;8;Tadeusz Jerzy ŚLUSAREK;1013;0.27;NX
11;5;PSL;9;Sławomierz Kazimierz JANISZEWSKI;499;0.13;NX
11;5;PSL;10;Zbigniew Marek STASIAK;1459;0.39;NX
11;5;PSL;11;Artur Jerzy ŁAWNICZAK;1105;0.30;NX
11;5;PSL;12;Justyna Magdalena JASIŃSKA;282;0.08;NX
11;5;PSL;13;Lidia Małgorzata ELERT;793;0.21;NX
11;5;PSL;14;Małgorzata GABRYELCZAK;485;0.13;NX
11;5;PSL;15;Zofia Henryka ROGOWSKA-TYLMAN;246;0.07;NX
11;5;PSL;16;Marta GAJEWSKA;352;0.10;NX
11;5;PSL;17;Andrzej DANIŁOWICZ;340;0.09;NX
11;5;PSL;18;Małgorzata Anna KANIA;262;0.07;NX
11;5;PSL;19;Marek Jan KRAWCZYK;410;0.11;NX
11;5;PSL;20;Iwona Anna OBIEDZIŃSKA;185;0.05;NX
11;5;PSL;21;Dariusz SZYSZKA;313;0.08;NX
11;5;PSL;22;Jarosław KLIMAS;1290;0.35;NX
11;5;PSL;23;Jolanta ZIĘBA-GZIK;1625;0.44;NX
11;5;PSL;24;Piotr Paweł SĘCZKOWSKI;1833;0.50;NX
11;6;ZLEW;1;Cezary Roman OLEJNICZAK;16163;4.37;NX
11;6;ZLEW;2;Marek Jan SZEWCZYK;746;0.20;NX
11;6;ZLEW;3;Mariola Ewa HERNAS;1297;0.35;NX
11;6;ZLEW;4;Zbigniew Stanisław KRASIŃSKI;1077;0.29;NX
11;6;ZLEW;5;Marcin KARPIŃSKI;1333;0.36;NX
11;6;ZLEW;6;Kinga Magdalena SOLECKA;862;0.23;NX
11;6;ZLEW;7;Bogusław Bernard FOKS;655;0.18;NX
11;6;ZLEW;8;Henryk Tomasz OCIEPA;472;0.13;NX
11;6;ZLEW;9;Maria Nina PRZYTULSKA;486;0.13;NX
11;6;ZLEW;10;Anna DIDOWICZ;632;0.17;NX
11;6;ZLEW;11;Grażyna KRZESIŃSKA;296;0.08;NX
11;6;ZLEW;12;Damian ROSIAK;638;0.17;NX
11;6;ZLEW;13;Olga JĘDRYSIAK-URBAŃSKA;335;0.09;NX
11;6;ZLEW;14;Małgorzata Stanisława MOSIŃSKA;208;0.06;NX
11;6;ZLEW;15;Marcin BIRLET;315;0.09;NX
11;6;ZLEW;16;Anna Jolanta CHROSTEK;415;0.11;NX
11;6;ZLEW;17;Agnieszka PŁUCIENNIK;599;0.16;NX
11;6;ZLEW;18;Mirosław Andrzej RUDOWSKI;41;0.01;NX
11;6;ZLEW;19;Bogumiła Elżbieta LEWANDOWSKA;387;0.10;NX
11;6;ZLEW;20;Janusz PAWLAK;467;0.13;NX
11;6;ZLEW;21;Łukasz Kamil GOŁUSZKO;178;0.05;NX
11;6;ZLEW;22;Agnieszka Katarzyna REPCZAŃSKA;341;0.09;NX
11;6;ZLEW;23;Marek Józef GRYGLEWSKI;2313;0.63;NX
11;7;KUKIZ;1;Tomasz Piotr RZYMKOWSKI;11977;3.24;PX
11;7;KUKIZ;2;Paweł Zbigniew OLCZAK;3543;0.96;NX
11;7;KUKIZ;3;Ryszard Marian TKACZ;1792;0.48;NX
11;7;KUKIZ;4;Radosław Tomasz KIJAK;785;0.21;NX
11;7;KUKIZ;5;Julita Jadwiga MARCINIAK-SPALENIAK;1156;0.31;NX
11;7;KUKIZ;6;Patrycjusz Jan GŁADKI;1312;0.35;NX
11;7;KUKIZ;7;Marcin Bogdan ŻYWICA;2101;0.57;NX
11;7;KUKIZ;8;Dariusz Wojciech JAKÓBEK;1060;0.29;NX
11;7;KUKIZ;9;Milena Barbara SZCZĘSNA;1982;0.54;NX
11;7;KUKIZ;10;Piotr Krzysztof KLIMCZAK;1632;0.44;NX
11;7;KUKIZ;11;Marzena Edyta BIELECKA;1094;0.30;NX
11;7;KUKIZ;12;Anita Dorota MAŁGORZEWICZ;759;0.21;NX
11;7;KUKIZ;13;Bartosz Zbigniew SNELEWSKI;293;0.08;NX
11;7;KUKIZ;14;Teresa SŁUBIK;346;0.09;NX
11;7;KUKIZ;15;Tomasz Andrzej KAMIŃSKI;1003;0.27;NX
11;7;KUKIZ;16;Jolanta MITKA;2138;0.58;NX
11;8;PETRU;1;Adam Olgierd ROGALA-LEWICKI;8773;2.37;NX
11;8;PETRU;2;Tomasz BIAŁOBŁOCKI;1152;0.31;NX
11;8;PETRU;3;Marcin Miłosz SIERADZKI;1376;0.37;NX
11;8;PETRU;4;Iwona Elżbieta LEWANDOWSKA;2456;0.66;NX
11;8;PETRU;5;Marian LEMAŃSKI;698;0.19;NX
11;8;PETRU;6;Izabela WALASZCZYK-GROSS;583;0.16;NX
11;8;PETRU;7;Adrian Dariusz LISIAK;270;0.07;NX
11;8;PETRU;8;Justyna Anna BŁAŻEJEWICZ;425;0.11;NX
11;8;PETRU;9;Rafał OGRODOWCZYK;383;0.10;NX
11;8;PETRU;10;Beata DUDKIEWICZ;679;0.18;NX
11;8;PETRU;11;Jarosław BUDA;573;0.15;NX
11;8;PETRU;12;Aneta Elżbieta MOSZCZYŃSKA;224;0.06;NX
11;8;PETRU;13;Piotr Jakub STANIOSZ;213;0.06;NX
11;8;PETRU;14;Izabela LUBCZYŃSKA;276;0.07;NX
11;8;PETRU;15;Marcin Łukasz MUSKAŁA;92;0.02;NX
11;8;PETRU;16;Grażyna Urszula WELC;133;0.04;NX
11;8;PETRU;17;Damian LAŚKIEWICZ;152;0.04;NX
11;8;PETRU;18;Piotr Rafał KOPROWSKI;200;0.05;NX
11;8;PETRU;19;Tomasz GÓRCZYŃSKI;1023;0.28;NX
11;10;STONOGA;1;Bartosz BĄBRYCH;807;0.22;NX
11;10;STONOGA;2;Tomasz Edmund ŻÓŁTOWSKI;107;0.03;NX
11;10;STONOGA;3;Marcin KIESZKOWSKI;110;0.03;NX
11;10;STONOGA;4;Mateusz Artur WAWROWSKI;44;0.01;NX
11;10;STONOGA;5;Krzysztof MATUSZCZAK;69;0.02;NX
11;10;STONOGA;6;Michał DOMAGALSKI;100;0.03;NX
11;10;STONOGA;7;Ewa Marianna BEDNAREK;96;0.03;NX
11;10;STONOGA;8;Adam Krzysztof MATUSZCZYK;63;0.02;NX
11;10;STONOGA;9;Sylwia Magdalena KNOPIK;63;0.02;NX
11;10;STONOGA;10;Robert Romuald WAWROWSKI;23;0.01;NX
11;10;STONOGA;11;Katarzyna Marta SZYMAŃSKA;77;0.02;NX
11;10;STONOGA;12;Kamil SIATKOWSKI;57;0.02;NX
11;10;STONOGA;13;Karolina Paulina PACZKOWSKA;53;0.01;NX
11;10;STONOGA;14;Sylwia FOLWARCZYK;49;0.01;NX
11;10;STONOGA;15;Dominik Mateusz ROBASZEK;28;0.01;NX
11;10;STONOGA;16;Katarzyna WAWROWSKA;21;0.01;NX
11;10;STONOGA;17;Żaneta Maria BEDNAREK;23;0.01;NX
11;10;STONOGA;18;Magdalena Joanna OCIEPA;37;0.01;NX
11;10;STONOGA;19;Sebastian JÓREK;36;0.01;NX
11;10;STONOGA;20;Natalia Maria BĄBRYCH;42;0.01;NX
11;13;SAMOOBRONA;1;Andrzej URBANIAK;208;0.06;NX
11;13;SAMOOBRONA;2;Genowefa Helena MIŁEK;58;0.02;NX
11;13;SAMOOBRONA;3;Jerzy Marek PRZESPOLEWSKI;90;0.02;NX
11;13;SAMOOBRONA;4;Józef KAŹMIERSKI;22;0.01;NX
11;13;SAMOOBRONA;5;Elżbieta Małgorzata ŁOJKO;14;0.00;NX
11;13;SAMOOBRONA;6;Magdalena Maria KUŹNIK;26;0.01;NX
11;13;SAMOOBRONA;7;Czesław Kazimierz GAWLIK;20;0.01;NX
11;13;SAMOOBRONA;8;Honorata WIEDEŃSKA;15;0.00;NX
11;13;SAMOOBRONA;9;Lesław Marek KUBIAK;18;0.00;NX
11;13;SAMOOBRONA;10;Kazimierz ZAKRĘTA;11;0.00;NX
11;13;SAMOOBRONA;11;Julita Katarzyna WRÓBEL;29;0.01;NX
11;13;SAMOOBRONA;12;Janusz Ireneusz RATAJCZYK;14;0.00;NX
11;13;SAMOOBRONA;13;Justyna Bogumiła BORECKA;17;0.00;NX
11;13;SAMOOBRONA;14;Jakub WÓJCIK;30;0.01;NX
11;13;SAMOOBRONA;15;Henryk Bogdan WIĘCKOWSKI;8;0.00;NX
11;13;SAMOOBRONA;16;Ewa Helena GOŁĘBIOWSKA;19;0.01;NX
11;13;SAMOOBRONA;17;Grzegorz Jan BOLIMOWSKI;2;0.00;NX
11;13;SAMOOBRONA;18;Robert Ryszard KOPROWSKI;6;0.00;NX
11;13;SAMOOBRONA;19;Jarosław Mikołaj WAŚKIEWICZ;1;0.00;NX
11;13;SAMOOBRONA;20;Piotr Krzysztof PIŁATOWSKI;22;0.01;NX
11;13;SAMOOBRONA;21;Marlena SZYMAŃSKA;82;0.02;NX
11;14;BRAUN;1;Marek Zbigniew KAŹMIERCZAK;277;0.07;NX
11;14;BRAUN;2;Wiesław MARCINIAK;47;0.01;NX
11;14;BRAUN;3;Marian Józef KOCZUR;38;0.01;NX
11;14;BRAUN;4;Józef KOKOSZKA;50;0.01;NX
11;14;BRAUN;5;Ireneusz Kazimierz WIDERSKI;21;0.01;NX
11;14;BRAUN;6;Krzysztof PIECZEWSKI;14;0.00;NX
11;14;BRAUN;7;Marzena Teresa MARCZAK;91;0.02;NX
11;14;BRAUN;8;Aleksandra Józefa JANICKA;43;0.01;NX
11;14;BRAUN;9;Piotr Maksymilian BOJSKI;68;0.02;NX
11;14;BRAUN;10;Łukasz Bogumił PAŃCZAK;39;0.01;NX
11;14;BRAUN;11;Bogdan TOMASZEWSKI;27;0.01;NX
11;14;BRAUN;12;Beata KOMAREWSKA;28;0.01;NX
11;14;BRAUN;13;Jan KURDYK;27;0.01;NX
11;14;BRAUN;14;Mariola DĄBROWSKA;42;0.01;NX
11;14;BRAUN;15;Bernadeta WALCZAK;26;0.01;NX
11;14;BRAUN;16;Maria Jolanta MALINOWSKA;66;0.02;NX
11;14;BRAUN;17;Jacek Jan WITCZAK;18;0.00;NX
11;14;BRAUN;18;Elżbieta Bronisława MITRĘGA;67;0.02;NX
12;1;PiS;1;Beata Maria SZYDŁO;96127;35.40;PX
12;1;PiS;2;Marek Władysław POLAK;3345;1.23;PX
12;1;PiS;3;Jarosław Piotr SZLACHETKA;9142;3.37;PX
12;1;PiS;4;Krzysztof Janusz KOZIK;2524;0.93;NX
12;1;PiS;5;Jarosław Ludwik JURZAK;2444;0.90;NX
12;1;PiS;6;Ewa Maria FILIPIAK;3915;1.44;PX
12;1;PiS;7;Krzysztof KASPEREK;1414;0.52;NX
12;1;PiS;8;Sławomir Paweł HAJOS;2734;1.01;NX
12;1;PiS;9;Janina TRZASKA;367;0.14;NX
12;1;PiS;10;Zbigniew Stanisław BIERNAT;3644;1.34;PX
