nrk;pgnw;freq;lgw;lgnw
104543;4.47;55.99;299;14
104544;2.79;54.82;348;10
104545;4.39;54.40;827;38
104546;3.12;55.98;653;21
104547;5.32;51.28;605;34
104548;4.28;54.05;715;32
104549;1.91;53.59;359;7
104550;4.67;46.01;143;7
104551;4.87;43.00;254;13
104552;8.65;42.25;264;25
104553;4.74;47.65;241;12
104554;2.76;43.72;423;12
104555;2.65;49.18;440;12
104556;3.59;54.93;671;25
104557;2.76;58.38;776;22
104558;3.09;58.19;971;31
104559;1.50;56.12;922;14
104560;1.88;47.02;418;8
104561;4.00;50.44;768;32
104562;3.19;58.28;1002;33
104563;3.40;54.64;881;31
104564;1.23;59.61;1124;14
104565;1.25;61.92;1347;17
104566;2.22;58.03;1233;28
104567;1.12;62.61;1323;15
104568;1.70;60.46;1384;24
104569;1.81;60.31;1301;24
104570;1.30;55.33;1215;16
104571;2.37;58.73;1277;31
104572;1.60;49.97;923;15
104573;1.23;56.65;964;12
104574;1.63;56.61;965;16
104575;1.85;54.81;900;17
104576;1.71;59.68;1091;19
104577;1.68;47.76;996;17
104578;1.67;58.88;1298;22
104579;1.58;59.96;1185;19
104580;1.53;63.51;1419;22
104581;0.99;60.94;800;8
104582;1.09;62.69;816;9
104583;1.00;59.14;1185;12
104584;1.59;58.86;1301;21
104585;1.68;52.44;993;17
104586;1.81;59.92;1246;23
104587;1.89;58.69;1093;21
104588;0.99;60.25;797;8
104589;1.84;65.15;1068;20
104590;1.11;63.14;1155;13
104591;1.05;63.29;1037;11
104592;2.44;45.01;519;13
104593;3.32;42.85;669;23
104594;1.51;59.81;1177;18
104595;1.50;55.22;1048;16
104596;0.00;50.00;921;0
104597;2.35;45.64;873;21
104598;1.74;57.45;962;17
104599;1.52;62.10;1299;20
104600;1.54;57.99;961;15
104601;1.61;57.81;1038;17
104602;1.39;64.66;1131;16
104603;0.72;56.38;969;7
104604;0.12;52.68;865;1
104605;1.72;53.68;1083;19
104606;1.28;50.87;922;12
104607;0.95;60.23;1044;10
104608;2.13;61.36;965;21
104609;1.20;62.75;992;12
104610;1.10;63.11;1076;12
104611;1.48;61.39;1062;16
104612;1.42;61.52;974;14
104613;0.55;66.03;1442;8
104614;0.67;63.44;886;6
104615;1.74;59.76;848;15
104616;1.69;70.62;1392;24
104617;1.23;57.45;880;11
104618;0.77;61.10;1035;8
104619;0.65;62.53;1076;7
104620;1.00;61.62;1391;14
104621;1.59;67.54;1239;20
104622;0.91;63.52;547;5
104623;0.32;64.43;948;3
104624;0.89;62.12;1341;12
104625;1.79;61.17;1205;22
104626;3.04;56.76;1213;38
104627;1.49;64.04;1384;21
104628;0.56;63.00;1236;7
104629;1.00;61.72;1186;12
104630;0.57;62.49;1224;7
104631;0.41;65.96;967;4
104632;0.49;61.52;1020;5
104633;0.67;69.49;1036;7
104634;0.71;59.99;1255;9
104635;0.90;60.30;1218;11
104636;1.36;61.62;1164;16
104637;4.44;86.54;43;2
104638;5.83;60.91;113;7
104639;4.23;43.83;68;3
104640;5.45;59.78;52;3
104641;0.00;23.73;14;0
104642;4.27;52.70;224;10
104643;4.76;70.00;60;3
104644;1.43;47.74;968;14
104645;2.87;43.96;982;29
104646;2.56;35.73;684;18
104647;1.20;55.19;1156;14
104648;2.23;51.19;1139;26
104649;1.46;59.62;1286;19
104650;1.39;50.43;992;14
104651;1.68;57.81;1168;20
104652;0.72;57.57;963;7
104653;10.10;22.13;258;29
104654;2.86;45.58;747;22
104655;2.03;48.40;917;19
104656;3.47;30.33;445;16
104657;8.25;16.49;278;25
104658;3.03;39.85;767;24
104659;1.90;49.09;1035;20
104660;2.00;51.89;981;20
104661;2.40;37.51;692;17
104662;2.23;49.62;1010;23
104663;1.75;44.36;788;14
104664;0.60;53.43;992;6
104665;1.93;52.61;1069;21
104666;1.75;50.42;1122;20
104667;2.97;40.32;849;26
104668;4.38;38.28;785;36
104669;1.73;53.56;1139;20
104670;1.57;39.68;314;5
104671;2.87;43.79;541;16
104672;1.83;48.87;699;13
104673;1.45;55.53;747;11
104674;2.06;56.67;666;14
104675;2.07;50.65;993;21
104676;NA;NA;0;0
104677;2.38;46.37;942;23
104678;2.93;45.39;861;26
104679;2.64;41.62;810;22
104680;2.05;57.21;1197;25
104681;1.09;57.19;1093;12
104682;1.57;54.08;940;15
104683;3.39;40.92;627;22
104684;2.15;44.52;958;21
104685;3.65;46.67;925;35
104686;2.86;48.19;916;27
104687;2.46;44.21;793;20
104688;2.00;43.29;784;16
104689;2.21;44.82;576;13
104690;2.08;47.32;846;18
104691;2.62;37.62;670;18
104692;2.21;37.21;576;13
104693;3.94;32.74;512;21
104694;1.97;32.20;447;9
104695;2.47;39.09;552;14
104696;2.89;52.23;908;27
104697;1.81;47.50;867;16
104698;1.51;59.22;1047;16
104699;1.33;55.51;1188;16
104700;1.39;57.04;1206;17
104701;1.99;50.44;1131;23
104702;3.16;44.28;828;27
104703;3.16;44.28;765;25
104704;1.20;53.18;992;12
104705;1.57;44.19;752;12
104706;3.48;35.05;638;23
104707;1.26;48.44;783;10
104708;4.04;40.72;665;28
104709;1.28;50.81;929;12
104710;3.78;43.29;763;30
104711;2.44;43.82;439;11
104712;2.48;41.62;591;15
104713;5.88;43.04;32;2
104714;20.00;8.06;4;1
104715;17.14;34.31;29;6
104716;2.70;53.62;36;1
104717;4.08;42.61;47;2
104718;0.00;21.21;21;0
104719;5.05;47.83;94;5
104720;8.25;37.74;89;8
104721;10.81;48.47;99;12
104722;7.84;51.00;47;4
104723;0.00;39.39;26;0
104724;1.78;46.83;826;15
104725;3.46;45.63;418;15
104726;1.37;46.89;937;13
104727;1.37;51.10;867;12
104728;3.26;36.73;534;18
104729;1.35;56.17;876;12
104730;3.06;49.06;761;24
104731;3.94;35.48;487;20
104732;1.17;59.49;929;11
104733;2.77;54.68;772;22
104734;4.68;39.53;713;35
104735;2.73;36.55;605;17
104736;2.24;46.55;871;20
104737;2.07;49.01;850;18
104738;3.81;49.54;985;39
104739;2.21;55.78;1020;23
104740;1.65;59.33;1191;20
104741;2.50;41.96;819;21
104742;2.02;50.56;972;20
104743;1.33;50.98;742;10
104744;3.86;35.93;324;13
104745;2.04;60.49;816;17
104746;2.29;34.55;427;10
104747;1.28;44.19;462;6
104748;0.91;50.88;544;5
104749;2.11;52.62;835;18
104750;1.75;60.36;1125;20
104751;2.14;46.90;823;18
104752;2.22;53.66;925;21
104753;0.78;55.70;892;7
104754;1.31;64.15;1056;14
104755;1.27;68.06;1014;13
104756;1.36;56.76;799;11
104757;0.55;58.77;900;5
104758;2.64;40.79;701;19
104759;1.20;42.65;742;9
104760;0.93;52.44;744;7
104761;2.08;37.53;470;10
104762;3.73;46.40;645;25
104763;2.44;32.60;479;12
104764;0.62;59.04;961;6
104765;0.78;39.52;638;5
104766;2.66;34.77;439;12
104767;2.49;54.35;743;19
104768;0.92;54.95;863;8
104769;1.66;52.53;653;11
104770;1.54;50.27;641;10
104771;2.48;56.98;788;20
104772;1.50;56.13;722;11
104773;1.23;61.01;1122;14
104774;2.21;53.91;931;21
104775;2.23;45.15;747;17
104776;2.46;46.71;754;19
104777;9.43;38.69;48;5
104778;0.00;40.62;26;0
104779;2.08;84.21;47;1
104780;4.35;34.33;22;1
104781;3.81;50.24;101;4
104782;14.71;33.33;29;5
104783;26.09;37.10;17;6
104784;15.91;93.62;37;7
104785;0.00;42.11;16;0
104786;0.00;15.52;9;0
104787;18.18;26.19;9;2
104788;2.31;32.04;339;8
104789;1.91;39.78;462;9
104790;2.59;37.55;188;5
104791;1.41;46.20;420;6
104792;2.26;41.24;476;11
104793;3.35;35.70;490;17
104794;1.75;34.85;504;9
104795;0.62;33.72;318;2
104796;1.42;50.40;623;9
104797;2.27;57.88;775;18
104798;0.84;55.04;590;5
104799;0.36;59.29;553;2
104800;1.69;57.98;407;7
104801;1.08;46.79;548;6
104802;0.54;50.72;732;4
104803;1.31;56.53;756;10
104804;1.36;53.19;872;12
104805;1.44;57.25;549;8
104806;1.44;52.79;821;12
104807;2.08;56.86;1084;23
104808;1.29;56.37;843;11
104809;1.18;51.21;837;10
104810;2.49;53.27;1057;27
104811;1.20;63.57;493;6
104812;1.24;56.69;795;10
104813;1.08;61.34;733;8
104814;1.37;56.24;649;9
104815;0.73;59.75;946;7
104816;0.61;54.19;655;4
104817;2.28;54.29;557;13
104818;1.13;54.50;784;9
104819;0.94;60.07;845;8
104820;1.38;59.89;430;6
104821;1.02;64.40;1160;12
104822;0.08;67.49;1178;1
104823;1.23;57.88;961;12
104824;1.16;62.00;1108;13
104825;1.84;61.78;1228;23
104826;1.25;63.99;1427;18
104827;0.86;61.68;924;8
104828;1.81;63.59;542;10
104829;1.29;61.89;1151;15
104830;0.55;69.87;1077;6
104831;0.46;61.89;1075;5
104832;0.71;56.94;974;7
104833;0.42;59.35;1173;5
104834;1.02;57.99;970;10
104835;1.36;59.29;1089;15
104836;1.20;60.76;1071;13
104837;1.22;57.03;970;12
104838;1.58;57.83;560;9
104839;0.88;59.45;1016;9
104840;0.34;68.06;293;1
104841;1.42;58.45;1040;15
104842;1.10;54.74;902;10
104843;0.57;65.92;1221;7
104844;0.90;56.28;879;8
104845;1.00;57.95;891;9
104846;0.58;61.20;853;5
104847;0.31;61.00;644;2
104848;1.56;47.11;441;7
104849;0.82;46.85;361;3
104850;1.44;55.64;686;10
104851;1.57;57.70;690;11
104852;1.07;59.26;741;8
104853;1.57;58.91;817;13
104854;0.68;48.68;146;1
104855;1.32;45.80;522;7
104856;2.39;50.28;695;17
104857;2.68;47.16;581;16
104858;2.51;51.10;699;18
104859;1.16;52.29;1026;12
104860;1.57;55.81;1003;16
104861;2.19;37.33;536;12
104862;1.28;50.38;848;11
104863;1.72;55.19;1086;19
104864;2.05;48.57;716;15
104865;2.00;53.25;538;11
104866;2.65;45.55;917;25
104867;2.49;51.84;782;20
104868;1.33;43.88;520;7
104869;2.13;51.72;1013;22
104870;2.74;30.58;320;9
104871;2.67;55.14;840;23
104872;2.57;48.36;530;14
104873;1.08;57.46;1006;11
104874;2.15;54.27;684;15
104875;1.25;53.26;871;11
104876;2.06;58.68;712;15
104877;1.23;48.35;1040;13
104878;0.96;55.98;1136;11
104879;1.18;57.65;1087;13
104880;0.89;55.78;894;8
104881;2.02;53.84;1114;23
104882;0.99;57.08;1102;11
104883;1.37;56.31;862;12
104884;1.60;53.77;736;12
104885;0.90;60.63;438;4
104886;1.58;56.13;937;15
104887;1.43;54.86;1035;15
104888;0.91;55.16;1092;10
104889;0.89;53.61;1007;9
104890;2.10;54.27;373;8
104891;1.89;50.34;363;7
104892;1.75;54.28;449;8
104893;2.29;45.74;682;16
104894;2.03;42.97;725;15
104895;1.49;50.19;264;4
104896;1.41;57.86;559;8
104897;0.88;56.33;679;6
104898;0.88;56.19;1008;9
104899;1.78;52.77;936;17
104900;0.74;57.90;800;6
104901;1.79;58.04;766;14
104902;1.47;51.08;537;8
104903;0.96;50.77;720;7
104904;1.55;51.87;889;14
104905;2.27;55.84;603;14
104906;1.87;55.05;1102;21
104907;1.26;61.25;1255;16
104908;1.13;62.52;1054;12
104909;0.68;69.38;1310;9
104910;0.91;63.45;1204;11
104911;0.86;68.10;1274;11
104912;1.28;50.65;387;5
104913;0.86;60.44;1268;11
104914;0.00;49.59;61;0
104915;2.86;45.45;34;1
104916;5.19;49.04;73;4
104917;4.05;30.83;71;3
104918;0.00;59.26;80;0
104919;2.53;58.09;77;2
104920;15.79;54.91;80;15
104921;5.00;58.82;38;2
104922;21.31;54.46;48;13
104923;0.00;14.12;12;0
104924;1.05;59.46;846;9
104925;2.50;53.24;312;8
104926;1.79;58.62;932;17
104927;1.12;51.80;884;10
104928;1.58;56.48;1060;17
104929;2.17;54.53;1084;24
104930;0.82;59.11;843;7
104931;1.00;53.79;695;7
104932;1.30;58.25;1136;15
104933;1.97;52.40;994;20
104934;2.05;52.75;668;14
104935;2.00;44.59;686;14
104936;5.81;28.48;81;5
104937;1.88;51.13;575;11
104938;0.63;55.37;948;6
104939;2.53;52.44;965;25
104940;1.63;51.80;723;12
104941;1.95;53.26;553;11
104942;2.17;54.73;946;21
104943;1.07;53.38;1016;11
104944;0.61;54.55;489;3
104945;1.61;45.87;672;11
104946;2.26;53.18;1038;24
104947;0.63;54.32;794;5
104948;1.39;61.39;922;13
104949;2.00;53.67;294;6
104950;0.98;58.62;906;9
104951;2.19;47.84;670;15
104952;1.73;51.01;1139;20
104953;2.49;50.31;941;24
104954;1.09;53.81;907;10
104955;0.45;54.89;659;3
104956;4.26;43.52;45;2
104957;1.11;58.48;1067;12
104958;1.20;59.87;659;8
104959;1.08;60.58;640;7
104960;1.64;57.75;960;16
104961;1.87;53.74;945;18
104962;1.45;54.37;1018;15
104963;1.73;54.96;1077;19
104964;1.64;56.73;539;9
104965;1.12;55.58;970;11
104966;1.72;46.52;571;10
104967;2.48;44.89;630;16
104968;1.74;47.25;396;7
104969;1.82;55.49;973;18
104970;1.65;44.46;892;15
104971;1.53;43.29;965;15
104972;2.50;50.75;625;16
104973;2.16;50.74;907;20
104974;0.72;48.49;414;3
104975;1.86;46.68;634;12
104976;2.43;53.24;882;22
104977;0.76;52.46;391;3
104978;1.16;54.77;1276;15
104979;4.15;41.79;439;19
104980;2.23;45.02;658;15
104981;1.83;55.29;1072;20
104982;1.31;49.84;302;4
104983;1.90;52.08;516;10
104984;2.54;51.16;729;19
104985;1.60;51.71;921;15
104986;2.16;44.68;908;20
104987;1.41;49.92;631;9
104988;1.66;49.68;828;14
104989;1.25;40.27;474;6
104990;0.89;46.57;559;5
104991;NA;NA;0;0
104992;1.70;48.10;635;11
104993;2.46;37.77;357;9
104994;2.41;53.01;567;14
104995;3.24;42.81;478;16
104996;3.26;51.39;624;21
104997;1.35;49.29;584;8
104998;1.49;47.98;596;9
104999;1.12;62.89;796;9
105000;1.05;62.15;944;10
105001;2.62;51.19;818;22
105002;1.26;60.18;940;12
105003;1.40;59.37;984;14
105004;1.32;61.03;972;13
105005;1.50;58.78;788;12
105006;2.48;60.99;747;19
105007;1.64;55.09;782;13
105008;1.93;64.01;560;11
105009;1.28;55.98;850;11
105010;2.11;58.42;1022;22
105011;1.04;63.68;951;10
105012;1.83;62.18;857;16
105013;0.78;61.86;1012;8
105014;1.12;68.20;880;10
105015;1.10;64.10;897;10
105016;0.63;67.26;945;6
105017;0.91;61.29;869;8
105018;1.56;68.00;885;14
105019;1.25;59.26;793;10
105020;1.11;59.34;622;7
105021;1.79;56.84;604;11
105022;1.81;57.92;542;10
105023;1.29;48.14;460;6
105024;2.21;41.58;531;12
105025;2.93;41.36;530;16
105026;3.49;38.42;498;18
105027;2.40;57.37;570;14
105028;2.51;42.73;504;13
105029;1.74;63.12;1014;18
105030;1.79;53.53;878;16
105031;1.99;58.36;886;18
105032;1.48;51.79;868;13
105033;1.57;52.14;815;13
105034;1.65;53.91;834;14
105035;2.20;50.98;710;16
105036;2.28;51.70;728;17
105037;3.05;55.00;699;22
105038;1.99;53.88;592;12
105039;1.83;58.72;912;17
105040;1.07;53.17;648;7
105041;2.64;53.64;553;15
105042;2.06;58.66;667;14
105043;1.54;55.60;704;11
105044;0.76;56.93;783;6
105045;0.73;56.56;680;5
105046;2.00;61.16;835;17
105047;1.27;47.78;777;10
105048;2.35;47.64;788;19
105049;3.29;51.99;910;31
105050;3.80;36.12;557;22
105051;5.33;41.78;320;18
105052;2.10;53.70;654;14
105053;1.44;50.24;617;9
105054;1.50;51.54;789;12
105055;1.18;53.32;841;10
105056;1.66;53.00;712;12
105057;1.52;50.53;518;8
105058;1.62;45.54;729;12
105059;2.25;33.65;522;12
105060;1.59;48.23;309;5
105061;2.56;45.39;533;14
105062;2.10;42.43;560;12
105063;1.79;54.96;495;9
105064;0.63;53.10;476;3
105065;2.68;56.07;400;11
105066;0.86;58.59;460;4
105067;1.77;57.39;610;11
105068;2.55;55.26;650;17
105069;2.20;51.23;488;11
105070;1.98;51.53;593;12
105071;2.18;44.91;539;12
105072;1.72;52.99;514;9
105073;2.70;54.81;504;14
105074;0.90;64.40;1097;10
105075;0.57;67.17;1227;7
105076;1.34;68.27;1106;15
105077;1.72;55.08;916;16
105078;0.71;59.53;837;6
105079;1.65;67.66;537;9
105080;0.72;63.86;549;4
105081;1.25;50.96;630;8
105082;1.16;60.58;852;10
105083;2.77;43.99;491;14
105084;0.90;57.80;775;7
105085;1.81;55.33;489;9
105086;2.14;48.01;732;16
105087;1.66;43.29;355;6
105088;1.64;56.74;600;10
105089;0.42;59.73;703;3
105090;1.01;59.31;785;8
105091;1.70;59.58;636;11
105092;0.73;59.49;949;7
105093;1.43;60.61;687;10
105094;0.96;50.44;514;5
105095;0.75;57.09;799;6
105096;1.13;62.65;874;10
105097;1.63;56.49;908;15
105098;1.22;62.98;810;10
105099;2.38;55.17;698;17
105100;1.51;59.55;783;12
105101;4.17;48.00;23;1
105102;4.55;40.00;21;1
105103;3.23;40.26;30;1
105104;0.00;36.36;20;0
105105;30.00;16.39;7;3
105106;0.00;36.00;9;0
105107;5.36;43.08;106;6
105108;4.55;43.14;21;1
105109;21.88;56.14;50;14
105110;14.65;61.49;169;29
105111;1.46;55.44;1145;17
105112;3.31;52.89;1141;39
105113;3.18;40.56;792;26
105114;1.70;65.14;865;15
105115;2.39;60.68;818;20
105116;2.39;57.43;1022;25
105117;1.98;49.03;744;15
105118;2.86;62.16;1187;35
105119;4.59;53.85;561;27
105120;2.32;58.68;928;22
105121;1.62;59.88;969;16
105122;1.94;57.69;1262;25
105123;1.57;60.25;1316;21
105124;4.17;47.09;736;32
105125;3.19;37.50;607;20
105126;2.28;57.47;643;15
105127;2.46;46.54;991;25
105128;1.88;57.27;1098;21
105129;2.73;54.10;962;27
105130;2.01;52.31;977;20
105131;1.22;51.65;1049;13
105132;2.37;54.15;987;24
105133;1.45;54.94;1156;17
105134;3.07;57.49;1105;35
105135;2.56;54.51;912;24
105136;2.35;51.92;791;19
105137;2.28;53.95;728;17
105138;2.06;55.74;904;19
105139;2.46;49.47;872;22
105140;1.01;51.48;879;9
105141;1.90;50.41;722;14
105142;2.78;51.37;838;24
105143;1.31;51.92;907;12
105144;3.24;54.33;807;27
105145;1.54;56.00;1020;16
105146;2.41;57.35;769;19
105147;2.65;54.97;808;22
105148;1.53;54.93;839;13
105149;2.34;53.95;1126;27
105150;1.90;57.04;1236;24
105151;15.64;31.68;205;38
105152;0.92;70.32;108;1
105153;0.00;29.21;26;0
105154;4.55;68.75;21;1
105155;16.67;100.00;20;4
105156;1.83;58.88;911;17
105157;2.60;58.53;862;23
105158;0.76;39.46;654;5
105159;2.31;52.60;888;21
105160;2.36;40.77;746;18
105161;2.83;38.87;584;17
105162;2.80;52.79;763;22
105163;2.41;50.03;729;18
105164;2.13;51.04;965;21
105165;2.48;51.71;945;24
105166;2.30;45.93;850;20
105167;2.17;51.19;990;22
105168;1.93;48.67;862;17
105169;3.65;50.08;317;12
105170;2.04;51.49;815;17
105171;1.56;50.39;756;12
105172;1.90;54.87;979;19
105173;1.53;52.57;1157;18
105174;1.93;57.23;1168;23
105175;2.39;47.68;612;15
105176;2.22;50.48;968;22
105177;2.71;39.67;611;17
105178;1.00;53.86;995;10
105179;4.33;54.85;796;36
105180;1.14;55.42;606;7
105181;2.59;43.71;640;17
105182;2.74;46.93;780;22
105183;3.20;45.13;726;24
105184;1.41;55.37;976;14
105185;1.14;58.49;1124;13
105186;4.22;33.27;159;7
105187;1.03;57.89;1253;13
105188;2.62;53.60;965;26
105189;2.39;55.57;1183;29
105190;3.68;50.56;996;38
105191;1.87;53.56;893;17
105192;1.56;59.30;945;15
105193;1.82;55.52;1135;21
105194;2.22;57.94;1323;30
105195;2.52;52.37;850;22
105196;2.30;56.16;1105;26
105197;1.62;57.86;547;9
105198;2.76;46.63;774;22
105199;0.95;60.28;729;7
105200;22.86;35.00;27;8
105201;4.05;44.31;71;3
105202;0.82;67.47;1337;11
105203;1.19;68.35;1334;16
105204;2.71;63.38;1221;34
105205;1.00;57.89;988;10
105206;1.09;70.12;910;10
105207;1.00;66.34;1292;13
105208;0.98;52.21;1109;11
105209;1.44;55.71;1164;17
105210;4.88;57.69;1110;57
105211;1.02;50.57;877;9
105212;1.64;62.22;601;10
105213;1.77;60.11;888;16
105214;1.10;62.68;902;10
105215;0.53;58.56;568;3
105216;1.10;63.85;1078;12
105217;0.91;59.72;764;7
105218;1.17;64.86;1268;15
105219;1.91;59.48;720;14
105220;0.86;65.83;1039;9
105221;0.65;56.75;1078;7
105222;2.09;63.60;1172;25
105223;1.29;62.56;1298;17
105224;1.08;61.06;1196;13
105225;1.59;63.12;1297;21
105226;1.75;63.08;1182;21
105227;0.62;67.98;1272;8
105228;1.00;67.82;993;10
105229;1.91;65.56;1027;20
105230;1.61;62.70;1037;17
105231;3.82;51.34;478;19
105232;3.43;52.28;732;26
105233;0.94;65.15;1474;14
105234;0.74;67.21;533;4
105235;1.37;63.34;1009;14
105236;1.08;64.59;1005;11
105237;3.02;55.33;770;24
105238;2.35;51.59;664;16
105239;1.85;56.13;1217;23
105240;4.16;45.68;461;20
105241;2.53;54.87;500;13
105242;1.72;44.69;629;11
105243;2.53;54.62;772;20
105244;1.95;42.62;453;9
105245;3.17;47.55;733;24
105246;4.16;41.23;784;34
105247;5.20;35.55;456;25
105248;2.68;34.25;399;11
105249;0.84;36.05;588;5
105250;1.75;40.37;787;14
105251;3.12;48.84;777;25
105252;1.51;50.03;716;11
105253;1.34;43.97;590;8
105254;1.61;52.82;977;16
105255;0.38;55.03;1046;4
105256;1.96;56.15;998;20
105257;0.86;58.98;1042;9
105258;1.38;51.81;1004;14
105259;1.28;57.08;1083;14
105260;0.65;59.84;761;5
105261;1.84;57.32;799;15
105262;1.54;53.57;960;15
105263;0.58;74.93;1370;8
105264;1.65;62.09;298;5
105265;0.17;74.30;1146;2
105266;0.47;65.86;1062;5
105267;1.55;48.77;509;8
105268;1.52;65.13;778;12
105269;2.44;47.60;280;7
105270;1.18;43.57;335;4
105271;2.40;45.49;487;12
105272;1.67;45.91;530;9
105273;0.35;58.89;865;3
105274;2.92;53.07;797;24
105275;0.96;58.29;926;9
105276;1.96;60.90;1153;23
105277;3.75;42.16;616;24
105278;1.31;67.89;751;10
105279;0.88;66.08;1120;10
105280;0.73;51.09;811;6
105281;1.97;52.88;648;13
105282;0.70;53.32;846;6
105283;1.95;58.37;704;14
105284;0.87;41.33;456;4
105285;1.37;59.35;1008;14
105286;1.13;69.16;1142;13
105287;1.09;66.60;1276;14
105288;2.04;64.63;1153;24
105289;0.62;58.81;1114;7
105290;1.30;63.30;989;13
105291;0.94;62.30;1159;11
105292;1.28;64.14;1079;14
105293;1.65;54.16;833;14
105294;1.20;60.93;738;9
105295;1.01;63.95;1080;11
105296;1.82;65.38;916;17
105297;1.60;64.67;1295;21
105298;1.97;63.93;994;20
105299;1.06;61.81;1023;11
105300;1.38;63.83;1140;16
105301;2.90;39.71;637;19
105302;1.85;47.15;902;17
105303;1.84;45.79;694;13
105304;3.06;36.99;539;17
105305;2.95;51.75;659;20
105306;2.14;49.16;916;20
105307;2.07;60.17;994;21
105308;2.54;53.70;537;14
105309;3.11;54.62;779;25
105310;3.01;60.61;967;30
105311;1.29;55.91;840;11
105312;0.97;60.09;1026;10
105313;1.57;58.34;1067;17
105314;1.54;65.10;1148;18
105315;0.77;57.89;1034;8
105316;1.09;60.05;1084;12
105317;0.41;63.81;727;3
105318;0.86;67.97;1376;12
105319;0.86;66.48;1266;11
105320;1.38;53.90;1145;16
105321;1.61;54.36;914;15
105322;1.63;59.18;964;16
105323;2.03;53.59;1111;23
105324;1.26;57.41;1018;13
105325;0.93;62.57;1070;10
105326;1.10;58.63;900;10
105327;2.23;44.46;788;18
105328;1.99;58.22;885;18
105329;1.12;62.97;967;11
105330;1.88;56.14;938;18
105331;0.75;57.30;666;5
105332;1.49;62.92;794;12
105333;0.60;57.19;1155;7
105334;1.65;52.92;955;16
105335;0.71;71.71;979;7
105336;1.42;47.20;624;9
105337;0.61;62.83;813;5
105338;1.41;61.38;1260;18
105339;1.99;52.64;1034;21
105340;2.52;44.94;658;17
105341;1.68;57.99;992;17
105342;0.85;66.53;1287;11
105343;1.12;66.62;886;10
105344;1.55;64.66;697;11
105345;2.90;36.69;502;15
105346;1.26;58.58;1331;17
105347;3.50;41.85;607;22
105348;2.15;57.70;682;15
105349;1.53;62.95;773;12
105350;17.02;56.63;39;8
105351;6.45;31.96;29;2
105352;2.86;45.45;34;1
105353;8.70;31.94;21;2
105354;0.00;62.96;17;0
105355;0.00;50.91;28;0
105356;0.00;78.57;33;0
105357;4.83;49.15;138;7
105358;8.16;40.83;45;4
105359;0.65;32.35;152;1
105360;3.85;31.01;150;6
105361;2.17;25.84;45;1
105362;4.00;35.38;72;3
105363;1.54;64.36;64;1
105364;2.63;36.89;37;1
105365;8.33;30.77;11;1
105366;0.00;50.00;15;0
105367;8.33;48.00;22;2
105368;8.00;78.12;23;2
105369;0.00;40.38;21;0
105370;11.98;61.74;169;23
105371;4.58;40.49;563;27
105372;4.78;43.60;558;28
105373;2.41;38.29;608;15
105374;1.83;45.66;589;11
105375;3.36;50.28;690;24
105376;3.03;48.03;897;28
105377;1.27;51.79;930;12
105378;3.34;38.01;550;19
105379;2.17;41.79;406;9
105380;6.71;56.16;932;67
105381;1.43;61.95;894;13
105382;0.96;61.44;1136;11
105383;1.75;56.46;1232;22
105384;1.79;52.54;987;18
105385;2.24;57.17;1049;24
105386;1.35;69.41;658;9
105387;1.16;55.29;764;9
105388;2.17;57.09;945;21
105389;2.18;41.95;762;17
105390;1.12;50.66;265;3
105391;1.01;61.88;588;6
105392;1.58;57.50;936;15
105393;1.47;60.42;937;14
105394;1.30;53.96;759;10
105395;1.29;60.68;1068;14
105396;1.64;54.32;1200;20
105397;3.14;49.31;801;26
105398;2.02;60.04;1213;25
105399;1.64;62.52;899;15
105400;1.19;64.51;916;11
105401;1.54;51.00;577;9
105402;2.21;58.99;619;14
105403;1.11;65.68;1245;14
105404;3.66;50.31;1107;42
105405;1.09;58.66;452;5
105406;1.33;46.50;446;6
105407;4.23;49.80;475;21
105408;1.70;64.76;923;16
105409;0.00;33.33;9;0
105410;3.23;58.49;30;1
105411;8.29;65.58;166;15
105412;2.09;53.46;704;15
105413;0.93;55.67;637;6
105414;3.68;38.85;681;26
105415;2.28;51.26;1113;26
105416;1.44;46.19;891;13
105417;3.33;41.96;522;18
105418;1.97;48.45;597;12
105419;2.21;60.17;839;19
105420;2.78;52.91;768;22
105421;1.98;49.41;741;15
105422;3.23;56.99;959;32
105423;2.14;56.80;1006;22
105424;3.08;54.34;1007;32
105425;0.00;39.47;30;0
105426;1.93;60.10;1167;23
105427;2.28;53.10;987;23
105428;3.85;55.32;100;4
105429;2.18;46.96;719;16
105430;0.00;51.81;43;0
105431;3.79;32.89;381;15
105432;2.01;49.40;682;14
105433;2.50;51.42;779;20
105434;2.04;52.69;767;16
105435;1.67;60.62;707;12
105436;3.52;47.76;575;21
105437;2.08;51.13;753;16
105438;1.37;54.60;867;12
105439;4.31;40.46;733;33
105440;4.69;40.95;630;31
105441;37.50;57.14;35;21
105442;2.10;52.63;745;16
105443;1.82;54.41;969;18
105444;4.70;31.20;446;22
105445;3.35;35.42;404;14
105446;2.28;46.87;600;14
105447;3.05;42.00;476;15
105448;2.37;46.73;495;12
105449;2.67;47.94;510;14
105450;2.54;36.24;576;15
105451;1.83;52.65;322;6
105452;1.22;57.65;893;11
105453;1.20;57.01;410;5
105454;2.61;55.60;1006;27
105455;2.03;50.72;867;18
105456;2.67;62.58;656;18
105457;1.21;53.86;654;8
105458;5.05;33.84;639;34
105459;0.98;46.66;705;7
