nrk;pgnw;freq;lgw;lgnw
100211;2.79;60.05;244;7
100212;3.23;48.76;210;7
100213;2.54;51.30;422;11
100214;2.74;54.67;1065;30
100215;1.99;55.93;934;19
100216;2.98;53.99;879;27
100217;2.89;60.15;538;16
100218;1.82;55.32;970;18
100219;2.20;65.13;1109;25
100220;2.48;64.19;591;15
100221;1.92;69.43;715;14
100222;1.72;54.57;229;4
100223;2.49;56.06;979;25
100224;3.22;53.76;871;29
100225;2.16;51.42;407;9
100226;3.47;55.82;639;23
100227;0.98;56.65;1012;10
100228;1.42;54.28;832;12
100229;3.57;53.28;243;9
100230;3.23;61.49;629;21
100231;3.15;61.52;1045;34
100232;1.84;55.69;639;12
100233;2.08;52.99;754;16
100234;2.70;58.41;794;22
100235;2.38;57.36;616;15
100236;2.11;47.93;464;10
100237;1.94;44.31;557;11
100238;2.16;44.98;543;12
100239;0.74;49.71;671;5
100240;0.84;48.49;588;5
100241;1.41;54.34;771;11
100242;2.40;48.60;815;20
100243;1.49;48.37;729;11
100244;2.55;43.59;650;17
100245;1.94;47.91;709;14
100246;1.70;43.73;521;9
100247;2.77;48.58;667;19
100248;2.88;43.33;606;18
100249;2.07;51.97;710;15
100250;2.10;55.37;793;17
100251;2.56;50.68;685;18
100252;2.01;44.17;586;12
100253;2.80;50.00;973;28
100254;2.31;48.84;762;18
100255;2.01;48.25;877;18
100256;2.10;44.32;653;14
100257;1.75;54.47;730;13
100258;10.71;45.90;75;9
100259;26.42;46.49;39;14
100260;5.33;42.25;462;26
100261;3.14;41.32;401;13
100262;2.69;47.49;470;13
100263;7.41;27.00;75;6
100264;3.18;43.16;821;27
100265;3.19;47.79;606;20
100266;1.91;46.27;462;9
100267;2.08;33.33;329;7
100268;5.07;23.59;131;7
100269;5.48;24.54;138;8
100270;1.10;28.48;180;2
100271;3.17;33.92;428;14
100272;18.75;41.56;52;12
100273;6.98;34.13;80;6
100274;1.60;45.70;246;4
100275;2.57;49.00;835;22
100276;4.28;47.80;291;13
100277;4.80;43.71;119;6
100278;2.50;44.37;273;7
100279;5.98;49.73;173;11
100280;2.38;43.65;369;9
100281;3.40;46.26;227;8
100282;2.87;50.56;305;9
100283;2.40;42.88;447;11
100284;4.23;60.04;521;23
100285;4.50;46.61;446;21
100286;4.15;37.34;277;12
100287;2.45;42.32;398;10
100288;2.06;48.02;95;2
100289;3.64;38.87;106;4
100290;1.13;41.15;262;3
100291;4.23;36.36;249;11
100292;1.64;45.32;300;5
100293;5.38;45.86;246;14
100294;6.18;38.95;577;38
100295;3.01;43.56;774;24
100296;2.82;44.66;999;29
100297;7.64;32.67;290;24
100298;1.75;44.14;729;13
100299;3.44;48.51;534;19
100300;5.63;42.94;436;26
100301;6.25;34.47;180;12
100302;4.05;46.84;426;18
100303;3.35;42.06;635;22
100304;5.21;43.25;437;24
100305;2.53;49.92;308;8
100306;3.92;48.81;612;25
100307;2.70;48.37;504;14
100308;2.65;41.14;294;8
100309;3.45;34.24;364;13
100310;0.85;54.44;815;7
100311;2.33;54.41;965;23
100312;1.95;49.70;903;18
100313;1.27;52.33;620;8
100314;0.81;49.88;610;5
100315;1.75;48.23;563;10
100316;2.37;48.03;536;13
100317;2.69;52.45;688;19
100318;1.02;52.96;779;8
100319;2.34;56.07;708;17
100320;1.38;49.15;573;8
100321;1.84;55.95;748;14
100322;2.98;50.63;781;24
100323;1.83;49.21;645;12
100324;1.63;55.63;724;12
100325;1.56;48.49;631;10
100326;2.15;48.17;592;13
100327;1.64;53.15;779;13
100328;1.28;51.99;618;8
100329;1.92;50.90;613;12
100330;1.79;52.58;880;16
100331;2.01;53.20;586;12
100332;1.73;50.04;569;10
100333;2.21;52.13;1016;23
100334;2.60;52.75;524;14
100335;1.83;51.33;644;12
100336;2.96;53.05;819;25
100337;1.70;43.90;753;13
100338;1.39;45.34;566;8
100339;0.83;57.37;961;8
100340;3.52;44.89;657;24
100341;2.93;44.93;894;27
100342;2.15;52.42;637;14
100343;1.66;45.23;415;7
100344;2.53;51.46;963;25
100345;2.86;53.03;136;4
100346;14.81;33.75;23;4
100347;0.00;26.00;26;0
100348;2.88;47.64;304;9
100349;1.20;51.34;246;3
100350;2.82;52.40;138;4
100351;4.20;40.89;114;5
100352;0.93;55.44;106;1
100353;2.33;43.26;210;5
100354;3.35;44.65;549;19
100355;4.33;52.76;265;12
100356;4.31;44.39;466;21
100357;1.48;55.62;200;3
100358;7.75;48.68;119;10
100359;2.24;49.60;915;21
100360;1.64;44.19;1022;17
100361;0.71;46.36;278;2
100362;4.20;50.30;479;21
100363;5.83;36.88;307;19
100364;5.36;41.33;106;6
100365;2.31;41.14;127;3
100366;2.72;47.64;501;14
100367;4.58;42.05;563;27
100368;5.17;43.02;459;25
100369;6.17;39.93;426;28
100370;3.30;44.89;527;18
100371;3.76;37.29;384;15
100372;3.04;45.04;638;20
100373;7.88;43.11;386;33
100374;6.25;29.91;60;4
100375;3.00;44.91;582;18
100376;6.48;36.12;101;7
100377;1.32;41.42;150;2
100378;3.31;41.18;467;16
100379;3.35;45.12;433;15
100380;0.00;30.53;58;0
100381;0.00;93.44;57;0
100382;5.33;47.10;462;26
100383;3.61;48.03;481;18
100384;5.23;44.36;507;28
100385;5.36;46.10;459;26
100386;5.67;40.40;266;16
100387;6.67;43.19;308;22
100388;7.00;43.86;279;21
100389;3.16;48.79;429;14
100390;4.04;44.16;214;9
100391;5.70;39.47;182;11
100392;3.65;64.04;211;8
100393;1.80;61.39;1469;27
100394;2.58;51.19;755;20
100395;0.72;55.74;554;4
100396;2.34;47.84;542;13
100397;1.29;54.69;460;6
100398;2.51;58.33;389;10
100399;3.32;49.21;727;25
100400;2.22;45.00;88;2
100401;1.43;52.42;481;7
100402;4.68;46.03;530;26
100403;1.98;43.60;297;6
100404;4.67;44.19;388;19
100405;6.31;58.12;104;7
100406;3.23;37.80;240;8
100407;1.99;41.25;344;7
100408;3.06;50.46;317;10
100409;2.56;49.16;228;6
100410;1.81;47.70;326;6
100411;6.45;47.94;522;36
100412;0.72;58.60;274;2
100413;4.62;53.23;165;8
100414;0.00;46.54;121;0
100415;2.97;57.09;555;17
100416;2.63;53.07;185;5
100417;3.00;51.64;550;17
100418;2.90;48.02;837;25
100419;1.98;53.66;496;10
100420;2.90;52.32;636;19
100421;1.88;60.28;469;9
100422;3.00;46.30;97;3
100423;2.40;47.41;732;18
100424;1.51;49.65;911;14
100425;1.29;56.41;764;10
100426;1.50;46.38;328;5
100427;2.02;46.84;727;15
100428;1.82;42.80;108;2
100429;1.39;30.13;71;1
100430;4.58;39.82;125;6
100431;5.56;53.73;68;4
100432;2.18;48.11;224;5
100433;1.29;46.05;305;4
100434;3.01;47.43;322;10
100435;3.47;45.16;780;28
100436;3.15;48.74;338;11
100437;3.57;46.28;54;2
100438;2.19;35.17;268;6
100439;1.63;41.56;361;6
100440;2.10;51.48;698;15
100441;1.16;41.34;342;4
100442;0.74;49.27;134;1
100443;3.70;31.03;26;1
100444;1.69;53.51;697;12
100445;2.87;49.04;372;11
100446;1.65;52.16;238;4
100447;3.93;52.66;171;7
100448;0.00;43.28;145;0
100449;1.98;39.22;248;5
100450;1.02;42.24;194;2
100451;1.03;41.45;96;1
100452;3.17;46.27;427;14
100453;1.27;56.27;155;2
100454;2.61;42.03;149;4
100455;0.00;27.72;56;0
100456;1.49;48.91;132;2
100457;2.34;51.61;626;15
100458;1.85;50.21;1061;20
100459;1.77;48.15;333;6
100460;2.24;49.95;481;11
100461;3.11;51.52;280;9
100462;4.95;46.74;211;11
100463;3.81;50.59;859;34
100464;4.26;45.26;247;11
100465;6.99;47.19;133;10
100466;3.60;45.31;107;4
100467;1.49;50.57;132;2
100468;3.94;40.93;195;8
100469;3.42;46.66;735;26
100470;3.60;45.62;563;21
100471;2.36;44.28;620;15
100472;4.23;48.38;544;24
100473;1.79;44.09;110;2
100474;1.11;56.25;89;1
100475;4.66;40.78;491;24
100476;2.98;45.90;554;17
100477;2.46;40.32;595;15
100478;2.25;47.09;87;2
100479;3.58;47.69;269;10
100480;4.32;50.40;975;44
100481;4.09;43.96;164;7
100482;5.06;56.13;300;16
100483;5.57;37.41;373;22
100484;2.83;44.83;687;20
100485;5.25;43.20;289;16
100486;3.69;43.36;261;10
100487;6.91;39.94;377;28
100488;2.35;42.21;458;11
100489;2.78;43.13;455;13
100490;2.41;48.09;973;24
100491;3.03;45.66;831;26
100492;2.54;49.70;729;19
100493;2.05;45.59;669;14
100494;3.27;49.20;296;10
100495;5.12;45.87;722;39
100496;5.30;46.84;393;22
100497;2.73;46.77;571;16
100498;1.15;47.36;257;3
100499;2.90;49.71;335;10
100500;6.06;73.33;31;2
100501;4.35;19.49;22;1
100502;5.00;60.61;19;1
100503;0.00;100.00;14;0
100504;17.39;41.07;57;12
100505;3.51;44.20;633;23
100506;5.16;41.93;239;13
100507;3.49;39.69;221;8
100508;19.12;100.00;55;13
100509;4.52;48.68;422;20
100510;4.29;56.95;357;16
100511;2.74;51.68;567;16
100512;3.55;48.82;597;22
100513;2.86;45.45;543;16
100514;2.24;46.93;479;11
100515;5.93;50.20;349;22
100516;4.26;44.20;292;13
100517;2.87;46.50;271;8
100518;3.77;38.68;281;11
100519;6.69;36.16;251;18
100520;2.84;42.53;445;13
100521;6.25;26.67;15;1
100522;1.67;41.69;530;9
100523;3.06;47.23;760;24
100524;2.29;48.52;256;6
100525;9.34;31.22;165;17
100526;11.90;41.28;148;20
100527;4.55;48.60;315;15
100528;4.59;34.60;104;5
100529;5.03;50.13;359;19
100530;4.41;44.25;195;9
100531;2.19;64.12;624;14
100532;6.42;43.17;204;14
100533;3.81;41.29;278;11
100534;4.43;48.10;194;9
100535;1.07;51.96;1206;13
100536;1.49;48.69;860;13
100537;1.11;54.44;1068;12
100538;0.77;57.02;645;5
100539;0.67;54.11;739;5
100540;1.38;51.42;788;11
100541;1.63;46.76;966;16
100542;0.48;49.37;627;3
100543;2.20;49.46;355;8
100544;1.21;56.91;818;10
100545;0.68;56.54;730;5
100546;0.74;58.24;270;2
100547;2.57;54.04;835;22
100548;0.84;53.05;950;8
100549;0.64;51.49;772;5
100550;2.20;50.65;800;18
100551;1.08;58.09;639;7
100552;0.71;49.12;696;5
100553;1.09;51.65;634;7
100554;1.39;57.89;1346;19
100555;0.98;55.41;908;9
100556;1.15;54.41;1036;12
100557;1.32;58.18;969;13
100558;1.00;54.65;1094;11
100559;2.04;62.82;48;1
100560;11.11;40.91;8;1
100561;2.73;40.15;107;3
100562;4.00;31.25;24;1
100563;0.98;52.76;605;6
100564;1.47;51.35;938;14
100565;2.50;51.72;1053;27
100566;2.12;49.95;1017;22
100567;1.66;52.78;532;9
100568;2.30;49.08;680;16
100569;0.43;53.47;468;2
100570;1.13;53.23;1051;12
100571;2.27;52.76;1076;25
100572;2.08;49.29;988;21
100573;1.48;53.44;934;14
100574;1.78;52.75;885;16
100575;1.57;51.18;940;15
100576;2.23;55.69;1230;28
100577;1.39;52.58;924;13
100578;1.08;54.79;917;10
100579;1.87;49.91;525;10
100580;1.70;45.73;984;17
100581;2.35;47.79;623;15
100582;1.56;45.18;886;14
100583;2.58;39.85;453;12
100584;1.45;48.72;545;8
100585;2.71;38.66;755;21
100586;1.93;46.73;609;12
100587;2.55;40.71;649;17
100588;3.40;31.32;256;9
100589;2.87;42.01;779;23
100590;1.13;46.11;785;9
100591;1.91;51.83;1028;20
100592;2.34;44.77;585;14
100593;2.07;45.92;237;5
100594;0.00;41.43;58;0
100595;11.70;60.26;83;11
100596;4.17;60.76;46;2
100597;7.14;84.85;26;2
100598;24.14;56.86;22;7
100599;4.91;50.62;155;8
100600;1.52;42.86;65;1
100601;0.00;71.79;28;0
100602;1.48;50.64;930;14
100603;1.92;49.30;869;17
100604;0.87;55.38;908;8
100605;1.35;58.85;584;8
100606;0.51;64.13;1359;7
100607;1.71;55.99;1034;18
100608;1.84;61.95;748;14
100609;1.70;62.05;1043;18
100610;1.84;53.04;746;14
100611;1.11;55.28;1067;12
100612;1.49;57.25;1058;16
100613;0.90;56.14;1106;10
100614;1.76;55.10;1003;18
100615;0.78;49.73;640;5
100616;0.87;67.65;1140;10
100617;1.03;59.45;1348;14
100618;0.65;63.81;1221;8
100619;0.87;66.30;1145;10
100620;1.72;65.38;1312;23
100621;1.66;54.72;769;13
100622;1.78;54.98;829;15
100623;3.35;46.98;548;19
100624;2.33;48.34;839;20
100625;1.21;58.97;896;11
100626;0.84;60.63;947;8
100627;1.84;66.49;1011;19
100628;1.11;65.48;979;11
100629;0.95;58.78;942;9
100630;1.46;56.44;1015;15
100631;2.04;60.96;1054;22
100632;1.14;58.29;1039;12
100633;3.53;53.22;765;28
100634;1.18;57.97;924;11
100635;0.54;65.92;1106;6
100636;0.66;66.77;1058;7
100637;0.55;64.39;899;5
100638;1.58;59.45;1124;18
100639;1.16;61.83;682;8
100640;0.98;59.38;912;9
100641;0.61;58.30;984;6
100642;1.21;54.20;733;9
100643;0.62;60.46;968;6
100644;1.18;58.24;1006;12
100645;0.62;57.14;1114;7
100646;1.33;58.76;1042;14
100647;0.81;65.15;1463;12
100648;0.70;65.11;1284;9
100649;0.84;65.03;1180;10
100650;1.51;63.78;782;12
100651;1.17;63.59;1098;13
100652;1.26;64.02;1337;17
100653;1.16;70.29;1277;15
100654;0.62;71.48;1273;8
100655;0.52;69.75;954;5
100656;1.34;58.95;1105;15
100657;1.62;59.36;911;15
100658;1.48;56.44;734;11
100659;1.13;64.64;1220;14
100660;0.92;59.93;861;8
100661;0.89;59.28;1108;10
100662;1.36;63.00;1018;14
100663;1.60;60.04;800;13
100664;1.41;59.95;909;13
100665;0.51;60.25;778;4
100666;0.75;63.45;927;7
100667;0.83;65.03;1075;9
100668;1.30;60.71;990;13
100669;1.89;58.81;884;17
100670;1.93;64.92;1116;22
100671;1.53;63.77;1350;21
100672;0.87;68.86;1484;13
100673;0.97;62.58;1123;11
100674;1.35;65.24;1094;15
100675;1.95;63.29;857;17
100676;1.17;66.43;931;11
100677;0.84;63.66;1183;10
100678;1.19;71.39;1245;15
100679;1.55;57.91;951;15
100680;1.81;56.15;704;13
100681;0.87;67.08;913;8
100682;1.24;63.49;1192;15
100683;1.28;70.89;464;6
100684;1.78;64.72;1326;24
100685;2.25;55.27;1041;24
100686;2.34;41.91;167;4
100687;1.37;30.74;144;2
100688;2.33;38.05;42;1
100689;4.55;50.57;42;2
100690;2.50;46.51;39;1
100691;0.00;3.68;5;0
100692;13.89;41.86;31;5
100693;7.14;32.56;13;1
100694;18.21;42.03;274;61
100695;3.04;47.39;766;24
100696;1.97;45.53;844;17
100697;2.06;46.86;571;12
100698;2.26;49.51;736;17
100699;0.98;48.80;807;8
100700;1.78;43.86;716;13
100701;1.08;46.21;826;9
100702;1.72;48.99;742;13
100703;1.68;46.88;761;13
100704;1.15;47.28;343;4
100705;1.37;56.13;289;4
100706;1.92;55.65;715;14
100707;1.75;53.48;785;14
100708;0.88;48.88;673;6
100709;1.77;55.82;499;9
100710;0.00;63.97;87;0
100711;3.14;53.10;216;7
100712;2.54;50.64;959;25
100713;1.21;50.93;896;11
100714;2.43;48.79;883;22
100715;2.67;50.54;182;5
100716;1.28;52.53;461;6
100717;1.55;46.14;636;10
100718;0.54;51.10;555;3
100719;1.08;59.39;735;8
100720;1.61;45.53;796;13
100721;2.01;49.65;634;13
100722;2.80;54.72;417;12
100723;2.86;48.28;204;6
100724;2.12;45.14;555;12
100725;1.14;56.48;435;5
100726;5.88;29.82;16;1
100727;4.11;48.34;70;3
100728;6.67;21.13;14;1
100729;2.61;43.95;410;11
100730;3.84;42.06;451;18
100731;1.67;50.61;411;7
100732;2.60;43.37;449;12
100733;3.44;42.84;309;11
100734;3.14;45.27;524;17
100735;1.28;46.80;462;6
100736;1.09;43.60;455;5
100737;0.90;51.01;550;5
100738;2.48;40.03;511;13
100739;1.45;44.59;544;8
100740;2.11;47.77;557;12
100741;2.37;49.76;617;15
100742;2.88;54.08;741;22
100743;2.69;47.26;687;19
100744;3.08;47.79;504;16
100745;1.85;47.71;532;10
100746;2.27;51.65;733;17
100747;3.53;43.68;410;15
100748;2.90;47.14;536;16
100749;2.72;45.42;429;12
100750;3.23;29.52;30;1
100751;4.81;85.95;99;5
100752;2.61;48.56;410;11
100753;3.27;30.84;207;7
100754;2.03;39.41;627;13
100755;2.89;42.03;269;8
100756;3.67;33.71;315;12
100757;3.73;28.40;155;6
100758;3.20;34.50;756;25
100759;6.18;32.86;258;17
100760;3.34;31.09;434;15
100761;2.82;33.23;413;12
100762;5.52;31.48;171;10
100763;5.65;29.06;167;10
100764;3.74;41.99;823;32
100765;4.27;40.70;224;10
100766;4.53;47.32;253;12
100767;6.85;47.28;299;22
100768;6.67;39.74;224;16
100769;4.65;40.69;594;29
100770;3.32;37.72;233;8
100771;3.62;39.84;718;27
100772;5.26;38.28;396;22
100773;3.02;29.99;386;12
100774;2.51;55.88;1204;31
100775;2.29;53.76;895;21
100776;1.81;51.26;380;7
100777;3.25;40.96;298;10
100778;4.94;37.50;231;12
100779;1.99;55.02;983;20
100780;1.95;63.08;804;16
100781;1.68;55.88;584;10
100782;1.11;56.30;535;6
100783;21.21;17.28;26;7
100784;9.05;26.75;191;19
100785;2.82;41.59;827;24
100786;2.29;47.50;853;20
100787;3.45;47.54;700;25
100788;3.52;42.77;548;20
100789;3.27;42.71;473;16
100790;2.00;35.46;147;3
100791;2.74;48.96;390;11
100792;2.03;52.83;1014;21
100793;4.63;48.52;515;25
100794;4.70;40.99;629;31
100795;1.31;38.34;378;5
100796;5.90;54.06;670;42
100797;2.82;43.35;345;10
100798;1.97;43.67;348;7
100799;3.28;35.96;265;9
100800;5.56;29.35;102;6
100801;4.55;20.09;42;2
100802;6.15;30.37;61;4
100803;1.20;35.47;82;1
100804;1.21;45.34;245;3
100805;5.00;38.34;114;6
100806;8.51;47.47;129;12
100807;1.99;42.18;444;9
100808;1.80;59.90;490;9
100809;1.97;55.31;546;11
100810;2.42;62.07;404;10
100811;2.82;57.12;413;12
100812;2.28;60.81;558;13
100813;1.13;57.50;436;5
100814;1.92;60.23;358;7
100815;1.30;59.63;914;12
100816;1.44;61.00;888;13
100817;0.91;52.96;434;4
100818;2.33;49.21;671;16
100819;31.03;35.80;20;9
100820;2.36;48.97;373;9
100821;1.78;44.04;497;9
100822;4.26;45.22;697;31
100823;2.53;51.83;193;5
100824;3.10;54.01;626;20
100825;1.63;50.91;1023;17
100826;1.25;51.57;1105;14
100827;1.35;56.81;510;7
100828;1.19;54.05;415;5
100829;1.61;54.46;1226;20
100830;1.74;55.84;507;9
100831;2.40;44.64;406;10
100832;0.63;56.55;472;3
100833;2.63;48.62;890;24
100834;24.39;48.81;31;10
100835;0.00;29.73;11;0
100836;4.57;40.39;459;22
100837;2.75;39.69;425;12
100838;4.21;37.68;296;13
100839;3.20;44.80;121;4
100840;0.00;22.61;45;0
100841;4.35;27.98;110;5
100842;6.80;25.06;96;7
100843;4.24;31.05;113;5
100844;2.76;30.99;176;5
100845;2.30;30.63;85;2
100846;17.07;57.75;34;7
100847;6.45;49.21;29;2
100848;3.49;50.89;553;20
100849;1.84;47.33;479;9
100850;2.98;43.08;326;10
100851;2.14;52.86;823;18
100852;3.06;56.62;696;22
100853;2.73;52.76;818;23
100854;2.11;43.78;93;2
100855;1.72;48.82;628;11
100856;1.52;53.84;1035;16
100857;0.88;56.19;904;8
100858;1.83;55.38;536;10
100859;2.72;54.02;536;15
100860;4.07;53.37;448;19
100861;2.61;51.34;149;4
100862;2.40;58.69;122;3
100863;0.00;54.24;128;0
100864;2.27;59.49;818;19
100865;3.04;59.18;447;14
100866;3.93;48.46;513;21
100867;3.20;52.14;212;7
100868;1.33;65.54;670;9
100869;3.18;51.29;792;26
100870;2.51;40.79;272;7
100871;3.85;47.60;200;8
100872;2.23;34.56;175;4
100873;1.86;41.07;158;3
100874;3.85;39.07;225;9
100875;1.83;37.40;268;5
100876;3.03;56.41;128;4
100877;3.03;82.50;32;1
100878;2.23;51.81;964;22
100879;2.60;49.70;1047;28
100880;1.21;51.78;734;9
100881;3.56;41.98;515;19
100882;2.05;53.34;1002;21
100883;0.86;56.88;807;7
100884;1.26;53.32;864;11
100885;3.30;48.84;264;9
100886;8.42;34.99;174;16
100887;3.69;40.60;287;11
100888;2.07;43.08;189;4
100889;4.29;46.48;468;21
100890;2.53;56.53;270;7
100891;4.81;31.84;297;15
100892;2.83;49.50;240;7
100893;2.93;49.08;464;14
100894;2.90;47.45;469;14
100895;3.12;42.51;652;21
100896;2.69;37.50;289;8
100897;2.17;44.34;406;9
100898;1.76;48.93;559;10
