108965;301701;Areszt Śledczy|Ostrów Wielkopolski|ul. kardynała M. Ledóchowskiego 1 |63-400 Ostrów Wielkopolski
109284;302104;Zakład Karny w Koziegłowach|Koziegłowy|Piaskowa 7 |62-028 Koziegłowy
109322;302107;Oddział Zewnętrzny Aresztu Śledczego|Rosnowo|Jarzębinowa 2 |62-052 Komorniki
109391;302112;Areszt Śledczy Środa Wlkp. Oddział Zewnętrzny Pobiedziska|Pobiedziska|Władysława Jagiełły 34 |62-010 Pobiedziska
109498;302205;Zakład Karny w Rawiczu|Rawicz|17 Stycznia 28 |63-900 Rawicz
109499;302205;Zakład Karny w Rawiczu|Rawicz|17 Stycznia 28 |63-900 Rawicz
109582;302407;Areszt Śledczy|Szamotuły|Aleja 1 Maja 5 |64-500 Szamotuły
109595;302408;Świetlica Zakładu Karnego|Wronki|Partyzantów 1 |64-510 Wronki
109630;302504;Areszt Śledczy|Środa Wielkopolska|Gancarska 1 |63-000 Środa Wielkopolska
109674;302604;Areszt Śledczy w Śremie|Śrem|Ks. Piotra Wawrzyniaka 6 |63-100 Śrem
109973;306101;Zakład Karny|Kalisz|ul. Łódzka 2 |62-800 Kalisz
110055;306301;Areszt Śledczy|Leszno|pl. Tadeusz kościuszki 3 |64-100 Leszno
110283;306401;Areszt Śledczy w Poznaniu|Poznań|ul. Młyńska 1 |61-729 Poznań
110310;306401;Oddział Zewnętrzny Aresztu Śledczego w Poznaniu|Poznań|ul. Nowosolska 40 |60-171 Poznań
110347;320104;Odział Zewnętrzny Dobrowo Aresztu Śledczego Koszalin|Dobrowo| 53 |78-220 Tychowo
110370;320202;Areszt Śledczy|Choszczno|ul. Wolności 12 |73-200 Choszczno
110371;320202;Areszt Śledczy - Oddział Zewnętrzny|Choszczno|ul. Matejki 3 |73-200 Choszczno
110426;320305;Zakład Karny|Wierzchowo|Szkolna 8 |78-530 Wierzchowo
110465;320402;Zakład Karny|Goleniów|ul.Grenadierów 66 |72-100 Goleniów
110489;320404;Zakład Karny|Nowogard|ul.Zamkowa 7 |72-200 Nowogard
110530;320504;Zakład Karny Oddział w Płotach|Płoty|ul. Koszalińska 2 |72-310 Płoty
110624;320703;ARESZT ŚLEDCZY|KAMIEŃ POMORSKI|ul.TADEUSZA KOŚCIUSZKI 13 |72-400 KAMIEŃ POMORSKI
110721;320903;Zakład Karny w Starem Bornem|Stare Borne| 14 |76-020 Bobolice
110963;321401;Zakład Karny|Stargard Szczeciński|ul. Aleja Żołnierza 42 |73-110 Stargard Szczeciński
111024;321501;Zakład Karny|Szczecinek|Boh. Warszawy 42a |78-400 Szczecinek
111207;326101;Zakład Karny|Koszalin|ul. Strefowa 17 |75-950 Koszalin
111208;326101;Areszt Śledczy|Koszalin|ul. Młyńska 71 |75-950 Koszalin
111408;326201;Areszt Śledczy|Szczecin|ul. Kaszubska 28 |70-226 Szczecin
111437;326301;Areszt Śledczy|Świnoujscie|ul. Marszałka J. Piłsudskiego 25a |72-600 Świnoujście
83686;020202;Areszt Śledczy|Dzierżoniów|Ząbkowicka 53 |58-200 Dzierżoniów
83759;020301;Zakład Karny|Głogów|ul. Lipowa 21 |67-200 Głogów
83959;020802;Zakład Karny w Kłodzku|Kłodzko|Bohaterów Getta 16 |57-300 Kłodzko
84138;021001;Areszt Śledczy|Lubań|ul. Podwale 1 |59-800 Lubań
84169;021007;Zakład Karny w Zarębie|Zaręba|ul. Leśna 4 |59-800 Lubań
84336;021401;Zakład Karny w Oleśnicy|Oleśnica|ul.Wały Jagiellońskie 1 |56-400 Oleśnica
84502;021704;Zakład Karny w Strzelinie|Strzelin|ul. Ząbkowicka 68 |57-100 Strzelin
84561;021901;Areszt Śledczy|Świdnica|ul. Trybunalska 16 |58-100 Świdnica
84785;022203;Zakład Karny w Wołowie|Wołów|ul. Więzienna 6 |56-100 Wołów
85120;026101;Areszt Śledczy|Jelenia Góra|ul. Grottgera 2 |58-500 Jelenia Góra
85454;026401;Areszt Śledczy|Wrocław|ul. Świebodzka 1 |50-046 Wrocław
85456;026401;Zakład Karny Nr 2|Wrocław|ul. Fiołkowa 38 |53-239 Wrocław
85459;026401;Zakład Karny Nr 1|Wrocław|ul.Kleczkowska 35 |50-227 Wrocław
85548;026501;Areszt Śledczy|Wałbrzych|ul.Juliusza Słowackiego 10a |58-300 Wałbrzych
85721;040304;Zakład Karny|Koronowo|ul. Bydgoska 27 |86-010 Koronowo
85751;040307;ZAKŁAD KARNY W KORONOWIE ODDZIAŁ ZEWNĘTRZNY W STRZELEWIE|STRZELEWO| 61 |86-014 SICIENKO
85780;040401;Oddział Zewnętrzny Zakładu Karnego nr 2 w Grudziądzu|Chełmno|ul. 22 Stycznia 3a |86-200 Chełmno
85933;040701;ZAKŁAD KARNY W INOWROCŁAWIU|INOWROCŁAW|PREZYDENTA GABRIELA NARUTOWICZA 46 |88-100 INOWROCŁAW
86191;041003;ZAKŁAD KARNY|Potulice|UL. ALEJA PARKOWA 1 |89-120 Potulice
86192;041003;ZAKŁAD OPIEKI ZDROWOTNEJ ZAKŁAD KARNY|Potulice|UL. ALEJA PARKOWA 1 |89-120 Potulice
86969;046101;Areszt Śledczy w Bydgoszczy|Bydgoszcz|ul. Wały Jagiellońskie 4 |85-128 Bydgoszcz
86970;046101;Zakład Karny Bydgoszcz - Fordon w Bydgoszczy|Bydgoszcz|ul. Rynek 8 |85-790 Bydgoszcz
87023;046201;Zakład Karny Nr 1|Grudziądz|ul. Wybickiego 10/22 |86-300 Grudziądz
87024;046201;Zakład Karny Nr 2|Grudziądz|ul. Sikorskiego 13/17 |86-300 Grudziądz
87136;046301;Areszt Śledczy|Toruń|ul. Piekary 53 |87-100 Toruń
87216;046401;Zakład Karny|Włocławek|Bartnicka 10 |87-800 Włocławek
87261;060106;Zakład Karny w Zabłociu|Zabłocie| 122 |21-509 Kodeń
87535;060401;Zakład Karny|Hrubieszów|ul. Nowa 64 |22-500 Hrubieszów
87644;060601;Areszt Śledczy|Krasnystaw|Poniatowskiego 27 |22-300 Krasnystaw
88217;061205;Zakład Karny w Opolu Lubelskim - sala lekcyjna w budynku Zespołu Szkół|Opole Lubelskie|Owocowa 7 |24-300 Opole Lubelskie
88660;061901;Świetlica Zakład Karny|Włodawa|Żołnierzy WiN 19 |22-200 Włodawa
88850;066101;Zakład Karny|Biała Podlaska|ul. Prosta 33 |21-500 Biała Podlaska
88885;066201;Zakład karny|Chełm|Kolejowa 112 |22-100 chełm
89094;066301;Areszt Śledczy w Lublinie|Lublin|ul. Południowa 5 |20-482 Lublin
89125;066401;Zakład Karny w Zamościu|Zamość|Okrzei 14 |22-400 Zamość
89126;066401;Oddział Zewnętrzny Zakładu Karnego w Zamościu|Zamość|Hrubieszowska 40 |22-400 Zamość
89223;080205;Areszt Śledczy w Lubsku Oddział Zewnętrzny w Wałowicach|Wałowice| 74|66-620 Gubin
89266;080302;Areszt Śledczy w Międzyrzeczu|Międzyrzecz|Młyńska 21 |66-300 Międzyrzecz
89319;080401;Areszt Śledczy|Nowa Sól|Żeromskiego 2 |67-100 67-100
89437;080703;Zakład Karny Gorzów Wielkopolski - Oddział Zewnętrzyny w Słońsku|Słońsk|Winna 2 |66-436 Słońsk
89522;080905;Zakład Karny w Krzywańcu|Krzywaniec| |66-010 Nowogród Bobrzański
89653;081106;Areszt Śledczy w Lubsku|Lubsko|Nowa 2 |68-300 Lubsko
89770;086101;Zakład Karny|Gorzów Wielkopolski|Podmiejska 17 |66-400 Gorzów Wielkopolski
89848;086201;Areszt Śledczy|Zielona Góra|ul. Łużycka 2 |65-601 Zielona Góra
90076;100405;Zakład Karny w Garbalinie|Garbalin| 18 |99-100 Łęczyca
90112;100501;Zakład Karny|Łowicz|ul. Wiejska 3 |99-400 Łowicz
90708;101401;Zakład Karny Sieradz|Sieradz|Orzechowa 5 |98-200 Sieradz
90709;101401;Zakład Karny Sieradz|Sieradz|Torowa 2 |98-200 Sieradz
91614;106101;Areszt Śledczy w Łodzi|Łódź|ul. Smutna 21 |91-729 Łódź
91623;106101;Zakład Karny Nr 2 w Łodzi|Łódź|ul. Kraszewskiego 1/5 |93-161 Łódź
91639;106101;Zakład Karny Nr 1 w Łodzi|Łódź|ul. Beskidzka 54 |91-611 Łódź
91679;106201;Areszt Śledczy|Piotrków Trybunalski|Wronia 76/90 |97-300 Piotrków Trybunalski
91764;120106;Zakład Karny w Nowym Wiśniczu|Nowy Wiśnicz| |32-720 Nowy Wiśnicz
91945;120305;Zakład Karny w Trzebini|Trzebinia|Słowackiego 70 |32-540 Trzebinia
93461;121809;Zakład Karny w Wadowicach|Wadowice|Trybunalska 8 |34-100 Wadowice
94011;126101;Areszt Śledczy Kraków|Kraków|ul. Montelupich 7 |31-148 
94035;126101;ARESZT ŚLEDCZY W KRAKOWIE|KRAKÓW|CZARNIECKIEGO 3 |30-536 
94042;126101;ZAKŁAD KARNY KRAKÓW - NOWA HUTA|Kraków|ul. Spławy 2 |31-987 
94099;126201;Zakład Karny|Nowy Sącz|ul. Pijarska 1 |33-300 Nowy Sącz
94171;126301;Zakład Karny Tarnów-Mościce|Tarnów|ul. Jędrzeja Śniadeckiego 9 |33-101 Tarnów
94172;126301;Zakład Karny w Tarnowie|Tarnów|ul. Stanisława Konarskiego 2 |33-100 Tarnów
94173;126301;Zakład Karny w Tarnowie - Oddział Penitencjarny Nr 3|Tarnów|ul. Wspólna 15 |33-100 Tarnów
94446;140504;Oddział Zewnętrzny Aresztu Śledczego Warszawa Służewiec w Grodzisku Mazowieckim|Grodzisk Mazowiecki|1 Maja 27 |05-825 Grodzisk Mazowiecki
94500;140605;Areszt Śledczy w Grójcu|Grójec|Armii Krajowej 21 |05-600 Grójec
94546;140701;Zakład Karny w Żytkowicach|Żytkowice| |26-930 Garbatka-Letnisko
95083;141510;Zakład Karny w Przytułach Starych|Przytuły Stare| 13A |07-411 Rzekuń
95481;142001;Areszt Śledczy w Płońsku|Płońsk|ul. Warszawska 49 |09-100 Płońsk
95855;142508;Oddział Zewnętrzny w Pionkach Zakładu Karnego w Żytkowicach|Pionki| |26-670 
96725;146201;Zakład Karny|Płock|ul. Sienkiewicza 22 -|09-402 Płock
96837;146301;Areszt Śledczy|Radom|Wolanowska 120 |26-600 Radom
96839;146301;Oddział Zewnętrzny Aresztu Śledczego|Radom|Witosa 62 |26-600 Radom
96882;146401;Zakład Karny|Siedlce|Piłsudskiego 47 |08-110 Siedlce
96991;146503;Zakład Karny|Warszawa|Ciupagi 1B |03-016 Warszawa
96992;146503;Areszt Śledczy|Warszawa|Ciupagi 1 |03-016 Warszawa
97175;146505;Areszt Śledczy Warszawa Mokotów|Warszawa|ul. Rakowiecka 37 |02-517 Warszawa
97311;146507;Areszt Śledczy Warszawa Grochów|Warszawa|ul. J. Chłopickiego 71A |04-275 Warszawa
97586;146513;Areszt Śledczy Warszawa-Służewiec|Ursynów|Kłobucka 5 |02-699 Warszawa
97918;149901;Bukareszt, Ambasada RP|011821, sector 1, București|Aleea Alexandru 23 | 
98041;160101;Zakład Karny Brzeg|Brzeg|ul. Chrobrego 29 |49-300 Brzeg
98075;160103;Oddział Zewnętrzny w Grodkowie Zakładu Karnego w Brzegu|Grodków|ul. Sienkiewicza 23 |49-200 Grodków
98140;160203;Świetlica Zakładu Karnego|Głubczyce|ul. Kochanowskiego 3 |48-100 Głubczyce
98187;160301;Areszt Śledczy|Kędzierzyn-Koźle|ul. Racławicka 10 |47-200 Kędzierzyn-Koźle
98253;160402;Zakład Karny|Kluczbork|ul. Katowicka 4 |46-200 Kluczbork
98478;160705;Zakład Karny w Nysie|Nysa|ul. Kościuszki 4a |48-300 Nysa
98701;160913;Oddział Zewnętrzny Aresztu Śledczego w Opolu|Turawa|ul. Spacerowa 14 |46-045 Turawa
98773;161004;Areszt Śledczy|Prudnik|ul. Kościuszki 7 |48-200 Prudnik
98832;161105;Zakład Karny Nr 1|Strzelce Opolskie|ul. Karola Miarki 1 |47-100 Strzelce Opolskie
98833;161105;Zakład Karny Nr 2|Strzelce Opolskie|ul. Gen. Karola Świerczewskiego 3 |47-100 Strzelce Opolskie
98916;166101;Zakład Karny|Opole|ul. Partyzancka 72 |45-853 Opole
98917;166101;Areszt Śledczy|Opole|ul. Sądowa 4 |45-733 Opole
99032;180301;Zakład Karny|Dębica|ul. Sandomierska 41 |39-200 Dębica
99299;180504;Zakład Karny w Warzycach|Warzyce| 467 |38-200 Jasło
99850;181205;Areszt Śledczy|Nisko|Plac Wolności 15 |37-400 Nisko
99924;181306;Zakład Karny w Medyce|Medyka| 404B |37-732 Medyka
