teryt;typ;name
040703;R;Gniewkowo
040704;R;Inowrocław
040705;R;Janikowo
040706;R;Kruszwica
040707;R;Pakość
040708;R;Rojewo
040709;R;Złotniki Kujawskie
040801;U;Lipno
040802;R;Bobrowniki
040803;R;Chrostkowo
040804;R;Dobrzyń nad Wisłą
040805;R;Kikół
040806;R;Lipno
040807;R;Skępe
040808;R;Tłuchowo
040809;R;Wielgie
040901;R;Dąbrowa
040902;R;Jeziora Wielkie
040903;R;Mogilno
040904;R;Strzelno
041001;R;Kcynia
041002;R;Mrocza
041003;R;Nakło nad Notecią
041004;R;Sadki
041005;R;Szubin
041101;U;Radziejów
041102;R;Bytoń
041103;R;Dobre
041104;R;Osięciny
041105;R;Piotrków Kujawski
041106;R;Radziejów
041107;R;Topólka
041201;U;Rypin
041202;R;Brzuze
041203;R;Rogowo
041204;R;Rypin
041205;R;Skrwilno
041206;R;Wąpielsk
041301;R;Kamień Krajeński
041302;R;Sępólno Krajeńskie
041303;R;Sośno
041304;R;Więcbork
041401;R;Bukowiec
041402;R;Dragacz
041403;R;Drzycim
041404;R;Jeżewo
041405;R;Lniano
041406;R;Nowe
041407;R;Osie
041408;R;Pruszcz
041409;R;Świecie
041410;R;Świekatowo
041411;R;Warlubie
041501;U;Chełmża
041502;R;Chełmża
041503;R;Czernikowo
041504;R;Lubicz
041505;R;Łubianka
041506;R;Łysomice
041507;R;Obrowo
041508;R;Wielka Nieszawka
041509;R;Zławieś Wielka
041601;R;Cekcyn
041602;R;Gostycyn
041603;R;Kęsowo
041604;R;Lubiewo
041605;R;Śliwice
041606;R;Tuchola
041701;U;Wąbrzeźno
041702;R;Dębowa Łąka
041703;R;Książki
041704;R;Płużnica
041705;R;Ryńsk
041801;U;Kowal
041802;R;Baruchowo
041803;R;Boniewo
041804;R;Brześć Kujawski
041805;R;Choceń
041806;R;Chodecz
041807;R;Fabianki
041808;R;Izbica Kujawska
041809;R;Kowal
041810;R;Lubanie
041811;R;Lubień Kujawski
041812;R;Lubraniec
041813;R;Włocławek
041901;R;Barcin
041902;R;Gąsawa
041903;R;Janowiec Wielkopolski
041904;R;Łabiszyn
041905;R;Rogowo
041906;R;Żnin
046101;U;Bydgoszcz
046201;U;Grudziądz
046301;U;Toruń
046401;U;Włocławek
060101;U;Międzyrzec Podlaski
060102;U;Terespol
060103;R;Biała Podlaska
060104;R;Drelów
060105;R;Janów Podlaski
060106;R;Kodeń
060107;R;Konstantynów
060108;R;Leśna Podlaska
060109;R;Łomazy
060110;R;Międzyrzec Podlaski
060111;R;Piszczac
060112;R;Rokitno
060113;R;Rossosz
060114;R;Sławatycze
060115;R;Sosnówka
060116;R;Terespol
060117;R;Tuczna
060118;R;Wisznice
060119;R;Zalesie
060201;U;Biłgoraj
060202;R;Aleksandrów
060203;R;Biłgoraj
060204;R;Biszcza
060205;R;Frampol
060206;R;Goraj
060207;R;Józefów
060208;R;Księżpol
060209;R;Łukowa
060210;R;Obsza
060211;R;Potok Górny
060212;R;Tarnogród
060213;R;Tereszpol
060214;R;Turobin
060301;U;Rejowiec Fabryczny
060302;R;Białopole
060303;R;Chełm
060304;R;Dorohusk
060305;R;Dubienka
060306;R;Kamień
060307;R;Leśniowice
060308;R;Rejowiec Fabryczny
060309;R;Ruda-Huta
060310;R;Sawin
060311;R;Siedliszcze
060312;R;Wierzbica
060313;R;Wojsławice
060314;R;Żmudź
060315;R;Rejowiec
060401;U;Hrubieszów
060402;R;Dołhobyczów
060403;R;Horodło
060404;R;Hrubieszów
060405;R;Mircze
060406;R;Trzeszczany
060407;R;Uchanie
060408;R;Werbkowice
060501;R;Batorz
060502;R;Chrzanów
060503;R;Dzwola
060504;R;Godziszów
060505;R;Janów Lubelski
060506;R;Modliborzyce
060507;R;Potok Wielki
060601;U;Krasnystaw
060602;R;Fajsławice
060603;R;Gorzków
060604;R;Izbica
060605;R;Krasnystaw
060606;R;Kraśniczyn
060607;R;Łopiennik Górny
060609;R;Rudnik
060610;R;Siennica Różana
060611;R;Żółkiewka
060701;U;Kraśnik
060702;R;Annopol
060703;R;Dzierzkowice
060704;R;Gościeradów
060705;R;Kraśnik
060706;R;Szastarka
060707;R;Trzydnik Duży
060708;R;Urzędów
060709;R;Wilkołaz
060710;R;Zakrzówek
060801;U;Lubartów
060802;R;Abramów
060803;R;Firlej
060804;R;Jeziorzany
060805;R;Kamionka
060806;R;Kock
060807;R;Lubartów
060808;R;Michów
060809;R;Niedźwiada
060810;R;Ostrów Lubelski
060811;R;Ostrówek
060812;R;Serniki
060813;R;Uścimów
060901;R;Bełżyce
060902;R;Borzechów
060903;R;Bychawa
060904;R;Garbów
060905;R;Głusk
060906;R;Jabłonna
060907;R;Jastków
060908;R;Konopnica
060909;R;Krzczonów
060910;R;Niedrzwica Duża
060911;R;Niemce
060912;R;Strzyżewice
060913;R;Wojciechów
060914;R;Wólka
060915;R;Wysokie
060916;R;Zakrzew
061001;R;Cyców
061002;R;Ludwin
061003;R;Łęczna
061004;R;Milejów
061005;R;Puchaczów
061006;R;Spiczyn
061101;U;Łuków
061102;U;Stoczek Łukowski
061103;R;Adamów
061104;R;Krzywda
061105;R;Łuków
061106;R;Serokomla
061107;R;Stanin
061108;R;Stoczek Łukowski
061109;R;Trzebieszów
061110;R;Wojcieszków
061111;R;Wola Mysłowska
061201;R;Chodel
061202;R;Józefów nad Wisłą
061203;R;Karczmiska
061204;R;Łaziska
061205;R;Opole Lubelskie
061206;R;Poniatowa
061207;R;Wilków
061301;R;Dębowa Kłoda
061302;R;Jabłoń
061303;R;Milanów
061304;R;Parczew
061305;R;Podedwórze
061306;R;Siemień
061307;R;Sosnowica
061401;U;Puławy
061402;R;Baranów
061403;R;Janowiec
061404;R;Kazimierz Dolny
061405;R;Końskowola
061406;R;Kurów
061407;R;Markuszów
061408;R;Nałęczów
061409;R;Puławy
061410;R;Wąwolnica
061411;R;Żyrzyn
061501;U;Radzyń Podlaski
061502;R;Borki
061503;R;Czemierniki
061504;R;Kąkolewnica
061505;R;Komarówka Podlaska
061506;R;Radzyń Podlaski
061507;R;Ulan-Majorat
061508;R;Wohyń
061601;U;Dęblin
061602;R;Kłoczew
061603;R;Nowodwór
061604;R;Ryki
061605;R;Stężyca
061606;R;Ułęż
061701;U;Świdnik
061702;R;Mełgiew
061703;R;Piaski
061704;R;Rybczewice
061705;R;Trawniki
061801;U;Tomaszów Lubelski
061802;R;Bełżec
061803;R;Jarczów
061804;R;Krynice
061805;R;Lubycza Królewska
061806;R;Łaszczów
061807;R;Rachanie
061808;R;Susiec
061809;R;Tarnawatka
061810;R;Telatyn
061811;R;Tomaszów Lubelski
061812;R;Tyszowce
061813;R;Ulhówek
061901;U;Włodawa
061902;R;Hanna
061903;R;Hańsk
061904;R;Stary Brus
061905;R;Urszulin
061906;R;Włodawa
061907;R;Wola Uhruska
061908;R;Wyryki
062001;R;Adamów
062002;R;Grabowiec
062003;R;Komarów-Osada
062004;R;Krasnobród
062005;R;Łabunie
062006;R;Miączyn
062007;R;Nielisz
062008;R;Radecznica
062009;R;Sitno
062010;R;Skierbieszów
062011;R;Stary Zamość
062012;R;Sułów
062013;R;Szczebrzeszyn
062014;R;Zamość
062015;R;Zwierzyniec
066101;U;Biała Podlaska
066201;U;Chełm
066301;U;Lublin
066401;U;Zamość
080101;U;Kostrzyn nad Odrą
080102;R;Bogdaniec
080103;R;Deszczno
080104;R;Kłodawa
080105;R;Lubiszyn
080106;R;Santok
080107;R;Witnica
080201;U;Gubin
080202;R;Bobrowice
080203;R;Bytnica
080204;R;Dąbie
080205;R;Gubin
080206;R;Krosno Odrzańskie
080207;R;Maszewo
080301;R;Bledzew
080302;R;Międzyrzecz
080303;R;Przytoczna
080304;R;Pszczew
080305;R;Skwierzyna
080306;R;Trzciel
080401;U;Nowa Sól
080402;R;Bytom Odrzański
080403;R;Kolsko
080404;R;Kożuchów
080405;R;Nowa Sól
080406;R;Nowe Miasteczko
080407;R;Otyń
080408;R;Siedlisko
080501;R;Cybinka
080502;R;Górzyca
080503;R;Ośno Lubuskie
080504;R;Rzepin
080505;R;Słubice
080601;R;Dobiegniew
080602;R;Drezdenko
080603;R;Stare Kurowo
080604;R;Strzelce Krajeńskie
080605;R;Zwierzyn
080701;R;Krzeszyce
080702;R;Lubniewice
080703;R;Słońsk
080704;R;Sulęcin
080705;R;Torzym
080801;R;Lubrza
080802;R;Łagów
080803;R;Skąpe
080804;R;Szczaniec
080805;R;Świebodzin
080806;R;Zbąszynek
080901;R;Babimost
080902;R;Bojadła
080903;R;Czerwieńsk
080904;R;Kargowa
080905;R;Nowogród Bobrzański
080906;R;Sulechów
080907;R;Świdnica
080908;R;Trzebiechów
080909;R;Zabór
081001;U;Gozdnica
081002;U;Żagań
081003;R;Brzeźnica
081004;R;Iłowa
081005;R;Małomice
081006;R;Niegosławice
081007;R;Szprotawa
081008;R;Wymiarki
081009;R;Żagań
081101;U;Łęknica
081102;U;Żary
081103;R;Brody
081104;R;Jasień
081105;R;Lipinki Łużyckie
081106;R;Lubsko
081107;R;Przewóz
081108;R;Trzebiel
081109;R;Tuplice
081110;R;Żary
081201;R;Sława
081202;R;Szlichtyngowa
081203;R;Wschowa
086101;U;Gorzów Wielkopolski
086201;U;Zielona Góra
100101;U;Bełchatów
100102;R;Bełchatów
100103;R;Drużbice
100104;R;Kleszczów
100105;R;Kluki
100106;R;Rusiec
100107;R;Szczerców
100108;R;Zelów
100201;U;Kutno
100202;R;Bedlno
100203;R;Dąbrowice
100204;R;Krośniewice
100205;R;Krzyżanów
100206;R;Kutno
100207;R;Łanięta
100208;R;Nowe Ostrowy
100209;R;Oporów
100210;R;Strzelce
100211;R;Żychlin
100301;R;Buczek
100302;R;Łask
100303;R;Sędziejowice
100304;R;Widawa
100305;R;Wodzierady
100401;U;Łęczyca
100402;R;Daszyna
100403;R;Góra Świętej Małgorzaty
100404;R;Grabów
100405;R;Łęczyca
100406;R;Piątek
100407;R;Świnice Warckie
100408;R;Witonia
100501;U;Łowicz
100502;R;Bielawy
100503;R;Chąśno
100504;R;Domaniewice
100505;R;Kiernozia
100506;R;Kocierzew Południowy
100507;R;Łowicz
100508;R;Łyszkowice
100509;R;Nieborów
100510;R;Zduny
100602;R;Andrespol
100603;R;Brójce
100607;R;Koluszki
100608;R;Nowosolna
100610;R;Rzgów
100611;R;Tuszyn
100701;R;Białaczów
100702;R;Drzewica
100703;R;Mniszków
100704;R;Opoczno
100705;R;Paradyż
100706;R;Poświętne
100707;R;Sławno
100708;R;Żarnów
100801;U;Konstantynów Łódzki
100802;U;Pabianice
100803;R;Dłutów
100804;R;Dobroń
100805;R;Ksawerów
100806;R;Lutomiersk
100807;R;Pabianice
100901;R;Działoszyn
100902;R;Kiełczygłów
100903;R;Nowa Brzeźnica
100904;R;Pajęczno
100905;R;Rząśnia
100906;R;Siemkowice
100907;R;Strzelce Wielkie
100908;R;Sulmierzyce
101001;R;Aleksandrów
101002;R;Czarnocin
101003;R;Gorzkowice
101004;R;Grabica
101005;R;Łęki Szlacheckie
101006;R;Moszczenica
101007;R;Ręczno
101008;R;Rozprza
101009;R;Sulejów
101010;R;Wola Krzysztoporska
101011;R;Wolbórz
101101;R;Dalików
101102;R;Pęczniew
101103;R;Poddębice
101104;R;Uniejów
101105;R;Wartkowice
101106;R;Zadzim
101201;U;Radomsko
101202;R;Dobryszyce
101203;R;Gidle
101204;R;Gomunice
101205;R;Kamieńsk
101206;R;Kobiele Wielkie
101207;R;Kodrąb
101208;R;Lgota Wielka
101209;R;Ładzice
101210;R;Masłowice
101211;R;Przedbórz
101212;R;Radomsko
101213;R;Wielgomłyny
101214;R;Żytno
101301;U;Rawa Mazowiecka
101302;R;Biała Rawska
101303;R;Cielądz
101304;R;Rawa Mazowiecka
101305;R;Regnów
101306;R;Sadkowice
101401;U;Sieradz
101402;R;Błaszki
101403;R;Brąszewice
101404;R;Brzeźnio
101405;R;Burzenin
101406;R;Goszczanów
101407;R;Klonowa
101408;R;Sieradz
101409;R;Warta
101410;R;Wróblew
101411;R;Złoczew
101501;R;Bolimów
101502;R;Głuchów
101503;R;Godzianów
101504;R;Kowiesy
101505;R;Lipce Reymontowskie
101506;R;Maków
101507;R;Nowy Kawęczyn
101508;R;Skierniewice
101509;R;Słupia
101601;U;Tomaszów Mazowiecki
101602;R;Będków
101603;R;Budziszewice
101604;R;Czerniewice
101605;R;Inowłódz
101606;R;Lubochnia
101607;R;Rokiciny
101608;R;Rzeczyca
101609;R;Tomaszów Mazowiecki
101610;R;Ujazd
101611;R;Żelechlinek
101701;R;Biała
101702;R;Czarnożyły
101703;R;Konopnica
101704;R;Mokrsko
101705;R;Osjaków
101706;R;Ostrówek
101707;R;Pątnów
101708;R;Skomlin
101709;R;Wieluń
101710;R;Wierzchlas
101801;R;Bolesławiec
101802;R;Czastary
101803;R;Galewice
101804;R;Lututów
101805;R;Łubnice
101806;R;Sokolniki
101807;R;Wieruszów
101901;U;Zduńska Wola
101902;R;Szadek
101903;R;Zapolice
101904;R;Zduńska Wola
102001;U;Głowno
102002;U;Ozorków
102003;U;Zgierz
102004;R;Aleksandrów Łódzki
102005;R;Głowno
102006;R;Ozorków
102007;R;Parzęczew
