teryt;typ;name
142001;U;Płońsk
142002;U;Raciąż
142003;R;Baboszewo
142004;R;Czerwińsk nad Wisłą
142005;R;Dzierzążnia
142006;R;Joniec
142007;R;Naruszewo
142008;R;Nowe Miasto
142009;R;Płońsk
142010;R;Raciąż
142011;R;Sochocin
142012;R;Załuski
142101;U;Piastów
142102;U;Pruszków
142103;R;Brwinów
142104;R;Michałowice
142105;R;Nadarzyn
142106;R;Raszyn
142201;U;Przasnysz
142202;R;Chorzele
142203;R;Czernice Borowe
142204;R;Jednorożec
142205;R;Krasne
142206;R;Krzynowłoga Mała
142207;R;Przasnysz
142301;R;Borkowice
142302;R;Gielniów
142303;R;Klwów
142304;R;Odrzywół
142305;R;Potworów
142306;R;Przysucha
142307;R;Rusinów
142308;R;Wieniawa
142401;R;Gzy
142402;R;Obryte
142403;R;Pokrzywnica
142404;R;Pułtusk
142405;R;Świercze
142406;R;Winnica
142407;R;Zatory
142501;U;Pionki
142502;R;Gózd
142503;R;Iłża
142504;R;Jastrzębia
142505;R;Jedlińsk
142506;R;Jedlnia-Letnisko
142507;R;Kowala
142508;R;Pionki
142509;R;Przytyk
142510;R;Skaryszew
142511;R;Wierzbica
142512;R;Wolanów
142513;R;Zakrzew
142601;R;Domanice
142602;R;Korczew
142603;R;Kotuń
142604;R;Mokobody
142605;R;Mordy
142606;R;Paprotnia
142607;R;Przesmyki
142608;R;Siedlce
142609;R;Skórzec
142610;R;Suchożebry
142611;R;Wiśniew
142612;R;Wodynie
142613;R;Zbuczyn
142701;U;Sierpc
142702;R;Gozdowo
142703;R;Mochowo
142704;R;Rościszewo
142705;R;Sierpc
142706;R;Szczutowo
142707;R;Zawidz
142801;U;Sochaczew
142802;R;Brochów
142803;R;Iłów
142804;R;Młodzieszyn
142805;R;Nowa Sucha
142806;R;Rybno
142807;R;Sochaczew
142808;R;Teresin
142901;U;Sokołów Podlaski
142902;R;Bielany
142903;R;Ceranów
142904;R;Jabłonna Lacka
142905;R;Kosów Lacki
142906;R;Repki
142907;R;Sabnie
142908;R;Sokołów Podlaski
142909;R;Sterdyń
143001;R;Chlewiska
143002;R;Jastrząb
143003;R;Mirów
143004;R;Orońsko
143005;R;Szydłowiec
143201;R;Błonie
143202;R;Izabelin
143203;R;Kampinos
143204;R;Leszno
143205;R;Łomianki
143206;R;Ożarów Mazowiecki
143207;R;Stare Babice
143301;U;Węgrów
143302;R;Grębków
143303;R;Korytnica
143304;R;Liw
143305;R;Łochów
143306;R;Miedzna
143307;R;Sadowne
143308;R;Stoczek
143309;R;Wierzbno
143401;U;Kobyłka
143402;U;Marki
143403;U;Ząbki
143404;U;Zielonka
143405;R;Dąbrówka
143406;R;Jadów
143407;R;Klembów
143408;R;Poświętne
143409;R;Radzymin
143410;R;Strachówka
143411;R;Tłuszcz
143412;R;Wołomin
143501;R;Brańszczyk
143502;R;Długosiodło
143503;R;Rząśnik
143504;R;Somianka
143505;R;Wyszków
143506;R;Zabrodzie
143601;R;Kazanów
143602;R;Policzna
143603;R;Przyłęk
143604;R;Tczów
143605;R;Zwoleń
143701;R;Bieżuń
143702;R;Kuczbork-Osada
143703;R;Lubowidz
143704;R;Lutocin
143705;R;Siemiątkowo
143706;R;Żuromin
143801;U;Żyrardów
143802;R;Mszczonów
143803;R;Puszcza Mariańska
143804;R;Radziejowice
143805;R;Wiskitki
146101;U;Ostrołęka
146201;U;Płock
146301;U;Radom
146401;U;Siedlce
146501;U;Warszawa
146502;R;Bemowo
146503;R;Białołęka
146504;R;Bielany
146505;R;Mokotów
146506;R;Ochota
146507;R;Praga-Południe
146508;R;Praga-Północ
146509;R;Rembertów
146510;R;Śródmieście
146511;R;Targówek
146512;R;Ursus
146513;R;Ursynów
146514;R;Wawer
146515;R;Wesoła
146516;R;Wilanów
146517;R;Włochy
146518;R;Wola
146519;R;Żoliborz
160101;U;Brzeg
160102;R;Skarbimierz
160103;R;Grodków
160104;R;Lewin Brzeski
160105;R;Lubsza
160106;R;Olszanka
160201;R;Baborów
160202;R;Branice
160203;R;Głubczyce
160204;R;Kietrz
160301;U;Kędzierzyn-Koźle
160302;R;Bierawa
160303;R;Cisek
160304;R;Pawłowiczki
160305;R;Polska Cerekiew
160306;R;Reńska Wieś
160401;R;Byczyna
160402;R;Kluczbork
160403;R;Lasowice Wielkie
160404;R;Wołczyn
160501;R;Gogolin
160502;R;Krapkowice
160503;R;Strzeleczki
160504;R;Walce
160505;R;Zdzieszowice
160601;R;Domaszowice
160602;R;Namysłów
160603;R;Pokój
160604;R;Świerczów
160605;R;Wilków
160701;R;Głuchołazy
160702;R;Kamiennik
160703;R;Korfantów
160704;R;Łambinowice
160705;R;Nysa
160706;R;Otmuchów
160707;R;Paczków
160708;R;Pakosławice
160709;R;Skoroszyce
160801;R;Dobrodzień
160802;R;Gorzów Śląski
160803;R;Olesno
160804;R;Praszka
160805;R;Radłów
160806;R;Rudniki
160807;R;Zębowice
160901;R;Chrząstowice
160902;R;Dąbrowa
160903;R;Dobrzeń Wielki
160904;R;Komprachcice
160905;R;Łubniany
160906;R;Murów
160907;R;Niemodlin
160908;R;Ozimek
160909;R;Popielów
160910;R;Prószków
160911;R;Tarnów Opolski
160912;R;Tułowice
160913;R;Turawa
161001;R;Biała
161002;R;Głogówek
161003;R;Lubrza
161004;R;Prudnik
161101;R;Izbicko
161102;R;Jemielnica
161103;R;Kolonowskie
161104;R;Leśnica
161105;R;Strzelce Opolskie
161106;R;Ujazd
161107;R;Zawadzkie
166101;U;Opole
180103;R;Czarna
180105;R;Lutowiska
180108;R;Ustrzyki Dolne
180201;R;Brzozów
180202;R;Domaradz
180203;R;Dydnia
180204;R;Haczów
180205;R;Jasienica Rosielna
180206;R;Nozdrzec
180301;U;Dębica
180302;R;Brzostek
180303;R;Czarna
180304;R;Dębica
180305;R;Jodłowa
180306;R;Pilzno
180307;R;Żyraków
180401;U;Jarosław
180402;U;Radymno
180403;R;Chłopice
180404;R;Jarosław
180405;R;Laszki
180406;R;Pawłosiów
180407;R;Pruchnik
180408;R;Radymno
180409;R;Rokietnica
180410;R;Roźwienica
180411;R;Wiązownica
180501;U;Jasło
180502;R;Brzyska
180503;R;Dębowiec
180504;R;Jasło
180505;R;Kołaczyce
180506;R;Krempna
180507;R;Nowy Żmigród
180508;R;Osiek Jasielski
180509;R;Skołyszyn
180511;R;Tarnowiec
180601;R;Cmolas
180602;R;Kolbuszowa
180603;R;Majdan Królewski
180604;R;Niwiska
180605;R;Raniżów
180606;R;Dzikowiec
180701;R;Chorkówka
180702;R;Dukla
180703;R;Iwonicz-Zdrój
180704;R;Jedlicze
180705;R;Korczyna
180706;R;Krościenko Wyżne
180707;R;Miejsce Piastowe
180708;R;Rymanów
180709;R;Wojaszówka
180710;R;Jaśliska
180801;U;Leżajsk
180802;R;Grodzisko Dolne
180803;R;Kuryłówka
180804;R;Leżajsk
180805;R;Nowa Sarzyna
180901;U;Lubaczów
180902;R;Cieszanów
180903;R;Horyniec-Zdrój
180904;R;Lubaczów
180905;R;Narol
180906;R;Oleszyce
180907;R;Stary Dzików
180908;R;Wielkie Oczy
181001;U;Łańcut
181002;R;Białobrzegi
181003;R;Czarna
181004;R;Łańcut
181005;R;Markowa
181006;R;Rakszawa
181007;R;Żołynia
181101;U;Mielec
181102;R;Borowa
181103;R;Czermin
181104;R;Gawłuszowice
181105;R;Mielec
181106;R;Padew Narodowa
181107;R;Przecław
181108;R;Radomyśl Wielki
181109;R;Tuszów Narodowy
181110;R;Wadowice Górne
181201;R;Harasiuki
181202;R;Jarocin
181203;R;Jeżowe
181204;R;Krzeszów
181205;R;Nisko
181206;R;Rudnik nad Sanem
181207;R;Ulanów
181301;R;Bircza
181302;R;Dubiecko
181303;R;Fredropol
181304;R;Krasiczyn
181305;R;Krzywcza
181306;R;Medyka
181307;R;Orły
181308;R;Przemyśl
181309;R;Stubno
181310;R;Żurawica
181401;U;Przeworsk
181402;R;Adamówka
181403;R;Gać
181404;R;Jawornik Polski
181405;R;Kańczuga
181406;R;Przeworsk
181407;R;Sieniawa
181408;R;Tryńcza
181409;R;Zarzecze
181501;R;Iwierzyce
181502;R;Ostrów
181503;R;Ropczyce
181504;R;Sędziszów Małopolski
181505;R;Wielopole Skrzyńskie
181601;U;Dynów
181602;R;Błażowa
181603;R;Boguchwała
181604;R;Chmielnik
181605;R;Dynów
181606;R;Głogów Małopolski
181607;R;Hyżne
181608;R;Kamień
181609;R;Krasne
181610;R;Lubenia
181611;R;Sokołów Małopolski
181612;R;Świlcza
181613;R;Trzebownisko
181614;R;Tyczyn
181701;U;Sanok
181702;R;Besko
181703;R;Bukowsko
181704;R;Komańcza
181705;R;Sanok
181706;R;Tyrawa Wołoska
181707;R;Zagórz
181708;R;Zarszyn
181801;U;Stalowa Wola
181802;R;Bojanów
181803;R;Pysznica
181804;R;Radomyśl nad Sanem
181805;R;Zaklików
181806;R;Zaleszany
181901;R;Czudec
181902;R;Frysztak
181903;R;Niebylec
181904;R;Strzyżów
181905;R;Wiśniowa
182001;R;Baranów Sandomierski
182002;R;Gorzyce
182003;R;Grębów
182004;R;Nowa Dęba
182101;R;Baligród
182102;R;Cisna
182103;R;Lesko
182104;R;Olszanica
182105;R;Solina
186101;U;Krosno
186201;U;Przemyśl
186301;U;Rzeszów
186401;U;Tarnobrzeg
200101;U;Augustów
200102;R;Augustów
200103;R;Bargłów Kościelny
200104;R;Lipsk
200105;R;Nowinka
200106;R;Płaska
200107;R;Sztabin
200201;R;Choroszcz
200202;R;Czarna Białostocka
200203;R;Dobrzyniewo Duże
200204;R;Gródek
200205;R;Juchnowiec Kościelny
200206;R;Łapy
200207;R;Michałowo
200208;R;Poświętne
200209;R;Supraśl
200210;R;Suraż
200211;R;Turośń Kościelna
200212;R;Tykocin
200213;R;Wasilków
200214;R;Zabłudów
200215;R;Zawady
200301;U;Bielsk Podlaski
200302;U;Brańsk
200303;R;Bielsk Podlaski
200304;R;Boćki
200305;R;Brańsk
200306;R;Orla
200307;R;Rudka
200308;R;Wyszki
200401;U;Grajewo
200402;R;Grajewo
200403;R;Radziłów
200404;R;Rajgród
200405;R;Szczuczyn
200406;R;Wąsosz
200501;U;Hajnówka
200502;R;Białowieża
200503;R;Czeremcha
200504;R;Czyże
200505;R;Dubicze Cerkiewne
200506;R;Hajnówka
200507;R;Kleszczele
200508;R;Narew
200509;R;Narewka
200601;U;Kolno
200602;R;Grabowo
200603;R;Kolno
200604;R;Mały Płock
200605;R;Stawiski
200606;R;Turośl
200701;R;Jedwabne
200702;R;Łomża
200703;R;Miastkowo
200704;R;Nowogród
200705;R;Piątnica
200706;R;Przytuły
200707;R;Śniadowo
200708;R;Wizna
200709;R;Zbójna
200801;R;Goniądz
200802;R;Jasionówka
200803;R;Jaświły
200804;R;Knyszyn
200805;R;Krypno
200806;R;Mońki
200807;R;Trzcianne
200901;U;Sejny
200902;R;Giby
200903;R;Krasnopol
200904;R;Puńsk
200905;R;Sejny
201001;U;Siemiatycze
201002;R;Drohiczyn
201003;R;Dziadkowice
201004;R;Grodzisk
201005;R;Mielnik
201006;R;Milejczyce
201007;R;Nurzec-Stacja
201008;R;Perlejewo
201009;R;Siemiatycze
201101;R;Dąbrowa Białostocka
201102;R;Janów
201103;R;Korycin
201104;R;Krynki
201105;R;Kuźnica
201106;R;Nowy Dwór
201107;R;Sidra
201108;R;Sokółka
201109;R;Suchowola
201110;R;Szudziałowo
201201;R;Bakałarzewo
201202;R;Filipów
201203;R;Jeleniewo
201204;R;Przerośl
201205;R;Raczki
201206;R;Rutka-Tartak
201207;R;Suwałki
201208;R;Szypliszki
201209;R;Wiżajny
201301;U;Wysokie Mazowieckie
201302;R;Ciechanowiec
201303;R;Czyżew
201304;R;Klukowo
201305;R;Kobylin-Borzymy
201306;R;Kulesze Kościelne
201307;R;Nowe Piekuty
201308;R;Sokoły
201309;R;Szepietowo
201310;R;Wysokie Mazowieckie
201401;U;Zambrów
201402;R;Kołaki Kościelne
201403;R;Rutki
201404;R;Szumowo
201405;R;Zambrów
206101;U;Białystok
206201;U;Łomża
206301;U;Suwałki
220101;R;Borzytuchom
220102;R;Bytów
220103;R;Czarna Dąbrówka
220104;R;Kołczygłowy
220105;R;Lipnica
220106;R;Miastko
220107;R;Parchowo
220108;R;Studzienice
220109;R;Trzebielino
220110;R;Tuchomie
220201;U;Chojnice
220202;R;Brusy
220203;R;Chojnice
220204;R;Czersk
220205;R;Konarzyny
220301;U;Człuchów
220302;R;Czarne
220303;R;Człuchów
220304;R;Debrzno
220305;R;Koczała
220306;R;Przechlewo
220307;R;Rzeczenica
220401;U;Pruszcz Gdański
220402;R;Cedry Wielkie
220403;R;Kolbudy
220404;R;Pruszcz Gdański
220405;R;Przywidz
220406;R;Pszczółki
220407;R;Suchy Dąb
220408;R;Trąbki Wielkie
220501;R;Chmielno
220502;R;Kartuzy
220503;R;Przodkowo
220504;R;Sierakowice
220505;R;Somonino
220506;R;Stężyca
220507;R;Sulęczyno
220508;R;Żukowo
220601;U;Kościerzyna
220602;R;Dziemiany
220603;R;Karsin
220604;R;Kościerzyna
220605;R;Liniewo
220606;R;Lipusz
220607;R;Nowa Karczma
220608;R;Stara Kiszewa
220701;U;Kwidzyn
220702;R;Gardeja
220703;R;Kwidzyn
220704;R;Prabuty
220705;R;Ryjewo
220706;R;Sadlinki
220801;U;Lębork
220802;U;Łeba
220803;R;Cewice
220804;R;Nowa Wieś Lęborska
220805;R;Wicko
220901;U;Malbork
220903;R;Lichnowy
220904;R;Malbork
220906;R;Miłoradz
220907;R;Nowy Staw
220908;R;Stare Pole
221001;U;Krynica Morska
221002;R;Nowy Dwór Gdański
221003;R;Ostaszewo
221004;R;Stegna
221005;R;Sztutowo
221101;U;Hel
221102;R;Jastarnia
221103;U;Puck
221104;R;Władysławowo
221105;R;Kosakowo
221106;R;Krokowa
221107;R;Puck
221201;U;Ustka
221202;R;Damnica
221203;R;Dębnica Kaszubska
221204;R;Główczyce
221205;R;Kępice
221206;R;Kobylnica
221207;R;Potęgowo
221208;R;Słupsk
221209;R;Smołdzino
221210;R;Ustka
221301;R;Czarna Woda
221302;U;Skórcz
221303;U;Starogard Gdański
221304;R;Bobowo
221305;R;Kaliska
221306;R;Lubichowo
221307;R;Osieczna
221308;R;Osiek
221309;R;Skarszewy
221310;R;Skórcz
221311;R;Smętowo Graniczne
221312;R;Starogard Gdański
221313;R;Zblewo
221401;U;Tczew
221402;R;Gniew
221403;R;Morzeszczyn
221404;R;Pelplin
221405;R;Subkowy
221406;R;Tczew
221501;U;Reda
221502;U;Rumia
221503;U;Wejherowo
221504;R;Choczewo
221505;R;Gniewino
221506;R;Linia
221507;R;Luzino
221508;R;Łęczyce
221509;R;Szemud
221510;R;Wejherowo
221601;R;Dzierzgoń
221602;R;Mikołajki Pomorskie
221603;R;Stary Dzierzgoń
221604;R;Stary Targ
221605;R;Sztum
226101;U;Gdańsk
226201;U;Gdynia
226301;U;Słupsk
226401;U;Sopot
240101;U;Będzin
240102;U;Czeladź
240103;U;Wojkowice
240104;R;Bobrowniki
240105;R;Mierzęcice
240106;R;Psary
240107;R;Siewierz
240108;U;Sławków
240201;U;Szczyrk
240202;R;Bestwina
240203;R;Buczkowice
240204;R;Czechowice-Dziedzice
240205;R;Jasienica
240206;R;Jaworze
240207;R;Kozy
240208;R;Porąbka
240209;R;Wilamowice
240210;R;Wilkowice
240301;U;Cieszyn
240302;U;Ustroń
240303;U;Wisła
240304;R;Brenna
240305;R;Chybie
240306;R;Dębowiec
240307;R;Goleszów
240308;R;Hażlach
240309;R;Istebna
240310;R;Skoczów
240311;R;Strumień
240312;R;Zebrzydowice
240401;R;Blachownia
240402;R;Dąbrowa Zielona
240403;R;Janów
240404;R;Kamienica Polska
240405;R;Kłomnice
240406;R;Koniecpol
240407;R;Konopiska
240408;R;Kruszyna
240409;R;Lelów
240410;R;Mstów
240411;R;Mykanów
240412;R;Olsztyn
240413;R;Poczesna
240414;R;Przyrów
240415;R;Rędziny
240416;R;Starcza
240501;U;Knurów
240502;U;Pyskowice
240503;R;Gierałtowice
240504;R;Pilchowice
240505;R;Rudziniec
240506;R;Sośnicowice
240507;R;Toszek
240508;R;Wielowieś
240601;R;Kłobuck
240602;R;Krzepice
240603;R;Lipie
240604;R;Miedźno
240605;R;Opatów
240606;R;Panki
240607;R;Popów
240608;R;Przystajń
240609;R;Wręczyca Wielka
240701;U;Lubliniec
240702;R;Boronów
240703;R;Ciasna
240704;R;Herby
240705;R;Kochanowice
240706;R;Koszęcin
240707;R;Pawonków
240708;R;Woźniki
240801;U;Łaziska Górne
240802;U;Mikołów
240803;U;Orzesze
240804;R;Ornontowice
240805;R;Wyry
240901;U;Myszków
240902;R;Koziegłowy
240903;R;Niegowa
240904;R;Poraj
240905;R;Żarki
241001;R;Goczałkowice-Zdrój
241002;R;Kobiór
241003;R;Miedźna
241004;R;Pawłowice
241005;R;Pszczyna
241006;R;Suszec
241101;U;Racibórz
241102;R;Kornowac
241103;R;Krzanowice
241104;R;Krzyżanowice
241105;R;Kuźnia Raciborska
241106;R;Nędza
241107;R;Pietrowice Wielkie
241108;R;Rudnik
241201;R;Czerwionka-Leszczyny
241202;R;Gaszowice
241203;R;Jejkowice
241204;R;Lyski
241205;R;Świerklany
241301;U;Kalety
241302;U;Miasteczko Śląskie
241303;U;Radzionków
241304;U;Tarnowskie Góry
241305;R;Krupski Młyn
241306;R;Ożarowice
241307;R;Świerklaniec
241308;R;Tworóg
241309;R;Zbrosławice
241401;U;Bieruń
241402;U;Imielin
241403;U;Lędziny
241404;R;Bojszowy
241405;R;Chełm Śląski
241501;U;Pszów
241502;U;Radlin
241503;U;Rydułtowy
241504;U;Wodzisław Śląski
241505;R;Godów
241506;R;Gorzyce
241507;R;Lubomia
241508;R;Marklowice
241509;R;Mszana
241601;U;Poręba
241602;U;Zawiercie
241603;R;Irządze
241604;R;Kroczyce
241605;R;Łazy
241606;R;Ogrodzieniec
241607;R;Pilica
241608;R;Szczekociny
241609;R;Włodowice
241610;R;Żarnowiec
241701;U;Żywiec
241702;R;Czernichów
241703;R;Gilowice
241704;R;Jeleśnia
241705;R;Koszarawa
241706;R;Lipowa
241707;R;Łękawica
241708;R;Łodygowice
241709;R;Milówka
241710;R;Radziechowy-Wieprz
241711;R;Rajcza
241712;R;Ślemień
241713;R;Świnna
241714;R;Ujsoły
241715;R;Węgierska Górka
246101;U;Bielsko-Biała
246201;U;Bytom
246301;U;Chorzów
246401;U;Częstochowa
246501;U;Dąbrowa Górnicza
246601;U;Gliwice
246701;U;Jastrzębie-Zdrój
246801;U;Jaworzno
246901;U;Katowice
247001;U;Mysłowice
247101;U;Piekary Śląskie
247201;U;Ruda Śląska
247301;U;Rybnik
247401;U;Siemianowice Śląskie
247501;U;Sosnowiec
247601;U;Świętochłowice
247701;U;Tychy
247801;U;Zabrze
247901;U;Żory
260101;R;Busko-Zdrój
260102;R;Gnojno
260103;R;Nowy Korczyn
260104;R;Pacanów
260105;R;Solec-Zdrój
260106;R;Stopnica
260107;R;Tuczępy
260108;R;Wiślica
260201;R;Imielno
260202;R;Jędrzejów
260203;R;Małogoszcz
260204;R;Nagłowice
260205;R;Oksa
260206;R;Sędziszów
260207;R;Słupia
260208;R;Sobków
260209;R;Wodzisław
260301;R;Bejsce
260302;R;Czarnocin
260303;R;Kazimierza Wielka
260304;R;Opatowiec
260305;R;Skalbmierz
260401;R;Bieliny
260402;R;Bodzentyn
260403;R;Chęciny
260404;R;Chmielnik
260405;R;Daleszyce
260406;R;Górno
260407;R;Łagów
260408;R;Łopuszno
260409;R;Masłów
260410;R;Miedziana Góra
260411;R;Mniów
260412;R;Morawica
260413;R;Nowa Słupia
260414;R;Piekoszów
260415;R;Pierzchnica
260416;R;Raków
260417;R;Sitkówka-Nowiny
260418;R;Strawczyn
260419;R;Zagnańsk
260501;R;Fałków
260502;R;Gowarczów
260503;R;Końskie
260504;R;Radoszyce
260505;R;Ruda Maleniecka
260506;R;Słupia Konecka
260507;R;Smyków
260508;R;Stąporków
260601;R;Baćkowice
260602;R;Iwaniska
260603;R;Lipnik
260604;R;Opatów
260605;R;Ożarów
260606;R;Sadowie
260607;R;Tarłów
260608;R;Wojciechowice
260701;U;Ostrowiec Świętokrzyski
260702;R;Bałtów
260703;R;Bodzechów
260704;R;Ćmielów
260705;R;Kunów
260706;R;Waśniów
260801;R;Działoszyce
260802;R;Kije
260803;R;Michałów
260804;R;Pińczów
260805;R;Złota
260901;U;Sandomierz
260902;R;Dwikozy
260903;R;Klimontów
260904;R;Koprzywnica
260905;R;Łoniów
260906;R;Obrazów
260907;R;Samborzec
260908;R;Wilczyce
260909;R;Zawichost
261001;U;Skarżysko-Kamienna
261002;R;Bliżyn
261003;R;Łączna
261004;R;Skarżysko Kościelne
261005;R;Suchedniów
261101;U;Starachowice
261102;R;Brody
261103;R;Mirzec
261104;R;Pawłów
261105;R;Wąchock
261201;R;Bogoria
261202;R;Łubnice
261203;R;Oleśnica
261204;R;Osiek
261205;R;Połaniec
261206;R;Rytwiany
261207;R;Staszów
261208;R;Szydłów
261301;R;Kluczewsko
261302;R;Krasocin
261303;R;Moskorzew
261304;R;Radków
261305;R;Secemin
261306;R;Włoszczowa
266101;U;Kielce
280101;U;Bartoszyce
280102;U;Górowo Iławeckie
280103;R;Bartoszyce
280104;R;Bisztynek
280105;R;Górowo Iławeckie
280106;R;Sępopol
280201;U;Braniewo
280202;R;Braniewo
280203;R;Frombork
280204;R;Lelkowo
280205;R;Pieniężno
280206;R;Płoskinia
280207;R;Wilczęta
280301;U;Działdowo
280302;R;Działdowo
280303;R;Iłowo-Osada
280304;R;Lidzbark
280305;R;Płośnica
280306;R;Rybno
280401;R;Elbląg
280402;R;Godkowo
280403;R;Gronowo Elbląskie
280404;R;Markusy
280405;R;Milejewo
280406;R;Młynary
280407;R;Pasłęk
280408;R;Rychliki
280409;R;Tolkmicko
280501;U;Ełk
280502;R;Ełk
280503;R;Kalinowo
280504;R;Prostki
280505;R;Stare Juchy
280601;U;Giżycko
280604;R;Giżycko
280605;R;Kruklanki
280606;R;Miłki
280608;R;Ryn
280610;R;Wydminy
280701;U;Iława
280702;U;Lubawa
280703;R;Iława
280704;R;Kisielice
280705;R;Lubawa
280706;R;Susz
280707;R;Zalewo
280801;U;Kętrzyn
280802;R;Barciany
280803;R;Kętrzyn
280804;R;Korsze
280805;R;Reszel
280806;R;Srokowo
280901;U;Lidzbark Warmiński
280902;R;Kiwity
280903;R;Lidzbark Warmiński
280904;R;Lubomino
280905;R;Orneta
281001;U;Mrągowo
281002;R;Mikołajki
281003;R;Mrągowo
281004;R;Piecki
281005;R;Sorkwity
281101;R;Janowiec Kościelny
281102;R;Janowo
281103;R;Kozłowo
281104;R;Nidzica
281201;U;Nowe Miasto Lubawskie
281202;R;Biskupiec
281203;R;Grodziczno
281204;R;Kurzętnik
281205;R;Nowe Miasto Lubawskie
281303;R;Kowale Oleckie
281304;R;Olecko
281305;R;Świętajno
281306;R;Wieliczki
281401;R;Barczewo
281402;R;Biskupiec
281403;R;Dobre Miasto
281404;R;Dywity
281405;R;Gietrzwałd
281406;R;Jeziorany
281407;R;Jonkowo
281408;R;Kolno
281409;R;Olsztynek
281410;R;Purda
281411;R;Stawiguda
281412;R;Świątki
281501;U;Ostróda
281502;R;Dąbrówno
281503;R;Grunwald
281504;R;Łukta
281505;R;Małdyty
281506;R;Miłakowo
281507;R;Miłomłyn
281508;R;Morąg
281509;R;Ostróda
281601;R;Biała Piska
281602;R;Orzysz
281603;R;Pisz
281604;R;Ruciane-Nida
281701;U;Szczytno
281702;R;Dźwierzuty
281703;R;Jedwabno
281704;R;Pasym
281705;R;Rozogi
281706;R;Szczytno
281707;R;Świętajno
281708;R;Wielbark
281801;R;Banie Mazurskie
281802;R;Dubeninki
281803;R;Gołdap
281901;R;Budry
281902;R;Pozezdrze
281903;R;Węgorzewo
286101;U;Elbląg
286201;U;Olsztyn
300101;U;Chodzież
300102;R;Budzyń
300103;R;Chodzież
300104;R;Margonin
300105;R;Szamocin
300201;U;Czarnków
300202;R;Czarnków
300203;R;Drawsko
300204;R;Krzyż Wielkopolski
300205;R;Lubasz
300206;R;Połajewo
300207;R;Trzcianka
300208;R;Wieleń
300301;U;Gniezno
300302;R;Czerniejewo
300303;R;Gniezno
300304;R;Kiszkowo
300305;R;Kłecko
300306;R;Łubowo
300307;R;Mieleszyn
300308;R;Niechanowo
300309;R;Trzemeszno
300310;R;Witkowo
300401;R;Borek Wielkopolski
300402;R;Gostyń
300403;R;Krobia
300404;R;Pępowo
300405;R;Piaski
300406;R;Pogorzela
300407;R;Poniec
300501;R;Granowo
300502;R;Grodzisk Wielkopolski
300503;R;Kamieniec
300504;R;Rakoniewice
300505;R;Wielichowo
300601;R;Jaraczewo
300602;R;Jarocin
300603;R;Kotlin
300604;R;Żerków
300701;R;Blizanów
300702;R;Brzeziny
300703;R;Ceków-Kolonia
300704;R;Godziesze Wielkie
300705;R;Koźminek
300706;R;Lisków
300707;R;Mycielin
300708;R;Opatówek
300709;R;Stawiszyn
300710;R;Szczytniki
300711;R;Żelazków
300801;R;Baranów
300802;R;Bralin
300803;R;Kępno
300804;R;Łęka Opatowska
300805;R;Perzów
300806;R;Rychtal
300807;R;Trzcinica
300901;U;Koło
300902;R;Babiak
300903;R;Chodów
300904;R;Dąbie
300905;R;Grzegorzew
300906;R;Kłodawa
300907;R;Koło
300908;R;Kościelec
300909;R;Olszówka
300910;R;Osiek Mały
300911;R;Przedecz
301001;R;Golina
301002;R;Grodziec
301003;R;Kazimierz Biskupi
301004;R;Kleczew
301005;R;Kramsk
301006;R;Krzymów
301007;R;Rychwał
301008;R;Rzgów
301009;R;Skulsk
301010;R;Sompolno
301011;R;Stare Miasto
301012;R;Ślesin
301013;R;Wierzbinek
301014;R;Wilczyn
301101;U;Kościan
301102;R;Czempiń
301103;R;Kościan
301104;R;Krzywiń
301105;R;Śmigiel
301201;U;Sulmierzyce
301202;R;Kobylin
301203;R;Koźmin Wielkopolski
301204;R;Krotoszyn
301205;R;Rozdrażew
301206;R;Zduny
301301;R;Krzemieniewo
301302;R;Lipno
301303;R;Osieczna
301304;R;Rydzyna
301305;R;Święciechowa
301306;R;Wijewo
301307;R;Włoszakowice
301401;R;Chrzypsko Wielkie
301402;R;Kwilcz
301403;R;Międzychód
301404;R;Sieraków
301501;R;Kuślin
301502;R;Lwówek
301503;R;Miedzichowo
301504;R;Nowy Tomyśl
301505;R;Opalenica
301506;R;Zbąszyń
301601;R;Oborniki
301602;R;Rogoźno
301603;R;Ryczywół
301701;U;Ostrów Wielkopolski
301702;R;Nowe Skalmierzyce
301703;R;Odolanów
301704;R;Ostrów Wielkopolski
301705;R;Przygodzice
301706;R;Raszków
301707;R;Sieroszewice
301708;R;Sośnie
301801;R;Czajków
301802;R;Doruchów
301803;R;Grabów nad Prosną
301804;R;Kobyla Góra
301805;R;Kraszewice
301806;R;Mikstat
301807;R;Ostrzeszów
301901;U;Piła
301902;R;Białośliwie
301903;R;Kaczory
301904;R;Łobżenica
301905;R;Miasteczko Krajeńskie
301906;R;Szydłowo
301907;R;Ujście
301908;R;Wyrzysk
301909;R;Wysoka
302001;R;Chocz
302002;R;Czermin
302003;R;Dobrzyca
302004;R;Gizałki
302005;R;Gołuchów
302006;R;Pleszew
302101;U;Luboń
302102;U;Puszczykowo
302103;R;Buk
302104;R;Czerwonak
302105;R;Dopiewo
302106;R;Kleszczewo
302107;R;Komorniki
302108;R;Kostrzyn
302109;R;Kórnik
302110;R;Mosina
302111;R;Murowana Goślina
302112;R;Pobiedziska
302113;R;Rokietnica
302114;R;Stęszew
302115;R;Suchy Las
302116;R;Swarzędz
