nrk;pgnw;freq;lgw;lgnw;pPiS;pPO
100137;3.22;50.88;421;14;58.19;7.60
100138;1.36;50.90;362;5;66.57;4.70
100139;1.79;49.91;274;5;50.36;7.66
100140;3.79;58.15;127;5;64.57;6.30
100141;1.79;86.15;55;1;94.55;3.64
100142;3.25;39.85;357;12;52.66;12.04
100143;6.90;48.60;162;12;65.43;3.09
100144;3.30;38.56;176;6;60.23;2.27
100145;1.69;43.57;350;6;60.86;6.29
100146;2.85;53.21;443;13;69.75;3.61
100147;2.26;40.67;130;3;57.69;7.69
100148;6.76;34.34;317;23;54.57;3.79
100149;9.24;28.33;108;11;54.63;2.78
100150;5.42;50.92;157;9;55.41;8.92
100151;1.39;46.45;71;1;76.06;2.82
100152;2.32;56.84;548;13;46.90;16.61
100153;2.06;58.71;1142;24;53.59;11.38
100154;1.27;48.76;155;2;65.16;4.52
100155;3.33;44.67;174;6;72.99;5.75
100156;3.43;44.16;591;21;64.47;7.11
100157;4.66;53.83;348;17;62.07;9.77
100158;3.72;53.17;751;29;70.44;5.19
100159;2.19;61.62;1074;24;68.99;5.77
100160;3.14;59.33;154;5;55.19;17.53
100161;2.71;57.34;323;9;54.18;13.31
100162;6.56;61.62;228;16;57.02;12.72
100163;2.81;58.28;277;8;55.60;8.30
100164;1.22;56.35;649;8;51.31;12.02
100165;2.00;62.01;539;11;44.71;18.37
100166;2.15;60.98;364;8;44.23;22.25
100167;1.69;61.68;1046;18;50.67;14.82
100168;0.00;54.55;24;0;66.67;16.67
100169;3.73;55.66;232;9;66.38;4.31
100170;4.55;62.66;671;32;62.00;7.15
100171;3.08;59.68;660;21;71.82;3.33
100172;2.76;67.79;176;5;69.89;2.84
100173;3.04;54.12;223;7;71.75;4.04
100174;3.49;55.85;304;11;69.41;3.95
100175;2.26;58.13;475;11;71.16;3.37
100176;3.16;49.29;337;11;65.28;5.34
100177;2.09;51.82;516;11;81.40;5.62
100178;1.22;58.05;648;8;94.91;1.39
100179;2.27;56.03;345;8;86.67;1.74
100180;5.62;56.42;336;20;88.69;1.79
100181;2.04;50.63;673;14;79.49;2.38
100182;1.39;55.89;426;6;79.81;3.05
100183;2.69;53.79;905;25;53.37;15.03
100184;0.86;60.96;1034;9;48.65;14.12
100185;2.37;63.19;947;23;64.84;10.88
100186;3.08;57.40;598;19;60.03;8.53
100187;2.71;56.28;789;22;52.85;17.24
100188;1.45;62.76;613;9;61.66;13.05
100189;1.64;53.99;1018;17;61.89;10.22
100190;2.09;60.56;842;18;68.05;6.41
100191;3.06;52.33;761;24;68.46;4.34
100192;1.46;57.75;202;3;71.78;5.94
100193;2.19;58.23;938;21;58.85;8.85
100194;2.85;58.22;922;27;63.02;7.92
100195;5.03;49.07;151;8;84.11;2.65
100196;6.02;37.47;156;10;81.41;4.49
100197;1.80;62.39;764;14;85.86;1.57
100198;3.35;53.68;866;30;80.72;3.00
100199;4.15;52.12;1085;47;71.15;5.25
100200;4.32;48.57;421;19;73.63;4.99
100201;3.07;51.90;727;23;75.65;8.39
100202;4.07;52.58;283;12;83.39;6.36
100203;4.30;33.82;89;4;78.65;2.25
100204;0.35;56.50;286;1;73.08;8.04
100205;6.75;57.80;235;17;58.72;3.83
100206;1.92;56.46;1020;20;56.96;10.69
100207;0.75;59.11;528;4;57.20;9.09
100208;3.68;58.53;654;25;56.12;11.93
100209;1.74;62.46;734;13;48.77;11.44
100210;4.41;59.84;282;13;69.86;8.16
100211;2.79;60.05;244;7;55.33;9.84
100212;3.23;48.76;210;7;57.62;7.14
100213;2.54;51.30;422;11;56.16;6.64
100214;2.74;54.67;1065;30;53.15;11.46
100215;1.99;55.93;934;19;63.06;8.46
100216;2.98;53.99;879;27;66.55;8.87
100217;2.89;60.15;538;16;59.48;14.50
100218;1.82;55.32;970;18;55.77;10.62
100219;2.20;65.13;1109;25;60.87;10.19
100220;2.48;64.19;591;15;49.07;18.78
100221;1.92;69.43;715;14;62.80;10.07
100222;1.72;54.57;229;4;48.03;11.35
100223;2.49;56.06;979;25;49.44;12.46
100224;3.22;53.76;871;29;56.83;8.38
100225;2.16;51.42;407;9;56.76;5.41
100226;3.47;55.82;639;23;56.81;10.02
100227;0.98;56.65;1012;10;67.39;7.61
100228;1.42;54.28;832;12;58.17;9.86
100229;3.57;53.28;243;9;60.91;10.29
100230;3.23;61.49;629;21;56.28;12.72
