nrk;pgnw;freq;lgw;lgnw;pPiS;pPO
105657;2.86;42.42;747;22;24.36;29.99
105658;2.05;45.32;811;17;18.00;28.24
105659;1.17;50.03;762;9;24.54;28.35
105660;1.17;59.35;1182;14;20.81;32.66
105661;1.91;56.44;873;17;23.02;33.45
105662;0.98;57.01;809;8;24.60;31.40
105663;1.82;56.66;864;16;25.12;32.29
105664;0.82;59.41;967;8;23.78;34.23
105665;1.41;53.10;700;10;24.14;33.71
105666;1.75;53.57;730;13;24.11;32.47
105667;2.43;50.81;523;13;29.25;28.87
105668;1.66;46.69;534;9;25.47;30.52
105669;2.42;47.62;644;16;25.16;31.37
105670;4.44;26.95;258;12;24.42;24.42
105671;0.96;51.23;925;9;30.81;30.16
105672;2.38;38.20;411;10;21.41;27.49
105673;0.63;61.45;784;5;21.43;29.46
105674;0.82;55.25;1085;9;23.78;34.01
105675;1.04;56.04;666;7;21.47;34.23
105676;1.21;55.14;981;12;29.97;29.05
105677;1.12;57.08;881;10;27.58;30.99
105678;1.56;50.47;947;15;23.55;29.04
105679;2.03;59.36;1109;23;29.04;22.99
105680;1.35;54.75;876;12;32.31;28.31
105681;0.76;55.46;786;6;30.92;25.19
105682;1.09;59.55;1089;12;27.46;27.82
105683;1.32;54.65;673;9;30.01;26.30
105684;0.65;57.15;1381;9;26.36;28.82
105685;0.59;62.84;837;5;23.42;35.13
105686;2.26;29.04;130;3;30.00;21.54
105687;2.88;47.93;438;13;35.16;18.49
105688;1.98;50.36;544;11;22.79;28.12
105689;3.89;49.14;963;39;32.19;27.41
105690;1.84;52.18;1012;19;28.95;24.70
105691;2.11;46.30;926;20;30.24;23.22
105692;2.64;50.20;369;10;31.71;20.60
105693;1.91;49.77;1078;21;29.96;20.87
105694;1.31;48.60;979;13;31.05;23.19
105695;2.78;47.73;908;26;28.63;24.45
105696;2.09;50.47;891;19;34.12;22.22
105697;2.36;55.80;578;14;28.37;29.24
105698;2.29;46.75;725;17;26.21;29.93
105699;1.90;46.43;465;9;27.96;24.09
105700;1.57;54.45;813;13;24.35;28.17
105701;1.49;46.73;796;12;28.52;27.64
105702;2.02;51.44;874;18;29.41;27.46
105703;1.94;54.03;1112;22;26.26;23.65
105704;2.75;50.23;954;27;33.23;26.10
105705;1.68;50.67;1114;19;26.66;26.66
105706;2.38;37.64;780;19;31.28;25.13
105707;1.52;48.47;778;12;32.78;23.78
105708;2.22;52.59;616;14;27.60;25.00
105709;1.28;53.52;924;12;35.28;21.86
105710;1.70;58.15;982;17;32.69;23.01
105711;0.95;59.20;1045;10;28.04;30.81
105712;2.45;54.51;755;19;34.04;24.64
105713;1.77;60.08;1054;19;25.24;29.03
105714;0.56;49.95;532;3;32.52;29.51
105715;1.60;55.67;739;12;29.50;26.39
105716;1.07;58.08;921;10;28.99;27.58
105717;1.47;60.07;1070;16;28.32;26.64
105718;1.86;57.80;1215;23;29.47;23.21
105719;2.46;55.64;1271;32;29.03;25.81
105720;1.29;55.11;841;11;32.46;22.12
105721;1.51;51.62;456;7;29.82;26.75
105722;1.58;47.40;809;13;26.33;27.19
105723;1.22;46.79;807;10;28.75;21.07
105724;1.31;48.05;1131;15;31.74;22.72
105725;0.86;48.09;463;4;31.10;26.78
105726;2.91;44.44;334;10;30.24;21.56
105727;2.48;42.22;865;22;33.64;20.46
105728;1.97;40.66;745;15;31.95;21.21
105729;1.28;48.76;929;12;28.20;26.26
105730;2.94;50.03;891;27;34.79;20.09
105731;1.37;46.39;577;8;32.58;23.74
105732;1.58;51.34;624;10;30.29;25.64
105733;1.38;51.56;715;10;28.11;25.59
105734;1.85;58.12;794;15;28.46;26.83
105735;1.19;59.17;749;9;21.63;30.57
105736;1.12;54.13;441;5;25.40;29.25
105737;1.17;48.07;763;9;34.60;24.25
105738;1.36;54.78;797;11;38.14;23.71
105739;0.90;58.26;769;7;24.71;29.00
105740;1.38;52.85;641;9;32.14;25.43
105741;8.82;47.89;31;3;54.84;35.48
105742;14.06;29.91;55;9;30.91;25.45
105743;1.89;66.25;52;1;34.62;48.08
105744;0.00;28.82;66;0;42.42;19.70
105745;3.33;27.19;87;3;26.44;29.89
105746;0.00;6.15;4;0;25.00;0.00
105747;4.64;50.50;144;7;9.72;49.31
105748;22.73;35.48;17;5;58.82;23.53
105749;1.04;49.69;952;10;32.77;26.79
105750;4.74;25.87;462;23;36.15;22.08
105751;2.11;51.14;880;19;28.98;30.57
105752;1.87;54.79;999;19;34.53;32.53
105753;1.28;56.90;851;11;34.43;25.97
105754;1.31;56.94;676;9;28.85;28.11
105755;5.70;18.40;215;13;39.53;20.47
105756;5.26;27.67;378;21;31.48;29.37
105757;3.77;35.78;638;25;28.73;24.80
105758;2.52;53.23;1004;26;32.07;27.99
105759;1.90;53.18;927;18;28.48;36.03
105760;1.53;60.14;1162;18;30.72;31.84
105761;6.05;29.58;466;30;32.40;25.32
105762;1.86;57.05;1056;20;34.09;30.49
105763;2.10;45.54;839;18;29.80;29.68
105764;1.97;55.51;795;16;31.82;32.33
105765;1.70;45.51;867;15;30.22;33.79
105766;2.38;35.37;696;17;32.61;31.75
105767;1.59;32.27;556;9;33.99;27.16
105768;3.04;51.38;670;21;34.48;25.67
105769;1.61;46.00;855;14;32.08;31.50
105770;1.56;54.81;1200;19;27.83;32.83
105771;1.43;45.10;481;7;31.19;27.44
105772;0.00;60.66;37;0;33.33;58.33
105773;6.12;34.27;46;3;41.30;26.09
105774;0.00;2.99;2;0;100.00;0.00
105775;1.59;66.04;1112;18;30.69;29.25
105776;1.49;67.70;1123;17;30.45;30.63
105777;1.10;59.38;992;11;37.20;26.61
105778;0.90;67.10;1324;12;36.56;27.72
105779;1.86;56.22;1003;19;41.28;21.73
105780;4.42;43.77;736;34;31.11;23.51
105781;3.77;48.53;587;23;35.95;25.55
105782;1.58;53.17;686;11;31.05;27.11
105783;2.06;47.64;810;17;31.36;24.32
105784;2.39;49.12;981;24;33.54;24.87
105785;2.08;47.24;611;13;33.72;27.82
105786;1.35;64.97;880;12;21.59;28.18
105787;2.14;65.66;640;14;32.50;26.25
105788;0.87;57.87;907;8;44.98;18.63
105789;2.67;58.69;766;21;44.52;18.93
105790;1.47;50.03;805;12;31.97;28.98
105791;3.94;54.45;999;41;30.63;32.93
105792;1.36;61.35;1162;16;33.68;32.56
105793;1.58;44.28;812;13;35.47;29.06
105794;1.60;48.24;797;13;33.50;26.47
105795;0.90;47.77;551;5;41.56;21.23
105796;0.58;54.09;1033;6;33.98;28.65
105797;2.52;54.49;852;22;36.38;28.64
105798;1.94;50.19;657;13;36.53;28.77
105799;1.40;59.39;633;9;34.60;30.02
105800;2.00;53.13;441;9;35.83;27.66
105801;1.03;58.70;771;8;32.56;28.79
105802;2.10;59.97;792;17;34.34;31.57
105803;1.04;59.56;1137;12;38.26;22.43
105804;1.62;73.41;1032;17;33.91;25.87
105805;0.82;61.94;970;8;28.14;30.10
105806;1.23;59.15;881;11;37.23;24.97
105807;1.85;57.42;904;17;37.10;26.69
105808;1.44;56.96;823;12;34.75;27.10
105809;1.65;62.65;896;15;32.37;26.12
105810;0.75;63.11;1056;8;38.10;24.64
105811;1.40;63.92;772;11;40.60;21.53
105812;1.55;62.62;889;14;32.51;27.56
105813;1.37;56.37;646;9;42.11;17.49
105814;3.94;44.60;877;36;33.64;26.91
105815;1.71;48.56;746;13;30.43;26.14
105816;1.99;51.38;838;17;31.03;29.24
105817;1.92;53.11;1073;21;30.94;27.87
105818;1.35;58.73;1025;14;37.85;25.85
105819;0.69;58.51;1004;7;30.48;27.99
105820;0.96;60.10;925;9;32.54;28.76
105821;1.41;59.62;981;14;32.82;29.77
105822;1.39;61.13;1064;15;35.56;29.07
105823;1.46;56.57;810;12;38.27;28.02
105824;0.00;59.13;942;0;31.63;31.42
105825;0.90;59.12;774;7;30.49;33.98
105826;1.45;60.38;1089;16;32.08;26.01
105827;1.19;63.06;997;12;37.69;21.71
105828;1.79;61.25;877;16;34.32;25.88
105829;2.49;64.03;1019;26;38.37;27.09
105830;0.92;68.84;1180;11;33.90;30.17
105831;1.95;54.38;1005;20;37.01;21.59
105832;1.02;61.58;1071;11;34.64;27.82
105833;2.20;61.69;1200;27;32.08;29.08
105834;1.95;54.39;953;19;37.04;26.13
105835;1.79;60.71;1044;19;31.51;20.98
105836;2.03;56.69;917;19;36.10;24.86
105837;1.70;50.26;753;13;32.27;24.83
105838;5.26;45.24;18;1;50.00;27.78
105839;3.45;57.14;112;4;50.89;21.43
105840;3.57;52.83;27;1;51.85;14.81
105841;12.50;57.14;7;1;57.14;14.29
105842;2.25;38.95;565;13;28.32;30.62
105843;2.21;38.22;663;15;24.28;36.20
105844;2.85;41.09;511;15;29.55;33.27
105845;2.35;46.88;747;18;25.30;35.34
105846;1.13;46.50;789;9;25.73;32.32
105847;1.83;39.54;644;12;31.73;31.73
105848;1.77;34.85;611;11;24.22;33.06
105849;1.89;45.39;985;19;26.37;31.36
105850;2.12;36.40;601;13;28.83;32.00
105851;1.47;42.71;874;13;28.60;36.84
105852;2.84;36.39;786;23;30.28;32.32
105853;1.64;48.33;840;14;26.56;30.38
105854;1.30;44.72;990;13;23.43;34.14
105855;1.85;30.06;585;11;34.65;30.87
105856;1.67;37.34;706;12;30.03;30.03
105857;3.13;31.78;402;13;30.85;24.13
105858;2.12;34.86;691;15;25.33;34.44
105859;1.46;48.46;744;11;21.64;36.16
105860;1.85;48.89;477;9;21.59;31.66
105861;2.50;58.36;1171;30;30.74;25.53
105862;2.67;52.96;984;27;28.46;28.46
105863;1.75;49.51;449;8;24.05;38.53
105864;2.03;47.59;870;18;23.79;37.70
105865;1.24;52.64;1032;13;25.00;40.12
105866;2.89;48.57;974;29;26.16;36.66
105867;2.60;47.06;898;24;26.31;37.68
105868;3.69;40.14;704;27;27.27;31.96
105869;1.69;54.16;1164;20;25.86;36.08
105870;1.03;61.18;769;8;25.62;34.20
105871;2.01;48.51;1022;21;28.57;28.96
105872;1.57;50.39;1006;16;26.77;32.44
105873;1.39;56.67;1131;16;28.91;33.42
105874;2.05;47.53;574;12;26.83;33.45
105875;2.92;33.92;465;14;30.11;26.88
105876;3.35;29.80;462;16;32.68;26.41
105877;2.14;42.26;641;14;20.12;31.36
105878;2.52;48.39;966;25;26.81;34.99
105879;2.81;26.70;381;11;29.92;27.82
105880;3.26;34.25;504;17;26.79;27.58
105881;2.46;39.95;754;19;26.53;33.16
105882;3.57;34.21;513;19;29.04;33.33
105883;5.35;24.60;389;22;27.84;23.45
105884;2.04;48.18;1009;21;34.73;24.08
105885;2.16;44.90;724;16;30.37;25.52
105886;2.71;47.65;897;25;36.09;26.48
105887;2.00;46.02;930;19;30.79;27.56
105888;2.15;52.39;955;21;29.01;32.25
105889;2.08;54.19;943;20;30.97;28.00
105890;1.59;57.59;930;15;32.65;28.56
105891;6.90;40.70;108;8;27.78;38.89
105892;4.37;34.95;635;29;35.75;23.15
105893;4.57;34.48;480;23;34.58;25.62
105894;2.30;48.12;936;22;33.12;27.14
105895;1.26;45.55;703;9;27.17;34.00
105896;2.46;47.62;674;17;29.85;27.76
105897;3.00;52.29;809;25;27.97;26.73
105898;1.68;54.17;939;16;29.56;31.70
105899;2.77;52.99;456;13;33.99;30.70
105900;2.08;51.84;470;10;28.30;34.04
105901;2.60;48.68;825;22;34.59;25.24
105902;1.97;48.96;995;20;23.02;34.27
105903;2.60;43.19;825;22;29.13;28.52
105904;3.28;32.85;620;21;30.05;30.37
105905;3.20;44.56;877;29;26.94;30.02
105906;1.78;53.48;664;12;29.07;33.13
105907;1.54;52.80;1020;16;26.86;37.65
105908;1.58;44.72;746;12;24.06;29.84
105909;2.45;40.10;717;18;25.52;34.03
105910;1.70;51.53;926;16;25.65;32.68
105911;2.52;33.88;503;13;28.03;30.42
105912;2.18;43.12;674;15;26.71;31.16
105913;3.60;34.46;482;18;29.11;27.03
105914;3.04;45.06;862;27;25.52;30.97
105915;1.62;55.75;1030;17;28.64;34.47
105916;3.01;50.22;1094;34;27.33;32.18
105917;2.62;46.88;855;23;24.91;34.39
105918;2.24;51.41;1048;24;24.43;34.54
105919;2.49;30.68;549;14;27.37;28.83
105920;20.00;53.19;40;10;55.00;25.00
105921;5.26;55.88;36;2;44.44;30.56
105922;16.00;45.45;21;4;57.14;19.05
105923;10.00;38.96;27;3;62.96;11.11
105924;5.26;29.23;18;1;66.67;16.67
105925;7.66;38.81;205;17;4.88;65.37
105926;17.48;67.14;118;25;8.47;49.15
105927;6.98;54.09;80;6;25.00;33.75
105928;1.92;86.67;51;1;23.53;37.25
105929;2.56;45.53;114;3;30.70;36.84
105930;8.77;62.64;52;5;38.46;34.62
105931;5.41;48.05;35;2;42.86;22.86
105932;0.00;36.59;15;0;46.67;40.00
105933;1.73;51.98;567;10;31.04;22.22
105934;1.07;59.79;553;6;31.46;24.05
105935;2.80;53.52;901;26;31.10;27.20
105936;2.77;46.93;386;11;36.01;21.24
105937;1.47;64.37;1075;16;31.94;25.70
105938;1.52;62.49;776;12;43.41;16.67
105939;2.67;59.16;1128;31;47.83;18.46
105940;2.53;52.74;656;17;34.76;23.28
105941;1.95;64.24;1004;20;31.67;24.50
105942;2.08;55.49;1034;22;37.18;22.52
105943;2.20;51.33;890;20;34.91;18.92
105944;2.75;51.58;955;27;29.28;26.76
105945;1.81;56.99;1029;19;35.74;23.66
105946;2.66;53.56;879;24;40.73;20.14
105947;3.03;54.82;767;24;36.81;24.02
105948;2.07;55.16;806;17;43.11;22.36
105949;1.69;52.92;758;13;36.24;24.60
105950;3.57;46.75;729;27;38.41;20.99
105951;4.02;47.63;693;29;35.98;26.30
105952;2.79;52.05;801;23;39.85;20.05
105953;2.73;59.61;1032;29;43.45;15.23
105954;4.12;57.47;745;32;53.56;9.26
105955;5.40;59.18;561;32;49.55;15.86
105956;4.20;34.01;319;14;34.17;18.50
105957;2.15;49.57;912;20;35.20;21.05
105958;2.13;51.22;964;21;37.15;20.08
105959;3.23;50.03;900;30;39.44;18.00
105960;4.34;50.59;816;37;39.63;19.51
105961;3.58;60.23;565;21;36.83;21.89
105962;2.87;57.79;811;24;42.22;16.17
105963;4.10;59.82;841;36;39.02;21.72
105964;3.70;33.75;26;1;24.00;16.00
105965;16.67;57.14;10;2;40.00;10.00
105966;1.64;50.19;660;11;38.33;24.24
105967;2.31;49.54;633;15;41.39;26.07
105968;2.66;51.14;548;15;38.50;20.44
105969;0.17;53.69;581;1;41.48;15.83
105970;4.14;50.91;509;22;35.17;21.02
105971;0.79;70.88;1253;10;40.78;30.01
105972;2.22;54.53;618;14;33.50;22.82
105973;1.53;56.92;709;11;40.06;24.26
105974;0.91;54.16;652;6;40.95;22.09
105975;2.01;50.40;682;14;36.36;23.02
105976;1.84;54.08;748;14;40.37;22.19
105977;2.61;46.37;635;17;42.83;14.65
105978;3.07;41.36;473;15;49.26;13.32
105979;2.02;32.04;436;9;41.74;10.55
105980;2.40;38.68;570;14;37.02;14.56
105981;2.49;38.22;470;12;41.06;8.72
105982;2.41;37.78;445;11;57.30;8.54
105983;1.29;53.00;688;9;43.31;18.46
105984;4.23;38.71;430;19;39.77;13.95
105985;3.80;36.24;456;18;46.71;8.33
105986;5.53;40.13;530;31;40.00;14.34
105987;6.67;11.72;14;1;42.86;14.29
105988;3.43;63.16;197;7;47.21;27.41
105989;2.94;83.95;66;2;45.45;34.85
105990;5.15;75.78;92;5;35.87;38.04
105991;6.69;35.43;279;20;54.12;10.04
105992;3.70;38.51;494;19;47.17;7.09
105993;0.99;35.37;201;2;50.25;10.45
105994;5.37;33.15;282;16;51.77;8.87
105995;8.33;18.75;11;1;63.64;9.09
105996;3.72;45.48;673;26;42.94;8.47
105997;7.72;43.95;275;23;43.27;8.73
105998;4.59;43.57;291;14;41.92;8.25
105999;3.45;42.95;532;19;48.50;6.02
106000;4.31;41.69;377;17;38.73;8.22
106001;1.57;42.63;689;11;37.59;12.19
106002;10.00;36.29;324;36;50.31;8.64
106003;2.19;35.68;446;10;51.35;10.76
106004;3.52;33.60;247;9;44.94;11.34
106005;5.65;39.03;401;24;56.11;8.48
106006;0.61;32.16;164;1;48.78;9.76
106007;5.45;82.09;52;3;92.31;0.00
106008;16.67;41.38;10;2;0.00;20.00
106009;4.56;41.62;230;11;42.17;11.30
106010;5.83;44.72;307;19;36.48;8.47
106011;2.80;57.40;660;19;33.79;15.15
106012;3.06;32.45;190;6;37.37;18.42
106013;4.47;35.31;171;8;63.16;8.19
106014;2.29;39.42;213;5;32.39;5.63
106015;18.92;90.24;30;7;76.67;0.00
106016;5.00;47.62;19;1;63.16;0.00
106017;2.91;47.56;869;26;52.70;14.61
106018;3.35;37.74;693;24;53.39;5.92
106019;3.48;45.05;831;30;53.91;9.03
106020;2.78;35.00;245;7;37.14;11.43
106021;6.76;34.26;138;10;49.28;8.70
106022;6.19;42.54;621;41;50.40;10.31
106023;5.29;38.31;394;22;60.91;11.17
106024;2.91;48.91;568;17;41.02;30.99
106025;3.95;31.18;316;13;40.51;17.09
106026;4.99;35.05;343;18;50.15;11.66
106027;6.62;39.65;254;18;45.28;15.75
106028;2.11;37.75;279;6;54.12;14.70
106029;3.17;43.38;672;22;50.30;11.01
106030;5.10;39.24;391;21;55.50;7.67
106031;5.26;30.70;162;9;41.36;10.49
106032;6.40;28.09;117;8;47.86;8.55
106033;3.47;47.69;528;19;35.80;27.27
106034;1.98;55.49;495;10;43.03;23.03
106035;2.39;54.56;736;18;46.88;18.61
106036;2.76;42.69;352;10;45.74;25.28
106037;2.14;50.61;686;15;38.48;27.55
106038;1.11;49.95;533;6;35.83;24.58
106039;2.52;51.68;465;12;43.66;21.51
106040;0.20;54.39;495;1;37.37;28.08
106041;3.51;41.50;330;12;36.36;24.85
106042;3.21;49.58;693;23;43.58;22.51
106043;1.52;54.11;584;9;41.78;23.12
106044;2.65;57.36;478;13;31.80;27.62
106045;3.13;45.12;650;21;49.38;12.15
106046;2.42;40.69;322;8;54.97;10.56
106047;2.31;47.37;720;17;55.28;17.92
106048;1.97;52.11;497;10;50.91;13.88
106049;3.80;37.54;329;13;52.58;8.51
106050;4.37;37.22;241;11;54.77;6.22
106051;3.66;41.89;448;17;50.45;12.05
106052;3.28;43.36;619;21;45.40;14.70
106053;3.72;36.62;440;17;58.18;6.59
106054;0.00;20.24;17;0;47.06;29.41
106055;16.67;11.54;5;1;0.00;0.00
106056;3.56;52.68;731;27;54.45;11.35
106057;2.49;49.45;783;20;52.49;12.90
106058;3.20;39.76;515;17;59.42;10.10
106059;3.36;45.54;316;11;60.13;5.70
106060;5.35;44.55;495;28;62.02;3.84
106061;8.26;44.17;500;45;65.40;8.00
106062;2.11;41.80;741;16;61.94;7.69
106063;4.03;35.94;357;15;49.86;8.68
106064;4.82;31.20;79;4;40.51;24.05
106065;3.11;37.96;249;8;52.61;8.03
106066;2.96;35.21;164;5;53.66;9.76
106067;7.44;30.40;224;18;46.88;9.82
106068;4.09;41.11;164;7;56.10;15.85
106069;3.47;30.70;139;5;53.96;10.07
106070;3.03;40.53;544;17;41.36;13.42
106071;5.77;39.90;147;9;59.86;3.40
106072;3.18;41.61;579;19;59.07;6.39
106073;6.20;38.62;121;8;38.02;11.57
106074;2.59;36.94;113;3;45.13;3.54
106075;3.13;46.80;340;11;50.88;10.29
106076;4.82;47.47;375;19;57.60;3.73
106077;5.33;37.22;160;9;64.38;3.12
106078;3.16;45.76;429;14;32.40;10.02
106079;4.38;38.76;262;12;45.04;9.54
106080;4.27;41.57;269;12;63.57;5.95
106081;1.63;45.29;241;4;45.23;7.05
106082;2.42;43.33;605;15;43.80;13.88
106083;2.49;45.35;704;18;41.05;11.79
106084;2.92;43.29;332;10;46.69;10.84
106085;2.42;47.07;847;21;39.67;11.22
106086;4.81;33.88;257;13;48.64;7.00
106087;3.86;47.13;623;25;48.64;5.62
106088;4.42;33.52;173;8;40.46;6.36
106089;1.63;33.63;301;5;43.85;4.65
106090;1.23;40.35;320;4;52.81;11.88
106091;4.74;35.70;402;20;55.97;13.68
106092;4.43;52.41;561;26;46.70;13.55
106093;5.10;49.14;651;35;54.07;12.29
106094;2.02;49.04;826;17;52.06;15.13
106095;5.21;45.28;273;15;65.20;8.42
106096;3.58;40.63;485;18;48.04;11.75
106097;9.09;43.81;180;18;58.33;10.00
106098;4.96;33.55;249;13;57.03;5.62
106099;1.78;46.48;551;10;46.28;13.61
106100;7.61;42.40;170;14;37.65;7.06
106101;5.14;39.12;295;16;44.75;6.78
106102;4.86;29.83;235;12;47.23;12.34
106103;3.08;40.75;126;4;36.51;7.14
106104;3.10;36.60;781;25;41.23;10.50
106105;1.10;30.17;358;4;40.22;10.06
106106;9.52;40.38;19;2;31.58;10.53
106107;2.59;41.30;451;12;35.70;7.98
106108;3.29;34.43;294;10;34.35;6.80
106109;0.94;31.63;422;4;45.97;8.06
106110;2.11;42.81;463;10;43.41;16.63
106111;3.12;45.91;435;14;39.77;13.33
106112;1.88;46.04;365;7;28.49;16.16
106113;4.43;42.12;388;18;32.47;22.16
106114;2.20;44.94;356;8;31.74;19.10
106115;3.60;40.61;321;12;43.61;15.58
106116;3.15;36.26;400;13;27.50;22.75
106117;4.40;35.27;348;16;39.08;12.07
106118;5.12;38.88;315;17;52.70;6.03
106119;1.91;33.55;205;4;43.90;8.78
106120;4.84;33.10;275;14;42.55;6.55
106121;4.10;35.82;281;12;53.38;4.98
106122;5.25;30.59;289;16;35.99;15.22
106123;2.80;33.49;278;8;51.08;3.96
106124;4.65;38.14;328;16;40.24;16.16
106125;5.26;32.76;18;1;83.33;5.56
106126;2.33;28.10;378;9;30.16;8.47
106127;1.78;44.29;442;8;36.88;12.90
106128;2.54;36.70;230;6;26.96;10.43
106129;2.97;42.97;457;14;43.98;13.35
106130;3.67;33.24;236;9;46.19;4.66
106131;4.12;35.48;349;15;44.70;6.88
106132;1.45;27.20;204;3;53.92;2.94
106133;3.43;28.14;169;6;52.66;5.92
106134;4.28;30.51;358;16;51.40;8.38
106135;2.62;54.33;446;12;67.94;5.61
106136;2.15;46.95;775;17;56.39;8.90
106137;3.25;39.37;387;13;51.94;7.75
106138;3.90;33.72;197;8;52.79;8.12
106139;4.67;41.15;388;19;69.85;5.15
106140;6.23;40.67;331;22;55.89;7.25
106141;1.44;41.63;206;3;69.90;5.34
106142;3.55;41.91;190;7;59.47;4.74
106143;3.36;46.32;432;15;51.16;9.03
106144;2.39;54.27;981;24;32.82;13.35
106145;6.07;38.67;356;23;46.63;6.18
106146;4.61;34.23;145;7;36.55;2.07
106147;4.88;44.09;156;8;42.31;9.62
106148;4.53;41.47;232;11;52.59;12.50
106149;4.72;37.72;101;5;39.60;10.89
106150;8.95;34.29;295;29;42.71;15.59
106151;5.40;39.42;823;47;43.50;8.75
106152;3.25;53.38;298;10;45.97;18.46
106153;2.66;48.49;329;9;55.93;10.64
106154;4.55;36.36;168;8;49.40;11.90
106155;2.46;56.40;1032;26;37.79;18.60
106156;4.72;50.48;303;15;38.28;17.82
106157;1.42;52.08;556;8;41.37;13.85
106158;2.62;46.92;297;8;50.51;9.76
106159;4.31;40.86;355;16;50.70;10.70
106160;5.22;43.76;635;35;52.91;9.76
106161;3.93;52.43;269;11;49.81;7.81
106162;3.02;52.43;513;16;47.76;9.94
106163;4.25;50.05;518;23;47.10;10.81
106164;2.91;44.75;401;12;44.14;18.70
106165;4.55;46.35;273;13;53.85;11.36
106166;4.21;35.43;205;9;47.32;17.56
106167;2.66;45.06;293;8;50.17;8.53
106168;4.88;32.54;78;4;43.59;23.08
106169;2.17;53.59;810;18;45.06;15.68
106170;2.29;53.85;855;20;49.24;13.92
106171;2.50;40.11;623;16;51.52;10.59
106172;5.29;45.04;215;12;69.30;6.05
106173;4.15;32.94;185;8;61.62;5.41
106174;8.52;44.48;247;23;63.16;6.88
106175;5.91;33.16;175;11;44.57;12.57
106176;2.63;38.19;296;8;55.07;14.19
106177;2.64;52.30;665;18;54.29;11.28
106178;0.00;15.91;7;0;57.14;28.57
106179;6.06;25.98;31;2;51.61;16.13
106180;3.57;49.15;757;28;51.92;16.51
106181;2.20;47.78;579;13;45.94;12.26
106182;1.53;49.77;838;13;47.14;19.81
106183;4.51;49.80;233;11;34.33;23.18
106184;3.90;43.59;320;13;53.12;10.00
106185;3.77;36.71;230;9;53.04;11.74
106186;3.91;35.38;172;7;54.07;16.28
106187;2.40;43.72;489;12;59.71;8.18
106188;2.56;40.21;76;2;44.74;14.47
106189;5.70;38.70;331;20;52.57;13.90
106190;0.33;45.68;300;1;53.33;14.33
106191;1.86;44.37;476;9;56.93;10.29
106192;3.59;56.66;484;18;52.69;13.64
106193;4.63;40.22;206;10;44.66;16.50
106194;3.15;57.93;768;25;63.67;6.38
106195;3.91;58.39;565;23;42.30;18.94
106196;3.45;52.65;1036;37;55.02;10.14
106197;3.99;51.41;963;40;72.07;9.45
106198;1.95;56.46;553;11;49.01;8.68
106199;2.12;50.08;646;14;50.00;11.92
106200;3.70;47.58;520;20;58.08;8.85
106201;5.06;49.69;525;28;59.43;11.05
106202;2.91;46.37;601;18;47.59;12.65
106203;5.69;34.54;613;37;58.24;5.71
106204;3.96;39.69;388;16;58.25;3.61
106205;2.78;33.41;140;4;57.86;5.00
106206;2.50;28.78;78;2;39.74;10.26
106207;5.37;42.75;282;16;62.77;4.61
106208;4.48;45.60;213;10;40.85;7.51
106209;4.85;47.10;216;11;58.33;4.63
106210;2.15;47.13;273;6;57.51;5.13
106211;4.96;54.08;441;23;43.76;9.75
106212;4.19;57.46;801;35;41.70;14.86
106213;3.23;48.78;540;18;48.33;5.19
106214;4.62;50.13;186;9;62.37;3.76
106215;1.23;59.27;240;3;68.33;5.00
106216;3.35;58.72;231;8;51.52;5.19
106217;5.15;52.87;516;28;51.94;6.20
106218;6.97;41.53;267;20;46.82;15.73
106219;3.31;46.89;350;12;46.29;15.14
106220;3.60;55.74;482;18;36.72;21.78
106221;0.53;61.56;559;3;46.33;14.67
106222;3.22;49.43;541;18;44.73;15.16
106223;2.03;56.01;772;16;35.10;19.43
106224;3.48;53.85;554;20;46.75;13.36
106225;1.46;46.29;203;3;43.84;12.81
106226;1.08;60.13;640;7;32.66;33.28
106227;2.51;57.81;776;20;43.94;16.37
106228;4.44;56.76;754;35;40.19;15.25
106229;3.99;51.44;650;27;44.00;15.69
106230;4.44;46.91;559;26;37.39;13.95
106231;3.73;50.68;748;29;44.65;13.90
106232;2.06;56.93;571;12;43.78;14.71
106233;2.90;50.94;502;15;38.25;19.12
106234;4.71;49.93;324;16;65.43;4.94
106235;6.11;44.78;169;11;60.36;2.96
106236;6.96;44.22;762;57;54.99;8.92
106237;3.72;51.80;1139;44;66.46;6.41
106238;5.62;41.29;235;14;58.30;8.51
106239;4.17;54.79;597;26;65.49;6.70
106240;7.33;41.08;177;14;55.37;11.30
106241;1.88;54.69;939;18;41.43;22.15
106242;1.74;64.76;1244;22;29.50;35.93
106243;3.95;47.80;219;9;55.71;16.89
106244;4.53;41.33;337;16;56.08;11.57
106245;3.29;38.63;529;18;53.88;17.77
106246;1.87;51.53;1155;22;46.41;12.64
106247;3.00;49.47;452;14;38.50;22.57
106248;2.26;60.85;866;20;37.07;31.76
106249;4.10;46.86;351;15;47.29;11.11
106250;9.02;21.14;121;12;43.80;14.88
106251;15.38;39.00;33;6;48.48;12.12
106252;7.69;17.81;12;1;75.00;16.67
106253;3.86;43.93;647;26;45.60;14.06
106254;4.32;32.33;133;6;48.12;18.05
106255;1.58;35.71;311;5;61.09;8.68
106256;3.78;35.92;356;14;54.21;10.39
106257;3.61;42.84;801;30;41.07;21.10
106258;3.91;36.35;344;14;53.49;16.28
106259;2.42;43.25;322;8;48.76;15.22
106260;2.45;44.95;239;6;49.37;13.81
