KORWIN:
2 100106 KORWIN   650 28.175 (Rusiec)
0 149901 KORWIN 21757 12.542 (zagranica*)
0 229901 KORWIN    15 11.628 (statki gdańsk*)
2 022105 KORWIN   292 10.111 (Głuszyca)
2 061305 KORWIN    37  5.977 (Podedwórze)
1 180801 KORWIN   353  5.974 (Leżajsk)
2 121904 KORWIN   667  5.971 (Niepołomice)
1 020601 KORWIN   128  5.970 (Karpacz)
2 040301 KORWIN   481  5.950 (Białe Błota)
2 321102 KORWIN   264  5.927 (Kołbaskowo)
1 240502 KORWIN   381  5.917 (Pyskowice)
1 020603 KORWIN   141  5.917 (Piechowice)
2 141005 KORWIN   111  5.907 (Sarnaki)
2 120610 KORWIN   247  5.901 (Skała)
2 241105 KORWIN   196  5.897 (Kuźnia Raciborska)
2 120611 KORWIN  1041  5.893 (Skawina)
2 246301 KORWIN  2430  5.891 (Chorzów)
2 302903 KORWIN   688  5.887 (Wolsztyn)
2 280406 KORWIN    78  5.887 (Młynary)
2 281604 KORWIN   160  5.882 (Ruciane-Nida)
2 247401 KORWIN  1591  5.879 (Siemianowice Śląskie)
2 280104 KORWIN    90  5.879 (Bisztynek)
2 060603 KORWIN    72  5.878 (Gorzków)
2 301903 KORWIN   174  5.868 (Kaczory)
2 061406 KORWIN   177  5.863 (Kurów)
2 066301 KORWIN  9176  5.860 (Lublin)
2 020905 KORWIN   100  5.858 (Legnickie Pole)
2 206101 KORWIN  7331  5.848 (Białystok)
1 240901 KORWIN   688  5.840 (Myszków)
2 100610 KORWIN   264  5.839 (Rzgów)
2 302705 KORWIN   107  5.834 (Malanów)
2 061908 KORWIN    49  5.833 (Wyryki)
2 121903 KORWIN   254  5.832 (Kłaj)
2 300402 KORWIN   584  5.828 (Gostyń)
2 240105 KORWIN   167  5.821 (Mierzęcice)
2 247701 KORWIN  3303  5.816 (Tychy)
2 120907 KORWIN   311  5.815 (Sułkowice)
1 146509 KORWIN   695  5.813 (Rembertów)
2 280604 KORWIN   147  5.813 (Giżycko)
1 020801 KORWIN   112  5.812 (Duszniki-Zdrój)
2 040305 KORWIN   194  5.810 (Nowa Wieś Wielka)
2 281005 KORWIN    72  5.802 (Sorkwity)
2 080103 KORWIN   172  5.787 (Deszczno)
2 121804 KORWIN   121  5.776 (Lanckorona)
2 040308 KORWIN   350  5.774 (Solec Kujawski)
2 303102 KORWIN   192  5.771 (Jastrowie)
1 026401 KORWIN 17303  5.770 (Wrocław*)
2 022308 KORWIN   500  5.766 (Siechnice)
1 146517 KORWIN  1206  5.763 (Włochy)
1 181801 KORWIN  1437  5.757 (Stalowa Wola)
1 060201 KORWIN   629  5.742 (Biłgoraj)
1 141215 KORWIN   553  5.741 (Sulejówek)
1 280701 KORWIN   734  5.737 (Iława)
2 321201 KORWIN    48  5.735 (Bielice)
2 281203 KORWIN   113  5.733 (Grodziczno)
2 240308 KORWIN   235  5.730 (Hażlach)
2 260401 KORWIN   192  5.728 (Bieliny)
1 241303 KORWIN   412  5.727 (Radzionków)
2 200704 KORWIN    81  5.724 (Nowogród)
2 020814 KORWIN   128  5.722 (Szczytna)
2 143002 KORWIN   106  5.717 (Jastrząb)
2 221005 KORWIN    68  5.714 (Sztutowo)
2 080605 KORWIN    68  5.709 (Zwierzyn)
2 120202 KORWIN   855  5.709 (Brzesko)
2 142703 KORWIN   104  5.708 (Mochowo)
2 120203 KORWIN   216  5.707 (Czchów)
2 080803 KORWIN    85  5.705 (Skąpe)
2 220406 KORWIN   179  5.702 (Pszczółki)
2 281901 KORWIN    41  5.702 (Budry)
2 022003 KORWIN   493  5.696 (Trzebnica)
2 120614 KORWIN   231  5.692 (Świątniki Górne)
2 160404 KORWIN   241  5.691 (Wołczyn)
2 200205 KORWIN   374  5.687 (Juchnowiec Kościelny)
2 142509 KORWIN   148  5.686 (Przytyk)
2 320905 KORWIN   124  5.685 (Mielno)
2 200507 KORWIN    50  5.682 (Kleszczele)
2 120906 KORWIN   199  5.679 (Siepraw)
1 061101 KORWIN   716  5.675 (Łuków)
2 041403 KORWIN    87  5.671 (Drzycim)
2 302504 KORWIN   692  5.671 (Środa Wielkopolska)
2 142605 KORWIN   124  5.670 (Mordy)
2 280503 KORWIN    84  5.668 (Kalinowo)
2 326201 KORWIN  9422  5.664 (Szczecin)
2 321306 KORWIN   122  5.664 (Sławno)
2 200904 KORWIN    61  5.659 (Puńsk)
2 321503 KORWIN    80  5.658 (Biały Bór)
2 060602 KORWIN   102  5.657 (Fajsławice)
1 121501 KORWIN   124  5.647 (Jordanów)
2 121205 KORWIN  1236  5.646 (Olkusz)
2 040307 KORWIN   188  5.646 (Sicienko)
1 321302 KORWIN   251  5.640 (Sławno)
2 241309 KORWIN   284  5.638 (Zbrosławice)
1 180501 KORWIN   841  5.637 (Jasło)
2 021605 KORWIN   161  5.635 (Przemków)
2 247901 KORWIN  1397  5.625 (Żory)
2 060906 KORWIN   142  5.619 (Jabłonna)
2 241305 KORWIN    76  5.617 (Krupski Młyn)
2 181613 KORWIN   513  5.616 (Trzebownisko)
2 301806 KORWIN   104  5.613 (Mikstat)
2 143802 KORWIN   241  5.612 (Mszczonów)
1 143403 KORWIN   818  5.599 (Ząbki)
2 143803 KORWIN   174  5.598 (Puszcza Mariańska)
1 120101 KORWIN   738  5.596 (Bochnia)
2 041005 KORWIN   461  5.592 (Szubin)
1 146515 KORWIN   718  5.586 (Wesoła)
2 240107 KORWIN   276  5.586 (Siewierz)
1 241401 KORWIN   462  5.584 (Bieruń)
2 100302 KORWIN   627  5.584 (Łask)
1 020901 KORWIN   258  5.577 (Chojnów)
2 201201 KORWIN    51  5.556 (Bakałarzewo)
1 180301 KORWIN  1112  5.551 (Dębica)
2 261205 KORWIN   264  5.546 (Połaniec)
2 060911 KORWIN   447  5.544 (Niemce)
2 321410 KORWIN   200  5.543 (Stargard Szczeciński)
2 246901 KORWIN  7483  5.540 (Katowice)
2 241405 KORWIN   151  5.539 (Chełm Śląski)
2 241003 KORWIN   377  5.537 (Miedźna)
1 220801 KORWIN   722  5.534 (Lębork)
2 321101 KORWIN   507  5.533 (Dobra (Szczecińska))
2 181614 KORWIN   273  5.525 (Tyczyn)
2 240204 KORWIN  1086  5.516 (Czechowice-Dziedzice)
2 220906 KORWIN    49  5.506 (Miłoradz)
1 220901 KORWIN   769  5.502 (Malbork)
2 180906 KORWIN   131  5.500 (Oleszyce)
1 240303 KORWIN   241  5.496 (Wisła)
2 200213 KORWIN   326  5.495 (Wasilków)
2 142206 KORWIN    69  5.494 (Krzynowłoga Mała)
2 120609 KORWIN   327  5.488 (Mogilany)
2 141309 KORWIN    67  5.487 (Wieczfnia Kościelna)
2 306301 KORWIN  1430  5.484 (Leszno)
2 060904 KORWIN   190  5.483 (Garbów)
2 141002 KORWIN   237  5.482 (Łosice)
2 180605 KORWIN   149  5.482 (Raniżów)
1 146512 KORWIN  1558  5.480 (Ursus)
1 146503 KORWIN  2975  5.479 (Białołęka)
2 121104 KORWIN   139  5.479 (Czorsztyn)
1 022602 KORWIN   325  5.477 (Złotoryja)
1 221401 KORWIN  1239  5.472 (Tczew)
2 100104 KORWIN   120  5.464 (Kleszczów)
2 246601 KORWIN  4248  5.462 (Gliwice)
2 121203 KORWIN   165  5.462 (Bolesław)
2 022301 KORWIN   341  5.457 (Czernica)
2 281411 KORWIN   184  5.453 (Stawiguda)
2 301804 KORWIN   112  5.453 (Kobyla Góra)
2 040601 KORWIN   211  5.451 (Grudziądz)
2 181606 KORWIN   457  5.449 (Głogów Małopolski)
2 320507 KORWIN    93  5.448 (Rewal)
2 121902 KORWIN   369  5.448 (Gdów)
2 081109 KORWIN    45  5.448 (Tuplice)
2 121005 KORWIN   235  5.446 (Kamionka Wielka)
1 100801 KORWIN   420  5.439 (Konstantynów Łódzki)
1 200301 KORWIN   529  5.438 (Bielsk Podlaski)
1 143402 KORWIN   687  5.434 (Marki)
2 247601 KORWIN   962  5.433 (Świętochłowice)
2 301906 KORWIN   156  5.432 (Szydłowo)
2 121503 KORWIN   157  5.431 (Budzów)
1 280702 KORWIN   196  5.428 (Lubawa)
2 121901 KORWIN   208  5.424 (Biskupice)
2 181604 KORWIN   160  5.420 (Chmielnik)
2 301206 KORWIN   130  5.417 (Zduny)
2 061410 KORWIN    91  5.401 (Wąwolnica)
2 080802 KORWIN    88  5.399 (Łagów)
2 121102 KORWIN   147  5.398 (Szczawnica)
2 181901 KORWIN   269  5.397 (Czudec)
2 021802 KORWIN   101  5.392 (Malczyce)
2 081203 KORWIN   370  5.389 (Wschowa)
2 200209 KORWIN   327  5.388 (Supraśl)
2 140505 KORWIN   261  5.383 (Jaktorów)
2 286201 KORWIN  4029  5.383 (Olsztyn)
2 060901 KORWIN   275  5.379 (Bełżyce)
2 221510 KORWIN   459  5.372 (Wejherowo)
1 022102 KORWIN    91  5.372 (Jedlina-Zdrój)
1 181101 KORWIN  1397  5.371 (Mielec)
1 201001 KORWIN   285  5.365 (Siemiatycze)
2 181609 KORWIN   262  5.362 (Krasne)
2 281004 KORWIN   114  5.362 (Piecki)
2 320407 KORWIN    66  5.361 (Stepnica)
2 022305 KORWIN   395  5.354 (Kobierzyce)
2 261306 KORWIN   418  5.353 (Włoszczowa)
2 060903 KORWIN   228  5.350 (Bychawa)
2 226101 KORWIN 11576  5.346 (Gdańsk)
2 021503 KORWIN   468  5.342 (Jelcz-Laskowice)
2 240401 KORWIN   271  5.339 (Blachownia)
2 041404 KORWIN   128  5.338 (Jeżewo)
2 181612 KORWIN   372  5.336 (Świlcza)
2 241605 KORWIN   339  5.335 (Łazy)
1 146506 KORWIN  2401  5.327 (Ochota)
2 280707 KORWIN    84  5.323 (Zalewo)
2 220404 KORWIN   556  5.323 (Pruszcz Gdański)
2 143605 KORWIN   315  5.323 (Zwoleń)
2 321203 KORWIN    93  5.320 (Lipiany)
2 060202 KORWIN    64  5.320 (Aleksandrów)
1 141601 KORWIN   468  5.319 (Ostrów Mazowiecka)
2 320103 KORWIN   121  5.316 (Karlino)
1 143401 KORWIN   549  5.314 (Kobyłka)
2 146101 KORWIN  1134  5.311 (Ostrołęka)
2 206301 KORWIN  1312  5.310 (Suwałki)
2 240206 KORWIN   177  5.309 (Jaworze)
2 281509 KORWIN   231  5.308 (Ostróda)
2 321602 KORWIN    40  5.305 (Brzeżno)
2 022307 KORWIN   246  5.303 (Sobótka)
2 081003 KORWIN    58  5.302 (Brzeźnica)
1 146518 KORWIN  3734  5.301 (Wola)
2 120606 KORWIN   735  5.300 (Krzeszowice)
1 021401 KORWIN   799  5.298 (Oleśnica)
2 260804 KORWIN   407  5.295 (Pińczów)
2 201207 KORWIN   140  5.289 (Suwałki)
2 021403 KORWIN   113  5.288 (Dobroszyce)
2 200201 KORWIN   324  5.285 (Choroszcz)
2 060802 KORWIN    86  5.279 (Abramów)
1 241701 KORWIN   730  5.268 (Żywiec)
2 101011 KORWIN   170  5.258 (Wolbórz)
2 120305 KORWIN   755  5.255 (Trzebinia)
2 181805 KORWIN   154  5.252 (Zaklików)
2 021905 KORWIN   115  5.249 (Marcinowice)
2 120605 KORWIN   306  5.249 (Kocmyrzów-Luborzyca)
2 021908 KORWIN   227  5.249 (Żarów)
2 080102 KORWIN   123  5.245 (Bogdaniec)
2 140611 KORWIN   382  5.245 (Warka)
2 120703 KORWIN   183  5.245 (Dobra)
2 300405 KORWIN   147  5.243 (Piaski)
2 120301 KORWIN   271  5.238 (Alwernia)
2 040306 KORWIN   307  5.234 (Osielsko)
2 066101 KORWIN  1247  5.233 (Biała Podlaska)
2 060213 KORWIN    68  5.231 (Tereszpol)
2 142103 KORWIN   646  5.230 (Brwinów)
2 221605 KORWIN   322  5.230 (Sztum)
2 241606 KORWIN   202  5.228 (Ogrodzieniec)
2 221105 KORWIN   300  5.226 (Kosakowo)
1 081102 KORWIN   712  5.224 (Żary)
2 142307 KORWIN    91  5.224 (Rusinów)
2 281704 KORWIN    77  5.224 (Pasym)
2 247001 KORWIN  1607  5.222 (Mysłowice)
2 181803 KORWIN   195  5.221 (Pysznica)
2 280608 KORWIN    78  5.217 (Ryn)
2 281410 KORWIN   136  5.217 (Purda)
2 081104 KORWIN   100  5.214 (Jasień)
2 181806 KORWIN   198  5.213 (Zaleszany)
1 121001 KORWIN   143  5.213 (Grybów)
2 301703 KORWIN   275  5.212 (Odolanów)
2 200804 KORWIN    83  5.210 (Knyszyn)
1 241402 KORWIN   204  5.207 (Imielin)
2 320402 KORWIN   674  5.193 (Goleniów)
2 221310 KORWIN    71  5.190 (Skórcz)
1 020204 KORWIN   108  5.190 (Piława Górna)
2 120607 KORWIN   352  5.186 (Liszki)
2 160803 KORWIN   292  5.182 (Olesno)
2 080906 KORWIN   483  5.177 (Sulechów)
2 260410 KORWIN   236  5.175 (Miedziana Góra)
2 061407 KORWIN    65  5.175 (Markuszów)
2 181201 KORWIN   105  5.172 (Harasiuki)
2 181603 KORWIN   470  5.171 (Boguchwała)
2 061405 KORWIN   217  5.170 (Końskowola)
1 146514 KORWIN  2029  5.170 (Wawer)
2 220402 KORWIN   102  5.170 (Cedry Wielkie)
1 121502 KORWIN   214  5.169 (Sucha Beskidzka)
1 281001 KORWIN   418  5.167 (Mrągowo)
2 241308 KORWIN   152  5.167 (Tworóg)
2 143206 KORWIN   528  5.164 (Ożarów Mazowiecki)
2 221405 KORWIN    78  5.162 (Subkowy)
2 080905 KORWIN   157  5.161 (Nowogród Bobrzański)
2 101410 KORWIN   109  5.161 (Wróblew)
1 240108 KORWIN   153  5.158 (Sławków)
2 200502 KORWIN    43  5.156 (Białowieża)
2 181305 KORWIN    82  5.154 (Krzywcza)
2 321704 KORWIN    62  5.154 (Tuczno)
2 161106 KORWIN    96  5.153 (Ujazd)
2 260902 KORWIN   132  5.150 (Dwikozy)
1 321501 KORWIN   782  5.149 (Szczecinek)
2 060910 KORWIN   239  5.148 (Niedrzwica Duża)
2 221205 KORWIN   126  5.147 (Kępice)
1 302101 KORWIN   704  5.144 (Luboń)
2 220805 KORWIN    78  5.142 (Wicko)
2 061105 KORWIN   323  5.142 (Łuków)
2 321304 KORWIN    89  5.142 (Malechowo)
2 061408 KORWIN   228  5.139 (Nałęczów)
2 280606 KORWIN    51  5.136 (Miłki)
2 221304 KORWIN    46  5.134 (Bobowo)
2 141912 KORWIN   160  5.133 (Słupno)
2 241006 KORWIN   272  5.132 (Suszec)
2 121002 KORWIN   605  5.128 (Chełmiec)
2 140802 KORWIN   426  5.128 (Jabłonna)
2 141405 KORWIN   190  5.127 (Pomiechówek)
2 142006 KORWIN    47  5.125 (Joniec)
1 240102 KORWIN   689  5.124 (Czeladź)
2 303107 KORWIN    87  5.121 (Zakrzewo)
2 281405 KORWIN   114  5.119 (Gietrzwałd)
2 080909 KORWIN    71  5.115 (Zabór)
2 101807 KORWIN   284  5.115 (Wieruszów)
1 121101 KORWIN   658  5.114 (Nowy Targ)
1 241601 KORWIN   172  5.113 (Poręba)
1 142102 KORWIN  1445  5.111 (Pruszków)
1 146502 KORWIN  3345  5.109 (Bemowo)
1 181001 KORWIN   419  5.108 (Łańcut)
1 061501 KORWIN   335  5.107 (Radzyń Podlaski)
2 302602 KORWIN    87  5.097 (Dolsk)
2 022506 KORWIN   132  5.097 (Węgliniec)
2 180403 KORWIN   104  5.096 (Chłopice)
1 141101 KORWIN   192  5.096 (Maków Mazowiecki)
2 120903 KORWIN   981  5.093 (Myślenice)
2 120302 KORWIN   191  5.092 (Babice)
2 247301 KORWIN  2909  5.092 (Rybnik)
2 240104 KORWIN   253  5.090 (Bobrowniki)
2 241307 KORWIN   242  5.089 (Świerklaniec)
2 060908 KORWIN   301  5.089 (Konopnica)
2 220703 KORWIN   161  5.087 (Kwidzyn)
2 160702 KORWIN    53  5.086 (Kamiennik)
2 240202 KORWIN   266  5.085 (Bestwina)
1 141201 KORWIN   932  5.084 (Mińsk Mazowiecki)
2 141509 KORWIN   189  5.082 (Olszewo-Borki)
2 241005 KORWIN  1159  5.079 (Pszczyna)
2 020813 KORWIN   123  5.078 (Stronie Śląskie)
2 246801 KORWIN  1916  5.078 (Jaworzno)
