okreg;nrlisty;numer;komitet;kto;glosy;procent
6;1;1;PiS;Elżbieta KRUK;43432;8.91
6;1;2;PiS;Krzysztof MICHAŁKIEWICZ;15806;3.24
6;1;3;PiS;Gabriela MASŁOWSKA;23287;4.77
6;1;4;PiS;Jarosław STAWIARSKI;15807;3.24
6;1;5;PiS;Jerzy BIELECKI;8510;1.74
6;1;6;PiS;Krzysztof SZULOWSKI;9019;1.85
6;1;7;PiS;Lech SPRAWKA;15713;3.22
6;1;8;PiS;Krzysztof GŁUCHOWSKI;9924;2.03
6;1;9;PiS;Artur SOBOŃ;16643;3.41
6;1;10;PiS;Sylwester TUŁAJEW;17289;3.54
6;2;1;PO;Joanna MUCHA;43459;8.91
6;2;2;PO;Włodzimierz KARPIŃSKI;10260;2.1
6;2;4;PO;Wojciech WILK;6348;1.3
6;5;1;PSL;Jan ŁOPATA;7750;1.59
7;7;1;KUKIZ;Jarosław SACHAJKO;10722;3.16
7;1;1;PiS;Beata MAZUREK;30365;8.94
7;1;2;PiS;Sławomir ZAWIŚLAK;25236;7.43
7;1;3;PiS;Jan SZEWCZAK;7863;2.31
7;1;4;PiS;Marcin DUSZEK;12783;3.76
7;1;5;PiS;Teresa HAŁAS;6451;1.9
7;1;8;PiS;Piotr OLSZÓWKA;8174;2.41
7;1;9;PiS;Agata BOROWIEC;17183;5.06
7;1;24;PiS;Adam ABRAMOWICZ;10500;3.09
7;2;1;PO;Grzegorz RANIEWICZ;10485;3.09
7;2;2;PO;Stanisław ŻMIJAN;7135;2.1
7;5;1;PSL;Genowefa TOKARSKA;4606;1.36
8;7;1;KUKIZ;Jarosław PORWICH;10777;3.11
8;1;1;PiS;Marek AST;17530;5.06
8;1;2;PiS;Elżbieta RAFALSKA;22898;6.61
8;1;3;PiS;Jerzy MATERNA;15089;4.36
8;1;4;PiS;Artur ZASADA;5821;1.68
8;1;24;PiS;Jacek KURZĘPA;5486;1.58
8;2;1;PO;Stefan NIESIOŁOWSKI;29304;8.46
8;2;2;PO;Bożenna BUKIEWICZ;25715;7.43
8;2;3;PO;Tomasz KUCHARSKI;7105;2.05
8;2;4;PO;Katarzyna OSOS;5749;1.66
8;2;7;PO;Krystyna SIBIŃSKA;6868;1.98
8;8;1;PETRU;Paweł PUDŁOWSKI;16716;4.83
9;1;1;PiS;Piotr GLIŃSKI;41697;11.61
9;1;2;PiS;Joanna KOPCIŃSKA;17911;4.99
9;1;3;PiS;Piotr PSZCZÓŁKOWSKI;9382;2.61
9;1;5;PiS;Waldemar BUDA;15028;4.19
9;8;1;PETRU;Katarzyna LUBNAUER;18549;5.17
9;7;1;KUKIZ;Piotr APEL;7935;2.21
9;2;1;PO;Włodzimierz NYKIEL;21708;6.05
9;2;2;PO;Cezary GRABARCZYK;26591;7.41
9;2;3;PO;Małgorzata NIEMCZYK;17741;4.94
9;2;4;PO;Iwona ŚLEDZIŃSKA-KATARASIŃSKA;21424;5.97
10;2;1;PO;Dorota RUTKOWSKA;10157;3.55
10;2;2;PO;Elżbieta RADZISZEWSKA;12741;4.46
10;1;1;PiS;Antoni MACIEREWICZ;33960;11.89
10;1;2;PiS;Anna MILCZANOWSKA;11562;4.05
10;1;3;PiS;Robert TELUS;18670;6.53
10;1;5;PiS;Grzegorz WOJCIECHOWSKI;21163;7.41
10;1;6;PiS;Krzysztof MACIEJEWSKI;6818;2.39
