okreg;nrlisty;numer;komitet;kto;glosy;procent
40;1;5;PiS;Małgorzata GOLIŃSKA;7612;3.51
40;7;1;KUKIZ;Stefan ROMECKI;7740;3.57
40;2;1;PO;Marek HOK;17647;8.13
40;2;2;PO;Stanisław GAWŁOWSKI;14264;6.57
40;2;6;PO;Paweł SUSKI;5702;2.63
40;8;1;PETRU;Radosław LUBCZYK;6236;2.87
41;1;1;PiS;Joachim BRUDZIŃSKI;46918;12.33
41;1;2;PiS;Leszek DOBRZYŃSKI;8738;2.3
41;1;3;PiS;Artur SZAŁABAWKA;7024;1.85
41;1;4;PiS;Michał JACH;6183;1.62
41;1;6;PiS;Krzysztof ZAREMBA;7857;2.06
41;7;1;KUKIZ;Sylwester CHRUSZCZ;11052;2.9
41;8;1;PETRU;Piotr MISIŁO;13871;3.65
41;2;1;PO;Norbert OBRYCKI;16617;4.37
41;2;2;PO;Sławomir NITRAS;20930;5.5
41;2;3;PO;Magdalena KOCHAN;8972;2.36
41;2;8;PO;Arkadiusz MARCHEWKA;7147;1.88
41;2;24;PO;Bartosz ARŁUKOWICZ;20678;5.43
