nrk;teryt;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw
100176;181607;Szkoła Podstawowa|Szklary| 148 |36-025 Dylągówka;706;348;348;11;337;49.29;3.16
100177;181608;Środowiskowy Dom Samopomocy w Kamieniu|Kamień, Górka| 376 |36-053 Kamień;1017;527;527;11;516;51.82;2.09
100178;181608;Zespół Szkół im. Jana Pawła II w Łowisku|Łowisko| 181 |36-053 Kamień;1130;656;656;8;648;58.05;1.22
100179;181608;Szkoła Podstawowa w Krzywej Wsi|Kamień, Krzywa Wieś| 35 |36-053 Kamień;630;353;353;8;345;56.03;2.27
100180;181608;Szkoła Podstawowa im. św. Floriana w Kamieniu Podlesiu|Kamień, Podlesie| 78A |36-053 Kamień;631;356;356;20;336;56.42;5.62
100181;181608;Szkoła Podstawowa im. Św. Jadwigi Królowej w Kamieniu Prusinie|Kamień, Prusina| 119 |36-053 Kamień;1357;687;687;14;673;50.63;2.04
100182;181608;Zespół Szkół im. św. Stanisława Kostki w Nowym Kamieniu|Nowy Kamień| 26 |36-053 Kamień;773;432;432;6;426;55.89;1.39
100183;181609;Gminny Ośrodek Kultury i Biblioteka w Krasnem|Krasne| 743 |36-007 Krasne;1729;930;930;25;905;53.79;2.69
100184;181609;Szkoła Podstawowa w Krasnem|Krasne| 742 |36-007 Krasne;1711;1043;1043;9;1034;60.96;0.86
100185;181609;Zespół Szkół w Malawie|Malawa| 199 A |36-007 Krasne;1535;970;970;23;947;63.19;2.37
100186;181609;Gminne Przedszkole Publiczne w Malawie|Malawa| 199 B |36-007 Krasne;1075;617;617;19;598;57.40;3.08
100187;181609;Zespół Szkół w Strażowie|Strażów| 270 A |36-073 Strażów;1441;811;811;22;789;56.28;2.71
100188;181609;Zespół Szkół w Palikówce|Palikówka| 271 |36-073 Strażów;991;622;622;9;613;62.76;1.45
100189;181610;Urząd Gminy Lubenia|Lubenia| 131 |36-042 Lubenia;1917;1035;1035;17;1018;53.99;1.64
100190;181610;Dom Kultury Siedliska|Siedliska| 124 |36-042 Lubenia;1420;860;860;18;842;60.56;2.09
100191;181610;Szkoła Podstawowa w Straszydlu|Straszydle| 155 |36-043 Straszydle;1500;785;785;24;761;52.33;3.06
100192;181610;Dom Kultury Sołonka|Sołonka| 26 |36-043 Straszydle;355;205;205;3;202;57.75;1.46
100193;181611;Miejsko Gminny Ośrodek Kultury Sportu i Rekreacji|Sokołów Małopolski|Lubelska 5 |36-050 Sokołów Małopolski;1647;959;959;21;938;58.23;2.19
100194;181611;Zespół Szkół im. Jana Pawła II|Sokołów Małopolski|Lubelska 41 |36-050 Sokołów Małopolski;1630;949;949;27;922;58.22;2.85
100195;181611;Świetlica Wiejska|Markowizna| 34 |36-051 Górno;324;159;159;8;151;49.07;5.03
100196;181611;Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej "Sanatorium"|Górno|Rzeszowska 5 |36-051 Górno;443;166;166;10;156;37.47;6.02
