nrk;teryt;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw
101257;201105;Gminny Ośrodek Kultury i Sportu w Kuźnicy (duża sala)|Kuźnica|ul. Sidrzańska 2 |16-123 Kuźnica;1129;543;543;17;526;48.10;3.13
101258;201105;Gminny Ośrodek Kultury i Sportu w Kuźnicy (mała sala)|Kuźnica|ul. Sidrzańska 2 |16-123 Kuźnica;1014;462;462;20;442;45.56;4.33
101259;201105;Przedszkole w Kuźnicy|Kuźnica|ul. Sokólska 16 |16-123 Kuźnica;432;168;168;5;163;38.89;2.98
101260;201105;Budynek po byłej Szkole Podstawowej|Popławce| 29 |16-123 Kuźnica;426;175;175;4;171;41.08;2.29
101261;201105;Bydynek po byłej Szkole Podstawowej|Klimówka| 23 |16-123 Kuźnica;391;146;146;6;140;37.34;4.11
101262;201106;Budynek Gimnazjum|Nowy Dwór|ul.Kolejowa 2 |16-205 Nowy Dwór;1270;533;533;24;509;41.97;4.50
101263;201106;Świetlica Wiejska|Dubaśno| 4 |16-205 Nowy Dwór;480;186;186;9;177;38.75;4.84
101264;201106;Szkoła Podstawowa|Sieruciowce| 37 |16-205 Nowy Dwór;608;148;148;14;134;24.34;9.46
101265;201107;Budynek po Gimnazjum w Sidrze|Sidra|ul. Kalwińska 6 |16-124 Sidra;1473;591;591;26;565;40.12;4.40
101266;201107;Szkoła Podstawowa w Jacowlanach|Jacowlany| 13 |16-124 Sidra;521;212;212;10;202;40.69;4.72
101267;201107;Szkoła Podstawowa w Majewie|Nowinka| 1 |16-124 Sidra;544;176;176;11;165;32.35;6.25
101268;201107;Budynek parafialny|Zalesie| 25 |16-124 Sidra;502;151;151;6;145;30.08;3.97
101269;201108;Szkoła Podstawowa w Starej Kamionce|Stara Kamionka| 65 |16-100 Sokółka;1071;410;410;11;399;38.28;2.68
101270;201108;Zespół Szkół Integracyjnych|Sokółka|ul. Szkolna 2 |16-100 Sokółka;1058;338;338;14;324;31.95;4.14
101271;201108;Świetlica Wiejska w Sokolanach|Sokolany| |16-100 Sokółka;953;369;369;12;357;38.72;3.25
101272;201108;Szkoła Podstawowa w Starej Rozedrance|Stara Rozedranka| 3 |16-100 Sokółka;1007;351;351;11;340;34.86;3.13
101273;201108;Szkoła Podstawowa w Malawiczach Dolnych|Malawicze Dolne| 56 |16-100 Sokółka;1012;315;315;19;296;31.13;6.03
101274;201108;Niepubliczna Szkoła Podstawowa w Lipinie|Lipina| 103 |16-100 Sokółka;943;321;321;16;305;34.04;4.98
101275;201108;Zespół Szkół Ogólnokształcących|Sokółka|ul. Os. Zielone 2 |16-100 Sokółka;1053;429;429;13;416;40.74;3.03
101276;201108;Zespół Szkół Zawodowych|Sokółka|ul. Os. Zielone 1a |16-100 Sokółka;1000;436;436;17;419;43.60;3.90
101277;201108;Ośrodek Sportu i Rekreacji|Sokółka|ul. Mariańska 31 |16-100 Sokółka;1110;541;541;9;532;48.74;1.66
101278;201108;Gimnazjum Nr 1|Sokółka|ul. Mickiewicza 2a |16-100 Sokółka;726;321;321;10;311;44.21;3.12
101279;201108;Przedszkole Nr 3|Sokółka|ul. Kresowa 73 |16-100 Sokółka;926;418;418;15;403;45.14;3.59
101280;201108;Zespół Szkół|Sokółka|ul. Mickiewicza 11 |16-100 Sokółka;1158;652;652;16;636;56.30;2.45
101281;201108;Przedszkole Nr 1|Sokółka|ul. Sikorskiego 4 |16-100 Sokółka;972;464;464;9;455;47.74;1.94
101282;201108;Zespół Szkół Integracyjnych|Sokółka|ul. Szkolna 2 |16-100 Sokółka;1021;468;468;6;462;45.84;1.28
101283;201108;Zespół Szkół Integracyjnych|Sokółka|ul. Szkolna 2 |16-100 Sokółka;919;425;425;12;413;46.25;2.82
101284;201108;Zespół Szkół Integracyjnych|Sokółka|ul. Szkolna 2 |16-100 Sokółka;995;367;367;3;364;36.88;0.82
101285;201108;Przedszkole Nr 4|Sokółka|ul. Kołłątaja 22 |16-100 Sokółka;971;489;489;11;478;50.36;2.25
101286;201108;Sokólski Ośrodek Kultury|Sokółka|ul. Grodzieńska 1 |16-100 Sokółka;985;436;436;9;427;44.26;2.06
101287;201108;Przedszkole Nr 1|Sokółka|ul. Sikorskiego 4 |16-100 Sokółka;1037;455;455;11;444;43.88;2.42
101288;201108;Przedszkole nr 5|Sokółka|ul. Os. Centrum 18 |16-100 Sokółka;937;440;440;12;428;46.96;2.73
101289;201108;Szkoła Podstawowa Nr 1|Sokółka|ul. Grodzieńska 43 |16-100 Sokółka;1172;557;557;10;547;47.53;1.80
101290;201108;Samodzielny Publiczny Zakład Opieki Zdrowotnej|Sokółka|gen. Władysława Sikorskiego 40 |16-100 Sokółka;55;53;53;4;49;96.36;7.55
101291;201109;Gimnazjum w Suchowoli|Suchowola|ul. Augustowska 2 |16-150 Suchowola;877;357;357;8;349;40.71;2.24
101292;201109;Szkoła Podstawowa|Jatwieź Duża| 29 |16-150 Suchowola;313;130;130;6;124;41.53;4.62
101293;201109;Szkoła Podstawowa|Suchowola|ul. Szkolna 1 |16-150 Suchowola;970;420;420;20;400;43.30;4.76
101294;201109;Szkoła Podstawowa|Suchowola|ul. Szkolna 1 |16-150 Suchowola;866;432;432;14;418;49.88;3.24
101295;201109;Kino "Kometa"|Suchowola|Plac Kościuszki 5 |16-150 Suchowola;1225;460;460;4;456;37.55;0.87
101296;201109;Szkoła Podstawowa|Chodorówka Nowa| 17 |16-150 Suchowola;888;350;350;9;341;39.41;2.57
101297;201109;Szkoła Podstawowa|Wólka| 68 |16-150 Suchowola;710;259;259;9;250;36.48;3.47
101298;201110;Urząd Gminy w Szudziałowie|Szudziałowo|ul. Bankowa 1 |16-113 Szudziałowo;1398;595;595;36;559;42.56;6.05
101299;201110;Remiza OSP w Wierzchlesiu|Wierzchlesie| 94 |16-113 Szudziałowo;350;138;138;9;129;39.43;6.52
101300;201110;Szkoła Podstawowa w Babikach|Babiki| 22A |16-113 Szudziałowo;881;319;319;16;303;36.21;5.02
101301;201201;Gminna Biblioteka Publiczna w Bakałarzewie|Bakałarzewo|ul. Młyńska 11 |16-423 Bakałarzewo;802;375;375;17;358;46.76;4.53
101302;201201;Zespół Szkół w Bakałarzewie|Bakałarzewo|ul. Króla Zygmunta Starego 1 |16-423 Bakałarzewo;668;218;218;5;213;32.63;2.29
101303;201201;Urząd Gminy Bakałarzewo|Bakałarzewo|ul. Rynek 3 |16-423 Bakałarzewo;706;264;264;12;252;37.39;4.55
101304;201201;Szkoła Podstawowa w Zdrębach|Zdręby| 34 |16-423 Bakałarzewo;393;102;102;7;95;25.95;6.86
101305;201202;Urząd Gminy Filipów|Filipów|ul. Garbaska 2 |16-424 Filipów;1407;502;502;20;482;35.68;3.98
101306;201202;Zespół Szkół w Filipowie|Filipów|ul. M. Konopnickiej 6 |16-424 Filipów;1709;589;589;19;570;34.46;3.23
101307;201202;Klub Rolnika w Jemielistem|Jemieliste| 41 |16-424 Filipów;482;187;187;3;184;38.80;1.60
101308;201203;Ochotnicza Straż Pożarna w Bachanowie|Błaskowizna| 13 |16-404 Jeleniewo;317;119;119;10;109;37.54;8.40
101309;201203;Gminna Biblioteka Publiczna|Jeleniewo|ul. Sportowa 1A |16-404 Jeleniewo;1168;545;545;22;523;46.66;4.04
101310;201203;Zespół Szkół|Jeleniewo|ul. Suwalska 51 |16-404 Jeleniewo;1038;408;408;15;393;39.31;3.68
101311;201204;Szkoła Podstawowa|Nowa Pawłówka| 1 |16-427 Przerośl;595;245;245;8;237;41.18;3.27
101312;201204;Urząd Gminy|Przerośl|ul.Rynek 2 |16-427 Przerośl;1164;401;401;16;385;34.45;3.99
101313;201204;Gminny Ośrodek Kultury|Przerośl|ul.Rynek 11 |16-427 Przerośl;666;307;307;7;300;46.10;2.28
101314;201205;Zespół Szkół im.Ludwika Michała Paca|Dowspuda| 10 |16-420 Raczki;557;256;256;15;241;45.96;5.86
101315;201205;Gminny Ośrodek Kultury|Raczki|Plac Kościuszki 15 |16-420 Raczki;1453;607;607;20;587;41.78;3.29
101316;201205;Gminny Ośrodek Kultury|Raczki|Plac Kościuszki 15 |16-420 Raczki;1813;819;819;22;797;45.17;2.69
101317;201205;Remiza OSP|Sucha Wieś| 10 |16-420 Raczki;544;222;222;17;205;40.81;7.66
101318;201205;Remiza OSP|Sidory| 22 |16-420 Raczki;413;149;149;7;142;36.08;4.70
101319;201206;Urząd Gminy Rutka-Tartak|Rutka-Tartak|ul. 3 Maja 13 |16-406 Rutka-Tartak;1704;719;719;31;688;42.19;4.31
101320;201206;Świetlica wiejska|Smolniki| 32 |16-407 Wiżajny;291;145;145;7;138;49.83;4.83
101321;201207;Zespół Szkół|Płociczno-Tartak| 16 |16-402 Suwałki;1150;567;567;15;552;49.30;2.65
101322;201207;Szkoła Podstawowa|Poddubówek| 17 |16-402 Suwałki;430;183;183;4;179;42.56;2.19
101323;201207;Zespół Szkół|Przebród| 15 |16-402 Suwałki;1044;378;378;11;367;36.21;2.91
101324;201207;Urząd Gminy Suwałki|Suwałki|ul. Świerkowa 45 |16-400 Suwałki;2136;981;981;27;954;45.93;2.75
101325;201207;Zespół Szkół|Stary Folwark| 49 |16-402 Suwałki;746;413;413;12;401;55.36;2.91
101326;201207;Szkoła Podstawowa|Nowa Wieś| 40A |16-402 Suwałki;452;202;202;8;194;44.69;3.96
101327;201208;Świetlica Gminna w Szypliszkach|Szypliszki|ul Suwalska 21 |16-411 Szypliszki;1301;476;476;10;466;36.59;2.10
101328;201208;Szkoła Podstawowa w Jasionowie z siedzibą w Żubrynie|Żubryn| 17 |16-411 Szypliszki;484;173;173;6;167;35.74;3.47
101329;201208;Zespół Szkól w Kaletniku|Kaletnik| 46 |16-411 Szypliszki;860;296;296;19;277;34.42;6.42
101330;201208;Szkoła Podstawowa w Becejłach|Becejły| 7 |16-411 Szypliszki;597;248;248;5;243;41.54;2.02
101331;201209;Świetlica Gminna|Wiżajny|ul. Wierzbołowska 3 |16-407 Wiżajny;747;337;337;7;330;45.11;2.08
101332;201209;Publiczne Gimnazjum|Wiżajny|ul. Szkolna 11 |16-407 Wiżajny;860;367;367;11;356;42.67;3.00
101333;201209;Remiza Ochotniczej Straży Pożarnej w Oklinach|Okliny| 16 |16-407 Wiżajny;379;150;150;5;145;39.58;3.33
101334;201301;Gimnazjum w Wysokiem Mazowieckiem|Wysokie Mazowieckie|ul. Ludowa 5 |18-200 Wysokie Mazowieckie;1830;1085;1085;20;1065;59.29;1.84
101335;201301;Szkoła Podstawowa Nr 1 w Wysokiem Mazowieckiem|Wysokie Mazowieckie|ul. Kościelna 1 |18-200 Wysokie Mazowieckie;1496;774;774;15;759;51.74;1.94
101336;201301;Miejski Osrodek Kultury w Wysokiem Mazowieckiem|Wysokie Mazowieckie|ul. Ludowa 19 |18-200 Wysokie Mazowieckie;1687;862;862;23;839;51.10;2.67
101337;201301;Przedszkole Miejskie Nr 1 w Wysokiem Mazowieckiem|Wysokie Mazowieckie|ul.Armii Krajowej 3 |18-200 Wysokie Mazowieckie;1359;676;676;10;666;49.74;1.48
101338;201301;Przedszkole Miejskie Nr 2 w Wysokiem Mazowieckiem|Wysokie Mazowieckie|ul. Wołodyjowskiego 2 |18-200 Wysokie Mazowieckie;1066;560;560;12;548;52.53;2.14
101339;201301;Szpital Ogólny w Wysokiem Mazowieckiem|Wysokie Mazowieckie|ul. Szpitalna 5 -|18-200 Wysokie Mazowieckie;72;30;30;0;30;41.67;0.00
101340;201302;Gimnazjum im. Papieża Jana Pawła II w Ciechanowcu|Ciechanowiec|ul. Sosnowa 2 |18-230 Ciechanowiec;1354;569;569;19;550;42.02;3.34
101341;201302;Budynek byłej Synagogi w Ciechanowcu|Ciechanowiec|ul. Mostowa 6 |18-230 Ciechanowiec;990;427;427;15;412;43.13;3.51
101342;201302;Świetlica Organizacji Społecznych budynek Przedszkola w Ciechanowcu|Ciechanowiec|Mickiewicza 29A |18-230 Ciechanowiec;476;210;210;4;206;44.12;1.90
101343;201302;Szkoła Podstawowa w Ciechanowcu|Ciechanowiec|11 Listopada 5 |18-230 Ciechanowiec;956;399;399;13;386;41.74;3.26
101344;201302;Sala Gimnastyczna przy budynku Szkoły Podstawowej w Ciechanowcu (były COKIS)|Ciechanowiec|11 Listopada 5 |18-230 Ciechanowiec;819;342;342;9;333;41.76;2.63
101345;201302;Świetlica Wiejska w Kosiorkach|Kosiorki| 25 |18-230 Ciechanowiec;363;137;137;7;130;37.74;5.11
101346;201302;Świetlica Wiejska w Wojtkowicach Starych|Wojtkowice Stare| 12A |18-230 Ciechanowiec;366;133;133;2;131;36.34;1.50
101347;201302;Szkoła Podstawowa w Łempicach|Łempice| 13A |18-230 Ciechanowiec;346;191;191;3;188;55.20;1.57
101348;201302;Szkoła Podstawowa w Kocach - Schabach|Koce-Schaby| 24 |18-230 Ciechanowiec;289;168;168;1;167;58.13;0.60
101349;201302;Świetlica Wiejska w Winnej - Poświętnej|Winna-Poświętna| 6 |18-230 Ciechanowiec;210;94;94;3;91;44.76;3.19
101350;201302;Szkoła Podstawowa w Radziszewie Starym|Radziszewo Stare| 9 |18-230 Ciechanowiec;413;187;187;7;180;45.28;3.74
101351;201302;Budynek byłej Szkoły Podstawowej w Czajach - Wólce|Czaje-Wólka| 33 |18-230 Ciechanowiec;178;88;88;2;86;49.44;2.27
101352;201302;Świetlica Wiejska w Pobikrach|Pobikry| 50|18-230 Ciechanowiec;206;102;102;7;95;49.51;6.86
101353;201302;Świetlica Wiejska w Skórcu|Skórzec| 61 |18-230 Ciechanowiec;335;130;130;3;127;38.81;2.31
101354;201302;Dom Pomocy Społecznej w Kozarzach|Kozarze| 63 |18-230 Ciechanowiec;45;35;35;4;31;77.78;11.43
101355;201302;Zakład Opiekuńczo - Leczniczy w Ciechanowcu|Ciechanowiec|Pl. Ks. K. Kluka 4 |18-230 Ciechanowiec;63;7;7;0;7;11.11;0.00
101356;201303;Gminny Ośrodek Kultury w Czyżewie|Czyżew|ul. Mazowiecka 34 |18-220 Czyżew;1449;661;661;21;640;45.62;3.18
101357;201303;Zespół Szkół Ogólnokształcących i Zawodowych w Czyżewie|Czyżew|ul. Niepodległości 3 |18-220 Czyżew;1139;580;580;26;554;50.92;4.48
101358;201303;Zespół Szkół w Rosochatem Kościelnem|Rosochate Kościelne|ul. Mazowiecka 5 |18-220 Czyżew;910;430;430;3;427;47.25;0.70
101359;201303;Szkoła Podstawowa w Dąbrowie Wielkiej|Dąbrowa Wielka| 19 |18-220 Czyżew;612;323;323;6;317;52.78;1.86
101360;201303;Zespół Szkół w Czyżewie|Czyżew|ul.Polna 5 |18-220 Czyżew;1178;617;617;17;600;52.38;2.76
101361;201304;Gminny Ośrodek Kultury w Klukowie|Klukowo|ul. Mazowiecka 14 |18-214 Klukowo;1333;717;717;20;697;53.79;2.79
101362;201304;Szkoła Podstawowa w Kuczynie|Kuczyn| 69 |18-214 Klukowo;1207;652;652;19;633;54.02;2.91
101363;201304;Szkoła Podstawowa w Wyszonkach Kościelnych|Wyszonki Kościelne| 1 |18-214 Klukowo;1150;578;578;14;564;50.26;2.42
101364;201305;Urząd Gminy Kobylin-Borzymy|Kobylin-Borzymy|Główna 11 |18-204 Kobylin-Borzymy;721;351;351;2;349;48.68;0.57
101365;201305;Zespół Szkół w Kobylinie-Borzymach|Kobylin-Borzymy|Lipowa 17 |18-204 Kobylin-Borzymy;684;346;346;6;340;50.58;1.73
101366;201305;Zespół Szkół w Kobylinie-Borzymach|Kobylin-Borzymy|Lipowa 17 |18-204 Kobylin-Borzymy;724;396;396;8;388;54.70;2.02
101367;201305;Szkoła Podstawowa we Wnorach-Kużelach|Wnory-Kużele| 37 |18-208 Kulesze Kościelne;618;310;310;7;303;50.16;2.26
101368;201306;Gimnazjum w Kuleszach Kościelnych|Kulesze Kościelne|ul. Główna 2 |18-208 Kulesze Kościelne;617;330;330;6;324;53.48;1.82
101369;201306;Szkoła Podstawowa w Kuleszach Kościelnych|Kulesze Kościelne|ul. Główna 2 |18-208 Kulesze Kościelne;734;348;348;10;338;47.41;2.87
101370;201306;Urząd Gminy Kulesze Kościelne|Kulesze Kościelne|ul.Główna 6 |18-208 Kulesze Kościelne;697;381;381;9;372;54.66;2.36
101371;201306;Budynek Socjalny w Kalinowie Solkach|Kalinowo Solki| |18-208 Kulesze Kościelne;504;330;330;10;320;65.48;3.03
101372;201307;Urząd Gminy Nowe Piekuty|Nowe Piekuty|ul.Główna 8 |18-212 Nowe Piekuty;989;533;533;18;515;53.89;3.38
101373;201307;Zespół Szkół Nowe Piekuty|Nowe Piekuty|ul.Główna 3 |18-212 Nowe Piekuty;1098;580;580;17;563;52.82;2.93
101374;201307;Zespół Szkół Jabłoń Kościelna|Jabłoń Kościelna|ul.Mazowiecka 1 |18-212 Nowe Piekuty;1112;622;622;17;605;55.94;2.73
101375;201308;Szkoła Podstawowa w Kowalewszczyźnie|Kowalewszczyzna| 29 |18-218 Sokoły;771;288;288;10;278;37.35;3.47
101376;201308;Szkoła Podstawowa w Sokołach|Sokoły|ul. Kościelna 5 |18-218 Sokoły;1390;779;779;11;768;56.04;1.41
101377;201308;Gminny Ośrodek Kultury w Sokołach|Sokoły|ul. Kolejowa 3 |18-218 Sokoły;1353;710;710;17;693;52.48;2.39
101378;201308;Urząd Gminy Sokoły|Sokoły|ul. Rynek Mickiewicza 10 |18-218 Sokoły;1197;591;591;15;576;49.37;2.54
101379;201308;NZOZ MD CARE Sp. z o.o. Centrum Rehabilitacji i Adaptacji w Dworakach-Staśkach|Dworaki-Staśki| 46 |18-218 Sokoły;52;20;20;4;16;38.46;20.00
101380;201309;Ochotnicza Straż Pożarna w Szepietowie|Szepietowo|ul. Henryka Sienkiewicza 52 |18-210 Szepietowo;771;305;305;5;300;39.56;1.64
101381;201309;Gminny Ośrodek Kultury w Szepietowie|Szepietowo|ul. Henryka Sienkiewicza 52 |18-210 Szepietowo;1033;544;544;15;529;52.66;2.76
101382;201309;Ochotnicza Straż Pożarna w Średnicy-Maćkowiętach|Średnica-Maćkowięta| 16 |18-210 Szepietowo;706;360;360;6;354;50.99;1.67
101383;201309;Ochotnicza Straż Pożarna w Dąbrowie-Moczydłach|Dąbrowa-Moczydły| 34 |18-210 Szepietowo;1188;605;605;8;597;50.93;1.32
101384;201309;Szkoła Podstawowa w Dąbrówce Kościelnej|Dąbrówka Kościelna| 35 |18-210 Szepietowo;1287;587;587;11;576;45.61;1.87
101385;201309;Szkoła Podstawowa w Wojnach-Krupach|Wojny-Krupy| 11 |18-210 Szepietowo;793;404;404;9;395;50.95;2.23
101386;201310;Urząd Gminy Wysokie Mazowieckie|Wysokie Mazowieckie|Mickiewicza 1A |18-200 Wysokie Mazowieckie;1470;663;663;14;649;45.10;2.11
101387;201310;Zespół Szkół w Jabłonce Kościelnej|Jabłonka Kościelna| |18-200 Wysokie Mazowieckie;1151;545;545;8;537;47.35;1.47
101388;201310;Remiza OSP w Starej Rusi|Stara Ruś| |18-218 Sokoły;213;137;137;3;134;64.32;2.19
101389;201310;Budynek po Szkole Podstawowej w Dąbrowie-Dzięcieli|Dąbrowa-Dzięciel| |18-200 Wysokie Mazowieckie;302;131;131;6;125;43.38;4.58
101390;201310;Szkoła Podstawowa w Święcku Wielkim|Święck Wielki| |18-200 Wysokie Mazowieckie;305;131;131;6;125;42.95;4.58
101391;201310;Budynek po Szkole Podstawowej w Kalinowie-Czosnowie|Kalinowo-Czosnowo| |18-200 Wysokie Mazowieckie;281;172;172;0;172;61.21;0.00
101392;201310;Szkoła Podstawowa w Jabłonce Kościelnej, Szkoła Filialna w Gołaszach-Puszczy|Gołasze-Puszcza| |18-200 Wysokie Mazowieckie;301;145;145;6;139;48.17;4.14
101393;201310;Wiejski Dom Kultury w Mazurach|Mazury| |18-200 Wysokie Mazowieckie;249;125;125;2;123;50.20;1.60
101394;201401;Szkoła Podstawowa Nr 4 w Zambrowie|Zambrów|Konopnickiej 13 |18-300 Zambrów;1044;579;579;10;569;55.46;1.73
101395;201401;Zespół Szkół Ogólnokształcących w Zambrowie|Zambrów|Konopnickiej 16 |18-300 Zambrów;1960;865;865;22;843;44.13;2.54
101396;201401;Miejskie Przedszkole Nr 4 w Zambrowie|Zambrów|Papieża Jana Pawła II 8A |18-300 Zambrów;1037;518;518;10;508;49.95;1.93
101397;201401;Miejskie Gimnazjum Nr 1 w Zambrowie|Zambrów|Prymasa Wyszyńskiego 6A |18-300 Zambrów;884;397;397;10;387;44.91;2.52
101398;201401;Miejskie Przedszkole Nr 1 w Zambrowie|Zambrów|Sadowa 5 |18-300 Zambrów;1443;578;578;12;566;40.06;2.08
101399;201401;Miejski Ośrodek Kultury w Zambrowie|Zambrów|Prymasa Wyszyńskiego 2A |18-300 Zambrów;1653;789;789;13;776;47.73;1.65
101400;201401;Miejskie Gimnazjum Nr 1 w Zambrowie|Zambrów|Prymasa Wyszyńskiego 6A |18-300 Zambrów;1635;723;723;16;707;44.22;2.21
101401;201401;Szkoła Podstawowa Nr 5 w Zambrowie|Zambrów|Obrońców Zambrowa 6 |18-300 Zambrów;949;486;486;7;479;51.21;1.44
101402;201401;Szkoła Podstawowa Nr 5 w Zambrowie|Zambrów|Obrońców Zambrowa 6 |18-300 Zambrów;834;427;427;8;419;51.20;1.87
101403;201401;Sala Konferencyjna Starostwa Powiatowego w Zambrowie|Zambrów|Fabryczna 3 |18-300 Zambrów;1594;669;669;10;659;41.97;1.49
101404;201401;Szkoła Podstawowa Nr 3 w Zambrowie|Zambrów|Magazynowa 13 |18-300 Zambrów;1661;683;683;17;666;41.12;2.49
101405;201401;Szkoła Podstawowa Nr 3 w Zambrowie|Zambrów|Magazynowa 13 |18-300 Zambrów;1788;673;674;21;652;37.64;3.12
101406;201401;Centrum Obsługi Placówek Opiekuńczo-Wychowawczych w Zambrowie|Zambrów|Aleja Wojska Polskiego 52/2 |18-300 Zambrów;1255;418;418;12;406;33.31;2.87
101407;201401;Szpital Powiatowy w Zambrowie|Zambrów|Papieża Jana Pawła II 3 |18-300 Zambrów;62;36;36;1;35;58.06;2.78
101408;201402;Urząd Gminy w Kołakach Kościelnych|Kołaki Kościelne|ul. Kościelna 11 |18-315 Kołaki Kościelne;693;365;365;8;357;52.67;2.19
101409;201402;Zespół Szkół w Kołakach Kościelnych|Kołaki Kościelne|ul. Kościelna 26 |18-315 Kołaki Kościelne;640;358;358;7;351;55.94;1.96
101410;201402;Sala gimnastyczna przy Zespole Szkół w Kołakach Kościelnych|Kołaki Kościelne|ul. Kościelna 26 |18-315 Kołaki Kościelne;610;323;323;8;315;52.95;2.48
101411;201403;Urząd Gminy Rutki Sala konferencyjna|Rutki-Kossaki|ul.11 Listopada 7 |18-312 Rutki-Kossaki;1244;472;472;20;452;37.94;4.24
101412;201403;Świetlica Wiejska w Zambrzycach - Królach|Zambrzyce-Króle| 6 |18-312 Rutki-Kossaki;978;501;501;10;491;51.23;2.00
101413;201403;Szkoła Podstawowa w Grądach-Woniecko|Grądy-Woniecko| 18 |18-312 Rutki-Kossaki;655;197;197;14;183;30.08;7.11
101414;201403;Szkoła Podstawowa w Kołomyi|Kołomyja| 35 |18-312 Rutki-Kossaki;608;261;261;6;255;42.93;2.30
101415;201403;Urząd Stanu Cywilnego w Rutkach|Rutki-Kossaki|ul.11 Listopada 7 |18-312 Rutki-Kossaki;1114;487;487;17;470;43.72;3.49
101416;201403;Zakład Karny w Grądach-Woniecko|Grądy-Woniecko| 34 |18-312 Rutki-Kossaki;180;88;88;16;72;48.89;18.18
101417;201404;Gminny Ośrodek Kultury w Szumowie|Szumowo|ul. XXX-lecia 2 |18-305 Szumowo;752;390;390;8;382;51.86;2.05
101418;201404;Zespół Szkół w Szumowie|Szumowo|ul. Szkolna 14 |18-305 Szumowo;546;267;267;7;260;48.90;2.62
101419;201404;Szkoła Podstawowa w Srebrnej|Srebrna| 81 |18-305 Szumowo;568;267;267;17;250;47.01;6.37
101420;201404;Szkoła Podstawowa w Pęchratce Polskiej|Pęchratka Polska| 54 |18-305 Szumowo;377;202;202;1;201;53.58;0.50
101421;201404;Remiza Strażacka w Paproci Dużej|Paproć Duża| 54 |18-305 Szumowo;431;157;157;13;144;36.43;8.28
101422;201404;Szkoła Podstawowa w Łętownicy|Łętownica| 68 |18-305 Szumowo;214;93;93;1;92;43.46;1.08
101423;201404;Remiza Strażacka w Ostrożnem|Ostrożne| 53 |18-305 Szumowo;375;192;192;5;187;51.20;2.60
101424;201404;Remiza Strażacka w Głęboczu Wielkim|Głębocz Wielki| 17 |18-305 Szumowo;189;85;85;10;75;44.97;11.76
101425;201404;Remiza Strażacka w Srebrnym Borku|Srebrny Borek| 40 |18-305 Szumowo;280;106;106;2;104;37.86;1.89
101426;201404;Remiza Strażacka w Zarębach Jartuzach|Zaręby-Jartuzy| 16a |18-305 Szumowo;191;92;92;3;89;48.17;3.26
101427;201405;Szkoła Podstawowa w Starym Zakrzewie|Stare Zakrzewo| 15 |18-300 Zambrów;448;225;225;4;221;50.22;1.78
101428;201405;Szkoła Podstawowa w Starym Laskowcu|Stary Laskowiec| 14 |18-300 Zambrów;747;380;380;5;375;50.87;1.32
101429;201405;Szkoła Podstawowa w Osowcu|Osowiec| 22 |18-300 Zambrów;613;229;229;8;221;37.36;3.49
101430;201405;Świetlica Wiejska w Wądołkach-Bućkach|Wądołki-Bućki| 11B |18-300 Zambrów;774;313;313;4;309;40.44;1.28
101431;201405;Szkoła Podstawowa w Porytem-Jabłoni|Poryte-Jabłoń| 103 |18-300 Zambrów;882;346;346;4;342;39.23;1.16
101432;201405;Szkoła Podstawowa w Starym Skarżynie|Stary Skarżyn| 44 |18-300 Zambrów;488;265;265;9;256;54.30;3.40
101433;201405;Świetlica Wiejska w Przeździecko-Mroczkach,|Przeździecko-Mroczki| 5 |18-300 Zambrów;447;209;209;8;201;46.76;3.83
101434;201405;Świetlica Wiejska w Ładach Polnych|Łady Polne| 11B |18-300 Zambrów;487;274;274;3;271;56.26;1.09
101435;201405;Szkoła Podstawowa w Wiśniewie|Wiśniewo| 10 |18-300 Zambrów;915;380;380;0;380;41.53;0.00
101436;201405;Świetlica Wiejska w Woli Zambrowskiej|Wola Zambrowska| 95A |18-300 Zambrów;558;270;270;3;267;48.39;1.11
101437;201405;Świetlica Wiejska w Tabędzu|Tabędz| 16A |18-300 Zambrów;598;291;291;10;281;48.66;3.44
101438;201405;Zakład Karny w Czerwonym Borze|Czerwony Bór| 2 |18-400 Łomża;566;189;189;19;170;33.39;10.05
101439;206101;Szkoła Podstawowa Nr 2|Białystok|ul. Bohaterów Monte Cassino 25 |15-873 Białystok;1319;760;760;20;740;57.62;2.63
101440;206101;Szkoła Podstawowa Nr 2|Białystok|ul. Bohaterów Monte Cassino 25 |15-873 Białystok;1086;634;634;18;616;58.38;2.84
101441;206101;Zespół Szkół Technicznych|Białystok|ul. Stołeczna 21 |15-879 Białystok;1441;796;796;11;785;55.24;1.38
101442;206101;Publiczne Gimnazjum Nr 7|Białystok|ul. Stołeczna 6 |15-879 Białystok;1295;799;799;14;785;61.70;1.75
101443;206101;Szkoła Podstawowa Nr 2|Białystok|ul. Bohaterów Monte Cassino 25 |15-873 Białystok;1147;629;629;11;618;54.84;1.75
101444;206101;IV Liceum Ogólnokształcące|Białystok, Piaski|ul. Zwierzyniecka 9a |15-312 Białystok;1531;869;869;15;854;56.76;1.73
101445;206101;IV Liceum Ogólnokształcące|Białystok|ul. Zwierzyniecka 9a |15-312 Białystok;905;543;543;10;533;60.00;1.84
101446;206101;Szkoła Podstawowa Nr 6|Białystok|ul. Wesoła 11a |15-307 Białystok;1506;1008;1008;13;995;66.93;1.29
