teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
220507;2;Sulęczyno;gw;54.243795,17.792204;25;Gdańsk;KONFEDERACJA;14;LABUDA;Katarzyna;Kobieta;BEZP;54.243695 17.793905
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;KONFEDERACJA;15;SEREDYŃSKI;Konrad Bartłomiej;Mężczyzna;RuchNarodowy;54.155534 18.503251
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;16;BRODNICKA;Kamila Kinga;Kobieta;Korwin;54.345916 18.678635
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;KONFEDERACJA;17;FALIŃSKA;Urszula;Kobieta;BEZP;54.482516 18.468948
221502;1;Rumia;gm;54.5692025,18.3849145;25;Gdańsk;KONFEDERACJA;18;LANDOWSKA;Agnieszka Monika;Kobieta;RuchNarodowy;54.572212 18.382969
302117;2;Tarnowo Podgórne;gw;52.4492485,16.6792775;25;Gdańsk;KONFEDERACJA;19;SZABLEWSKA;Joanna Maria;Kobieta;RuchNarodowy;52.450898 16.682752
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;KONFEDERACJA;20;WILK;Piotr Jerzy;Mężczyzna;RuchNarodowy;53.970562 18.528292
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;25;Gdańsk;KONFEDERACJA;21;ADAMOWICZ;Emilia Regina;Kobieta;BEZP;53.144424 18.023610
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;22;CHOJNACKA;Izabela Anna;Kobieta;RuchNarodowy;54.367287 18.679867
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;23;STĘPKOWSKI;Adrian;Mężczyzna;Korwin;54.347824 18.688020
221401;1;Tczew;gm;54.0907165,18.7816105;25;Gdańsk;KONFEDERACJA;24;KRZYWKOWSKI;Marcin Piotr;Mężczyzna;Korwin;54.088817 18.781615
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;1;MACIEJEWSKA;Beata Monika;Kobieta;Wiosna;54.359289 18.675663
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;2;BANACH;Jolanta Maria;Kobieta;BEZP;54.358807 18.688683
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;SLD;3;KOWALCZUK;Łukasz;Mężczyzna;LRazem;54.505496 18.466157
220703;2;Kwidzyn;gw;53.769314,18.979397;25;Gdańsk;SLD;4;ŚNIEG;Andrzej Stanisław;Mężczyzna;SLD;53.769202 18.976470
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;SLD;5;PIĘKOŚ;Michał Rafał;Mężczyzna;Wiosna;54.445757 18.547785
221406;2;Tczew;gw;54.085311,18.690074;25;Gdańsk;SLD;6;OCHOCKA;Iwona;Kobieta;Wiosna;54.082077 18.689004
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;7;STROJNY;Olga;Kobieta;LRazem;54.363154 18.672758
