NRO;SiedzibaOKW;Nrlisty;Komitet;Sygnatura;Typ;Pozycja;Nazwisko;Imiona;Plec;Zawod;Adres.MZ;TERYT.MZ;Gmina.MZ.;Partia;Poparcie
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;24;LESZCZYK;Wojciech Paweł;Mężczyzna;fizyk;Jelenia Góra;026101;m. Jelenia Góra;PiS;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;1;BORYS;Piotr;Mężczyzna;przedstawiciel władzy samorządowej - radny;Lubin;021101;m. Lubin;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;2;CZERNOW;Zofia;Kobieta;parlamentarzystka;Jelenia Góra;026101;m. Jelenia Góra;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;3;KROPIWNICKI;Robert;Mężczyzna;parlamentarzysta;Legnica;026201;m. Legnica;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;4;KRAWCZYK;Iwona Małgorzata;Kobieta;parlamentarzysta;Czadrów;020702;gm. Kamienna Góra;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;5;DROZD;Ewa;Kobieta;parlamentarzystka;Głogów;020301;m. Głogów;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;6;DUDKOWIAK;Jarosław Ryszard;Mężczyzna;przedstawiciel władzy samorządowej - Starosta;Głogów;020301;m. Głogów;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;7;BARANOWSKA;Dorota;Kobieta;nauczyciel;Zgorzelec;022502;m. Zgorzelec;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;8;BANDER;Michał;Mężczyzna;fizjoterapeuta;Jawor;020501;m. Jawor;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;9;SIKORA;Konrad Jerzy;Mężczyzna;urzędnik samorządowy;Jelenia Góra;026101;m. Jelenia Góra;Nowoczesna;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;10;ROWIŃSKI;Konrad Antoni;Mężczyzna;przedstawiciel władzy samorządowej - wicestarosta;Lubań;021001;m. Lubań;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;11;PICHAŁA;Anna Eugenia;Kobieta;ekonomista;Parchów;021601;gm. Chocianów;BEZP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;12;DOWHAŃ-DOMAŃSKA;Ksenia Anna;Kobieta;przedsiębiorca;Lubin;021101;m. Lubin;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;13;ROLSKA;Beata Edyta;Kobieta;neurologopeda nauczyciel - pedagog;Chocianów;021601;gm. Chocianów;BEZP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;14;GRZEŚKÓW;Zbigniew;Mężczyzna;ekonomista;Kotliska;021203;gm. Lwówek Śląski;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;15;BARCIK;Krystyna Henryka;Kobieta;ekonomista;Legnica;026201;m. Legnica;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;16;MAGRYŚ;Urszula;Kobieta;specjalista do spraw rachunkowości;Bolesławiec;020101;m. Bolesławiec;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;17;JAGIEŁŁO;Jakub Krzysztof;Mężczyzna;przedstawiciel władzy samorządowej - radny;Świerzawa;022604;gm. Świerzawa;BEZP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;18;SKÓRZEWSKA;Barbara Anna;Kobieta;nauczyciel;Miroszowice;021102;gm. Lubin;BEZP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;19;STRĄCZEK;Joanna Dorota;Kobieta;kierownik przychodni;Grzymalin;020906;gm. Miłkowice;BEZP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;20;SURWIŁO;Małgorzata Joanna;Kobieta;technik administracji;Leśna;021003;gm. Leśna;Nowoczesna;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;21;BROK;Anna;Kobieta;ekonomista;Głogów;020301;m. Głogów;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;22;ZIELIŃSKI;Grzegorz;Mężczyzna;ekonomista;Lubin;021101;m. Lubin;Nowoczesna;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;23;GRAF;Mirosław;Mężczyzna;nauczyciel wychowania fizycznego;Szklarska Poręba;020604;m. Szklarska Poręba;PORP;
1;Legnica;;KOBW;ZPOW-601-6/19;KKW;24;BARTKOWIAK;Włodzimierz;Mężczyzna;analityk finansowy;Osiecznica;020105;gm. Osiecznica;Zieloni;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;1;SEKUŁA-SZMAJDZIŃSKA;Małgorzata Helena;Kobieta;adwokat;Warszawa;146516;Wilanów;SLD;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;2;OBAZ;Robert Marcin;Mężczyzna;inżynier telekomunikacji;Jelenia Góra;026101;m. Jelenia Góra;Wiosna;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;3;FILACZYŃSKA;Kaja;Kobieta;lekarka;Legnica;026201;m. Legnica;LRazem;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;4;ZBRZYZNY;Ryszard;Mężczyzna;inżynier górnik;Osiek;021102;gm. Lubin;SLD;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;5;PIĄTEK;Damian;Mężczyzna;pracownik samorządowy;Głogów;020301;m. Głogów;SLD;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;6;BURAKOWSKA;Krystyna Anna;Kobieta;nauczyciel przedszkola;Legnica;026201;m. Legnica;LRazem;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;7;PACZÓSKI;Piotr Jerzy;Mężczyzna;ekonomista;Jelenia Góra;026101;m. Jelenia Góra;SLD;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;8;ORZECHOWSKA;Joanna Magdalena;Kobieta;specjalista ds. konsultingu;Legnica;026201;m. Legnica;Wiosna;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;9;GRYĆ;Paweł;Mężczyzna;inżynier organizacji i planowania produkcji;Jelenia Góra;026101;m. Jelenia Góra;LRazem;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;10;MIARA;Rafał;Mężczyzna;ekonomista;Złotoryja;022602;m. Złotoryja;SLD;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;11;JANKOWSKA;Magdalena;Kobieta;biotechnolog;Chocianów;021601;gm. Chocianów;Wiosna;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;12;KRÓLEWIECKA-WALA;Dominika;Kobieta;pedagog specjalny;Legnica;026201;m. Legnica;LRazem;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;13;MAJEWICZ;Przemysław Mikołaj;Mężczyzna;przedsiębiorca;Polkowice;021604;gm. Polkowice;Wiosna;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;14;BIDNYK;Mikołaj Adam;Mężczyzna;specjalista do spraw rekrutacji pracowników;Biała;020902;gm. Chojnów;BEZP;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;15;KOHLMAN;Piotr Rafał;Mężczyzna;nauczyciel;Głogów;020301;m. Głogów;BEZP;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;16;GŁUSZKO;Rafał Krzysztof;Mężczyzna;lekarz;Gromadka;020103;gm. Gromadka;BEZP;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;17;BACZMAŃSKI;Paweł Adam;Mężczyzna;strażak;Sady Górne;020502;gm. Bolków;BEZP;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;18;PŁANETA-SIEWIERSKA;Edyta Katarzyna;Kobieta;adwokat;Warszawa;146505;Mokotów;BEZP;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;19;GRZYB;Leszek Kazimierz;Mężczyzna;menedżer;Zgorzelec;022502;m. Zgorzelec;SLD;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;20;RAKSZEWSKA;Alicja;Kobieta;policjant służby kryminalnej - emeryt;Lubin;021101;m. Lubin;BEZP;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;21;JÓŹWIK;Magdalena;Kobieta;grafik komputerowy multimediów;Legnica;026201;m. Legnica;BEZP;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;22;BRYCZKOWSKA;Inez Jolanta;Kobieta;nauczyciel;Głogów;020301;m. Głogów;BEZP;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;23;KOKO;Daniel Radosław;Mężczyzna;fizjoterapeuta;Ubocze;021201;gm. Gryfów Śląski;SLD;
1;Legnica;;SLD;ZPOW-601-1/19;KWPP;24;GADEK;Sławomir Adam;Mężczyzna;inżynier mechanik - środki transportu;Jerzmanowa;020303;gm. Jerzmanowa;LRazem;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;1;MYRDA;Adam Stanisław;Mężczyzna;mechanik maszyn i urzadzeń górnictwa podziemnego;Lubin;021101;m. Lubin;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;2;GABRYSIAK;Tomasz Andrzej;Mężczyzna;przedstawiciel władzy samorządowej - starosta;Bolesławiec;020101;m. Bolesławiec;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;3;KIEŁB;Jacek;Mężczyzna;politolog;Legnica;026201;m. Legnica;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;4;MIEDZIŃSKI;Piotr Jan;Mężczyzna;ekonomista;Jelenia Góra;026101;m. Jelenia Góra;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;5;JANIK;Kazimierz;Mężczyzna;inżynier rolnictwa;Zgorzelec;022507;gm. Zgorzelec;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;6;CASTAÑEDA TRUJILLO;Beata;Kobieta;ekonomista;Krotoszyce;020903;gm. Krotoszyce;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;7;WANDYCZ;Piotr Kazimierz;Mężczyzna;strażak;Trzebnice;021601;gm. Chocianów;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;8;SZEFFS;Irena Ewa;Kobieta;pielęgniarka - specjalista pielęgniarstwa kardiologicznego;Wleń;021205;gm. Wleń;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;9;SALA;Rafał Krzysztof;Mężczyzna;specjalista administracji publicznej;Jawor;020501;m. Jawor;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;10;LEWICKI;Krzysztof Mirosław;Mężczyzna;przedstawiciel władzy samorządowej - radny;Księginice;021102;gm. Lubin;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;11;TOBIASZ;Aleksandra Marta;Kobieta;ekonomista;Bogatynia;022503;gm. Bogatynia;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;12;CIEŚLA;Maciej Jan;Mężczyzna;nauczyciel wychowania fizycznego;Chojnów;020901;m. Chojnów;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;13;SOBIESKA;Emilia Janina;Kobieta;organizator imprez rozrywkowych;Legnica;026201;m. Legnica;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;14;ZIELIŃSKI;Artur Waldemar;Mężczyzna;specjalista administracji publicznej;Kamienna Góra;020701;m. Kamienna Góra;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;15;CZAJA;Dariusz Andrzej;Mężczyzna;nauczyciel historii;Głogów;020301;m. Głogów;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;16;FOREMNA;Justyna Magdalena;Kobieta;dyrektor generalny;Bolesławiec;020101;m. Bolesławiec;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;17;KUŚWIK;Bartosz Seweryn;Mężczyzna;animator kultury;Lubań;021001;m. Lubań;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;18;GRZELAK;Katarzyna Aneta;Kobieta;wyższy urzędnik samorządowy;Zawidów;022501;m. Zawidów;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;19;WITKOWSKI;Krzysztof Walery;Mężczyzna;pedagog specjalny;Zgorzelec;022502;m. Zgorzelec;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;20;KUSTROWSKA;Jolanta Elżbieta;Kobieta;technik rolnik;Trzebcz;021604;gm. Polkowice;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;21;ZAWIERUCHA;Stefan Adam;Mężczyzna;ekonomista;Marciszów;020704;gm. Marciszów;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;22;TYMIŃSKA;Katarzyna Paula;Kobieta;specjalista administracji publicznej;Chocianów;021601;gm. Chocianów;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;23;SAŁADUCHA;Jadwiga Wacława;Kobieta;nauczyciel nauczania początkowego;Karpacz;020601;m. Karpacz;BEZP;
1;Legnica;;BZPS;ZPOW-601-10/19;KWW;24;POLAK-SALOMON;Kamil Norbert;Mężczyzna;instruktor sportów siłowych;Lubin;021101;m. Lubin;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;1;UTECHT;Waldemar Arkadiusz;Mężczyzna;politolog;Sieradz;101401;m. Sieradz;KWiN;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;2;JASIŃSKI;Krzysztof Piotr;Mężczyzna;ekonomista;Glinica;020306;gm. Żukowice;RuchNarodowy;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;3;POTOCKA-KACZYK;Anna Dorota;Kobieta;menedżer;Rudna;021103;gm. Rudna;RuchNarodowy;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;4;MISTOŃ;Krzysztof Norbert;Mężczyzna;pracownik działu zapewnienia jakości;Chocianów;021601;gm. Chocianów;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;5;GUDOWSKI;Dominik Sławomir;Mężczyzna;muzyk;Stara Kamienica;020609;gm. Stara Kamienica;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;6;BUSTOWSKI;Marcin Jerzy;Mężczyzna;rolnik;Jelenia Góra;026101;m. Jelenia Góra;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;7;SOSIŃSKI;Krystian Piotr;Mężczyzna;górnik;Lubin;021101;m. Lubin;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;8;BURDZIŃSKI;Remigiusz Konrad;Mężczyzna;logistyk;Jelenia Góra;026101;m. Jelenia Góra;RuchNarodowy;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;9;KORWIN-MIKKE;Kacper Mikołaj;Mężczyzna;przedsiębiorca;Józefów;141701;m. Józefów;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;10;PASZYN;Paweł Stefan;Mężczyzna;informatyk;Grzybiany;020904;gm. Kunice;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;11;MALICKI;Jakub Edward;Mężczyzna;sprzedawca;Wrocław;026401;m. Wrocław;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;12;GRYF-TOMASZEWSKI;Andrzej;Mężczyzna;przedsiębiorca;Karpacz;020601;m. Karpacz;RuchNarodowy;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;13;ŚWIERZOWSKA;Małgorzata Agnieszka;Kobieta;inżynier procesów produkcyjnych;Dłużec;021203;gm. Lwówek Śląski;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;14;KARPIEJ;Sabina Iwona;Kobieta;student budownictwa;Jawor;020501;m. Jawor;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;15;SOLAREK-STRUMIŃSKA;Emilia Patrycja;Kobieta;menedżer;Wrocław;026401;m. Wrocław;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;16;SPRYSAK;Sebastian Jacek;Mężczyzna;inżynier elektryk;Legnica;026201;m. Legnica;RuchNarodowy;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;17;WINNICKA;Regina Elżbieta;Kobieta;technik energetyk;Zgorzelec;022502;m. Zgorzelec;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;18;BURDZIŃSKA;Małgorzata Olga;Kobieta;filolog;Jelenia Góra;026101;m. Jelenia Góra;RuchNarodowy;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;19;HOSZOWSKI;Jarosław;Mężczyzna;nauczyciel;Legnica;026201;m. Legnica;RuchNarodowy;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;20;PASZYN;Agnieszka Katarzyna;Kobieta;chemik;Grzybiany;020904;gm. Kunice;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;21;NICIEJEWSKA;Joanna;Kobieta;analityk IT;Warszawa;146518;Wola;BEZP;
1;Legnica;;KONFEDERACJA;ZPOW-601-5/19;KWPP;22;MAJEWICZ;Paweł;Mężczyzna;przedsiębiorca;Lubań;021001;m. Lubań;Korwin;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;1;ŻUK;Stanisław Adam;Mężczyzna;menedżer;Zawidów;022501;m. Zawidów;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;2;SAMBORSKI;Tadeusz;Mężczyzna;emeryt - historyk;Rogów Legnicki;020907;gm. Prochowice;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;3;SZCZĘSNA;Mariola;Kobieta;wyższy urzędnik samorządowy - burmistrz;Mojesz;021203;gm. Lwówek Śląski;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;4;ROJEK;Andrzej;Mężczyzna;lekarz- specjalista ortopedii;Zgorzelec;022502;m. Zgorzelec;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;5;LASKOWSKI;Stanisław;Mężczyzna;przedstawiciel władzy samorządowej - wicestarosta;Jawor;020501;m. Jawor;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;6;JURKOWSKI;Artur Andrzej;Mężczyzna;wyższy urzędnik samorządowy - wójt;Ruszowice;020302;gm. Głogów;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;7;RAK;Zofia;Kobieta;emeryt - nauczyciel;Gryfów Śląski;021201;gm. Gryfów Śląski;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;8;PIOTROWSKI;Wiktor Marian;Mężczyzna;emeryt - lekarz;Jawor;020501;m. Jawor;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;9;BRZOZOWSKA;Bożena Maria;Kobieta;radca prawny;Dziwiszów;020606;gm. Jeżów Sudecki;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;10;BURDYNA;Olga;Kobieta;emeryt - kucharz;Żeliszów;020102;gm. Bolesławiec;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;11;WRONA;Maria;Kobieta;emeryt - rolnik;Cichobórz;020907;gm. Prochowice;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;12;STANKIEWICZ;Cecylia Ewa;Kobieta;emeryt - menedżer;Chróstnik;021102;gm. Lubin;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;13;SADOWSKI;Roman Edward;Mężczyzna;nauczyciel;Bolków;020502;gm. Bolków;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;14;GRZYB;Stanisław;Mężczyzna;emeryt - przedstawiciel władzy samorządowej;Nowa Wieś Grodziska;022603;gm. Pielgrzymka;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;15;MATYS;Waldemar Andrzej;Mężczyzna;lekarz dentysta;Lubawka;020703;gm. Lubawka;StronnictwoDemokratyczne;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;16;SALATA;Romuald Piotr;Mężczyzna;emeryt - górnik;Bogatynia;022503;gm. Bogatynia;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;17;KRASOWSKI;Marcin Karol;Mężczyzna;informatyk;Lubin;021101;m. Lubin;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;18;TUCHOWSKA;Kazimiera Zofia;Kobieta;emeryt - technik rolnik;Wilków-Osiedle;022606;gm. Złotoryja;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;19;IMIELSKI;Mariusz Janusz;Mężczyzna;emeryt - policjant;Opolno Zdrój;022503;gm. Bogatynia;StronnictwoDemokratyczne;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;20;ŁASICA;Bartosz;Mężczyzna;rolnik;Nawojów Łużycki;021004;gm. Lubań;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;21;OTROCIUK;Barbara;Kobieta;księgowa;Bogatynia;022503;gm. Bogatynia;PSL;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;22;BUKAT;Eugenia;Kobieta;technolog zbiorowego żywienia;Jelenia Góra;026101;m. Jelenia Góra;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;23;GNAT;Stanisław;Mężczyzna;robotnik budowlany;Sucha Górna;021604;gm. Polkowice;BEZP;
1;Legnica;;PSL;ZPOW-601-19/19;KWPP;24;SUPIERZ;Leszek Józef;Mężczyzna;menedżer;Kowary;020602;m. Kowary;PSL;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;1;DWORCZYK;Michał Paweł;Mężczyzna;historyk;Warszawa;146514;Wawer;PiS;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;2;ZYSKA;Ireneusz;Mężczyzna;radca prawny;Świebodzice;021902;m. Świebodzice;PiS;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;3;MURDZEK;Wojciech Piotr;Mężczyzna;parlamentarzysta;Świdnica;021901;m. Świdnica;PorozumienieJarosławaGowina;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;4;BADORA;Maciej Adam;Mężczyzna;adwokat;Wałbrzych;026501;m. Wałbrzych;PiS;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;5;GWÓŹDŹ;Marcin Piotr;Mężczyzna;inżynier;Ząbkowice Śląskie;022405;gm. Ząbkowice Śląskie;PiS;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;6;BIELAWSKA;Zuzanna;Kobieta;wyższy urzędnik samorządowy;Piława Górna;020204;m. Piława Górna;PiS;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;7;SURMA;Renata Lucyna;Kobieta;wyższy urzędnik samorządowy;Stary Waliszów;020806;gm. Bystrzyca Kłodzka;BEZP;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;8;MUCHA;Beata Maria;Kobieta;pracownik administracji rządowej;Wałbrzych;026501;m. Wałbrzych;PiS;
2;Wałbrzych;;PiS;ZPOW-601-9/19;KWPP;9;DEC;Jerzy Grzegorz;Mężczyzna;nauczyciel geografii;Bożków;020811;gm. Nowa Ruda;PiS;
