NRO;SiedzibaOKW;Nrlisty;Komitet;Sygnatura;Typ;Pozycja;Nazwisko;Imiona;Plec;Zawod;Adres.MZ;TERYT.MZ;Gmina.MZ.;Partia;Poparcie
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;1;LIPIŃSKI;Adam Józef;Mężczyzna;ekonomista;Warszawa;146513;Ursynów;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;2;WITEK;Elżbieta Barbara;Kobieta;parlamentarzysta;Jawor;020501;m. Jawor;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;3;MACHAŁEK;Marzena Anna;Kobieta;parlamentarzysta;Jelenia Góra;026101;m. Jelenia Góra;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;4;KUBÓW;Krzysztof Jan;Mężczyzna;parlamentarzysta;Lubin;021101;m. Lubin;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;5;ZUBOWSKI;Wojciech Michał;Mężczyzna;parlamentarzysta;Głogów;020301;m. Głogów;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;6;SZYMAŃSKA;Ewa Zofia;Kobieta;biegły rewident;Legnica;026201;m. Legnica;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;7;ZEMBIK;Teresa;Kobieta;nauczyciel informatyki/ technologii informacyjnej;Lubań;021001;m. Lubań;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;8;BABUŚKA;Adam;Mężczyzna;przedstawiciel władzy samorządowej - Starosta;Nowa Wieś Legnicka;020905;gm. Legnickie Pole;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;9;RYPIŃSKI;Józef;Mężczyzna;fizyk;Jelenia Góra;026101;m. Jelenia Góra;SolidarnaPolska;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;10;POGODA;Szymon Marek;Mężczyzna;kierownik biura;Bolesławiec;020101;m. Bolesławiec;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;11;MARCINIAK;Wojciech;Mężczyzna;filolog;Sobin;021604;gm. Polkowice;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;12;KARWAN;Jacek;Mężczyzna;prezes;Gierałtowiec;022606;gm. Złotoryja;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;13;KREDKOWSKI;Andrzej;Mężczyzna;nauczyciel religii w szkole podstawowej;Lwówek Śląski;021203;gm. Lwówek Śląski;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;14;BUCIUTO;Jadwiga Barbara;Kobieta;nauczyciel matematyki;Zgorzelec;022502;m. Zgorzelec;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;15;GĘBORYS;Dagmara Helena;Kobieta;ekonomista;Kamienna Góra;020701;m. Kamienna Góra;BEZP;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;16;BRZOZOWSKA;Kamila Dorota;Kobieta;kierownik wydziału;Złotoryja;022602;m. Złotoryja;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;17;BADZIŃSKA;Agnieszka Ewa;Kobieta;ekonomista;Głogów;020301;m. Głogów;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;18;SADOWSKA-KOWALSKA;Aurelia Barbara;Kobieta;pracownik do spraw osobowych;Szklary Górne;021102;gm. Lubin;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;19;CZYRKO;Eurydyka Maria;Kobieta;nauczyciel języka polskiego w szkole podstawowej;Olszyna;021005;gm. Olszyna;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;20;KWIATKOWSKA;Ewa;Kobieta;pielęgniarka;Polkowice;021604;gm. Polkowice;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;21;URBANOWICZ;Łukasz Franciszek;Mężczyzna;technik mechanik pojazdów samochodowych;Wola Augustowska;021204;gm. Mirsk;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;22;SARBAK;Dawid Łukasz;Mężczyzna;specjalista administracji publicznej;Bolesławiec;020101;m. Bolesławiec;PiS;
1;Legnica;;PiS;ZPOW-601-9/19;KWPP;23;BOJAKOWSKA;Dorota;Kobieta;specjalista administracji publicznej;Bogatynia;022503;gm. Bogatynia;PiS;
