teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
040306;2;Osielsko;gw;53.216458,18.055312;4;Bydgoszcz;SLD;16;WARSICKA;Teresa;Kobieta;LRazem;53.214434 18.054831
040306;2;Osielsko;gw;53.216458,18.055312;4;Bydgoszcz;SLD;18;PIASKOWSKA;Joanna Zuzanna;Kobieta;członek partii politycznej: Twój Ruch;53.217142 18.057688
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;2;SCHEURING-WIELGUS;Joanna Izabela;Kobieta;BEZP;53.000484 18.608889
041509;2;Zławieś Wielka;gw;53.099382,18.334662;5;Toruń;SLD;5;JANISZEWSKA;Kazimiera Janina;Kobieta;BEZP;53.099679 18.338365
046401;1;Włocławek;mm;52.6653805,19.060831;5;Toruń;SLD;6;RUMIŃSKA;Maria Magdalena;Kobieta;LRazem;52.655487 19.056487
040403;2;Kijewo Królewskie;gw;53.2637295,18.440212;5;Toruń;SLD;7;AUGUSTINOWICZ;Czesława Janina;Kobieta;SLD;53.262514 18.442529
040809;2;Wielgie;gw;52.7509085,19.256779;5;Toruń;SLD;9;KUCZMARSKA;Zofia;Kobieta;BEZP;52.748926 19.256224
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;11;MAĆKIEWICZ;Jolanta Ewa;Kobieta;LRazem;53.017206 18.605097
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;15;CZERNIC;Katarzyna;Kobieta;LRazem;53.016999 18.613855
041105;3;Piotrków Kujawski;gmw;52.53062,18.5090945;5;Toruń;SLD;17;SZCZUROWSKA;Inez Justyna;Kobieta;BEZP;52.531759 18.513815
041810;2;Lubanie;gw;52.7238675,18.9182825;5;Toruń;SLD;20;TURSKA;Anna Zofia;Kobieta;SLD;52.726414 18.920440
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;21;POKORSKA;Julia Joanna;Kobieta;LRazem;53.007822 18.589918
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;23;BELSKA;Dorota;Kobieta;LRazem;53.011765 18.608622
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;2;DŁUGOSZ;Magdalena Anna;Kobieta;LRazem;51.198019 22.561618
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;5;ZABRATAŃSKA;Katarzyna Edyta;Kobieta;LRazem;51.230886 22.559474
060701;1;Kraśnik;gm;50.943372,22.2134935;6;Lublin;SLD;8;LENART;Agnieszka Monika;Kobieta;SLD;50.940490 22.206398
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;9;SKIBA;Paulina;Kobieta;Wiosna;51.203528 22.549238
060914;2;Wólka;gw;51.2807185,22.6843595;6;Lublin;SLD;10;MARCINKOWSKA-KOZAK;Agnieszka Halina;Kobieta;LRazem;51.285791 22.683933
060701;1;Kraśnik;gm;50.943372,22.2134935;6;Lublin;SLD;12;REBEJKO;Jolanta;Kobieta;LRazem;50.942460 22.206699
061409;2;Puławy;gw;51.4592885,21.8969085;6;Lublin;SLD;13;WICHA;Beata;Kobieta;BEZP;51.456317 21.895766
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;18;SŁOMKA;Karolina;Kobieta;BEZP;51.224054 22.538037
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;19;KOWALSKA;Barbara;Kobieta;BEZP;51.234119 22.545378
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;21;ŁABAREWICZ;Anna Maria;Kobieta;BEZP;51.244174 22.554784
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;22;ROJEK;Grażyna Irena;Kobieta;BEZP;51.216311 22.552291
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;25;MIKITA-SKIBA;Monika Barbara;Kobieta;BEZP;51.228168 22.576377
060703;2;Dzierzkowice;gw;50.9583355,22.078299;6;Lublin;SLD;27;KASZA;Joanna Edyta;Kobieta;LRazem;50.956244 22.079254
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;28;SKUBIS;Emilia Dominika;Kobieta;BEZP;51.212608 22.551909
066101;1;Biała Podlaska;mm;52.0290345,23.1383055;7;Chełm;SLD;1;PAWŁOWSKA;Monika Jolanta;Kobieta;Wiosna;52.025434 23.135384
