teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
246501;1;Dąbrowa Górnicza;mm;50.369804,19.3216805;32;Katowice;PSL;2;MARKOWSKI;Krzysztof;Mężczyzna;BEZP;50.379815 19.317666
246801;1;Jaworzno;mm;50.189359,19.3014005;32;Katowice;PSL;3;CIOŁCZYK;Janusz Kazimierz;Mężczyzna;PSL;50.182532 19.307543
241602;1;Zawiercie;gm;50.5057285,19.4702655;32;Katowice;PSL;4;PEROŃ;Krzysztof Edward;Mężczyzna;BEZP;50.507399 19.467427
247501;1;Sosnowiec;mm;50.271233,19.194618;32;Katowice;PSL;5;BOSAK;Jan;Mężczyzna;BEZP;50.273803 19.186227
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;33;Kielce;PiS;1;ZIOBRO;Zbigniew Tadeusz;Mężczyzna;SolidarnaPolska;52.267760 21.044495
140309;2;Parysów;gw;51.982036,21.6612385;33;Kielce;PiS;2;KRUPKA;Anna Maria;Kobieta;PiS;51.981399 21.658707
261101;1;Starachowice;gm;51.0383275,21.071639;33;Kielce;PiS;3;LIPIEC;Krzysztof Bogdan;Mężczyzna;PiS;51.033959 21.075218
260104;2;Pacanów;gw;50.3740815,21.0414145;33;Kielce;PiS;4;CIEŚLAK;Michał;Mężczyzna;PorozumienieJarosławaGowina;50.375288 21.042426
260901;1;Sandomierz;gm;50.6795795,21.7470975;33;Kielce;PiS;5;KWITEK;Marek;Mężczyzna;PiS;50.679388 21.743321
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;33;Kielce;PSL;1;SIEKIERSKI;Czesław Adam;Mężczyzna;PSL;52.234397 21.081501
146518;1;Mst Warszawa (a);mm;52.233002,21.0614195;33;Kielce;PSL;2;APEL;Piotr Daniel;Mężczyzna;BEZP;52.249821 21.021419
260604;3;Opatów;gmw;50.792116,21.415077;33;Kielce;PSL;3;KOTOWSKI;Kazimierz Jerzy;Mężczyzna;PSL;50.794647 21.416118
260905;2;Łoniów;gw;50.56766,21.5197555;33;Kielce;PSL;4;SWAJDA;Andrzej;Mężczyzna;BEZP;50.568517 21.517713
266101;1;Kielce (a);mm;50.85419,20.615443;33;Kielce;PSL;5;GAŁUSZKA;Grzegorz Andrzej;Mężczyzna;PSL;50.850343 20.608130
266101;1;Kielce (a);mm;50.85419,20.615443;33;Kielce;BZPS;1;SKUZA;Stanisław;Mężczyzna;BEZP;50.862907 20.634667
260508;3;Stąporków;gmw;51.1469875,20.5848505;33;Kielce;BZPS;2;JEDYNAK;Monika;Kobieta;BEZP;51.144764 20.580878
261207;3;Staszów;gmw;50.571159,21.229587;33;Kielce;BZPS;3;KAŹMIERCZAK;Emilia Kinga;Kobieta;BEZP;50.573911 21.234762
260701;1;Ostrowiec Świętokrzyski;gm;50.9502505,21.4064845;33;Kielce;BZPS;4;DUDEK;Artur Maciej;Mężczyzna;BEZP;50.952999 21.409485
266101;1;Kielce (a);mm;50.85419,20.615443;33;Kielce;BZPS;5;SIKORA;Hubert Adam;Mężczyzna;BEZP;50.866236 20.629033
146518;1;Mst Warszawa (a);mm;52.233002,21.0614195;33;Kielce;KONFEDERACJA;1;BOSAK;Krzysztof;Mężczyzna;RuchNarodowy;52.264169 21.027059
260401;2;Bieliny;gw;50.8318355,20.95359;33;Kielce;KONFEDERACJA;2;IWAN;Mateusz Kamil;Mężczyzna;BEZP;50.830952 20.951675
260503;3;Końskie;gmw;51.1702075,20.3990575;33;Kielce;KONFEDERACJA;3;MILCZUSZEK;Damian Rafał;Mężczyzna;BEZP;51.174583 20.400117
261105;3;Wąchock;gmw;51.0513565,21.003107;33;Kielce;KONFEDERACJA;4;WILCZYŃSKI;Łukasz Sylwester;Mężczyzna;RuchNarodowy;51.048404 21.002666
261101;1;Starachowice;gm;51.0383275,21.071639;33;Kielce;KONFEDERACJA;5;SOKOLNICKI;Michał;Mężczyzna;BEZP;51.043854 21.074843
260503;3;Końskie;gmw;51.1702075,20.3990575;33;Kielce;SLD;1;SZEJNA;Andrzej Jan;Mężczyzna;członek partii politycznej: SLD;51.171475 20.393090
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;33;Kielce;SLD;2;PIECHNA-WIĘCKIEWICZ;Paulina Krystyna;Kobieta;Wiosna;52.189395 21.040495
260701;1;Ostrowiec Świętokrzyski;gm;50.9502505,21.4064845;33;Kielce;SLD;3;PIETRUSZKA;Aron Adrian;Mężczyzna;LRazem;50.942726 21.404855
266101;1;Kielce (a);mm;50.85419,20.615443;33;Kielce;SLD;4;WIELGUS;Iwona;Kobieta;BEZP;50.867799 20.603741
261001;1;Skarżysko-Kamienna;gm;51.1229895,20.8753035;33;Kielce;SLD;5;GAJDA;Jan;Mężczyzna;członek partii politycznej: SLD;51.126935 20.873298
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;33;Kielce;KOBW;1;SIENKIEWICZ;Bartłomiej Henryk;Mężczyzna;BEZP;52.216295 21.038776
266101;1;Kielce (a);mm;50.85419,20.615443;33;Kielce;KOBW;2;CYRAŃSKI;Adam Zbigniew;Mężczyzna;BEZP;50.864078 20.597950
261001;1;Skarżysko-Kamienna;gm;51.1229895,20.8753035;33;Kielce;KOBW;3;OKŁA-DREWNOWICZ;Marzena;Kobieta;PORP;51.122576 20.882015
266101;1;Kielce (a);mm;50.85419,20.615443;33;Kielce;KOBW;4;GIERADA;Artur Daniel;Mężczyzna;PORP;50.840275 20.626732
266101;1;Kielce (a);mm;50.85419,20.615443;33;Kielce;KOBW;5;WOJDA;Agata Ewa;Kobieta;PORP;50.845912 20.628857
