id;nro;siedzibaokw;nrlisty;komitet;typ;pozycja;nazwisko;imiona;plec;zawod;adres.mz;teryt.mz;gmina.mz.;partia;poparcie;glosy;glosy2;procent;mandat;id
1294965;2;Wałbrzych;2;PiS;KWP;1;DWORCZYK;Michał Paweł;Mężczyzna;historyk;Warszawa;146514;Wawer;PiS;;58426;58426;20.65;tak;
1294967;2;Wałbrzych;2;PiS;KWP;2;ZYSKA;Ireneusz;Mężczyzna;radca prawny;Świebodzice;021902;m. Świebodzice;PiS;;10688;10688;3.78;tak;
1294971;2;Wałbrzych;2;PiS;KWP;3;MURDZEK;Wojciech Piotr;Mężczyzna;parlamentarzysta;Świdnica;021901;m. Świdnica;PJGowina;;6354;6354;2.25;tak;
1294972;2;Wałbrzych;2;PiS;KWP;4;BADORA;Maciej Adam;Mężczyzna;adwokat;Wałbrzych;026501;m. Wałbrzych;PiS;;3683;3683;1.30;nie;
1294973;2;Wałbrzych;2;PiS;KWP;5;GWÓŹDŹ;Marcin Piotr;Mężczyzna;inżynier;Ząbkowice Śląskie;022405;gm. Ząbkowice Śląskie;PiS;;8049;8049;2.84;tak;
1294974;2;Wałbrzych;2;PiS;KWP;6;BIELAWSKA;Zuzanna;Kobieta;wyższy urzędnik samorządowy;Piława Górna;020204;m. Piława Górna;PiS;;3561;3561;1.26;nie;
1294975;2;Wałbrzych;2;PiS;KWP;7;SURMA;Renata Lucyna;Kobieta;wyższy urzędnik samorządowy;Stary Waliszów;020806;gm. Bystrzyca Kłodzka;BEZPARTYJNY;;3931;3931;1.39;nie;
1294976;2;Wałbrzych;2;PiS;KWP;8;MUCHA;Beata Maria;Kobieta;pracownik administracji rządowej;Wałbrzych;026501;m. Wałbrzych;PiS;;2696;2696;0.95;nie;
1294977;2;Wałbrzych;2;PiS;KWP;9;DEC;Jerzy Grzegorz;Mężczyzna;nauczyciel geografii;Bożków;020811;gm. Nowa Ruda;PiS;;2834;2834;1.00;nie;
1294978;2;Wałbrzych;2;PiS;KWP;10;WĘGŁOWSKI;Jarosław;Mężczyzna;wyższy urzędnik samorządowy;Kietlin;020207;gm. Niemcza;PiS;;978;978;0.35;nie;
1294980;2;Wałbrzych;2;PiS;KWP;11;SZPYTMA;Bogusław Krzysztof;Mężczyzna;przedsiębiorca;Kłodzko;020802;m. Kłodzko;BEZPARTYJNY;;1505;1505;0.53;nie;
1294981;2;Wałbrzych;2;PiS;KWP;12;GREINER;Małgorzata Joanna;Kobieta;nauczyciel języka polskiego;Bielawa;020201;m. Bielawa;PiS;;1647;1647;0.58;nie;
1294984;2;Wałbrzych;2;PiS;KWP;13;TARNACKI;Marek;Mężczyzna;rolnik;Boguszów-Gorce;022101;m. Boguszów-Gorce;PiS;;964;964;0.34;nie;
1294986;2;Wałbrzych;2;PiS;KWP;14;SZYDŁOWSKA;Ewelina Agnieszka;Kobieta;prawnik;Wrocław;026401;m. Wrocław;BEZPARTYJNY;;1819;1819;0.64;nie;
1294987;2;Wałbrzych;2;PiS;KWP;15;WIERZBICKA;Renata Teresa;Kobieta;administratywistka;Wałbrzych;026501;m. Wałbrzych;BEZPARTYJNY;;3425;3425;1.21;nie;
1294989;2;Wałbrzych;2;PiS;KWP;16;GRZEGORZEWICZ;Grzegorz Sławomir;Mężczyzna;prawnik;Jaworzyna Śląska;021904;gm. Jaworzyna Śląska;BEZPARTYJNY;;4168;4168;1.47;nie;
1295342;10;Piotrków Trybunalski;2;PiS;KWP;1;MACIEREWICZ;Antoni;Mężczyzna;historyk;Warszawa;146504;Bielany;PiS;;31280;31280;9.03;tak;
